context: Boobies, White Panties and Me response:	Don't move...
context: That was just an accident!\Please hear me out, I'm not a-\Don't touch me, PERVERT!\H-Hey!\Wait, Eldest!\Wait...\You believe me, don't you, Futaba?\I've always been an upstanding moral person. response:	Yup!
context: Please hear me out, I'm not a-\Don't touch me, PERVERT!\H-Hey!\Wait, Eldest!\Wait...\You believe me, don't you, Futaba?\I've always been an upstanding moral person.\Yup! response:	Futaba...
context: Don't touch me, PERVERT!\H-Hey!\Wait, Eldest!\Wait...\You believe me, don't you, Futaba?\I've always been an upstanding moral person.\Yup!\Futaba... response:	Here's a present for you, Shin-chan!
context: H-Hey!\Wait, Eldest!\Wait...\You believe me, don't you, Futaba?\I've always been an upstanding moral person.\Yup!\Futaba...\Here's a present for you, Shin-chan! response:	Don't tell Micchan, okay?
context: Wait, Eldest!\Wait...\You believe me, don't you, Futaba?\I've always been an upstanding moral person.\Yup!\Futaba...\Here's a present for you, Shin-chan!\Don't tell Micchan, okay? response:	You don't believe me at all!
context: Wait...\You believe me, don't you, Futaba?\I've always been an upstanding moral person.\Yup!\Futaba...\Here's a present for you, Shin-chan!\Don't tell Micchan, okay?\You don't believe me at all! response:	Shin-chan!
context: You believe me, don't you, Futaba?\I've always been an upstanding moral person.\Yup!\Futaba...\Here's a present for you, Shin-chan!\Don't tell Micchan, okay?\You don't believe me at all!\Shin-chan! response:	He looked like he was having so much fun with Micchan's panties on his head,
context: I've always been an upstanding moral person.\Yup!\Futaba...\Here's a present for you, Shin-chan!\Don't tell Micchan, okay?\You don't believe me at all!\Shin-chan!\He looked like he was having so much fun with Micchan's panties on his head, response:	I thought he'd like these.
context: Yup!\Futaba...\Here's a present for you, Shin-chan!\Don't tell Micchan, okay?\You don't believe me at all!\Shin-chan!\He looked like he was having so much fun with Micchan's panties on his head,\I thought he'd like these. response:	You don't get it, Futaba.
context: Futaba...\Here's a present for you, Shin-chan!\Don't tell Micchan, okay?\You don't believe me at all!\Shin-chan!\He looked like he was having so much fun with Micchan's panties on his head,\I thought he'd like these.\You don't get it, Futaba. response:	Chibacchi?
context: Here's a present for you, Shin-chan!\Don't tell Micchan, okay?\You don't believe me at all!\Shin-chan!\He looked like he was having so much fun with Micchan's panties on his head,\I thought he'd like these.\You don't get it, Futaba.\Chibacchi? response:	You'll just embarrass him if you give them to him directly.
context: Don't tell Micchan, okay?\You don't believe me at all!\Shin-chan!\He looked like he was having so much fun with Micchan's panties on his head,\I thought he'd like these.\You don't get it, Futaba.\Chibacchi?\You'll just embarrass him if you give them to him directly. response:	He's really shy.
context: You don't believe me at all!\Shin-chan!\He looked like he was having so much fun with Micchan's panties on his head,\I thought he'd like these.\You don't get it, Futaba.\Chibacchi?\You'll just embarrass him if you give them to him directly.\He's really shy. response:	Oh, I understand!
context: Shin-chan!\He looked like he was having so much fun with Micchan's panties on his head,\I thought he'd like these.\You don't get it, Futaba.\Chibacchi?\You'll just embarrass him if you give them to him directly.\He's really shy.\Oh, I understand! response:	How do I clear this up?
context: He looked like he was having so much fun with Micchan's panties on his head,\I thought he'd like these.\You don't get it, Futaba.\Chibacchi?\You'll just embarrass him if you give them to him directly.\He's really shy.\Oh, I understand!\How do I clear this up? response:	I need my book...
context: I thought he'd like these.\You don't get it, Futaba.\Chibacchi?\You'll just embarrass him if you give them to him directly.\He's really shy.\Oh, I understand!\How do I clear this up?\I need my book... response:	Bear!
context: You don't get it, Futaba.\Chibacchi?\You'll just embarrass him if you give them to him directly.\He's really shy.\Oh, I understand!\How do I clear this up?\I need my book...\Bear! response:	What the crap?!
context: Chibacchi?\You'll just embarrass him if you give them to him directly.\He's really shy.\Oh, I understand!\How do I clear this up?\I need my book...\Bear!\What the crap?! response:	Futaba must've done this-
context: You'll just embarrass him if you give them to him directly.\He's really shy.\Oh, I understand!\How do I clear this up?\I need my book...\Bear!\What the crap?!\Futaba must've done this- response:	What're those?
context: He's really shy.\Oh, I understand!\How do I clear this up?\I need my book...\Bear!\What the crap?!\Futaba must've done this-\What're those? response:	Panties?
context: Oh, I understand!\How do I clear this up?\I need my book...\Bear!\What the crap?!\Futaba must've done this-\What're those?\Panties? response:	No, no they're not mine!
context: How do I clear this up?\I need my book...\Bear!\What the crap?!\Futaba must've done this-\What're those?\Panties?\No, no they're not mine! response:	Sit down everyone, time to start.
context: I need my book...\Bear!\What the crap?!\Futaba must've done this-\What're those?\Panties?\No, no they're not mine!\Sit down everyone, time to start. response:	So don't forget that little tip, okay?
context: Bear!\What the crap?!\Futaba must've done this-\What're those?\Panties?\No, no they're not mine!\Sit down everyone, time to start.\So don't forget that little tip, okay? response:	Futaba!
context: What the crap?!\Futaba must've done this-\What're those?\Panties?\No, no they're not mine!\Sit down everyone, time to start.\So don't forget that little tip, okay?\Futaba! response:	She's gone!
context: Futaba must've done this-\What're those?\Panties?\No, no they're not mine!\Sit down everyone, time to start.\So don't forget that little tip, okay?\Futaba!\She's gone! response:	Where are you?
context: What're those?\Panties?\No, no they're not mine!\Sit down everyone, time to start.\So don't forget that little tip, okay?\Futaba!\She's gone!\Where are you? response:	Futaba!
context: Panties?\No, no they're not mine!\Sit down everyone, time to start.\So don't forget that little tip, okay?\Futaba!\She's gone!\Where are you?\Futaba! response:	Futaba?
context: No, no they're not mine!\Sit down everyone, time to start.\So don't forget that little tip, okay?\Futaba!\She's gone!\Where are you?\Futaba!\Futaba? response:	Futaba!
context: Sit down everyone, time to start.\So don't forget that little tip, okay?\Futaba!\She's gone!\Where are you?\Futaba!\Futaba?\Futaba! response:	Did she go outside?
context: So don't forget that little tip, okay?\Futaba!\She's gone!\Where are you?\Futaba!\Futaba?\Futaba!\Did she go outside? response:	How many did she put in here?!
context: Futaba!\She's gone!\Where are you?\Futaba!\Futaba?\Futaba!\Did she go outside?\How many did she put in here?! response:	Shin-chan...
context: She's gone!\Where are you?\Futaba!\Futaba?\Futaba!\Did she go outside?\How many did she put in here?!\Shin-chan... response:	Ta-da!
context: Where are you?\Futaba!\Futaba?\Futaba!\Did she go outside?\How many did she put in here?!\Shin-chan...\Ta-da! response:	Don't use them for magic tricks!
context: Futaba!\Futaba?\Futaba!\Did she go outside?\How many did she put in here?!\Shin-chan...\Ta-da!\Don't use them for magic tricks! response:	All for you!
context: Futaba?\Futaba!\Did she go outside?\How many did she put in here?!\Shin-chan...\Ta-da!\Don't use them for magic tricks!\All for you! response:	I don't want them, get away!
context: Futaba!\Did she go outside?\How many did she put in here?!\Shin-chan...\Ta-da!\Don't use them for magic tricks!\All for you!\I don't want them, get away! response:	Chiba! This is all YOUR fault!
context: Did she go outside?\How many did she put in here?!\Shin-chan...\Ta-da!\Don't use them for magic tricks!\All for you!\I don't want them, get away!\Chiba! This is all YOUR fault! response:	Go explain things to Futaba and Eldest!
context: How many did she put in here?!\Shin-chan...\Ta-da!\Don't use them for magic tricks!\All for you!\I don't want them, get away!\Chiba! This is all YOUR fault!\Go explain things to Futaba and Eldest! response:	So suddenly your desk is overflowing with panties instead of love letters...
context: Shin-chan...\Ta-da!\Don't use them for magic tricks!\All for you!\I don't want them, get away!\Chiba! This is all YOUR fault!\Go explain things to Futaba and Eldest!\So suddenly your desk is overflowing with panties instead of love letters... response:	Must be nice.
context: Ta-da!\Don't use them for magic tricks!\All for you!\I don't want them, get away!\Chiba! This is all YOUR fault!\Go explain things to Futaba and Eldest!\So suddenly your desk is overflowing with panties instead of love letters...\Must be nice. response:	What's your problem?
context: Don't use them for magic tricks!\All for you!\I don't want them, get away!\Chiba! This is all YOUR fault!\Go explain things to Futaba and Eldest!\So suddenly your desk is overflowing with panties instead of love letters...\Must be nice.\What's your problem? response:	Leave the high road behind and join me on the path of a lothario!
context: All for you!\I don't want them, get away!\Chiba! This is all YOUR fault!\Go explain things to Futaba and Eldest!\So suddenly your desk is overflowing with panties instead of love letters...\Must be nice.\What's your problem?\Leave the high road behind and join me on the path of a lothario! response:	Never!
context: I don't want them, get away!\Chiba! This is all YOUR fault!\Go explain things to Futaba and Eldest!\So suddenly your desk is overflowing with panties instead of love letters...\Must be nice.\What's your problem?\Leave the high road behind and join me on the path of a lothario!\Never! response:	Shin-chan said he doesn't want them.
context: Chiba! This is all YOUR fault!\Go explain things to Futaba and Eldest!\So suddenly your desk is overflowing with panties instead of love letters...\Must be nice.\What's your problem?\Leave the high road behind and join me on the path of a lothario!\Never!\Shin-chan said he doesn't want them. response:	You're still missing the point, Futaba.
context: Go explain things to Futaba and Eldest!\So suddenly your desk is overflowing with panties instead of love letters...\Must be nice.\What's your problem?\Leave the high road behind and join me on the path of a lothario!\Never!\Shin-chan said he doesn't want them.\You're still missing the point, Futaba. response:	It's not the panties that are valuable, it's what's INSIDE them.
context: So suddenly your desk is overflowing with panties instead of love letters...\Must be nice.\What's your problem?\Leave the high road behind and join me on the path of a lothario!\Never!\Shin-chan said he doesn't want them.\You're still missing the point, Futaba.\It's not the panties that are valuable, it's what's INSIDE them. response:	Oh, I understand!
context: Must be nice.\What's your problem?\Leave the high road behind and join me on the path of a lothario!\Never!\Shin-chan said he doesn't want them.\You're still missing the point, Futaba.\It's not the panties that are valuable, it's what's INSIDE them.\Oh, I understand! response:	Stupid Chiba...
context: What's your problem?\Leave the high road behind and join me on the path of a lothario!\Never!\Shin-chan said he doesn't want them.\You're still missing the point, Futaba.\It's not the panties that are valuable, it's what's INSIDE them.\Oh, I understand!\Stupid Chiba... response:	Shin-chan!
context: Leave the high road behind and join me on the path of a lothario!\Never!\Shin-chan said he doesn't want them.\You're still missing the point, Futaba.\It's not the panties that are valuable, it's what's INSIDE them.\Oh, I understand!\Stupid Chiba...\Shin-chan! response:	What now? I told you I don't want your p-
context: Never!\Shin-chan said he doesn't want them.\You're still missing the point, Futaba.\It's not the panties that are valuable, it's what's INSIDE them.\Oh, I understand!\Stupid Chiba...\Shin-chan!\What now? I told you I don't want your p- response:	Ta-da!
context: Shin-chan said he doesn't want them.\You're still missing the point, Futaba.\It's not the panties that are valuable, it's what's INSIDE them.\Oh, I understand!\Stupid Chiba...\Shin-chan!\What now? I told you I don't want your p-\Ta-da! response:	What a crazy fashion statement!
context: You're still missing the point, Futaba.\It's not the panties that are valuable, it's what's INSIDE them.\Oh, I understand!\Stupid Chiba...\Shin-chan!\What now? I told you I don't want your p-\Ta-da!\What a crazy fashion statement! response:	Chiba said I'm supposed to WEAR them.
context: It's not the panties that are valuable, it's what's INSIDE them.\Oh, I understand!\Stupid Chiba...\Shin-chan!\What now? I told you I don't want your p-\Ta-da!\What a crazy fashion statement!\Chiba said I'm supposed to WEAR them. response:	That moron...
context: Oh, I understand!\Stupid Chiba...\Shin-chan!\What now? I told you I don't want your p-\Ta-da!\What a crazy fashion statement!\Chiba said I'm supposed to WEAR them.\That moron... response:	You can have these too!
context: Stupid Chiba...\Shin-chan!\What now? I told you I don't want your p-\Ta-da!\What a crazy fashion statement!\Chiba said I'm supposed to WEAR them.\That moron...\You can have these too! response:	I don't want them!
context: Shin-chan!\What now? I told you I don't want your p-\Ta-da!\What a crazy fashion statement!\Chiba said I'm supposed to WEAR them.\That moron...\You can have these too!\I don't want them! response:	I stole them all from Micchan just for you...
context: What now? I told you I don't want your p-\Ta-da!\What a crazy fashion statement!\Chiba said I'm supposed to WEAR them.\That moron...\You can have these too!\I don't want them!\I stole them all from Micchan just for you... response:	Don't cry!
context: Ta-da!\What a crazy fashion statement!\Chiba said I'm supposed to WEAR them.\That moron...\You can have these too!\I don't want them!\I stole them all from Micchan just for you...\Don't cry! response:	And take those off, aren't you embarrassed?
context: What a crazy fashion statement!\Chiba said I'm supposed to WEAR them.\That moron...\You can have these too!\I don't want them!\I stole them all from Micchan just for you...\Don't cry!\And take those off, aren't you embarrassed? response:	You want them?
context: Chiba said I'm supposed to WEAR them.\That moron...\You can have these too!\I don't want them!\I stole them all from Micchan just for you...\Don't cry!\And take those off, aren't you embarrassed?\You want them? response:	Oh for the love of-
context: That moron...\You can have these too!\I don't want them!\I stole them all from Micchan just for you...\Don't cry!\And take those off, aren't you embarrassed?\You want them?\Oh for the love of- response:	Yes, I want them, give them to me!
context: You can have these too!\I don't want them!\I stole them all from Micchan just for you...\Don't cry!\And take those off, aren't you embarrassed?\You want them?\Oh for the love of-\Yes, I want them, give them to me! response:	Satou?
context: I don't want them!\I stole them all from Micchan just for you...\Don't cry!\And take those off, aren't you embarrassed?\You want them?\Oh for the love of-\Yes, I want them, give them to me!\Satou? response:	The more I think about it, Satou's not really the type to do something
context: I stole them all from Micchan just for you...\Don't cry!\And take those off, aren't you embarrassed?\You want them?\Oh for the love of-\Yes, I want them, give them to me!\Satou?\The more I think about it, Satou's not really the type to do something response:	stupid like wear my panties on his head.
context: Don't cry!\And take those off, aren't you embarrassed?\You want them?\Oh for the love of-\Yes, I want them, give them to me!\Satou?\The more I think about it, Satou's not really the type to do something\stupid like wear my panties on his head. response:	Maybe Chiba put him up to it.
context: And take those off, aren't you embarrassed?\You want them?\Oh for the love of-\Yes, I want them, give them to me!\Satou?\The more I think about it, Satou's not really the type to do something\stupid like wear my panties on his head.\Maybe Chiba put him up to it. response:	I guess I can at least hear him out.
context: You want them?\Oh for the love of-\Yes, I want them, give them to me!\Satou?\The more I think about it, Satou's not really the type to do something\stupid like wear my panties on his head.\Maybe Chiba put him up to it.\I guess I can at least hear him out. response:	Satou Shinya 12 years old Honor student and PERVERT
context: Oh for the love of-\Yes, I want them, give them to me!\Satou?\The more I think about it, Satou's not really the type to do something\stupid like wear my panties on his head.\Maybe Chiba put him up to it.\I guess I can at least hear him out.\Satou Shinya 12 years old Honor student and PERVERT response:	I think I've had enough of modeling for class 3...
context: Yes, I want them, give them to me!\Satou?\The more I think about it, Satou's not really the type to do something\stupid like wear my panties on his head.\Maybe Chiba put him up to it.\I guess I can at least hear him out.\Satou Shinya 12 years old Honor student and PERVERT\I think I've had enough of modeling for class 3... response:	That's too bad, I wanted to use you for my next model.
context: Satou?\The more I think about it, Satou's not really the type to do something\stupid like wear my panties on his head.\Maybe Chiba put him up to it.\I guess I can at least hear him out.\Satou Shinya 12 years old Honor student and PERVERT\I think I've had enough of modeling for class 3...\That's too bad, I wanted to use you for my next model. response:	Okay, sure.
context: The more I think about it, Satou's not really the type to do something\stupid like wear my panties on his head.\Maybe Chiba put him up to it.\I guess I can at least hear him out.\Satou Shinya 12 years old Honor student and PERVERT\I think I've had enough of modeling for class 3...\That's too bad, I wanted to use you for my next model.\Okay, sure. response:	Episode 5 Love Love Pig!
context: stupid like wear my panties on his head.\Maybe Chiba put him up to it.\I guess I can at least hear him out.\Satou Shinya 12 years old Honor student and PERVERT\I think I've had enough of modeling for class 3...\That's too bad, I wanted to use you for my next model.\Okay, sure.\Episode 5 Love Love Pig! response:	I'm over here.
