context: LEIDENSCHAFTLICH DEPARTMENT OF THE ARMY response:	Excuse me.
context: But I never forgot the sound of your voice when you told me it was okay to cry.\I never forgot about your kindness.\I laughed because you were cute when you acted your age.\I didn't mean to offend you. I'm sorry.\Although my title is'Prince,' my personality isn't exactly that.\Don't expect me to be a mature man.\We only met that one night.\What kind of girl are you? response:	How dreamy. Sounds like a genuine love letter.
context: I never forgot about your kindness.\I laughed because you were cute when you acted your age.\I didn't mean to offend you. I'm sorry.\Although my title is'Prince,' my personality isn't exactly that.\Don't expect me to be a mature man.\We only met that one night.\What kind of girl are you?\How dreamy. Sounds like a genuine love letter. response:	I'm a hot-tempered crybaby.
context: I laughed because you were cute when you acted your age.\I didn't mean to offend you. I'm sorry.\Although my title is'Prince,' my personality isn't exactly that.\Don't expect me to be a mature man.\We only met that one night.\What kind of girl are you?\How dreamy. Sounds like a genuine love letter.\I'm a hot-tempered crybaby. response:	I'm probably not the woman of your dreams.
context: I didn't mean to offend you. I'm sorry.\Although my title is'Prince,' my personality isn't exactly that.\Don't expect me to be a mature man.\We only met that one night.\What kind of girl are you?\How dreamy. Sounds like a genuine love letter.\I'm a hot-tempered crybaby.\I'm probably not the woman of your dreams. response:	No way!
context: Although my title is'Prince,' my personality isn't exactly that.\Don't expect me to be a mature man.\We only met that one night.\What kind of girl are you?\How dreamy. Sounds like a genuine love letter.\I'm a hot-tempered crybaby.\I'm probably not the woman of your dreams.\No way! response:	Come on, prince! Comfort the princess!
context: Don't expect me to be a mature man.\We only met that one night.\What kind of girl are you?\How dreamy. Sounds like a genuine love letter.\I'm a hot-tempered crybaby.\I'm probably not the woman of your dreams.\No way!\Come on, prince! Comfort the princess! response:	I have a little sister, so, I'm used to crybabies.
context: We only met that one night.\What kind of girl are you?\How dreamy. Sounds like a genuine love letter.\I'm a hot-tempered crybaby.\I'm probably not the woman of your dreams.\No way!\Come on, prince! Comfort the princess!\I have a little sister, so, I'm used to crybabies. response:	But I'm not all that great either.
context: What kind of girl are you?\How dreamy. Sounds like a genuine love letter.\I'm a hot-tempered crybaby.\I'm probably not the woman of your dreams.\No way!\Come on, prince! Comfort the princess!\I have a little sister, so, I'm used to crybabies.\But I'm not all that great either. response:	I'm not the man of your dreams, either.
context: How dreamy. Sounds like a genuine love letter.\I'm a hot-tempered crybaby.\I'm probably not the woman of your dreams.\No way!\Come on, prince! Comfort the princess!\I have a little sister, so, I'm used to crybabies.\But I'm not all that great either.\I'm not the man of your dreams, either. response:	That's lame!
context: I'm a hot-tempered crybaby.\I'm probably not the woman of your dreams.\No way!\Come on, prince! Comfort the princess!\I have a little sister, so, I'm used to crybabies.\But I'm not all that great either.\I'm not the man of your dreams, either.\That's lame! response:	Come on, be a man! You're supposed to say, Come with me!
context: I'm probably not the woman of your dreams.\No way!\Come on, prince! Comfort the princess!\I have a little sister, so, I'm used to crybabies.\But I'm not all that great either.\I'm not the man of your dreams, either.\That's lame!\Come on, be a man! You're supposed to say, Come with me! response:	That's not true since I'm already head over heels for you!
context: No way!\Come on, prince! Comfort the princess!\I have a little sister, so, I'm used to crybabies.\But I'm not all that great either.\I'm not the man of your dreams, either.\That's lame!\Come on, be a man! You're supposed to say, Come with me!\That's not true since I'm already head over heels for you! response:	Because of the first letter?
context: Come on, prince! Comfort the princess!\I have a little sister, so, I'm used to crybabies.\But I'm not all that great either.\I'm not the man of your dreams, either.\That's lame!\Come on, be a man! You're supposed to say, Come with me!\That's not true since I'm already head over heels for you!\Because of the first letter? response:	That was the work of a skilled Doll.
context: I have a little sister, so, I'm used to crybabies.\But I'm not all that great either.\I'm not the man of your dreams, either.\That's lame!\Come on, be a man! You're supposed to say, Come with me!\That's not true since I'm already head over heels for you!\Because of the first letter?\That was the work of a skilled Doll. response:	I'm not in love with the one in the letter.
context: But I'm not all that great either.\I'm not the man of your dreams, either.\That's lame!\Come on, be a man! You're supposed to say, Come with me!\That's not true since I'm already head over heels for you!\Because of the first letter?\That was the work of a skilled Doll.\I'm not in love with the one in the letter. response:	I'm into the person I met 4 years ago who patted my head under the moonlight.
context: I'm not the man of your dreams, either.\That's lame!\Come on, be a man! You're supposed to say, Come with me!\That's not true since I'm already head over heels for you!\Because of the first letter?\That was the work of a skilled Doll.\I'm not in love with the one in the letter.\I'm into the person I met 4 years ago who patted my head under the moonlight. response:	I just comforted you that one time because you were crying.
context: That's lame!\Come on, be a man! You're supposed to say, Come with me!\That's not true since I'm already head over heels for you!\Because of the first letter?\That was the work of a skilled Doll.\I'm not in love with the one in the letter.\I'm into the person I met 4 years ago who patted my head under the moonlight.\I just comforted you that one time because you were crying. response:	I've treasured that one moment for all these years like a precious gem!
context: Come on, be a man! You're supposed to say, Come with me!\That's not true since I'm already head over heels for you!\Because of the first letter?\That was the work of a skilled Doll.\I'm not in love with the one in the letter.\I'm into the person I met 4 years ago who patted my head under the moonlight.\I just comforted you that one time because you were crying.\I've treasured that one moment for all these years like a precious gem! response:	I'm insensitive and don't understand a woman's heart.
context: That's not true since I'm already head over heels for you!\Because of the first letter?\That was the work of a skilled Doll.\I'm not in love with the one in the letter.\I'm into the person I met 4 years ago who patted my head under the moonlight.\I just comforted you that one time because you were crying.\I've treasured that one moment for all these years like a precious gem!\I'm insensitive and don't understand a woman's heart. response:	I might leave you and go hunting.
context: Because of the first letter?\That was the work of a skilled Doll.\I'm not in love with the one in the letter.\I'm into the person I met 4 years ago who patted my head under the moonlight.\I just comforted you that one time because you were crying.\I've treasured that one moment for all these years like a precious gem!\I'm insensitive and don't understand a woman's heart.\I might leave you and go hunting. response:	I'll probably disappoint you.
context: That was the work of a skilled Doll.\I'm not in love with the one in the letter.\I'm into the person I met 4 years ago who patted my head under the moonlight.\I just comforted you that one time because you were crying.\I've treasured that one moment for all these years like a precious gem!\I'm insensitive and don't understand a woman's heart.\I might leave you and go hunting.\I'll probably disappoint you. response:	I'm sure you'll meet a better man as you get older.
context: I'm not in love with the one in the letter.\I'm into the person I met 4 years ago who patted my head under the moonlight.\I just comforted you that one time because you were crying.\I've treasured that one moment for all these years like a precious gem!\I'm insensitive and don't understand a woman's heart.\I might leave you and go hunting.\I'll probably disappoint you.\I'm sure you'll meet a better man as you get older. response:	Excuse me, but what do you mean by a'better man'?
context: I'm into the person I met 4 years ago who patted my head under the moonlight.\I just comforted you that one time because you were crying.\I've treasured that one moment for all these years like a precious gem!\I'm insensitive and don't understand a woman's heart.\I might leave you and go hunting.\I'll probably disappoint you.\I'm sure you'll meet a better man as you get older.\Excuse me, but what do you mean by a'better man'? response:	In terms of their looks? Their wealth?
context: I just comforted you that one time because you were crying.\I've treasured that one moment for all these years like a precious gem!\I'm insensitive and don't understand a woman's heart.\I might leave you and go hunting.\I'll probably disappoint you.\I'm sure you'll meet a better man as you get older.\Excuse me, but what do you mean by a'better man'?\In terms of their looks? Their wealth? response:	My idea of a good person is someone who's able to act genuinely.
context: I've treasured that one moment for all these years like a precious gem!\I'm insensitive and don't understand a woman's heart.\I might leave you and go hunting.\I'll probably disappoint you.\I'm sure you'll meet a better man as you get older.\Excuse me, but what do you mean by a'better man'?\In terms of their looks? Their wealth?\My idea of a good person is someone who's able to act genuinely. response:	Among everyone I've met, the only one who admits
context: I'm insensitive and don't understand a woman's heart.\I might leave you and go hunting.\I'll probably disappoint you.\I'm sure you'll meet a better man as you get older.\Excuse me, but what do you mean by a'better man'?\In terms of their looks? Their wealth?\My idea of a good person is someone who's able to act genuinely.\Among everyone I've met, the only one who admits response:	to not being a good man is you!
context: I might leave you and go hunting.\I'll probably disappoint you.\I'm sure you'll meet a better man as you get older.\Excuse me, but what do you mean by a'better man'?\In terms of their looks? Their wealth?\My idea of a good person is someone who's able to act genuinely.\Among everyone I've met, the only one who admits\to not being a good man is you! response:	That's all I care about. That's all I want!
context: I'll probably disappoint you.\I'm sure you'll meet a better man as you get older.\Excuse me, but what do you mean by a'better man'?\In terms of their looks? Their wealth?\My idea of a good person is someone who's able to act genuinely.\Among everyone I've met, the only one who admits\to not being a good man is you!\That's all I care about. That's all I want! response:	I'll go with you when you go hunting.
context: I'm sure you'll meet a better man as you get older.\Excuse me, but what do you mean by a'better man'?\In terms of their looks? Their wealth?\My idea of a good person is someone who's able to act genuinely.\Among everyone I've met, the only one who admits\to not being a good man is you!\That's all I care about. That's all I want!\I'll go with you when you go hunting. response:	Don't underestimate the Princess of Drossel!
context: Excuse me, but what do you mean by a'better man'?\In terms of their looks? Their wealth?\My idea of a good person is someone who's able to act genuinely.\Among everyone I've met, the only one who admits\to not being a good man is you!\That's all I care about. That's all I want!\I'll go with you when you go hunting.\Don't underestimate the Princess of Drossel! response:	I'm educated so that I'm able to marry into any family!
context: In terms of their looks? Their wealth?\My idea of a good person is someone who's able to act genuinely.\Among everyone I've met, the only one who admits\to not being a good man is you!\That's all I care about. That's all I want!\I'll go with you when you go hunting.\Don't underestimate the Princess of Drossel!\I'm educated so that I'm able to marry into any family! response:	I bet I'm a better hunter than you!
context: My idea of a good person is someone who's able to act genuinely.\Among everyone I've met, the only one who admits\to not being a good man is you!\That's all I care about. That's all I want!\I'll go with you when you go hunting.\Don't underestimate the Princess of Drossel!\I'm educated so that I'm able to marry into any family!\I bet I'm a better hunter than you! response:	I shouldn't have written that!
context: Among everyone I've met, the only one who admits\to not being a good man is you!\That's all I care about. That's all I want!\I'll go with you when you go hunting.\Don't underestimate the Princess of Drossel!\I'm educated so that I'm able to marry into any family!\I bet I'm a better hunter than you!\I shouldn't have written that! response:	He must think I'm an ugly brat!
context: to not being a good man is you!\That's all I care about. That's all I want!\I'll go with you when you go hunting.\Don't underestimate the Princess of Drossel!\I'm educated so that I'm able to marry into any family!\I bet I'm a better hunter than you!\I shouldn't have written that!\He must think I'm an ugly brat! response:	I should've had you write everything, Violet!
context: That's all I care about. That's all I want!\I'll go with you when you go hunting.\Don't underestimate the Princess of Drossel!\I'm educated so that I'm able to marry into any family!\I bet I'm a better hunter than you!\I shouldn't have written that!\He must think I'm an ugly brat!\I should've had you write everything, Violet! response:	Why didn't Alberta stop me?
context: I'll go with you when you go hunting.\Don't underestimate the Princess of Drossel!\I'm educated so that I'm able to marry into any family!\I bet I'm a better hunter than you!\I shouldn't have written that!\He must think I'm an ugly brat!\I should've had you write everything, Violet!\Why didn't Alberta stop me? response:	Princess Charlotte.
context: Don't underestimate the Princess of Drossel!\I'm educated so that I'm able to marry into any family!\I bet I'm a better hunter than you!\I shouldn't have written that!\He must think I'm an ugly brat!\I should've had you write everything, Violet!\Why didn't Alberta stop me?\Princess Charlotte. response:	Here's his reply.
context: I'm educated so that I'm able to marry into any family!\I bet I'm a better hunter than you!\I shouldn't have written that!\He must think I'm an ugly brat!\I should've had you write everything, Violet!\Why didn't Alberta stop me?\Princess Charlotte.\Here's his reply. response:	What does it say?
context: I bet I'm a better hunter than you!\I shouldn't have written that!\He must think I'm an ugly brat!\I should've had you write everything, Violet!\Why didn't Alberta stop me?\Princess Charlotte.\Here's his reply.\What does it say? response:	It says, I'll be waiting for you in the garden under the moon tonight.
context: I shouldn't have written that!\He must think I'm an ugly brat!\I should've had you write everything, Violet!\Why didn't Alberta stop me?\Princess Charlotte.\Here's his reply.\What does it say?\It says, I'll be waiting for you in the garden under the moon tonight. response:	Hey.
context: He must think I'm an ugly brat!\I should've had you write everything, Violet!\Why didn't Alberta stop me?\Princess Charlotte.\Here's his reply.\What does it say?\It says, I'll be waiting for you in the garden under the moon tonight.\Hey. response:	Prince Damian?
context: I should've had you write everything, Violet!\Why didn't Alberta stop me?\Princess Charlotte.\Here's his reply.\What does it say?\It says, I'll be waiting for you in the garden under the moon tonight.\Hey.\Prince Damian? response:	I brought my reply.
context: Why didn't Alberta stop me?\Princess Charlotte.\Here's his reply.\What does it say?\It says, I'll be waiting for you in the garden under the moon tonight.\Hey.\Prince Damian?\I brought my reply. response:	My future bride
context: Princess Charlotte.\Here's his reply.\What does it say?\It says, I'll be waiting for you in the garden under the moon tonight.\Hey.\Prince Damian?\I brought my reply.\My future bride response:	seems to be a smart, strong-willed, and funny person.
context: Here's his reply.\What does it say?\It says, I'll be waiting for you in the garden under the moon tonight.\Hey.\Prince Damian?\I brought my reply.\My future bride\seems to be a smart, strong-willed, and funny person. response:	She'd make a good queen.
context: What does it say?\It says, I'll be waiting for you in the garden under the moon tonight.\Hey.\Prince Damian?\I brought my reply.\My future bride\seems to be a smart, strong-willed, and funny person.\She'd make a good queen. response:	Let's get married, Charlotte.
context: It says, I'll be waiting for you in the garden under the moon tonight.\Hey.\Prince Damian?\I brought my reply.\My future bride\seems to be a smart, strong-willed, and funny person.\She'd make a good queen.\Let's get married, Charlotte. response:	Will you marry me?
context: Hey.\Prince Damian?\I brought my reply.\My future bride\seems to be a smart, strong-willed, and funny person.\She'd make a good queen.\Let's get married, Charlotte.\Will you marry me? response:	Yes.
context: Prince Damian?\I brought my reply.\My future bride\seems to be a smart, strong-willed, and funny person.\She'd make a good queen.\Let's get married, Charlotte.\Will you marry me?\Yes. response:	Their love has a happy ending.
context: I brought my reply.\My future bride\seems to be a smart, strong-willed, and funny person.\She'd make a good queen.\Let's get married, Charlotte.\Will you marry me?\Yes.\Their love has a happy ending. response:	Princess.
context: My future bride\seems to be a smart, strong-willed, and funny person.\She'd make a good queen.\Let's get married, Charlotte.\Will you marry me?\Yes.\Their love has a happy ending.\Princess. response:	It's time to get ready.
context: seems to be a smart, strong-willed, and funny person.\She'd make a good queen.\Let's get married, Charlotte.\Will you marry me?\Yes.\Their love has a happy ending.\Princess.\It's time to get ready. response:	Please wake up.
context: She'd make a good queen.\Let's get married, Charlotte.\Will you marry me?\Yes.\Their love has a happy ending.\Princess.\It's time to get ready.\Please wake up. response:	Princess?
context: Let's get married, Charlotte.\Will you marry me?\Yes.\Their love has a happy ending.\Princess.\It's time to get ready.\Please wake up.\Princess? response:	Alberta.
context: Will you marry me?\Yes.\Their love has a happy ending.\Princess.\It's time to get ready.\Please wake up.\Princess?\Alberta. response:	Alberta, I'm over here.
context: Yes.\Their love has a happy ending.\Princess.\It's time to get ready.\Please wake up.\Princess?\Alberta.\Alberta, I'm over here. response:	Good morning.
context: Their love has a happy ending.\Princess.\It's time to get ready.\Please wake up.\Princess?\Alberta.\Alberta, I'm over here.\Good morning. response:	Princess, you shouldn't tease adults.
context: Princess.\It's time to get ready.\Please wake up.\Princess?\Alberta.\Alberta, I'm over here.\Good morning.\Princess, you shouldn't tease adults. response:	Oh? But I'm a mature adult now, too.
context: It's time to get ready.\Please wake up.\Princess?\Alberta.\Alberta, I'm over here.\Good morning.\Princess, you shouldn't tease adults.\Oh? But I'm a mature adult now, too. response:	Now, Princess Charlotte, it's time to get dressed.
context: Please wake up.\Princess?\Alberta.\Alberta, I'm over here.\Good morning.\Princess, you shouldn't tease adults.\Oh? But I'm a mature adult now, too.\Now, Princess Charlotte, it's time to get dressed. response:	Hey, Alberta.
context: Princess?\Alberta.\Alberta, I'm over here.\Good morning.\Princess, you shouldn't tease adults.\Oh? But I'm a mature adult now, too.\Now, Princess Charlotte, it's time to get dressed.\Hey, Alberta. response:	Where do you think Violet is now?
context: Alberta.\Alberta, I'm over here.\Good morning.\Princess, you shouldn't tease adults.\Oh? But I'm a mature adult now, too.\Now, Princess Charlotte, it's time to get dressed.\Hey, Alberta.\Where do you think Violet is now? response:	She must have left the country by now.
context: Alberta, I'm over here.\Good morning.\Princess, you shouldn't tease adults.\Oh? But I'm a mature adult now, too.\Now, Princess Charlotte, it's time to get dressed.\Hey, Alberta.\Where do you think Violet is now?\She must have left the country by now. response:	You look beautiful.
context: Good morning.\Princess, you shouldn't tease adults.\Oh? But I'm a mature adult now, too.\Now, Princess Charlotte, it's time to get dressed.\Hey, Alberta.\Where do you think Violet is now?\She must have left the country by now.\You look beautiful. response:	I wish Violet could've seen me in my wedding dress.
context: Princess, you shouldn't tease adults.\Oh? But I'm a mature adult now, too.\Now, Princess Charlotte, it's time to get dressed.\Hey, Alberta.\Where do you think Violet is now?\She must have left the country by now.\You look beautiful.\I wish Violet could've seen me in my wedding dress. response:	Are your worries gone now?
context: Oh? But I'm a mature adult now, too.\Now, Princess Charlotte, it's time to get dressed.\Hey, Alberta.\Where do you think Violet is now?\She must have left the country by now.\You look beautiful.\I wish Violet could've seen me in my wedding dress.\Are your worries gone now? response:	Gone? Of course not!
context: Now, Princess Charlotte, it's time to get dressed.\Hey, Alberta.\Where do you think Violet is now?\She must have left the country by now.\You look beautiful.\I wish Violet could've seen me in my wedding dress.\Are your worries gone now?\Gone? Of course not! response:	I'm on the verge of crying right now.
context: Hey, Alberta.\Where do you think Violet is now?\She must have left the country by now.\You look beautiful.\I wish Violet could've seen me in my wedding dress.\Are your worries gone now?\Gone? Of course not!\I'm on the verge of crying right now. response:	You must not cry. You're about to set off on a new journey.
context: Where do you think Violet is now?\She must have left the country by now.\You look beautiful.\I wish Violet could've seen me in my wedding dress.\Are your worries gone now?\Gone? Of course not!\I'm on the verge of crying right now.\You must not cry. You're about to set off on a new journey. response:	It was my dream to marry Prince Damian.
context: She must have left the country by now.\You look beautiful.\I wish Violet could've seen me in my wedding dress.\Are your worries gone now?\Gone? Of course not!\I'm on the verge of crying right now.\You must not cry. You're about to set off on a new journey.\It was my dream to marry Prince Damian. response:	Yes.
context: You look beautiful.\I wish Violet could've seen me in my wedding dress.\Are your worries gone now?\Gone? Of course not!\I'm on the verge of crying right now.\You must not cry. You're about to set off on a new journey.\It was my dream to marry Prince Damian.\Yes. response:	But I hate that I have to leave my home.
context: I wish Violet could've seen me in my wedding dress.\Are your worries gone now?\Gone? Of course not!\I'm on the verge of crying right now.\You must not cry. You're about to set off on a new journey.\It was my dream to marry Prince Damian.\Yes.\But I hate that I have to leave my home. response:	Yes.
context: Are your worries gone now?\Gone? Of course not!\I'm on the verge of crying right now.\You must not cry. You're about to set off on a new journey.\It was my dream to marry Prince Damian.\Yes.\But I hate that I have to leave my home.\Yes. response:	But what I really dread is to be separated from you,
context: Gone? Of course not!\I'm on the verge of crying right now.\You must not cry. You're about to set off on a new journey.\It was my dream to marry Prince Damian.\Yes.\But I hate that I have to leave my home.\Yes.\But what I really dread is to be separated from you, response:	more than anyone!
context: I'm on the verge of crying right now.\You must not cry. You're about to set off on a new journey.\It was my dream to marry Prince Damian.\Yes.\But I hate that I have to leave my home.\Yes.\But what I really dread is to be separated from you,\more than anyone! response:	Alberta.
context: You must not cry. You're about to set off on a new journey.\It was my dream to marry Prince Damian.\Yes.\But I hate that I have to leave my home.\Yes.\But what I really dread is to be separated from you,\more than anyone!\Alberta. response:	Princess.
context: It was my dream to marry Prince Damian.\Yes.\But I hate that I have to leave my home.\Yes.\But what I really dread is to be separated from you,\more than anyone!\Alberta.\Princess. response:	I wish you happiness.
context: Yes.\But I hate that I have to leave my home.\Yes.\But what I really dread is to be separated from you,\more than anyone!\Alberta.\Princess.\I wish you happiness. response:	Princess Charlotte.
context: But I hate that I have to leave my home.\Yes.\But what I really dread is to be separated from you,\more than anyone!\Alberta.\Princess.\I wish you happiness.\Princess Charlotte. response:	Alberta.
context: Yes.\But what I really dread is to be separated from you,\more than anyone!\Alberta.\Princess.\I wish you happiness.\Princess Charlotte.\Alberta. response:	Violet.
context: But what I really dread is to be separated from you,\more than anyone!\Alberta.\Princess.\I wish you happiness.\Princess Charlotte.\Alberta.\Violet. response:	You owe me one.
context: more than anyone!\Alberta.\Princess.\I wish you happiness.\Princess Charlotte.\Alberta.\Violet.\You owe me one. response:	It was hard to convince Prince Damian to do it.
context: Alberta.\Princess.\I wish you happiness.\Princess Charlotte.\Alberta.\Violet.\You owe me one.\It was hard to convince Prince Damian to do it. response:	Thank you very much.
context: Princess.\I wish you happiness.\Princess Charlotte.\Alberta.\Violet.\You owe me one.\It was hard to convince Prince Damian to do it.\Thank you very much. response:	I want to eat steak.
context: I wish you happiness.\Princess Charlotte.\Alberta.\Violet.\You owe me one.\It was hard to convince Prince Damian to do it.\Thank you very much.\I want to eat steak. response:	Is that what I owe you?
context: Princess Charlotte.\Alberta.\Violet.\You owe me one.\It was hard to convince Prince Damian to do it.\Thank you very much.\I want to eat steak.\Is that what I owe you? response:	Indeed!
context: Alberta.\Violet.\You owe me one.\It was hard to convince Prince Damian to do it.\Thank you very much.\I want to eat steak.\Is that what I owe you?\Indeed! response:	Understood.
context: Violet.\You owe me one.\It was hard to convince Prince Damian to do it.\Thank you very much.\I want to eat steak.\Is that what I owe you?\Indeed!\Understood. response:	Hey. Today is such a beautiful day.
context: You owe me one.\It was hard to convince Prince Damian to do it.\Thank you very much.\I want to eat steak.\Is that what I owe you?\Indeed!\Understood.\Hey. Today is such a beautiful day. response:	Don't you think?
context: It was hard to convince Prince Damian to do it.\Thank you very much.\I want to eat steak.\Is that what I owe you?\Indeed!\Understood.\Hey. Today is such a beautiful day.\Don't you think? response:	Yes.
context: Thank you very much.\I want to eat steak.\Is that what I owe you?\Indeed!\Understood.\Hey. Today is such a beautiful day.\Don't you think?\Yes. response:	A beautiful day for a wedding.
context: I want to eat steak.\Is that what I owe you?\Indeed!\Understood.\Hey. Today is such a beautiful day.\Don't you think?\Yes.\A beautiful day for a wedding. response:	LEIDENSCHAFTLICH PORT OF LEIDEN
context: Is that what I owe you?\Indeed!\Understood.\Hey. Today is such a beautiful day.\Don't you think?\Yes.\A beautiful day for a wedding.\LEIDENSCHAFTLICH PORT OF LEIDEN response:	It's you.
context: Indeed!\Understood.\Hey. Today is such a beautiful day.\Don't you think?\Yes.\A beautiful day for a wedding.\LEIDENSCHAFTLICH PORT OF LEIDEN\It's you. response:	Diethard.
context: Understood.\Hey. Today is such a beautiful day.\Don't you think?\Yes.\A beautiful day for a wedding.\LEIDENSCHAFTLICH PORT OF LEIDEN\It's you.\Diethard. response:	Navy Captain Bougainvillea.
context: Hey. Today is such a beautiful day.\Don't you think?\Yes.\A beautiful day for a wedding.\LEIDENSCHAFTLICH PORT OF LEIDEN\It's you.\Diethard.\Navy Captain Bougainvillea. response:	I heard rumors about you.
context: Don't you think?\Yes.\A beautiful day for a wedding.\LEIDENSCHAFTLICH PORT OF LEIDEN\It's you.\Diethard.\Navy Captain Bougainvillea.\I heard rumors about you. response:	So, you really did become an Auto Memory Doll.
context: Yes.\A beautiful day for a wedding.\LEIDENSCHAFTLICH PORT OF LEIDEN\It's you.\Diethard.\Navy Captain Bougainvillea.\I heard rumors about you.\So, you really did become an Auto Memory Doll. response:	You bastard.
context: A beautiful day for a wedding.\LEIDENSCHAFTLICH PORT OF LEIDEN\It's you.\Diethard.\Navy Captain Bougainvillea.\I heard rumors about you.\So, you really did become an Auto Memory Doll.\You bastard. response:	The one who killed so many of my comrades.
context: LEIDENSCHAFTLICH PORT OF LEIDEN\It's you.\Diethard.\Navy Captain Bougainvillea.\I heard rumors about you.\So, you really did become an Auto Memory Doll.\You bastard.\The one who killed so many of my comrades. response:	Writing letters...
context: It's you.\Diethard.\Navy Captain Bougainvillea.\I heard rumors about you.\So, you really did become an Auto Memory Doll.\You bastard.\The one who killed so many of my comrades.\Writing letters... response:	with the very hand that took the lives of so many.
context: Diethard.\Navy Captain Bougainvillea.\I heard rumors about you.\So, you really did become an Auto Memory Doll.\You bastard.\The one who killed so many of my comrades.\Writing letters...\with the very hand that took the lives of so many. response:	You write letters that bring people together?
context: Navy Captain Bougainvillea.\I heard rumors about you.\So, you really did become an Auto Memory Doll.\You bastard.\The one who killed so many of my comrades.\Writing letters...\with the very hand that took the lives of so many.\You write letters that bring people together? response:	Subtitle translation by Sachiko Takahashi
