context: The truth is... response:	Honestly, I wasn't going to play volleyball in high school.
context: You can't come back to it.\I want you to go to that match and laugh with Tamarai-san again.\I want the three of us to eat lunch together again.\I'm not trying to patronize you.\Just trying to fulfill my selfish desire.\So...\Do you really want things to stay this way?\What do you actually want? response:	I want...
context: I want you to go to that match and laugh with Tamarai-san again.\I want the three of us to eat lunch together again.\I'm not trying to patronize you.\Just trying to fulfill my selfish desire.\So...\Do you really want things to stay this way?\What do you actually want?\I want... response:	I wanna play!
context: I want the three of us to eat lunch together again.\I'm not trying to patronize you.\Just trying to fulfill my selfish desire.\So...\Do you really want things to stay this way?\What do you actually want?\I want...\I wanna play! response:	It's the last...
context: I'm not trying to patronize you.\Just trying to fulfill my selfish desire.\So...\Do you really want things to stay this way?\What do you actually want?\I want...\I wanna play!\It's the last... response:	We all worked so hard, and this is the last...
context: Just trying to fulfill my selfish desire.\So...\Do you really want things to stay this way?\What do you actually want?\I want...\I wanna play!\It's the last...\We all worked so hard, and this is the last... response:	But I haven't practiced for two weeks.
context: So...\Do you really want things to stay this way?\What do you actually want?\I want...\I wanna play!\It's the last...\We all worked so hard, and this is the last...\But I haven't practiced for two weeks. response:	I can't stand next to Honoka.
context: Do you really want things to stay this way?\What do you actually want?\I want...\I wanna play!\It's the last...\We all worked so hard, and this is the last...\But I haven't practiced for two weeks.\I can't stand next to Honoka. response:	My teammates won't want me there.
context: What do you actually want?\I want...\I wanna play!\It's the last...\We all worked so hard, and this is the last...\But I haven't practiced for two weeks.\I can't stand next to Honoka.\My teammates won't want me there. response:	I can't just jump into a match
context: I want...\I wanna play!\It's the last...\We all worked so hard, and this is the last...\But I haven't practiced for two weeks.\I can't stand next to Honoka.\My teammates won't want me there.\I can't just jump into a match response:	the moment my ankle's healed!
context: I wanna play!\It's the last...\We all worked so hard, and this is the last...\But I haven't practiced for two weeks.\I can't stand next to Honoka.\My teammates won't want me there.\I can't just jump into a match\the moment my ankle's healed! response:	So I made up my mind to quit and left the team.
context: It's the last...\We all worked so hard, and this is the last...\But I haven't practiced for two weeks.\I can't stand next to Honoka.\My teammates won't want me there.\I can't just jump into a match\the moment my ankle's healed!\So I made up my mind to quit and left the team. response:	I couldn't back down from that
context: We all worked so hard, and this is the last...\But I haven't practiced for two weeks.\I can't stand next to Honoka.\My teammates won't want me there.\I can't just jump into a match\the moment my ankle's healed!\So I made up my mind to quit and left the team.\I couldn't back down from that response:	and said some horrible things, so why are you all being so nice to me?
context: But I haven't practiced for two weeks.\I can't stand next to Honoka.\My teammates won't want me there.\I can't just jump into a match\the moment my ankle's healed!\So I made up my mind to quit and left the team.\I couldn't back down from that\and said some horrible things, so why are you all being so nice to me? response:	You won't let me give up!
context: I can't stand next to Honoka.\My teammates won't want me there.\I can't just jump into a match\the moment my ankle's healed!\So I made up my mind to quit and left the team.\I couldn't back down from that\and said some horrible things, so why are you all being so nice to me?\You won't let me give up! response:	Why?
context: My teammates won't want me there.\I can't just jump into a match\the moment my ankle's healed!\So I made up my mind to quit and left the team.\I couldn't back down from that\and said some horrible things, so why are you all being so nice to me?\You won't let me give up!\Why? response:	Because everybody likes you.
context: I can't just jump into a match\the moment my ankle's healed!\So I made up my mind to quit and left the team.\I couldn't back down from that\and said some horrible things, so why are you all being so nice to me?\You won't let me give up!\Why?\Because everybody likes you. response:	Tamarai-san said she wants to play with you, too.
context: the moment my ankle's healed!\So I made up my mind to quit and left the team.\I couldn't back down from that\and said some horrible things, so why are you all being so nice to me?\You won't let me give up!\Why?\Because everybody likes you.\Tamarai-san said she wants to play with you, too. response:	But since she caused your sprain, she couldn't bring herself
context: So I made up my mind to quit and left the team.\I couldn't back down from that\and said some horrible things, so why are you all being so nice to me?\You won't let me give up!\Why?\Because everybody likes you.\Tamarai-san said she wants to play with you, too.\But since she caused your sprain, she couldn't bring herself response:	to ask you to grant her selfish desire.
context: I couldn't back down from that\and said some horrible things, so why are you all being so nice to me?\You won't let me give up!\Why?\Because everybody likes you.\Tamarai-san said she wants to play with you, too.\But since she caused your sprain, she couldn't bring herself\to ask you to grant her selfish desire. response:	There's no problem at all.
context: and said some horrible things, so why are you all being so nice to me?\You won't let me give up!\Why?\Because everybody likes you.\Tamarai-san said she wants to play with you, too.\But since she caused your sprain, she couldn't bring herself\to ask you to grant her selfish desire.\There's no problem at all. response:	I mean, you both want to play your last game together,
context: You won't let me give up!\Why?\Because everybody likes you.\Tamarai-san said she wants to play with you, too.\But since she caused your sprain, she couldn't bring herself\to ask you to grant her selfish desire.\There's no problem at all.\I mean, you both want to play your last game together, response:	and we all want you to.
context: Why?\Because everybody likes you.\Tamarai-san said she wants to play with you, too.\But since she caused your sprain, she couldn't bring herself\to ask you to grant her selfish desire.\There's no problem at all.\I mean, you both want to play your last game together,\and we all want you to. response:	All of our selfish desires align.
context: Because everybody likes you.\Tamarai-san said she wants to play with you, too.\But since she caused your sprain, she couldn't bring herself\to ask you to grant her selfish desire.\There's no problem at all.\I mean, you both want to play your last game together,\and we all want you to.\All of our selfish desires align. response:	Let's go.
context: Tamarai-san said she wants to play with you, too.\But since she caused your sprain, she couldn't bring herself\to ask you to grant her selfish desire.\There's no problem at all.\I mean, you both want to play your last game together,\and we all want you to.\All of our selfish desires align.\Let's go. response:	Will you run if I don't drag you?
context: But since she caused your sprain, she couldn't bring herself\to ask you to grant her selfish desire.\There's no problem at all.\I mean, you both want to play your last game together,\and we all want you to.\All of our selfish desires align.\Let's go.\Will you run if I don't drag you? response:	Hello?
context: to ask you to grant her selfish desire.\There's no problem at all.\I mean, you both want to play your last game together,\and we all want you to.\All of our selfish desires align.\Let's go.\Will you run if I don't drag you?\Hello? response:	They lost the first set! Momentum's against them!
context: There's no problem at all.\I mean, you both want to play your last game together,\and we all want you to.\All of our selfish desires align.\Let's go.\Will you run if I don't drag you?\Hello?\They lost the first set! Momentum's against them! response:	Your team...
context: I mean, you both want to play your last game together,\and we all want you to.\All of our selfish desires align.\Let's go.\Will you run if I don't drag you?\Hello?\They lost the first set! Momentum's against them!\Your team... response:	They're on the back foot.
context: and we all want you to.\All of our selfish desires align.\Let's go.\Will you run if I don't drag you?\Hello?\They lost the first set! Momentum's against them!\Your team...\They're on the back foot. response:	Rena!
context: All of our selfish desires align.\Let's go.\Will you run if I don't drag you?\Hello?\They lost the first set! Momentum's against them!\Your team...\They're on the back foot.\Rena! response:	Come on, get going.
context: Let's go.\Will you run if I don't drag you?\Hello?\They lost the first set! Momentum's against them!\Your team...\They're on the back foot.\Rena!\Come on, get going. response:	Good luck.
context: Will you run if I don't drag you?\Hello?\They lost the first set! Momentum's against them!\Your team...\They're on the back foot.\Rena!\Come on, get going.\Good luck. response:	Kariu-san.
context: Hello?\They lost the first set! Momentum's against them!\Your team...\They're on the back foot.\Rena!\Come on, get going.\Good luck.\Kariu-san. response:	Rena!
context: They lost the first set! Momentum's against them!\Your team...\They're on the back foot.\Rena!\Come on, get going.\Good luck.\Kariu-san.\Rena! response:	Sorry I'm late.
context: Your team...\They're on the back foot.\Rena!\Come on, get going.\Good luck.\Kariu-san.\Rena!\Sorry I'm late. response:	And for everything else.
context: They're on the back foot.\Rena!\Come on, get going.\Good luck.\Kariu-san.\Rena!\Sorry I'm late.\And for everything else. response:	I really...
context: Rena!\Come on, get going.\Good luck.\Kariu-san.\Rena!\Sorry I'm late.\And for everything else.\I really... response:	We couldn't play well without you!
context: Come on, get going.\Good luck.\Kariu-san.\Rena!\Sorry I'm late.\And for everything else.\I really...\We couldn't play well without you! response:	We've all been waiting. Thanks for coming!
context: Good luck.\Kariu-san.\Rena!\Sorry I'm late.\And for everything else.\I really...\We couldn't play well without you!\We've all been waiting. Thanks for coming! response:	Let's win!
context: Kariu-san.\Rena!\Sorry I'm late.\And for everything else.\I really...\We couldn't play well without you!\We've all been waiting. Thanks for coming!\Let's win! response:	So we can all play together longer!
context: Rena!\Sorry I'm late.\And for everything else.\I really...\We couldn't play well without you!\We've all been waiting. Thanks for coming!\Let's win!\So we can all play together longer! response:	Come on, Honoka!
context: Sorry I'm late.\And for everything else.\I really...\We couldn't play well without you!\We've all been waiting. Thanks for coming!\Let's win!\So we can all play together longer!\Come on, Honoka! response:	Stop crying already!
context: And for everything else.\I really...\We couldn't play well without you!\We've all been waiting. Thanks for coming!\Let's win!\So we can all play together longer!\Come on, Honoka!\Stop crying already! response:	You, too!
context: I really...\We couldn't play well without you!\We've all been waiting. Thanks for coming!\Let's win!\So we can all play together longer!\Come on, Honoka!\Stop crying already!\You, too! response:	Why did I sit between them?
context: We couldn't play well without you!\We've all been waiting. Thanks for coming!\Let's win!\So we can all play together longer!\Come on, Honoka!\Stop crying already!\You, too!\Why did I sit between them? response:	Sorry.
context: We've all been waiting. Thanks for coming!\Let's win!\So we can all play together longer!\Come on, Honoka!\Stop crying already!\You, too!\Why did I sit between them?\Sorry. response:	I kept thinking I had to keep it together, but I couldn't.
context: Let's win!\So we can all play together longer!\Come on, Honoka!\Stop crying already!\You, too!\Why did I sit between them?\Sorry.\I kept thinking I had to keep it together, but I couldn't. response:	But when you came, I really wanted to win, and rushed things.
context: So we can all play together longer!\Come on, Honoka!\Stop crying already!\You, too!\Why did I sit between them?\Sorry.\I kept thinking I had to keep it together, but I couldn't.\But when you came, I really wanted to win, and rushed things. response:	Would you have won without me?
context: Come on, Honoka!\Stop crying already!\You, too!\Why did I sit between them?\Sorry.\I kept thinking I had to keep it together, but I couldn't.\But when you came, I really wanted to win, and rushed things.\Would you have won without me? response:	No way!
context: Stop crying already!\You, too!\Why did I sit between them?\Sorry.\I kept thinking I had to keep it together, but I couldn't.\But when you came, I really wanted to win, and rushed things.\Would you have won without me?\No way! response:	You should've seen the look on my face when you weren't here!
context: You, too!\Why did I sit between them?\Sorry.\I kept thinking I had to keep it together, but I couldn't.\But when you came, I really wanted to win, and rushed things.\Would you have won without me?\No way!\You should've seen the look on my face when you weren't here! response:	She looked dead.
context: Why did I sit between them?\Sorry.\I kept thinking I had to keep it together, but I couldn't.\But when you came, I really wanted to win, and rushed things.\Would you have won without me?\No way!\You should've seen the look on my face when you weren't here!\She looked dead. response:	Hey!
context: Sorry.\I kept thinking I had to keep it together, but I couldn't.\But when you came, I really wanted to win, and rushed things.\Would you have won without me?\No way!\You should've seen the look on my face when you weren't here!\She looked dead.\Hey! response:	Even if we had won like that, I wouldn't have been happy.
context: I kept thinking I had to keep it together, but I couldn't.\But when you came, I really wanted to win, and rushed things.\Would you have won without me?\No way!\You should've seen the look on my face when you weren't here!\She looked dead.\Hey!\Even if we had won like that, I wouldn't have been happy. response:	It wouldn't have been fun.
context: But when you came, I really wanted to win, and rushed things.\Would you have won without me?\No way!\You should've seen the look on my face when you weren't here!\She looked dead.\Hey!\Even if we had won like that, I wouldn't have been happy.\It wouldn't have been fun. response:	Yeah, same here.
context: Would you have won without me?\No way!\You should've seen the look on my face when you weren't here!\She looked dead.\Hey!\Even if we had won like that, I wouldn't have been happy.\It wouldn't have been fun.\Yeah, same here. response:	We lost, but that match was super fun.
context: No way!\You should've seen the look on my face when you weren't here!\She looked dead.\Hey!\Even if we had won like that, I wouldn't have been happy.\It wouldn't have been fun.\Yeah, same here.\We lost, but that match was super fun. response:	Honoka, were you going to Aoba College?
context: You should've seen the look on my face when you weren't here!\She looked dead.\Hey!\Even if we had won like that, I wouldn't have been happy.\It wouldn't have been fun.\Yeah, same here.\We lost, but that match was super fun.\Honoka, were you going to Aoba College? response:	Yeah.
context: She looked dead.\Hey!\Even if we had won like that, I wouldn't have been happy.\It wouldn't have been fun.\Yeah, same here.\We lost, but that match was super fun.\Honoka, were you going to Aoba College?\Yeah. response:	Then we aren't done yet.
context: Hey!\Even if we had won like that, I wouldn't have been happy.\It wouldn't have been fun.\Yeah, same here.\We lost, but that match was super fun.\Honoka, were you going to Aoba College?\Yeah.\Then we aren't done yet. response:	Let's play volleyball again in college!
context: Even if we had won like that, I wouldn't have been happy.\It wouldn't have been fun.\Yeah, same here.\We lost, but that match was super fun.\Honoka, were you going to Aoba College?\Yeah.\Then we aren't done yet.\Let's play volleyball again in college! response:	Yeah...
context: It wouldn't have been fun.\Yeah, same here.\We lost, but that match was super fun.\Honoka, were you going to Aoba College?\Yeah.\Then we aren't done yet.\Let's play volleyball again in college!\Yeah... response:	Yeah!
context: Yeah, same here.\We lost, but that match was super fun.\Honoka, were you going to Aoba College?\Yeah.\Then we aren't done yet.\Let's play volleyball again in college!\Yeah...\Yeah! response:	Sorry I was so mean the day I got hurt.
context: We lost, but that match was super fun.\Honoka, were you going to Aoba College?\Yeah.\Then we aren't done yet.\Let's play volleyball again in college!\Yeah...\Yeah!\Sorry I was so mean the day I got hurt. response:	Thanks for not giving up on me.
context: Honoka, were you going to Aoba College?\Yeah.\Then we aren't done yet.\Let's play volleyball again in college!\Yeah...\Yeah!\Sorry I was so mean the day I got hurt.\Thanks for not giving up on me. response:	No, I'm sorry for causing your sprain.
context: Yeah.\Then we aren't done yet.\Let's play volleyball again in college!\Yeah...\Yeah!\Sorry I was so mean the day I got hurt.\Thanks for not giving up on me.\No, I'm sorry for causing your sprain. response:	Thanks for coming back.
context: Then we aren't done yet.\Let's play volleyball again in college!\Yeah...\Yeah!\Sorry I was so mean the day I got hurt.\Thanks for not giving up on me.\No, I'm sorry for causing your sprain.\Thanks for coming back. response:	It's all thanks to you, Hishiro!
context: Let's play volleyball again in college!\Yeah...\Yeah!\Sorry I was so mean the day I got hurt.\Thanks for not giving up on me.\No, I'm sorry for causing your sprain.\Thanks for coming back.\It's all thanks to you, Hishiro! response:	Thanks.
context: Yeah...\Yeah!\Sorry I was so mean the day I got hurt.\Thanks for not giving up on me.\No, I'm sorry for causing your sprain.\Thanks for coming back.\It's all thanks to you, Hishiro!\Thanks. response:	Thanks, Hishiron!
context: Yeah!\Sorry I was so mean the day I got hurt.\Thanks for not giving up on me.\No, I'm sorry for causing your sprain.\Thanks for coming back.\It's all thanks to you, Hishiro!\Thanks.\Thanks, Hishiron! response:	Hishiro's doing that creepy smile again!
context: Sorry I was so mean the day I got hurt.\Thanks for not giving up on me.\No, I'm sorry for causing your sprain.\Thanks for coming back.\It's all thanks to you, Hishiro!\Thanks.\Thanks, Hishiron!\Hishiro's doing that creepy smile again! response:	How mean, Rena!
context: Thanks for not giving up on me.\No, I'm sorry for causing your sprain.\Thanks for coming back.\It's all thanks to you, Hishiro!\Thanks.\Thanks, Hishiron!\Hishiro's doing that creepy smile again!\How mean, Rena! response:	It is creepy, though.
context: No, I'm sorry for causing your sprain.\Thanks for coming back.\It's all thanks to you, Hishiro!\Thanks.\Thanks, Hishiron!\Hishiro's doing that creepy smile again!\How mean, Rena!\It is creepy, though. response:	That hurts.
context: Thanks for coming back.\It's all thanks to you, Hishiro!\Thanks.\Thanks, Hishiron!\Hishiro's doing that creepy smile again!\How mean, Rena!\It is creepy, though.\That hurts. response:	But it's a super weird smile!
context: It's all thanks to you, Hishiro!\Thanks.\Thanks, Hishiron!\Hishiro's doing that creepy smile again!\How mean, Rena!\It is creepy, though.\That hurts.\But it's a super weird smile! response:	All's well that ends well, huh?
context: Thanks.\Thanks, Hishiron!\Hishiro's doing that creepy smile again!\How mean, Rena!\It is creepy, though.\That hurts.\But it's a super weird smile!\All's well that ends well, huh? response:	Yep.
context: Thanks, Hishiron!\Hishiro's doing that creepy smile again!\How mean, Rena!\It is creepy, though.\That hurts.\But it's a super weird smile!\All's well that ends well, huh?\Yep. response:	We'd never seen Tama-chan look so alive during a match, either!
context: Hishiro's doing that creepy smile again!\How mean, Rena!\It is creepy, though.\That hurts.\But it's a super weird smile!\All's well that ends well, huh?\Yep.\We'd never seen Tama-chan look so alive during a match, either! response:	I'm so glad!
context: How mean, Rena!\It is creepy, though.\That hurts.\But it's a super weird smile!\All's well that ends well, huh?\Yep.\We'd never seen Tama-chan look so alive during a match, either!\I'm so glad! response:	Thanks.
context: It is creepy, though.\That hurts.\But it's a super weird smile!\All's well that ends well, huh?\Yep.\We'd never seen Tama-chan look so alive during a match, either!\I'm so glad!\Thanks. response:	What's that look for?
context: That hurts.\But it's a super weird smile!\All's well that ends well, huh?\Yep.\We'd never seen Tama-chan look so alive during a match, either!\I'm so glad!\Thanks.\What's that look for? response:	N-Nothing.
context: But it's a super weird smile!\All's well that ends well, huh?\Yep.\We'd never seen Tama-chan look so alive during a match, either!\I'm so glad!\Thanks.\What's that look for?\N-Nothing. response:	Hey! Tama-chan!
context: All's well that ends well, huh?\Yep.\We'd never seen Tama-chan look so alive during a match, either!\I'm so glad!\Thanks.\What's that look for?\N-Nothing.\Hey! Tama-chan! response:	The next match is starting!
context: Yep.\We'd never seen Tama-chan look so alive during a match, either!\I'm so glad!\Thanks.\What's that look for?\N-Nothing.\Hey! Tama-chan!\The next match is starting! response:	Oh, crap!
context: We'd never seen Tama-chan look so alive during a match, either!\I'm so glad!\Thanks.\What's that look for?\N-Nothing.\Hey! Tama-chan!\The next match is starting!\Oh, crap! response:	We've gotta keep score!
context: I'm so glad!\Thanks.\What's that look for?\N-Nothing.\Hey! Tama-chan!\The next match is starting!\Oh, crap!\We've gotta keep score! response:	Come on, Rena.
context: Thanks.\What's that look for?\N-Nothing.\Hey! Tama-chan!\The next match is starting!\Oh, crap!\We've gotta keep score!\Come on, Rena. response:	Later, guys!
context: What's that look for?\N-Nothing.\Hey! Tama-chan!\The next match is starting!\Oh, crap!\We've gotta keep score!\Come on, Rena.\Later, guys! response:	NEXT EPISODE
context: N-Nothing.\Hey! Tama-chan!\The next match is starting!\Oh, crap!\We've gotta keep score!\Come on, Rena.\Later, guys!\NEXT EPISODE response:	Is that a new hair tie, Rena?
context: Hey! Tama-chan!\The next match is starting!\Oh, crap!\We've gotta keep score!\Come on, Rena.\Later, guys!\NEXT EPISODE\Is that a new hair tie, Rena? response:	Oh, I forgot I borrowed it from Hishiro. I'd better return it.
context: The next match is starting!\Oh, crap!\We've gotta keep score!\Come on, Rena.\Later, guys!\NEXT EPISODE\Is that a new hair tie, Rena?\Oh, I forgot I borrowed it from Hishiro. I'd better return it. response:	Come to think of it, Hishiron's always wearing the same ones, huh?
context: Oh, crap!\We've gotta keep score!\Come on, Rena.\Later, guys!\NEXT EPISODE\Is that a new hair tie, Rena?\Oh, I forgot I borrowed it from Hishiro. I'd better return it.\Come to think of it, Hishiron's always wearing the same ones, huh? response:	Say, Honoka. How about we...
context: We've gotta keep score!\Come on, Rena.\Later, guys!\NEXT EPISODE\Is that a new hair tie, Rena?\Oh, I forgot I borrowed it from Hishiro. I'd better return it.\Come to think of it, Hishiron's always wearing the same ones, huh?\Say, Honoka. How about we... response:	A Trip to the Past
