context: Why am I in this crowd? response:	No no, if I make it through there's a mountain of dojinshi waiting for me.
context: Right...\Have a seat.\Right...\It sure is hot.\Yeah...\Is this really kosher?\If I sit down it means someone else has to stand.\For that matter, they're all facing away and ignoring us. response:	Are you sure about this, Haraguchi?
context: Have a seat.\Right...\It sure is hot.\Yeah...\Is this really kosher?\If I sit down it means someone else has to stand.\For that matter, they're all facing away and ignoring us.\Are you sure about this, Haraguchi? response:	So, are things in your price range?
context: Right...\It sure is hot.\Yeah...\Is this really kosher?\If I sit down it means someone else has to stand.\For that matter, they're all facing away and ignoring us.\Are you sure about this, Haraguchi?\So, are things in your price range? response:	Well, I couldn't afford big corporate stuff so I went for smaller groups.
context: It sure is hot.\Yeah...\Is this really kosher?\If I sit down it means someone else has to stand.\For that matter, they're all facing away and ignoring us.\Are you sure about this, Haraguchi?\So, are things in your price range?\Well, I couldn't afford big corporate stuff so I went for smaller groups. response:	Ah, but you didn't have a chance with the bigwigs, anyway...
context: Yeah...\Is this really kosher?\If I sit down it means someone else has to stand.\For that matter, they're all facing away and ignoring us.\Are you sure about this, Haraguchi?\So, are things in your price range?\Well, I couldn't afford big corporate stuff so I went for smaller groups.\Ah, but you didn't have a chance with the bigwigs, anyway... response:	If you're serious about buying, you need to be here...
context: Is this really kosher?\If I sit down it means someone else has to stand.\For that matter, they're all facing away and ignoring us.\Are you sure about this, Haraguchi?\So, are things in your price range?\Well, I couldn't afford big corporate stuff so I went for smaller groups.\Ah, but you didn't have a chance with the bigwigs, anyway...\If you're serious about buying, you need to be here... response:	I see, is it that much better?
context: If I sit down it means someone else has to stand.\For that matter, they're all facing away and ignoring us.\Are you sure about this, Haraguchi?\So, are things in your price range?\Well, I couldn't afford big corporate stuff so I went for smaller groups.\Ah, but you didn't have a chance with the bigwigs, anyway...\If you're serious about buying, you need to be here...\I see, is it that much better? response:	Well, yeah, but I guess Genshiken could never manage it.
context: For that matter, they're all facing away and ignoring us.\Are you sure about this, Haraguchi?\So, are things in your price range?\Well, I couldn't afford big corporate stuff so I went for smaller groups.\Ah, but you didn't have a chance with the bigwigs, anyway...\If you're serious about buying, you need to be here...\I see, is it that much better?\Well, yeah, but I guess Genshiken could never manage it. response:	I mean, is Genshiken currently producing anything?
context: Are you sure about this, Haraguchi?\So, are things in your price range?\Well, I couldn't afford big corporate stuff so I went for smaller groups.\Ah, but you didn't have a chance with the bigwigs, anyway...\If you're serious about buying, you need to be here...\I see, is it that much better?\Well, yeah, but I guess Genshiken could never manage it.\I mean, is Genshiken currently producing anything? response:	They aren't, are they?
context: So, are things in your price range?\Well, I couldn't afford big corporate stuff so I went for smaller groups.\Ah, but you didn't have a chance with the bigwigs, anyway...\If you're serious about buying, you need to be here...\I see, is it that much better?\Well, yeah, but I guess Genshiken could never manage it.\I mean, is Genshiken currently producing anything?\They aren't, are they? response:	Let me tell you about Genshiken.
context: Well, I couldn't afford big corporate stuff so I went for smaller groups.\Ah, but you didn't have a chance with the bigwigs, anyway...\If you're serious about buying, you need to be here...\I see, is it that much better?\Well, yeah, but I guess Genshiken could never manage it.\I mean, is Genshiken currently producing anything?\They aren't, are they?\Let me tell you about Genshiken. response:	About ten years ago, they formed as a composite circle...
context: Ah, but you didn't have a chance with the bigwigs, anyway...\If you're serious about buying, you need to be here...\I see, is it that much better?\Well, yeah, but I guess Genshiken could never manage it.\I mean, is Genshiken currently producing anything?\They aren't, are they?\Let me tell you about Genshiken.\About ten years ago, they formed as a composite circle... response:	But on the contrary, what exactly they do became blurry and vague.
context: If you're serious about buying, you need to be here...\I see, is it that much better?\Well, yeah, but I guess Genshiken could never manage it.\I mean, is Genshiken currently producing anything?\They aren't, are they?\Let me tell you about Genshiken.\About ten years ago, they formed as a composite circle...\But on the contrary, what exactly they do became blurry and vague. response:	Besides, nowadays all circles are borderless.
context: I see, is it that much better?\Well, yeah, but I guess Genshiken could never manage it.\I mean, is Genshiken currently producing anything?\They aren't, are they?\Let me tell you about Genshiken.\About ten years ago, they formed as a composite circle...\But on the contrary, what exactly they do became blurry and vague.\Besides, nowadays all circles are borderless. response:	So in conclusion, the existence of Genshiken is valueless.
context: Well, yeah, but I guess Genshiken could never manage it.\I mean, is Genshiken currently producing anything?\They aren't, are they?\Let me tell you about Genshiken.\About ten years ago, they formed as a composite circle...\But on the contrary, what exactly they do became blurry and vague.\Besides, nowadays all circles are borderless.\So in conclusion, the existence of Genshiken is valueless. response:	That's why it's made up primarily of wanna-bes.
context: I mean, is Genshiken currently producing anything?\They aren't, are they?\Let me tell you about Genshiken.\About ten years ago, they formed as a composite circle...\But on the contrary, what exactly they do became blurry and vague.\Besides, nowadays all circles are borderless.\So in conclusion, the existence of Genshiken is valueless.\That's why it's made up primarily of wanna-bes. response:	The only one who can even remotely draw is Kugayama.
context: They aren't, are they?\Let me tell you about Genshiken.\About ten years ago, they formed as a composite circle...\But on the contrary, what exactly they do became blurry and vague.\Besides, nowadays all circles are borderless.\So in conclusion, the existence of Genshiken is valueless.\That's why it's made up primarily of wanna-bes.\The only one who can even remotely draw is Kugayama. response:	But it's just doodles, nothing print-worthy...
context: Let me tell you about Genshiken.\About ten years ago, they formed as a composite circle...\But on the contrary, what exactly they do became blurry and vague.\Besides, nowadays all circles are borderless.\So in conclusion, the existence of Genshiken is valueless.\That's why it's made up primarily of wanna-bes.\The only one who can even remotely draw is Kugayama.\But it's just doodles, nothing print-worthy... response:	Madarame talks like he's a military otaku...
context: About ten years ago, they formed as a composite circle...\But on the contrary, what exactly they do became blurry and vague.\Besides, nowadays all circles are borderless.\So in conclusion, the existence of Genshiken is valueless.\That's why it's made up primarily of wanna-bes.\The only one who can even remotely draw is Kugayama.\But it's just doodles, nothing print-worthy...\Madarame talks like he's a military otaku... response:	Tanaka does cosplay...
context: But on the contrary, what exactly they do became blurry and vague.\Besides, nowadays all circles are borderless.\So in conclusion, the existence of Genshiken is valueless.\That's why it's made up primarily of wanna-bes.\The only one who can even remotely draw is Kugayama.\But it's just doodles, nothing print-worthy...\Madarame talks like he's a military otaku...\Tanaka does cosplay... response:	Cosplay...
context: Besides, nowadays all circles are borderless.\So in conclusion, the existence of Genshiken is valueless.\That's why it's made up primarily of wanna-bes.\The only one who can even remotely draw is Kugayama.\But it's just doodles, nothing print-worthy...\Madarame talks like he's a military otaku...\Tanaka does cosplay...\Cosplay... response:	It's just, you know...
context: So in conclusion, the existence of Genshiken is valueless.\That's why it's made up primarily of wanna-bes.\The only one who can even remotely draw is Kugayama.\But it's just doodles, nothing print-worthy...\Madarame talks like he's a military otaku...\Tanaka does cosplay...\Cosplay...\It's just, you know... response:	And that Kohsaka kid?
context: That's why it's made up primarily of wanna-bes.\The only one who can even remotely draw is Kugayama.\But it's just doodles, nothing print-worthy...\Madarame talks like he's a military otaku...\Tanaka does cosplay...\Cosplay...\It's just, you know...\And that Kohsaka kid? response:	What's his deal?
context: The only one who can even remotely draw is Kugayama.\But it's just doodles, nothing print-worthy...\Madarame talks like he's a military otaku...\Tanaka does cosplay...\Cosplay...\It's just, you know...\And that Kohsaka kid?\What's his deal? response:	His interests are definitely an otaku's...
context: But it's just doodles, nothing print-worthy...\Madarame talks like he's a military otaku...\Tanaka does cosplay...\Cosplay...\It's just, you know...\And that Kohsaka kid?\What's his deal?\His interests are definitely an otaku's... response:	What an odd guy.
context: Madarame talks like he's a military otaku...\Tanaka does cosplay...\Cosplay...\It's just, you know...\And that Kohsaka kid?\What's his deal?\His interests are definitely an otaku's...\What an odd guy. response:	I wouldn't know.
context: Tanaka does cosplay...\Cosplay...\It's just, you know...\And that Kohsaka kid?\What's his deal?\His interests are definitely an otaku's...\What an odd guy.\I wouldn't know. response:	In any case, Genshiken is a bunch of lukewarm losers year after year.
context: Cosplay...\It's just, you know...\And that Kohsaka kid?\What's his deal?\His interests are definitely an otaku's...\What an odd guy.\I wouldn't know.\In any case, Genshiken is a bunch of lukewarm losers year after year. response:	They don't amount to anything on their own.
context: It's just, you know...\And that Kohsaka kid?\What's his deal?\His interests are definitely an otaku's...\What an odd guy.\I wouldn't know.\In any case, Genshiken is a bunch of lukewarm losers year after year.\They don't amount to anything on their own. response:	Why not quit now and join the Manga Club?
context: And that Kohsaka kid?\What's his deal?\His interests are definitely an otaku's...\What an odd guy.\I wouldn't know.\In any case, Genshiken is a bunch of lukewarm losers year after year.\They don't amount to anything on their own.\Why not quit now and join the Manga Club? response:	But Haraguchi, aren't you part of both clubs?
context: What's his deal?\His interests are definitely an otaku's...\What an odd guy.\I wouldn't know.\In any case, Genshiken is a bunch of lukewarm losers year after year.\They don't amount to anything on their own.\Why not quit now and join the Manga Club?\But Haraguchi, aren't you part of both clubs? response:	In name only, really.
context: His interests are definitely an otaku's...\What an odd guy.\I wouldn't know.\In any case, Genshiken is a bunch of lukewarm losers year after year.\They don't amount to anything on their own.\Why not quit now and join the Manga Club?\But Haraguchi, aren't you part of both clubs?\In name only, really. response:	I attended at first, but once I knew what they were about I stopped going.
context: What an odd guy.\I wouldn't know.\In any case, Genshiken is a bunch of lukewarm losers year after year.\They don't amount to anything on their own.\Why not quit now and join the Manga Club?\But Haraguchi, aren't you part of both clubs?\In name only, really.\I attended at first, but once I knew what they were about I stopped going. response:	Oh, that reminds me.
context: I wouldn't know.\In any case, Genshiken is a bunch of lukewarm losers year after year.\They don't amount to anything on their own.\Why not quit now and join the Manga Club?\But Haraguchi, aren't you part of both clubs?\In name only, really.\I attended at first, but once I knew what they were about I stopped going.\Oh, that reminds me. response:	The chairman has held his position since I was a freshman.
context: In any case, Genshiken is a bunch of lukewarm losers year after year.\They don't amount to anything on their own.\Why not quit now and join the Manga Club?\But Haraguchi, aren't you part of both clubs?\In name only, really.\I attended at first, but once I knew what they were about I stopped going.\Oh, that reminds me.\The chairman has held his position since I was a freshman. response:	What year do you suppose he is?
context: They don't amount to anything on their own.\Why not quit now and join the Manga Club?\But Haraguchi, aren't you part of both clubs?\In name only, really.\I attended at first, but once I knew what they were about I stopped going.\Oh, that reminds me.\The chairman has held his position since I was a freshman.\What year do you suppose he is? response:	Got me.
context: Why not quit now and join the Manga Club?\But Haraguchi, aren't you part of both clubs?\In name only, really.\I attended at first, but once I knew what they were about I stopped going.\Oh, that reminds me.\The chairman has held his position since I was a freshman.\What year do you suppose he is?\Got me. response:	Well, the group's just right for me at least.
context: But Haraguchi, aren't you part of both clubs?\In name only, really.\I attended at first, but once I knew what they were about I stopped going.\Oh, that reminds me.\The chairman has held his position since I was a freshman.\What year do you suppose he is?\Got me.\Well, the group's just right for me at least. response:	Oh yeah?
context: In name only, really.\I attended at first, but once I knew what they were about I stopped going.\Oh, that reminds me.\The chairman has held his position since I was a freshman.\What year do you suppose he is?\Got me.\Well, the group's just right for me at least.\Oh yeah? response:	That's too bad.
context: I attended at first, but once I knew what they were about I stopped going.\Oh, that reminds me.\The chairman has held his position since I was a freshman.\What year do you suppose he is?\Got me.\Well, the group's just right for me at least.\Oh yeah?\That's too bad. response:	Ah, yes.
context: Oh, that reminds me.\The chairman has held his position since I was a freshman.\What year do you suppose he is?\Got me.\Well, the group's just right for me at least.\Oh yeah?\That's too bad.\Ah, yes. response:	This conversation was confidential, so don't disclose it to anyone else.
context: The chairman has held his position since I was a freshman.\What year do you suppose he is?\Got me.\Well, the group's just right for me at least.\Oh yeah?\That's too bad.\Ah, yes.\This conversation was confidential, so don't disclose it to anyone else. response:	Oh, by the way, did you draw anything in the book you gave me?
context: What year do you suppose he is?\Got me.\Well, the group's just right for me at least.\Oh yeah?\That's too bad.\Ah, yes.\This conversation was confidential, so don't disclose it to anyone else.\Oh, by the way, did you draw anything in the book you gave me? response:	I'm something of an editor, so I have to be the one who keeps everyone in line.
context: Got me.\Well, the group's just right for me at least.\Oh yeah?\That's too bad.\Ah, yes.\This conversation was confidential, so don't disclose it to anyone else.\Oh, by the way, did you draw anything in the book you gave me?\I'm something of an editor, so I have to be the one who keeps everyone in line. response:	Oh...
context: Well, the group's just right for me at least.\Oh yeah?\That's too bad.\Ah, yes.\This conversation was confidential, so don't disclose it to anyone else.\Oh, by the way, did you draw anything in the book you gave me?\I'm something of an editor, so I have to be the one who keeps everyone in line.\Oh... response:	How're they selling?
context: Oh yeah?\That's too bad.\Ah, yes.\This conversation was confidential, so don't disclose it to anyone else.\Oh, by the way, did you draw anything in the book you gave me?\I'm something of an editor, so I have to be the one who keeps everyone in line.\Oh...\How're they selling? response:	Not bad...
context: That's too bad.\Ah, yes.\This conversation was confidential, so don't disclose it to anyone else.\Oh, by the way, did you draw anything in the book you gave me?\I'm something of an editor, so I have to be the one who keeps everyone in line.\Oh...\How're they selling?\Not bad... response:	I feel sorry for the Manga Club guys...
context: Ah, yes.\This conversation was confidential, so don't disclose it to anyone else.\Oh, by the way, did you draw anything in the book you gave me?\I'm something of an editor, so I have to be the one who keeps everyone in line.\Oh...\How're they selling?\Not bad...\I feel sorry for the Manga Club guys... response:	Now I get it...
context: This conversation was confidential, so don't disclose it to anyone else.\Oh, by the way, did you draw anything in the book you gave me?\I'm something of an editor, so I have to be the one who keeps everyone in line.\Oh...\How're they selling?\Not bad...\I feel sorry for the Manga Club guys...\Now I get it... response:	The reason no one looks pleased about Haraguchi's name...
context: Oh, by the way, did you draw anything in the book you gave me?\I'm something of an editor, so I have to be the one who keeps everyone in line.\Oh...\How're they selling?\Not bad...\I feel sorry for the Manga Club guys...\Now I get it...\The reason no one looks pleased about Haraguchi's name... response:	At this time, Comic Festival 66 Summer is now coming to an end.
context: I'm something of an editor, so I have to be the one who keeps everyone in line.\Oh...\How're they selling?\Not bad...\I feel sorry for the Manga Club guys...\Now I get it...\The reason no one looks pleased about Haraguchi's name...\At this time, Comic Festival 66 Summer is now coming to an end. response:	Sorry I took so long.
context: Oh...\How're they selling?\Not bad...\I feel sorry for the Manga Club guys...\Now I get it...\The reason no one looks pleased about Haraguchi's name...\At this time, Comic Festival 66 Summer is now coming to an end.\Sorry I took so long. response:	H-Hi, y-you really stuck to it.
context: How're they selling?\Not bad...\I feel sorry for the Manga Club guys...\Now I get it...\The reason no one looks pleased about Haraguchi's name...\At this time, Comic Festival 66 Summer is now coming to an end.\Sorry I took so long.\H-Hi, y-you really stuck to it. response:	Yeah, I had trouble choosing...
context: Not bad...\I feel sorry for the Manga Club guys...\Now I get it...\The reason no one looks pleased about Haraguchi's name...\At this time, Comic Festival 66 Summer is now coming to an end.\Sorry I took so long.\H-Hi, y-you really stuck to it.\Yeah, I had trouble choosing... response:	D-Did you buy anything for Madarame?
context: I feel sorry for the Manga Club guys...\Now I get it...\The reason no one looks pleased about Haraguchi's name...\At this time, Comic Festival 66 Summer is now coming to an end.\Sorry I took so long.\H-Hi, y-you really stuck to it.\Yeah, I had trouble choosing...\D-Did you buy anything for Madarame? response:	Yes, I tried buying several books for him.
context: Now I get it...\The reason no one looks pleased about Haraguchi's name...\At this time, Comic Festival 66 Summer is now coming to an end.\Sorry I took so long.\H-Hi, y-you really stuck to it.\Yeah, I had trouble choosing...\D-Did you buy anything for Madarame?\Yes, I tried buying several books for him. response:	Oh! That one's by the fan circle he's secretly into.
context: The reason no one looks pleased about Haraguchi's name...\At this time, Comic Festival 66 Summer is now coming to an end.\Sorry I took so long.\H-Hi, y-you really stuck to it.\Yeah, I had trouble choosing...\D-Did you buy anything for Madarame?\Yes, I tried buying several books for him.\Oh! That one's by the fan circle he's secretly into. response:	I d-did think your t-tastes overlapped, but this is unexpected...
context: At this time, Comic Festival 66 Summer is now coming to an end.\Sorry I took so long.\H-Hi, y-you really stuck to it.\Yeah, I had trouble choosing...\D-Did you buy anything for Madarame?\Yes, I tried buying several books for him.\Oh! That one's by the fan circle he's secretly into.\I d-did think your t-tastes overlapped, but this is unexpected... response:	I'm not sure if I'm happy about that.
context: Sorry I took so long.\H-Hi, y-you really stuck to it.\Yeah, I had trouble choosing...\D-Did you buy anything for Madarame?\Yes, I tried buying several books for him.\Oh! That one's by the fan circle he's secretly into.\I d-did think your t-tastes overlapped, but this is unexpected...\I'm not sure if I'm happy about that. response:	I b-bought this.
context: H-Hi, y-you really stuck to it.\Yeah, I had trouble choosing...\D-Did you buy anything for Madarame?\Yes, I tried buying several books for him.\Oh! That one's by the fan circle he's secretly into.\I d-did think your t-tastes overlapped, but this is unexpected...\I'm not sure if I'm happy about that.\I b-bought this. response:	T-This is pretty good.
context: Yeah, I had trouble choosing...\D-Did you buy anything for Madarame?\Yes, I tried buying several books for him.\Oh! That one's by the fan circle he's secretly into.\I d-did think your t-tastes overlapped, but this is unexpected...\I'm not sure if I'm happy about that.\I b-bought this.\T-This is pretty good. response:	I-Isn't it?
context: D-Did you buy anything for Madarame?\Yes, I tried buying several books for him.\Oh! That one's by the fan circle he's secretly into.\I d-did think your t-tastes overlapped, but this is unexpected...\I'm not sure if I'm happy about that.\I b-bought this.\T-This is pretty good.\I-Isn't it? response:	The art's pretty good, and it's s-sexy.
context: Yes, I tried buying several books for him.\Oh! That one's by the fan circle he's secretly into.\I d-did think your t-tastes overlapped, but this is unexpected...\I'm not sure if I'm happy about that.\I b-bought this.\T-This is pretty good.\I-Isn't it?\The art's pretty good, and it's s-sexy. response:	So Sasahara, how was your first Comic Fest?
context: Oh! That one's by the fan circle he's secretly into.\I d-did think your t-tastes overlapped, but this is unexpected...\I'm not sure if I'm happy about that.\I b-bought this.\T-This is pretty good.\I-Isn't it?\The art's pretty good, and it's s-sexy.\So Sasahara, how was your first Comic Fest? response:	Yeah, like Kohsaka said before, I really do fit in with Genshiken...
context: I d-did think your t-tastes overlapped, but this is unexpected...\I'm not sure if I'm happy about that.\I b-bought this.\T-This is pretty good.\I-Isn't it?\The art's pretty good, and it's s-sexy.\So Sasahara, how was your first Comic Fest?\Yeah, like Kohsaka said before, I really do fit in with Genshiken... response:	Ah...
context: I'm not sure if I'm happy about that.\I b-bought this.\T-This is pretty good.\I-Isn't it?\The art's pretty good, and it's s-sexy.\So Sasahara, how was your first Comic Fest?\Yeah, like Kohsaka said before, I really do fit in with Genshiken...\Ah... response:	It wore me out.
context: I b-bought this.\T-This is pretty good.\I-Isn't it?\The art's pretty good, and it's s-sexy.\So Sasahara, how was your first Comic Fest?\Yeah, like Kohsaka said before, I really do fit in with Genshiken...\Ah...\It wore me out. response:	I'll b-bet, especially with all that happened today.
context: T-This is pretty good.\I-Isn't it?\The art's pretty good, and it's s-sexy.\So Sasahara, how was your first Comic Fest?\Yeah, like Kohsaka said before, I really do fit in with Genshiken...\Ah...\It wore me out.\I'll b-bet, especially with all that happened today. response:	Very true.
context: I-Isn't it?\The art's pretty good, and it's s-sexy.\So Sasahara, how was your first Comic Fest?\Yeah, like Kohsaka said before, I really do fit in with Genshiken...\Ah...\It wore me out.\I'll b-bet, especially with all that happened today.\Very true. response:	B-But, it's not over yet.
context: The art's pretty good, and it's s-sexy.\So Sasahara, how was your first Comic Fest?\Yeah, like Kohsaka said before, I really do fit in with Genshiken...\Ah...\It wore me out.\I'll b-bet, especially with all that happened today.\Very true.\B-But, it's not over yet. response:	What?
context: So Sasahara, how was your first Comic Fest?\Yeah, like Kohsaka said before, I really do fit in with Genshiken...\Ah...\It wore me out.\I'll b-bet, especially with all that happened today.\Very true.\B-But, it's not over yet.\What? response:	You line up to go home, too.
context: Yeah, like Kohsaka said before, I really do fit in with Genshiken...\Ah...\It wore me out.\I'll b-bet, especially with all that happened today.\Very true.\B-But, it's not over yet.\What?\You line up to go home, too. response:	Save me!
context: Ah...\It wore me out.\I'll b-bet, especially with all that happened today.\Very true.\B-But, it's not over yet.\What?\You line up to go home, too.\Save me! response:	We took no detours or shortcuts...
context: It wore me out.\I'll b-bet, especially with all that happened today.\Very true.\B-But, it's not over yet.\What?\You line up to go home, too.\Save me!\We took no detours or shortcuts... response:	Only vivid dreams extended deep into the shadows.
context: I'll b-bet, especially with all that happened today.\Very true.\B-But, it's not over yet.\What?\You line up to go home, too.\Save me!\We took no detours or shortcuts...\Only vivid dreams extended deep into the shadows. response:	We aren't quite grown up.
context: Very true.\B-But, it's not over yet.\What?\You line up to go home, too.\Save me!\We took no detours or shortcuts...\Only vivid dreams extended deep into the shadows.\We aren't quite grown up. response:	Simple but complicated glistening like marbles.
context: B-But, it's not over yet.\What?\You line up to go home, too.\Save me!\We took no detours or shortcuts...\Only vivid dreams extended deep into the shadows.\We aren't quite grown up.\Simple but complicated glistening like marbles. response:	The time we could see from there sparkled, even if nothing big happened.
context: What?\You line up to go home, too.\Save me!\We took no detours or shortcuts...\Only vivid dreams extended deep into the shadows.\We aren't quite grown up.\Simple but complicated glistening like marbles.\The time we could see from there sparkled, even if nothing big happened. response:	What we see from the marbles in our hands now is a little different...
context: You line up to go home, too.\Save me!\We took no detours or shortcuts...\Only vivid dreams extended deep into the shadows.\We aren't quite grown up.\Simple but complicated glistening like marbles.\The time we could see from there sparkled, even if nothing big happened.\What we see from the marbles in our hands now is a little different... response:	Harunobu Madarame: Injury to wrist ligaments; metacarpal fracture;
context: Save me!\We took no detours or shortcuts...\Only vivid dreams extended deep into the shadows.\We aren't quite grown up.\Simple but complicated glistening like marbles.\The time we could see from there sparkled, even if nothing big happened.\What we see from the marbles in our hands now is a little different...\Harunobu Madarame: Injury to wrist ligaments; metacarpal fracture; response:	sprain of proximal interpharyngeal joint; - Full recovery in two months
context: We took no detours or shortcuts...\Only vivid dreams extended deep into the shadows.\We aren't quite grown up.\Simple but complicated glistening like marbles.\The time we could see from there sparkled, even if nothing big happened.\What we see from the marbles in our hands now is a little different...\Harunobu Madarame: Injury to wrist ligaments; metacarpal fracture;\sprain of proximal interpharyngeal joint; - Full recovery in two months response:	Hey, Sasahara, is this your first time in Ochanomizu?
context: Only vivid dreams extended deep into the shadows.\We aren't quite grown up.\Simple but complicated glistening like marbles.\The time we could see from there sparkled, even if nothing big happened.\What we see from the marbles in our hands now is a little different...\Harunobu Madarame: Injury to wrist ligaments; metacarpal fracture;\sprain of proximal interpharyngeal joint; - Full recovery in two months\Hey, Sasahara, is this your first time in Ochanomizu? response:	Yes, I always go straight to Akihabara and back.
context: We aren't quite grown up.\Simple but complicated glistening like marbles.\The time we could see from there sparkled, even if nothing big happened.\What we see from the marbles in our hands now is a little different...\Harunobu Madarame: Injury to wrist ligaments; metacarpal fracture;\sprain of proximal interpharyngeal joint; - Full recovery in two months\Hey, Sasahara, is this your first time in Ochanomizu?\Yes, I always go straight to Akihabara and back. response:	Check out all the college students.
context: Simple but complicated glistening like marbles.\The time we could see from there sparkled, even if nothing big happened.\What we see from the marbles in our hands now is a little different...\Harunobu Madarame: Injury to wrist ligaments; metacarpal fracture;\sprain of proximal interpharyngeal joint; - Full recovery in two months\Hey, Sasahara, is this your first time in Ochanomizu?\Yes, I always go straight to Akihabara and back.\Check out all the college students. response:	Yeah, Nihon U, Meiji U...
context: The time we could see from there sparkled, even if nothing big happened.\What we see from the marbles in our hands now is a little different...\Harunobu Madarame: Injury to wrist ligaments; metacarpal fracture;\sprain of proximal interpharyngeal joint; - Full recovery in two months\Hey, Sasahara, is this your first time in Ochanomizu?\Yes, I always go straight to Akihabara and back.\Check out all the college students.\Yeah, Nihon U, Meiji U... response:	Over there are Tokyo Medical and Dental, and Juntendo.
context: What we see from the marbles in our hands now is a little different...\Harunobu Madarame: Injury to wrist ligaments; metacarpal fracture;\sprain of proximal interpharyngeal joint; - Full recovery in two months\Hey, Sasahara, is this your first time in Ochanomizu?\Yes, I always go straight to Akihabara and back.\Check out all the college students.\Yeah, Nihon U, Meiji U...\Over there are Tokyo Medical and Dental, and Juntendo. response:	This sure is a famous place.
context: Harunobu Madarame: Injury to wrist ligaments; metacarpal fracture;\sprain of proximal interpharyngeal joint; - Full recovery in two months\Hey, Sasahara, is this your first time in Ochanomizu?\Yes, I always go straight to Akihabara and back.\Check out all the college students.\Yeah, Nihon U, Meiji U...\Over there are Tokyo Medical and Dental, and Juntendo.\This sure is a famous place. response:	Sundai.
context: sprain of proximal interpharyngeal joint; - Full recovery in two months\Hey, Sasahara, is this your first time in Ochanomizu?\Yes, I always go straight to Akihabara and back.\Check out all the college students.\Yeah, Nihon U, Meiji U...\Over there are Tokyo Medical and Dental, and Juntendo.\This sure is a famous place.\Sundai. response:	What? Sundai.
context: Hey, Sasahara, is this your first time in Ochanomizu?\Yes, I always go straight to Akihabara and back.\Check out all the college students.\Yeah, Nihon U, Meiji U...\Over there are Tokyo Medical and Dental, and Juntendo.\This sure is a famous place.\Sundai.\What? Sundai. response:	Athenee Francais.
context: Yes, I always go straight to Akihabara and back.\Check out all the college students.\Yeah, Nihon U, Meiji U...\Over there are Tokyo Medical and Dental, and Juntendo.\This sure is a famous place.\Sundai.\What? Sundai.\Athenee Francais. response:	Yeah, but that's... Athenee Francais.
context: Check out all the college students.\Yeah, Nihon U, Meiji U...\Over there are Tokyo Medical and Dental, and Juntendo.\This sure is a famous place.\Sundai.\What? Sundai.\Athenee Francais.\Yeah, but that's... Athenee Francais. response:	Bigakko.
context: Yeah, Nihon U, Meiji U...\Over there are Tokyo Medical and Dental, and Juntendo.\This sure is a famous place.\Sundai.\What? Sundai.\Athenee Francais.\Yeah, but that's... Athenee Francais.\Bigakko. response:	Right... Bigakko.
context: Over there are Tokyo Medical and Dental, and Juntendo.\This sure is a famous place.\Sundai.\What? Sundai.\Athenee Francais.\Yeah, but that's... Athenee Francais.\Bigakko.\Right... Bigakko. response:	TDG.
context: This sure is a famous place.\Sundai.\What? Sundai.\Athenee Francais.\Yeah, but that's... Athenee Francais.\Bigakko.\Right... Bigakko.\TDG. response:	Hmm... TDG.
context: Sundai.\What? Sundai.\Athenee Francais.\Yeah, but that's... Athenee Francais.\Bigakko.\Right... Bigakko.\TDG.\Hmm... TDG. response:	Which one doesn't belong?
context: What? Sundai.\Athenee Francais.\Yeah, but that's... Athenee Francais.\Bigakko.\Right... Bigakko.\TDG.\Hmm... TDG.\Which one doesn't belong? response:	Uh...
