context: ED response:	Man, this week's storyboard is good too.
context: I haven't asked him, you know.\But this was decided when he was serialized seven years ago.\Maybe the manga he wanted to end is already over.\Yeah... And at this point in time, it'd probably be NATURAL.\Why?\He said the story's boring and follows the same pattern over and over.\Are you sure you should be telling us this?\It's okay. I know Niizuma won't bring that deal up again. response:	His fixation on being 1st is just to motivate Ashirogi.
context: But this was decided when he was serialized seven years ago.\Maybe the manga he wanted to end is already over.\Yeah... And at this point in time, it'd probably be NATURAL.\Why?\He said the story's boring and follows the same pattern over and over.\Are you sure you should be telling us this?\It's okay. I know Niizuma won't bring that deal up again.\His fixation on being 1st is just to motivate Ashirogi. response:	Besides, he's matured during his years of being serialized.
context: Maybe the manga he wanted to end is already over.\Yeah... And at this point in time, it'd probably be NATURAL.\Why?\He said the story's boring and follows the same pattern over and over.\Are you sure you should be telling us this?\It's okay. I know Niizuma won't bring that deal up again.\His fixation on being 1st is just to motivate Ashirogi.\Besides, he's matured during his years of being serialized. response:	Wow!
context: Yeah... And at this point in time, it'd probably be NATURAL.\Why?\He said the story's boring and follows the same pattern over and over.\Are you sure you should be telling us this?\It's okay. I know Niizuma won't bring that deal up again.\His fixation on being 1st is just to motivate Ashirogi.\Besides, he's matured during his years of being serialized.\Wow! response:	CROW's come in first place five weeks in a row!
context: Why?\He said the story's boring and follows the same pattern over and over.\Are you sure you should be telling us this?\It's okay. I know Niizuma won't bring that deal up again.\His fixation on being 1st is just to motivate Ashirogi.\Besides, he's matured during his years of being serialized.\Wow!\CROW's come in first place five weeks in a row! response:	The story's getting exciting with the introduction of an all-out war.
context: He said the story's boring and follows the same pattern over and over.\Are you sure you should be telling us this?\It's okay. I know Niizuma won't bring that deal up again.\His fixation on being 1st is just to motivate Ashirogi.\Besides, he's matured during his years of being serialized.\Wow!\CROW's come in first place five weeks in a row!\The story's getting exciting with the introduction of an all-out war. response:	And then we have PCP, which will never get an anime.
context: Are you sure you should be telling us this?\It's okay. I know Niizuma won't bring that deal up again.\His fixation on being 1st is just to motivate Ashirogi.\Besides, he's matured during his years of being serialized.\Wow!\CROW's come in first place five weeks in a row!\The story's getting exciting with the introduction of an all-out war.\And then we have PCP, which will never get an anime. response:	Saikou, don't you think it's about time we started thinking about another manga?
context: It's okay. I know Niizuma won't bring that deal up again.\His fixation on being 1st is just to motivate Ashirogi.\Besides, he's matured during his years of being serialized.\Wow!\CROW's come in first place five weeks in a row!\The story's getting exciting with the introduction of an all-out war.\And then we have PCP, which will never get an anime.\Saikou, don't you think it's about time we started thinking about another manga? response:	An unorthodox battle story with a mainstream character...
context: His fixation on being 1st is just to motivate Ashirogi.\Besides, he's matured during his years of being serialized.\Wow!\CROW's come in first place five weeks in a row!\The story's getting exciting with the introduction of an all-out war.\And then we have PCP, which will never get an anime.\Saikou, don't you think it's about time we started thinking about another manga?\An unorthodox battle story with a mainstream character... response:	I've drawn the all-important mainstream character a few times.
context: Besides, he's matured during his years of being serialized.\Wow!\CROW's come in first place five weeks in a row!\The story's getting exciting with the introduction of an all-out war.\And then we have PCP, which will never get an anime.\Saikou, don't you think it's about time we started thinking about another manga?\An unorthodox battle story with a mainstream character...\I've drawn the all-important mainstream character a few times. response:	Have a look.
context: Wow!\CROW's come in first place five weeks in a row!\The story's getting exciting with the introduction of an all-out war.\And then we have PCP, which will never get an anime.\Saikou, don't you think it's about time we started thinking about another manga?\An unorthodox battle story with a mainstream character...\I've drawn the all-important mainstream character a few times.\Have a look. response:	Wow!
context: CROW's come in first place five weeks in a row!\The story's getting exciting with the introduction of an all-out war.\And then we have PCP, which will never get an anime.\Saikou, don't you think it's about time we started thinking about another manga?\An unorthodox battle story with a mainstream character...\I've drawn the all-important mainstream character a few times.\Have a look.\Wow! response:	This is pretty cool!
context: The story's getting exciting with the introduction of an all-out war.\And then we have PCP, which will never get an anime.\Saikou, don't you think it's about time we started thinking about another manga?\An unorthodox battle story with a mainstream character...\I've drawn the all-important mainstream character a few times.\Have a look.\Wow!\This is pretty cool! response:	This too!
context: And then we have PCP, which will never get an anime.\Saikou, don't you think it's about time we started thinking about another manga?\An unorthodox battle story with a mainstream character...\I've drawn the all-important mainstream character a few times.\Have a look.\Wow!\This is pretty cool!\This too! response:	No, they're not good enough. I don't want to compromise.
context: Saikou, don't you think it's about time we started thinking about another manga?\An unorthodox battle story with a mainstream character...\I've drawn the all-important mainstream character a few times.\Have a look.\Wow!\This is pretty cool!\This too!\No, they're not good enough. I don't want to compromise. response:	What's wrong, Niizuma? This is unexpected...
context: An unorthodox battle story with a mainstream character...\I've drawn the all-important mainstream character a few times.\Have a look.\Wow!\This is pretty cool!\This too!\No, they're not good enough. I don't want to compromise.\What's wrong, Niizuma? This is unexpected... response:	I spoke with someone at the reception desk.
context: I've drawn the all-important mainstream character a few times.\Have a look.\Wow!\This is pretty cool!\This too!\No, they're not good enough. I don't want to compromise.\What's wrong, Niizuma? This is unexpected...\I spoke with someone at the reception desk. response:	I didn't hear anything about that.
context: Have a look.\Wow!\This is pretty cool!\This too!\No, they're not good enough. I don't want to compromise.\What's wrong, Niizuma? This is unexpected...\I spoke with someone at the reception desk.\I didn't hear anything about that. response:	I came to meet with the Chief Editor.
context: Wow!\This is pretty cool!\This too!\No, they're not good enough. I don't want to compromise.\What's wrong, Niizuma? This is unexpected...\I spoke with someone at the reception desk.\I didn't hear anything about that.\I came to meet with the Chief Editor. response:	I received approval.
context: This is pretty cool!\This too!\No, they're not good enough. I don't want to compromise.\What's wrong, Niizuma? This is unexpected...\I spoke with someone at the reception desk.\I didn't hear anything about that.\I came to meet with the Chief Editor.\I received approval. response:	The Chief?
context: This too!\No, they're not good enough. I don't want to compromise.\What's wrong, Niizuma? This is unexpected...\I spoke with someone at the reception desk.\I didn't hear anything about that.\I came to meet with the Chief Editor.\I received approval.\The Chief? response:	Could he be...
context: No, they're not good enough. I don't want to compromise.\What's wrong, Niizuma? This is unexpected...\I spoke with someone at the reception desk.\I didn't hear anything about that.\I came to meet with the Chief Editor.\I received approval.\The Chief?\Could he be... response:	You're the only one left, Falcon!
context: What's wrong, Niizuma? This is unexpected...\I spoke with someone at the reception desk.\I didn't hear anything about that.\I came to meet with the Chief Editor.\I received approval.\The Chief?\Could he be...\You're the only one left, Falcon! response:	You're damn good, Giri. I always knew you were!
context: I spoke with someone at the reception desk.\I didn't hear anything about that.\I came to meet with the Chief Editor.\I received approval.\The Chief?\Could he be...\You're the only one left, Falcon!\You're damn good, Giri. I always knew you were! response:	You never cease to amaze me, Falcon.
context: I didn't hear anything about that.\I came to meet with the Chief Editor.\I received approval.\The Chief?\Could he be...\You're the only one left, Falcon!\You're damn good, Giri. I always knew you were!\You never cease to amaze me, Falcon. response:	That's a perfect line.
context: I came to meet with the Chief Editor.\I received approval.\The Chief?\Could he be...\You're the only one left, Falcon!\You're damn good, Giri. I always knew you were!\You never cease to amaze me, Falcon.\That's a perfect line. response:	Our moves are in perfect harmony.
context: I received approval.\The Chief?\Could he be...\You're the only one left, Falcon!\You're damn good, Giri. I always knew you were!\You never cease to amaze me, Falcon.\That's a perfect line.\Our moves are in perfect harmony. response:	But such perfect driving isn't my...
context: The Chief?\Could he be...\You're the only one left, Falcon!\You're damn good, Giri. I always knew you were!\You never cease to amaze me, Falcon.\That's a perfect line.\Our moves are in perfect harmony.\But such perfect driving isn't my... response:	Go!
context: Could he be...\You're the only one left, Falcon!\You're damn good, Giri. I always knew you were!\You never cease to amaze me, Falcon.\That's a perfect line.\Our moves are in perfect harmony.\But such perfect driving isn't my...\Go! response:	All right, here it comes!
context: You're the only one left, Falcon!\You're damn good, Giri. I always knew you were!\You never cease to amaze me, Falcon.\That's a perfect line.\Our moves are in perfect harmony.\But such perfect driving isn't my...\Go!\All right, here it comes! response:	My killer move! Triangle...
context: You're damn good, Giri. I always knew you were!\You never cease to amaze me, Falcon.\That's a perfect line.\Our moves are in perfect harmony.\But such perfect driving isn't my...\Go!\All right, here it comes!\My killer move! Triangle... response:	Fly Cornering!
context: You never cease to amaze me, Falcon.\That's a perfect line.\Our moves are in perfect harmony.\But such perfect driving isn't my...\Go!\All right, here it comes!\My killer move! Triangle...\Fly Cornering! response:	Yuujirou's here to pick up the manuscript.
context: That's a perfect line.\Our moves are in perfect harmony.\But such perfect driving isn't my...\Go!\All right, here it comes!\My killer move! Triangle...\Fly Cornering!\Yuujirou's here to pick up the manuscript. response:	Right in the middle of the anime, again.
context: Our moves are in perfect harmony.\But such perfect driving isn't my...\Go!\All right, here it comes!\My killer move! Triangle...\Fly Cornering!\Yuujirou's here to pick up the manuscript.\Right in the middle of the anime, again. response:	Things were just getting good.
context: But such perfect driving isn't my...\Go!\All right, here it comes!\My killer move! Triangle...\Fly Cornering!\Yuujirou's here to pick up the manuscript.\Right in the middle of the anime, again.\Things were just getting good. response:	Only a madman would think of a move like that!
context: Go!\All right, here it comes!\My killer move! Triangle...\Fly Cornering!\Yuujirou's here to pick up the manuscript.\Right in the middle of the anime, again.\Things were just getting good.\Only a madman would think of a move like that! response:	Sorry to keep you waiting. Now, let's go!
context: All right, here it comes!\My killer move! Triangle...\Fly Cornering!\Yuujirou's here to pick up the manuscript.\Right in the middle of the anime, again.\Things were just getting good.\Only a madman would think of a move like that!\Sorry to keep you waiting. Now, let's go! response:	Didn't I tell you?
context: My killer move! Triangle...\Fly Cornering!\Yuujirou's here to pick up the manuscript.\Right in the middle of the anime, again.\Things were just getting good.\Only a madman would think of a move like that!\Sorry to keep you waiting. Now, let's go!\Didn't I tell you? response:	Can't you let us watch the anime in peace?
context: Fly Cornering!\Yuujirou's here to pick up the manuscript.\Right in the middle of the anime, again.\Things were just getting good.\Only a madman would think of a move like that!\Sorry to keep you waiting. Now, let's go!\Didn't I tell you?\Can't you let us watch the anime in peace? response:	Sorry.
context: Yuujirou's here to pick up the manuscript.\Right in the middle of the anime, again.\Things were just getting good.\Only a madman would think of a move like that!\Sorry to keep you waiting. Now, let's go!\Didn't I tell you?\Can't you let us watch the anime in peace?\Sorry. response:	I always win!
context: Right in the middle of the anime, again.\Things were just getting good.\Only a madman would think of a move like that!\Sorry to keep you waiting. Now, let's go!\Didn't I tell you?\Can't you let us watch the anime in peace?\Sorry.\I always win! response:	What's your problem?
context: Things were just getting good.\Only a madman would think of a move like that!\Sorry to keep you waiting. Now, let's go!\Didn't I tell you?\Can't you let us watch the anime in peace?\Sorry.\I always win!\What's your problem? response:	Some girl wouldn't give you the time of day or something?
context: Only a madman would think of a move like that!\Sorry to keep you waiting. Now, let's go!\Didn't I tell you?\Can't you let us watch the anime in peace?\Sorry.\I always win!\What's your problem?\Some girl wouldn't give you the time of day or something? response:	That can't be it. He's usually all smiles, even when he gets rejected.
context: Sorry to keep you waiting. Now, let's go!\Didn't I tell you?\Can't you let us watch the anime in peace?\Sorry.\I always win!\What's your problem?\Some girl wouldn't give you the time of day or something?\That can't be it. He's usually all smiles, even when he gets rejected. response:	Yuujirou, CROW and GIRI had good rankings this week.
context: Didn't I tell you?\Can't you let us watch the anime in peace?\Sorry.\I always win!\What's your problem?\Some girl wouldn't give you the time of day or something?\That can't be it. He's usually all smiles, even when he gets rejected.\Yuujirou, CROW and GIRI had good rankings this week. response:	Yeah.
context: Can't you let us watch the anime in peace?\Sorry.\I always win!\What's your problem?\Some girl wouldn't give you the time of day or something?\That can't be it. He's usually all smiles, even when he gets rejected.\Yuujirou, CROW and GIRI had good rankings this week.\Yeah. response:	With the way things are looking,
context: Sorry.\I always win!\What's your problem?\Some girl wouldn't give you the time of day or something?\That can't be it. He's usually all smiles, even when he gets rejected.\Yuujirou, CROW and GIRI had good rankings this week.\Yeah.\With the way things are looking, response:	CROW will be 1st again.
context: I always win!\What's your problem?\Some girl wouldn't give you the time of day or something?\That can't be it. He's usually all smiles, even when he gets rejected.\Yuujirou, CROW and GIRI had good rankings this week.\Yeah.\With the way things are looking,\CROW will be 1st again. response:	And why do you look depressed about that?
context: What's your problem?\Some girl wouldn't give you the time of day or something?\That can't be it. He's usually all smiles, even when he gets rejected.\Yuujirou, CROW and GIRI had good rankings this week.\Yeah.\With the way things are looking,\CROW will be 1st again.\And why do you look depressed about that? response:	What a downer.
context: Some girl wouldn't give you the time of day or something?\That can't be it. He's usually all smiles, even when he gets rejected.\Yuujirou, CROW and GIRI had good rankings this week.\Yeah.\With the way things are looking,\CROW will be 1st again.\And why do you look depressed about that?\What a downer. response:	I think I know...
context: That can't be it. He's usually all smiles, even when he gets rejected.\Yuujirou, CROW and GIRI had good rankings this week.\Yeah.\With the way things are looking,\CROW will be 1st again.\And why do you look depressed about that?\What a downer.\I think I know... response:	Yuujirou, you must be upset over Master Niizuma.
context: Yuujirou, CROW and GIRI had good rankings this week.\Yeah.\With the way things are looking,\CROW will be 1st again.\And why do you look depressed about that?\What a downer.\I think I know...\Yuujirou, you must be upset over Master Niizuma. response:	Upset doesn't even begin to describe it.
context: Yeah.\With the way things are looking,\CROW will be 1st again.\And why do you look depressed about that?\What a downer.\I think I know...\Yuujirou, you must be upset over Master Niizuma.\Upset doesn't even begin to describe it. response:	I knew it!
context: With the way things are looking,\CROW will be 1st again.\And why do you look depressed about that?\What a downer.\I think I know...\Yuujirou, you must be upset over Master Niizuma.\Upset doesn't even begin to describe it.\I knew it! response:	What?
context: CROW will be 1st again.\And why do you look depressed about that?\What a downer.\I think I know...\Yuujirou, you must be upset over Master Niizuma.\Upset doesn't even begin to describe it.\I knew it!\What? response:	Master Niizuma brought up the right to end a manga he hates, didn't he?
context: And why do you look depressed about that?\What a downer.\I think I know...\Yuujirou, you must be upset over Master Niizuma.\Upset doesn't even begin to describe it.\I knew it!\What?\Master Niizuma brought up the right to end a manga he hates, didn't he? response:	What're you talking about?!
context: What a downer.\I think I know...\Yuujirou, you must be upset over Master Niizuma.\Upset doesn't even begin to describe it.\I knew it!\What?\Master Niizuma brought up the right to end a manga he hates, didn't he?\What're you talking about?! response:	Got any proof?!
context: I think I know...\Yuujirou, you must be upset over Master Niizuma.\Upset doesn't even begin to describe it.\I knew it!\What?\Master Niizuma brought up the right to end a manga he hates, didn't he?\What're you talking about?!\Got any proof?! response:	Wh-Where's your manuscript?!
context: Yuujirou, you must be upset over Master Niizuma.\Upset doesn't even begin to describe it.\I knew it!\What?\Master Niizuma brought up the right to end a manga he hates, didn't he?\What're you talking about?!\Got any proof?!\Wh-Where's your manuscript?! response:	Here.
context: Upset doesn't even begin to describe it.\I knew it!\What?\Master Niizuma brought up the right to end a manga he hates, didn't he?\What're you talking about?!\Got any proof?!\Wh-Where's your manuscript?!\Here. response:	Thanks.
context: I knew it!\What?\Master Niizuma brought up the right to end a manga he hates, didn't he?\What're you talking about?!\Got any proof?!\Wh-Where's your manuscript?!\Here.\Thanks. response:	Listen you better...
context: What?\Master Niizuma brought up the right to end a manga he hates, didn't he?\What're you talking about?!\Got any proof?!\Wh-Where's your manuscript?!\Here.\Thanks.\Listen you better... response:	curb your imagination.
context: Master Niizuma brought up the right to end a manga he hates, didn't he?\What're you talking about?!\Got any proof?!\Wh-Where's your manuscript?!\Here.\Thanks.\Listen you better...\curb your imagination. response:	And don't spread any... strange rumors!
context: What're you talking about?!\Got any proof?!\Wh-Where's your manuscript?!\Here.\Thanks.\Listen you better...\curb your imagination.\And don't spread any... strange rumors! response:	He's so easy to read.
context: Got any proof?!\Wh-Where's your manuscript?!\Here.\Thanks.\Listen you better...\curb your imagination.\And don't spread any... strange rumors!\He's so easy to read. response:	I wonder which manga Master Niizuma wants the right to end.
context: Wh-Where's your manuscript?!\Here.\Thanks.\Listen you better...\curb your imagination.\And don't spread any... strange rumors!\He's so easy to read.\I wonder which manga Master Niizuma wants the right to end. response:	Last week, Yuujirou said it'd probably be NATURAL.
context: Here.\Thanks.\Listen you better...\curb your imagination.\And don't spread any... strange rumors!\He's so easy to read.\I wonder which manga Master Niizuma wants the right to end.\Last week, Yuujirou said it'd probably be NATURAL. response:	Miura!
context: Thanks.\Listen you better...\curb your imagination.\And don't spread any... strange rumors!\He's so easy to read.\I wonder which manga Master Niizuma wants the right to end.\Last week, Yuujirou said it'd probably be NATURAL.\Miura! response:	Are we having this meeting or what?
context: Listen you better...\curb your imagination.\And don't spread any... strange rumors!\He's so easy to read.\I wonder which manga Master Niizuma wants the right to end.\Last week, Yuujirou said it'd probably be NATURAL.\Miura!\Are we having this meeting or what? response:	Huh? Oh, yeah...
context: curb your imagination.\And don't spread any... strange rumors!\He's so easy to read.\I wonder which manga Master Niizuma wants the right to end.\Last week, Yuujirou said it'd probably be NATURAL.\Miura!\Are we having this meeting or what?\Huh? Oh, yeah... response:	The anime's over and the manga's ranking has plummeted.
context: And don't spread any... strange rumors!\He's so easy to read.\I wonder which manga Master Niizuma wants the right to end.\Last week, Yuujirou said it'd probably be NATURAL.\Miura!\Are we having this meeting or what?\Huh? Oh, yeah...\The anime's over and the manga's ranking has plummeted. response:	That's why I told you to be careful.
context: He's so easy to read.\I wonder which manga Master Niizuma wants the right to end.\Last week, Yuujirou said it'd probably be NATURAL.\Miura!\Are we having this meeting or what?\Huh? Oh, yeah...\The anime's over and the manga's ranking has plummeted.\That's why I told you to be careful. response:	Excuse me.
context: I wonder which manga Master Niizuma wants the right to end.\Last week, Yuujirou said it'd probably be NATURAL.\Miura!\Are we having this meeting or what?\Huh? Oh, yeah...\The anime's over and the manga's ranking has plummeted.\That's why I told you to be careful.\Excuse me. response:	Hello?
context: Last week, Yuujirou said it'd probably be NATURAL.\Miura!\Are we having this meeting or what?\Huh? Oh, yeah...\The anime's over and the manga's ranking has plummeted.\That's why I told you to be careful.\Excuse me.\Hello? response:	It's Aoki.
context: Miura!\Are we having this meeting or what?\Huh? Oh, yeah...\The anime's over and the manga's ranking has plummeted.\That's why I told you to be careful.\Excuse me.\Hello?\It's Aoki. response:	Sorry, but I'm in a meeting right now.
context: Are we having this meeting or what?\Huh? Oh, yeah...\The anime's over and the manga's ranking has plummeted.\That's why I told you to be careful.\Excuse me.\Hello?\It's Aoki.\Sorry, but I'm in a meeting right now. response:	I'll call back later, then.
context: Huh? Oh, yeah...\The anime's over and the manga's ranking has plummeted.\That's why I told you to be careful.\Excuse me.\Hello?\It's Aoki.\Sorry, but I'm in a meeting right now.\I'll call back later, then. response:	On second thought, if you have something to tell me, you can say it now.
context: The anime's over and the manga's ranking has plummeted.\That's why I told you to be careful.\Excuse me.\Hello?\It's Aoki.\Sorry, but I'm in a meeting right now.\I'll call back later, then.\On second thought, if you have something to tell me, you can say it now. response:	Okay...
context: That's why I told you to be careful.\Excuse me.\Hello?\It's Aoki.\Sorry, but I'm in a meeting right now.\I'll call back later, then.\On second thought, if you have something to tell me, you can say it now.\Okay... response:	A gathering at Fukuda's place?
context: Excuse me.\Hello?\It's Aoki.\Sorry, but I'm in a meeting right now.\I'll call back later, then.\On second thought, if you have something to tell me, you can say it now.\Okay...\A gathering at Fukuda's place? response:	Um, I'm not part of the so-called Team Fukuda.
context: Hello?\It's Aoki.\Sorry, but I'm in a meeting right now.\I'll call back later, then.\On second thought, if you have something to tell me, you can say it now.\Okay...\A gathering at Fukuda's place?\Um, I'm not part of the so-called Team Fukuda. response:	But it's to discuss the possibility of Niizuma ending NATURAL...
context: It's Aoki.\Sorry, but I'm in a meeting right now.\I'll call back later, then.\On second thought, if you have something to tell me, you can say it now.\Okay...\A gathering at Fukuda's place?\Um, I'm not part of the so-called Team Fukuda.\But it's to discuss the possibility of Niizuma ending NATURAL... response:	I understand.
context: Sorry, but I'm in a meeting right now.\I'll call back later, then.\On second thought, if you have something to tell me, you can say it now.\Okay...\A gathering at Fukuda's place?\Um, I'm not part of the so-called Team Fukuda.\But it's to discuss the possibility of Niizuma ending NATURAL...\I understand. response:	6 PM, right?
context: I'll call back later, then.\On second thought, if you have something to tell me, you can say it now.\Okay...\A gathering at Fukuda's place?\Um, I'm not part of the so-called Team Fukuda.\But it's to discuss the possibility of Niizuma ending NATURAL...\I understand.\6 PM, right? response:	We don't even know if Niizuma's actually been given the right to do this.
context: On second thought, if you have something to tell me, you can say it now.\Okay...\A gathering at Fukuda's place?\Um, I'm not part of the so-called Team Fukuda.\But it's to discuss the possibility of Niizuma ending NATURAL...\I understand.\6 PM, right?\We don't even know if Niizuma's actually been given the right to do this. response:	That's true.
context: Okay...\A gathering at Fukuda's place?\Um, I'm not part of the so-called Team Fukuda.\But it's to discuss the possibility of Niizuma ending NATURAL...\I understand.\6 PM, right?\We don't even know if Niizuma's actually been given the right to do this.\That's true. response:	But it's also true that Niizuma showed up at the editing department on Monday and spoke to the Chief Editor.
context: A gathering at Fukuda's place?\Um, I'm not part of the so-called Team Fukuda.\But it's to discuss the possibility of Niizuma ending NATURAL...\I understand.\6 PM, right?\We don't even know if Niizuma's actually been given the right to do this.\That's true.\But it's also true that Niizuma showed up at the editing department on Monday and spoke to the Chief Editor. response:	I heard this from Mr. Yoshida.
context: Um, I'm not part of the so-called Team Fukuda.\But it's to discuss the possibility of Niizuma ending NATURAL...\I understand.\6 PM, right?\We don't even know if Niizuma's actually been given the right to do this.\That's true.\But it's also true that Niizuma showed up at the editing department on Monday and spoke to the Chief Editor.\I heard this from Mr. Yoshida. response:	Since they spoke in a separate room,
context: But it's to discuss the possibility of Niizuma ending NATURAL...\I understand.\6 PM, right?\We don't even know if Niizuma's actually been given the right to do this.\That's true.\But it's also true that Niizuma showed up at the editing department on Monday and spoke to the Chief Editor.\I heard this from Mr. Yoshida.\Since they spoke in a separate room, response:	even Mr. Yoshida, a team leader, doesn't know what they talked about.
context: I understand.\6 PM, right?\We don't even know if Niizuma's actually been given the right to do this.\That's true.\But it's also true that Niizuma showed up at the editing department on Monday and spoke to the Chief Editor.\I heard this from Mr. Yoshida.\Since they spoke in a separate room,\even Mr. Yoshida, a team leader, doesn't know what they talked about. response:	In other words, only Niizuma's editor, Yuujirou, knows.
context: 6 PM, right?\We don't even know if Niizuma's actually been given the right to do this.\That's true.\But it's also true that Niizuma showed up at the editing department on Monday and spoke to the Chief Editor.\I heard this from Mr. Yoshida.\Since they spoke in a separate room,\even Mr. Yoshida, a team leader, doesn't know what they talked about.\In other words, only Niizuma's editor, Yuujirou, knows. response:	And you know how Yuujirou's been acting.
context: We don't even know if Niizuma's actually been given the right to do this.\That's true.\But it's also true that Niizuma showed up at the editing department on Monday and spoke to the Chief Editor.\I heard this from Mr. Yoshida.\Since they spoke in a separate room,\even Mr. Yoshida, a team leader, doesn't know what they talked about.\In other words, only Niizuma's editor, Yuujirou, knows.\And you know how Yuujirou's been acting. response:	It does seem likely that he was granted the right to end a manga.
context: That's true.\But it's also true that Niizuma showed up at the editing department on Monday and spoke to the Chief Editor.\I heard this from Mr. Yoshida.\Since they spoke in a separate room,\even Mr. Yoshida, a team leader, doesn't know what they talked about.\In other words, only Niizuma's editor, Yuujirou, knows.\And you know how Yuujirou's been acting.\It does seem likely that he was granted the right to end a manga. response:	And that would be NATURAL?
context: But it's also true that Niizuma showed up at the editing department on Monday and spoke to the Chief Editor.\I heard this from Mr. Yoshida.\Since they spoke in a separate room,\even Mr. Yoshida, a team leader, doesn't know what they talked about.\In other words, only Niizuma's editor, Yuujirou, knows.\And you know how Yuujirou's been acting.\It does seem likely that he was granted the right to end a manga.\And that would be NATURAL? response:	No, maybe it's Never Reaching You!
context: I heard this from Mr. Yoshida.\Since they spoke in a separate room,\even Mr. Yoshida, a team leader, doesn't know what they talked about.\In other words, only Niizuma's editor, Yuujirou, knows.\And you know how Yuujirou's been acting.\It does seem likely that he was granted the right to end a manga.\And that would be NATURAL?\No, maybe it's Never Reaching You! response:	Hiramaru, that's not something you should be happy about!
context: Since they spoke in a separate room,\even Mr. Yoshida, a team leader, doesn't know what they talked about.\In other words, only Niizuma's editor, Yuujirou, knows.\And you know how Yuujirou's been acting.\It does seem likely that he was granted the right to end a manga.\And that would be NATURAL?\No, maybe it's Never Reaching You!\Hiramaru, that's not something you should be happy about! response:	I still find it hard to believe that they'd give him that right just because he came in 1st a few times.
context: even Mr. Yoshida, a team leader, doesn't know what they talked about.\In other words, only Niizuma's editor, Yuujirou, knows.\And you know how Yuujirou's been acting.\It does seem likely that he was granted the right to end a manga.\And that would be NATURAL?\No, maybe it's Never Reaching You!\Hiramaru, that's not something you should be happy about!\I still find it hard to believe that they'd give him that right just because he came in 1st a few times. response:	And the idea that he'd choose to end NATURAL is just speculation.
context: In other words, only Niizuma's editor, Yuujirou, knows.\And you know how Yuujirou's been acting.\It does seem likely that he was granted the right to end a manga.\And that would be NATURAL?\No, maybe it's Never Reaching You!\Hiramaru, that's not something you should be happy about!\I still find it hard to believe that they'd give him that right just because he came in 1st a few times.\And the idea that he'd choose to end NATURAL is just speculation. response:	Yeah. It's partly his manga, after all.
context: And you know how Yuujirou's been acting.\It does seem likely that he was granted the right to end a manga.\And that would be NATURAL?\No, maybe it's Never Reaching You!\Hiramaru, that's not something you should be happy about!\I still find it hard to believe that they'd give him that right just because he came in 1st a few times.\And the idea that he'd choose to end NATURAL is just speculation.\Yeah. It's partly his manga, after all. response:	Nothing can come from discussing this here!
context: It does seem likely that he was granted the right to end a manga.\And that would be NATURAL?\No, maybe it's Never Reaching You!\Hiramaru, that's not something you should be happy about!\I still find it hard to believe that they'd give him that right just because he came in 1st a few times.\And the idea that he'd choose to end NATURAL is just speculation.\Yeah. It's partly his manga, after all.\Nothing can come from discussing this here! response:	I'm going to ask him directly.
context: And that would be NATURAL?\No, maybe it's Never Reaching You!\Hiramaru, that's not something you should be happy about!\I still find it hard to believe that they'd give him that right just because he came in 1st a few times.\And the idea that he'd choose to end NATURAL is just speculation.\Yeah. It's partly his manga, after all.\Nothing can come from discussing this here!\I'm going to ask him directly. response:	So it's true that you asked for the right to end a manga you hate?
context: No, maybe it's Never Reaching You!\Hiramaru, that's not something you should be happy about!\I still find it hard to believe that they'd give him that right just because he came in 1st a few times.\And the idea that he'd choose to end NATURAL is just speculation.\Yeah. It's partly his manga, after all.\Nothing can come from discussing this here!\I'm going to ask him directly.\So it's true that you asked for the right to end a manga you hate? response:	Yes.
context: Hiramaru, that's not something you should be happy about!\I still find it hard to believe that they'd give him that right just because he came in 1st a few times.\And the idea that he'd choose to end NATURAL is just speculation.\Yeah. It's partly his manga, after all.\Nothing can come from discussing this here!\I'm going to ask him directly.\So it's true that you asked for the right to end a manga you hate?\Yes. response:	And did you get it?
context: I still find it hard to believe that they'd give him that right just because he came in 1st a few times.\And the idea that he'd choose to end NATURAL is just speculation.\Yeah. It's partly his manga, after all.\Nothing can come from discussing this here!\I'm going to ask him directly.\So it's true that you asked for the right to end a manga you hate?\Yes.\And did you get it? response:	They'd never give him the right do something like that.
context: And the idea that he'd choose to end NATURAL is just speculation.\Yeah. It's partly his manga, after all.\Nothing can come from discussing this here!\I'm going to ask him directly.\So it's true that you asked for the right to end a manga you hate?\Yes.\And did you get it?\They'd never give him the right do something like that. response:	But they did.
context: Yeah. It's partly his manga, after all.\Nothing can come from discussing this here!\I'm going to ask him directly.\So it's true that you asked for the right to end a manga you hate?\Yes.\And did you get it?\They'd never give him the right do something like that.\But they did. response:	With some conditions.
context: Nothing can come from discussing this here!\I'm going to ask him directly.\So it's true that you asked for the right to end a manga you hate?\Yes.\And did you get it?\They'd never give him the right do something like that.\But they did.\With some conditions. response:	Conditions?
context: I'm going to ask him directly.\So it's true that you asked for the right to end a manga you hate?\Yes.\And did you get it?\They'd never give him the right do something like that.\But they did.\With some conditions.\Conditions? response:	I have to get first place ten weeks in a row.
context: So it's true that you asked for the right to end a manga you hate?\Yes.\And did you get it?\They'd never give him the right do something like that.\But they did.\With some conditions.\Conditions?\I have to get first place ten weeks in a row. response:	So I only need to come in first place for five more weeks!
