context: I can hear cats meowing. response:	Say, you cats have nine lives, do you not?
context: Squirm, and you'll get hurt.\Ariel!\Why would a mage do such a thing?\Mage?\You're mistaken.\I'm a sorcerer.\Poor girl.\Even the fairies are deceiving you. response:	Deceiving me?
context: Ariel!\Why would a mage do such a thing?\Mage?\You're mistaken.\I'm a sorcerer.\Poor girl.\Even the fairies are deceiving you.\Deceiving me? response:	She isn't deceiving you.
context: Why would a mage do such a thing?\Mage?\You're mistaken.\I'm a sorcerer.\Poor girl.\Even the fairies are deceiving you.\Deceiving me?\She isn't deceiving you. response:	We detest lies.
context: Mage?\You're mistaken.\I'm a sorcerer.\Poor girl.\Even the fairies are deceiving you.\Deceiving me?\She isn't deceiving you.\We detest lies. response:	Indeed.
context: You're mistaken.\I'm a sorcerer.\Poor girl.\Even the fairies are deceiving you.\Deceiving me?\She isn't deceiving you.\We detest lies.\Indeed. response:	All you do is conceal the truth.
context: I'm a sorcerer.\Poor girl.\Even the fairies are deceiving you.\Deceiving me?\She isn't deceiving you.\We detest lies.\Indeed.\All you do is conceal the truth. response:	That's how you put this unfortunate child on a leash,
context: Poor girl.\Even the fairies are deceiving you.\Deceiving me?\She isn't deceiving you.\We detest lies.\Indeed.\All you do is conceal the truth.\That's how you put this unfortunate child on a leash, response:	to try to use her to satisfy your own curiosity.
context: Even the fairies are deceiving you.\Deceiving me?\She isn't deceiving you.\We detest lies.\Indeed.\All you do is conceal the truth.\That's how you put this unfortunate child on a leash,\to try to use her to satisfy your own curiosity. response:	Why don't you tell her of the fate that awaits a Sleigh Beggy?
context: Deceiving me?\She isn't deceiving you.\We detest lies.\Indeed.\All you do is conceal the truth.\That's how you put this unfortunate child on a leash,\to try to use her to satisfy your own curiosity.\Why don't you tell her of the fate that awaits a Sleigh Beggy? response:	Of the death that will soon come to her?
context: She isn't deceiving you.\We detest lies.\Indeed.\All you do is conceal the truth.\That's how you put this unfortunate child on a leash,\to try to use her to satisfy your own curiosity.\Why don't you tell her of the fate that awaits a Sleigh Beggy?\Of the death that will soon come to her? response:	Death?
context: We detest lies.\Indeed.\All you do is conceal the truth.\That's how you put this unfortunate child on a leash,\to try to use her to satisfy your own curiosity.\Why don't you tell her of the fate that awaits a Sleigh Beggy?\Of the death that will soon come to her?\Death? response:	My death?
context: Indeed.\All you do is conceal the truth.\That's how you put this unfortunate child on a leash,\to try to use her to satisfy your own curiosity.\Why don't you tell her of the fate that awaits a Sleigh Beggy?\Of the death that will soon come to her?\Death?\My death? response:	The girl's heart is rocked by the truth with which she is confronted.
context: All you do is conceal the truth.\That's how you put this unfortunate child on a leash,\to try to use her to satisfy your own curiosity.\Why don't you tell her of the fate that awaits a Sleigh Beggy?\Of the death that will soon come to her?\Death?\My death?\The girl's heart is rocked by the truth with which she is confronted. response:	Will the despairing child's decision
context: That's how you put this unfortunate child on a leash,\to try to use her to satisfy your own curiosity.\Why don't you tell her of the fate that awaits a Sleigh Beggy?\Of the death that will soon come to her?\Death?\My death?\The girl's heart is rocked by the truth with which she is confronted.\Will the despairing child's decision response:	bring an end to the tragic obsession lurking deep in the Kingdom of Cats?
context: to try to use her to satisfy your own curiosity.\Why don't you tell her of the fate that awaits a Sleigh Beggy?\Of the death that will soon come to her?\Death?\My death?\The girl's heart is rocked by the truth with which she is confronted.\Will the despairing child's decision\bring an end to the tragic obsession lurking deep in the Kingdom of Cats? response:	You mustn't look inside!
