context: Typhoon 13 is maintaining its extremely strong force response:	as it continues making its way up north.
context: Food tastes better when we eat it together!\Let's eat here again tomorrow night!\Kouki!\That's good enough.\I'll finish up later.\Okay...\And then it hit him right in the head!\He's so excited... response:	I was never able to give him this kind of opportunity'til now.
context: Let's eat here again tomorrow night!\Kouki!\That's good enough.\I'll finish up later.\Okay...\And then it hit him right in the head!\He's so excited...\I was never able to give him this kind of opportunity'til now. response:	I'm so happy about this evening.
context: Kouki!\That's good enough.\I'll finish up later.\Okay...\And then it hit him right in the head!\He's so excited...\I was never able to give him this kind of opportunity'til now.\I'm so happy about this evening. response:	Thank you.
context: That's good enough.\I'll finish up later.\Okay...\And then it hit him right in the head!\He's so excited...\I was never able to give him this kind of opportunity'til now.\I'm so happy about this evening.\Thank you. response:	Oh, I didn't... I need to thank you!
context: I'll finish up later.\Okay...\And then it hit him right in the head!\He's so excited...\I was never able to give him this kind of opportunity'til now.\I'm so happy about this evening.\Thank you.\Oh, I didn't... I need to thank you! response:	Sensei said we didn't need those circles!
context: Okay...\And then it hit him right in the head!\He's so excited...\I was never able to give him this kind of opportunity'til now.\I'm so happy about this evening.\Thank you.\Oh, I didn't... I need to thank you!\Sensei said we didn't need those circles! response:	Being able to see that face...
context: And then it hit him right in the head!\He's so excited...\I was never able to give him this kind of opportunity'til now.\I'm so happy about this evening.\Thank you.\Oh, I didn't... I need to thank you!\Sensei said we didn't need those circles!\Being able to see that face... response:	I'm glad I got off work early.
context: He's so excited...\I was never able to give him this kind of opportunity'til now.\I'm so happy about this evening.\Thank you.\Oh, I didn't... I need to thank you!\Sensei said we didn't need those circles!\Being able to see that face...\I'm glad I got off work early. response:	She's raising a child alone, too...
context: I was never able to give him this kind of opportunity'til now.\I'm so happy about this evening.\Thank you.\Oh, I didn't... I need to thank you!\Sensei said we didn't need those circles!\Being able to see that face...\I'm glad I got off work early.\She's raising a child alone, too... response:	Daikichi! Come here a second!
context: I'm so happy about this evening.\Thank you.\Oh, I didn't... I need to thank you!\Sensei said we didn't need those circles!\Being able to see that face...\I'm glad I got off work early.\She's raising a child alone, too...\Daikichi! Come here a second! response:	All right...
context: Thank you.\Oh, I didn't... I need to thank you!\Sensei said we didn't need those circles!\Being able to see that face...\I'm glad I got off work early.\She's raising a child alone, too...\Daikichi! Come here a second!\All right... response:	Well, I think it's about time...
context: Oh, I didn't... I need to thank you!\Sensei said we didn't need those circles!\Being able to see that face...\I'm glad I got off work early.\She's raising a child alone, too...\Daikichi! Come here a second!\All right...\Well, I think it's about time... response:	Shall I call a taxi?
context: Sensei said we didn't need those circles!\Being able to see that face...\I'm glad I got off work early.\She's raising a child alone, too...\Daikichi! Come here a second!\All right...\Well, I think it's about time...\Shall I call a taxi? response:	Yes, thank you.
context: Being able to see that face...\I'm glad I got off work early.\She's raising a child alone, too...\Daikichi! Come here a second!\All right...\Well, I think it's about time...\Shall I call a taxi?\Yes, thank you. response:	Why don't you stay over?
context: I'm glad I got off work early.\She's raising a child alone, too...\Daikichi! Come here a second!\All right...\Well, I think it's about time...\Shall I call a taxi?\Yes, thank you.\Why don't you stay over? response:	Rin!
context: She's raising a child alone, too...\Daikichi! Come here a second!\All right...\Well, I think it's about time...\Shall I call a taxi?\Yes, thank you.\Why don't you stay over?\Rin! response:	After all, Reina-chan and her mom stayed over.
context: Daikichi! Come here a second!\All right...\Well, I think it's about time...\Shall I call a taxi?\Yes, thank you.\Why don't you stay over?\Rin!\After all, Reina-chan and her mom stayed over. response:	That was different!
context: All right...\Well, I think it's about time...\Shall I call a taxi?\Yes, thank you.\Why don't you stay over?\Rin!\After all, Reina-chan and her mom stayed over.\That was different! response:	See ya tomorrow...
context: Well, I think it's about time...\Shall I call a taxi?\Yes, thank you.\Why don't you stay over?\Rin!\After all, Reina-chan and her mom stayed over.\That was different!\See ya tomorrow... response:	See you!
context: Shall I call a taxi?\Yes, thank you.\Why don't you stay over?\Rin!\After all, Reina-chan and her mom stayed over.\That was different!\See ya tomorrow...\See you! response:	Bye-bye!
context: Yes, thank you.\Why don't you stay over?\Rin!\After all, Reina-chan and her mom stayed over.\That was different!\See ya tomorrow...\See you!\Bye-bye! response:	Rin-chan, thank you.
context: Why don't you stay over?\Rin!\After all, Reina-chan and her mom stayed over.\That was different!\See ya tomorrow...\See you!\Bye-bye!\Rin-chan, thank you. response:	Thank you very much.
context: Rin!\After all, Reina-chan and her mom stayed over.\That was different!\See ya tomorrow...\See you!\Bye-bye!\Rin-chan, thank you.\Thank you very much. response:	We had fun, too.
context: After all, Reina-chan and her mom stayed over.\That was different!\See ya tomorrow...\See you!\Bye-bye!\Rin-chan, thank you.\Thank you very much.\We had fun, too. response:	Right?
context: That was different!\See ya tomorrow...\See you!\Bye-bye!\Rin-chan, thank you.\Thank you very much.\We had fun, too.\Right? response:	Uh-huh!
context: See ya tomorrow...\See you!\Bye-bye!\Rin-chan, thank you.\Thank you very much.\We had fun, too.\Right?\Uh-huh! response:	Bye-bye!
context: See you!\Bye-bye!\Rin-chan, thank you.\Thank you very much.\We had fun, too.\Right?\Uh-huh!\Bye-bye! response:	A sunny early Sunday afternoon
context: Bye-bye!\Rin-chan, thank you.\Thank you very much.\We had fun, too.\Right?\Uh-huh!\Bye-bye!\A sunny early Sunday afternoon response:	Let's go somewhere today
context: Rin-chan, thank you.\Thank you very much.\We had fun, too.\Right?\Uh-huh!\Bye-bye!\A sunny early Sunday afternoon\Let's go somewhere today response:	It's the same road I'm used to traveling
context: Thank you very much.\We had fun, too.\Right?\Uh-huh!\Bye-bye!\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling response:	But I can see it sparkling so bright
context: We had fun, too.\Right?\Uh-huh!\Bye-bye!\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright response:	With the sun shining down its warmth
context: Right?\Uh-huh!\Bye-bye!\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth response:	And you here by my side...
context: Uh-huh!\Bye-bye!\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side... response:	I'm already high, high, high
context: Bye-bye!\A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high response:	I feel like dashing out
context: A sunny early Sunday afternoon\Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out response:	Sing, la, la, la
context: Let's go somewhere today\It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la response:	My voice out to forever
context: It's the same road I'm used to traveling\But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever response:	I'm already high, high, high
context: But I can see it sparkling so bright\With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high response:	Ride the dancing wind
context: With the sun shining down its warmth\And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind response:	Sing, la, la, la
context: And you here by my side...\I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la response:	My voice springs up
context: I'm already high, high, high\I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up response:	The typhoon left, huh?
context: I feel like dashing out\Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up\The typhoon left, huh? response:	Yep.
context: Sing, la, la, la\My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up\The typhoon left, huh?\Yep. response:	Rin-chan! Rin-chan!
context: My voice out to forever\I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up\The typhoon left, huh?\Yep.\Rin-chan! Rin-chan! response:	Kouki-kun is here already!
context: I'm already high, high, high\Ride the dancing wind\Sing, la, la, la\My voice springs up\The typhoon left, huh?\Yep.\Rin-chan! Rin-chan!\Kouki-kun is here already! response:	He's early again!
context: Ride the dancing wind\Sing, la, la, la\My voice springs up\The typhoon left, huh?\Yep.\Rin-chan! Rin-chan!\Kouki-kun is here already!\He's early again! response:	Come on in!
context: Sing, la, la, la\My voice springs up\The typhoon left, huh?\Yep.\Rin-chan! Rin-chan!\Kouki-kun is here already!\He's early again!\Come on in! response:	Are you sure?
context: My voice springs up\The typhoon left, huh?\Yep.\Rin-chan! Rin-chan!\Kouki-kun is here already!\He's early again!\Come on in!\Are you sure? response:	Hold on!
context: The typhoon left, huh?\Yep.\Rin-chan! Rin-chan!\Kouki-kun is here already!\He's early again!\Come on in!\Are you sure?\Hold on! response:	Wait!
context: Yep.\Rin-chan! Rin-chan!\Kouki-kun is here already!\He's early again!\Come on in!\Are you sure?\Hold on!\Wait! response:	I wanted to open the storm windows...
context: Rin-chan! Rin-chan!\Kouki-kun is here already!\He's early again!\Come on in!\Are you sure?\Hold on!\Wait!\I wanted to open the storm windows... response:	Not a cloud in the sky!
context: Kouki-kun is here already!\He's early again!\Come on in!\Are you sure?\Hold on!\Wait!\I wanted to open the storm windows...\Not a cloud in the sky! response:	See you later!
context: He's early again!\Come on in!\Are you sure?\Hold on!\Wait!\I wanted to open the storm windows...\Not a cloud in the sky!\See you later! response:	Kouki-kun, we're gonna be late!
context: Come on in!\Are you sure?\Hold on!\Wait!\I wanted to open the storm windows...\Not a cloud in the sky!\See you later!\Kouki-kun, we're gonna be late! response:	See ya later!
