context: I got it. response:	The reprogramming of the surveillance satellite,
context: What?\We're all alone right now, aren't we?\Yes, we are...\So this is the best time.\There's something I must tell you. Only you.\The promise I made with Karasuba-sama...\The promise between a Sekirei and a Sekirei.\A promise? response:	Yes, it is the promise we must keep.
context: We're all alone right now, aren't we?\Yes, we are...\So this is the best time.\There's something I must tell you. Only you.\The promise I made with Karasuba-sama...\The promise between a Sekirei and a Sekirei.\A promise?\Yes, it is the promise we must keep. response:	Humans are an unnecessary species on this planet.
context: Yes, we are...\So this is the best time.\There's something I must tell you. Only you.\The promise I made with Karasuba-sama...\The promise between a Sekirei and a Sekirei.\A promise?\Yes, it is the promise we must keep.\Humans are an unnecessary species on this planet. response:	My Ashikabi-sama who I will meet someday...
context: So this is the best time.\There's something I must tell you. Only you.\The promise I made with Karasuba-sama...\The promise between a Sekirei and a Sekirei.\A promise?\Yes, it is the promise we must keep.\Humans are an unnecessary species on this planet.\My Ashikabi-sama who I will meet someday... response:	I'm really sure I will like that person very, very much.
context: There's something I must tell you. Only you.\The promise I made with Karasuba-sama...\The promise between a Sekirei and a Sekirei.\A promise?\Yes, it is the promise we must keep.\Humans are an unnecessary species on this planet.\My Ashikabi-sama who I will meet someday...\I'm really sure I will like that person very, very much. response:	They are not an unnecessary species.
context: The promise I made with Karasuba-sama...\The promise between a Sekirei and a Sekirei.\A promise?\Yes, it is the promise we must keep.\Humans are an unnecessary species on this planet.\My Ashikabi-sama who I will meet someday...\I'm really sure I will like that person very, very much.\They are not an unnecessary species. response:	You say the same thing as Yume said.
context: The promise between a Sekirei and a Sekirei.\A promise?\Yes, it is the promise we must keep.\Humans are an unnecessary species on this planet.\My Ashikabi-sama who I will meet someday...\I'm really sure I will like that person very, very much.\They are not an unnecessary species.\You say the same thing as Yume said. response:	Yume-sama did, too?
context: A promise?\Yes, it is the promise we must keep.\Humans are an unnecessary species on this planet.\My Ashikabi-sama who I will meet someday...\I'm really sure I will like that person very, very much.\They are not an unnecessary species.\You say the same thing as Yume said.\Yume-sama did, too? response:	Then, how about this?
context: Yes, it is the promise we must keep.\Humans are an unnecessary species on this planet.\My Ashikabi-sama who I will meet someday...\I'm really sure I will like that person very, very much.\They are not an unnecessary species.\You say the same thing as Yume said.\Yume-sama did, too?\Then, how about this? response:	We will fight and survive until we are the last two remaining.
context: Humans are an unnecessary species on this planet.\My Ashikabi-sama who I will meet someday...\I'm really sure I will like that person very, very much.\They are not an unnecessary species.\You say the same thing as Yume said.\Yume-sama did, too?\Then, how about this?\We will fight and survive until we are the last two remaining. response:	Then, we fight until one of us loses.
context: My Ashikabi-sama who I will meet someday...\I'm really sure I will like that person very, very much.\They are not an unnecessary species.\You say the same thing as Yume said.\Yume-sama did, too?\Then, how about this?\We will fight and survive until we are the last two remaining.\Then, we fight until one of us loses. response:	Karasuba-sama and me?
context: I'm really sure I will like that person very, very much.\They are not an unnecessary species.\You say the same thing as Yume said.\Yume-sama did, too?\Then, how about this?\We will fight and survive until we are the last two remaining.\Then, we fight until one of us loses.\Karasuba-sama and me? response:	If you win, what you are saying is right.
context: They are not an unnecessary species.\You say the same thing as Yume said.\Yume-sama did, too?\Then, how about this?\We will fight and survive until we are the last two remaining.\Then, we fight until one of us loses.\Karasuba-sama and me?\If you win, what you are saying is right. response:	If it's the opposite and...
context: You say the same thing as Yume said.\Yume-sama did, too?\Then, how about this?\We will fight and survive until we are the last two remaining.\Then, we fight until one of us loses.\Karasuba-sama and me?\If you win, what you are saying is right.\If it's the opposite and... response:	My promise with Karasuba-sama is to survive the fights until we are the last two remaining.
context: Yume-sama did, too?\Then, how about this?\We will fight and survive until we are the last two remaining.\Then, we fight until one of us loses.\Karasuba-sama and me?\If you win, what you are saying is right.\If it's the opposite and...\My promise with Karasuba-sama is to survive the fights until we are the last two remaining. response:	And I will definitely win over her,
context: Then, how about this?\We will fight and survive until we are the last two remaining.\Then, we fight until one of us loses.\Karasuba-sama and me?\If you win, what you are saying is right.\If it's the opposite and...\My promise with Karasuba-sama is to survive the fights until we are the last two remaining.\And I will definitely win over her, response:	and free all the broken-winged Sekireis into the sky again.
context: We will fight and survive until we are the last two remaining.\Then, we fight until one of us loses.\Karasuba-sama and me?\If you win, what you are saying is right.\If it's the opposite and...\My promise with Karasuba-sama is to survive the fights until we are the last two remaining.\And I will definitely win over her,\and free all the broken-winged Sekireis into the sky again. response:	Being separated from their Ashikabi-sama forever... It's too sad.
context: Then, we fight until one of us loses.\Karasuba-sama and me?\If you win, what you are saying is right.\If it's the opposite and...\My promise with Karasuba-sama is to survive the fights until we are the last two remaining.\And I will definitely win over her,\and free all the broken-winged Sekireis into the sky again.\Being separated from their Ashikabi-sama forever... It's too sad. response:	Musubi-chan...
context: Karasuba-sama and me?\If you win, what you are saying is right.\If it's the opposite and...\My promise with Karasuba-sama is to survive the fights until we are the last two remaining.\And I will definitely win over her,\and free all the broken-winged Sekireis into the sky again.\Being separated from their Ashikabi-sama forever... It's too sad.\Musubi-chan... response:	I like you very much!
context: If you win, what you are saying is right.\If it's the opposite and...\My promise with Karasuba-sama is to survive the fights until we are the last two remaining.\And I will definitely win over her,\and free all the broken-winged Sekireis into the sky again.\Being separated from their Ashikabi-sama forever... It's too sad.\Musubi-chan...\I like you very much! response:	Thanks.
context: If it's the opposite and...\My promise with Karasuba-sama is to survive the fights until we are the last two remaining.\And I will definitely win over her,\and free all the broken-winged Sekireis into the sky again.\Being separated from their Ashikabi-sama forever... It's too sad.\Musubi-chan...\I like you very much!\Thanks. response:	Here!
context: My promise with Karasuba-sama is to survive the fights until we are the last two remaining.\And I will definitely win over her,\and free all the broken-winged Sekireis into the sky again.\Being separated from their Ashikabi-sama forever... It's too sad.\Musubi-chan...\I like you very much!\Thanks.\Here! response:	Can you feel it?
context: And I will definitely win over her,\and free all the broken-winged Sekireis into the sky again.\Being separated from their Ashikabi-sama forever... It's too sad.\Musubi-chan...\I like you very much!\Thanks.\Here!\Can you feel it? response:	It's beating so hard.
context: and free all the broken-winged Sekireis into the sky again.\Being separated from their Ashikabi-sama forever... It's too sad.\Musubi-chan...\I like you very much!\Thanks.\Here!\Can you feel it?\It's beating so hard. response:	Y-Yes...
context: Being separated from their Ashikabi-sama forever... It's too sad.\Musubi-chan...\I like you very much!\Thanks.\Here!\Can you feel it?\It's beating so hard.\Y-Yes... response:	It's so warm... I'm grateful to the gods and goddesses.
context: Musubi-chan...\I like you very much!\Thanks.\Here!\Can you feel it?\It's beating so hard.\Y-Yes...\It's so warm... I'm grateful to the gods and goddesses. response:	For the happiness that I have here, for the people I love.
context: I like you very much!\Thanks.\Here!\Can you feel it?\It's beating so hard.\Y-Yes...\It's so warm... I'm grateful to the gods and goddesses.\For the happiness that I have here, for the people I love. response:	Landlady, Ku-chan, Matsu-san, Tsukiumi-san...
context: Thanks.\Here!\Can you feel it?\It's beating so hard.\Y-Yes...\It's so warm... I'm grateful to the gods and goddesses.\For the happiness that I have here, for the people I love.\Landlady, Ku-chan, Matsu-san, Tsukiumi-san... response:	For the miracle I could meet everybody.
context: Here!\Can you feel it?\It's beating so hard.\Y-Yes...\It's so warm... I'm grateful to the gods and goddesses.\For the happiness that I have here, for the people I love.\Landlady, Ku-chan, Matsu-san, Tsukiumi-san...\For the miracle I could meet everybody. response:	This feeling...
context: Can you feel it?\It's beating so hard.\Y-Yes...\It's so warm... I'm grateful to the gods and goddesses.\For the happiness that I have here, for the people I love.\Landlady, Ku-chan, Matsu-san, Tsukiumi-san...\For the miracle I could meet everybody.\This feeling... response:	How this feeling of loving someone makes us much stronger.
context: It's beating so hard.\Y-Yes...\It's so warm... I'm grateful to the gods and goddesses.\For the happiness that I have here, for the people I love.\Landlady, Ku-chan, Matsu-san, Tsukiumi-san...\For the miracle I could meet everybody.\This feeling...\How this feeling of loving someone makes us much stronger. response:	I want Karasuba-sama to know this feeling too.
context: Y-Yes...\It's so warm... I'm grateful to the gods and goddesses.\For the happiness that I have here, for the people I love.\Landlady, Ku-chan, Matsu-san, Tsukiumi-san...\For the miracle I could meet everybody.\This feeling...\How this feeling of loving someone makes us much stronger.\I want Karasuba-sama to know this feeling too. response:	That person who doesn't know anything, like a child...
context: It's so warm... I'm grateful to the gods and goddesses.\For the happiness that I have here, for the people I love.\Landlady, Ku-chan, Matsu-san, Tsukiumi-san...\For the miracle I could meet everybody.\This feeling...\How this feeling of loving someone makes us much stronger.\I want Karasuba-sama to know this feeling too.\That person who doesn't know anything, like a child... response:	I really want her to know no matter what.
context: For the happiness that I have here, for the people I love.\Landlady, Ku-chan, Matsu-san, Tsukiumi-san...\For the miracle I could meet everybody.\This feeling...\How this feeling of loving someone makes us much stronger.\I want Karasuba-sama to know this feeling too.\That person who doesn't know anything, like a child...\I really want her to know no matter what. response:	That's my ambition!
context: Landlady, Ku-chan, Matsu-san, Tsukiumi-san...\For the miracle I could meet everybody.\This feeling...\How this feeling of loving someone makes us much stronger.\I want Karasuba-sama to know this feeling too.\That person who doesn't know anything, like a child...\I really want her to know no matter what.\That's my ambition! response:	Is it too big?
context: For the miracle I could meet everybody.\This feeling...\How this feeling of loving someone makes us much stronger.\I want Karasuba-sama to know this feeling too.\That person who doesn't know anything, like a child...\I really want her to know no matter what.\That's my ambition!\Is it too big? response:	Not at all.
context: This feeling...\How this feeling of loving someone makes us much stronger.\I want Karasuba-sama to know this feeling too.\That person who doesn't know anything, like a child...\I really want her to know no matter what.\That's my ambition!\Is it too big?\Not at all. response:	You can do it, Musubi-chan.
context: How this feeling of loving someone makes us much stronger.\I want Karasuba-sama to know this feeling too.\That person who doesn't know anything, like a child...\I really want her to know no matter what.\That's my ambition!\Is it too big?\Not at all.\You can do it, Musubi-chan. response:	I believe in you.
context: I want Karasuba-sama to know this feeling too.\That person who doesn't know anything, like a child...\I really want her to know no matter what.\That's my ambition!\Is it too big?\Not at all.\You can do it, Musubi-chan.\I believe in you. response:	Yes!
context: That person who doesn't know anything, like a child...\I really want her to know no matter what.\That's my ambition!\Is it too big?\Not at all.\You can do it, Musubi-chan.\I believe in you.\Yes! response:	I believe in your strong words. Your smile.
context: I really want her to know no matter what.\That's my ambition!\Is it too big?\Not at all.\You can do it, Musubi-chan.\I believe in you.\Yes!\I believe in your strong words. Your smile. response:	What a farce!
context: That's my ambition!\Is it too big?\Not at all.\You can do it, Musubi-chan.\I believe in you.\Yes!\I believe in your strong words. Your smile.\What a farce! response:	You should've known.
context: Is it too big?\Not at all.\You can do it, Musubi-chan.\I believe in you.\Yes!\I believe in your strong words. Your smile.\What a farce!\You should've known. response:	Homura!
context: Not at all.\You can do it, Musubi-chan.\I believe in you.\Yes!\I believe in your strong words. Your smile.\What a farce!\You should've known.\Homura! response:	The plan was always for this city to be readied as a battle arena for Sekireis someday.
context: You can do it, Musubi-chan.\I believe in you.\Yes!\I believe in your strong words. Your smile.\What a farce!\You should've known.\Homura!\The plan was always for this city to be readied as a battle arena for Sekireis someday. response:	I shan't fight against a convalescent.
context: I believe in you.\Yes!\I believe in your strong words. Your smile.\What a farce!\You should've known.\Homura!\The plan was always for this city to be readied as a battle arena for Sekireis someday.\I shan't fight against a convalescent. response:	You're the one who's always one-sidedly starting the fights.
context: Yes!\I believe in your strong words. Your smile.\What a farce!\You should've known.\Homura!\The plan was always for this city to be readied as a battle arena for Sekireis someday.\I shan't fight against a convalescent.\You're the one who's always one-sidedly starting the fights. response:	Then leave now.
context: I believe in your strong words. Your smile.\What a farce!\You should've known.\Homura!\The plan was always for this city to be readied as a battle arena for Sekireis someday.\I shan't fight against a convalescent.\You're the one who's always one-sidedly starting the fights.\Then leave now. response:	The Sekirei Plan has progressed to Phase 2.
context: What a farce!\You should've known.\Homura!\The plan was always for this city to be readied as a battle arena for Sekireis someday.\I shan't fight against a convalescent.\You're the one who's always one-sidedly starting the fights.\Then leave now.\The Sekirei Plan has progressed to Phase 2. response:	This means a certain number of Sekireis completed their emergence.
context: You should've known.\Homura!\The plan was always for this city to be readied as a battle arena for Sekireis someday.\I shan't fight against a convalescent.\You're the one who's always one-sidedly starting the fights.\Then leave now.\The Sekirei Plan has progressed to Phase 2.\This means a certain number of Sekireis completed their emergence. response:	Is it... because I became Minato's Sekirei?
context: Homura!\The plan was always for this city to be readied as a battle arena for Sekireis someday.\I shan't fight against a convalescent.\You're the one who's always one-sidedly starting the fights.\Then leave now.\The Sekirei Plan has progressed to Phase 2.\This means a certain number of Sekireis completed their emergence.\Is it... because I became Minato's Sekirei? response:	Anything wrong?
context: The plan was always for this city to be readied as a battle arena for Sekireis someday.\I shan't fight against a convalescent.\You're the one who's always one-sidedly starting the fights.\Then leave now.\The Sekirei Plan has progressed to Phase 2.\This means a certain number of Sekireis completed their emergence.\Is it... because I became Minato's Sekirei?\Anything wrong? response:	N-None of thy business!
context: I shan't fight against a convalescent.\You're the one who's always one-sidedly starting the fights.\Then leave now.\The Sekirei Plan has progressed to Phase 2.\This means a certain number of Sekireis completed their emergence.\Is it... because I became Minato's Sekirei?\Anything wrong?\N-None of thy business! response:	If thou hast no intention of doing battle, do not show thyself without good reason!
context: You're the one who's always one-sidedly starting the fights.\Then leave now.\The Sekirei Plan has progressed to Phase 2.\This means a certain number of Sekireis completed their emergence.\Is it... because I became Minato's Sekirei?\Anything wrong?\N-None of thy business!\If thou hast no intention of doing battle, do not show thyself without good reason! response:	We're together all the time, actually...
context: Then leave now.\The Sekirei Plan has progressed to Phase 2.\This means a certain number of Sekireis completed their emergence.\Is it... because I became Minato's Sekirei?\Anything wrong?\N-None of thy business!\If thou hast no intention of doing battle, do not show thyself without good reason!\We're together all the time, actually... response:	The seizing of the capital in order to bring Sekireis to fight full scale...
context: The Sekirei Plan has progressed to Phase 2.\This means a certain number of Sekireis completed their emergence.\Is it... because I became Minato's Sekirei?\Anything wrong?\N-None of thy business!\If thou hast no intention of doing battle, do not show thyself without good reason!\We're together all the time, actually...\The seizing of the capital in order to bring Sekireis to fight full scale... response:	From now on, any Sekireis who show their backs will be squashed instantly.
context: This means a certain number of Sekireis completed their emergence.\Is it... because I became Minato's Sekirei?\Anything wrong?\N-None of thy business!\If thou hast no intention of doing battle, do not show thyself without good reason!\We're together all the time, actually...\The seizing of the capital in order to bring Sekireis to fight full scale...\From now on, any Sekireis who show their backs will be squashed instantly. response:	Yukari-san, are you sure this outfit isn't strange?
context: Is it... because I became Minato's Sekirei?\Anything wrong?\N-None of thy business!\If thou hast no intention of doing battle, do not show thyself without good reason!\We're together all the time, actually...\The seizing of the capital in order to bring Sekireis to fight full scale...\From now on, any Sekireis who show their backs will be squashed instantly.\Yukari-san, are you sure this outfit isn't strange? response:	You look good! You look good!
context: Anything wrong?\N-None of thy business!\If thou hast no intention of doing battle, do not show thyself without good reason!\We're together all the time, actually...\The seizing of the capital in order to bring Sekireis to fight full scale...\From now on, any Sekireis who show their backs will be squashed instantly.\Yukari-san, are you sure this outfit isn't strange?\You look good! You look good! response:	You definitely look like a girl!
context: N-None of thy business!\If thou hast no intention of doing battle, do not show thyself without good reason!\We're together all the time, actually...\The seizing of the capital in order to bring Sekireis to fight full scale...\From now on, any Sekireis who show their backs will be squashed instantly.\Yukari-san, are you sure this outfit isn't strange?\You look good! You look good!\You definitely look like a girl! response:	I-Is that so?
context: If thou hast no intention of doing battle, do not show thyself without good reason!\We're together all the time, actually...\The seizing of the capital in order to bring Sekireis to fight full scale...\From now on, any Sekireis who show their backs will be squashed instantly.\Yukari-san, are you sure this outfit isn't strange?\You look good! You look good!\You definitely look like a girl!\I-Is that so? response:	They'd never notice you looking like that!
context: We're together all the time, actually...\The seizing of the capital in order to bring Sekireis to fight full scale...\From now on, any Sekireis who show their backs will be squashed instantly.\Yukari-san, are you sure this outfit isn't strange?\You look good! You look good!\You definitely look like a girl!\I-Is that so?\They'd never notice you looking like that! response:	Interesting...
context: The seizing of the capital in order to bring Sekireis to fight full scale...\From now on, any Sekireis who show their backs will be squashed instantly.\Yukari-san, are you sure this outfit isn't strange?\You look good! You look good!\You definitely look like a girl!\I-Is that so?\They'd never notice you looking like that!\Interesting... response:	Is something up, Mikogami?
context: From now on, any Sekireis who show their backs will be squashed instantly.\Yukari-san, are you sure this outfit isn't strange?\You look good! You look good!\You definitely look like a girl!\I-Is that so?\They'd never notice you looking like that!\Interesting...\Is something up, Mikogami? response:	That little bird who flew away from me doesn't seem to be emerged yet.
context: Yukari-san, are you sure this outfit isn't strange?\You look good! You look good!\You definitely look like a girl!\I-Is that so?\They'd never notice you looking like that!\Interesting...\Is something up, Mikogami?\That little bird who flew away from me doesn't seem to be emerged yet. response:	A Sekirei, huh?
context: You look good! You look good!\You definitely look like a girl!\I-Is that so?\They'd never notice you looking like that!\Interesting...\Is something up, Mikogami?\That little bird who flew away from me doesn't seem to be emerged yet.\A Sekirei, huh? response:	Once I look at it, I really want it.
context: You definitely look like a girl!\I-Is that so?\They'd never notice you looking like that!\Interesting...\Is something up, Mikogami?\That little bird who flew away from me doesn't seem to be emerged yet.\A Sekirei, huh?\Once I look at it, I really want it. response:	That's your bad habit. Well, do whatever you want.
context: I-Is that so?\They'd never notice you looking like that!\Interesting...\Is something up, Mikogami?\That little bird who flew away from me doesn't seem to be emerged yet.\A Sekirei, huh?\Once I look at it, I really want it.\That's your bad habit. Well, do whatever you want. response:	I left it to the Sekireis, but they failed twice.
context: They'd never notice you looking like that!\Interesting...\Is something up, Mikogami?\That little bird who flew away from me doesn't seem to be emerged yet.\A Sekirei, huh?\Once I look at it, I really want it.\That's your bad habit. Well, do whatever you want.\I left it to the Sekireis, but they failed twice. response:	I'll grab that kid by myself.
context: Interesting...\Is something up, Mikogami?\That little bird who flew away from me doesn't seem to be emerged yet.\A Sekirei, huh?\Once I look at it, I really want it.\That's your bad habit. Well, do whatever you want.\I left it to the Sekireis, but they failed twice.\I'll grab that kid by myself. response:	What is this?!
context: Is something up, Mikogami?\That little bird who flew away from me doesn't seem to be emerged yet.\A Sekirei, huh?\Once I look at it, I really want it.\That's your bad habit. Well, do whatever you want.\I left it to the Sekireis, but they failed twice.\I'll grab that kid by myself.\What is this?! response:	The clothes Uzume-san gave me.
context: That little bird who flew away from me doesn't seem to be emerged yet.\A Sekirei, huh?\Once I look at it, I really want it.\That's your bad habit. Well, do whatever you want.\I left it to the Sekireis, but they failed twice.\I'll grab that kid by myself.\What is this?!\The clothes Uzume-san gave me. response:	I'm not asking thee that! I'm asking why the heck I have to be dressed in such things!
context: A Sekirei, huh?\Once I look at it, I really want it.\That's your bad habit. Well, do whatever you want.\I left it to the Sekireis, but they failed twice.\I'll grab that kid by myself.\What is this?!\The clothes Uzume-san gave me.\I'm not asking thee that! I'm asking why the heck I have to be dressed in such things! response:	Because your dress is so frilly and not suitable for chores!
context: Once I look at it, I really want it.\That's your bad habit. Well, do whatever you want.\I left it to the Sekireis, but they failed twice.\I'll grab that kid by myself.\What is this?!\The clothes Uzume-san gave me.\I'm not asking thee that! I'm asking why the heck I have to be dressed in such things!\Because your dress is so frilly and not suitable for chores! response:	Chores?
context: That's your bad habit. Well, do whatever you want.\I left it to the Sekireis, but they failed twice.\I'll grab that kid by myself.\What is this?!\The clothes Uzume-san gave me.\I'm not asking thee that! I'm asking why the heck I have to be dressed in such things!\Because your dress is so frilly and not suitable for chores!\Chores? response:	Why the hell do I have to do such?!
context: I left it to the Sekireis, but they failed twice.\I'll grab that kid by myself.\What is this?!\The clothes Uzume-san gave me.\I'm not asking thee that! I'm asking why the heck I have to be dressed in such things!\Because your dress is so frilly and not suitable for chores!\Chores?\Why the hell do I have to do such?! response:	What?
context: I'll grab that kid by myself.\What is this?!\The clothes Uzume-san gave me.\I'm not asking thee that! I'm asking why the heck I have to be dressed in such things!\Because your dress is so frilly and not suitable for chores!\Chores?\Why the hell do I have to do such?!\What? response:	Shopping.
context: What is this?!\The clothes Uzume-san gave me.\I'm not asking thee that! I'm asking why the heck I have to be dressed in such things!\Because your dress is so frilly and not suitable for chores!\Chores?\Why the hell do I have to do such?!\What?\Shopping. response:	I'm counting on you.
context: The clothes Uzume-san gave me.\I'm not asking thee that! I'm asking why the heck I have to be dressed in such things!\Because your dress is so frilly and not suitable for chores!\Chores?\Why the hell do I have to do such?!\What?\Shopping.\I'm counting on you. response:	So, why do I have to?!
context: I'm not asking thee that! I'm asking why the heck I have to be dressed in such things!\Because your dress is so frilly and not suitable for chores!\Chores?\Why the hell do I have to do such?!\What?\Shopping.\I'm counting on you.\So, why do I have to?! response:	Those who don't work don't eat.
context: Because your dress is so frilly and not suitable for chores!\Chores?\Why the hell do I have to do such?!\What?\Shopping.\I'm counting on you.\So, why do I have to?!\Those who don't work don't eat. response:	But...
context: Chores?\Why the hell do I have to do such?!\What?\Shopping.\I'm counting on you.\So, why do I have to?!\Those who don't work don't eat.\But... response:	The one who comes back first will sit next to Sahashi-san at the dinner table.
context: Why the hell do I have to do such?!\What?\Shopping.\I'm counting on you.\So, why do I have to?!\Those who don't work don't eat.\But...\The one who comes back first will sit next to Sahashi-san at the dinner table. response:	This side is mine!
context: What?\Shopping.\I'm counting on you.\So, why do I have to?!\Those who don't work don't eat.\But...\The one who comes back first will sit next to Sahashi-san at the dinner table.\This side is mine! response:	What's the matter?
context: Shopping.\I'm counting on you.\So, why do I have to?!\Those who don't work don't eat.\But...\The one who comes back first will sit next to Sahashi-san at the dinner table.\This side is mine!\What's the matter? response:	Well, how should I put it...
context: I'm counting on you.\So, why do I have to?!\Those who don't work don't eat.\But...\The one who comes back first will sit next to Sahashi-san at the dinner table.\This side is mine!\What's the matter?\Well, how should I put it... response:	I wonder if it's okay to be so ordinary like this.
context: So, why do I have to?!\Those who don't work don't eat.\But...\The one who comes back first will sit next to Sahashi-san at the dinner table.\This side is mine!\What's the matter?\Well, how should I put it...\I wonder if it's okay to be so ordinary like this. response:	Because it's ordinary...
context: Those who don't work don't eat.\But...\The one who comes back first will sit next to Sahashi-san at the dinner table.\This side is mine!\What's the matter?\Well, how should I put it...\I wonder if it's okay to be so ordinary like this.\Because it's ordinary... response:	It's good.
context: But...\The one who comes back first will sit next to Sahashi-san at the dinner table.\This side is mine!\What's the matter?\Well, how should I put it...\I wonder if it's okay to be so ordinary like this.\Because it's ordinary...\It's good. response:	Ashi... kabi... sama...
context: The one who comes back first will sit next to Sahashi-san at the dinner table.\This side is mine!\What's the matter?\Well, how should I put it...\I wonder if it's okay to be so ordinary like this.\Because it's ordinary...\It's good.\Ashi... kabi... sama... response:	My veil of the pact, dispel my Ashikabi's nightmares.
context: This side is mine!\What's the matter?\Well, how should I put it...\I wonder if it's okay to be so ordinary like this.\Because it's ordinary...\It's good.\Ashi... kabi... sama...\My veil of the pact, dispel my Ashikabi's nightmares. response:	Wind...
context: What's the matter?\Well, how should I put it...\I wonder if it's okay to be so ordinary like this.\Because it's ordinary...\It's good.\Ashi... kabi... sama...\My veil of the pact, dispel my Ashikabi's nightmares.\Wind... response:	An unpleasantly colored wind is blowing...
context: Well, how should I put it...\I wonder if it's okay to be so ordinary like this.\Because it's ordinary...\It's good.\Ashi... kabi... sama...\My veil of the pact, dispel my Ashikabi's nightmares.\Wind...\An unpleasantly colored wind is blowing... response:	Yo, baby girls! Get ready now!
context: I wonder if it's okay to be so ordinary like this.\Because it's ordinary...\It's good.\Ashi... kabi... sama...\My veil of the pact, dispel my Ashikabi's nightmares.\Wind...\An unpleasantly colored wind is blowing...\Yo, baby girls! Get ready now! response:	This is the textbook of love
context: Because it's ordinary...\It's good.\Ashi... kabi... sama...\My veil of the pact, dispel my Ashikabi's nightmares.\Wind...\An unpleasantly colored wind is blowing...\Yo, baby girls! Get ready now!\This is the textbook of love response:	Don't let it go, don't get upset so
context: It's good.\Ashi... kabi... sama...\My veil of the pact, dispel my Ashikabi's nightmares.\Wind...\An unpleasantly colored wind is blowing...\Yo, baby girls! Get ready now!\This is the textbook of love\Don't let it go, don't get upset so response:	Without false starts, it's show time!
context: Ashi... kabi... sama...\My veil of the pact, dispel my Ashikabi's nightmares.\Wind...\An unpleasantly colored wind is blowing...\Yo, baby girls! Get ready now!\This is the textbook of love\Don't let it go, don't get upset so\Without false starts, it's show time! response:	Get the funky beat!
context: My veil of the pact, dispel my Ashikabi's nightmares.\Wind...\An unpleasantly colored wind is blowing...\Yo, baby girls! Get ready now!\This is the textbook of love\Don't let it go, don't get upset so\Without false starts, it's show time!\Get the funky beat! response:	First ones win?
context: Wind...\An unpleasantly colored wind is blowing...\Yo, baby girls! Get ready now!\This is the textbook of love\Don't let it go, don't get upset so\Without false starts, it's show time!\Get the funky beat!\First ones win? response:	No such thing in this case! No, no!
context: An unpleasantly colored wind is blowing...\Yo, baby girls! Get ready now!\This is the textbook of love\Don't let it go, don't get upset so\Without false starts, it's show time!\Get the funky beat!\First ones win?\No such thing in this case! No, no! response:	That's perfect for me
context: Yo, baby girls! Get ready now!\This is the textbook of love\Don't let it go, don't get upset so\Without false starts, it's show time!\Get the funky beat!\First ones win?\No such thing in this case! No, no!\That's perfect for me response:	A sudden scramble!
context: This is the textbook of love\Don't let it go, don't get upset so\Without false starts, it's show time!\Get the funky beat!\First ones win?\No such thing in this case! No, no!\That's perfect for me\A sudden scramble! response:	But I'm a woman, I can't lose. No, no!
context: Don't let it go, don't get upset so\Without false starts, it's show time!\Get the funky beat!\First ones win?\No such thing in this case! No, no!\That's perfect for me\A sudden scramble!\But I'm a woman, I can't lose. No, no! response:	My feelings grow
context: Without false starts, it's show time!\Get the funky beat!\First ones win?\No such thing in this case! No, no!\That's perfect for me\A sudden scramble!\But I'm a woman, I can't lose. No, no!\My feelings grow response:	No, and then a big bang!
context: Get the funky beat!\First ones win?\No such thing in this case! No, no!\That's perfect for me\A sudden scramble!\But I'm a woman, I can't lose. No, no!\My feelings grow\No, and then a big bang! response:	Don't seduce him
context: First ones win?\No such thing in this case! No, no!\That's perfect for me\A sudden scramble!\But I'm a woman, I can't lose. No, no!\My feelings grow\No, and then a big bang!\Don't seduce him response:	Get away from him
context: No such thing in this case! No, no!\That's perfect for me\A sudden scramble!\But I'm a woman, I can't lose. No, no!\My feelings grow\No, and then a big bang!\Don't seduce him\Get away from him response:	My heart is pounding hard, so hard!
context: That's perfect for me\A sudden scramble!\But I'm a woman, I can't lose. No, no!\My feelings grow\No, and then a big bang!\Don't seduce him\Get away from him\My heart is pounding hard, so hard! response:	Secret, going off by myself
context: A sudden scramble!\But I'm a woman, I can't lose. No, no!\My feelings grow\No, and then a big bang!\Don't seduce him\Get away from him\My heart is pounding hard, so hard!\Secret, going off by myself response:	Big success, just two of us
context: But I'm a woman, I can't lose. No, no!\My feelings grow\No, and then a big bang!\Don't seduce him\Get away from him\My heart is pounding hard, so hard!\Secret, going off by myself\Big success, just two of us response:	Sweet and dazzling night
context: My feelings grow\No, and then a big bang!\Don't seduce him\Get away from him\My heart is pounding hard, so hard!\Secret, going off by myself\Big success, just two of us\Sweet and dazzling night response:	To tell you the truth, I want him to
context: No, and then a big bang!\Don't seduce him\Get away from him\My heart is pounding hard, so hard!\Secret, going off by myself\Big success, just two of us\Sweet and dazzling night\To tell you the truth, I want him to response:	Hold only me, just me
context: Don't seduce him\Get away from him\My heart is pounding hard, so hard!\Secret, going off by myself\Big success, just two of us\Sweet and dazzling night\To tell you the truth, I want him to\Hold only me, just me response:	I want to monopolize him so badly
context: Get away from him\My heart is pounding hard, so hard!\Secret, going off by myself\Big success, just two of us\Sweet and dazzling night\To tell you the truth, I want him to\Hold only me, just me\I want to monopolize him so badly response:	I wonder if I could stick a flag on him?
context: My heart is pounding hard, so hard!\Secret, going off by myself\Big success, just two of us\Sweet and dazzling night\To tell you the truth, I want him to\Hold only me, just me\I want to monopolize him so badly\I wonder if I could stick a flag on him? response:	I knew it, he's so wimpy, what should I do?
