context: Lucy! You can hear me, can't you?! response:	Hold on! I swear I'll get you outta here!
context: Go ahead, do your worst.\I'm going to dispose of you in one stroke.\Cubelious... I'm going to use...\Is this the second generation?\Decay and die, Titania!\Roar of the Poison Dragon!\What?!\This ancient weapon is said to keep evil at bay! response:	I see. I can use it like this, too...
context: I'm going to dispose of you in one stroke.\Cubelious... I'm going to use...\Is this the second generation?\Decay and die, Titania!\Roar of the Poison Dragon!\What?!\This ancient weapon is said to keep evil at bay!\I see. I can use it like this, too... response:	I guess you can't ask about what you don't know, huh?
context: Cubelious... I'm going to use...\Is this the second generation?\Decay and die, Titania!\Roar of the Poison Dragon!\What?!\This ancient weapon is said to keep evil at bay!\I see. I can use it like this, too...\I guess you can't ask about what you don't know, huh? response:	I didn't expect you'd pull that out at the eleventh hour!
context: Is this the second generation?\Decay and die, Titania!\Roar of the Poison Dragon!\What?!\This ancient weapon is said to keep evil at bay!\I see. I can use it like this, too...\I guess you can't ask about what you don't know, huh?\I didn't expect you'd pull that out at the eleventh hour! response:	Try listening to my heart.
context: Decay and die, Titania!\Roar of the Poison Dragon!\What?!\This ancient weapon is said to keep evil at bay!\I see. I can use it like this, too...\I guess you can't ask about what you don't know, huh?\I didn't expect you'd pull that out at the eleventh hour!\Try listening to my heart. response:	Take me with you?!
context: Roar of the Poison Dragon!\What?!\This ancient weapon is said to keep evil at bay!\I see. I can use it like this, too...\I guess you can't ask about what you don't know, huh?\I didn't expect you'd pull that out at the eleventh hour!\Try listening to my heart.\Take me with you?! response:	Sever the chains... You intend to bring us both down?!
context: What?!\This ancient weapon is said to keep evil at bay!\I see. I can use it like this, too...\I guess you can't ask about what you don't know, huh?\I didn't expect you'd pull that out at the eleventh hour!\Try listening to my heart.\Take me with you?!\Sever the chains... You intend to bring us both down?! response:	Starting with one!
context: This ancient weapon is said to keep evil at bay!\I see. I can use it like this, too...\I guess you can't ask about what you don't know, huh?\I didn't expect you'd pull that out at the eleventh hour!\Try listening to my heart.\Take me with you?!\Sever the chains... You intend to bring us both down?!\Starting with one! response:	Two!
context: I see. I can use it like this, too...\I guess you can't ask about what you don't know, huh?\I didn't expect you'd pull that out at the eleventh hour!\Try listening to my heart.\Take me with you?!\Sever the chains... You intend to bring us both down?!\Starting with one!\Two! response:	Damn you!
context: I guess you can't ask about what you don't know, huh?\I didn't expect you'd pull that out at the eleventh hour!\Try listening to my heart.\Take me with you?!\Sever the chains... You intend to bring us both down?!\Starting with one!\Two!\Damn you! response:	Yeesh, that tastes like shit...
context: I didn't expect you'd pull that out at the eleventh hour!\Try listening to my heart.\Take me with you?!\Sever the chains... You intend to bring us both down?!\Starting with one!\Two!\Damn you!\Yeesh, that tastes like shit... response:	She's in high spirits, too!
context: Try listening to my heart.\Take me with you?!\Sever the chains... You intend to bring us both down?!\Starting with one!\Two!\Damn you!\Yeesh, that tastes like shit...\She's in high spirits, too! response:	I can't let her outdo me!
context: Take me with you?!\Sever the chains... You intend to bring us both down?!\Starting with one!\Two!\Damn you!\Yeesh, that tastes like shit...\She's in high spirits, too!\I can't let her outdo me! response:	We're heading to the next chain! Hurry!
context: Sever the chains... You intend to bring us both down?!\Starting with one!\Two!\Damn you!\Yeesh, that tastes like shit...\She's in high spirits, too!\I can't let her outdo me!\We're heading to the next chain! Hurry! response:	I heard the archbishop's voice!
context: Starting with one!\Two!\Damn you!\Yeesh, that tastes like shit...\She's in high spirits, too!\I can't let her outdo me!\We're heading to the next chain! Hurry!\I heard the archbishop's voice! response:	This doesn't have to do anything with a guild or Legion!
context: Two!\Damn you!\Yeesh, that tastes like shit...\She's in high spirits, too!\I can't let her outdo me!\We're heading to the next chain! Hurry!\I heard the archbishop's voice!\This doesn't have to do anything with a guild or Legion! response:	I'm just doing this to correct my mistake!
context: Damn you!\Yeesh, that tastes like shit...\She's in high spirits, too!\I can't let her outdo me!\We're heading to the next chain! Hurry!\I heard the archbishop's voice!\This doesn't have to do anything with a guild or Legion!\I'm just doing this to correct my mistake! response:	That's my fifth one!
context: Yeesh, that tastes like shit...\She's in high spirits, too!\I can't let her outdo me!\We're heading to the next chain! Hurry!\I heard the archbishop's voice!\This doesn't have to do anything with a guild or Legion!\I'm just doing this to correct my mistake!\That's my fifth one! response:	I did seven!
context: She's in high spirits, too!\I can't let her outdo me!\We're heading to the next chain! Hurry!\I heard the archbishop's voice!\This doesn't have to do anything with a guild or Legion!\I'm just doing this to correct my mistake!\That's my fifth one!\I did seven! response:	Calling me... He's calling me!
context: I can't let her outdo me!\We're heading to the next chain! Hurry!\I heard the archbishop's voice!\This doesn't have to do anything with a guild or Legion!\I'm just doing this to correct my mistake!\That's my fifth one!\I did seven!\Calling me... He's calling me! response:	I'm getting closer and closer!
context: We're heading to the next chain! Hurry!\I heard the archbishop's voice!\This doesn't have to do anything with a guild or Legion!\I'm just doing this to correct my mistake!\That's my fifth one!\I did seven!\Calling me... He's calling me!\I'm getting closer and closer! response:	I can hear him!
context: I heard the archbishop's voice!\This doesn't have to do anything with a guild or Legion!\I'm just doing this to correct my mistake!\That's my fifth one!\I did seven!\Calling me... He's calling me!\I'm getting closer and closer!\I can hear him! response:	That voice...
context: This doesn't have to do anything with a guild or Legion!\I'm just doing this to correct my mistake!\That's my fifth one!\I did seven!\Calling me... He's calling me!\I'm getting closer and closer!\I can hear him!\That voice... response:	Cobra...
context: I'm just doing this to correct my mistake!\That's my fifth one!\I did seven!\Calling me... He's calling me!\I'm getting closer and closer!\I can hear him!\That voice...\Cobra... response:	You said you're strong because you lost everything, yes?
context: That's my fifth one!\I did seven!\Calling me... He's calling me!\I'm getting closer and closer!\I can hear him!\That voice...\Cobra...\You said you're strong because you lost everything, yes? response:	But that's not true strength!
context: I did seven!\Calling me... He's calling me!\I'm getting closer and closer!\I can hear him!\That voice...\Cobra...\You said you're strong because you lost everything, yes?\But that's not true strength! response:	What are you talking about?!
context: Calling me... He's calling me!\I'm getting closer and closer!\I can hear him!\That voice...\Cobra...\You said you're strong because you lost everything, yes?\But that's not true strength!\What are you talking about?! response:	People get stronger when they've got something to protect!
context: I'm getting closer and closer!\I can hear him!\That voice...\Cobra...\You said you're strong because you lost everything, yes?\But that's not true strength!\What are you talking about?!\People get stronger when they've got something to protect! response:	If you've got a real friend, they support you!
context: I can hear him!\That voice...\Cobra...\You said you're strong because you lost everything, yes?\But that's not true strength!\What are you talking about?!\People get stronger when they've got something to protect!\If you've got a real friend, they support you! response:	But you only think about yourself! Could you really hear the voice of your friend?!
context: That voice...\Cobra...\You said you're strong because you lost everything, yes?\But that's not true strength!\What are you talking about?!\People get stronger when they've got something to protect!\If you've got a real friend, they support you!\But you only think about yourself! Could you really hear the voice of your friend?! response:	You don't feel shame now when you think of your friend or whatever?!
context: Cobra...\You said you're strong because you lost everything, yes?\But that's not true strength!\What are you talking about?!\People get stronger when they've got something to protect!\If you've got a real friend, they support you!\But you only think about yourself! Could you really hear the voice of your friend?!\You don't feel shame now when you think of your friend or whatever?! response:	Silence!
context: You said you're strong because you lost everything, yes?\But that's not true strength!\What are you talking about?!\People get stronger when they've got something to protect!\If you've got a real friend, they support you!\But you only think about yourself! Could you really hear the voice of your friend?!\You don't feel shame now when you think of your friend or whatever?!\Silence! response:	It seems you went too far!
context: But that's not true strength!\What are you talking about?!\People get stronger when they've got something to protect!\If you've got a real friend, they support you!\But you only think about yourself! Could you really hear the voice of your friend?!\You don't feel shame now when you think of your friend or whatever?!\Silence!\It seems you went too far! response:	But it's as far as you get. I'm gonna crush your head!
context: What are you talking about?!\People get stronger when they've got something to protect!\If you've got a real friend, they support you!\But you only think about yourself! Could you really hear the voice of your friend?!\You don't feel shame now when you think of your friend or whatever?!\Silence!\It seems you went too far!\But it's as far as you get. I'm gonna crush your head! response:	Cubelious!
context: People get stronger when they've got something to protect!\If you've got a real friend, they support you!\But you only think about yourself! Could you really hear the voice of your friend?!\You don't feel shame now when you think of your friend or whatever?!\Silence!\It seems you went too far!\But it's as far as you get. I'm gonna crush your head!\Cubelious! response:	Don't tell me... But... I sense her...
context: If you've got a real friend, they support you!\But you only think about yourself! Could you really hear the voice of your friend?!\You don't feel shame now when you think of your friend or whatever?!\Silence!\It seems you went too far!\But it's as far as you get. I'm gonna crush your head!\Cubelious!\Don't tell me... But... I sense her... response:	Her form has changed... but I can hear her thoughts!
context: But you only think about yourself! Could you really hear the voice of your friend?!\You don't feel shame now when you think of your friend or whatever?!\Silence!\It seems you went too far!\But it's as far as you get. I'm gonna crush your head!\Cubelious!\Don't tell me... But... I sense her...\Her form has changed... but I can hear her thoughts! response:	This can't have been a mistake! There's no way!
context: You don't feel shame now when you think of your friend or whatever?!\Silence!\It seems you went too far!\But it's as far as you get. I'm gonna crush your head!\Cubelious!\Don't tell me... But... I sense her...\Her form has changed... but I can hear her thoughts!\This can't have been a mistake! There's no way! response:	I didn't expect you to lose your composure in the heat of battle...
context: Silence!\It seems you went too far!\But it's as far as you get. I'm gonna crush your head!\Cubelious!\Don't tell me... But... I sense her...\Her form has changed... but I can hear her thoughts!\This can't have been a mistake! There's no way!\I didn't expect you to lose your composure in the heat of battle... response:	Crap!
context: It seems you went too far!\But it's as far as you get. I'm gonna crush your head!\Cubelious!\Don't tell me... But... I sense her...\Her form has changed... but I can hear her thoughts!\This can't have been a mistake! There's no way!\I didn't expect you to lose your composure in the heat of battle...\Crap! response:	Feelings for friends don't drag you down.
context: But it's as far as you get. I'm gonna crush your head!\Cubelious!\Don't tell me... But... I sense her...\Her form has changed... but I can hear her thoughts!\This can't have been a mistake! There's no way!\I didn't expect you to lose your composure in the heat of battle...\Crap!\Feelings for friends don't drag you down. response:	You actually realize it, too, don't you...
context: Cubelious!\Don't tell me... But... I sense her...\Her form has changed... but I can hear her thoughts!\This can't have been a mistake! There's no way!\I didn't expect you to lose your composure in the heat of battle...\Crap!\Feelings for friends don't drag you down.\You actually realize it, too, don't you... response:	That's right. You can hear the voice of your friend.
context: Don't tell me... But... I sense her...\Her form has changed... but I can hear her thoughts!\This can't have been a mistake! There's no way!\I didn't expect you to lose your composure in the heat of battle...\Crap!\Feelings for friends don't drag you down.\You actually realize it, too, don't you...\That's right. You can hear the voice of your friend. response:	Could you throw everything away that easily?
context: Her form has changed... but I can hear her thoughts!\This can't have been a mistake! There's no way!\I didn't expect you to lose your composure in the heat of battle...\Crap!\Feelings for friends don't drag you down.\You actually realize it, too, don't you...\That's right. You can hear the voice of your friend.\Could you throw everything away that easily? response:	I heard it...
context: This can't have been a mistake! There's no way!\I didn't expect you to lose your composure in the heat of battle...\Crap!\Feelings for friends don't drag you down.\You actually realize it, too, don't you...\That's right. You can hear the voice of your friend.\Could you throw everything away that easily?\I heard it... response:	I just heard his voice...
context: I didn't expect you to lose your composure in the heat of battle...\Crap!\Feelings for friends don't drag you down.\You actually realize it, too, don't you...\That's right. You can hear the voice of your friend.\Could you throw everything away that easily?\I heard it...\I just heard his voice... response:	A shooting star...
context: Crap!\Feelings for friends don't drag you down.\You actually realize it, too, don't you...\That's right. You can hear the voice of your friend.\Could you throw everything away that easily?\I heard it...\I just heard his voice...\A shooting star... response:	That's it! It must be!
context: Feelings for friends don't drag you down.\You actually realize it, too, don't you...\That's right. You can hear the voice of your friend.\Could you throw everything away that easily?\I heard it...\I just heard his voice...\A shooting star...\That's it! It must be! response:	He's come to get me!
context: You actually realize it, too, don't you...\That's right. You can hear the voice of your friend.\Could you throw everything away that easily?\I heard it...\I just heard his voice...\A shooting star...\That's it! It must be!\He's come to get me! response:	Warning. Another engraved seal has been erased.
context: That's right. You can hear the voice of your friend.\Could you throw everything away that easily?\I heard it...\I just heard his voice...\A shooting star...\That's it! It must be!\He's come to get me!\Warning. Another engraved seal has been erased. response:	There are two left.
context: Could you throw everything away that easily?\I heard it...\I just heard his voice...\A shooting star...\That's it! It must be!\He's come to get me!\Warning. Another engraved seal has been erased.\There are two left. response:	Cobra-sama is down?! I don't believe it!
context: I heard it...\I just heard his voice...\A shooting star...\That's it! It must be!\He's come to get me!\Warning. Another engraved seal has been erased.\There are two left.\Cobra-sama is down?! I don't believe it! response:	Yay!
context: I just heard his voice...\A shooting star...\That's it! It must be!\He's come to get me!\Warning. Another engraved seal has been erased.\There are two left.\Cobra-sama is down?! I don't believe it!\Yay! response:	Alright! Now I just gotta mop the floor with you guys!
context: A shooting star...\That's it! It must be!\He's come to get me!\Warning. Another engraved seal has been erased.\There are two left.\Cobra-sama is down?! I don't believe it!\Yay!\Alright! Now I just gotta mop the floor with you guys! response:	You really are a tenacious man.
context: That's it! It must be!\He's come to get me!\Warning. Another engraved seal has been erased.\There are two left.\Cobra-sama is down?! I don't believe it!\Yay!\Alright! Now I just gotta mop the floor with you guys!\You really are a tenacious man. response:	But you're only buying time.
context: He's come to get me!\Warning. Another engraved seal has been erased.\There are two left.\Cobra-sama is down?! I don't believe it!\Yay!\Alright! Now I just gotta mop the floor with you guys!\You really are a tenacious man.\But you're only buying time. response:	You're not having any effect on the big picture.
context: Warning. Another engraved seal has been erased.\There are two left.\Cobra-sama is down?! I don't believe it!\Yay!\Alright! Now I just gotta mop the floor with you guys!\You really are a tenacious man.\But you're only buying time.\You're not having any effect on the big picture. response:	What my father left undone... The destruction of everything that has form...
context: There are two left.\Cobra-sama is down?! I don't believe it!\Yay!\Alright! Now I just gotta mop the floor with you guys!\You really are a tenacious man.\But you're only buying time.\You're not having any effect on the big picture.\What my father left undone... The destruction of everything that has form... response:	And bringing about nothingness and chaos...
context: Cobra-sama is down?! I don't believe it!\Yay!\Alright! Now I just gotta mop the floor with you guys!\You really are a tenacious man.\But you're only buying time.\You're not having any effect on the big picture.\What my father left undone... The destruction of everything that has form...\And bringing about nothingness and chaos... response:	It didn't work seven years ago.
context: Yay!\Alright! Now I just gotta mop the floor with you guys!\You really are a tenacious man.\But you're only buying time.\You're not having any effect on the big picture.\What my father left undone... The destruction of everything that has form...\And bringing about nothingness and chaos...\It didn't work seven years ago. response:	But this time, I won't let you interfere, Natsu Dragneel.
context: Alright! Now I just gotta mop the floor with you guys!\You really are a tenacious man.\But you're only buying time.\You're not having any effect on the big picture.\What my father left undone... The destruction of everything that has form...\And bringing about nothingness and chaos...\It didn't work seven years ago.\But this time, I won't let you interfere, Natsu Dragneel. response:	Natsu!
context: You really are a tenacious man.\But you're only buying time.\You're not having any effect on the big picture.\What my father left undone... The destruction of everything that has form...\And bringing about nothingness and chaos...\It didn't work seven years ago.\But this time, I won't let you interfere, Natsu Dragneel.\Natsu! response:	I'll tell you one thing.
context: But you're only buying time.\You're not having any effect on the big picture.\What my father left undone... The destruction of everything that has form...\And bringing about nothingness and chaos...\It didn't work seven years ago.\But this time, I won't let you interfere, Natsu Dragneel.\Natsu!\I'll tell you one thing. response:	The Infinity Clock girl that you're trying to save...
context: You're not having any effect on the big picture.\What my father left undone... The destruction of everything that has form...\And bringing about nothingness and chaos...\It didn't work seven years ago.\But this time, I won't let you interfere, Natsu Dragneel.\Natsu!\I'll tell you one thing.\The Infinity Clock girl that you're trying to save... response:	It's already too late to save her.
context: What my father left undone... The destruction of everything that has form...\And bringing about nothingness and chaos...\It didn't work seven years ago.\But this time, I won't let you interfere, Natsu Dragneel.\Natsu!\I'll tell you one thing.\The Infinity Clock girl that you're trying to save...\It's already too late to save her. response:	100 years of sleep is as simple as falling off a log.
context: And bringing about nothingness and chaos...\It didn't work seven years ago.\But this time, I won't let you interfere, Natsu Dragneel.\Natsu!\I'll tell you one thing.\The Infinity Clock girl that you're trying to save...\It's already too late to save her.\100 years of sleep is as simple as falling off a log. response:	Lucy Heartfilia is becoming part of the Infinity Clock,
context: It didn't work seven years ago.\But this time, I won't let you interfere, Natsu Dragneel.\Natsu!\I'll tell you one thing.\The Infinity Clock girl that you're trying to save...\It's already too late to save her.\100 years of sleep is as simple as falling off a log.\Lucy Heartfilia is becoming part of the Infinity Clock, response:	and when it's done, she'll lose her body and mind, too.
context: But this time, I won't let you interfere, Natsu Dragneel.\Natsu!\I'll tell you one thing.\The Infinity Clock girl that you're trying to save...\It's already too late to save her.\100 years of sleep is as simple as falling off a log.\Lucy Heartfilia is becoming part of the Infinity Clock,\and when it's done, she'll lose her body and mind, too. response:	And once she's become a piece of the clock, she'll be erased from everyone's memories as well.
context: Natsu!\I'll tell you one thing.\The Infinity Clock girl that you're trying to save...\It's already too late to save her.\100 years of sleep is as simple as falling off a log.\Lucy Heartfilia is becoming part of the Infinity Clock,\and when it's done, she'll lose her body and mind, too.\And once she's become a piece of the clock, she'll be erased from everyone's memories as well. response:	Her very existence will be wiped off the face of Earthland.
context: I'll tell you one thing.\The Infinity Clock girl that you're trying to save...\It's already too late to save her.\100 years of sleep is as simple as falling off a log.\Lucy Heartfilia is becoming part of the Infinity Clock,\and when it's done, she'll lose her body and mind, too.\And once she's become a piece of the clock, she'll be erased from everyone's memories as well.\Her very existence will be wiped off the face of Earthland. response:	Erased... What?
context: The Infinity Clock girl that you're trying to save...\It's already too late to save her.\100 years of sleep is as simple as falling off a log.\Lucy Heartfilia is becoming part of the Infinity Clock,\and when it's done, she'll lose her body and mind, too.\And once she's become a piece of the clock, she'll be erased from everyone's memories as well.\Her very existence will be wiped off the face of Earthland.\Erased... What? response:	I mean, Nee-san is going to be together with me...
context: It's already too late to save her.\100 years of sleep is as simple as falling off a log.\Lucy Heartfilia is becoming part of the Infinity Clock,\and when it's done, she'll lose her body and mind, too.\And once she's become a piece of the clock, she'll be erased from everyone's memories as well.\Her very existence will be wiped off the face of Earthland.\Erased... What?\I mean, Nee-san is going to be together with me... response:	She won't leave you.
context: 100 years of sleep is as simple as falling off a log.\Lucy Heartfilia is becoming part of the Infinity Clock,\and when it's done, she'll lose her body and mind, too.\And once she's become a piece of the clock, she'll be erased from everyone's memories as well.\Her very existence will be wiped off the face of Earthland.\Erased... What?\I mean, Nee-san is going to be together with me...\She won't leave you. response:	She's just going to become a tool.
context: Lucy Heartfilia is becoming part of the Infinity Clock,\and when it's done, she'll lose her body and mind, too.\And once she's become a piece of the clock, she'll be erased from everyone's memories as well.\Her very existence will be wiped off the face of Earthland.\Erased... What?\I mean, Nee-san is going to be together with me...\She won't leave you.\She's just going to become a tool. response:	You can be with her as much as you like.
context: and when it's done, she'll lose her body and mind, too.\And once she's become a piece of the clock, she'll be erased from everyone's memories as well.\Her very existence will be wiped off the face of Earthland.\Erased... What?\I mean, Nee-san is going to be together with me...\She won't leave you.\She's just going to become a tool.\You can be with her as much as you like. response:	It'll work out well. For someone like you, she'll be the perfect partner.
context: And once she's become a piece of the clock, she'll be erased from everyone's memories as well.\Her very existence will be wiped off the face of Earthland.\Erased... What?\I mean, Nee-san is going to be together with me...\She won't leave you.\She's just going to become a tool.\You can be with her as much as you like.\It'll work out well. For someone like you, she'll be the perfect partner. response:	No...
context: Her very existence will be wiped off the face of Earthland.\Erased... What?\I mean, Nee-san is going to be together with me...\She won't leave you.\She's just going to become a tool.\You can be with her as much as you like.\It'll work out well. For someone like you, she'll be the perfect partner.\No... response:	No!
context: Erased... What?\I mean, Nee-san is going to be together with me...\She won't leave you.\She's just going to become a tool.\You can be with her as much as you like.\It'll work out well. For someone like you, she'll be the perfect partner.\No...\No! response:	What I wished for...
context: I mean, Nee-san is going to be together with me...\She won't leave you.\She's just going to become a tool.\You can be with her as much as you like.\It'll work out well. For someone like you, she'll be the perfect partner.\No...\No!\What I wished for... response:	What I prayed for...
context: She won't leave you.\She's just going to become a tool.\You can be with her as much as you like.\It'll work out well. For someone like you, she'll be the perfect partner.\No...\No!\What I wished for...\What I prayed for... response:	That's not it!
context: She's just going to become a tool.\You can be with her as much as you like.\It'll work out well. For someone like you, she'll be the perfect partner.\No...\No!\What I wished for...\What I prayed for...\That's not it! response:	Nee-san!
context: You can be with her as much as you like.\It'll work out well. For someone like you, she'll be the perfect partner.\No...\No!\What I wished for...\What I prayed for...\That's not it!\Nee-san! response:	What do you think you're going to do?!
context: It'll work out well. For someone like you, she'll be the perfect partner.\No...\No!\What I wished for...\What I prayed for...\That's not it!\Nee-san!\What do you think you're going to do?! response:	Get away!
context: No...\No!\What I wished for...\What I prayed for...\That's not it!\Nee-san!\What do you think you're going to do?!\Get away! response:	Move!
context: No!\What I wished for...\What I prayed for...\That's not it!\Nee-san!\What do you think you're going to do?!\Get away!\Move! response:	Nee-san... I...
context: What I wished for...\What I prayed for...\That's not it!\Nee-san!\What do you think you're going to do?!\Get away!\Move!\Nee-san... I... response:	I'm sorry! I'm sorry!
context: What I prayed for...\That's not it!\Nee-san!\What do you think you're going to do?!\Get away!\Move!\Nee-san... I...\I'm sorry! I'm sorry! response:	Michelle...
context: That's not it!\Nee-san!\What do you think you're going to do?!\Get away!\Move!\Nee-san... I...\I'm sorry! I'm sorry!\Michelle... response:	Cry a lot...
context: Nee-san!\What do you think you're going to do?!\Get away!\Move!\Nee-san... I...\I'm sorry! I'm sorry!\Michelle...\Cry a lot... response:	Eat a lot...
context: What do you think you're going to do?!\Get away!\Move!\Nee-san... I...\I'm sorry! I'm sorry!\Michelle...\Cry a lot...\Eat a lot... response:	Kind of clumsy...
context: Get away!\Move!\Nee-san... I...\I'm sorry! I'm sorry!\Michelle...\Cry a lot...\Eat a lot...\Kind of clumsy... response:	I don't have any dreams.
context: Move!\Nee-san... I...\I'm sorry! I'm sorry!\Michelle...\Cry a lot...\Eat a lot...\Kind of clumsy...\I don't have any dreams. response:	If it doesn't prick your conscience, anyone could easily make those choices, right?
context: Nee-san... I...\I'm sorry! I'm sorry!\Michelle...\Cry a lot...\Eat a lot...\Kind of clumsy...\I don't have any dreams.\If it doesn't prick your conscience, anyone could easily make those choices, right? response:	Michelle was also suffering...
context: I'm sorry! I'm sorry!\Michelle...\Cry a lot...\Eat a lot...\Kind of clumsy...\I don't have any dreams.\If it doesn't prick your conscience, anyone could easily make those choices, right?\Michelle was also suffering... response:	Oh, no, no. This is no good.
context: Michelle...\Cry a lot...\Eat a lot...\Kind of clumsy...\I don't have any dreams.\If it doesn't prick your conscience, anyone could easily make those choices, right?\Michelle was also suffering...\Oh, no, no. This is no good. response:	It's nonsense.
context: Cry a lot...\Eat a lot...\Kind of clumsy...\I don't have any dreams.\If it doesn't prick your conscience, anyone could easily make those choices, right?\Michelle was also suffering...\Oh, no, no. This is no good.\It's nonsense. response:	Imitatia, your role is finished.
context: Eat a lot...\Kind of clumsy...\I don't have any dreams.\If it doesn't prick your conscience, anyone could easily make those choices, right?\Michelle was also suffering...\Oh, no, no. This is no good.\It's nonsense.\Imitatia, your role is finished. response:	Return to garbage!
context: Kind of clumsy...\I don't have any dreams.\If it doesn't prick your conscience, anyone could easily make those choices, right?\Michelle was also suffering...\Oh, no, no. This is no good.\It's nonsense.\Imitatia, your role is finished.\Return to garbage! response:	Nee-san!
context: I don't have any dreams.\If it doesn't prick your conscience, anyone could easily make those choices, right?\Michelle was also suffering...\Oh, no, no. This is no good.\It's nonsense.\Imitatia, your role is finished.\Return to garbage!\Nee-san! response:	Nee-san...
context: If it doesn't prick your conscience, anyone could easily make those choices, right?\Michelle was also suffering...\Oh, no, no. This is no good.\It's nonsense.\Imitatia, your role is finished.\Return to garbage!\Nee-san!\Nee-san... response:	I'm sorry...
context: Michelle was also suffering...\Oh, no, no. This is no good.\It's nonsense.\Imitatia, your role is finished.\Return to garbage!\Nee-san!\Nee-san...\I'm sorry... response:	I love you!
context: Oh, no, no. This is no good.\It's nonsense.\Imitatia, your role is finished.\Return to garbage!\Nee-san!\Nee-san...\I'm sorry...\I love you! response:	Yes... I remember.
context: It's nonsense.\Imitatia, your role is finished.\Return to garbage!\Nee-san!\Nee-san...\I'm sorry...\I love you!\Yes... I remember. response:	No, not that. That's not it. I...
context: Imitatia, your role is finished.\Return to garbage!\Nee-san!\Nee-san...\I'm sorry...\I love you!\Yes... I remember.\No, not that. That's not it. I... response:	Back to... the way it was?
context: Return to garbage!\Nee-san!\Nee-san...\I'm sorry...\I love you!\Yes... I remember.\No, not that. That's not it. I...\Back to... the way it was? response:	Yeah!
context: Nee-san!\Nee-san...\I'm sorry...\I love you!\Yes... I remember.\No, not that. That's not it. I...\Back to... the way it was?\Yeah! response:	Somewhere along the line, I realized...
context: Nee-san...\I'm sorry...\I love you!\Yes... I remember.\No, not that. That's not it. I...\Back to... the way it was?\Yeah!\Somewhere along the line, I realized... response:	This girl was my precious little sister...
context: I'm sorry...\I love you!\Yes... I remember.\No, not that. That's not it. I...\Back to... the way it was?\Yeah!\Somewhere along the line, I realized...\This girl was my precious little sister... response:	Pathetic, filthy doll...
context: I love you!\Yes... I remember.\No, not that. That's not it. I...\Back to... the way it was?\Yeah!\Somewhere along the line, I realized...\This girl was my precious little sister...\Pathetic, filthy doll... response:	Please, stop that... You'll get your shoe dirty! Good one, huh?!
context: Yes... I remember.\No, not that. That's not it. I...\Back to... the way it was?\Yeah!\Somewhere along the line, I realized...\This girl was my precious little sister...\Pathetic, filthy doll...\Please, stop that... You'll get your shoe dirty! Good one, huh?! response:	You...
context: No, not that. That's not it. I...\Back to... the way it was?\Yeah!\Somewhere along the line, I realized...\This girl was my precious little sister...\Pathetic, filthy doll...\Please, stop that... You'll get your shoe dirty! Good one, huh?!\You... response:	Natsu-nii!
context: Back to... the way it was?\Yeah!\Somewhere along the line, I realized...\This girl was my precious little sister...\Pathetic, filthy doll...\Please, stop that... You'll get your shoe dirty! Good one, huh?!\You...\Natsu-nii! response:	Come and get me!
context: Yeah!\Somewhere along the line, I realized...\This girl was my precious little sister...\Pathetic, filthy doll...\Please, stop that... You'll get your shoe dirty! Good one, huh?!\You...\Natsu-nii!\Come and get me! response:	Is it that funny to you when someone's sad?
context: Somewhere along the line, I realized...\This girl was my precious little sister...\Pathetic, filthy doll...\Please, stop that... You'll get your shoe dirty! Good one, huh?!\You...\Natsu-nii!\Come and get me!\Is it that funny to you when someone's sad? response:	In that case, I'll beat you'til you won't even be able to crack a smile!
context: This girl was my precious little sister...\Pathetic, filthy doll...\Please, stop that... You'll get your shoe dirty! Good one, huh?!\You...\Natsu-nii!\Come and get me!\Is it that funny to you when someone's sad?\In that case, I'll beat you'til you won't even be able to crack a smile! response:	Uh-oh! At this rate, Lucy's gonna...
context: Pathetic, filthy doll...\Please, stop that... You'll get your shoe dirty! Good one, huh?!\You...\Natsu-nii!\Come and get me!\Is it that funny to you when someone's sad?\In that case, I'll beat you'til you won't even be able to crack a smile!\Uh-oh! At this rate, Lucy's gonna... response:	There's just one left! Brain II!
context: Please, stop that... You'll get your shoe dirty! Good one, huh?!\You...\Natsu-nii!\Come and get me!\Is it that funny to you when someone's sad?\In that case, I'll beat you'til you won't even be able to crack a smile!\Uh-oh! At this rate, Lucy's gonna...\There's just one left! Brain II! response:	Yeah. But it feels like his hatred is stronger than anyone else's in Oracion Seis.
context: You...\Natsu-nii!\Come and get me!\Is it that funny to you when someone's sad?\In that case, I'll beat you'til you won't even be able to crack a smile!\Uh-oh! At this rate, Lucy's gonna...\There's just one left! Brain II!\Yeah. But it feels like his hatred is stronger than anyone else's in Oracion Seis. response:	Even so, we're not gonna lose!
context: Natsu-nii!\Come and get me!\Is it that funny to you when someone's sad?\In that case, I'll beat you'til you won't even be able to crack a smile!\Uh-oh! At this rate, Lucy's gonna...\There's just one left! Brain II!\Yeah. But it feels like his hatred is stronger than anyone else's in Oracion Seis.\Even so, we're not gonna lose! response:	We're carrying the combined will of everyone in Fairy Tail on our shoulders as we fight him!
