context: Gray! response:	If you've really betrayed Fairy Tail, then you must have some reason!
context: Elfman!\Take Wakaba and Macao to the back!\See to them!\Are you okay? What happened?\Nee-chan... Take it from here... Save Natsu!\He's...\I'm sorry... I...\I killed Lisanna... response:	I should have brought you with us!
context: Take Wakaba and Macao to the back!\See to them!\Are you okay? What happened?\Nee-chan... Take it from here... Save Natsu!\He's...\I'm sorry... I...\I killed Lisanna...\I should have brought you with us! response:	Then this wouldn't have...
context: See to them!\Are you okay? What happened?\Nee-chan... Take it from here... Save Natsu!\He's...\I'm sorry... I...\I killed Lisanna...\I should have brought you with us!\Then this wouldn't have... response:	Quit it already!
context: Are you okay? What happened?\Nee-chan... Take it from here... Save Natsu!\He's...\I'm sorry... I...\I killed Lisanna...\I should have brought you with us!\Then this wouldn't have...\Quit it already! response:	Stop bawling all over yourself!
context: Nee-chan... Take it from here... Save Natsu!\He's...\I'm sorry... I...\I killed Lisanna...\I should have brought you with us!\Then this wouldn't have...\Quit it already!\Stop bawling all over yourself! response:	If you keep moping around like that forever,
context: He's...\I'm sorry... I...\I killed Lisanna...\I should have brought you with us!\Then this wouldn't have...\Quit it already!\Stop bawling all over yourself!\If you keep moping around like that forever, response:	that ain't gonna make Lisanna smile, will it?
context: I'm sorry... I...\I killed Lisanna...\I should have brought you with us!\Then this wouldn't have...\Quit it already!\Stop bawling all over yourself!\If you keep moping around like that forever,\that ain't gonna make Lisanna smile, will it? response:	Lisanna...
context: I killed Lisanna...\I should have brought you with us!\Then this wouldn't have...\Quit it already!\Stop bawling all over yourself!\If you keep moping around like that forever,\that ain't gonna make Lisanna smile, will it?\Lisanna... response:	She was always smiling, no matter what.
context: I should have brought you with us!\Then this wouldn't have...\Quit it already!\Stop bawling all over yourself!\If you keep moping around like that forever,\that ain't gonna make Lisanna smile, will it?\Lisanna...\She was always smiling, no matter what. response:	She was smiling until the very end.
context: Then this wouldn't have...\Quit it already!\Stop bawling all over yourself!\If you keep moping around like that forever,\that ain't gonna make Lisanna smile, will it?\Lisanna...\She was always smiling, no matter what.\She was smiling until the very end. response:	I'm sure that's the way she was! That's Lisanna!
context: Quit it already!\Stop bawling all over yourself!\If you keep moping around like that forever,\that ain't gonna make Lisanna smile, will it?\Lisanna...\She was always smiling, no matter what.\She was smiling until the very end.\I'm sure that's the way she was! That's Lisanna! response:	It's the sad times when she smiled even more!
context: Stop bawling all over yourself!\If you keep moping around like that forever,\that ain't gonna make Lisanna smile, will it?\Lisanna...\She was always smiling, no matter what.\She was smiling until the very end.\I'm sure that's the way she was! That's Lisanna!\It's the sad times when she smiled even more! response:	Isn't that what they call being a man?!
context: If you keep moping around like that forever,\that ain't gonna make Lisanna smile, will it?\Lisanna...\She was always smiling, no matter what.\She was smiling until the very end.\I'm sure that's the way she was! That's Lisanna!\It's the sad times when she smiled even more!\Isn't that what they call being a man?! response:	A Man...
context: that ain't gonna make Lisanna smile, will it?\Lisanna...\She was always smiling, no matter what.\She was smiling until the very end.\I'm sure that's the way she was! That's Lisanna!\It's the sad times when she smiled even more!\Isn't that what they call being a man?!\A Man... response:	Okay. Leave Natsu to me.
context: Lisanna...\She was always smiling, no matter what.\She was smiling until the very end.\I'm sure that's the way she was! That's Lisanna!\It's the sad times when she smiled even more!\Isn't that what they call being a man?!\A Man...\Okay. Leave Natsu to me. response:	Elfman!
context: She was always smiling, no matter what.\She was smiling until the very end.\I'm sure that's the way she was! That's Lisanna!\It's the sad times when she smiled even more!\Isn't that what they call being a man?!\A Man...\Okay. Leave Natsu to me.\Elfman! response:	I'll heal him with my Sky Magic!
context: She was smiling until the very end.\I'm sure that's the way she was! That's Lisanna!\It's the sad times when she smiled even more!\Isn't that what they call being a man?!\A Man...\Okay. Leave Natsu to me.\Elfman!\I'll heal him with my Sky Magic! response:	Please, Wendy.
context: I'm sure that's the way she was! That's Lisanna!\It's the sad times when she smiled even more!\Isn't that what they call being a man?!\A Man...\Okay. Leave Natsu to me.\Elfman!\I'll heal him with my Sky Magic!\Please, Wendy. response:	Hey! You awake, Gray?
context: It's the sad times when she smiled even more!\Isn't that what they call being a man?!\A Man...\Okay. Leave Natsu to me.\Elfman!\I'll heal him with my Sky Magic!\Please, Wendy.\Hey! You awake, Gray? response:	Tell us what the hell's going on here!
context: Isn't that what they call being a man?!\A Man...\Okay. Leave Natsu to me.\Elfman!\I'll heal him with my Sky Magic!\Please, Wendy.\Hey! You awake, Gray?\Tell us what the hell's going on here! response:	If you don't, I'll...
context: A Man...\Okay. Leave Natsu to me.\Elfman!\I'll heal him with my Sky Magic!\Please, Wendy.\Hey! You awake, Gray?\Tell us what the hell's going on here!\If you don't, I'll... response:	Please, stop!
context: Okay. Leave Natsu to me.\Elfman!\I'll heal him with my Sky Magic!\Please, Wendy.\Hey! You awake, Gray?\Tell us what the hell's going on here!\If you don't, I'll...\Please, stop! response:	There is no way that Gray-sama has betrayed Fairy Tail!
context: Elfman!\I'll heal him with my Sky Magic!\Please, Wendy.\Hey! You awake, Gray?\Tell us what the hell's going on here!\If you don't, I'll...\Please, stop!\There is no way that Gray-sama has betrayed Fairy Tail! response:	Juvia believes in him!
context: I'll heal him with my Sky Magic!\Please, Wendy.\Hey! You awake, Gray?\Tell us what the hell's going on here!\If you don't, I'll...\Please, stop!\There is no way that Gray-sama has betrayed Fairy Tail!\Juvia believes in him! response:	No matter what people say... Even if the whole world turned against him!
context: Please, Wendy.\Hey! You awake, Gray?\Tell us what the hell's going on here!\If you don't, I'll...\Please, stop!\There is no way that Gray-sama has betrayed Fairy Tail!\Juvia believes in him!\No matter what people say... Even if the whole world turned against him! response:	Juvia...
context: Hey! You awake, Gray?\Tell us what the hell's going on here!\If you don't, I'll...\Please, stop!\There is no way that Gray-sama has betrayed Fairy Tail!\Juvia believes in him!\No matter what people say... Even if the whole world turned against him!\Juvia... response:	Enough, Juvia.
context: Tell us what the hell's going on here!\If you don't, I'll...\Please, stop!\There is no way that Gray-sama has betrayed Fairy Tail!\Juvia believes in him!\No matter what people say... Even if the whole world turned against him!\Juvia...\Enough, Juvia. response:	You're takin' me to Gramps, right?
context: If you don't, I'll...\Please, stop!\There is no way that Gray-sama has betrayed Fairy Tail!\Juvia believes in him!\No matter what people say... Even if the whole world turned against him!\Juvia...\Enough, Juvia.\You're takin' me to Gramps, right? response:	I don't think we have time to kill.
context: Please, stop!\There is no way that Gray-sama has betrayed Fairy Tail!\Juvia believes in him!\No matter what people say... Even if the whole world turned against him!\Juvia...\Enough, Juvia.\You're takin' me to Gramps, right?\I don't think we have time to kill. response:	Follow me.
context: There is no way that Gray-sama has betrayed Fairy Tail!\Juvia believes in him!\No matter what people say... Even if the whole world turned against him!\Juvia...\Enough, Juvia.\You're takin' me to Gramps, right?\I don't think we have time to kill.\Follow me. response:	We're making sure you don't try anything funny.
context: Juvia believes in him!\No matter what people say... Even if the whole world turned against him!\Juvia...\Enough, Juvia.\You're takin' me to Gramps, right?\I don't think we have time to kill.\Follow me.\We're making sure you don't try anything funny. response:	Juvia...
context: No matter what people say... Even if the whole world turned against him!\Juvia...\Enough, Juvia.\You're takin' me to Gramps, right?\I don't think we have time to kill.\Follow me.\We're making sure you don't try anything funny.\Juvia... response:	Gray-sama...
context: Juvia...\Enough, Juvia.\You're takin' me to Gramps, right?\I don't think we have time to kill.\Follow me.\We're making sure you don't try anything funny.\Juvia...\Gray-sama... response:	Elfman!
context: Enough, Juvia.\You're takin' me to Gramps, right?\I don't think we have time to kill.\Follow me.\We're making sure you don't try anything funny.\Juvia...\Gray-sama...\Elfman! response:	He should be fine now.
context: You're takin' me to Gramps, right?\I don't think we have time to kill.\Follow me.\We're making sure you don't try anything funny.\Juvia...\Gray-sama...\Elfman!\He should be fine now. response:	Wendy!
context: I don't think we have time to kill.\Follow me.\We're making sure you don't try anything funny.\Juvia...\Gray-sama...\Elfman!\He should be fine now.\Wendy! response:	Wendy!
context: Follow me.\We're making sure you don't try anything funny.\Juvia...\Gray-sama...\Elfman!\He should be fine now.\Wendy!\Wendy! response:	I'm okay... I have to cure Wakaba-san and Macao-san soon, or...
context: We're making sure you don't try anything funny.\Juvia...\Gray-sama...\Elfman!\He should be fine now.\Wendy!\Wendy!\I'm okay... I have to cure Wakaba-san and Macao-san soon, or... response:	Stop it! If you use any more Sky Magic, your own life will be at risk!
context: Juvia...\Gray-sama...\Elfman!\He should be fine now.\Wendy!\Wendy!\I'm okay... I have to cure Wakaba-san and Macao-san soon, or...\Stop it! If you use any more Sky Magic, your own life will be at risk! response:	I don't care!
context: Gray-sama...\Elfman!\He should be fine now.\Wendy!\Wendy!\I'm okay... I have to cure Wakaba-san and Macao-san soon, or...\Stop it! If you use any more Sky Magic, your own life will be at risk!\I don't care! response:	Well, you should!
context: Elfman!\He should be fine now.\Wendy!\Wendy!\I'm okay... I have to cure Wakaba-san and Macao-san soon, or...\Stop it! If you use any more Sky Magic, your own life will be at risk!\I don't care!\Well, you should! response:	I want to help everyone!
context: He should be fine now.\Wendy!\Wendy!\I'm okay... I have to cure Wakaba-san and Macao-san soon, or...\Stop it! If you use any more Sky Magic, your own life will be at risk!\I don't care!\Well, you should!\I want to help everyone! response:	Then I can really be a member of Fairy Tail!
context: Wendy!\Wendy!\I'm okay... I have to cure Wakaba-san and Macao-san soon, or...\Stop it! If you use any more Sky Magic, your own life will be at risk!\I don't care!\Well, you should!\I want to help everyone!\Then I can really be a member of Fairy Tail! response:	Sheesh, you're so stubborn...
context: Wendy!\I'm okay... I have to cure Wakaba-san and Macao-san soon, or...\Stop it! If you use any more Sky Magic, your own life will be at risk!\I don't care!\Well, you should!\I want to help everyone!\Then I can really be a member of Fairy Tail!\Sheesh, you're so stubborn... response:	Everyone, please work together and save Natsu!
context: I'm okay... I have to cure Wakaba-san and Macao-san soon, or...\Stop it! If you use any more Sky Magic, your own life will be at risk!\I don't care!\Well, you should!\I want to help everyone!\Then I can really be a member of Fairy Tail!\Sheesh, you're so stubborn...\Everyone, please work together and save Natsu! response:	Yeah. We all owe Natsu, big time.
context: Stop it! If you use any more Sky Magic, your own life will be at risk!\I don't care!\Well, you should!\I want to help everyone!\Then I can really be a member of Fairy Tail!\Sheesh, you're so stubborn...\Everyone, please work together and save Natsu!\Yeah. We all owe Natsu, big time. response:	Yeah. When we were beat up by Phantom...
context: I don't care!\Well, you should!\I want to help everyone!\Then I can really be a member of Fairy Tail!\Sheesh, you're so stubborn...\Everyone, please work together and save Natsu!\Yeah. We all owe Natsu, big time.\Yeah. When we were beat up by Phantom... response:	Natsu fought for us back then.
context: Well, you should!\I want to help everyone!\Then I can really be a member of Fairy Tail!\Sheesh, you're so stubborn...\Everyone, please work together and save Natsu!\Yeah. We all owe Natsu, big time.\Yeah. When we were beat up by Phantom...\Natsu fought for us back then. response:	Natsu gave me courage!
context: I want to help everyone!\Then I can really be a member of Fairy Tail!\Sheesh, you're so stubborn...\Everyone, please work together and save Natsu!\Yeah. We all owe Natsu, big time.\Yeah. When we were beat up by Phantom...\Natsu fought for us back then.\Natsu gave me courage! response:	It's the same for everyone else, right?
context: Then I can really be a member of Fairy Tail!\Sheesh, you're so stubborn...\Everyone, please work together and save Natsu!\Yeah. We all owe Natsu, big time.\Yeah. When we were beat up by Phantom...\Natsu fought for us back then.\Natsu gave me courage!\It's the same for everyone else, right? response:	This time, we'll be the ones to save Natsu!
context: Sheesh, you're so stubborn...\Everyone, please work together and save Natsu!\Yeah. We all owe Natsu, big time.\Yeah. When we were beat up by Phantom...\Natsu fought for us back then.\Natsu gave me courage!\It's the same for everyone else, right?\This time, we'll be the ones to save Natsu! response:	All right! If we all work together, we can save Natsu!
context: Everyone, please work together and save Natsu!\Yeah. We all owe Natsu, big time.\Yeah. When we were beat up by Phantom...\Natsu fought for us back then.\Natsu gave me courage!\It's the same for everyone else, right?\This time, we'll be the ones to save Natsu!\All right! If we all work together, we can save Natsu! response:	Aye, sir!
context: Yeah. We all owe Natsu, big time.\Yeah. When we were beat up by Phantom...\Natsu fought for us back then.\Natsu gave me courage!\It's the same for everyone else, right?\This time, we'll be the ones to save Natsu!\All right! If we all work together, we can save Natsu!\Aye, sir! response:	Everyone...
context: Yeah. When we were beat up by Phantom...\Natsu fought for us back then.\Natsu gave me courage!\It's the same for everyone else, right?\This time, we'll be the ones to save Natsu!\All right! If we all work together, we can save Natsu!\Aye, sir!\Everyone... response:	Wait!
context: Natsu fought for us back then.\Natsu gave me courage!\It's the same for everyone else, right?\This time, we'll be the ones to save Natsu!\All right! If we all work together, we can save Natsu!\Aye, sir!\Everyone...\Wait! response:	Master!
context: Natsu gave me courage!\It's the same for everyone else, right?\This time, we'll be the ones to save Natsu!\All right! If we all work together, we can save Natsu!\Aye, sir!\Everyone...\Wait!\Master! response:	Fairy Tail is a guild that lives and dies with Magnolia.
context: It's the same for everyone else, right?\This time, we'll be the ones to save Natsu!\All right! If we all work together, we can save Natsu!\Aye, sir!\Everyone...\Wait!\Master!\Fairy Tail is a guild that lives and dies with Magnolia. response:	Our first priority is to protect the city from being destroyed!
context: This time, we'll be the ones to save Natsu!\All right! If we all work together, we can save Natsu!\Aye, sir!\Everyone...\Wait!\Master!\Fairy Tail is a guild that lives and dies with Magnolia.\Our first priority is to protect the city from being destroyed! response:	You want us to attack that thing?
context: All right! If we all work together, we can save Natsu!\Aye, sir!\Everyone...\Wait!\Master!\Fairy Tail is a guild that lives and dies with Magnolia.\Our first priority is to protect the city from being destroyed!\You want us to attack that thing? response:	But Natsu is inside of it!
context: Aye, sir!\Everyone...\Wait!\Master!\Fairy Tail is a guild that lives and dies with Magnolia.\Our first priority is to protect the city from being destroyed!\You want us to attack that thing?\But Natsu is inside of it! response:	Use any means necessary to stop the Dragonoid!
context: Everyone...\Wait!\Master!\Fairy Tail is a guild that lives and dies with Magnolia.\Our first priority is to protect the city from being destroyed!\You want us to attack that thing?\But Natsu is inside of it!\Use any means necessary to stop the Dragonoid! response:	What? He'll be fine!
context: Wait!\Master!\Fairy Tail is a guild that lives and dies with Magnolia.\Our first priority is to protect the city from being destroyed!\You want us to attack that thing?\But Natsu is inside of it!\Use any means necessary to stop the Dragonoid!\What? He'll be fine! response:	His body's built nice and sturdy!
context: Master!\Fairy Tail is a guild that lives and dies with Magnolia.\Our first priority is to protect the city from being destroyed!\You want us to attack that thing?\But Natsu is inside of it!\Use any means necessary to stop the Dragonoid!\What? He'll be fine!\His body's built nice and sturdy! response:	Natsu!
context: Fairy Tail is a guild that lives and dies with Magnolia.\Our first priority is to protect the city from being destroyed!\You want us to attack that thing?\But Natsu is inside of it!\Use any means necessary to stop the Dragonoid!\What? He'll be fine!\His body's built nice and sturdy!\Natsu! response:	Can you hear me, Natsu?
context: Our first priority is to protect the city from being destroyed!\You want us to attack that thing?\But Natsu is inside of it!\Use any means necessary to stop the Dragonoid!\What? He'll be fine!\His body's built nice and sturdy!\Natsu!\Can you hear me, Natsu? response:	You are not a wizard that would be done in by something like this!
context: You want us to attack that thing?\But Natsu is inside of it!\Use any means necessary to stop the Dragonoid!\What? He'll be fine!\His body's built nice and sturdy!\Natsu!\Can you hear me, Natsu?\You are not a wizard that would be done in by something like this! response:	Erza...
context: But Natsu is inside of it!\Use any means necessary to stop the Dragonoid!\What? He'll be fine!\His body's built nice and sturdy!\Natsu!\Can you hear me, Natsu?\You are not a wizard that would be done in by something like this!\Erza... response:	We...
context: Use any means necessary to stop the Dragonoid!\What? He'll be fine!\His body's built nice and sturdy!\Natsu!\Can you hear me, Natsu?\You are not a wizard that would be done in by something like this!\Erza...\We... response:	We are always like this.
context: What? He'll be fine!\His body's built nice and sturdy!\Natsu!\Can you hear me, Natsu?\You are not a wizard that would be done in by something like this!\Erza...\We...\We are always like this. response:	We communicated by fighting.
context: His body's built nice and sturdy!\Natsu!\Can you hear me, Natsu?\You are not a wizard that would be done in by something like this!\Erza...\We...\We are always like this.\We communicated by fighting. response:	If you hadn't been there,
context: Natsu!\Can you hear me, Natsu?\You are not a wizard that would be done in by something like this!\Erza...\We...\We are always like this.\We communicated by fighting.\If you hadn't been there, response:	I would have already thrown away my life.
context: Can you hear me, Natsu?\You are not a wizard that would be done in by something like this!\Erza...\We...\We are always like this.\We communicated by fighting.\If you hadn't been there,\I would have already thrown away my life. response:	I cannot lose you!
context: You are not a wizard that would be done in by something like this!\Erza...\We...\We are always like this.\We communicated by fighting.\If you hadn't been there,\I would have already thrown away my life.\I cannot lose you! response:	No matter what!
context: Erza...\We...\We are always like this.\We communicated by fighting.\If you hadn't been there,\I would have already thrown away my life.\I cannot lose you!\No matter what! response:	Natsu, I am going to bring you back with me!
context: We...\We are always like this.\We communicated by fighting.\If you hadn't been there,\I would have already thrown away my life.\I cannot lose you!\No matter what!\Natsu, I am going to bring you back with me! response:	Daphne!
context: We are always like this.\We communicated by fighting.\If you hadn't been there,\I would have already thrown away my life.\I cannot lose you!\No matter what!\Natsu, I am going to bring you back with me!\Daphne! response:	Oh, too bad.
context: We communicated by fighting.\If you hadn't been there,\I would have already thrown away my life.\I cannot lose you!\No matter what!\Natsu, I am going to bring you back with me!\Daphne!\Oh, too bad. response:	Time's up.
context: If you hadn't been there,\I would have already thrown away my life.\I cannot lose you!\No matter what!\Natsu, I am going to bring you back with me!\Daphne!\Oh, too bad.\Time's up. response:	I'll stomp you flat, Erza Scarlet!
context: I would have already thrown away my life.\I cannot lose you!\No matter what!\Natsu, I am going to bring you back with me!\Daphne!\Oh, too bad.\Time's up.\I'll stomp you flat, Erza Scarlet! response:	Blast Bullet!
context: I cannot lose you!\No matter what!\Natsu, I am going to bring you back with me!\Daphne!\Oh, too bad.\Time's up.\I'll stomp you flat, Erza Scarlet!\Blast Bullet! response:	Stinger Shoot!
context: No matter what!\Natsu, I am going to bring you back with me!\Daphne!\Oh, too bad.\Time's up.\I'll stomp you flat, Erza Scarlet!\Blast Bullet!\Stinger Shoot! response:	Magic Card Explosion!
context: Natsu, I am going to bring you back with me!\Daphne!\Oh, too bad.\Time's up.\I'll stomp you flat, Erza Scarlet!\Blast Bullet!\Stinger Shoot!\Magic Card Explosion! response:	Water Slicer!
context: Daphne!\Oh, too bad.\Time's up.\I'll stomp you flat, Erza Scarlet!\Blast Bullet!\Stinger Shoot!\Magic Card Explosion!\Water Slicer! response:	Sand Spear!
context: Oh, too bad.\Time's up.\I'll stomp you flat, Erza Scarlet!\Blast Bullet!\Stinger Shoot!\Magic Card Explosion!\Water Slicer!\Sand Spear! response:	Looks like it's started...
context: Time's up.\I'll stomp you flat, Erza Scarlet!\Blast Bullet!\Stinger Shoot!\Magic Card Explosion!\Water Slicer!\Sand Spear!\Looks like it's started... response:	Tell me why.
context: I'll stomp you flat, Erza Scarlet!\Blast Bullet!\Stinger Shoot!\Magic Card Explosion!\Water Slicer!\Sand Spear!\Looks like it's started...\Tell me why. response:	I'll take full responsibility.
context: Blast Bullet!\Stinger Shoot!\Magic Card Explosion!\Water Slicer!\Sand Spear!\Looks like it's started...\Tell me why.\I'll take full responsibility. response:	I said, tell me why!
context: Stinger Shoot!\Magic Card Explosion!\Water Slicer!\Sand Spear!\Looks like it's started...\Tell me why.\I'll take full responsibility.\I said, tell me why! response:	Gray!
context: Magic Card Explosion!\Water Slicer!\Sand Spear!\Looks like it's started...\Tell me why.\I'll take full responsibility.\I said, tell me why!\Gray! response:	Gramps... Only Natsu can defeat that Dragonoid!
context: Water Slicer!\Sand Spear!\Looks like it's started...\Tell me why.\I'll take full responsibility.\I said, tell me why!\Gray!\Gramps... Only Natsu can defeat that Dragonoid! response:	So the master decided that destroying the Dragonoid was the top priority?
context: Sand Spear!\Looks like it's started...\Tell me why.\I'll take full responsibility.\I said, tell me why!\Gray!\Gramps... Only Natsu can defeat that Dragonoid!\So the master decided that destroying the Dragonoid was the top priority? response:	What about Natsu?
context: Looks like it's started...\Tell me why.\I'll take full responsibility.\I said, tell me why!\Gray!\Gramps... Only Natsu can defeat that Dragonoid!\So the master decided that destroying the Dragonoid was the top priority?\What about Natsu? response:	He said he was sturdily built, so he should be fine.
context: Tell me why.\I'll take full responsibility.\I said, tell me why!\Gray!\Gramps... Only Natsu can defeat that Dragonoid!\So the master decided that destroying the Dragonoid was the top priority?\What about Natsu?\He said he was sturdily built, so he should be fine. response:	Oh, I see.
context: I'll take full responsibility.\I said, tell me why!\Gray!\Gramps... Only Natsu can defeat that Dragonoid!\So the master decided that destroying the Dragonoid was the top priority?\What about Natsu?\He said he was sturdily built, so he should be fine.\Oh, I see. response:	Natsu!
context: I said, tell me why!\Gray!\Gramps... Only Natsu can defeat that Dragonoid!\So the master decided that destroying the Dragonoid was the top priority?\What about Natsu?\He said he was sturdily built, so he should be fine.\Oh, I see.\Natsu! response:	On Master's orders, we will stop the Dragonoid with our full strength!
context: Gray!\Gramps... Only Natsu can defeat that Dragonoid!\So the master decided that destroying the Dragonoid was the top priority?\What about Natsu?\He said he was sturdily built, so he should be fine.\Oh, I see.\Natsu!\On Master's orders, we will stop the Dragonoid with our full strength! response:	Before we do that, I want to check with you!
context: Gramps... Only Natsu can defeat that Dragonoid!\So the master decided that destroying the Dragonoid was the top priority?\What about Natsu?\He said he was sturdily built, so he should be fine.\Oh, I see.\Natsu!\On Master's orders, we will stop the Dragonoid with our full strength!\Before we do that, I want to check with you! response:	Let us hear you!
context: So the master decided that destroying the Dragonoid was the top priority?\What about Natsu?\He said he was sturdily built, so he should be fine.\Oh, I see.\Natsu!\On Master's orders, we will stop the Dragonoid with our full strength!\Before we do that, I want to check with you!\Let us hear you! response:	Sure, I'll let you hear...
context: What about Natsu?\He said he was sturdily built, so he should be fine.\Oh, I see.\Natsu!\On Master's orders, we will stop the Dragonoid with our full strength!\Before we do that, I want to check with you!\Let us hear you!\Sure, I'll let you hear... response:	Natsu...
context: He said he was sturdily built, so he should be fine.\Oh, I see.\Natsu!\On Master's orders, we will stop the Dragonoid with our full strength!\Before we do that, I want to check with you!\Let us hear you!\Sure, I'll let you hear...\Natsu... response:	Ready?
context: Oh, I see.\Natsu!\On Master's orders, we will stop the Dragonoid with our full strength!\Before we do that, I want to check with you!\Let us hear you!\Sure, I'll let you hear...\Natsu...\Ready? response:	Cock an ear and listen up.
context: Natsu!\On Master's orders, we will stop the Dragonoid with our full strength!\Before we do that, I want to check with you!\Let us hear you!\Sure, I'll let you hear...\Natsu...\Ready?\Cock an ear and listen up. response:	Bust this thing up, and me along with it!
context: On Master's orders, we will stop the Dragonoid with our full strength!\Before we do that, I want to check with you!\Let us hear you!\Sure, I'll let you hear...\Natsu...\Ready?\Cock an ear and listen up.\Bust this thing up, and me along with it! response:	No matter how far away, we'll come when you call!
context: Before we do that, I want to check with you!\Let us hear you!\Sure, I'll let you hear...\Natsu...\Ready?\Cock an ear and listen up.\Bust this thing up, and me along with it!\No matter how far away, we'll come when you call! response:	Whether it's searching for monsters or defeating monsters...
context: Let us hear you!\Sure, I'll let you hear...\Natsu...\Ready?\Cock an ear and listen up.\Bust this thing up, and me along with it!\No matter how far away, we'll come when you call!\Whether it's searching for monsters or defeating monsters... response:	Secret requests? Leave them to us!
context: Sure, I'll let you hear...\Natsu...\Ready?\Cock an ear and listen up.\Bust this thing up, and me along with it!\No matter how far away, we'll come when you call!\Whether it's searching for monsters or defeating monsters...\Secret requests? Leave them to us! response:	No matter what the problem, we'll solve it with one punch!
context: Natsu...\Ready?\Cock an ear and listen up.\Bust this thing up, and me along with it!\No matter how far away, we'll come when you call!\Whether it's searching for monsters or defeating monsters...\Secret requests? Leave them to us!\No matter what the problem, we'll solve it with one punch! response:	What's that, you say?
context: Ready?\Cock an ear and listen up.\Bust this thing up, and me along with it!\No matter how far away, we'll come when you call!\Whether it's searching for monsters or defeating monsters...\Secret requests? Leave them to us!\No matter what the problem, we'll solve it with one punch!\What's that, you say? response:	That's Fairy Tail in a nutshell!
context: Cock an ear and listen up.\Bust this thing up, and me along with it!\No matter how far away, we'll come when you call!\Whether it's searching for monsters or defeating monsters...\Secret requests? Leave them to us!\No matter what the problem, we'll solve it with one punch!\What's that, you say?\That's Fairy Tail in a nutshell! response:	Next Time: Fairy Tail Wizards.
context: Bust this thing up, and me along with it!\No matter how far away, we'll come when you call!\Whether it's searching for monsters or defeating monsters...\Secret requests? Leave them to us!\No matter what the problem, we'll solve it with one punch!\What's that, you say?\That's Fairy Tail in a nutshell!\Next Time: Fairy Tail Wizards. response:	Perfect!
context: No matter how far away, we'll come when you call!\Whether it's searching for monsters or defeating monsters...\Secret requests? Leave them to us!\No matter what the problem, we'll solve it with one punch!\What's that, you say?\That's Fairy Tail in a nutshell!\Next Time: Fairy Tail Wizards.\Perfect! response:	Yeah, I think we should cut out your lines, Natsu. They get in the way.
context: Whether it's searching for monsters or defeating monsters...\Secret requests? Leave them to us!\No matter what the problem, we'll solve it with one punch!\What's that, you say?\That's Fairy Tail in a nutshell!\Next Time: Fairy Tail Wizards.\Perfect!\Yeah, I think we should cut out your lines, Natsu. They get in the way. response:	Huh? Did I say something wrong?
