context: Is it that easy to adjust the Uka-no-Mitama virus? response:	The process itself should be pretty much automated,
context: Inspector?\But Makishima looks at things differently than we do.\He understands just how much of a bind we're in,\better than we do ourselves.\Ginoza and Masaoka are in danger!\Please wait! It's dangerous to go by yourself!\You stay here.\If Makishima comes, whatever you do, don't let him touch the emergency power supply! response:	Destroy the whole console if you need to!
context: But Makishima looks at things differently than we do.\He understands just how much of a bind we're in,\better than we do ourselves.\Ginoza and Masaoka are in danger!\Please wait! It's dangerous to go by yourself!\You stay here.\If Makishima comes, whatever you do, don't let him touch the emergency power supply!\Destroy the whole console if you need to! response:	Ginoza! Inspector Ginoza?!
context: He understands just how much of a bind we're in,\better than we do ourselves.\Ginoza and Masaoka are in danger!\Please wait! It's dangerous to go by yourself!\You stay here.\If Makishima comes, whatever you do, don't let him touch the emergency power supply!\Destroy the whole console if you need to!\Ginoza! Inspector Ginoza?! response:	Wait!
context: better than we do ourselves.\Ginoza and Masaoka are in danger!\Please wait! It's dangerous to go by yourself!\You stay here.\If Makishima comes, whatever you do, don't let him touch the emergency power supply!\Destroy the whole console if you need to!\Ginoza! Inspector Ginoza?!\Wait! response:	Nobuchika!
context: Ginoza and Masaoka are in danger!\Please wait! It's dangerous to go by yourself!\You stay here.\If Makishima comes, whatever you do, don't let him touch the emergency power supply!\Destroy the whole console if you need to!\Ginoza! Inspector Ginoza?!\Wait!\Nobuchika! response:	Dammit!
context: Please wait! It's dangerous to go by yourself!\You stay here.\If Makishima comes, whatever you do, don't let him touch the emergency power supply!\Destroy the whole console if you need to!\Ginoza! Inspector Ginoza?!\Wait!\Nobuchika!\Dammit! response:	Hold on!
context: You stay here.\If Makishima comes, whatever you do, don't let him touch the emergency power supply!\Destroy the whole console if you need to!\Ginoza! Inspector Ginoza?!\Wait!\Nobuchika!\Dammit!\Hold on! response:	Behind you!
context: If Makishima comes, whatever you do, don't let him touch the emergency power supply!\Destroy the whole console if you need to!\Ginoza! Inspector Ginoza?!\Wait!\Nobuchika!\Dammit!\Hold on!\Behind you! response:	You bastard!
context: Destroy the whole console if you need to!\Ginoza! Inspector Ginoza?!\Wait!\Nobuchika!\Dammit!\Hold on!\Behind you!\You bastard! response:	What? Are you trying to blow us both up?
context: Ginoza! Inspector Ginoza?!\Wait!\Nobuchika!\Dammit!\Hold on!\Behind you!\You bastard!\What? Are you trying to blow us both up? response:	You think I'd do something stupid like that?
context: Wait!\Nobuchika!\Dammit!\Hold on!\Behind you!\You bastard!\What? Are you trying to blow us both up?\You think I'd do something stupid like that? response:	Don't let that man go! You must stop him at any cost, Enforcer!
context: Nobuchika!\Dammit!\Hold on!\Behind you!\You bastard!\What? Are you trying to blow us both up?\You think I'd do something stupid like that?\Don't let that man go! You must stop him at any cost, Enforcer! response:	You are a detective! Fulfill your duty!
context: Dammit!\Hold on!\Behind you!\You bastard!\What? Are you trying to blow us both up?\You think I'd do something stupid like that?\Don't let that man go! You must stop him at any cost, Enforcer!\You are a detective! Fulfill your duty! response:	Pops...!
context: Hold on!\Behind you!\You bastard!\What? Are you trying to blow us both up?\You think I'd do something stupid like that?\Don't let that man go! You must stop him at any cost, Enforcer!\You are a detective! Fulfill your duty!\Pops...! response:	You... You idiot!
context: Behind you!\You bastard!\What? Are you trying to blow us both up?\You think I'd do something stupid like that?\Don't let that man go! You must stop him at any cost, Enforcer!\You are a detective! Fulfill your duty!\Pops...!\You... You idiot! response:	Why did you let the culprit get away?!
context: You bastard!\What? Are you trying to blow us both up?\You think I'd do something stupid like that?\Don't let that man go! You must stop him at any cost, Enforcer!\You are a detective! Fulfill your duty!\Pops...!\You... You idiot!\Why did you let the culprit get away?! response:	Why?!
context: What? Are you trying to blow us both up?\You think I'd do something stupid like that?\Don't let that man go! You must stop him at any cost, Enforcer!\You are a detective! Fulfill your duty!\Pops...!\You... You idiot!\Why did you let the culprit get away?!\Why?! response:	You're a detective, aren't you?!
context: You think I'd do something stupid like that?\Don't let that man go! You must stop him at any cost, Enforcer!\You are a detective! Fulfill your duty!\Pops...!\You... You idiot!\Why did you let the culprit get away?!\Why?!\You're a detective, aren't you?! response:	I'm not fit to be called a detective.
context: Don't let that man go! You must stop him at any cost, Enforcer!\You are a detective! Fulfill your duty!\Pops...!\You... You idiot!\Why did you let the culprit get away?!\Why?!\You're a detective, aren't you?!\I'm not fit to be called a detective. response:	You're my son, after all.
context: You are a detective! Fulfill your duty!\Pops...!\You... You idiot!\Why did you let the culprit get away?!\Why?!\You're a detective, aren't you?!\I'm not fit to be called a detective.\You're my son, after all. response:	Your eyes... look just the same as mine did...
context: Pops...!\You... You idiot!\Why did you let the culprit get away?!\Why?!\You're a detective, aren't you?!\I'm not fit to be called a detective.\You're my son, after all.\Your eyes... look just the same as mine did... response:	when I was your age.
context: You... You idiot!\Why did you let the culprit get away?!\Why?!\You're a detective, aren't you?!\I'm not fit to be called a detective.\You're my son, after all.\Your eyes... look just the same as mine did...\when I was your age. response:	Dad...
context: Why did you let the culprit get away?!\Why?!\You're a detective, aren't you?!\I'm not fit to be called a detective.\You're my son, after all.\Your eyes... look just the same as mine did...\when I was your age.\Dad... response:	Dad!
context: Why?!\You're a detective, aren't you?!\I'm not fit to be called a detective.\You're my son, after all.\Your eyes... look just the same as mine did...\when I was your age.\Dad...\Dad! response:	Why?!
context: You're a detective, aren't you?!\I'm not fit to be called a detective.\You're my son, after all.\Your eyes... look just the same as mine did...\when I was your age.\Dad...\Dad!\Why?! response:	Why?
context: I'm not fit to be called a detective.\You're my son, after all.\Your eyes... look just the same as mine did...\when I was your age.\Dad...\Dad!\Why?!\Why? response:	It's too late!
context: You're my son, after all.\Your eyes... look just the same as mine did...\when I was your age.\Dad...\Dad!\Why?!\Why?\It's too late! response:	So you finally ditched that fake justice and developed some real bloodlust, huh?
context: Your eyes... look just the same as mine did...\when I was your age.\Dad...\Dad!\Why?!\Why?\It's too late!\So you finally ditched that fake justice and developed some real bloodlust, huh? response:	You're everything I hoped you'd be after all.
context: when I was your age.\Dad...\Dad!\Why?!\Why?\It's too late!\So you finally ditched that fake justice and developed some real bloodlust, huh?\You're everything I hoped you'd be after all. response:	That so?
context: Dad...\Dad!\Why?!\Why?\It's too late!\So you finally ditched that fake justice and developed some real bloodlust, huh?\You're everything I hoped you'd be after all.\That so? response:	Sorry, but I never had any hopes for you to begin with.
context: Dad!\Why?!\Why?\It's too late!\So you finally ditched that fake justice and developed some real bloodlust, huh?\You're everything I hoped you'd be after all.\That so?\Sorry, but I never had any hopes for you to begin with. response:	Don't act so indifferent after coming this far for me.
context: Why?!\Why?\It's too late!\So you finally ditched that fake justice and developed some real bloodlust, huh?\You're everything I hoped you'd be after all.\That so?\Sorry, but I never had any hopes for you to begin with.\Don't act so indifferent after coming this far for me. response:	Cut the arrogance.
context: Why?\It's too late!\So you finally ditched that fake justice and developed some real bloodlust, huh?\You're everything I hoped you'd be after all.\That so?\Sorry, but I never had any hopes for you to begin with.\Don't act so indifferent after coming this far for me.\Cut the arrogance. response:	There's nothing exceptional about you.
context: It's too late!\So you finally ditched that fake justice and developed some real bloodlust, huh?\You're everything I hoped you'd be after all.\That so?\Sorry, but I never had any hopes for you to begin with.\Don't act so indifferent after coming this far for me.\Cut the arrogance.\There's nothing exceptional about you. response:	You're just a piece of garbage, forsaken by society.
context: So you finally ditched that fake justice and developed some real bloodlust, huh?\You're everything I hoped you'd be after all.\That so?\Sorry, but I never had any hopes for you to begin with.\Don't act so indifferent after coming this far for me.\Cut the arrogance.\There's nothing exceptional about you.\You're just a piece of garbage, forsaken by society. response:	I bet you feel bitter after being rejected by your peers and excluded from the community, don't you?
context: You're everything I hoped you'd be after all.\That so?\Sorry, but I never had any hopes for you to begin with.\Don't act so indifferent after coming this far for me.\Cut the arrogance.\There's nothing exceptional about you.\You're just a piece of garbage, forsaken by society.\I bet you feel bitter after being rejected by your peers and excluded from the community, don't you? response:	You just can't stand to be on your own!
context: That so?\Sorry, but I never had any hopes for you to begin with.\Don't act so indifferent after coming this far for me.\Cut the arrogance.\There's nothing exceptional about you.\You're just a piece of garbage, forsaken by society.\I bet you feel bitter after being rejected by your peers and excluded from the community, don't you?\You just can't stand to be on your own! response:	You're no different from a kid whining about not wanting to be left out.
context: Sorry, but I never had any hopes for you to begin with.\Don't act so indifferent after coming this far for me.\Cut the arrogance.\There's nothing exceptional about you.\You're just a piece of garbage, forsaken by society.\I bet you feel bitter after being rejected by your peers and excluded from the community, don't you?\You just can't stand to be on your own!\You're no different from a kid whining about not wanting to be left out. response:	You sure do say some funny things.
context: Don't act so indifferent after coming this far for me.\Cut the arrogance.\There's nothing exceptional about you.\You're just a piece of garbage, forsaken by society.\I bet you feel bitter after being rejected by your peers and excluded from the community, don't you?\You just can't stand to be on your own!\You're no different from a kid whining about not wanting to be left out.\You sure do say some funny things. response:	Do you think I'm the only one who's left out?
context: Cut the arrogance.\There's nothing exceptional about you.\You're just a piece of garbage, forsaken by society.\I bet you feel bitter after being rejected by your peers and excluded from the community, don't you?\You just can't stand to be on your own!\You're no different from a kid whining about not wanting to be left out.\You sure do say some funny things.\Do you think I'm the only one who's left out? response:	Who isn't alone in this society?
context: There's nothing exceptional about you.\You're just a piece of garbage, forsaken by society.\I bet you feel bitter after being rejected by your peers and excluded from the community, don't you?\You just can't stand to be on your own!\You're no different from a kid whining about not wanting to be left out.\You sure do say some funny things.\Do you think I'm the only one who's left out?\Who isn't alone in this society? response:	The time when our connection to others was the basis of our selves is long gone.
context: You're just a piece of garbage, forsaken by society.\I bet you feel bitter after being rejected by your peers and excluded from the community, don't you?\You just can't stand to be on your own!\You're no different from a kid whining about not wanting to be left out.\You sure do say some funny things.\Do you think I'm the only one who's left out?\Who isn't alone in this society?\The time when our connection to others was the basis of our selves is long gone. response:	There's no place for communities in this world
context: I bet you feel bitter after being rejected by your peers and excluded from the community, don't you?\You just can't stand to be on your own!\You're no different from a kid whining about not wanting to be left out.\You sure do say some funny things.\Do you think I'm the only one who's left out?\Who isn't alone in this society?\The time when our connection to others was the basis of our selves is long gone.\There's no place for communities in this world response:	where everyone is watched over by the system and lives within the system's standards.
context: You just can't stand to be on your own!\You're no different from a kid whining about not wanting to be left out.\You sure do say some funny things.\Do you think I'm the only one who's left out?\Who isn't alone in this society?\The time when our connection to others was the basis of our selves is long gone.\There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards. response:	Everyone stays in their own little cell,
context: You're no different from a kid whining about not wanting to be left out.\You sure do say some funny things.\Do you think I'm the only one who's left out?\Who isn't alone in this society?\The time when our connection to others was the basis of our selves is long gone.\There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell, response:	and the system tames them by giving them each their own personal serenity.
context: You sure do say some funny things.\Do you think I'm the only one who's left out?\Who isn't alone in this society?\The time when our connection to others was the basis of our selves is long gone.\There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity. response:	There's no way I could love anyone,
context: Do you think I'm the only one who's left out?\Who isn't alone in this society?\The time when our connection to others was the basis of our selves is long gone.\There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity.\There's no way I could love anyone, response:	There's no way I could love anyone,
context: Who isn't alone in this society?\The time when our connection to others was the basis of our selves is long gone.\There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity.\There's no way I could love anyone,\There's no way I could love anyone, response:	but I wish to be loved by someone in turn
context: The time when our connection to others was the basis of our selves is long gone.\There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn response:	but I wish to be loved by someone in turn
context: There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn response:	The world may not have
context: where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have response:	The world may not have
context: Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have response:	ended yesterday after all,
context: and the system tames them by giving them each their own personal serenity.\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all, response:	ended yesterday after all,
context: There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all, response:	but we will not budge
context: There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge response:	but we will not budge
context: but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge response:	from where we are
context: but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are response:	from where we are
context: The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are response:	God, in favor of which parts have you left us?
context: The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us? response:	God, in favor of which parts have you left us?
context: ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us? response:	I receive no reply
context: ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply response:	I receive no reply
context: but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply response:	I never do
context: but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do response:	I never do
context: from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do response:	Are you still here?
context: from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do\Are you still here? response:	Are you still here?
context: God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here? response:	You'll never walk alone
context: God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone response:	You'll never walk alone
context: I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone response:	I walk with you
context: I receive no reply\I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you response:	I walk with you
context: I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you response:	I will share all your sins
context: I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins response:	I will share all your sins
context: Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins\I will share all your sins response:	Together with you
context: Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins\I will share all your sins\Together with you response:	Together with you
context: You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins\I will share all your sins\Together with you\Together with you response:	I walk
context: You'll never walk alone\I walk with you\I walk with you\I will share all your sins\I will share all your sins\Together with you\Together with you\I walk response:	I walk
context: I walk with you\I walk with you\I will share all your sins\I will share all your sins\Together with you\Together with you\I walk\I walk response:	a trackless path
context: I walk with you\I will share all your sins\I will share all your sins\Together with you\Together with you\I walk\I walk\a trackless path response:	a trackless path
context: I will share all your sins\I will share all your sins\Together with you\Together with you\I walk\I walk\a trackless path\a trackless path response:	This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.
context: I will share all your sins\Together with you\Together with you\I walk\I walk\a trackless path\a trackless path\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass. response:	This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.
context: Together with you\Together with you\I walk\I walk\a trackless path\a trackless path\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass. response:	This story is a work of fiction. The names of all individuals and organizations that appear in this show are fictitious and any similarity to those in existence in the real world is purely coincidental.
context: Together with you\I walk\I walk\a trackless path\a trackless path\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.\This is a world where the mental state and personal tendencies of humans can be quantified. While all sorts of inclinations are recorded and policed, these measured numbers used to judge people's souls are commonly called Psycho-Pass.\This story is a work of fiction. The names of all individuals and organizations that appear in this show are fictitious and any similarity to those in existence in the real world is purely coincidental. response:	This story is a work of fiction. The names of all individuals and organizations that appear in this show are fictitious and any similarity to those in existence in the real world is purely coincidental.
