context: Morning. response:	Chiaki!
context: No, not really, but, like, since you're...\Since I'm what?\Is it something he doesn't want to say?\Am I doing a crappy job of cleaning?\Sorry, I'll shut up and get to work.\Huh? Sure.\Did she figure out how I feel?\J-Just so you know, I didn't mean that in a weird way! response:	Sorry if I made you uncomfortable.
context: Since I'm what?\Is it something he doesn't want to say?\Am I doing a crappy job of cleaning?\Sorry, I'll shut up and get to work.\Huh? Sure.\Did she figure out how I feel?\J-Just so you know, I didn't mean that in a weird way!\Sorry if I made you uncomfortable. response:	No, sorry I didn't notice, either.
context: Is it something he doesn't want to say?\Am I doing a crappy job of cleaning?\Sorry, I'll shut up and get to work.\Huh? Sure.\Did she figure out how I feel?\J-Just so you know, I didn't mean that in a weird way!\Sorry if I made you uncomfortable.\No, sorry I didn't notice, either. response:	What should I do?
context: Am I doing a crappy job of cleaning?\Sorry, I'll shut up and get to work.\Huh? Sure.\Did she figure out how I feel?\J-Just so you know, I didn't mean that in a weird way!\Sorry if I made you uncomfortable.\No, sorry I didn't notice, either.\What should I do? response:	What? Do? About what?
context: Sorry, I'll shut up and get to work.\Huh? Sure.\Did she figure out how I feel?\J-Just so you know, I didn't mean that in a weird way!\Sorry if I made you uncomfortable.\No, sorry I didn't notice, either.\What should I do?\What? Do? About what? response:	Don't mind me.
context: Huh? Sure.\Did she figure out how I feel?\J-Just so you know, I didn't mean that in a weird way!\Sorry if I made you uncomfortable.\No, sorry I didn't notice, either.\What should I do?\What? Do? About what?\Don't mind me. response:	You're helping me because you noticed me, right?
context: Did she figure out how I feel?\J-Just so you know, I didn't mean that in a weird way!\Sorry if I made you uncomfortable.\No, sorry I didn't notice, either.\What should I do?\What? Do? About what?\Don't mind me.\You're helping me because you noticed me, right? response:	I was actually interested in you.
context: J-Just so you know, I didn't mean that in a weird way!\Sorry if I made you uncomfortable.\No, sorry I didn't notice, either.\What should I do?\What? Do? About what?\Don't mind me.\You're helping me because you noticed me, right?\I was actually interested in you. response:	I knew it.
context: Sorry if I made you uncomfortable.\No, sorry I didn't notice, either.\What should I do?\What? Do? About what?\Don't mind me.\You're helping me because you noticed me, right?\I was actually interested in you.\I knew it. response:	Sorry, I never learned about this stuff.
context: No, sorry I didn't notice, either.\What should I do?\What? Do? About what?\Don't mind me.\You're helping me because you noticed me, right?\I was actually interested in you.\I knew it.\Sorry, I never learned about this stuff. response:	I've never learned, either.
context: What should I do?\What? Do? About what?\Don't mind me.\You're helping me because you noticed me, right?\I was actually interested in you.\I knew it.\Sorry, I never learned about this stuff.\I've never learned, either. response:	Like, what do you want to do, Takano?
context: What? Do? About what?\Don't mind me.\You're helping me because you noticed me, right?\I was actually interested in you.\I knew it.\Sorry, I never learned about this stuff.\I've never learned, either.\Like, what do you want to do, Takano? response:	I want to get better at it.
context: Don't mind me.\You're helping me because you noticed me, right?\I was actually interested in you.\I knew it.\Sorry, I never learned about this stuff.\I've never learned, either.\Like, what do you want to do, Takano?\I want to get better at it. response:	Better? Huh?
context: You're helping me because you noticed me, right?\I was actually interested in you.\I knew it.\Sorry, I never learned about this stuff.\I've never learned, either.\Like, what do you want to do, Takano?\I want to get better at it.\Better? Huh? response:	Like, so that I can clean up better.
context: I was actually interested in you.\I knew it.\Sorry, I never learned about this stuff.\I've never learned, either.\Like, what do you want to do, Takano?\I want to get better at it.\Better? Huh?\Like, so that I can clean up better. response:	I think you're pretty enough as you are.
context: I knew it.\Sorry, I never learned about this stuff.\I've never learned, either.\Like, what do you want to do, Takano?\I want to get better at it.\Better? Huh?\Like, so that I can clean up better.\I think you're pretty enough as you are. response:	Really?
context: Sorry, I never learned about this stuff.\I've never learned, either.\Like, what do you want to do, Takano?\I want to get better at it.\Better? Huh?\Like, so that I can clean up better.\I think you're pretty enough as you are.\Really? response:	What should I do, then?
context: I've never learned, either.\Like, what do you want to do, Takano?\I want to get better at it.\Better? Huh?\Like, so that I can clean up better.\I think you're pretty enough as you are.\Really?\What should I do, then? response:	Well, I wanted to tell you...
context: Like, what do you want to do, Takano?\I want to get better at it.\Better? Huh?\Like, so that I can clean up better.\I think you're pretty enough as you are.\Really?\What should I do, then?\Well, I wanted to tell you... response:	No, maybe I'm rushing things.
context: I want to get better at it.\Better? Huh?\Like, so that I can clean up better.\I think you're pretty enough as you are.\Really?\What should I do, then?\Well, I wanted to tell you...\No, maybe I'm rushing things. response:	Take your time.
context: Better? Huh?\Like, so that I can clean up better.\I think you're pretty enough as you are.\Really?\What should I do, then?\Well, I wanted to tell you...\No, maybe I'm rushing things.\Take your time. response:	I'll be waiting.
context: Like, so that I can clean up better.\I think you're pretty enough as you are.\Really?\What should I do, then?\Well, I wanted to tell you...\No, maybe I'm rushing things.\Take your time.\I'll be waiting. response:	Wait, am I going too slow?
context: I think you're pretty enough as you are.\Really?\What should I do, then?\Well, I wanted to tell you...\No, maybe I'm rushing things.\Take your time.\I'll be waiting.\Wait, am I going too slow? response:	Sorry, I was taking too long.
context: Really?\What should I do, then?\Well, I wanted to tell you...\No, maybe I'm rushing things.\Take your time.\I'll be waiting.\Wait, am I going too slow?\Sorry, I was taking too long. response:	That's not true.
context: What should I do, then?\Well, I wanted to tell you...\No, maybe I'm rushing things.\Take your time.\I'll be waiting.\Wait, am I going too slow?\Sorry, I was taking too long.\That's not true. response:	Sorry, I'm really hasty.
context: Well, I wanted to tell you...\No, maybe I'm rushing things.\Take your time.\I'll be waiting.\Wait, am I going too slow?\Sorry, I was taking too long.\That's not true.\Sorry, I'm really hasty. response:	I'm just glad you know how I feel now.
context: No, maybe I'm rushing things.\Take your time.\I'll be waiting.\Wait, am I going too slow?\Sorry, I was taking too long.\That's not true.\Sorry, I'm really hasty.\I'm just glad you know how I feel now. response:	I'll ask you how you feel next time
context: Take your time.\I'll be waiting.\Wait, am I going too slow?\Sorry, I was taking too long.\That's not true.\Sorry, I'm really hasty.\I'm just glad you know how I feel now.\I'll ask you how you feel next time response:	Thanks.
context: I'll be waiting.\Wait, am I going too slow?\Sorry, I was taking too long.\That's not true.\Sorry, I'm really hasty.\I'm just glad you know how I feel now.\I'll ask you how you feel next time\Thanks. response:	I'll learn to clean quicker.
context: Wait, am I going too slow?\Sorry, I was taking too long.\That's not true.\Sorry, I'm really hasty.\I'm just glad you know how I feel now.\I'll ask you how you feel next time\Thanks.\I'll learn to clean quicker. response:	Huh?
context: Sorry, I was taking too long.\That's not true.\Sorry, I'm really hasty.\I'm just glad you know how I feel now.\I'll ask you how you feel next time\Thanks.\I'll learn to clean quicker.\Huh? response:	It isn't a topic that's easy to bring up.
context: That's not true.\Sorry, I'm really hasty.\I'm just glad you know how I feel now.\I'll ask you how you feel next time\Thanks.\I'll learn to clean quicker.\Huh?\It isn't a topic that's easy to bring up. response:	You sure are a good person.
context: Sorry, I'm really hasty.\I'm just glad you know how I feel now.\I'll ask you how you feel next time\Thanks.\I'll learn to clean quicker.\Huh?\It isn't a topic that's easy to bring up.\You sure are a good person. response:	Wait, what are we talking about?
context: I'm just glad you know how I feel now.\I'll ask you how you feel next time\Thanks.\I'll learn to clean quicker.\Huh?\It isn't a topic that's easy to bring up.\You sure are a good person.\Wait, what are we talking about? response:	About cleaning, right?
context: I'll ask you how you feel next time\Thanks.\I'll learn to clean quicker.\Huh?\It isn't a topic that's easy to bring up.\You sure are a good person.\Wait, what are we talking about?\About cleaning, right? response:	Huh?
context: Thanks.\I'll learn to clean quicker.\Huh?\It isn't a topic that's easy to bring up.\You sure are a good person.\Wait, what are we talking about?\About cleaning, right?\Huh? response:	Yeah, that's it!
context: I'll learn to clean quicker.\Huh?\It isn't a topic that's easy to bring up.\You sure are a good person.\Wait, what are we talking about?\About cleaning, right?\Huh?\Yeah, that's it! response:	Cleaning, right?!
context: Huh?\It isn't a topic that's easy to bring up.\You sure are a good person.\Wait, what are we talking about?\About cleaning, right?\Huh?\Yeah, that's it!\Cleaning, right?! response:	Next episode: Romantic Comedy.
context: It isn't a topic that's easy to bring up.\You sure are a good person.\Wait, what are we talking about?\About cleaning, right?\Huh?\Yeah, that's it!\Cleaning, right?!\Next episode: Romantic Comedy. response:	Romantic Comedy
