context: Louise... response:	Louise, come here.
context: This...\But why?\This ring was originally passed down in the House of Albion.\You're the last one of that blood, and you possess the magic.\This belongs with you.\Why is Saito such an idiot?\Who is that?\I do want to be of help to everybody... response:	But what should I do?
context: But why?\This ring was originally passed down in the House of Albion.\You're the last one of that blood, and you possess the magic.\This belongs with you.\Why is Saito such an idiot?\Who is that?\I do want to be of help to everybody...\But what should I do? response:	Miss Westwood.
context: This ring was originally passed down in the House of Albion.\You're the last one of that blood, and you possess the magic.\This belongs with you.\Why is Saito such an idiot?\Who is that?\I do want to be of help to everybody...\But what should I do?\Miss Westwood. response:	Professor Colbert!
context: You're the last one of that blood, and you possess the magic.\This belongs with you.\Why is Saito such an idiot?\Who is that?\I do want to be of help to everybody...\But what should I do?\Miss Westwood.\Professor Colbert! response:	You're staying here, too?
context: This belongs with you.\Why is Saito such an idiot?\Who is that?\I do want to be of help to everybody...\But what should I do?\Miss Westwood.\Professor Colbert!\You're staying here, too? response:	No, I actually came here on an errand.
context: Why is Saito such an idiot?\Who is that?\I do want to be of help to everybody...\But what should I do?\Miss Westwood.\Professor Colbert!\You're staying here, too?\No, I actually came here on an errand. response:	I see.
context: Who is that?\I do want to be of help to everybody...\But what should I do?\Miss Westwood.\Professor Colbert!\You're staying here, too?\No, I actually came here on an errand.\I see. response:	Goodnight, then.
context: I do want to be of help to everybody...\But what should I do?\Miss Westwood.\Professor Colbert!\You're staying here, too?\No, I actually came here on an errand.\I see.\Goodnight, then. response:	Goodnight, Sir.
context: But what should I do?\Miss Westwood.\Professor Colbert!\You're staying here, too?\No, I actually came here on an errand.\I see.\Goodnight, then.\Goodnight, Sir. response:	Professor Colbert!
context: Miss Westwood.\Professor Colbert!\You're staying here, too?\No, I actually came here on an errand.\I see.\Goodnight, then.\Goodnight, Sir.\Professor Colbert! response:	May I ask you a favor?
context: Professor Colbert!\You're staying here, too?\No, I actually came here on an errand.\I see.\Goodnight, then.\Goodnight, Sir.\Professor Colbert!\May I ask you a favor? response:	Please show me the ritual of summoning a familiar!
context: You're staying here, too?\No, I actually came here on an errand.\I see.\Goodnight, then.\Goodnight, Sir.\Professor Colbert!\May I ask you a favor?\Please show me the ritual of summoning a familiar! response:	I just don't get what her problem is.
context: No, I actually came here on an errand.\I see.\Goodnight, then.\Goodnight, Sir.\Professor Colbert!\May I ask you a favor?\Please show me the ritual of summoning a familiar!\I just don't get what her problem is. response:	All I was asking her to do was to think about Tiffa a little.
context: I see.\Goodnight, then.\Goodnight, Sir.\Professor Colbert!\May I ask you a favor?\Please show me the ritual of summoning a familiar!\I just don't get what her problem is.\All I was asking her to do was to think about Tiffa a little. response:	Then she says Well then, why don't you be her familiar?
context: Goodnight, then.\Goodnight, Sir.\Professor Colbert!\May I ask you a favor?\Please show me the ritual of summoning a familiar!\I just don't get what her problem is.\All I was asking her to do was to think about Tiffa a little.\Then she says Well then, why don't you be her familiar? response:	After she was all swooning over the Pope!
context: Goodnight, Sir.\Professor Colbert!\May I ask you a favor?\Please show me the ritual of summoning a familiar!\I just don't get what her problem is.\All I was asking her to do was to think about Tiffa a little.\Then she says Well then, why don't you be her familiar?\After she was all swooning over the Pope! response:	You know, Saito,
context: Professor Colbert!\May I ask you a favor?\Please show me the ritual of summoning a familiar!\I just don't get what her problem is.\All I was asking her to do was to think about Tiffa a little.\Then she says Well then, why don't you be her familiar?\After she was all swooning over the Pope!\You know, Saito, response:	in all honesty, it makes me happy to hear
context: May I ask you a favor?\Please show me the ritual of summoning a familiar!\I just don't get what her problem is.\All I was asking her to do was to think about Tiffa a little.\Then she says Well then, why don't you be her familiar?\After she was all swooning over the Pope!\You know, Saito,\in all honesty, it makes me happy to hear response:	that you're fighting with Miss Valliere.
context: Please show me the ritual of summoning a familiar!\I just don't get what her problem is.\All I was asking her to do was to think about Tiffa a little.\Then she says Well then, why don't you be her familiar?\After she was all swooning over the Pope!\You know, Saito,\in all honesty, it makes me happy to hear\that you're fighting with Miss Valliere. response:	Still...
context: I just don't get what her problem is.\All I was asking her to do was to think about Tiffa a little.\Then she says Well then, why don't you be her familiar?\After she was all swooning over the Pope!\You know, Saito,\in all honesty, it makes me happy to hear\that you're fighting with Miss Valliere.\Still... response:	Yeah?
context: All I was asking her to do was to think about Tiffa a little.\Then she says Well then, why don't you be her familiar?\After she was all swooning over the Pope!\You know, Saito,\in all honesty, it makes me happy to hear\that you're fighting with Miss Valliere.\Still...\Yeah? response:	Since I do acknowledge Miss Valliere as a rival for your love,
context: Then she says Well then, why don't you be her familiar?\After she was all swooning over the Pope!\You know, Saito,\in all honesty, it makes me happy to hear\that you're fighting with Miss Valliere.\Still...\Yeah?\Since I do acknowledge Miss Valliere as a rival for your love, response:	I can say that I don't believe she would
context: After she was all swooning over the Pope!\You know, Saito,\in all honesty, it makes me happy to hear\that you're fighting with Miss Valliere.\Still...\Yeah?\Since I do acknowledge Miss Valliere as a rival for your love,\I can say that I don't believe she would response:	ever be swooning for anyone else.
context: You know, Saito,\in all honesty, it makes me happy to hear\that you're fighting with Miss Valliere.\Still...\Yeah?\Since I do acknowledge Miss Valliere as a rival for your love,\I can say that I don't believe she would\ever be swooning for anyone else. response:	It's not even possible!
context: in all honesty, it makes me happy to hear\that you're fighting with Miss Valliere.\Still...\Yeah?\Since I do acknowledge Miss Valliere as a rival for your love,\I can say that I don't believe she would\ever be swooning for anyone else.\It's not even possible! response:	I guess you might be right.
context: that you're fighting with Miss Valliere.\Still...\Yeah?\Since I do acknowledge Miss Valliere as a rival for your love,\I can say that I don't believe she would\ever be swooning for anyone else.\It's not even possible!\I guess you might be right. response:	Of course I'm right!!
context: Still...\Yeah?\Since I do acknowledge Miss Valliere as a rival for your love,\I can say that I don't believe she would\ever be swooning for anyone else.\It's not even possible!\I guess you might be right.\Of course I'm right!! response:	That means you've got to think this over!
context: Yeah?\Since I do acknowledge Miss Valliere as a rival for your love,\I can say that I don't believe she would\ever be swooning for anyone else.\It's not even possible!\I guess you might be right.\Of course I'm right!!\That means you've got to think this over! response:	You have to think about why it's so important for her
context: Since I do acknowledge Miss Valliere as a rival for your love,\I can say that I don't believe she would\ever be swooning for anyone else.\It's not even possible!\I guess you might be right.\Of course I'm right!!\That means you've got to think this over!\You have to think about why it's so important for her response:	to honor the Pope's request so quickly.
context: I can say that I don't believe she would\ever be swooning for anyone else.\It's not even possible!\I guess you might be right.\Of course I'm right!!\That means you've got to think this over!\You have to think about why it's so important for her\to honor the Pope's request so quickly. response:	Sure, but I've got no clue.
context: ever be swooning for anyone else.\It's not even possible!\I guess you might be right.\Of course I'm right!!\That means you've got to think this over!\You have to think about why it's so important for her\to honor the Pope's request so quickly.\Sure, but I've got no clue. response:	You really don't?
context: It's not even possible!\I guess you might be right.\Of course I'm right!!\That means you've got to think this over!\You have to think about why it's so important for her\to honor the Pope's request so quickly.\Sure, but I've got no clue.\You really don't? response:	She's the one who was called Louise the Zero.
context: I guess you might be right.\Of course I'm right!!\That means you've got to think this over!\You have to think about why it's so important for her\to honor the Pope's request so quickly.\Sure, but I've got no clue.\You really don't?\She's the one who was called Louise the Zero. response:	After she was told that she
context: Of course I'm right!!\That means you've got to think this over!\You have to think about why it's so important for her\to honor the Pope's request so quickly.\Sure, but I've got no clue.\You really don't?\She's the one who was called Louise the Zero.\After she was told that she response:	could save the world if she tried hard enough,
context: That means you've got to think this over!\You have to think about why it's so important for her\to honor the Pope's request so quickly.\Sure, but I've got no clue.\You really don't?\She's the one who was called Louise the Zero.\After she was told that she\could save the world if she tried hard enough, response:	do you think she could not try?
context: You have to think about why it's so important for her\to honor the Pope's request so quickly.\Sure, but I've got no clue.\You really don't?\She's the one who was called Louise the Zero.\After she was told that she\could save the world if she tried hard enough,\do you think she could not try? response:	I'm going to go talk to her.
context: to honor the Pope's request so quickly.\Sure, but I've got no clue.\You really don't?\She's the one who was called Louise the Zero.\After she was told that she\could save the world if she tried hard enough,\do you think she could not try?\I'm going to go talk to her. response:	Thanks, Siesta!
context: Sure, but I've got no clue.\You really don't?\She's the one who was called Louise the Zero.\After she was told that she\could save the world if she tried hard enough,\do you think she could not try?\I'm going to go talk to her.\Thanks, Siesta! response:	This is the only time I'm helping you, Miss Valliere.
context: You really don't?\She's the one who was called Louise the Zero.\After she was told that she\could save the world if she tried hard enough,\do you think she could not try?\I'm going to go talk to her.\Thanks, Siesta!\This is the only time I'm helping you, Miss Valliere. response:	The Mirror of our Founders, you're certain?
context: She's the one who was called Louise the Zero.\After she was told that she\could save the world if she tried hard enough,\do you think she could not try?\I'm going to go talk to her.\Thanks, Siesta!\This is the only time I'm helping you, Miss Valliere.\The Mirror of our Founders, you're certain? response:	Shall we take some other goodies, too?
context: After she was told that she\could save the world if she tried hard enough,\do you think she could not try?\I'm going to go talk to her.\Thanks, Siesta!\This is the only time I'm helping you, Miss Valliere.\The Mirror of our Founders, you're certain?\Shall we take some other goodies, too? response:	We could get some good money for these.
context: could save the world if she tried hard enough,\do you think she could not try?\I'm going to go talk to her.\Thanks, Siesta!\This is the only time I'm helping you, Miss Valliere.\The Mirror of our Founders, you're certain?\Shall we take some other goodies, too?\We could get some good money for these. response:	Don't touch anything but what we were ordered to get.
context: do you think she could not try?\I'm going to go talk to her.\Thanks, Siesta!\This is the only time I'm helping you, Miss Valliere.\The Mirror of our Founders, you're certain?\Shall we take some other goodies, too?\We could get some good money for these.\Don't touch anything but what we were ordered to get. response:	I knew you would say that.
context: I'm going to go talk to her.\Thanks, Siesta!\This is the only time I'm helping you, Miss Valliere.\The Mirror of our Founders, you're certain?\Shall we take some other goodies, too?\We could get some good money for these.\Don't touch anything but what we were ordered to get.\I knew you would say that. response:	I'm glad I followed them.
context: Thanks, Siesta!\This is the only time I'm helping you, Miss Valliere.\The Mirror of our Founders, you're certain?\Shall we take some other goodies, too?\We could get some good money for these.\Don't touch anything but what we were ordered to get.\I knew you would say that.\I'm glad I followed them. response:	Too bad Saito's not here.
context: This is the only time I'm helping you, Miss Valliere.\The Mirror of our Founders, you're certain?\Shall we take some other goodies, too?\We could get some good money for these.\Don't touch anything but what we were ordered to get.\I knew you would say that.\I'm glad I followed them.\Too bad Saito's not here. response:	But against these two, I'll be fine, even by myself.
context: The Mirror of our Founders, you're certain?\Shall we take some other goodies, too?\We could get some good money for these.\Don't touch anything but what we were ordered to get.\I knew you would say that.\I'm glad I followed them.\Too bad Saito's not here.\But against these two, I'll be fine, even by myself. response:	Who's there?!
context: Shall we take some other goodies, too?\We could get some good money for these.\Don't touch anything but what we were ordered to get.\I knew you would say that.\I'm glad I followed them.\Too bad Saito's not here.\But against these two, I'll be fine, even by myself.\Who's there?! response:	Help! Thief!
context: We could get some good money for these.\Don't touch anything but what we were ordered to get.\I knew you would say that.\I'm glad I followed them.\Too bad Saito's not here.\But against these two, I'll be fine, even by myself.\Who's there?!\Help! Thief! response:	Don't do anything stupid.
context: Don't touch anything but what we were ordered to get.\I knew you would say that.\I'm glad I followed them.\Too bad Saito's not here.\But against these two, I'll be fine, even by myself.\Who's there?!\Help! Thief!\Don't do anything stupid. response:	Brother, she's...
context: I knew you would say that.\I'm glad I followed them.\Too bad Saito's not here.\But against these two, I'll be fine, even by myself.\Who's there?!\Help! Thief!\Don't do anything stupid.\Brother, she's... response:	Someone, help!
context: I'm glad I followed them.\Too bad Saito's not here.\But against these two, I'll be fine, even by myself.\Who's there?!\Help! Thief!\Don't do anything stupid.\Brother, she's...\Someone, help! response:	Did I just hear something?
context: Too bad Saito's not here.\But against these two, I'll be fine, even by myself.\Who's there?!\Help! Thief!\Don't do anything stupid.\Brother, she's...\Someone, help!\Did I just hear something? response:	Someone!
context: But against these two, I'll be fine, even by myself.\Who's there?!\Help! Thief!\Don't do anything stupid.\Brother, she's...\Someone, help!\Did I just hear something?\Someone! response:	Louise?
context: Who's there?!\Help! Thief!\Don't do anything stupid.\Brother, she's...\Someone, help!\Did I just hear something?\Someone!\Louise? response:	Please, come here, Saito!
context: Help! Thief!\Don't do anything stupid.\Brother, she's...\Someone, help!\Did I just hear something?\Someone!\Louise?\Please, come here, Saito! response:	Let's get out of here.
context: Don't do anything stupid.\Brother, she's...\Someone, help!\Did I just hear something?\Someone!\Louise?\Please, come here, Saito!\Let's get out of here. response:	But...
context: Brother, she's...\Someone, help!\Did I just hear something?\Someone!\Louise?\Please, come here, Saito!\Let's get out of here.\But... response:	The mirror is enough for now.
context: Someone, help!\Did I just hear something?\Someone!\Louise?\Please, come here, Saito!\Let's get out of here.\But...\The mirror is enough for now. response:	Who are you?
context: Did I just hear something?\Someone!\Louise?\Please, come here, Saito!\Let's get out of here.\But...\The mirror is enough for now.\Who are you? response:	Saito, they're thieves!
context: Someone!\Louise?\Please, come here, Saito!\Let's get out of here.\But...\The mirror is enough for now.\Who are you?\Saito, they're thieves! response:	What did you do to her?!
context: Louise?\Please, come here, Saito!\Let's get out of here.\But...\The mirror is enough for now.\Who are you?\Saito, they're thieves!\What did you do to her?! response:	Relax.
context: Please, come here, Saito!\Let's get out of here.\But...\The mirror is enough for now.\Who are you?\Saito, they're thieves!\What did you do to her?!\Relax. response:	It's not what you think.
context: Let's get out of here.\But...\The mirror is enough for now.\Who are you?\Saito, they're thieves!\What did you do to her?!\Relax.\It's not what you think. response:	I'll deal with them.
context: But...\The mirror is enough for now.\Who are you?\Saito, they're thieves!\What did you do to her?!\Relax.\It's not what you think.\I'll deal with them. response:	You take that and run.
context: The mirror is enough for now.\Who are you?\Saito, they're thieves!\What did you do to her?!\Relax.\It's not what you think.\I'll deal with them.\You take that and run. response:	Damn it!
context: Who are you?\Saito, they're thieves!\What did you do to her?!\Relax.\It's not what you think.\I'll deal with them.\You take that and run.\Damn it! response:	You're always treating me like a kid!
context: Saito, they're thieves!\What did you do to her?!\Relax.\It's not what you think.\I'll deal with them.\You take that and run.\Damn it!\You're always treating me like a kid! response:	Stop!
context: What did you do to her?!\Relax.\It's not what you think.\I'll deal with them.\You take that and run.\Damn it!\You're always treating me like a kid!\Stop! response:	One's coming from above, partner!
context: Relax.\It's not what you think.\I'll deal with them.\You take that and run.\Damn it!\You're always treating me like a kid!\Stop!\One's coming from above, partner! response:	Hey, partner!
context: It's not what you think.\I'll deal with them.\You take that and run.\Damn it!\You're always treating me like a kid!\Stop!\One's coming from above, partner!\Hey, partner! response:	Looks like this guy's quite skilled.
context: I'll deal with them.\You take that and run.\Damn it!\You're always treating me like a kid!\Stop!\One's coming from above, partner!\Hey, partner!\Looks like this guy's quite skilled. response:	So what?! I don't care!
context: You take that and run.\Damn it!\You're always treating me like a kid!\Stop!\One's coming from above, partner!\Hey, partner!\Looks like this guy's quite skilled.\So what?! I don't care! response:	The Summon Servant is not such a difficult spell.
context: Damn it!\You're always treating me like a kid!\Stop!\One's coming from above, partner!\Hey, partner!\Looks like this guy's quite skilled.\So what?! I don't care!\The Summon Servant is not such a difficult spell. response:	Focus your spirit and then call
context: You're always treating me like a kid!\Stop!\One's coming from above, partner!\Hey, partner!\Looks like this guy's quite skilled.\So what?! I don't care!\The Summon Servant is not such a difficult spell.\Focus your spirit and then call response:	on your yet unseen familiar in your heart.
context: Stop!\One's coming from above, partner!\Hey, partner!\Looks like this guy's quite skilled.\So what?! I don't care!\The Summon Servant is not such a difficult spell.\Focus your spirit and then call\on your yet unseen familiar in your heart. response:	All right.
context: One's coming from above, partner!\Hey, partner!\Looks like this guy's quite skilled.\So what?! I don't care!\The Summon Servant is not such a difficult spell.\Focus your spirit and then call\on your yet unseen familiar in your heart.\All right. response:	My name is Tiffania Westwood.
context: Hey, partner!\Looks like this guy's quite skilled.\So what?! I don't care!\The Summon Servant is not such a difficult spell.\Focus your spirit and then call\on your yet unseen familiar in your heart.\All right.\My name is Tiffania Westwood. response:	Pentagon of the five powers,
context: Looks like this guy's quite skilled.\So what?! I don't care!\The Summon Servant is not such a difficult spell.\Focus your spirit and then call\on your yet unseen familiar in your heart.\All right.\My name is Tiffania Westwood.\Pentagon of the five powers, response:	obey my fate and summon my familiar!
context: So what?! I don't care!\The Summon Servant is not such a difficult spell.\Focus your spirit and then call\on your yet unseen familiar in your heart.\All right.\My name is Tiffania Westwood.\Pentagon of the five powers,\obey my fate and summon my familiar! response:	You're not bad.
context: The Summon Servant is not such a difficult spell.\Focus your spirit and then call\on your yet unseen familiar in your heart.\All right.\My name is Tiffania Westwood.\Pentagon of the five powers,\obey my fate and summon my familiar!\You're not bad. response:	However...
context: Focus your spirit and then call\on your yet unseen familiar in your heart.\All right.\My name is Tiffania Westwood.\Pentagon of the five powers,\obey my fate and summon my familiar!\You're not bad.\However... response:	Don't take this personally.
context: on your yet unseen familiar in your heart.\All right.\My name is Tiffania Westwood.\Pentagon of the five powers,\obey my fate and summon my familiar!\You're not bad.\However...\Don't take this personally. response:	Louise, now!
context: All right.\My name is Tiffania Westwood.\Pentagon of the five powers,\obey my fate and summon my familiar!\You're not bad.\However...\Don't take this personally.\Louise, now! response:	Huh?
context: My name is Tiffania Westwood.\Pentagon of the five powers,\obey my fate and summon my familiar!\You're not bad.\However...\Don't take this personally.\Louise, now!\Huh? response:	Explosion!
context: Pentagon of the five powers,\obey my fate and summon my familiar!\You're not bad.\However...\Don't take this personally.\Louise, now!\Huh?\Explosion! response:	The gate is...
context: obey my fate and summon my familiar!\You're not bad.\However...\Don't take this personally.\Louise, now!\Huh?\Explosion!\The gate is... response:	Levitation!
context: You're not bad.\However...\Don't take this personally.\Louise, now!\Huh?\Explosion!\The gate is...\Levitation! response:	Saito!
context: However...\Don't take this personally.\Louise, now!\Huh?\Explosion!\The gate is...\Levitation!\Saito! response:	Saito!
context: Don't take this personally.\Louise, now!\Huh?\Explosion!\The gate is...\Levitation!\Saito!\Saito! response:	Saito!
context: Louise, now!\Huh?\Explosion!\The gate is...\Levitation!\Saito!\Saito!\Saito! response:	Saito!
context: Huh?\Explosion!\The gate is...\Levitation!\Saito!\Saito!\Saito!\Saito! response:	Professor, thank you very much.
context: Explosion!\The gate is...\Levitation!\Saito!\Saito!\Saito!\Saito!\Professor, thank you very much. response:	It was no problem.
context: The gate is...\Levitation!\Saito!\Saito!\Saito!\Saito!\Professor, thank you very much.\It was no problem. response:	Louise,
context: Levitation!\Saito!\Saito!\Saito!\Saito!\Professor, thank you very much.\It was no problem.\Louise, response:	were you really planning to fight those guys all by yourself?
context: Saito!\Saito!\Saito!\Saito!\Professor, thank you very much.\It was no problem.\Louise,\were you really planning to fight those guys all by yourself? response:	It's your fault for leaving me alone like that.
context: Saito!\Saito!\Saito!\Professor, thank you very much.\It was no problem.\Louise,\were you really planning to fight those guys all by yourself?\It's your fault for leaving me alone like that. response:	You're the one who told me to get out.
context: Saito!\Saito!\Professor, thank you very much.\It was no problem.\Louise,\were you really planning to fight those guys all by yourself?\It's your fault for leaving me alone like that.\You're the one who told me to get out. response:	I was so scared!
context: Saito!\Professor, thank you very much.\It was no problem.\Louise,\were you really planning to fight those guys all by yourself?\It's your fault for leaving me alone like that.\You're the one who told me to get out.\I was so scared! response:	But I guess as a Void Mage, I am responsible for this world.
context: Professor, thank you very much.\It was no problem.\Louise,\were you really planning to fight those guys all by yourself?\It's your fault for leaving me alone like that.\You're the one who told me to get out.\I was so scared!\But I guess as a Void Mage, I am responsible for this world. response:	So I figured I'd have to try, even by myself.
context: It was no problem.\Louise,\were you really planning to fight those guys all by yourself?\It's your fault for leaving me alone like that.\You're the one who told me to get out.\I was so scared!\But I guess as a Void Mage, I am responsible for this world.\So I figured I'd have to try, even by myself. response:	Jeez, you're so stupid.
context: Louise,\were you really planning to fight those guys all by yourself?\It's your fault for leaving me alone like that.\You're the one who told me to get out.\I was so scared!\But I guess as a Void Mage, I am responsible for this world.\So I figured I'd have to try, even by myself.\Jeez, you're so stupid. response:	Who are you calling stupid?!
context: were you really planning to fight those guys all by yourself?\It's your fault for leaving me alone like that.\You're the one who told me to get out.\I was so scared!\But I guess as a Void Mage, I am responsible for this world.\So I figured I'd have to try, even by myself.\Jeez, you're so stupid.\Who are you calling stupid?! response:	Okay, maybe not stupid, just reckless.
context: It's your fault for leaving me alone like that.\You're the one who told me to get out.\I was so scared!\But I guess as a Void Mage, I am responsible for this world.\So I figured I'd have to try, even by myself.\Jeez, you're so stupid.\Who are you calling stupid?!\Okay, maybe not stupid, just reckless. response:	How dare you talk to your master like that?!
context: You're the one who told me to get out.\I was so scared!\But I guess as a Void Mage, I am responsible for this world.\So I figured I'd have to try, even by myself.\Jeez, you're so stupid.\Who are you calling stupid?!\Okay, maybe not stupid, just reckless.\How dare you talk to your master like that?! response:	You're right.
context: I was so scared!\But I guess as a Void Mage, I am responsible for this world.\So I figured I'd have to try, even by myself.\Jeez, you're so stupid.\Who are you calling stupid?!\Okay, maybe not stupid, just reckless.\How dare you talk to your master like that?!\You're right. response:	You're my master,
context: But I guess as a Void Mage, I am responsible for this world.\So I figured I'd have to try, even by myself.\Jeez, you're so stupid.\Who are you calling stupid?!\Okay, maybe not stupid, just reckless.\How dare you talk to your master like that?!\You're right.\You're my master, response:	so you need to take advantage of your familiar.
context: So I figured I'd have to try, even by myself.\Jeez, you're so stupid.\Who are you calling stupid?!\Okay, maybe not stupid, just reckless.\How dare you talk to your master like that?!\You're right.\You're my master,\so you need to take advantage of your familiar. response:	It's your duty to depend on me.
context: Jeez, you're so stupid.\Who are you calling stupid?!\Okay, maybe not stupid, just reckless.\How dare you talk to your master like that?!\You're right.\You're my master,\so you need to take advantage of your familiar.\It's your duty to depend on me. response:	The weight of the world
context: Who are you calling stupid?!\Okay, maybe not stupid, just reckless.\How dare you talk to your master like that?!\You're right.\You're my master,\so you need to take advantage of your familiar.\It's your duty to depend on me.\The weight of the world response:	might be a little lighter if it's shared between two people.
context: Okay, maybe not stupid, just reckless.\How dare you talk to your master like that?!\You're right.\You're my master,\so you need to take advantage of your familiar.\It's your duty to depend on me.\The weight of the world\might be a little lighter if it's shared between two people. response:	Saito...
context: How dare you talk to your master like that?!\You're right.\You're my master,\so you need to take advantage of your familiar.\It's your duty to depend on me.\The weight of the world\might be a little lighter if it's shared between two people.\Saito... response:	It's not what it looks like, Tiffa!
context: You're right.\You're my master,\so you need to take advantage of your familiar.\It's your duty to depend on me.\The weight of the world\might be a little lighter if it's shared between two people.\Saito...\It's not what it looks like, Tiffa! response:	This dog doesn't care who he gets it from when he's in heat!
context: You're my master,\so you need to take advantage of your familiar.\It's your duty to depend on me.\The weight of the world\might be a little lighter if it's shared between two people.\Saito...\It's not what it looks like, Tiffa!\This dog doesn't care who he gets it from when he's in heat! response:	Hey, you're the one who started it!
context: so you need to take advantage of your familiar.\It's your duty to depend on me.\The weight of the world\might be a little lighter if it's shared between two people.\Saito...\It's not what it looks like, Tiffa!\This dog doesn't care who he gets it from when he's in heat!\Hey, you're the one who started it! response:	What?! Are you going to say I asked for it?!
context: It's your duty to depend on me.\The weight of the world\might be a little lighter if it's shared between two people.\Saito...\It's not what it looks like, Tiffa!\This dog doesn't care who he gets it from when he's in heat!\Hey, you're the one who started it!\What?! Are you going to say I asked for it?! response:	You did!
context: The weight of the world\might be a little lighter if it's shared between two people.\Saito...\It's not what it looks like, Tiffa!\This dog doesn't care who he gets it from when he's in heat!\Hey, you're the one who started it!\What?! Are you going to say I asked for it?!\You did! response:	You're the one who closed your eyes and made the kissy lips!
context: might be a little lighter if it's shared between two people.\Saito...\It's not what it looks like, Tiffa!\This dog doesn't care who he gets it from when he's in heat!\Hey, you're the one who started it!\What?! Are you going to say I asked for it?!\You did!\You're the one who closed your eyes and made the kissy lips! response:	I most certainly did not!
context: Saito...\It's not what it looks like, Tiffa!\This dog doesn't care who he gets it from when he's in heat!\Hey, you're the one who started it!\What?! Are you going to say I asked for it?!\You did!\You're the one who closed your eyes and made the kissy lips!\I most certainly did not! response:	Yes, you did!
context: It's not what it looks like, Tiffa!\This dog doesn't care who he gets it from when he's in heat!\Hey, you're the one who started it!\What?! Are you going to say I asked for it?!\You did!\You're the one who closed your eyes and made the kissy lips!\I most certainly did not!\Yes, you did! response:	Did not!
context: This dog doesn't care who he gets it from when he's in heat!\Hey, you're the one who started it!\What?! Are you going to say I asked for it?!\You did!\You're the one who closed your eyes and made the kissy lips!\I most certainly did not!\Yes, you did!\Did not! response:	Did too!
context: Hey, you're the one who started it!\What?! Are you going to say I asked for it?!\You did!\You're the one who closed your eyes and made the kissy lips!\I most certainly did not!\Yes, you did!\Did not!\Did too! response:	Yesterday, I could've sworn
context: What?! Are you going to say I asked for it?!\You did!\You're the one who closed your eyes and made the kissy lips!\I most certainly did not!\Yes, you did!\Did not!\Did too!\Yesterday, I could've sworn response:	I saw Saito disappear into that portal,
context: You did!\You're the one who closed your eyes and made the kissy lips!\I most certainly did not!\Yes, you did!\Did not!\Did too!\Yesterday, I could've sworn\I saw Saito disappear into that portal, response:	but I must have imagined it.
context: You're the one who closed your eyes and made the kissy lips!\I most certainly did not!\Yes, you did!\Did not!\Did too!\Yesterday, I could've sworn\I saw Saito disappear into that portal,\but I must have imagined it. response:	Did too!
context: I most certainly did not!\Yes, you did!\Did not!\Did too!\Yesterday, I could've sworn\I saw Saito disappear into that portal,\but I must have imagined it.\Did too! response:	Did not!
context: Yes, you did!\Did not!\Did too!\Yesterday, I could've sworn\I saw Saito disappear into that portal,\but I must have imagined it.\Did too!\Did not! response:	Whenever I see him, though, my heart starts beating so fast!
context: Did not!\Did too!\Yesterday, I could've sworn\I saw Saito disappear into that portal,\but I must have imagined it.\Did too!\Did not!\Whenever I see him, though, my heart starts beating so fast! response:	Why?
context: Did too!\Yesterday, I could've sworn\I saw Saito disappear into that portal,\but I must have imagined it.\Did too!\Did not!\Whenever I see him, though, my heart starts beating so fast!\Why? response:	I'm telling you, I was not asking you to do that!
context: Yesterday, I could've sworn\I saw Saito disappear into that portal,\but I must have imagined it.\Did too!\Did not!\Whenever I see him, though, my heart starts beating so fast!\Why?\I'm telling you, I was not asking you to do that! response:	I've got to work hard as the Pope's shrine maiden!
context: I saw Saito disappear into that portal,\but I must have imagined it.\Did too!\Did not!\Whenever I see him, though, my heart starts beating so fast!\Why?\I'm telling you, I was not asking you to do that!\I've got to work hard as the Pope's shrine maiden! response:	But I guess I could grant Saito a little time alone with me before then.
context: but I must have imagined it.\Did too!\Did not!\Whenever I see him, though, my heart starts beating so fast!\Why?\I'm telling you, I was not asking you to do that!\I've got to work hard as the Pope's shrine maiden!\But I guess I could grant Saito a little time alone with me before then. response:	Next episode: Aquileia's Shrine Maiden.
context: Did too!\Did not!\Whenever I see him, though, my heart starts beating so fast!\Why?\I'm telling you, I was not asking you to do that!\I've got to work hard as the Pope's shrine maiden!\But I guess I could grant Saito a little time alone with me before then.\Next episode: Aquileia's Shrine Maiden. response:	Aquileia's Shrine Maiden
context: Did not!\Whenever I see him, though, my heart starts beating so fast!\Why?\I'm telling you, I was not asking you to do that!\I've got to work hard as the Pope's shrine maiden!\But I guess I could grant Saito a little time alone with me before then.\Next episode: Aquileia's Shrine Maiden.\Aquileia's Shrine Maiden response:	Wait, who or what is Lemon?
