context: Two months passed since we started our second year of high school. response:	Now that we had become
context: I'd rather hear how far you've gotten, Togashi.\How far I've gotten with what?\You know. With Takanashi.\Like we really need to ask.\You started going out during last year's Culture Festival.\How do you know that?\Yuta!\Rikka! response:	Stop that!
context: How far I've gotten with what?\You know. With Takanashi.\Like we really need to ask.\You started going out during last year's Culture Festival.\How do you know that?\Yuta!\Rikka!\Stop that! response:	A month later comes the kiss.
context: You know. With Takanashi.\Like we really need to ask.\You started going out during last year's Culture Festival.\How do you know that?\Yuta!\Rikka!\Stop that!\A month later comes the kiss. response:	And then a few dates.
context: Like we really need to ask.\You started going out during last year's Culture Festival.\How do you know that?\Yuta!\Rikka!\Stop that!\A month later comes the kiss.\And then a few dates. response:	And then you spend Christmas Eve together.
context: You started going out during last year's Culture Festival.\How do you know that?\Yuta!\Rikka!\Stop that!\A month later comes the kiss.\And then a few dates.\And then you spend Christmas Eve together. response:	Die, fruitful offline life! Shatter into a billion pieces!
context: How do you know that?\Yuta!\Rikka!\Stop that!\A month later comes the kiss.\And then a few dates.\And then you spend Christmas Eve together.\Die, fruitful offline life! Shatter into a billion pieces! response:	You're wrong! Don't reshape my love life!
context: Yuta!\Rikka!\Stop that!\A month later comes the kiss.\And then a few dates.\And then you spend Christmas Eve together.\Die, fruitful offline life! Shatter into a billion pieces!\You're wrong! Don't reshape my love life! response:	Then when did you do it?
context: Rikka!\Stop that!\A month later comes the kiss.\And then a few dates.\And then you spend Christmas Eve together.\Die, fruitful offline life! Shatter into a billion pieces!\You're wrong! Don't reshape my love life!\Then when did you do it? response:	Uh, no. Like I'm saying.
context: Stop that!\A month later comes the kiss.\And then a few dates.\And then you spend Christmas Eve together.\Die, fruitful offline life! Shatter into a billion pieces!\You're wrong! Don't reshape my love life!\Then when did you do it?\Uh, no. Like I'm saying. response:	W-we haven't yet.
context: A month later comes the kiss.\And then a few dates.\And then you spend Christmas Eve together.\Die, fruitful offline life! Shatter into a billion pieces!\You're wrong! Don't reshape my love life!\Then when did you do it?\Uh, no. Like I'm saying.\W-we haven't yet. response:	What?!
context: And then a few dates.\And then you spend Christmas Eve together.\Die, fruitful offline life! Shatter into a billion pieces!\You're wrong! Don't reshape my love life!\Then when did you do it?\Uh, no. Like I'm saying.\W-we haven't yet.\What?! response:	Yeah, right.
context: And then you spend Christmas Eve together.\Die, fruitful offline life! Shatter into a billion pieces!\You're wrong! Don't reshape my love life!\Then when did you do it?\Uh, no. Like I'm saying.\W-we haven't yet.\What?!\Yeah, right. response:	That's impossible. You're a healthy, hot-blooded high school student!
context: Die, fruitful offline life! Shatter into a billion pieces!\You're wrong! Don't reshape my love life!\Then when did you do it?\Uh, no. Like I'm saying.\W-we haven't yet.\What?!\Yeah, right.\That's impossible. You're a healthy, hot-blooded high school student! response:	Suffer in writhing agony and vanish, fruitful offline life!
context: You're wrong! Don't reshape my love life!\Then when did you do it?\Uh, no. Like I'm saying.\W-we haven't yet.\What?!\Yeah, right.\That's impossible. You're a healthy, hot-blooded high school student!\Suffer in writhing agony and vanish, fruitful offline life! response:	It's true!
context: Then when did you do it?\Uh, no. Like I'm saying.\W-we haven't yet.\What?!\Yeah, right.\That's impossible. You're a healthy, hot-blooded high school student!\Suffer in writhing agony and vanish, fruitful offline life!\It's true! response:	I gotta wonder why you feel the need to lie at a time like this.
context: Uh, no. Like I'm saying.\W-we haven't yet.\What?!\Yeah, right.\That's impossible. You're a healthy, hot-blooded high school student!\Suffer in writhing agony and vanish, fruitful offline life!\It's true!\I gotta wonder why you feel the need to lie at a time like this. response:	I'm telling you, I'm not lying!
context: W-we haven't yet.\What?!\Yeah, right.\That's impossible. You're a healthy, hot-blooded high school student!\Suffer in writhing agony and vanish, fruitful offline life!\It's true!\I gotta wonder why you feel the need to lie at a time like this.\I'm telling you, I'm not lying! response:	All right, then bring Takanashi here.
context: What?!\Yeah, right.\That's impossible. You're a healthy, hot-blooded high school student!\Suffer in writhing agony and vanish, fruitful offline life!\It's true!\I gotta wonder why you feel the need to lie at a time like this.\I'm telling you, I'm not lying!\All right, then bring Takanashi here. response:	How could I... do that?
context: Yeah, right.\That's impossible. You're a healthy, hot-blooded high school student!\Suffer in writhing agony and vanish, fruitful offline life!\It's true!\I gotta wonder why you feel the need to lie at a time like this.\I'm telling you, I'm not lying!\All right, then bring Takanashi here.\How could I... do that? response:	The teachers are patrolling the halls.
context: That's impossible. You're a healthy, hot-blooded high school student!\Suffer in writhing agony and vanish, fruitful offline life!\It's true!\I gotta wonder why you feel the need to lie at a time like this.\I'm telling you, I'm not lying!\All right, then bring Takanashi here.\How could I... do that?\The teachers are patrolling the halls. response:	There! I just saw a strange light in the window!
context: Suffer in writhing agony and vanish, fruitful offline life!\It's true!\I gotta wonder why you feel the need to lie at a time like this.\I'm telling you, I'm not lying!\All right, then bring Takanashi here.\How could I... do that?\The teachers are patrolling the halls.\There! I just saw a strange light in the window! response:	What?
context: It's true!\I gotta wonder why you feel the need to lie at a time like this.\I'm telling you, I'm not lying!\All right, then bring Takanashi here.\How could I... do that?\The teachers are patrolling the halls.\There! I just saw a strange light in the window!\What? response:	I thought I just heard a woman moaning.
context: I gotta wonder why you feel the need to lie at a time like this.\I'm telling you, I'm not lying!\All right, then bring Takanashi here.\How could I... do that?\The teachers are patrolling the halls.\There! I just saw a strange light in the window!\What?\I thought I just heard a woman moaning. response:	S-stop that.
context: I'm telling you, I'm not lying!\All right, then bring Takanashi here.\How could I... do that?\The teachers are patrolling the halls.\There! I just saw a strange light in the window!\What?\I thought I just heard a woman moaning.\S-stop that. response:	Rest in peace, rest in peace, rest in peace.
context: All right, then bring Takanashi here.\How could I... do that?\The teachers are patrolling the halls.\There! I just saw a strange light in the window!\What?\I thought I just heard a woman moaning.\S-stop that.\Rest in peace, rest in peace, rest in peace. response:	I'll go have a look.
context: How could I... do that?\The teachers are patrolling the halls.\There! I just saw a strange light in the window!\What?\I thought I just heard a woman moaning.\S-stop that.\Rest in peace, rest in peace, rest in peace.\I'll go have a look. response:	What're you doing? What if someone saw you?!
context: The teachers are patrolling the halls.\There! I just saw a strange light in the window!\What?\I thought I just heard a woman moaning.\S-stop that.\Rest in peace, rest in peace, rest in peace.\I'll go have a look.\What're you doing? What if someone saw you?! response:	It's fine. My dark exorcizing defensive application...
context: There! I just saw a strange light in the window!\What?\I thought I just heard a woman moaning.\S-stop that.\Rest in peace, rest in peace, rest in peace.\I'll go have a look.\What're you doing? What if someone saw you?!\It's fine. My dark exorcizing defensive application... response:	renders me visually unrecognizable to commoners.
context: What?\I thought I just heard a woman moaning.\S-stop that.\Rest in peace, rest in peace, rest in peace.\I'll go have a look.\What're you doing? What if someone saw you?!\It's fine. My dark exorcizing defensive application...\renders me visually unrecognizable to commoners. response:	See anything?
context: I thought I just heard a woman moaning.\S-stop that.\Rest in peace, rest in peace, rest in peace.\I'll go have a look.\What're you doing? What if someone saw you?!\It's fine. My dark exorcizing defensive application...\renders me visually unrecognizable to commoners.\See anything? response:	Uh, nothing worth mentioning.
context: S-stop that.\Rest in peace, rest in peace, rest in peace.\I'll go have a look.\What're you doing? What if someone saw you?!\It's fine. My dark exorcizing defensive application...\renders me visually unrecognizable to commoners.\See anything?\Uh, nothing worth mentioning. response:	So I was seeing things.
context: Rest in peace, rest in peace, rest in peace.\I'll go have a look.\What're you doing? What if someone saw you?!\It's fine. My dark exorcizing defensive application...\renders me visually unrecognizable to commoners.\See anything?\Uh, nothing worth mentioning.\So I was seeing things. response:	Master, why don't you answer?
context: I'll go have a look.\What're you doing? What if someone saw you?!\It's fine. My dark exorcizing defensive application...\renders me visually unrecognizable to commoners.\See anything?\Uh, nothing worth mentioning.\So I was seeing things.\Master, why don't you answer? response:	She'll be asleep by now.
context: What're you doing? What if someone saw you?!\It's fine. My dark exorcizing defensive application...\renders me visually unrecognizable to commoners.\See anything?\Uh, nothing worth mentioning.\So I was seeing things.\Master, why don't you answer?\She'll be asleep by now. response:	Maybe she's with Dark Flame Master at this moment.
context: It's fine. My dark exorcizing defensive application...\renders me visually unrecognizable to commoners.\See anything?\Uh, nothing worth mentioning.\So I was seeing things.\Master, why don't you answer?\She'll be asleep by now.\Maybe she's with Dark Flame Master at this moment. response:	Don't worry. I doubt they're up to anything.
context: renders me visually unrecognizable to commoners.\See anything?\Uh, nothing worth mentioning.\So I was seeing things.\Master, why don't you answer?\She'll be asleep by now.\Maybe she's with Dark Flame Master at this moment.\Don't worry. I doubt they're up to anything. response:	Hey, isn't that a girl's bag?
context: See anything?\Uh, nothing worth mentioning.\So I was seeing things.\Master, why don't you answer?\She'll be asleep by now.\Maybe she's with Dark Flame Master at this moment.\Don't worry. I doubt they're up to anything.\Hey, isn't that a girl's bag? response:	Still awake in there?
context: Uh, nothing worth mentioning.\So I was seeing things.\Master, why don't you answer?\She'll be asleep by now.\Maybe she's with Dark Flame Master at this moment.\Don't worry. I doubt they're up to anything.\Hey, isn't that a girl's bag?\Still awake in there? response:	Oh, crap! It's the teacher!
context: So I was seeing things.\Master, why don't you answer?\She'll be asleep by now.\Maybe she's with Dark Flame Master at this moment.\Don't worry. I doubt they're up to anything.\Hey, isn't that a girl's bag?\Still awake in there?\Oh, crap! It's the teacher! response:	Anyone still awake?
context: Master, why don't you answer?\She'll be asleep by now.\Maybe she's with Dark Flame Master at this moment.\Don't worry. I doubt they're up to anything.\Hey, isn't that a girl's bag?\Still awake in there?\Oh, crap! It's the teacher!\Anyone still awake? response:	Sensei, can you please come here?
context: She'll be asleep by now.\Maybe she's with Dark Flame Master at this moment.\Don't worry. I doubt they're up to anything.\Hey, isn't that a girl's bag?\Still awake in there?\Oh, crap! It's the teacher!\Anyone still awake?\Sensei, can you please come here? response:	What is it?
context: Maybe she's with Dark Flame Master at this moment.\Don't worry. I doubt they're up to anything.\Hey, isn't that a girl's bag?\Still awake in there?\Oh, crap! It's the teacher!\Anyone still awake?\Sensei, can you please come here?\What is it? response:	I'm sorry, but I hear strange voices from over there.
context: Don't worry. I doubt they're up to anything.\Hey, isn't that a girl's bag?\Still awake in there?\Oh, crap! It's the teacher!\Anyone still awake?\Sensei, can you please come here?\What is it?\I'm sorry, but I hear strange voices from over there. response:	Show me.
context: Hey, isn't that a girl's bag?\Still awake in there?\Oh, crap! It's the teacher!\Anyone still awake?\Sensei, can you please come here?\What is it?\I'm sorry, but I hear strange voices from over there.\Show me. response:	We'd better go while you can.
context: Still awake in there?\Oh, crap! It's the teacher!\Anyone still awake?\Sensei, can you please come here?\What is it?\I'm sorry, but I hear strange voices from over there.\Show me.\We'd better go while you can. response:	I'm sure I heard strange voices.
context: Oh, crap! It's the teacher!\Anyone still awake?\Sensei, can you please come here?\What is it?\I'm sorry, but I hear strange voices from over there.\Show me.\We'd better go while you can.\I'm sure I heard strange voices. response:	Really? There's nobody there.
context: Anyone still awake?\Sensei, can you please come here?\What is it?\I'm sorry, but I hear strange voices from over there.\Show me.\We'd better go while you can.\I'm sure I heard strange voices.\Really? There's nobody there. response:	I think they came from further inside.
context: Sensei, can you please come here?\What is it?\I'm sorry, but I hear strange voices from over there.\Show me.\We'd better go while you can.\I'm sure I heard strange voices.\Really? There's nobody there.\I think they came from further inside. response:	Go back to your room. You could be sent home early if you're spotted.
context: What is it?\I'm sorry, but I hear strange voices from over there.\Show me.\We'd better go while you can.\I'm sure I heard strange voices.\Really? There's nobody there.\I think they came from further inside.\Go back to your room. You could be sent home early if you're spotted. response:	Yeah.
context: I'm sorry, but I hear strange voices from over there.\Show me.\We'd better go while you can.\I'm sure I heard strange voices.\Really? There's nobody there.\I think they came from further inside.\Go back to your room. You could be sent home early if you're spotted.\Yeah. response:	Yuta.
context: Show me.\We'd better go while you can.\I'm sure I heard strange voices.\Really? There's nobody there.\I think they came from further inside.\Go back to your room. You could be sent home early if you're spotted.\Yeah.\Yuta. response:	What is it?
context: We'd better go while you can.\I'm sure I heard strange voices.\Really? There's nobody there.\I think they came from further inside.\Go back to your room. You could be sent home early if you're spotted.\Yeah.\Yuta.\What is it? response:	There was a barrier between us.
context: I'm sure I heard strange voices.\Really? There's nobody there.\I think they came from further inside.\Go back to your room. You could be sent home early if you're spotted.\Yeah.\Yuta.\What is it?\There was a barrier between us. response:	I think it was the dark followers' doing.
context: Really? There's nobody there.\I think they came from further inside.\Go back to your room. You could be sent home early if you're spotted.\Yeah.\Yuta.\What is it?\There was a barrier between us.\I think it was the dark followers' doing. response:	A barrier that prevented me from approaching you.
context: I think they came from further inside.\Go back to your room. You could be sent home early if you're spotted.\Yeah.\Yuta.\What is it?\There was a barrier between us.\I think it was the dark followers' doing.\A barrier that prevented me from approaching you. response:	It was a form of psychological attack.
context: Go back to your room. You could be sent home early if you're spotted.\Yeah.\Yuta.\What is it?\There was a barrier between us.\I think it was the dark followers' doing.\A barrier that prevented me from approaching you.\It was a form of psychological attack. response:	But I think I'm all right now.
context: Yeah.\Yuta.\What is it?\There was a barrier between us.\I think it was the dark followers' doing.\A barrier that prevented me from approaching you.\It was a form of psychological attack.\But I think I'm all right now. response:	I know.
context: Yuta.\What is it?\There was a barrier between us.\I think it was the dark followers' doing.\A barrier that prevented me from approaching you.\It was a form of psychological attack.\But I think I'm all right now.\I know. response:	I wasn't running from you.
context: What is it?\There was a barrier between us.\I think it was the dark followers' doing.\A barrier that prevented me from approaching you.\It was a form of psychological attack.\But I think I'm all right now.\I know.\I wasn't running from you. response:	And I wasn't avoiding you.
context: There was a barrier between us.\I think it was the dark followers' doing.\A barrier that prevented me from approaching you.\It was a form of psychological attack.\But I think I'm all right now.\I know.\I wasn't running from you.\And I wasn't avoiding you. response:	I get it.
context: I think it was the dark followers' doing.\A barrier that prevented me from approaching you.\It was a form of psychological attack.\But I think I'm all right now.\I know.\I wasn't running from you.\And I wasn't avoiding you.\I get it. response:	You're trying to say you're too shy.
context: A barrier that prevented me from approaching you.\It was a form of psychological attack.\But I think I'm all right now.\I know.\I wasn't running from you.\And I wasn't avoiding you.\I get it.\You're trying to say you're too shy. response:	I am too.
context: It was a form of psychological attack.\But I think I'm all right now.\I know.\I wasn't running from you.\And I wasn't avoiding you.\I get it.\You're trying to say you're too shy.\I am too. response:	When we have free time tomorrow, do you wanna look around together?
context: But I think I'm all right now.\I know.\I wasn't running from you.\And I wasn't avoiding you.\I get it.\You're trying to say you're too shy.\I am too.\When we have free time tomorrow, do you wanna look around together? response:	Just the two of us.
context: I know.\I wasn't running from you.\And I wasn't avoiding you.\I get it.\You're trying to say you're too shy.\I am too.\When we have free time tomorrow, do you wanna look around together?\Just the two of us. response:	Yeah.
context: I wasn't running from you.\And I wasn't avoiding you.\I get it.\You're trying to say you're too shy.\I am too.\When we have free time tomorrow, do you wanna look around together?\Just the two of us.\Yeah. response:	Later, Rikka.
context: And I wasn't avoiding you.\I get it.\You're trying to say you're too shy.\I am too.\When we have free time tomorrow, do you wanna look around together?\Just the two of us.\Yeah.\Later, Rikka. response:	Yeah.
context: I get it.\You're trying to say you're too shy.\I am too.\When we have free time tomorrow, do you wanna look around together?\Just the two of us.\Yeah.\Later, Rikka.\Yeah. response:	Yuta!
context: You're trying to say you're too shy.\I am too.\When we have free time tomorrow, do you wanna look around together?\Just the two of us.\Yeah.\Later, Rikka.\Yeah.\Yuta! response:	Is it love, or is it something greater?
context: I am too.\When we have free time tomorrow, do you wanna look around together?\Just the two of us.\Yeah.\Later, Rikka.\Yeah.\Yuta!\Is it love, or is it something greater? response:	I don't know what it is yet, but I had the feeling...
context: When we have free time tomorrow, do you wanna look around together?\Just the two of us.\Yeah.\Later, Rikka.\Yeah.\Yuta!\Is it love, or is it something greater?\I don't know what it is yet, but I had the feeling... response:	I can't sleep.
context: Just the two of us.\Yeah.\Later, Rikka.\Yeah.\Yuta!\Is it love, or is it something greater?\I don't know what it is yet, but I had the feeling...\I can't sleep. response:	Rikka and I greeted the new day.
context: Yeah.\Later, Rikka.\Yeah.\Yuta!\Is it love, or is it something greater?\I don't know what it is yet, but I had the feeling...\I can't sleep.\Rikka and I greeted the new day. response:	Hey, where's Takanashi?
context: Later, Rikka.\Yeah.\Yuta!\Is it love, or is it something greater?\I don't know what it is yet, but I had the feeling...\I can't sleep.\Rikka and I greeted the new day.\Hey, where's Takanashi? response:	She said she'll be doing her own thing.
context: Yeah.\Yuta!\Is it love, or is it something greater?\I don't know what it is yet, but I had the feeling...\I can't sleep.\Rikka and I greeted the new day.\Hey, where's Takanashi?\She said she'll be doing her own thing. response:	What're you doing?
context: Yuta!\Is it love, or is it something greater?\I don't know what it is yet, but I had the feeling...\I can't sleep.\Rikka and I greeted the new day.\Hey, where's Takanashi?\She said she'll be doing her own thing.\What're you doing? response:	Lend me your power. We need to contain it.
context: Is it love, or is it something greater?\I don't know what it is yet, but I had the feeling...\I can't sleep.\Rikka and I greeted the new day.\Hey, where's Takanashi?\She said she'll be doing her own thing.\What're you doing?\Lend me your power. We need to contain it. response:	What, that?
context: I don't know what it is yet, but I had the feeling...\I can't sleep.\Rikka and I greeted the new day.\Hey, where's Takanashi?\She said she'll be doing her own thing.\What're you doing?\Lend me your power. We need to contain it.\What, that? response:	Yes.
context: I can't sleep.\Rikka and I greeted the new day.\Hey, where's Takanashi?\She said she'll be doing her own thing.\What're you doing?\Lend me your power. We need to contain it.\What, that?\Yes. response:	Begin!
context: Rikka and I greeted the new day.\Hey, where's Takanashi?\She said she'll be doing her own thing.\What're you doing?\Lend me your power. We need to contain it.\What, that?\Yes.\Begin! response:	Our day alone together begins!
context: Hey, where's Takanashi?\She said she'll be doing her own thing.\What're you doing?\Lend me your power. We need to contain it.\What, that?\Yes.\Begin!\Our day alone together begins! response:	To be Continued
