context: I asked you to go get the corruption for me, didn't I? response:	You have that much trouble with a simple errand?
context: I don't really know.\He looks like a kid, but I see all kinds of things overlapping.\He's, like, blurry.\He has this...\What's wrong?\What are you\Renfred's puppy is so poorly trained.\She spilled everything. response:	You!
context: He looks like a kid, but I see all kinds of things overlapping.\He's, like, blurry.\He has this...\What's wrong?\What are you\Renfred's puppy is so poorly trained.\She spilled everything.\You! response:	Huh?
context: He's, like, blurry.\He has this...\What's wrong?\What are you\Renfred's puppy is so poorly trained.\She spilled everything.\You!\Huh? response:	Did I get the wrong one?
context: He has this...\What's wrong?\What are you\Renfred's puppy is so poorly trained.\She spilled everything.\You!\Huh?\Did I get the wrong one? response:	Oh well, what does it matter?
context: What's wrong?\What are you\Renfred's puppy is so poorly trained.\She spilled everything.\You!\Huh?\Did I get the wrong one?\Oh well, what does it matter? response:	That girl's just a guinea pig, isn't she?
context: What are you\Renfred's puppy is so poorly trained.\She spilled everything.\You!\Huh?\Did I get the wrong one?\Oh well, what does it matter?\That girl's just a guinea pig, isn't she? response:	There's no way you'd become attached to a human.
context: Renfred's puppy is so poorly trained.\She spilled everything.\You!\Huh?\Did I get the wrong one?\Oh well, what does it matter?\That girl's just a guinea pig, isn't she?\There's no way you'd become attached to a human. response:	Right, Pilum Murialis?
context: She spilled everything.\You!\Huh?\Did I get the wrong one?\Oh well, what does it matter?\That girl's just a guinea pig, isn't she?\There's no way you'd become attached to a human.\Right, Pilum Murialis? response:	Master said he's a mage from a fantasy story.
context: You!\Huh?\Did I get the wrong one?\Oh well, what does it matter?\That girl's just a guinea pig, isn't she?\There's no way you'd become attached to a human.\Right, Pilum Murialis?\Master said he's a mage from a fantasy story. response:	At times, he lends a hand, and at times, he shows his fangs.
context: Huh?\Did I get the wrong one?\Oh well, what does it matter?\That girl's just a guinea pig, isn't she?\There's no way you'd become attached to a human.\Right, Pilum Murialis?\Master said he's a mage from a fantasy story.\At times, he lends a hand, and at times, he shows his fangs. response:	Something incomplete that tries to pretend to be human, he said.
context: Did I get the wrong one?\Oh well, what does it matter?\That girl's just a guinea pig, isn't she?\There's no way you'd become attached to a human.\Right, Pilum Murialis?\Master said he's a mage from a fantasy story.\At times, he lends a hand, and at times, he shows his fangs.\Something incomplete that tries to pretend to be human, he said. response:	No.
context: Oh well, what does it matter?\That girl's just a guinea pig, isn't she?\There's no way you'd become attached to a human.\Right, Pilum Murialis?\Master said he's a mage from a fantasy story.\At times, he lends a hand, and at times, he shows his fangs.\Something incomplete that tries to pretend to be human, he said.\No. response:	He's not that half-assed.
context: That girl's just a guinea pig, isn't she?\There's no way you'd become attached to a human.\Right, Pilum Murialis?\Master said he's a mage from a fantasy story.\At times, he lends a hand, and at times, he shows his fangs.\Something incomplete that tries to pretend to be human, he said.\No.\He's not that half-assed. response:	This thing could never become human.
context: There's no way you'd become attached to a human.\Right, Pilum Murialis?\Master said he's a mage from a fantasy story.\At times, he lends a hand, and at times, he shows his fangs.\Something incomplete that tries to pretend to be human, he said.\No.\He's not that half-assed.\This thing could never become human. response:	The mage becomes a monster.
context: Right, Pilum Murialis?\Master said he's a mage from a fantasy story.\At times, he lends a hand, and at times, he shows his fangs.\Something incomplete that tries to pretend to be human, he said.\No.\He's not that half-assed.\This thing could never become human.\The mage becomes a monster. response:	Having lost himself to rage, he shows his beastly instincts.
context: Master said he's a mage from a fantasy story.\At times, he lends a hand, and at times, he shows his fangs.\Something incomplete that tries to pretend to be human, he said.\No.\He's not that half-assed.\This thing could never become human.\The mage becomes a monster.\Having lost himself to rage, he shows his beastly instincts. response:	The wounded girl comes to a decision.
context: At times, he lends a hand, and at times, he shows his fangs.\Something incomplete that tries to pretend to be human, he said.\No.\He's not that half-assed.\This thing could never become human.\The mage becomes a monster.\Having lost himself to rage, he shows his beastly instincts.\The wounded girl comes to a decision. response:	Elias!
