context: What? response:	Mesto Meadrich lost his Crest and his territories, you say?
context: Hoo-haw!\Just as I thought, it didn't work on him.\Damn you!\You seem pretty winded, little Siluca.\Right back at you. Your strikes are becoming more labored.\Right, then I'll end this now.\Siluca!\Lord Theo! response:	What are you doing here?
context: Just as I thought, it didn't work on him.\Damn you!\You seem pretty winded, little Siluca.\Right back at you. Your strikes are becoming more labored.\Right, then I'll end this now.\Siluca!\Lord Theo!\What are you doing here? response:	This may be my first battlefield, but even I can tell which side is losing.
context: Damn you!\You seem pretty winded, little Siluca.\Right back at you. Your strikes are becoming more labored.\Right, then I'll end this now.\Siluca!\Lord Theo!\What are you doing here?\This may be my first battlefield, but even I can tell which side is losing. response:	I should've made my move sooner.
context: You seem pretty winded, little Siluca.\Right back at you. Your strikes are becoming more labored.\Right, then I'll end this now.\Siluca!\Lord Theo!\What are you doing here?\This may be my first battlefield, but even I can tell which side is losing.\I should've made my move sooner. response:	After all, as your Lord, this is my battle.
context: Right back at you. Your strikes are becoming more labored.\Right, then I'll end this now.\Siluca!\Lord Theo!\What are you doing here?\This may be my first battlefield, but even I can tell which side is losing.\I should've made my move sooner.\After all, as your Lord, this is my battle. response:	Right...
context: Right, then I'll end this now.\Siluca!\Lord Theo!\What are you doing here?\This may be my first battlefield, but even I can tell which side is losing.\I should've made my move sooner.\After all, as your Lord, this is my battle.\Right... response:	I'm your opponent!
context: Siluca!\Lord Theo!\What are you doing here?\This may be my first battlefield, but even I can tell which side is losing.\I should've made my move sooner.\After all, as your Lord, this is my battle.\Right...\I'm your opponent! response:	Fine by me.
context: Lord Theo!\What are you doing here?\This may be my first battlefield, but even I can tell which side is losing.\I should've made my move sooner.\After all, as your Lord, this is my battle.\Right...\I'm your opponent!\Fine by me. response:	So I guess you have no intention of surrendering?
context: What are you doing here?\This may be my first battlefield, but even I can tell which side is losing.\I should've made my move sooner.\After all, as your Lord, this is my battle.\Right...\I'm your opponent!\Fine by me.\So I guess you have no intention of surrendering? response:	You actually think you can beat me with these skills?
context: This may be my first battlefield, but even I can tell which side is losing.\I should've made my move sooner.\After all, as your Lord, this is my battle.\Right...\I'm your opponent!\Fine by me.\So I guess you have no intention of surrendering?\You actually think you can beat me with these skills? response:	Sure I can!
context: I should've made my move sooner.\After all, as your Lord, this is my battle.\Right...\I'm your opponent!\Fine by me.\So I guess you have no intention of surrendering?\You actually think you can beat me with these skills?\Sure I can! response:	You're out of breath!
context: After all, as your Lord, this is my battle.\Right...\I'm your opponent!\Fine by me.\So I guess you have no intention of surrendering?\You actually think you can beat me with these skills?\Sure I can!\You're out of breath! response:	And you're beginning to stumble!
context: Right...\I'm your opponent!\Fine by me.\So I guess you have no intention of surrendering?\You actually think you can beat me with these skills?\Sure I can!\You're out of breath!\And you're beginning to stumble! response:	Not now... I can't...
context: I'm your opponent!\Fine by me.\So I guess you have no intention of surrendering?\You actually think you can beat me with these skills?\Sure I can!\You're out of breath!\And you're beginning to stumble!\Not now... I can't... response:	Why don't you attack, damn it?
context: Fine by me.\So I guess you have no intention of surrendering?\You actually think you can beat me with these skills?\Sure I can!\You're out of breath!\And you're beginning to stumble!\Not now... I can't...\Why don't you attack, damn it? response:	Because I haven't found any openings.
context: So I guess you have no intention of surrendering?\You actually think you can beat me with these skills?\Sure I can!\You're out of breath!\And you're beginning to stumble!\Not now... I can't...\Why don't you attack, damn it?\Because I haven't found any openings. response:	In that case, allow me to
context: You actually think you can beat me with these skills?\Sure I can!\You're out of breath!\And you're beginning to stumble!\Not now... I can't...\Why don't you attack, damn it?\Because I haven't found any openings.\In that case, allow me to response:	Lord of the neighboring nation!
context: Sure I can!\You're out of breath!\And you're beginning to stumble!\Not now... I can't...\Why don't you attack, damn it?\Because I haven't found any openings.\In that case, allow me to\Lord of the neighboring nation! response:	I have captured your mage!
context: You're out of breath!\And you're beginning to stumble!\Not now... I can't...\Why don't you attack, damn it?\Because I haven't found any openings.\In that case, allow me to\Lord of the neighboring nation!\I have captured your mage! response:	Moreno!
context: And you're beginning to stumble!\Not now... I can't...\Why don't you attack, damn it?\Because I haven't found any openings.\In that case, allow me to\Lord of the neighboring nation!\I have captured your mage!\Moreno! response:	This is absurd.
context: Not now... I can't...\Why don't you attack, damn it?\Because I haven't found any openings.\In that case, allow me to\Lord of the neighboring nation!\I have captured your mage!\Moreno!\This is absurd. response:	Lord Lassic wouldn't even flinch over having his mage caught.
context: Why don't you attack, damn it?\Because I haven't found any openings.\In that case, allow me to\Lord of the neighboring nation!\I have captured your mage!\Moreno!\This is absurd.\Lord Lassic wouldn't even flinch over having his mage caught. response:	I surrender!
context: Because I haven't found any openings.\In that case, allow me to\Lord of the neighboring nation!\I have captured your mage!\Moreno!\This is absurd.\Lord Lassic wouldn't even flinch over having his mage caught.\I surrender! response:	I wish to become your subordinate.
context: In that case, allow me to\Lord of the neighboring nation!\I have captured your mage!\Moreno!\This is absurd.\Lord Lassic wouldn't even flinch over having his mage caught.\I surrender!\I wish to become your subordinate. response:	Subordinate?
context: Lord of the neighboring nation!\I have captured your mage!\Moreno!\This is absurd.\Lord Lassic wouldn't even flinch over having his mage caught.\I surrender!\I wish to become your subordinate.\Subordinate? response:	I think you can go ahead and accept.
context: I have captured your mage!\Moreno!\This is absurd.\Lord Lassic wouldn't even flinch over having his mage caught.\I surrender!\I wish to become your subordinate.\Subordinate?\I think you can go ahead and accept. response:	Are you throwing away your ambition?
context: Moreno!\This is absurd.\Lord Lassic wouldn't even flinch over having his mage caught.\I surrender!\I wish to become your subordinate.\Subordinate?\I think you can go ahead and accept.\Are you throwing away your ambition? response:	I would never.
context: This is absurd.\Lord Lassic wouldn't even flinch over having his mage caught.\I surrender!\I wish to become your subordinate.\Subordinate?\I think you can go ahead and accept.\Are you throwing away your ambition?\I would never. response:	If we serve this Lord, we'll never be defeated at the hands our neighbors.
context: Lord Lassic wouldn't even flinch over having his mage caught.\I surrender!\I wish to become your subordinate.\Subordinate?\I think you can go ahead and accept.\Are you throwing away your ambition?\I would never.\If we serve this Lord, we'll never be defeated at the hands our neighbors. response:	If we play our cards right, Savis, Clovis,
context: I surrender!\I wish to become your subordinate.\Subordinate?\I think you can go ahead and accept.\Are you throwing away your ambition?\I would never.\If we serve this Lord, we'll never be defeated at the hands our neighbors.\If we play our cards right, Savis, Clovis, response:	as well as Forvis to the south, could all be conquered.
context: I wish to become your subordinate.\Subordinate?\I think you can go ahead and accept.\Are you throwing away your ambition?\I would never.\If we serve this Lord, we'll never be defeated at the hands our neighbors.\If we play our cards right, Savis, Clovis,\as well as Forvis to the south, could all be conquered. response:	My ambition is not to become emperor.
context: Subordinate?\I think you can go ahead and accept.\Are you throwing away your ambition?\I would never.\If we serve this Lord, we'll never be defeated at the hands our neighbors.\If we play our cards right, Savis, Clovis,\as well as Forvis to the south, could all be conquered.\My ambition is not to become emperor. response:	Even if I'm serving another, being able to reign over one nation is enough.
context: I think you can go ahead and accept.\Are you throwing away your ambition?\I would never.\If we serve this Lord, we'll never be defeated at the hands our neighbors.\If we play our cards right, Savis, Clovis,\as well as Forvis to the south, could all be conquered.\My ambition is not to become emperor.\Even if I'm serving another, being able to reign over one nation is enough. response:	Your ambition is so paltry...
context: Are you throwing away your ambition?\I would never.\If we serve this Lord, we'll never be defeated at the hands our neighbors.\If we play our cards right, Savis, Clovis,\as well as Forvis to the south, could all be conquered.\My ambition is not to become emperor.\Even if I'm serving another, being able to reign over one nation is enough.\Your ambition is so paltry... response:	That's all I'm capable of.
context: I would never.\If we serve this Lord, we'll never be defeated at the hands our neighbors.\If we play our cards right, Savis, Clovis,\as well as Forvis to the south, could all be conquered.\My ambition is not to become emperor.\Even if I'm serving another, being able to reign over one nation is enough.\Your ambition is so paltry...\That's all I'm capable of. response:	Even so, it's something I can't do alone.
context: If we serve this Lord, we'll never be defeated at the hands our neighbors.\If we play our cards right, Savis, Clovis,\as well as Forvis to the south, could all be conquered.\My ambition is not to become emperor.\Even if I'm serving another, being able to reign over one nation is enough.\Your ambition is so paltry...\That's all I'm capable of.\Even so, it's something I can't do alone. response:	That's why I brought you onboard.
context: If we play our cards right, Savis, Clovis,\as well as Forvis to the south, could all be conquered.\My ambition is not to become emperor.\Even if I'm serving another, being able to reign over one nation is enough.\Your ambition is so paltry...\That's all I'm capable of.\Even so, it's something I can't do alone.\That's why I brought you onboard. response:	Lord Lassic...
context: as well as Forvis to the south, could all be conquered.\My ambition is not to become emperor.\Even if I'm serving another, being able to reign over one nation is enough.\Your ambition is so paltry...\That's all I'm capable of.\Even so, it's something I can't do alone.\That's why I brought you onboard.\Lord Lassic... response:	I see you're under contract to a fine Lord yourself.
context: My ambition is not to become emperor.\Even if I'm serving another, being able to reign over one nation is enough.\Your ambition is so paltry...\That's all I'm capable of.\Even so, it's something I can't do alone.\That's why I brought you onboard.\Lord Lassic...\I see you're under contract to a fine Lord yourself. response:	That robe certainly becomes you.
context: Even if I'm serving another, being able to reign over one nation is enough.\Your ambition is so paltry...\That's all I'm capable of.\Even so, it's something I can't do alone.\That's why I brought you onboard.\Lord Lassic...\I see you're under contract to a fine Lord yourself.\That robe certainly becomes you. response:	Sir Lassic, I accept your proposal.
context: Your ambition is so paltry...\That's all I'm capable of.\Even so, it's something I can't do alone.\That's why I brought you onboard.\Lord Lassic...\I see you're under contract to a fine Lord yourself.\That robe certainly becomes you.\Sir Lassic, I accept your proposal. response:	I, Lassic David, offer my Crest to you as your own.
context: That's all I'm capable of.\Even so, it's something I can't do alone.\That's why I brought you onboard.\Lord Lassic...\I see you're under contract to a fine Lord yourself.\That robe certainly becomes you.\Sir Lassic, I accept your proposal.\I, Lassic David, offer my Crest to you as your own. response:	I, Theo, accept they Crest and receive it as my own.
context: Even so, it's something I can't do alone.\That's why I brought you onboard.\Lord Lassic...\I see you're under contract to a fine Lord yourself.\That robe certainly becomes you.\Sir Lassic, I accept your proposal.\I, Lassic David, offer my Crest to you as your own.\I, Theo, accept they Crest and receive it as my own. response:	Congratulations!
context: That's why I brought you onboard.\Lord Lassic...\I see you're under contract to a fine Lord yourself.\That robe certainly becomes you.\Sir Lassic, I accept your proposal.\I, Lassic David, offer my Crest to you as your own.\I, Theo, accept they Crest and receive it as my own.\Congratulations! response:	Lord Theo has reached the court rank of Baron,
context: Lord Lassic...\I see you're under contract to a fine Lord yourself.\That robe certainly becomes you.\Sir Lassic, I accept your proposal.\I, Lassic David, offer my Crest to you as your own.\I, Theo, accept they Crest and receive it as my own.\Congratulations!\Lord Theo has reached the court rank of Baron, response:	and a subordinate Crest has been granted to Sir Lassic.
context: I see you're under contract to a fine Lord yourself.\That robe certainly becomes you.\Sir Lassic, I accept your proposal.\I, Lassic David, offer my Crest to you as your own.\I, Theo, accept they Crest and receive it as my own.\Congratulations!\Lord Theo has reached the court rank of Baron,\and a subordinate Crest has been granted to Sir Lassic. response:	AMBITION
context: That robe certainly becomes you.\Sir Lassic, I accept your proposal.\I, Lassic David, offer my Crest to you as your own.\I, Theo, accept they Crest and receive it as my own.\Congratulations!\Lord Theo has reached the court rank of Baron,\and a subordinate Crest has been granted to Sir Lassic.\AMBITION response:	That girl is prone to audacious action.
context: Sir Lassic, I accept your proposal.\I, Lassic David, offer my Crest to you as your own.\I, Theo, accept they Crest and receive it as my own.\Congratulations!\Lord Theo has reached the court rank of Baron,\and a subordinate Crest has been granted to Sir Lassic.\AMBITION\That girl is prone to audacious action. response:	How would you have me deal with her?
context: I, Lassic David, offer my Crest to you as your own.\I, Theo, accept they Crest and receive it as my own.\Congratulations!\Lord Theo has reached the court rank of Baron,\and a subordinate Crest has been granted to Sir Lassic.\AMBITION\That girl is prone to audacious action.\How would you have me deal with her? response:	To think an ignorant girl would dare insult you, Lord Villar.
context: I, Theo, accept they Crest and receive it as my own.\Congratulations!\Lord Theo has reached the court rank of Baron,\and a subordinate Crest has been granted to Sir Lassic.\AMBITION\That girl is prone to audacious action.\How would you have me deal with her?\To think an ignorant girl would dare insult you, Lord Villar. response:	Could you start by investigating what her motivations could be?
context: Congratulations!\Lord Theo has reached the court rank of Baron,\and a subordinate Crest has been granted to Sir Lassic.\AMBITION\That girl is prone to audacious action.\How would you have me deal with her?\To think an ignorant girl would dare insult you, Lord Villar.\Could you start by investigating what her motivations could be? response:	Then, if necessary, proceed to punish her.
context: Lord Theo has reached the court rank of Baron,\and a subordinate Crest has been granted to Sir Lassic.\AMBITION\That girl is prone to audacious action.\How would you have me deal with her?\To think an ignorant girl would dare insult you, Lord Villar.\Could you start by investigating what her motivations could be?\Then, if necessary, proceed to punish her. response:	Understood.
context: and a subordinate Crest has been granted to Sir Lassic.\AMBITION\That girl is prone to audacious action.\How would you have me deal with her?\To think an ignorant girl would dare insult you, Lord Villar.\Could you start by investigating what her motivations could be?\Then, if necessary, proceed to punish her.\Understood. response:	Won't you have a drink with me?
context: AMBITION\That girl is prone to audacious action.\How would you have me deal with her?\To think an ignorant girl would dare insult you, Lord Villar.\Could you start by investigating what her motivations could be?\Then, if necessary, proceed to punish her.\Understood.\Won't you have a drink with me? response:	I truly appreciate the offer, my Lord,
context: That girl is prone to audacious action.\How would you have me deal with her?\To think an ignorant girl would dare insult you, Lord Villar.\Could you start by investigating what her motivations could be?\Then, if necessary, proceed to punish her.\Understood.\Won't you have a drink with me?\I truly appreciate the offer, my Lord, response:	but this issue with the Meletes girl is of utmost urgency.
context: How would you have me deal with her?\To think an ignorant girl would dare insult you, Lord Villar.\Could you start by investigating what her motivations could be?\Then, if necessary, proceed to punish her.\Understood.\Won't you have a drink with me?\I truly appreciate the offer, my Lord,\but this issue with the Meletes girl is of utmost urgency. response:	I see. That's unfortunate.
context: To think an ignorant girl would dare insult you, Lord Villar.\Could you start by investigating what her motivations could be?\Then, if necessary, proceed to punish her.\Understood.\Won't you have a drink with me?\I truly appreciate the offer, my Lord,\but this issue with the Meletes girl is of utmost urgency.\I see. That's unfortunate. response:	No other man worships women as much as I.
context: Could you start by investigating what her motivations could be?\Then, if necessary, proceed to punish her.\Understood.\Won't you have a drink with me?\I truly appreciate the offer, my Lord,\but this issue with the Meletes girl is of utmost urgency.\I see. That's unfortunate.\No other man worships women as much as I. response:	So why can't anyone live up to my expectations?
context: Then, if necessary, proceed to punish her.\Understood.\Won't you have a drink with me?\I truly appreciate the offer, my Lord,\but this issue with the Meletes girl is of utmost urgency.\I see. That's unfortunate.\No other man worships women as much as I.\So why can't anyone live up to my expectations? response:	Meeting a woman like my mother is no small feat, I see.
context: Understood.\Won't you have a drink with me?\I truly appreciate the offer, my Lord,\but this issue with the Meletes girl is of utmost urgency.\I see. That's unfortunate.\No other man worships women as much as I.\So why can't anyone live up to my expectations?\Meeting a woman like my mother is no small feat, I see. response:	EPISODE 3: BATTLE FLAG
