context: Black Mist response:	After our class came back from the trip,
context: What does she have against my daughter?! This is so upsetting!\Mrs. Takagi!\Do you have honest conversations with your daughter?\Do you properly understand what she's thinking right now?\Your daughter is the one who's been a bully.\Shut your mouth!\I've heard enough false accusations! How low can you be?\WAAA response:	They're clashing?
context: Mrs. Takagi!\Do you have honest conversations with your daughter?\Do you properly understand what she's thinking right now?\Your daughter is the one who's been a bully.\Shut your mouth!\I've heard enough false accusations! How low can you be?\WAAA\They're clashing? response:	This is why I scheduled them at different times!
context: Do you have honest conversations with your daughter?\Do you properly understand what she's thinking right now?\Your daughter is the one who's been a bully.\Shut your mouth!\I've heard enough false accusations! How low can you be?\WAAA\They're clashing?\This is why I scheduled them at different times! response:	RUN RUN HUSTLE HUSTLE
context: Do you properly understand what she's thinking right now?\Your daughter is the one who's been a bully.\Shut your mouth!\I've heard enough false accusations! How low can you be?\WAAA\They're clashing?\This is why I scheduled them at different times!\RUN RUN HUSTLE HUSTLE response:	Fine, then let me ask you this.
context: Your daughter is the one who's been a bully.\Shut your mouth!\I've heard enough false accusations! How low can you be?\WAAA\They're clashing?\This is why I scheduled them at different times!\RUN RUN HUSTLE HUSTLE\Fine, then let me ask you this. response:	The proof that my daughter did it...
context: Shut your mouth!\I've heard enough false accusations! How low can you be?\WAAA\They're clashing?\This is why I scheduled them at different times!\RUN RUN HUSTLE HUSTLE\Fine, then let me ask you this.\The proof that my daughter did it... response:	Where is it?
context: I've heard enough false accusations! How low can you be?\WAAA\They're clashing?\This is why I scheduled them at different times!\RUN RUN HUSTLE HUSTLE\Fine, then let me ask you this.\The proof that my daughter did it...\Where is it? response:	Proof?
context: WAAA\They're clashing?\This is why I scheduled them at different times!\RUN RUN HUSTLE HUSTLE\Fine, then let me ask you this.\The proof that my daughter did it...\Where is it?\Proof? response:	Go ahead and show it to me!
context: They're clashing?\This is why I scheduled them at different times!\RUN RUN HUSTLE HUSTLE\Fine, then let me ask you this.\The proof that my daughter did it...\Where is it?\Proof?\Go ahead and show it to me! response:	Otherwise, I can't put credence in it. Isn't that right?
context: This is why I scheduled them at different times!\RUN RUN HUSTLE HUSTLE\Fine, then let me ask you this.\The proof that my daughter did it...\Where is it?\Proof?\Go ahead and show it to me!\Otherwise, I can't put credence in it. Isn't that right? response:	To begin with, my daughter says she didn't do it.
context: RUN RUN HUSTLE HUSTLE\Fine, then let me ask you this.\The proof that my daughter did it...\Where is it?\Proof?\Go ahead and show it to me!\Otherwise, I can't put credence in it. Isn't that right?\To begin with, my daughter says she didn't do it. response:	I believe my daughter.
context: Fine, then let me ask you this.\The proof that my daughter did it...\Where is it?\Proof?\Go ahead and show it to me!\Otherwise, I can't put credence in it. Isn't that right?\To begin with, my daughter says she didn't do it.\I believe my daughter. response:	Proof?
context: The proof that my daughter did it...\Where is it?\Proof?\Go ahead and show it to me!\Otherwise, I can't put credence in it. Isn't that right?\To begin with, my daughter says she didn't do it.\I believe my daughter.\Proof? response:	Proof...
context: Where is it?\Proof?\Go ahead and show it to me!\Otherwise, I can't put credence in it. Isn't that right?\To begin with, my daughter says she didn't do it.\I believe my daughter.\Proof?\Proof... response:	Proof of that...
context: Proof?\Go ahead and show it to me!\Otherwise, I can't put credence in it. Isn't that right?\To begin with, my daughter says she didn't do it.\I believe my daughter.\Proof?\Proof...\Proof of that... response:	That's right, proof.
context: Go ahead and show it to me!\Otherwise, I can't put credence in it. Isn't that right?\To begin with, my daughter says she didn't do it.\I believe my daughter.\Proof?\Proof...\Proof of that...\That's right, proof. response:	Proof!
context: Otherwise, I can't put credence in it. Isn't that right?\To begin with, my daughter says she didn't do it.\I believe my daughter.\Proof?\Proof...\Proof of that...\That's right, proof.\Proof! response:	You don't have any?
context: To begin with, my daughter says she didn't do it.\I believe my daughter.\Proof?\Proof...\Proof of that...\That's right, proof.\Proof!\You don't have any? response:	No proof? Then I think we're done.
context: I believe my daughter.\Proof?\Proof...\Proof of that...\That's right, proof.\Proof!\You don't have any?\No proof? Then I think we're done. response:	It'll be okay, Mom. Leave it to me.
context: Proof?\Proof...\Proof of that...\That's right, proof.\Proof!\You don't have any?\No proof? Then I think we're done.\It'll be okay, Mom. Leave it to me. response:	I promise to protect Hina and Momo.
context: Proof...\Proof of that...\That's right, proof.\Proof!\You don't have any?\No proof? Then I think we're done.\It'll be okay, Mom. Leave it to me.\I promise to protect Hina and Momo. response:	What should I do?
context: Proof of that...\That's right, proof.\Proof!\You don't have any?\No proof? Then I think we're done.\It'll be okay, Mom. Leave it to me.\I promise to protect Hina and Momo.\What should I do? response:	What should I do? I promised her...
context: That's right, proof.\Proof!\You don't have any?\No proof? Then I think we're done.\It'll be okay, Mom. Leave it to me.\I promise to protect Hina and Momo.\What should I do?\What should I do? I promised her... response:	What should I do?
context: Proof!\You don't have any?\No proof? Then I think we're done.\It'll be okay, Mom. Leave it to me.\I promise to protect Hina and Momo.\What should I do?\What should I do? I promised her...\What should I do? response:	I can't...
context: You don't have any?\No proof? Then I think we're done.\It'll be okay, Mom. Leave it to me.\I promise to protect Hina and Momo.\What should I do?\What should I do? I promised her...\What should I do?\I can't... response:	think of what to say...
context: No proof? Then I think we're done.\It'll be okay, Mom. Leave it to me.\I promise to protect Hina and Momo.\What should I do?\What should I do? I promised her...\What should I do?\I can't...\think of what to say... response:	Mr. Kokubu, I'm sorry!
context: It'll be okay, Mom. Leave it to me.\I promise to protect Hina and Momo.\What should I do?\What should I do? I promised her...\What should I do?\I can't...\think of what to say...\Mr. Kokubu, I'm sorry! response:	My sister isn't feeling great right now, so can we take a break?
context: I promise to protect Hina and Momo.\What should I do?\What should I do? I promised her...\What should I do?\I can't...\think of what to say...\Mr. Kokubu, I'm sorry!\My sister isn't feeling great right now, so can we take a break? response:	You must have been so nervous. You're as white as a sheet.
context: What should I do?\What should I do? I promised her...\What should I do?\I can't...\think of what to say...\Mr. Kokubu, I'm sorry!\My sister isn't feeling great right now, so can we take a break?\You must have been so nervous. You're as white as a sheet. response:	Here, drink this. It'll calm you down.
context: What should I do? I promised her...\What should I do?\I can't...\think of what to say...\Mr. Kokubu, I'm sorry!\My sister isn't feeling great right now, so can we take a break?\You must have been so nervous. You're as white as a sheet.\Here, drink this. It'll calm you down. response:	Thank you very much.
context: What should I do?\I can't...\think of what to say...\Mr. Kokubu, I'm sorry!\My sister isn't feeling great right now, so can we take a break?\You must have been so nervous. You're as white as a sheet.\Here, drink this. It'll calm you down.\Thank you very much. response:	Thank you...
context: I can't...\think of what to say...\Mr. Kokubu, I'm sorry!\My sister isn't feeling great right now, so can we take a break?\You must have been so nervous. You're as white as a sheet.\Here, drink this. It'll calm you down.\Thank you very much.\Thank you... response:	I'm sorry. I'm sorry, Hina.
context: think of what to say...\Mr. Kokubu, I'm sorry!\My sister isn't feeling great right now, so can we take a break?\You must have been so nervous. You're as white as a sheet.\Here, drink this. It'll calm you down.\Thank you very much.\Thank you...\I'm sorry. I'm sorry, Hina. response:	I couldn't respond to her...
context: Mr. Kokubu, I'm sorry!\My sister isn't feeling great right now, so can we take a break?\You must have been so nervous. You're as white as a sheet.\Here, drink this. It'll calm you down.\Thank you very much.\Thank you...\I'm sorry. I'm sorry, Hina.\I couldn't respond to her... response:	I-I was pathetic.
context: My sister isn't feeling great right now, so can we take a break?\You must have been so nervous. You're as white as a sheet.\Here, drink this. It'll calm you down.\Thank you very much.\Thank you...\I'm sorry. I'm sorry, Hina.\I couldn't respond to her...\I-I was pathetic. response:	After I told Grandpa and Mom that it would be okay, to leave it to me...
context: You must have been so nervous. You're as white as a sheet.\Here, drink this. It'll calm you down.\Thank you very much.\Thank you...\I'm sorry. I'm sorry, Hina.\I couldn't respond to her...\I-I was pathetic.\After I told Grandpa and Mom that it would be okay, to leave it to me... response:	A-After I calm down, I-I'll go back there once more.
context: Here, drink this. It'll calm you down.\Thank you very much.\Thank you...\I'm sorry. I'm sorry, Hina.\I couldn't respond to her...\I-I was pathetic.\After I told Grandpa and Mom that it would be okay, to leave it to me...\A-After I calm down, I-I'll go back there once more. response:	I'll sit down and talk to your teacher...
context: Thank you very much.\Thank you...\I'm sorry. I'm sorry, Hina.\I couldn't respond to her...\I-I was pathetic.\After I told Grandpa and Mom that it would be okay, to leave it to me...\A-After I calm down, I-I'll go back there once more.\I'll sit down and talk to your teacher... response:	Sis.
context: Thank you...\I'm sorry. I'm sorry, Hina.\I couldn't respond to her...\I-I was pathetic.\After I told Grandpa and Mom that it would be okay, to leave it to me...\A-After I calm down, I-I'll go back there once more.\I'll sit down and talk to your teacher...\Sis. response:	Thank you for coming.
context: I'm sorry. I'm sorry, Hina.\I couldn't respond to her...\I-I was pathetic.\After I told Grandpa and Mom that it would be okay, to leave it to me...\A-After I calm down, I-I'll go back there once more.\I'll sit down and talk to your teacher...\Sis.\Thank you for coming. response:	Thank you for being on my side.
context: I couldn't respond to her...\I-I was pathetic.\After I told Grandpa and Mom that it would be okay, to leave it to me...\A-After I calm down, I-I'll go back there once more.\I'll sit down and talk to your teacher...\Sis.\Thank you for coming.\Thank you for being on my side. response:	That alone makes me really happy!
context: I-I was pathetic.\After I told Grandpa and Mom that it would be okay, to leave it to me...\A-After I calm down, I-I'll go back there once more.\I'll sit down and talk to your teacher...\Sis.\Thank you for coming.\Thank you for being on my side.\That alone makes me really happy! response:	HINATA KAWAMOTO LOVES GUYS PERVERTED GIRL BITCH IDIOT
context: After I told Grandpa and Mom that it would be okay, to leave it to me...\A-After I calm down, I-I'll go back there once more.\I'll sit down and talk to your teacher...\Sis.\Thank you for coming.\Thank you for being on my side.\That alone makes me really happy!\HINATA KAWAMOTO LOVES GUYS PERVERTED GIRL BITCH IDIOT response:	Sis, I understand now.
context: A-After I calm down, I-I'll go back there once more.\I'll sit down and talk to your teacher...\Sis.\Thank you for coming.\Thank you for being on my side.\That alone makes me really happy!\HINATA KAWAMOTO LOVES GUYS PERVERTED GIRL BITCH IDIOT\Sis, I understand now. response:	No matter what, they would never admit it.
context: I'll sit down and talk to your teacher...\Sis.\Thank you for coming.\Thank you for being on my side.\That alone makes me really happy!\HINATA KAWAMOTO LOVES GUYS PERVERTED GIRL BITCH IDIOT\Sis, I understand now.\No matter what, they would never admit it. response:	They don't even think they did anything wrong.
context: Sis.\Thank you for coming.\Thank you for being on my side.\That alone makes me really happy!\HINATA KAWAMOTO LOVES GUYS PERVERTED GIRL BITCH IDIOT\Sis, I understand now.\No matter what, they would never admit it.\They don't even think they did anything wrong. response:	And it's just like with Chiho.
context: Thank you for coming.\Thank you for being on my side.\That alone makes me really happy!\HINATA KAWAMOTO LOVES GUYS PERVERTED GIRL BITCH IDIOT\Sis, I understand now.\No matter what, they would never admit it.\They don't even think they did anything wrong.\And it's just like with Chiho. response:	When it's over and done with, they'll just forget about it.
context: Thank you for being on my side.\That alone makes me really happy!\HINATA KAWAMOTO LOVES GUYS PERVERTED GIRL BITCH IDIOT\Sis, I understand now.\No matter what, they would never admit it.\They don't even think they did anything wrong.\And it's just like with Chiho.\When it's over and done with, they'll just forget about it. response:	I don't have a single reason to waste my life on people like that.
context: That alone makes me really happy!\HINATA KAWAMOTO LOVES GUYS PERVERTED GIRL BITCH IDIOT\Sis, I understand now.\No matter what, they would never admit it.\They don't even think they did anything wrong.\And it's just like with Chiho.\When it's over and done with, they'll just forget about it.\I don't have a single reason to waste my life on people like that. response:	I swear I'll come to school to the very last day!
context: HINATA KAWAMOTO LOVES GUYS PERVERTED GIRL BITCH IDIOT\Sis, I understand now.\No matter what, they would never admit it.\They don't even think they did anything wrong.\And it's just like with Chiho.\When it's over and done with, they'll just forget about it.\I don't have a single reason to waste my life on people like that.\I swear I'll come to school to the very last day! response:	I'll endure being ignored!
context: Sis, I understand now.\No matter what, they would never admit it.\They don't even think they did anything wrong.\And it's just like with Chiho.\When it's over and done with, they'll just forget about it.\I don't have a single reason to waste my life on people like that.\I swear I'll come to school to the very last day!\I'll endure being ignored! response:	But if they do something to me, I'll yell at them to stop!
context: No matter what, they would never admit it.\They don't even think they did anything wrong.\And it's just like with Chiho.\When it's over and done with, they'll just forget about it.\I don't have a single reason to waste my life on people like that.\I swear I'll come to school to the very last day!\I'll endure being ignored!\But if they do something to me, I'll yell at them to stop! response:	I refuse to keep my mouth shut!
context: They don't even think they did anything wrong.\And it's just like with Chiho.\When it's over and done with, they'll just forget about it.\I don't have a single reason to waste my life on people like that.\I swear I'll come to school to the very last day!\I'll endure being ignored!\But if they do something to me, I'll yell at them to stop!\I refuse to keep my mouth shut! response:	No matter what happens here, if I just survive and graduate, I win!
context: And it's just like with Chiho.\When it's over and done with, they'll just forget about it.\I don't have a single reason to waste my life on people like that.\I swear I'll come to school to the very last day!\I'll endure being ignored!\But if they do something to me, I'll yell at them to stop!\I refuse to keep my mouth shut!\No matter what happens here, if I just survive and graduate, I win! response:	Honestly, I don't know where this is coming from.
context: When it's over and done with, they'll just forget about it.\I don't have a single reason to waste my life on people like that.\I swear I'll come to school to the very last day!\I'll endure being ignored!\But if they do something to me, I'll yell at them to stop!\I refuse to keep my mouth shut!\No matter what happens here, if I just survive and graduate, I win!\Honestly, I don't know where this is coming from. response:	Calling my Megumi a bully is a false accusation of the highest order!
context: I don't have a single reason to waste my life on people like that.\I swear I'll come to school to the very last day!\I'll endure being ignored!\But if they do something to me, I'll yell at them to stop!\I refuse to keep my mouth shut!\No matter what happens here, if I just survive and graduate, I win!\Honestly, I don't know where this is coming from.\Calling my Megumi a bully is a false accusation of the highest order! response:	When there isn't even any proof.
context: I swear I'll come to school to the very last day!\I'll endure being ignored!\But if they do something to me, I'll yell at them to stop!\I refuse to keep my mouth shut!\No matter what happens here, if I just survive and graduate, I win!\Honestly, I don't know where this is coming from.\Calling my Megumi a bully is a false accusation of the highest order!\When there isn't even any proof. response:	True, there is no proof...
context: I'll endure being ignored!\But if they do something to me, I'll yell at them to stop!\I refuse to keep my mouth shut!\No matter what happens here, if I just survive and graduate, I win!\Honestly, I don't know where this is coming from.\Calling my Megumi a bully is a false accusation of the highest order!\When there isn't even any proof.\True, there is no proof... response:	I mean, of course there's no proof.
context: But if they do something to me, I'll yell at them to stop!\I refuse to keep my mouth shut!\No matter what happens here, if I just survive and graduate, I win!\Honestly, I don't know where this is coming from.\Calling my Megumi a bully is a false accusation of the highest order!\When there isn't even any proof.\True, there is no proof...\I mean, of course there's no proof. response:	What?
context: I refuse to keep my mouth shut!\No matter what happens here, if I just survive and graduate, I win!\Honestly, I don't know where this is coming from.\Calling my Megumi a bully is a false accusation of the highest order!\When there isn't even any proof.\True, there is no proof...\I mean, of course there's no proof.\What? response:	Right, Ms. Takagi?
context: No matter what happens here, if I just survive and graduate, I win!\Honestly, I don't know where this is coming from.\Calling my Megumi a bully is a false accusation of the highest order!\When there isn't even any proof.\True, there is no proof...\I mean, of course there's no proof.\What?\Right, Ms. Takagi? response:	The person who does it will never admit it.
context: Honestly, I don't know where this is coming from.\Calling my Megumi a bully is a false accusation of the highest order!\When there isn't even any proof.\True, there is no proof...\I mean, of course there's no proof.\What?\Right, Ms. Takagi?\The person who does it will never admit it. response:	The people around the bully know that if they snitch, they'll be the next target,
context: Calling my Megumi a bully is a false accusation of the highest order!\When there isn't even any proof.\True, there is no proof...\I mean, of course there's no proof.\What?\Right, Ms. Takagi?\The person who does it will never admit it.\The people around the bully know that if they snitch, they'll be the next target, response:	so they keep their mouths shut.
context: When there isn't even any proof.\True, there is no proof...\I mean, of course there's no proof.\What?\Right, Ms. Takagi?\The person who does it will never admit it.\The people around the bully know that if they snitch, they'll be the next target,\so they keep their mouths shut. response:	There's no way proof will appear, not with bullying.
context: True, there is no proof...\I mean, of course there's no proof.\What?\Right, Ms. Takagi?\The person who does it will never admit it.\The people around the bully know that if they snitch, they'll be the next target,\so they keep their mouths shut.\There's no way proof will appear, not with bullying. response:	It's only natural that there's no proof.
context: I mean, of course there's no proof.\What?\Right, Ms. Takagi?\The person who does it will never admit it.\The people around the bully know that if they snitch, they'll be the next target,\so they keep their mouths shut.\There's no way proof will appear, not with bullying.\It's only natural that there's no proof. response:	The only person who can say there's been bullying is the victim.
context: What?\Right, Ms. Takagi?\The person who does it will never admit it.\The people around the bully know that if they snitch, they'll be the next target,\so they keep their mouths shut.\There's no way proof will appear, not with bullying.\It's only natural that there's no proof.\The only person who can say there's been bullying is the victim. response:	So when Kawamoto said she was bullied, that right there is the proof.
context: Right, Ms. Takagi?\The person who does it will never admit it.\The people around the bully know that if they snitch, they'll be the next target,\so they keep their mouths shut.\There's no way proof will appear, not with bullying.\It's only natural that there's no proof.\The only person who can say there's been bullying is the victim.\So when Kawamoto said she was bullied, that right there is the proof. response:	You have to be kidding me!
context: The person who does it will never admit it.\The people around the bully know that if they snitch, they'll be the next target,\so they keep their mouths shut.\There's no way proof will appear, not with bullying.\It's only natural that there's no proof.\The only person who can say there's been bullying is the victim.\So when Kawamoto said she was bullied, that right there is the proof.\You have to be kidding me! response:	What if that girl is lying?
context: The people around the bully know that if they snitch, they'll be the next target,\so they keep their mouths shut.\There's no way proof will appear, not with bullying.\It's only natural that there's no proof.\The only person who can say there's been bullying is the victim.\So when Kawamoto said she was bullied, that right there is the proof.\You have to be kidding me!\What if that girl is lying? response:	That's not proof!
context: so they keep their mouths shut.\There's no way proof will appear, not with bullying.\It's only natural that there's no proof.\The only person who can say there's been bullying is the victim.\So when Kawamoto said she was bullied, that right there is the proof.\You have to be kidding me!\What if that girl is lying?\That's not proof! response:	She could say anything, right?
context: There's no way proof will appear, not with bullying.\It's only natural that there's no proof.\The only person who can say there's been bullying is the victim.\So when Kawamoto said she was bullied, that right there is the proof.\You have to be kidding me!\What if that girl is lying?\That's not proof!\She could say anything, right? response:	Then where's your proof...
context: It's only natural that there's no proof.\The only person who can say there's been bullying is the victim.\So when Kawamoto said she was bullied, that right there is the proof.\You have to be kidding me!\What if that girl is lying?\That's not proof!\She could say anything, right?\Then where's your proof... response:	that Kawamoto is lying?
context: The only person who can say there's been bullying is the victim.\So when Kawamoto said she was bullied, that right there is the proof.\You have to be kidding me!\What if that girl is lying?\That's not proof!\She could say anything, right?\Then where's your proof...\that Kawamoto is lying? response:	Well, where's the proof?
context: So when Kawamoto said she was bullied, that right there is the proof.\You have to be kidding me!\What if that girl is lying?\That's not proof!\She could say anything, right?\Then where's your proof...\that Kawamoto is lying?\Well, where's the proof? response:	Until you show me that, as a representative of the school,
context: You have to be kidding me!\What if that girl is lying?\That's not proof!\She could say anything, right?\Then where's your proof...\that Kawamoto is lying?\Well, where's the proof?\Until you show me that, as a representative of the school, response:	I can't accept your grievance.
context: What if that girl is lying?\That's not proof!\She could say anything, right?\Then where's your proof...\that Kawamoto is lying?\Well, where's the proof?\Until you show me that, as a representative of the school,\I can't accept your grievance. response:	Sis, it'll be all right.
context: That's not proof!\She could say anything, right?\Then where's your proof...\that Kawamoto is lying?\Well, where's the proof?\Until you show me that, as a representative of the school,\I can't accept your grievance.\Sis, it'll be all right. response:	Thank you.
context: She could say anything, right?\Then where's your proof...\that Kawamoto is lying?\Well, where's the proof?\Until you show me that, as a representative of the school,\I can't accept your grievance.\Sis, it'll be all right.\Thank you. response:	I'm going to hang in there.
context: Then where's your proof...\that Kawamoto is lying?\Well, where's the proof?\Until you show me that, as a representative of the school,\I can't accept your grievance.\Sis, it'll be all right.\Thank you.\I'm going to hang in there. response:	Thank you, Sis.
context: that Kawamoto is lying?\Well, where's the proof?\Until you show me that, as a representative of the school,\I can't accept your grievance.\Sis, it'll be all right.\Thank you.\I'm going to hang in there.\Thank you, Sis. response:	Excuse me.
context: Well, where's the proof?\Until you show me that, as a representative of the school,\I can't accept your grievance.\Sis, it'll be all right.\Thank you.\I'm going to hang in there.\Thank you, Sis.\Excuse me. response:	Oh, Mr. Kokubu.
context: Until you show me that, as a representative of the school,\I can't accept your grievance.\Sis, it'll be all right.\Thank you.\I'm going to hang in there.\Thank you, Sis.\Excuse me.\Oh, Mr. Kokubu. response:	Miss, how are you feeling?
context: I can't accept your grievance.\Sis, it'll be all right.\Thank you.\I'm going to hang in there.\Thank you, Sis.\Excuse me.\Oh, Mr. Kokubu.\Miss, how are you feeling? response:	I'm really sorry.
context: Sis, it'll be all right.\Thank you.\I'm going to hang in there.\Thank you, Sis.\Excuse me.\Oh, Mr. Kokubu.\Miss, how are you feeling?\I'm really sorry. response:	Um, I feel better now, so
context: Thank you.\I'm going to hang in there.\Thank you, Sis.\Excuse me.\Oh, Mr. Kokubu.\Miss, how are you feeling?\I'm really sorry.\Um, I feel better now, so response:	No, no, stay right there.
context: I'm going to hang in there.\Thank you, Sis.\Excuse me.\Oh, Mr. Kokubu.\Miss, how are you feeling?\I'm really sorry.\Um, I feel better now, so\No, no, stay right there. response:	Uh, Mr. Kokubu, I was being quite rude earlier...
context: Thank you, Sis.\Excuse me.\Oh, Mr. Kokubu.\Miss, how are you feeling?\I'm really sorry.\Um, I feel better now, so\No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier... response:	Um...
context: Excuse me.\Oh, Mr. Kokubu.\Miss, how are you feeling?\I'm really sorry.\Um, I feel better now, so\No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier...\Um... response:	Miss, you have nothing at all to be sorry about.
context: Oh, Mr. Kokubu.\Miss, how are you feeling?\I'm really sorry.\Um, I feel better now, so\No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier...\Um...\Miss, you have nothing at all to be sorry about. response:	It's okay.
context: Miss, how are you feeling?\I'm really sorry.\Um, I feel better now, so\No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier...\Um...\Miss, you have nothing at all to be sorry about.\It's okay. response:	More importantly...
context: I'm really sorry.\Um, I feel better now, so\No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier...\Um...\Miss, you have nothing at all to be sorry about.\It's okay.\More importantly... response:	Well...
context: Um, I feel better now, so\No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier...\Um...\Miss, you have nothing at all to be sorry about.\It's okay.\More importantly...\Well... response:	Why don't we talk about what to do next?
context: No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier...\Um...\Miss, you have nothing at all to be sorry about.\It's okay.\More importantly...\Well...\Why don't we talk about what to do next? response:	Light
context: Uh, Mr. Kokubu, I was being quite rude earlier...\Um...\Miss, you have nothing at all to be sorry about.\It's okay.\More importantly...\Well...\Why don't we talk about what to do next?\Light response:	Next Episode Preview
context: Um...\Miss, you have nothing at all to be sorry about.\It's okay.\More importantly...\Well...\Why don't we talk about what to do next?\Light\Next Episode Preview response:	Episode 35
context: Miss, you have nothing at all to be sorry about.\It's okay.\More importantly...\Well...\Why don't we talk about what to do next?\Light\Next Episode Preview\Episode 35 response:	Hey, Teacher...
context: It's okay.\More importantly...\Well...\Why don't we talk about what to do next?\Light\Next Episode Preview\Episode 35\Hey, Teacher... response:	How long are you going to keep calling me here?
context: More importantly...\Well...\Why don't we talk about what to do next?\Light\Next Episode Preview\Episode 35\Hey, Teacher...\How long are you going to keep calling me here? response:	You don't understand how I feel.
context: Well...\Why don't we talk about what to do next?\Light\Next Episode Preview\Episode 35\Hey, Teacher...\How long are you going to keep calling me here?\You don't understand how I feel. response:	So, tell me what's really going on.
context: Why don't we talk about what to do next?\Light\Next Episode Preview\Episode 35\Hey, Teacher...\How long are you going to keep calling me here?\You don't understand how I feel.\So, tell me what's really going on. response:	All right... I'm ready.
context: Light\Next Episode Preview\Episode 35\Hey, Teacher...\How long are you going to keep calling me here?\You don't understand how I feel.\So, tell me what's really going on.\All right... I'm ready. response:	- Hina! - It's from Chiho!
context: Next Episode Preview\Episode 35\Hey, Teacher...\How long are you going to keep calling me here?\You don't understand how I feel.\So, tell me what's really going on.\All right... I'm ready.\- Hina! - It's from Chiho! response:	ILLUSTRATION: HIDEAKI NISHIKAWA
context: Episode 35\Hey, Teacher...\How long are you going to keep calling me here?\You don't understand how I feel.\So, tell me what's really going on.\All right... I'm ready.\- Hina! - It's from Chiho!\ILLUSTRATION: HIDEAKI NISHIKAWA response:	Don't miss the next episode of March Comes in Like a Lion.
context: Hey, Teacher...\How long are you going to keep calling me here?\You don't understand how I feel.\So, tell me what's really going on.\All right... I'm ready.\- Hina! - It's from Chiho!\ILLUSTRATION: HIDEAKI NISHIKAWA\Don't miss the next episode of March Comes in Like a Lion. response:	I'll do whatever I can for Hina.
