context: Who? Who is calling me? response:	Ah
context: You did great, Sakura.\I thought I would die.\Just what I would expect from my chosen Card Captor.\I never said I would do it.\The more you experience in life\the better person you will become.\Well, you went through all the trouble to capture it,\go ahead and hit it. response:	What can this do?
context: I thought I would die.\Just what I would expect from my chosen Card Captor.\I never said I would do it.\The more you experience in life\the better person you will become.\Well, you went through all the trouble to capture it,\go ahead and hit it.\What can this do? response:	Well, just try it.
context: Just what I would expect from my chosen Card Captor.\I never said I would do it.\The more you experience in life\the better person you will become.\Well, you went through all the trouble to capture it,\go ahead and hit it.\What can this do?\Well, just try it. response:	Fly.
context: I never said I would do it.\The more you experience in life\the better person you will become.\Well, you went through all the trouble to capture it,\go ahead and hit it.\What can this do?\Well, just try it.\Fly. response:	Well? Feels pretty good right?
context: The more you experience in life\the better person you will become.\Well, you went through all the trouble to capture it,\go ahead and hit it.\What can this do?\Well, just try it.\Fly.\Well? Feels pretty good right? response:	Yeah.
context: the better person you will become.\Well, you went through all the trouble to capture it,\go ahead and hit it.\What can this do?\Well, just try it.\Fly.\Well? Feels pretty good right?\Yeah. response:	I'll be counting on you from now on too,
context: Well, you went through all the trouble to capture it,\go ahead and hit it.\What can this do?\Well, just try it.\Fly.\Well? Feels pretty good right?\Yeah.\I'll be counting on you from now on too, response:	Card Captor Sakura
context: go ahead and hit it.\What can this do?\Well, just try it.\Fly.\Well? Feels pretty good right?\Yeah.\I'll be counting on you from now on too,\Card Captor Sakura response:	Yeah.
context: What can this do?\Well, just try it.\Fly.\Well? Feels pretty good right?\Yeah.\I'll be counting on you from now on too,\Card Captor Sakura\Yeah. response:	Eh?
context: Well, just try it.\Fly.\Well? Feels pretty good right?\Yeah.\I'll be counting on you from now on too,\Card Captor Sakura\Yeah.\Eh? response:	But I haven't said I would do it.
