context: It seems Romalia has already response:	dispatched a fleet to counter ours.
context: Am I wrong, Your Holiness?\Saito!\Indeed, I can't deny it outright.\We made a Void Mage into a shrine maiden,\not to convince him, but to provoke him.\We expected Joseph to do something.\No, we hoped he would.\If that happened, response:	we would have a reason to launch a holy war against Gallia
context: Saito!\Indeed, I can't deny it outright.\We made a Void Mage into a shrine maiden,\not to convince him, but to provoke him.\We expected Joseph to do something.\No, we hoped he would.\If that happened,\we would have a reason to launch a holy war against Gallia response:	and get rid of Joseph.
context: Indeed, I can't deny it outright.\We made a Void Mage into a shrine maiden,\not to convince him, but to provoke him.\We expected Joseph to do something.\No, we hoped he would.\If that happened,\we would have a reason to launch a holy war against Gallia\and get rid of Joseph. response:	But you must believe me when
context: We made a Void Mage into a shrine maiden,\not to convince him, but to provoke him.\We expected Joseph to do something.\No, we hoped he would.\If that happened,\we would have a reason to launch a holy war against Gallia\and get rid of Joseph.\But you must believe me when response:	I say that it was never our intention
context: not to convince him, but to provoke him.\We expected Joseph to do something.\No, we hoped he would.\If that happened,\we would have a reason to launch a holy war against Gallia\and get rid of Joseph.\But you must believe me when\I say that it was never our intention response:	to put Miss Valliere in such a dangerous position.
context: We expected Joseph to do something.\No, we hoped he would.\If that happened,\we would have a reason to launch a holy war against Gallia\and get rid of Joseph.\But you must believe me when\I say that it was never our intention\to put Miss Valliere in such a dangerous position. response:	Nor did we expect Joseph to cause so much destruction.
context: No, we hoped he would.\If that happened,\we would have a reason to launch a holy war against Gallia\and get rid of Joseph.\But you must believe me when\I say that it was never our intention\to put Miss Valliere in such a dangerous position.\Nor did we expect Joseph to cause so much destruction. response:	I hope
context: If that happened,\we would have a reason to launch a holy war against Gallia\and get rid of Joseph.\But you must believe me when\I say that it was never our intention\to put Miss Valliere in such a dangerous position.\Nor did we expect Joseph to cause so much destruction.\I hope response:	you can forgive us.
context: we would have a reason to launch a holy war against Gallia\and get rid of Joseph.\But you must believe me when\I say that it was never our intention\to put Miss Valliere in such a dangerous position.\Nor did we expect Joseph to cause so much destruction.\I hope\you can forgive us. response:	Louise, wait!
context: and get rid of Joseph.\But you must believe me when\I say that it was never our intention\to put Miss Valliere in such a dangerous position.\Nor did we expect Joseph to cause so much destruction.\I hope\you can forgive us.\Louise, wait! response:	Don't you think you should say something to them?
context: But you must believe me when\I say that it was never our intention\to put Miss Valliere in such a dangerous position.\Nor did we expect Joseph to cause so much destruction.\I hope\you can forgive us.\Louise, wait!\Don't you think you should say something to them? response:	If King Joseph is dead,
context: I say that it was never our intention\to put Miss Valliere in such a dangerous position.\Nor did we expect Joseph to cause so much destruction.\I hope\you can forgive us.\Louise, wait!\Don't you think you should say something to them?\If King Joseph is dead, response:	then another Void Mage will be born.
context: to put Miss Valliere in such a dangerous position.\Nor did we expect Joseph to cause so much destruction.\I hope\you can forgive us.\Louise, wait!\Don't you think you should say something to them?\If King Joseph is dead,\then another Void Mage will be born. response:	I'm sure, then, it'll be easy for the four of us to join forces.
context: Nor did we expect Joseph to cause so much destruction.\I hope\you can forgive us.\Louise, wait!\Don't you think you should say something to them?\If King Joseph is dead,\then another Void Mage will be born.\I'm sure, then, it'll be easy for the four of us to join forces. response:	You're saying that makes it okay?
context: I hope\you can forgive us.\Louise, wait!\Don't you think you should say something to them?\If King Joseph is dead,\then another Void Mage will be born.\I'm sure, then, it'll be easy for the four of us to join forces.\You're saying that makes it okay? response:	You were almost killed in the process.
context: you can forgive us.\Louise, wait!\Don't you think you should say something to them?\If King Joseph is dead,\then another Void Mage will be born.\I'm sure, then, it'll be easy for the four of us to join forces.\You're saying that makes it okay?\You were almost killed in the process. response:	But you were there to protect me.
context: Louise, wait!\Don't you think you should say something to them?\If King Joseph is dead,\then another Void Mage will be born.\I'm sure, then, it'll be easy for the four of us to join forces.\You're saying that makes it okay?\You were almost killed in the process.\But you were there to protect me. response:	I knew back then that you would
context: Don't you think you should say something to them?\If King Joseph is dead,\then another Void Mage will be born.\I'm sure, then, it'll be easy for the four of us to join forces.\You're saying that makes it okay?\You were almost killed in the process.\But you were there to protect me.\I knew back then that you would response:	definitely be coming soon to save me.
context: If King Joseph is dead,\then another Void Mage will be born.\I'm sure, then, it'll be easy for the four of us to join forces.\You're saying that makes it okay?\You were almost killed in the process.\But you were there to protect me.\I knew back then that you would\definitely be coming soon to save me. response:	I felt it, too.
context: then another Void Mage will be born.\I'm sure, then, it'll be easy for the four of us to join forces.\You're saying that makes it okay?\You were almost killed in the process.\But you were there to protect me.\I knew back then that you would\definitely be coming soon to save me.\I felt it, too. response:	It was like I could see you waiting for me.
context: I'm sure, then, it'll be easy for the four of us to join forces.\You're saying that makes it okay?\You were almost killed in the process.\But you were there to protect me.\I knew back then that you would\definitely be coming soon to save me.\I felt it, too.\It was like I could see you waiting for me. response:	I know you'll always be there to protect me.
context: You're saying that makes it okay?\You were almost killed in the process.\But you were there to protect me.\I knew back then that you would\definitely be coming soon to save me.\I felt it, too.\It was like I could see you waiting for me.\I know you'll always be there to protect me. response:	That's why I'm not afraid.
context: You were almost killed in the process.\But you were there to protect me.\I knew back then that you would\definitely be coming soon to save me.\I felt it, too.\It was like I could see you waiting for me.\I know you'll always be there to protect me.\That's why I'm not afraid. response:	Louise.
context: But you were there to protect me.\I knew back then that you would\definitely be coming soon to save me.\I felt it, too.\It was like I could see you waiting for me.\I know you'll always be there to protect me.\That's why I'm not afraid.\Louise. response:	Shall we go?
context: I knew back then that you would\definitely be coming soon to save me.\I felt it, too.\It was like I could see you waiting for me.\I know you'll always be there to protect me.\That's why I'm not afraid.\Louise.\Shall we go? response:	They're all waiting for us.
context: definitely be coming soon to save me.\I felt it, too.\It was like I could see you waiting for me.\I know you'll always be there to protect me.\That's why I'm not afraid.\Louise.\Shall we go?\They're all waiting for us. response:	Let's go.
context: I felt it, too.\It was like I could see you waiting for me.\I know you'll always be there to protect me.\That's why I'm not afraid.\Louise.\Shall we go?\They're all waiting for us.\Let's go. response:	What a strong bond they have.
context: It was like I could see you waiting for me.\I know you'll always be there to protect me.\That's why I'm not afraid.\Louise.\Shall we go?\They're all waiting for us.\Let's go.\What a strong bond they have. response:	How could I ever think
context: I know you'll always be there to protect me.\That's why I'm not afraid.\Louise.\Shall we go?\They're all waiting for us.\Let's go.\What a strong bond they have.\How could I ever think response:	that Saito might be my familiar?
context: That's why I'm not afraid.\Louise.\Shall we go?\They're all waiting for us.\Let's go.\What a strong bond they have.\How could I ever think\that Saito might be my familiar? response:	It's impossible.
context: Louise.\Shall we go?\They're all waiting for us.\Let's go.\What a strong bond they have.\How could I ever think\that Saito might be my familiar?\It's impossible. response:	It's the saint of Aquileia!
context: Shall we go?\They're all waiting for us.\Let's go.\What a strong bond they have.\How could I ever think\that Saito might be my familiar?\It's impossible.\It's the saint of Aquileia! response:	And the hero!
context: They're all waiting for us.\Let's go.\What a strong bond they have.\How could I ever think\that Saito might be my familiar?\It's impossible.\It's the saint of Aquileia!\And the hero! response:	This is so wonderful!
context: Let's go.\What a strong bond they have.\How could I ever think\that Saito might be my familiar?\It's impossible.\It's the saint of Aquileia!\And the hero!\This is so wonderful! response:	What is...?
context: What a strong bond they have.\How could I ever think\that Saito might be my familiar?\It's impossible.\It's the saint of Aquileia!\And the hero!\This is so wonderful!\What is...? response:	What are you doing?
context: How could I ever think\that Saito might be my familiar?\It's impossible.\It's the saint of Aquileia!\And the hero!\This is so wonderful!\What is...?\What are you doing? response:	Everyone is praising the saint of Aquileia
context: that Saito might be my familiar?\It's impossible.\It's the saint of Aquileia!\And the hero!\This is so wonderful!\What is...?\What are you doing?\Everyone is praising the saint of Aquileia response:	and the hero!
context: It's impossible.\It's the saint of Aquileia!\And the hero!\This is so wonderful!\What is...?\What are you doing?\Everyone is praising the saint of Aquileia\and the hero! response:	Long live the saint of Aquileia!
context: It's the saint of Aquileia!\And the hero!\This is so wonderful!\What is...?\What are you doing?\Everyone is praising the saint of Aquileia\and the hero!\Long live the saint of Aquileia! response:	Long live the hero!
context: And the hero!\This is so wonderful!\What is...?\What are you doing?\Everyone is praising the saint of Aquileia\and the hero!\Long live the saint of Aquileia!\Long live the hero! response:	Long live the saint of Aquileia!
context: This is so wonderful!\What is...?\What are you doing?\Everyone is praising the saint of Aquileia\and the hero!\Long live the saint of Aquileia!\Long live the hero!\Long live the saint of Aquileia! response:	Long live the hero!
context: What is...?\What are you doing?\Everyone is praising the saint of Aquileia\and the hero!\Long live the saint of Aquileia!\Long live the hero!\Long live the saint of Aquileia!\Long live the hero! response:	Long live the saint of Aquileia!
context: What are you doing?\Everyone is praising the saint of Aquileia\and the hero!\Long live the saint of Aquileia!\Long live the hero!\Long live the saint of Aquileia!\Long live the hero!\Long live the saint of Aquileia! response:	Y-You lecherous dog!
context: Everyone is praising the saint of Aquileia\and the hero!\Long live the saint of Aquileia!\Long live the hero!\Long live the saint of Aquileia!\Long live the hero!\Long live the saint of Aquileia!\Y-You lecherous dog! response:	Just because you saved Romalia doesn't mean
context: and the hero!\Long live the saint of Aquileia!\Long live the hero!\Long live the saint of Aquileia!\Long live the hero!\Long live the saint of Aquileia!\Y-You lecherous dog!\Just because you saved Romalia doesn't mean response:	I will let it slide that
context: Long live the saint of Aquileia!\Long live the hero!\Long live the saint of Aquileia!\Long live the hero!\Long live the saint of Aquileia!\Y-You lecherous dog!\Just because you saved Romalia doesn't mean\I will let it slide that response:	you're drooling over other women!
context: Long live the hero!\Long live the saint of Aquileia!\Long live the hero!\Long live the saint of Aquileia!\Y-You lecherous dog!\Just because you saved Romalia doesn't mean\I will let it slide that\you're drooling over other women! response:	Next time: The Queen's Reward
context: Long live the saint of Aquileia!\Long live the hero!\Long live the saint of Aquileia!\Y-You lecherous dog!\Just because you saved Romalia doesn't mean\I will let it slide that\you're drooling over other women!\Next time: The Queen's Reward response:	The Queen's Reward
context: Long live the hero!\Long live the saint of Aquileia!\Y-You lecherous dog!\Just because you saved Romalia doesn't mean\I will let it slide that\you're drooling over other women!\Next time: The Queen's Reward\The Queen's Reward response:	After this, let's look for a castle just for the two of us.
