context: You've put on quite the amusing farce, but enough. response:	For the false Spear Hero
context: Sure, in video games, monsters you kill just disappear.\Their corpses don't remain and rot away.\But this is reality.\You should've faced up to that fact.\And Itsuki, your little secret vigilante adventure\forced people to become refugees and live in abject poverty.\But if I hadn't taught that lord a lesson, the people would've suffered forever!\Hero powers won't solve everything. response:	You could've used your standing as a hero to pressure the people in charge.
context: Their corpses don't remain and rot away.\But this is reality.\You should've faced up to that fact.\And Itsuki, your little secret vigilante adventure\forced people to become refugees and live in abject poverty.\But if I hadn't taught that lord a lesson, the people would've suffered forever!\Hero powers won't solve everything.\You could've used your standing as a hero to pressure the people in charge. response:	Wha...
context: But this is reality.\You should've faced up to that fact.\And Itsuki, your little secret vigilante adventure\forced people to become refugees and live in abject poverty.\But if I hadn't taught that lord a lesson, the people would've suffered forever!\Hero powers won't solve everything.\You could've used your standing as a hero to pressure the people in charge.\Wha... response:	You should've spared a moment to think about how best to use your powers.
context: You should've faced up to that fact.\And Itsuki, your little secret vigilante adventure\forced people to become refugees and live in abject poverty.\But if I hadn't taught that lord a lesson, the people would've suffered forever!\Hero powers won't solve everything.\You could've used your standing as a hero to pressure the people in charge.\Wha...\You should've spared a moment to think about how best to use your powers. response:	Decipher the laws of nature and grant my target water's protection.
context: And Itsuki, your little secret vigilante adventure\forced people to become refugees and live in abject poverty.\But if I hadn't taught that lord a lesson, the people would've suffered forever!\Hero powers won't solve everything.\You could've used your standing as a hero to pressure the people in charge.\Wha...\You should've spared a moment to think about how best to use your powers.\Decipher the laws of nature and grant my target water's protection. response:	Aqua Shield.
context: forced people to become refugees and live in abject poverty.\But if I hadn't taught that lord a lesson, the people would've suffered forever!\Hero powers won't solve everything.\You could've used your standing as a hero to pressure the people in charge.\Wha...\You should've spared a moment to think about how best to use your powers.\Decipher the laws of nature and grant my target water's protection.\Aqua Shield. response:	Give Raphtalia and Filo shields, too.
context: But if I hadn't taught that lord a lesson, the people would've suffered forever!\Hero powers won't solve everything.\You could've used your standing as a hero to pressure the people in charge.\Wha...\You should've spared a moment to think about how best to use your powers.\Decipher the laws of nature and grant my target water's protection.\Aqua Shield.\Give Raphtalia and Filo shields, too. response:	Your thoughtless actions
context: Hero powers won't solve everything.\You could've used your standing as a hero to pressure the people in charge.\Wha...\You should've spared a moment to think about how best to use your powers.\Decipher the laws of nature and grant my target water's protection.\Aqua Shield.\Give Raphtalia and Filo shields, too.\Your thoughtless actions response:	are what let the Church think they could get away with this.
context: You could've used your standing as a hero to pressure the people in charge.\Wha...\You should've spared a moment to think about how best to use your powers.\Decipher the laws of nature and grant my target water's protection.\Aqua Shield.\Give Raphtalia and Filo shields, too.\Your thoughtless actions\are what let the Church think they could get away with this. response:	Wh-What were you doing, then?
context: Wha...\You should've spared a moment to think about how best to use your powers.\Decipher the laws of nature and grant my target water's protection.\Aqua Shield.\Give Raphtalia and Filo shields, too.\Your thoughtless actions\are what let the Church think they could get away with this.\Wh-What were you doing, then? response:	Sorting out your messes.
context: You should've spared a moment to think about how best to use your powers.\Decipher the laws of nature and grant my target water's protection.\Aqua Shield.\Give Raphtalia and Filo shields, too.\Your thoughtless actions\are what let the Church think they could get away with this.\Wh-What were you doing, then?\Sorting out your messes. response:	Master was always mad, saying he had to clean up after you.
context: Decipher the laws of nature and grant my target water's protection.\Aqua Shield.\Give Raphtalia and Filo shields, too.\Your thoughtless actions\are what let the Church think they could get away with this.\Wh-What were you doing, then?\Sorting out your messes.\Master was always mad, saying he had to clean up after you. response:	Cleaning up after us?
context: Aqua Shield.\Give Raphtalia and Filo shields, too.\Your thoughtless actions\are what let the Church think they could get away with this.\Wh-What were you doing, then?\Sorting out your messes.\Master was always mad, saying he had to clean up after you.\Cleaning up after us? response:	Y-Yeah! It's your fault!
context: Give Raphtalia and Filo shields, too.\Your thoughtless actions\are what let the Church think they could get away with this.\Wh-What were you doing, then?\Sorting out your messes.\Master was always mad, saying he had to clean up after you.\Cleaning up after us?\Y-Yeah! It's your fault! response:	You're one to talk!
context: Your thoughtless actions\are what let the Church think they could get away with this.\Wh-What were you doing, then?\Sorting out your messes.\Master was always mad, saying he had to clean up after you.\Cleaning up after us?\Y-Yeah! It's your fault!\You're one to talk! response:	I wish you would understand your current position a little.
context: are what let the Church think they could get away with this.\Wh-What were you doing, then?\Sorting out your messes.\Master was always mad, saying he had to clean up after you.\Cleaning up after us?\Y-Yeah! It's your fault!\You're one to talk!\I wish you would understand your current position a little. response:	Instead of fighting, you just wrapped yourself around your girl's fingers.
context: Wh-What were you doing, then?\Sorting out your messes.\Master was always mad, saying he had to clean up after you.\Cleaning up after us?\Y-Yeah! It's your fault!\You're one to talk!\I wish you would understand your current position a little.\Instead of fighting, you just wrapped yourself around your girl's fingers. response:	Leave the girls out of this!
context: Sorting out your messes.\Master was always mad, saying he had to clean up after you.\Cleaning up after us?\Y-Yeah! It's your fault!\You're one to talk!\I wish you would understand your current position a little.\Instead of fighting, you just wrapped yourself around your girl's fingers.\Leave the girls out of this! response:	We're talking about all the trouble you caused Naofumi right now!
context: Master was always mad, saying he had to clean up after you.\Cleaning up after us?\Y-Yeah! It's your fault!\You're one to talk!\I wish you would understand your current position a little.\Instead of fighting, you just wrapped yourself around your girl's fingers.\Leave the girls out of this!\We're talking about all the trouble you caused Naofumi right now! response:	If you wanna talk about trouble...
context: Cleaning up after us?\Y-Yeah! It's your fault!\You're one to talk!\I wish you would understand your current position a little.\Instead of fighting, you just wrapped yourself around your girl's fingers.\Leave the girls out of this!\We're talking about all the trouble you caused Naofumi right now!\If you wanna talk about trouble... response:	How about the time you thoughtlessly passed out a sealed seed
context: Y-Yeah! It's your fault!\You're one to talk!\I wish you would understand your current position a little.\Instead of fighting, you just wrapped yourself around your girl's fingers.\Leave the girls out of this!\We're talking about all the trouble you caused Naofumi right now!\If you wanna talk about trouble...\How about the time you thoughtlessly passed out a sealed seed response:	and let an entire area be overrun by vines? You caused the most trouble!
context: You're one to talk!\I wish you would understand your current position a little.\Instead of fighting, you just wrapped yourself around your girl's fingers.\Leave the girls out of this!\We're talking about all the trouble you caused Naofumi right now!\If you wanna talk about trouble...\How about the time you thoughtlessly passed out a sealed seed\and let an entire area be overrun by vines? You caused the most trouble! response:	I-I only did that because the villagers asked for help.
context: I wish you would understand your current position a little.\Instead of fighting, you just wrapped yourself around your girl's fingers.\Leave the girls out of this!\We're talking about all the trouble you caused Naofumi right now!\If you wanna talk about trouble...\How about the time you thoughtlessly passed out a sealed seed\and let an entire area be overrun by vines? You caused the most trouble!\I-I only did that because the villagers asked for help. response:	Sure, they had a legend saying the seed was dangerous,
context: Instead of fighting, you just wrapped yourself around your girl's fingers.\Leave the girls out of this!\We're talking about all the trouble you caused Naofumi right now!\If you wanna talk about trouble...\How about the time you thoughtlessly passed out a sealed seed\and let an entire area be overrun by vines? You caused the most trouble!\I-I only did that because the villagers asked for help.\Sure, they had a legend saying the seed was dangerous, response:	so the villagers are at fault for taking it just because a hero gave it to them, too.
context: Leave the girls out of this!\We're talking about all the trouble you caused Naofumi right now!\If you wanna talk about trouble...\How about the time you thoughtlessly passed out a sealed seed\and let an entire area be overrun by vines? You caused the most trouble!\I-I only did that because the villagers asked for help.\Sure, they had a legend saying the seed was dangerous,\so the villagers are at fault for taking it just because a hero gave it to them, too. response:	Right?
context: We're talking about all the trouble you caused Naofumi right now!\If you wanna talk about trouble...\How about the time you thoughtlessly passed out a sealed seed\and let an entire area be overrun by vines? You caused the most trouble!\I-I only did that because the villagers asked for help.\Sure, they had a legend saying the seed was dangerous,\so the villagers are at fault for taking it just because a hero gave it to them, too.\Right? response:	It just goes to show how immense the people's trust in the heroes is.
context: If you wanna talk about trouble...\How about the time you thoughtlessly passed out a sealed seed\and let an entire area be overrun by vines? You caused the most trouble!\I-I only did that because the villagers asked for help.\Sure, they had a legend saying the seed was dangerous,\so the villagers are at fault for taking it just because a hero gave it to them, too.\Right?\It just goes to show how immense the people's trust in the heroes is. response:	You should've been more aware of that.
context: How about the time you thoughtlessly passed out a sealed seed\and let an entire area be overrun by vines? You caused the most trouble!\I-I only did that because the villagers asked for help.\Sure, they had a legend saying the seed was dangerous,\so the villagers are at fault for taking it just because a hero gave it to them, too.\Right?\It just goes to show how immense the people's trust in the heroes is.\You should've been more aware of that. response:	and didn't spare a thought for anybody else.
context: and let an entire area be overrun by vines? You caused the most trouble!\I-I only did that because the villagers asked for help.\Sure, they had a legend saying the seed was dangerous,\so the villagers are at fault for taking it just because a hero gave it to them, too.\Right?\It just goes to show how immense the people's trust in the heroes is.\You should've been more aware of that.\and didn't spare a thought for anybody else. response:	As a result,
context: I-I only did that because the villagers asked for help.\Sure, they had a legend saying the seed was dangerous,\so the villagers are at fault for taking it just because a hero gave it to them, too.\Right?\It just goes to show how immense the people's trust in the heroes is.\You should've been more aware of that.\and didn't spare a thought for anybody else.\As a result, response:	instead of teaming up to fight the Wave, you just embarrassed yourselves.
context: Sure, they had a legend saying the seed was dangerous,\so the villagers are at fault for taking it just because a hero gave it to them, too.\Right?\It just goes to show how immense the people's trust in the heroes is.\You should've been more aware of that.\and didn't spare a thought for anybody else.\As a result,\instead of teaming up to fight the Wave, you just embarrassed yourselves. response:	Maybe you couldn't have taken that Glass woman,
context: so the villagers are at fault for taking it just because a hero gave it to them, too.\Right?\It just goes to show how immense the people's trust in the heroes is.\You should've been more aware of that.\and didn't spare a thought for anybody else.\As a result,\instead of teaming up to fight the Wave, you just embarrassed yourselves.\Maybe you couldn't have taken that Glass woman, response:	but you could've easily defeated the Soul Eater if you'd worked together.
context: Right?\It just goes to show how immense the people's trust in the heroes is.\You should've been more aware of that.\and didn't spare a thought for anybody else.\As a result,\instead of teaming up to fight the Wave, you just embarrassed yourselves.\Maybe you couldn't have taken that Glass woman,\but you could've easily defeated the Soul Eater if you'd worked together. response:	As the Pope says,
context: It just goes to show how immense the people's trust in the heroes is.\You should've been more aware of that.\and didn't spare a thought for anybody else.\As a result,\instead of teaming up to fight the Wave, you just embarrassed yourselves.\Maybe you couldn't have taken that Glass woman,\but you could've easily defeated the Soul Eater if you'd worked together.\As the Pope says, response:	it wouldn't be surprising if the people got sick of heroes like you.
context: You should've been more aware of that.\and didn't spare a thought for anybody else.\As a result,\instead of teaming up to fight the Wave, you just embarrassed yourselves.\Maybe you couldn't have taken that Glass woman,\but you could've easily defeated the Soul Eater if you'd worked together.\As the Pope says,\it wouldn't be surprising if the people got sick of heroes like you. response:	I don't really get it, but I do know it's the spear guy's fault.
context: and didn't spare a thought for anybody else.\As a result,\instead of teaming up to fight the Wave, you just embarrassed yourselves.\Maybe you couldn't have taken that Glass woman,\but you could've easily defeated the Soul Eater if you'd worked together.\As the Pope says,\it wouldn't be surprising if the people got sick of heroes like you.\I don't really get it, but I do know it's the spear guy's fault. response:	Don't say that! I was doing my best!
context: As a result,\instead of teaming up to fight the Wave, you just embarrassed yourselves.\Maybe you couldn't have taken that Glass woman,\but you could've easily defeated the Soul Eater if you'd worked together.\As the Pope says,\it wouldn't be surprising if the people got sick of heroes like you.\I don't really get it, but I do know it's the spear guy's fault.\Don't say that! I was doing my best! response:	Huh? Master was working harder, though.
context: instead of teaming up to fight the Wave, you just embarrassed yourselves.\Maybe you couldn't have taken that Glass woman,\but you could've easily defeated the Soul Eater if you'd worked together.\As the Pope says,\it wouldn't be surprising if the people got sick of heroes like you.\I don't really get it, but I do know it's the spear guy's fault.\Don't say that! I was doing my best!\Huh? Master was working harder, though. response:	Dear me. I can hardly bear to watch.
context: Maybe you couldn't have taken that Glass woman,\but you could've easily defeated the Soul Eater if you'd worked together.\As the Pope says,\it wouldn't be surprising if the people got sick of heroes like you.\I don't really get it, but I do know it's the spear guy's fault.\Don't say that! I was doing my best!\Huh? Master was working harder, though.\Dear me. I can hardly bear to watch. response:	You're fighting among yourselves in this situation?
context: but you could've easily defeated the Soul Eater if you'd worked together.\As the Pope says,\it wouldn't be surprising if the people got sick of heroes like you.\I don't really get it, but I do know it's the spear guy's fault.\Don't say that! I was doing my best!\Huh? Master was working harder, though.\Dear me. I can hardly bear to watch.\You're fighting among yourselves in this situation? response:	Our so-called heroes are an utter disgrace.
context: As the Pope says,\it wouldn't be surprising if the people got sick of heroes like you.\I don't really get it, but I do know it's the spear guy's fault.\Don't say that! I was doing my best!\Huh? Master was working harder, though.\Dear me. I can hardly bear to watch.\You're fighting among yourselves in this situation?\Our so-called heroes are an utter disgrace. response:	You really should be cleansed at once.
context: it wouldn't be surprising if the people got sick of heroes like you.\I don't really get it, but I do know it's the spear guy's fault.\Don't say that! I was doing my best!\Huh? Master was working harder, though.\Dear me. I can hardly bear to watch.\You're fighting among yourselves in this situation?\Our so-called heroes are an utter disgrace.\You really should be cleansed at once. response:	Fortunately, you gave us time to generate enough mana.
context: I don't really get it, but I do know it's the spear guy's fault.\Don't say that! I was doing my best!\Huh? Master was working harder, though.\Dear me. I can hardly bear to watch.\You're fighting among yourselves in this situation?\Our so-called heroes are an utter disgrace.\You really should be cleansed at once.\Fortunately, you gave us time to generate enough mana. response:	Farewell, fake heroes! And goodbye, Devil of the Shield!
context: Don't say that! I was doing my best!\Huh? Master was working harder, though.\Dear me. I can hardly bear to watch.\You're fighting among yourselves in this situation?\Our so-called heroes are an utter disgrace.\You really should be cleansed at once.\Fortunately, you gave us time to generate enough mana.\Farewell, fake heroes! And goodbye, Devil of the Shield! response:	I knew he'd use a magic attack!
context: Huh? Master was working harder, though.\Dear me. I can hardly bear to watch.\You're fighting among yourselves in this situation?\Our so-called heroes are an utter disgrace.\You really should be cleansed at once.\Fortunately, you gave us time to generate enough mana.\Farewell, fake heroes! And goodbye, Devil of the Shield!\I knew he'd use a magic attack! response:	Naofumi-sama,
context: Dear me. I can hardly bear to watch.\You're fighting among yourselves in this situation?\Our so-called heroes are an utter disgrace.\You really should be cleansed at once.\Fortunately, you gave us time to generate enough mana.\Farewell, fake heroes! And goodbye, Devil of the Shield!\I knew he'd use a magic attack!\Naofumi-sama, response:	here it comes.
context: You're fighting among yourselves in this situation?\Our so-called heroes are an utter disgrace.\You really should be cleansed at once.\Fortunately, you gave us time to generate enough mana.\Farewell, fake heroes! And goodbye, Devil of the Shield!\I knew he'd use a magic attack!\Naofumi-sama,\here it comes. response:	Brionac!
context: Our so-called heroes are an utter disgrace.\You really should be cleansed at once.\Fortunately, you gave us time to generate enough mana.\Farewell, fake heroes! And goodbye, Devil of the Shield!\I knew he'd use a magic attack!\Naofumi-sama,\here it comes.\Brionac! response:	You're the same.
context: You really should be cleansed at once.\Fortunately, you gave us time to generate enough mana.\Farewell, fake heroes! And goodbye, Devil of the Shield!\I knew he'd use a magic attack!\Naofumi-sama,\here it comes.\Brionac!\You're the same. response:	In my eyes, you and that pope are no different.
context: Fortunately, you gave us time to generate enough mana.\Farewell, fake heroes! And goodbye, Devil of the Shield!\I knew he'd use a magic attack!\Naofumi-sama,\here it comes.\Brionac!\You're the same.\In my eyes, you and that pope are no different. response:	You use and abuse people for your own benefit.
context: Farewell, fake heroes! And goodbye, Devil of the Shield!\I knew he'd use a magic attack!\Naofumi-sama,\here it comes.\Brionac!\You're the same.\In my eyes, you and that pope are no different.\You use and abuse people for your own benefit. response:	You brandish your powers for justice,
context: I knew he'd use a magic attack!\Naofumi-sama,\here it comes.\Brionac!\You're the same.\In my eyes, you and that pope are no different.\You use and abuse people for your own benefit.\You brandish your powers for justice, response:	without caring about the consequences.
context: Naofumi-sama,\here it comes.\Brionac!\You're the same.\In my eyes, you and that pope are no different.\You use and abuse people for your own benefit.\You brandish your powers for justice,\without caring about the consequences. response:	You see nothing wrong with that!
context: here it comes.\Brionac!\You're the same.\In my eyes, you and that pope are no different.\You use and abuse people for your own benefit.\You brandish your powers for justice,\without caring about the consequences.\You see nothing wrong with that! response:	And more than anything...
context: Brionac!\You're the same.\In my eyes, you and that pope are no different.\You use and abuse people for your own benefit.\You brandish your powers for justice,\without caring about the consequences.\You see nothing wrong with that!\And more than anything... response:	You try to take the things I hold dear from me.
context: You're the same.\In my eyes, you and that pope are no different.\You use and abuse people for your own benefit.\You brandish your powers for justice,\without caring about the consequences.\You see nothing wrong with that!\And more than anything...\You try to take the things I hold dear from me. response:	You people are scum.
context: In my eyes, you and that pope are no different.\You use and abuse people for your own benefit.\You brandish your powers for justice,\without caring about the consequences.\You see nothing wrong with that!\And more than anything...\You try to take the things I hold dear from me.\You people are scum. response:	It is unacceptable for heroes to be fighting.
context: You use and abuse people for your own benefit.\You brandish your powers for justice,\without caring about the consequences.\You see nothing wrong with that!\And more than anything...\You try to take the things I hold dear from me.\You people are scum.\It is unacceptable for heroes to be fighting. response:	I'll give it my best shot, but don't get your hopes up.
context: You brandish your powers for justice,\without caring about the consequences.\You see nothing wrong with that!\And more than anything...\You try to take the things I hold dear from me.\You people are scum.\It is unacceptable for heroes to be fighting.\I'll give it my best shot, but don't get your hopes up. response:	Shield Hero, please...
context: without caring about the consequences.\You see nothing wrong with that!\And more than anything...\You try to take the things I hold dear from me.\You people are scum.\It is unacceptable for heroes to be fighting.\I'll give it my best shot, but don't get your hopes up.\Shield Hero, please... response:	But...
context: You see nothing wrong with that!\And more than anything...\You try to take the things I hold dear from me.\You people are scum.\It is unacceptable for heroes to be fighting.\I'll give it my best shot, but don't get your hopes up.\Shield Hero, please...\But... response:	I'll work with you until we take him out and get out of here alive.
context: And more than anything...\You try to take the things I hold dear from me.\You people are scum.\It is unacceptable for heroes to be fighting.\I'll give it my best shot, but don't get your hopes up.\Shield Hero, please...\But...\I'll work with you until we take him out and get out of here alive. response:	Naofumi...
context: You try to take the things I hold dear from me.\You people are scum.\It is unacceptable for heroes to be fighting.\I'll give it my best shot, but don't get your hopes up.\Shield Hero, please...\But...\I'll work with you until we take him out and get out of here alive.\Naofumi... response:	Don't get the wrong idea.
context: You people are scum.\It is unacceptable for heroes to be fighting.\I'll give it my best shot, but don't get your hopes up.\Shield Hero, please...\But...\I'll work with you until we take him out and get out of here alive.\Naofumi...\Don't get the wrong idea. response:	I haven't forgiven you.
context: It is unacceptable for heroes to be fighting.\I'll give it my best shot, but don't get your hopes up.\Shield Hero, please...\But...\I'll work with you until we take him out and get out of here alive.\Naofumi...\Don't get the wrong idea.\I haven't forgiven you. response:	But...
context: I'll give it my best shot, but don't get your hopes up.\Shield Hero, please...\But...\I'll work with you until we take him out and get out of here alive.\Naofumi...\Don't get the wrong idea.\I haven't forgiven you.\But... response:	I did make Fitoria a promise.
context: Shield Hero, please...\But...\I'll work with you until we take him out and get out of here alive.\Naofumi...\Don't get the wrong idea.\I haven't forgiven you.\But...\I did make Fitoria a promise. response:	The four heroes finally stand together now.
context: But...\I'll work with you until we take him out and get out of here alive.\Naofumi...\Don't get the wrong idea.\I haven't forgiven you.\But...\I did make Fitoria a promise.\The four heroes finally stand together now. response:	Yeah.
context: I'll work with you until we take him out and get out of here alive.\Naofumi...\Don't get the wrong idea.\I haven't forgiven you.\But...\I did make Fitoria a promise.\The four heroes finally stand together now.\Yeah. response:	Don't hold me back, you guys.
context: Naofumi...\Don't get the wrong idea.\I haven't forgiven you.\But...\I did make Fitoria a promise.\The four heroes finally stand together now.\Yeah.\Don't hold me back, you guys. response:	Right back at you.
context: Don't get the wrong idea.\I haven't forgiven you.\But...\I did make Fitoria a promise.\The four heroes finally stand together now.\Yeah.\Don't hold me back, you guys.\Right back at you. response:	It's only until this battle is over.
context: I haven't forgiven you.\But...\I did make Fitoria a promise.\The four heroes finally stand together now.\Yeah.\Don't hold me back, you guys.\Right back at you.\It's only until this battle is over. response:	Sure. I think that's for the best.
context: But...\I did make Fitoria a promise.\The four heroes finally stand together now.\Yeah.\Don't hold me back, you guys.\Right back at you.\It's only until this battle is over.\Sure. I think that's for the best. response:	We need to do something about the Pope and live to meet Mother.
context: I did make Fitoria a promise.\The four heroes finally stand together now.\Yeah.\Don't hold me back, you guys.\Right back at you.\It's only until this battle is over.\Sure. I think that's for the best.\We need to do something about the Pope and live to meet Mother. response:	I'll do my best!
context: The four heroes finally stand together now.\Yeah.\Don't hold me back, you guys.\Right back at you.\It's only until this battle is over.\Sure. I think that's for the best.\We need to do something about the Pope and live to meet Mother.\I'll do my best! response:	Lend me your strength, girls.
context: Yeah.\Don't hold me back, you guys.\Right back at you.\It's only until this battle is over.\Sure. I think that's for the best.\We need to do something about the Pope and live to meet Mother.\I'll do my best!\Lend me your strength, girls. response:	Right!
context: Don't hold me back, you guys.\Right back at you.\It's only until this battle is over.\Sure. I think that's for the best.\We need to do something about the Pope and live to meet Mother.\I'll do my best!\Lend me your strength, girls.\Right! response:	Of course, Motoyasu-sama.
context: Right back at you.\It's only until this battle is over.\Sure. I think that's for the best.\We need to do something about the Pope and live to meet Mother.\I'll do my best!\Lend me your strength, girls.\Right!\Of course, Motoyasu-sama. response:	Let's do this.
context: It's only until this battle is over.\Sure. I think that's for the best.\We need to do something about the Pope and live to meet Mother.\I'll do my best!\Lend me your strength, girls.\Right!\Of course, Motoyasu-sama.\Let's do this. response:	Let's show them what we heroes are made of.
context: Sure. I think that's for the best.\We need to do something about the Pope and live to meet Mother.\I'll do my best!\Lend me your strength, girls.\Right!\Of course, Motoyasu-sama.\Let's do this.\Let's show them what we heroes are made of. response:	Raphtalia, Filo, Melty! Let's go!
context: We need to do something about the Pope and live to meet Mother.\I'll do my best!\Lend me your strength, girls.\Right!\Of course, Motoyasu-sama.\Let's do this.\Let's show them what we heroes are made of.\Raphtalia, Filo, Melty! Let's go! response:	Right!
context: I'll do my best!\Lend me your strength, girls.\Right!\Of course, Motoyasu-sama.\Let's do this.\Let's show them what we heroes are made of.\Raphtalia, Filo, Melty! Let's go!\Right! response:	Fighting together with the Devil of the Shield?
context: Lend me your strength, girls.\Right!\Of course, Motoyasu-sama.\Let's do this.\Let's show them what we heroes are made of.\Raphtalia, Filo, Melty! Let's go!\Right!\Fighting together with the Devil of the Shield? response:	A foolish act befitting the fake heroes.
context: Right!\Of course, Motoyasu-sama.\Let's do this.\Let's show them what we heroes are made of.\Raphtalia, Filo, Melty! Let's go!\Right!\Fighting together with the Devil of the Shield?\A foolish act befitting the fake heroes. response:	You leave me no choice but to purge you.
context: Of course, Motoyasu-sama.\Let's do this.\Let's show them what we heroes are made of.\Raphtalia, Filo, Melty! Let's go!\Right!\Fighting together with the Devil of the Shield?\A foolish act befitting the fake heroes.\You leave me no choice but to purge you. response:	Not a trace of you must remain.
context: Let's do this.\Let's show them what we heroes are made of.\Raphtalia, Filo, Melty! Let's go!\Right!\Fighting together with the Devil of the Shield?\A foolish act befitting the fake heroes.\You leave me no choice but to purge you.\Not a trace of you must remain. response:	We pray to our God, the source of all power.
context: Let's show them what we heroes are made of.\Raphtalia, Filo, Melty! Let's go!\Right!\Fighting together with the Devil of the Shield?\A foolish act befitting the fake heroes.\You leave me no choice but to purge you.\Not a trace of you must remain.\We pray to our God, the source of all power. response:	Decipher the laws of nature,
context: Raphtalia, Filo, Melty! Let's go!\Right!\Fighting together with the Devil of the Shield?\A foolish act befitting the fake heroes.\You leave me no choice but to purge you.\Not a trace of you must remain.\We pray to our God, the source of all power.\Decipher the laws of nature, response:	bring about a miracle, and protect the blessed ones!
context: Right!\Fighting together with the Devil of the Shield?\A foolish act befitting the fake heroes.\You leave me no choice but to purge you.\Not a trace of you must remain.\We pray to our God, the source of all power.\Decipher the laws of nature,\bring about a miracle, and protect the blessed ones! response:	Cathedral!
context: Fighting together with the Devil of the Shield?\A foolish act befitting the fake heroes.\You leave me no choice but to purge you.\Not a trace of you must remain.\We pray to our God, the source of all power.\Decipher the laws of nature,\bring about a miracle, and protect the blessed ones!\Cathedral! response:	This is your final destination!
context: A foolish act befitting the fake heroes.\You leave me no choice but to purge you.\Not a trace of you must remain.\We pray to our God, the source of all power.\Decipher the laws of nature,\bring about a miracle, and protect the blessed ones!\Cathedral!\This is your final destination! response:	F-Final destination?
context: You leave me no choice but to purge you.\Not a trace of you must remain.\We pray to our God, the source of all power.\Decipher the laws of nature,\bring about a miracle, and protect the blessed ones!\Cathedral!\This is your final destination!\F-Final destination? response:	Battle of Good and Evil
