context: December 16th, X784. Tenroujima. response:	What was that?
context: That's our Levy!\Everyone! Focus all your magic power on the Fried and Levy!\Everyone hold hands!\We're not gonna let it end here!\Right! I refuse to give up!\Everyone, join your power together as one!\Let's show this creature the bond of our guild!\That's right! Let's all go home together! response:	To Fairy Tail!
context: Everyone! Focus all your magic power on the Fried and Levy!\Everyone hold hands!\We're not gonna let it end here!\Right! I refuse to give up!\Everyone, join your power together as one!\Let's show this creature the bond of our guild!\That's right! Let's all go home together!\To Fairy Tail! response:	It's over, huh, Natsu?
context: Everyone hold hands!\We're not gonna let it end here!\Right! I refuse to give up!\Everyone, join your power together as one!\Let's show this creature the bond of our guild!\That's right! Let's all go home together!\To Fairy Tail!\It's over, huh, Natsu? response:	December 16th, X784. Tenroujima.
context: We're not gonna let it end here!\Right! I refuse to give up!\Everyone, join your power together as one!\Let's show this creature the bond of our guild!\That's right! Let's all go home together!\To Fairy Tail!\It's over, huh, Natsu?\December 16th, X784. Tenroujima. response:	Acnologia annihilated the island.
context: Right! I refuse to give up!\Everyone, join your power together as one!\Let's show this creature the bond of our guild!\That's right! Let's all go home together!\To Fairy Tail!\It's over, huh, Natsu?\December 16th, X784. Tenroujima.\Acnologia annihilated the island. response:	Then, Acnologia disappeared once more.
context: Everyone, join your power together as one!\Let's show this creature the bond of our guild!\That's right! Let's all go home together!\To Fairy Tail!\It's over, huh, Natsu?\December 16th, X784. Tenroujima.\Acnologia annihilated the island.\Then, Acnologia disappeared once more. response:	A search was conducted in the surrounding sea for the following six months,
context: Let's show this creature the bond of our guild!\That's right! Let's all go home together!\To Fairy Tail!\It's over, huh, Natsu?\December 16th, X784. Tenroujima.\Acnologia annihilated the island.\Then, Acnologia disappeared once more.\A search was conducted in the surrounding sea for the following six months, response:	but no survivors were to be found...
context: That's right! Let's all go home together!\To Fairy Tail!\It's over, huh, Natsu?\December 16th, X784. Tenroujima.\Acnologia annihilated the island.\Then, Acnologia disappeared once more.\A search was conducted in the surrounding sea for the following six months,\but no survivors were to be found... response:	And so, seven years passed...
context: To Fairy Tail!\It's over, huh, Natsu?\December 16th, X784. Tenroujima.\Acnologia annihilated the island.\Then, Acnologia disappeared once more.\A search was conducted in the surrounding sea for the following six months,\but no survivors were to be found...\And so, seven years passed... response:	Natsu, what happened to us?
context: It's over, huh, Natsu?\December 16th, X784. Tenroujima.\Acnologia annihilated the island.\Then, Acnologia disappeared once more.\A search was conducted in the surrounding sea for the following six months,\but no survivors were to be found...\And so, seven years passed...\Natsu, what happened to us? response:	I dunno. I remember we were attacked by the black dragon,
context: December 16th, X784. Tenroujima.\Acnologia annihilated the island.\Then, Acnologia disappeared once more.\A search was conducted in the surrounding sea for the following six months,\but no survivors were to be found...\And so, seven years passed...\Natsu, what happened to us?\I dunno. I remember we were attacked by the black dragon, response:	then we all got surrounded by this glowing light, and then...
context: Acnologia annihilated the island.\Then, Acnologia disappeared once more.\A search was conducted in the surrounding sea for the following six months,\but no survivors were to be found...\And so, seven years passed...\Natsu, what happened to us?\I dunno. I remember we were attacked by the black dragon,\then we all got surrounded by this glowing light, and then... response:	Do you think maybe we all died?
context: Then, Acnologia disappeared once more.\A search was conducted in the surrounding sea for the following six months,\but no survivors were to be found...\And so, seven years passed...\Natsu, what happened to us?\I dunno. I remember we were attacked by the black dragon,\then we all got surrounded by this glowing light, and then...\Do you think maybe we all died? response:	Don't be an idiot!
context: A search was conducted in the surrounding sea for the following six months,\but no survivors were to be found...\And so, seven years passed...\Natsu, what happened to us?\I dunno. I remember we were attacked by the black dragon,\then we all got surrounded by this glowing light, and then...\Do you think maybe we all died?\Don't be an idiot! response:	You think Fairy Tail could be killed off so easily?!
context: but no survivors were to be found...\And so, seven years passed...\Natsu, what happened to us?\I dunno. I remember we were attacked by the black dragon,\then we all got surrounded by this glowing light, and then...\Do you think maybe we all died?\Don't be an idiot!\You think Fairy Tail could be killed off so easily?! response:	Well, then where is everyone?
context: And so, seven years passed...\Natsu, what happened to us?\I dunno. I remember we were attacked by the black dragon,\then we all got surrounded by this glowing light, and then...\Do you think maybe we all died?\Don't be an idiot!\You think Fairy Tail could be killed off so easily?!\Well, then where is everyone? response:	Next time: Fairy Tail, X791
context: Natsu, what happened to us?\I dunno. I remember we were attacked by the black dragon,\then we all got surrounded by this glowing light, and then...\Do you think maybe we all died?\Don't be an idiot!\You think Fairy Tail could be killed off so easily?!\Well, then where is everyone?\Next time: Fairy Tail, X791 response:	For now, let's just track everyone down and go home!
context: I dunno. I remember we were attacked by the black dragon,\then we all got surrounded by this glowing light, and then...\Do you think maybe we all died?\Don't be an idiot!\You think Fairy Tail could be killed off so easily?!\Well, then where is everyone?\Next time: Fairy Tail, X791\For now, let's just track everyone down and go home! response:	Yeah. You're right. Let's all go home together, to the guild.
