context: Today, we'll be cooking with oil' response:	'so everyone, put on your gear, and let's work hard, alright?
context: Fly!\Get on!\Hurry up and get on, brat!\Show me the direction'\That way!\At school?\With this card, Shao Lan's heart'\Yes. response:	There!
context: Get on!\Hurry up and get on, brat!\Show me the direction'\That way!\At school?\With this card, Shao Lan's heart'\Yes.\There! response:	She's got it, dammit'
context: Hurry up and get on, brat!\Show me the direction'\That way!\At school?\With this card, Shao Lan's heart'\Yes.\There!\She's got it, dammit' response:	Mei Lin!
context: Show me the direction'\That way!\At school?\With this card, Shao Lan's heart'\Yes.\There!\She's got it, dammit'\Mei Lin! response:	Shao Lan!
context: That way!\At school?\With this card, Shao Lan's heart'\Yes.\There!\She's got it, dammit'\Mei Lin!\Shao Lan! response:	Why're you with Kinomoto?
context: At school?\With this card, Shao Lan's heart'\Yes.\There!\She's got it, dammit'\Mei Lin!\Shao Lan!\Why're you with Kinomoto? response:	Mei Lin, that card you've got'
context: With this card, Shao Lan's heart'\Yes.\There!\She's got it, dammit'\Mei Lin!\Shao Lan!\Why're you with Kinomoto?\Mei Lin, that card you've got' response:	This?
context: Yes.\There!\She's got it, dammit'\Mei Lin!\Shao Lan!\Why're you with Kinomoto?\Mei Lin, that card you've got'\This? response:	That's a real Clow Card!
context: There!\She's got it, dammit'\Mei Lin!\Shao Lan!\Why're you with Kinomoto?\Mei Lin, that card you've got'\This?\That's a real Clow Card! response:	No way! This is an Enchanting Card I bought!
context: She's got it, dammit'\Mei Lin!\Shao Lan!\Why're you with Kinomoto?\Mei Lin, that card you've got'\This?\That's a real Clow Card!\No way! This is an Enchanting Card I bought! response:	It's a dangerous card! Hurry up and hand it over!
context: Mei Lin!\Shao Lan!\Why're you with Kinomoto?\Mei Lin, that card you've got'\This?\That's a real Clow Card!\No way! This is an Enchanting Card I bought!\It's a dangerous card! Hurry up and hand it over! response:	What's with you two?!
context: Shao Lan!\Why're you with Kinomoto?\Mei Lin, that card you've got'\This?\That's a real Clow Card!\No way! This is an Enchanting Card I bought!\It's a dangerous card! Hurry up and hand it over!\What's with you two?! response:	She's really stubborn, ain't she?
context: Why're you with Kinomoto?\Mei Lin, that card you've got'\This?\That's a real Clow Card!\No way! This is an Enchanting Card I bought!\It's a dangerous card! Hurry up and hand it over!\What's with you two?!\She's really stubborn, ain't she? response:	With this card
context: Mei Lin, that card you've got'\This?\That's a real Clow Card!\No way! This is an Enchanting Card I bought!\It's a dangerous card! Hurry up and hand it over!\What's with you two?!\She's really stubborn, ain't she?\With this card response:	I'll aim at Shao Lan's heart!
context: This?\That's a real Clow Card!\No way! This is an Enchanting Card I bought!\It's a dangerous card! Hurry up and hand it over!\What's with you two?!\She's really stubborn, ain't she?\With this card\I'll aim at Shao Lan's heart! response:	Oh, no!
context: That's a real Clow Card!\No way! This is an Enchanting Card I bought!\It's a dangerous card! Hurry up and hand it over!\What's with you two?!\She's really stubborn, ain't she?\With this card\I'll aim at Shao Lan's heart!\Oh, no! response:	Li!
context: No way! This is an Enchanting Card I bought!\It's a dangerous card! Hurry up and hand it over!\What's with you two?!\She's really stubborn, ain't she?\With this card\I'll aim at Shao Lan's heart!\Oh, no!\Li! response:	Brat!
context: It's a dangerous card! Hurry up and hand it over!\What's with you two?!\She's really stubborn, ain't she?\With this card\I'll aim at Shao Lan's heart!\Oh, no!\Li!\Brat! response:	Shao Lan!
context: What's with you two?!\She's really stubborn, ain't she?\With this card\I'll aim at Shao Lan's heart!\Oh, no!\Li!\Brat!\Shao Lan! response:	Brat, behind you!
context: She's really stubborn, ain't she?\With this card\I'll aim at Shao Lan's heart!\Oh, no!\Li!\Brat!\Shao Lan!\Brat, behind you! response:	Shield!
context: With this card\I'll aim at Shao Lan's heart!\Oh, no!\Li!\Brat!\Shao Lan!\Brat, behind you!\Shield! response:	Sakura, seal it quickly!
context: I'll aim at Shao Lan's heart!\Oh, no!\Li!\Brat!\Shao Lan!\Brat, behind you!\Shield!\Sakura, seal it quickly! response:	It's not weak enough yet!
context: Oh, no!\Li!\Brat!\Shao Lan!\Brat, behind you!\Shield!\Sakura, seal it quickly!\It's not weak enough yet! response:	I've gotta do something, or it won't stop.
context: Li!\Brat!\Shao Lan!\Brat, behind you!\Shield!\Sakura, seal it quickly!\It's not weak enough yet!\I've gotta do something, or it won't stop. response:	Shao Lan!
context: Brat!\Shao Lan!\Brat, behind you!\Shield!\Sakura, seal it quickly!\It's not weak enough yet!\I've gotta do something, or it won't stop.\Shao Lan! response:	It's only aiming at me!
context: Shao Lan!\Brat, behind you!\Shield!\Sakura, seal it quickly!\It's not weak enough yet!\I've gotta do something, or it won't stop.\Shao Lan!\It's only aiming at me! response:	When you get a chance, seal it!
context: Brat, behind you!\Shield!\Sakura, seal it quickly!\It's not weak enough yet!\I've gotta do something, or it won't stop.\Shao Lan!\It's only aiming at me!\When you get a chance, seal it! response:	But'!
context: Shield!\Sakura, seal it quickly!\It's not weak enough yet!\I've gotta do something, or it won't stop.\Shao Lan!\It's only aiming at me!\When you get a chance, seal it!\But'! response:	Hurry!
context: Sakura, seal it quickly!\It's not weak enough yet!\I've gotta do something, or it won't stop.\Shao Lan!\It's only aiming at me!\When you get a chance, seal it!\But'!\Hurry! response:	Those attacks are only going to get stronger!
context: It's not weak enough yet!\I've gotta do something, or it won't stop.\Shao Lan!\It's only aiming at me!\When you get a chance, seal it!\But'!\Hurry!\Those attacks are only going to get stronger! response:	Oh, no!
context: I've gotta do something, or it won't stop.\Shao Lan!\It's only aiming at me!\When you get a chance, seal it!\But'!\Hurry!\Those attacks are only going to get stronger!\Oh, no! response:	No!
context: Shao Lan!\It's only aiming at me!\When you get a chance, seal it!\But'!\Hurry!\Those attacks are only going to get stronger!\Oh, no!\No! response:	That's it! Li!
context: It's only aiming at me!\When you get a chance, seal it!\But'!\Hurry!\Those attacks are only going to get stronger!\Oh, no!\No!\That's it! Li! response:	Got it!
context: When you get a chance, seal it!\But'!\Hurry!\Those attacks are only going to get stronger!\Oh, no!\No!\That's it! Li!\Got it! response:	Mirror, whatsoever looks upon you, return it!
context: But'!\Hurry!\Those attacks are only going to get stronger!\Oh, no!\No!\That's it! Li!\Got it!\Mirror, whatsoever looks upon you, return it! response:	Mirror!
context: Hurry!\Those attacks are only going to get stronger!\Oh, no!\No!\That's it! Li!\Got it!\Mirror, whatsoever looks upon you, return it!\Mirror! response:	Now!
context: Those attacks are only going to get stronger!\Oh, no!\No!\That's it! Li!\Got it!\Mirror, whatsoever looks upon you, return it!\Mirror!\Now! response:	Return to thy true form, Clow Card!
context: Oh, no!\No!\That's it! Li!\Got it!\Mirror, whatsoever looks upon you, return it!\Mirror!\Now!\Return to thy true form, Clow Card! response:	Hey, using the Mirror card
context: No!\That's it! Li!\Got it!\Mirror, whatsoever looks upon you, return it!\Mirror!\Now!\Return to thy true form, Clow Card!\Hey, using the Mirror card response:	to reflect the shot back was a pretty good idea.
context: That's it! Li!\Got it!\Mirror, whatsoever looks upon you, return it!\Mirror!\Now!\Return to thy true form, Clow Card!\Hey, using the Mirror card\to reflect the shot back was a pretty good idea. response:	Oh yeah, where's Mei Lin?
context: Got it!\Mirror, whatsoever looks upon you, return it!\Mirror!\Now!\Return to thy true form, Clow Card!\Hey, using the Mirror card\to reflect the shot back was a pretty good idea.\Oh yeah, where's Mei Lin? response:	Over here.
context: Mirror, whatsoever looks upon you, return it!\Mirror!\Now!\Return to thy true form, Clow Card!\Hey, using the Mirror card\to reflect the shot back was a pretty good idea.\Oh yeah, where's Mei Lin?\Over here. response:	Tomoyo!
context: Mirror!\Now!\Return to thy true form, Clow Card!\Hey, using the Mirror card\to reflect the shot back was a pretty good idea.\Oh yeah, where's Mei Lin?\Over here.\Tomoyo! response:	When did you get here, Tomoyo?
context: Now!\Return to thy true form, Clow Card!\Hey, using the Mirror card\to reflect the shot back was a pretty good idea.\Oh yeah, where's Mei Lin?\Over here.\Tomoyo!\When did you get here, Tomoyo? response:	I was able to capture your victory on tape.
context: Return to thy true form, Clow Card!\Hey, using the Mirror card\to reflect the shot back was a pretty good idea.\Oh yeah, where's Mei Lin?\Over here.\Tomoyo!\When did you get here, Tomoyo?\I was able to capture your victory on tape. response:	It's ready any time.
context: Hey, using the Mirror card\to reflect the shot back was a pretty good idea.\Oh yeah, where's Mei Lin?\Over here.\Tomoyo!\When did you get here, Tomoyo?\I was able to capture your victory on tape.\It's ready any time. response:	I did it!
context: to reflect the shot back was a pretty good idea.\Oh yeah, where's Mei Lin?\Over here.\Tomoyo!\When did you get here, Tomoyo?\I was able to capture your victory on tape.\It's ready any time.\I did it! response:	You're doing fine.
context: Oh yeah, where's Mei Lin?\Over here.\Tomoyo!\When did you get here, Tomoyo?\I was able to capture your victory on tape.\It's ready any time.\I did it!\You're doing fine. response:	Yes.
context: Over here.\Tomoyo!\When did you get here, Tomoyo?\I was able to capture your victory on tape.\It's ready any time.\I did it!\You're doing fine.\Yes. response:	I wonder if the Enchanting Cards granting all those wishes'
context: Tomoyo!\When did you get here, Tomoyo?\I was able to capture your victory on tape.\It's ready any time.\I did it!\You're doing fine.\Yes.\I wonder if the Enchanting Cards granting all those wishes' response:	'was really because of the Clow Card?
context: When did you get here, Tomoyo?\I was able to capture your victory on tape.\It's ready any time.\I did it!\You're doing fine.\Yes.\I wonder if the Enchanting Cards granting all those wishes'\'was really because of the Clow Card? response:	It's not incantations, magic, or anything.
context: I was able to capture your victory on tape.\It's ready any time.\I did it!\You're doing fine.\Yes.\I wonder if the Enchanting Cards granting all those wishes'\'was really because of the Clow Card?\It's not incantations, magic, or anything. response:	people keep trying hard,
context: It's ready any time.\I did it!\You're doing fine.\Yes.\I wonder if the Enchanting Cards granting all those wishes'\'was really because of the Clow Card?\It's not incantations, magic, or anything.\people keep trying hard, response:	they can do anything.
context: I did it!\You're doing fine.\Yes.\I wonder if the Enchanting Cards granting all those wishes'\'was really because of the Clow Card?\It's not incantations, magic, or anything.\people keep trying hard,\they can do anything. response:	Sakura, this is a pretty good croquette.
context: You're doing fine.\Yes.\I wonder if the Enchanting Cards granting all those wishes'\'was really because of the Clow Card?\It's not incantations, magic, or anything.\people keep trying hard,\they can do anything.\Sakura, this is a pretty good croquette. response:	All right, I can eat it myself!
context: Yes.\I wonder if the Enchanting Cards granting all those wishes'\'was really because of the Clow Card?\It's not incantations, magic, or anything.\people keep trying hard,\they can do anything.\Sakura, this is a pretty good croquette.\All right, I can eat it myself! response:	No you can't, Shao Lan, you're hurt!
context: I wonder if the Enchanting Cards granting all those wishes'\'was really because of the Clow Card?\It's not incantations, magic, or anything.\people keep trying hard,\they can do anything.\Sakura, this is a pretty good croquette.\All right, I can eat it myself!\No you can't, Shao Lan, you're hurt! response:	Li, how's your injury?
context: 'was really because of the Clow Card?\It's not incantations, magic, or anything.\people keep trying hard,\they can do anything.\Sakura, this is a pretty good croquette.\All right, I can eat it myself!\No you can't, Shao Lan, you're hurt!\Li, how's your injury? response:	It's no big deal.
context: It's not incantations, magic, or anything.\people keep trying hard,\they can do anything.\Sakura, this is a pretty good croquette.\All right, I can eat it myself!\No you can't, Shao Lan, you're hurt!\Li, how's your injury?\It's no big deal. response:	Shao Lan, we're still in the middle of eating.
context: people keep trying hard,\they can do anything.\Sakura, this is a pretty good croquette.\All right, I can eat it myself!\No you can't, Shao Lan, you're hurt!\Li, how's your injury?\It's no big deal.\Shao Lan, we're still in the middle of eating. response:	Kinomoto!
context: they can do anything.\Sakura, this is a pretty good croquette.\All right, I can eat it myself!\No you can't, Shao Lan, you're hurt!\Li, how's your injury?\It's no big deal.\Shao Lan, we're still in the middle of eating.\Kinomoto! response:	For me?
context: Sakura, this is a pretty good croquette.\All right, I can eat it myself!\No you can't, Shao Lan, you're hurt!\Li, how's your injury?\It's no big deal.\Shao Lan, we're still in the middle of eating.\Kinomoto!\For me? response:	Thanks for getting the Clow Card this time'
context: All right, I can eat it myself!\No you can't, Shao Lan, you're hurt!\Li, how's your injury?\It's no big deal.\Shao Lan, we're still in the middle of eating.\Kinomoto!\For me?\Thanks for getting the Clow Card this time' response:	'but next time we'll win!
context: No you can't, Shao Lan, you're hurt!\Li, how's your injury?\It's no big deal.\Shao Lan, we're still in the middle of eating.\Kinomoto!\For me?\Thanks for getting the Clow Card this time'\'but next time we'll win! response:	Thanks, Mei Lin! I appreciate this!
context: Li, how's your injury?\It's no big deal.\Shao Lan, we're still in the middle of eating.\Kinomoto!\For me?\Thanks for getting the Clow Card this time'\'but next time we'll win!\Thanks, Mei Lin! I appreciate this! response:	But, Sakura,
context: It's no big deal.\Shao Lan, we're still in the middle of eating.\Kinomoto!\For me?\Thanks for getting the Clow Card this time'\'but next time we'll win!\Thanks, Mei Lin! I appreciate this!\But, Sakura, response:	you were able to make croquettes this time, right?
context: Shao Lan, we're still in the middle of eating.\Kinomoto!\For me?\Thanks for getting the Clow Card this time'\'but next time we'll win!\Thanks, Mei Lin! I appreciate this!\But, Sakura,\you were able to make croquettes this time, right? response:	Yep! But there's still room for improvement.
context: Kinomoto!\For me?\Thanks for getting the Clow Card this time'\'but next time we'll win!\Thanks, Mei Lin! I appreciate this!\But, Sakura,\you were able to make croquettes this time, right?\Yep! But there's still room for improvement. response:	And Mei Lin gave me this.
context: For me?\Thanks for getting the Clow Card this time'\'but next time we'll win!\Thanks, Mei Lin! I appreciate this!\But, Sakura,\you were able to make croquettes this time, right?\Yep! But there's still room for improvement.\And Mei Lin gave me this. response:	I'm glad.
