context: What's wrong? Everything okay, Akari? response:	Yeah. It's nothing.
context: She can give life to all sorts of things with her magic.\Magic?!\So that's why all the toys started their rampage in the city earlier.\Yeah.\That Liberty girl was saying that she was going to keep pumping up the party.\What is she really trying to do?\As you've heard, the actions, motives, and abilities of Liberty,\the suspected mastermind behind this case, are unknown. response:	There are too many question marks.
context: Magic?!\So that's why all the toys started their rampage in the city earlier.\Yeah.\That Liberty girl was saying that she was going to keep pumping up the party.\What is she really trying to do?\As you've heard, the actions, motives, and abilities of Liberty,\the suspected mastermind behind this case, are unknown.\There are too many question marks. response:	Our first priority is to determine what she's after, so that we can keep
context: So that's why all the toys started their rampage in the city earlier.\Yeah.\That Liberty girl was saying that she was going to keep pumping up the party.\What is she really trying to do?\As you've heard, the actions, motives, and abilities of Liberty,\the suspected mastermind behind this case, are unknown.\There are too many question marks.\Our first priority is to determine what she's after, so that we can keep response:	the chaos to a minimum this Christmas Eve.
context: Yeah.\That Liberty girl was saying that she was going to keep pumping up the party.\What is she really trying to do?\As you've heard, the actions, motives, and abilities of Liberty,\the suspected mastermind behind this case, are unknown.\There are too many question marks.\Our first priority is to determine what she's after, so that we can keep\the chaos to a minimum this Christmas Eve. response:	That said, firearms don't work against them.
context: That Liberty girl was saying that she was going to keep pumping up the party.\What is she really trying to do?\As you've heard, the actions, motives, and abilities of Liberty,\the suspected mastermind behind this case, are unknown.\There are too many question marks.\Our first priority is to determine what she's after, so that we can keep\the chaos to a minimum this Christmas Eve.\That said, firearms don't work against them. response:	All of you, please be extra vigilant.
context: What is she really trying to do?\As you've heard, the actions, motives, and abilities of Liberty,\the suspected mastermind behind this case, are unknown.\There are too many question marks.\Our first priority is to determine what she's after, so that we can keep\the chaos to a minimum this Christmas Eve.\That said, firearms don't work against them.\All of you, please be extra vigilant. response:	Over.
context: As you've heard, the actions, motives, and abilities of Liberty,\the suspected mastermind behind this case, are unknown.\There are too many question marks.\Our first priority is to determine what she's after, so that we can keep\the chaos to a minimum this Christmas Eve.\That said, firearms don't work against them.\All of you, please be extra vigilant.\Over. response:	How are we supposed to be vigilant against someone who can use magic?
context: the suspected mastermind behind this case, are unknown.\There are too many question marks.\Our first priority is to determine what she's after, so that we can keep\the chaos to a minimum this Christmas Eve.\That said, firearms don't work against them.\All of you, please be extra vigilant.\Over.\How are we supposed to be vigilant against someone who can use magic? response:	Start wizard training right now or something?
context: There are too many question marks.\Our first priority is to determine what she's after, so that we can keep\the chaos to a minimum this Christmas Eve.\That said, firearms don't work against them.\All of you, please be extra vigilant.\Over.\How are we supposed to be vigilant against someone who can use magic?\Start wizard training right now or something? response:	That's...
context: Our first priority is to determine what she's after, so that we can keep\the chaos to a minimum this Christmas Eve.\That said, firearms don't work against them.\All of you, please be extra vigilant.\Over.\How are we supposed to be vigilant against someone who can use magic?\Start wizard training right now or something?\That's... response:	Apple?
context: the chaos to a minimum this Christmas Eve.\That said, firearms don't work against them.\All of you, please be extra vigilant.\Over.\How are we supposed to be vigilant against someone who can use magic?\Start wizard training right now or something?\That's...\Apple? response:	Don't worry, Akari. I'm going to capture Liberty.
context: That said, firearms don't work against them.\All of you, please be extra vigilant.\Over.\How are we supposed to be vigilant against someone who can use magic?\Start wizard training right now or something?\That's...\Apple?\Don't worry, Akari. I'm going to capture Liberty. response:	Apple!
context: All of you, please be extra vigilant.\Over.\How are we supposed to be vigilant against someone who can use magic?\Start wizard training right now or something?\That's...\Apple?\Don't worry, Akari. I'm going to capture Liberty.\Apple! response:	Everyone! Let's play together!
context: Over.\How are we supposed to be vigilant against someone who can use magic?\Start wizard training right now or something?\That's...\Apple?\Don't worry, Akari. I'm going to capture Liberty.\Apple!\Everyone! Let's play together! response:	Let's make this an unforgettable Christmas!
context: How are we supposed to be vigilant against someone who can use magic?\Start wizard training right now or something?\That's...\Apple?\Don't worry, Akari. I'm going to capture Liberty.\Apple!\Everyone! Let's play together!\Let's make this an unforgettable Christmas! response:	Huh?
context: Start wizard training right now or something?\That's...\Apple?\Don't worry, Akari. I'm going to capture Liberty.\Apple!\Everyone! Let's play together!\Let's make this an unforgettable Christmas!\Huh? response:	Oh, you want me to play with you, little bear?
context: That's...\Apple?\Don't worry, Akari. I'm going to capture Liberty.\Apple!\Everyone! Let's play together!\Let's make this an unforgettable Christmas!\Huh?\Oh, you want me to play with you, little bear? response:	You're good, little bear!
context: Apple?\Don't worry, Akari. I'm going to capture Liberty.\Apple!\Everyone! Let's play together!\Let's make this an unforgettable Christmas!\Huh?\Oh, you want me to play with you, little bear?\You're good, little bear! response:	You
context: Don't worry, Akari. I'm going to capture Liberty.\Apple!\Everyone! Let's play together!\Let's make this an unforgettable Christmas!\Huh?\Oh, you want me to play with you, little bear?\You're good, little bear!\You response:	Oh, you got me.
context: Apple!\Everyone! Let's play together!\Let's make this an unforgettable Christmas!\Huh?\Oh, you want me to play with you, little bear?\You're good, little bear!\You\Oh, you got me. response:	I guess I'll grant you this one.
context: Everyone! Let's play together!\Let's make this an unforgettable Christmas!\Huh?\Oh, you want me to play with you, little bear?\You're good, little bear!\You\Oh, you got me.\I guess I'll grant you this one. response:	Happy holidays!
context: Let's make this an unforgettable Christmas!\Huh?\Oh, you want me to play with you, little bear?\You're good, little bear!\You\Oh, you got me.\I guess I'll grant you this one.\Happy holidays! response:	Oh, no!
context: Huh?\Oh, you want me to play with you, little bear?\You're good, little bear!\You\Oh, you got me.\I guess I'll grant you this one.\Happy holidays!\Oh, no! response:	You're not getting away!
context: Oh, you want me to play with you, little bear?\You're good, little bear!\You\Oh, you got me.\I guess I'll grant you this one.\Happy holidays!\Oh, no!\You're not getting away! response:	Everybody, you can't sit in the dark like this on Christmas!
context: You're good, little bear!\You\Oh, you got me.\I guess I'll grant you this one.\Happy holidays!\Oh, no!\You're not getting away!\Everybody, you can't sit in the dark like this on Christmas! response:	Wakey, wakey!
context: You\Oh, you got me.\I guess I'll grant you this one.\Happy holidays!\Oh, no!\You're not getting away!\Everybody, you can't sit in the dark like this on Christmas!\Wakey, wakey! response:	Stop it already!
context: Oh, you got me.\I guess I'll grant you this one.\Happy holidays!\Oh, no!\You're not getting away!\Everybody, you can't sit in the dark like this on Christmas!\Wakey, wakey!\Stop it already! response:	Jeez, you just never give up!
context: I guess I'll grant you this one.\Happy holidays!\Oh, no!\You're not getting away!\Everybody, you can't sit in the dark like this on Christmas!\Wakey, wakey!\Stop it already!\Jeez, you just never give up! response:	What is that?
context: Happy holidays!\Oh, no!\You're not getting away!\Everybody, you can't sit in the dark like this on Christmas!\Wakey, wakey!\Stop it already!\Jeez, you just never give up!\What is that? response:	A blackout?
context: Oh, no!\You're not getting away!\Everybody, you can't sit in the dark like this on Christmas!\Wakey, wakey!\Stop it already!\Jeez, you just never give up!\What is that?\A blackout? response:	What's going on?
context: You're not getting away!\Everybody, you can't sit in the dark like this on Christmas!\Wakey, wakey!\Stop it already!\Jeez, you just never give up!\What is that?\A blackout?\What's going on? response:	What is this?
context: Everybody, you can't sit in the dark like this on Christmas!\Wakey, wakey!\Stop it already!\Jeez, you just never give up!\What is that?\A blackout?\What's going on?\What is this? response:	I'm scared!
context: Wakey, wakey!\Stop it already!\Jeez, you just never give up!\What is that?\A blackout?\What's going on?\What is this?\I'm scared! response:	Of all the times for this to happen...
context: Stop it already!\Jeez, you just never give up!\What is that?\A blackout?\What's going on?\What is this?\I'm scared!\Of all the times for this to happen... response:	What is that?!
context: Jeez, you just never give up!\What is that?\A blackout?\What's going on?\What is this?\I'm scared!\Of all the times for this to happen...\What is that?! response:	It's at the American Museum of Natural History.
context: What is that?\A blackout?\What's going on?\What is this?\I'm scared!\Of all the times for this to happen...\What is that?!\It's at the American Museum of Natural History. response:	That's where Apple went.
context: A blackout?\What's going on?\What is this?\I'm scared!\Of all the times for this to happen...\What is that?!\It's at the American Museum of Natural History.\That's where Apple went. response:	What... is that?
context: What's going on?\What is this?\I'm scared!\Of all the times for this to happen...\What is that?!\It's at the American Museum of Natural History.\That's where Apple went.\What... is that? response:	He's absorbing the city's electricity.
context: What is this?\I'm scared!\Of all the times for this to happen...\What is that?!\It's at the American Museum of Natural History.\That's where Apple went.\What... is that?\He's absorbing the city's electricity. response:	What the?
context: I'm scared!\Of all the times for this to happen...\What is that?!\It's at the American Museum of Natural History.\That's where Apple went.\What... is that?\He's absorbing the city's electricity.\What the? response:	What's going on?!
context: Of all the times for this to happen...\What is that?!\It's at the American Museum of Natural History.\That's where Apple went.\What... is that?\He's absorbing the city's electricity.\What the?\What's going on?! response:	For your own safety, please do not leave your vehicles.
context: What is that?!\It's at the American Museum of Natural History.\That's where Apple went.\What... is that?\He's absorbing the city's electricity.\What the?\What's going on?!\For your own safety, please do not leave your vehicles. response:	HQ, do you copy?
context: It's at the American Museum of Natural History.\That's where Apple went.\What... is that?\He's absorbing the city's electricity.\What the?\What's going on?!\For your own safety, please do not leave your vehicles.\HQ, do you copy? response:	It's Christmas in the dark!
context: That's where Apple went.\What... is that?\He's absorbing the city's electricity.\What the?\What's going on?!\For your own safety, please do not leave your vehicles.\HQ, do you copy?\It's Christmas in the dark! response:	Yay!
context: What... is that?\He's absorbing the city's electricity.\What the?\What's going on?!\For your own safety, please do not leave your vehicles.\HQ, do you copy?\It's Christmas in the dark!\Yay! response:	Happy holidays!
context: He's absorbing the city's electricity.\What the?\What's going on?!\For your own safety, please do not leave your vehicles.\HQ, do you copy?\It's Christmas in the dark!\Yay!\Happy holidays! response:	Collision between motorbike and bicycle on 42nd by the park.
context: What the?\What's going on?!\For your own safety, please do not leave your vehicles.\HQ, do you copy?\It's Christmas in the dark!\Yay!\Happy holidays!\Collision between motorbike and bicycle on 42nd by the park. response:	Requesting an ambulance stat.
context: What's going on?!\For your own safety, please do not leave your vehicles.\HQ, do you copy?\It's Christmas in the dark!\Yay!\Happy holidays!\Collision between motorbike and bicycle on 42nd by the park.\Requesting an ambulance stat. response:	What's the scale of this blackout?!
context: For your own safety, please do not leave your vehicles.\HQ, do you copy?\It's Christmas in the dark!\Yay!\Happy holidays!\Collision between motorbike and bicycle on 42nd by the park.\Requesting an ambulance stat.\What's the scale of this blackout?! response:	We need to go after Apple.
context: HQ, do you copy?\It's Christmas in the dark!\Yay!\Happy holidays!\Collision between motorbike and bicycle on 42nd by the park.\Requesting an ambulance stat.\What's the scale of this blackout?!\We need to go after Apple. response:	But you see what's going on.
context: It's Christmas in the dark!\Yay!\Happy holidays!\Collision between motorbike and bicycle on 42nd by the park.\Requesting an ambulance stat.\What's the scale of this blackout?!\We need to go after Apple.\But you see what's going on. response:	Wh-What are you doing?!
context: Yay!\Happy holidays!\Collision between motorbike and bicycle on 42nd by the park.\Requesting an ambulance stat.\What's the scale of this blackout?!\We need to go after Apple.\But you see what's going on.\Wh-What are you doing?! response:	My apologies, but I need to borrow this! I'll return it afterwards!
context: Happy holidays!\Collision between motorbike and bicycle on 42nd by the park.\Requesting an ambulance stat.\What's the scale of this blackout?!\We need to go after Apple.\But you see what's going on.\Wh-What are you doing?!\My apologies, but I need to borrow this! I'll return it afterwards! response:	Wha... Bu...
context: Collision between motorbike and bicycle on 42nd by the park.\Requesting an ambulance stat.\What's the scale of this blackout?!\We need to go after Apple.\But you see what's going on.\Wh-What are you doing?!\My apologies, but I need to borrow this! I'll return it afterwards!\Wha... Bu... response:	Please contact me there!
context: Requesting an ambulance stat.\What's the scale of this blackout?!\We need to go after Apple.\But you see what's going on.\Wh-What are you doing?!\My apologies, but I need to borrow this! I'll return it afterwards!\Wha... Bu...\Please contact me there! response:	Wait... I can't read Japanese.
context: What's the scale of this blackout?!\We need to go after Apple.\But you see what's going on.\Wh-What are you doing?!\My apologies, but I need to borrow this! I'll return it afterwards!\Wha... Bu...\Please contact me there!\Wait... I can't read Japanese. response:	Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido
context: We need to go after Apple.\But you see what's going on.\Wh-What are you doing?!\My apologies, but I need to borrow this! I'll return it afterwards!\Wha... Bu...\Please contact me there!\Wait... I can't read Japanese.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido response:	Turn right at the next intersection.
context: But you see what's going on.\Wh-What are you doing?!\My apologies, but I need to borrow this! I'll return it afterwards!\Wha... Bu...\Please contact me there!\Wait... I can't read Japanese.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido\Turn right at the next intersection. response:	There should be fewer people there, so you can go faster.
context: Wh-What are you doing?!\My apologies, but I need to borrow this! I'll return it afterwards!\Wha... Bu...\Please contact me there!\Wait... I can't read Japanese.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido\Turn right at the next intersection.\There should be fewer people there, so you can go faster. response:	Roger!
context: My apologies, but I need to borrow this! I'll return it afterwards!\Wha... Bu...\Please contact me there!\Wait... I can't read Japanese.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido\Turn right at the next intersection.\There should be fewer people there, so you can go faster.\Roger! response:	Leave the navigating to me. And the pedaling
context: Wha... Bu...\Please contact me there!\Wait... I can't read Japanese.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido\Turn right at the next intersection.\There should be fewer people there, so you can go faster.\Roger!\Leave the navigating to me. And the pedaling response:	I've got it!
context: Please contact me there!\Wait... I can't read Japanese.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido\Turn right at the next intersection.\There should be fewer people there, so you can go faster.\Roger!\Leave the navigating to me. And the pedaling\I've got it! response:	This is like an entirely different city.
context: Wait... I can't read Japanese.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido\Turn right at the next intersection.\There should be fewer people there, so you can go faster.\Roger!\Leave the navigating to me. And the pedaling\I've got it!\This is like an entirely different city. response:	Of course.
context: Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido\Turn right at the next intersection.\There should be fewer people there, so you can go faster.\Roger!\Leave the navigating to me. And the pedaling\I've got it!\This is like an entirely different city.\Of course. response:	Any city will look nice from far away,
context: Turn right at the next intersection.\There should be fewer people there, so you can go faster.\Roger!\Leave the navigating to me. And the pedaling\I've got it!\This is like an entirely different city.\Of course.\Any city will look nice from far away, response:	but the closer you get, the more you see the grime and dirt.
context: There should be fewer people there, so you can go faster.\Roger!\Leave the navigating to me. And the pedaling\I've got it!\This is like an entirely different city.\Of course.\Any city will look nice from far away,\but the closer you get, the more you see the grime and dirt. response:	That's especially true for New York.
context: Roger!\Leave the navigating to me. And the pedaling\I've got it!\This is like an entirely different city.\Of course.\Any city will look nice from far away,\but the closer you get, the more you see the grime and dirt.\That's especially true for New York. response:	I guess so. But still...
context: Leave the navigating to me. And the pedaling\I've got it!\This is like an entirely different city.\Of course.\Any city will look nice from far away,\but the closer you get, the more you see the grime and dirt.\That's especially true for New York.\I guess so. But still... response:	There are things you can't find out unless you get close.
context: I've got it!\This is like an entirely different city.\Of course.\Any city will look nice from far away,\but the closer you get, the more you see the grime and dirt.\That's especially true for New York.\I guess so. But still...\There are things you can't find out unless you get close. response:	Here you go.
context: This is like an entirely different city.\Of course.\Any city will look nice from far away,\but the closer you get, the more you see the grime and dirt.\That's especially true for New York.\I guess so. But still...\There are things you can't find out unless you get close.\Here you go. response:	Thank you.
context: Of course.\Any city will look nice from far away,\but the closer you get, the more you see the grime and dirt.\That's especially true for New York.\I guess so. But still...\There are things you can't find out unless you get close.\Here you go.\Thank you. response:	It's so warm!
context: Any city will look nice from far away,\but the closer you get, the more you see the grime and dirt.\That's especially true for New York.\I guess so. But still...\There are things you can't find out unless you get close.\Here you go.\Thank you.\It's so warm! response:	You can't see that kind of light from the sky.
context: but the closer you get, the more you see the grime and dirt.\That's especially true for New York.\I guess so. But still...\There are things you can't find out unless you get close.\Here you go.\Thank you.\It's so warm!\You can't see that kind of light from the sky. response:	That's true.
context: That's especially true for New York.\I guess so. But still...\There are things you can't find out unless you get close.\Here you go.\Thank you.\It's so warm!\You can't see that kind of light from the sky.\That's true. response:	I wouldn't have seen who you are if I hadn't gotten closer, either.
context: I guess so. But still...\There are things you can't find out unless you get close.\Here you go.\Thank you.\It's so warm!\You can't see that kind of light from the sky.\That's true.\I wouldn't have seen who you are if I hadn't gotten closer, either. response:	You're more abrasive and rough than anyone in the world,
context: There are things you can't find out unless you get close.\Here you go.\Thank you.\It's so warm!\You can't see that kind of light from the sky.\That's true.\I wouldn't have seen who you are if I hadn't gotten closer, either.\You're more abrasive and rough than anyone in the world, response:	but in reality, you're a wonderful person who cries easily.
context: Here you go.\Thank you.\It's so warm!\You can't see that kind of light from the sky.\That's true.\I wouldn't have seen who you are if I hadn't gotten closer, either.\You're more abrasive and rough than anyone in the world,\but in reality, you're a wonderful person who cries easily. response:	I wouldn't have seen that from afar.
context: Thank you.\It's so warm!\You can't see that kind of light from the sky.\That's true.\I wouldn't have seen who you are if I hadn't gotten closer, either.\You're more abrasive and rough than anyone in the world,\but in reality, you're a wonderful person who cries easily.\I wouldn't have seen that from afar. response:	D-Don't think you've gotten close to me already.
context: It's so warm!\You can't see that kind of light from the sky.\That's true.\I wouldn't have seen who you are if I hadn't gotten closer, either.\You're more abrasive and rough than anyone in the world,\but in reality, you're a wonderful person who cries easily.\I wouldn't have seen that from afar.\D-Don't think you've gotten close to me already. response:	Emma, we're going to protect this city!
context: You can't see that kind of light from the sky.\That's true.\I wouldn't have seen who you are if I hadn't gotten closer, either.\You're more abrasive and rough than anyone in the world,\but in reality, you're a wonderful person who cries easily.\I wouldn't have seen that from afar.\D-Don't think you've gotten close to me already.\Emma, we're going to protect this city! response:	Better believe it!
context: That's true.\I wouldn't have seen who you are if I hadn't gotten closer, either.\You're more abrasive and rough than anyone in the world,\but in reality, you're a wonderful person who cries easily.\I wouldn't have seen that from afar.\D-Don't think you've gotten close to me already.\Emma, we're going to protect this city!\Better believe it! response:	Apple!
context: I wouldn't have seen who you are if I hadn't gotten closer, either.\You're more abrasive and rough than anyone in the world,\but in reality, you're a wonderful person who cries easily.\I wouldn't have seen that from afar.\D-Don't think you've gotten close to me already.\Emma, we're going to protect this city!\Better believe it!\Apple! response:	Apple! Apple!
context: You're more abrasive and rough than anyone in the world,\but in reality, you're a wonderful person who cries easily.\I wouldn't have seen that from afar.\D-Don't think you've gotten close to me already.\Emma, we're going to protect this city!\Better believe it!\Apple!\Apple! Apple! response:	What is that monster now?
context: but in reality, you're a wonderful person who cries easily.\I wouldn't have seen that from afar.\D-Don't think you've gotten close to me already.\Emma, we're going to protect this city!\Better believe it!\Apple!\Apple! Apple!\What is that monster now? response:	He's the source of this darkness.
context: I wouldn't have seen that from afar.\D-Don't think you've gotten close to me already.\Emma, we're going to protect this city!\Better believe it!\Apple!\Apple! Apple!\What is that monster now?\He's the source of this darkness. response:	I have to stop him.
context: D-Don't think you've gotten close to me already.\Emma, we're going to protect this city!\Better believe it!\Apple!\Apple! Apple!\What is that monster now?\He's the source of this darkness.\I have to stop him. response:	Apple...
context: Emma, we're going to protect this city!\Better believe it!\Apple!\Apple! Apple!\What is that monster now?\He's the source of this darkness.\I have to stop him.\Apple... response:	Apple!
context: Better believe it!\Apple!\Apple! Apple!\What is that monster now?\He's the source of this darkness.\I have to stop him.\Apple...\Apple! response:	Go ahead! We'll be right behind you!
context: Apple!\Apple! Apple!\What is that monster now?\He's the source of this darkness.\I have to stop him.\Apple...\Apple!\Go ahead! We'll be right behind you! response:	Okay.
context: Apple! Apple!\What is that monster now?\He's the source of this darkness.\I have to stop him.\Apple...\Apple!\Go ahead! We'll be right behind you!\Okay. response:	No matter what happens, you and I will always be together!
context: What is that monster now?\He's the source of this darkness.\I have to stop him.\Apple...\Apple!\Go ahead! We'll be right behind you!\Okay.\No matter what happens, you and I will always be together! response:	Right!
context: He's the source of this darkness.\I have to stop him.\Apple...\Apple!\Go ahead! We'll be right behind you!\Okay.\No matter what happens, you and I will always be together!\Right! response:	That said, how are we going to chase them?
context: I have to stop him.\Apple...\Apple!\Go ahead! We'll be right behind you!\Okay.\No matter what happens, you and I will always be together!\Right!\That said, how are we going to chase them? response:	Ah, here they come.
context: Apple...\Apple!\Go ahead! We'll be right behind you!\Okay.\No matter what happens, you and I will always be together!\Right!\That said, how are we going to chase them?\Ah, here they come. response:	I thought this might come in handy.
context: Apple!\Go ahead! We'll be right behind you!\Okay.\No matter what happens, you and I will always be together!\Right!\That said, how are we going to chase them?\Ah, here they come.\I thought this might come in handy. response:	Emma!
context: Go ahead! We'll be right behind you!\Okay.\No matter what happens, you and I will always be together!\Right!\That said, how are we going to chase them?\Ah, here they come.\I thought this might come in handy.\Emma! response:	Let's get to chasing, Akari.
context: Okay.\No matter what happens, you and I will always be together!\Right!\That said, how are we going to chase them?\Ah, here they come.\I thought this might come in handy.\Emma!\Let's get to chasing, Akari. response:	Right!
context: No matter what happens, you and I will always be together!\Right!\That said, how are we going to chase them?\Ah, here they come.\I thought this might come in handy.\Emma!\Let's get to chasing, Akari.\Right! response:	Nice catch.
context: Right!\That said, how are we going to chase them?\Ah, here they come.\I thought this might come in handy.\Emma!\Let's get to chasing, Akari.\Right!\Nice catch. response:	Liberty!
context: That said, how are we going to chase them?\Ah, here they come.\I thought this might come in handy.\Emma!\Let's get to chasing, Akari.\Right!\Nice catch.\Liberty! response:	Come on, little bear. Stop struggling.
context: Ah, here they come.\I thought this might come in handy.\Emma!\Let's get to chasing, Akari.\Right!\Nice catch.\Liberty!\Come on, little bear. Stop struggling. response:	Doesn't it kinda look like we awakened some serious trouble?
context: I thought this might come in handy.\Emma!\Let's get to chasing, Akari.\Right!\Nice catch.\Liberty!\Come on, little bear. Stop struggling.\Doesn't it kinda look like we awakened some serious trouble? response:	Kinda.
context: Emma!\Let's get to chasing, Akari.\Right!\Nice catch.\Liberty!\Come on, little bear. Stop struggling.\Doesn't it kinda look like we awakened some serious trouble?\Kinda. response:	Wait, what do you mean, we?
context: Let's get to chasing, Akari.\Right!\Nice catch.\Liberty!\Come on, little bear. Stop struggling.\Doesn't it kinda look like we awakened some serious trouble?\Kinda.\Wait, what do you mean, we? response:	Hey, Akari, even if we do catch up to that thing, what are you planning to do?
context: Right!\Nice catch.\Liberty!\Come on, little bear. Stop struggling.\Doesn't it kinda look like we awakened some serious trouble?\Kinda.\Wait, what do you mean, we?\Hey, Akari, even if we do catch up to that thing, what are you planning to do? response:	I don't know. But we have to stop him somehow.
context: Nice catch.\Liberty!\Come on, little bear. Stop struggling.\Doesn't it kinda look like we awakened some serious trouble?\Kinda.\Wait, what do you mean, we?\Hey, Akari, even if we do catch up to that thing, what are you planning to do?\I don't know. But we have to stop him somehow. response:	I'm going to stop him.
context: Liberty!\Come on, little bear. Stop struggling.\Doesn't it kinda look like we awakened some serious trouble?\Kinda.\Wait, what do you mean, we?\Hey, Akari, even if we do catch up to that thing, what are you planning to do?\I don't know. But we have to stop him somehow.\I'm going to stop him. response:	I will stop him.
context: Come on, little bear. Stop struggling.\Doesn't it kinda look like we awakened some serious trouble?\Kinda.\Wait, what do you mean, we?\Hey, Akari, even if we do catch up to that thing, what are you planning to do?\I don't know. But we have to stop him somehow.\I'm going to stop him.\I will stop him. response:	This isn't a happy, happy, happy Christmas for me.
context: Doesn't it kinda look like we awakened some serious trouble?\Kinda.\Wait, what do you mean, we?\Hey, Akari, even if we do catch up to that thing, what are you planning to do?\I don't know. But we have to stop him somehow.\I'm going to stop him.\I will stop him.\This isn't a happy, happy, happy Christmas for me. response:	This isn't everyone's Christmas!
context: Kinda.\Wait, what do you mean, we?\Hey, Akari, even if we do catch up to that thing, what are you planning to do?\I don't know. But we have to stop him somehow.\I'm going to stop him.\I will stop him.\This isn't a happy, happy, happy Christmas for me.\This isn't everyone's Christmas! response:	Everyone's Christmas?
context: Wait, what do you mean, we?\Hey, Akari, even if we do catch up to that thing, what are you planning to do?\I don't know. But we have to stop him somehow.\I'm going to stop him.\I will stop him.\This isn't a happy, happy, happy Christmas for me.\This isn't everyone's Christmas!\Everyone's Christmas? response:	Time to get serious now!
context: Hey, Akari, even if we do catch up to that thing, what are you planning to do?\I don't know. But we have to stop him somehow.\I'm going to stop him.\I will stop him.\This isn't a happy, happy, happy Christmas for me.\This isn't everyone's Christmas!\Everyone's Christmas?\Time to get serious now! response:	Give New York its light back!
context: I don't know. But we have to stop him somehow.\I'm going to stop him.\I will stop him.\This isn't a happy, happy, happy Christmas for me.\This isn't everyone's Christmas!\Everyone's Christmas?\Time to get serious now!\Give New York its light back! response:	It's Christmas, after all!
context: I'm going to stop him.\I will stop him.\This isn't a happy, happy, happy Christmas for me.\This isn't everyone's Christmas!\Everyone's Christmas?\Time to get serious now!\Give New York its light back!\It's Christmas, after all! response:	Where are his arms?
context: I will stop him.\This isn't a happy, happy, happy Christmas for me.\This isn't everyone's Christmas!\Everyone's Christmas?\Time to get serious now!\Give New York its light back!\It's Christmas, after all!\Where are his arms? response:	Ow!
context: This isn't a happy, happy, happy Christmas for me.\This isn't everyone's Christmas!\Everyone's Christmas?\Time to get serious now!\Give New York its light back!\It's Christmas, after all!\Where are his arms?\Ow! response:	Stop!
context: This isn't everyone's Christmas!\Everyone's Christmas?\Time to get serious now!\Give New York its light back!\It's Christmas, after all!\Where are his arms?\Ow!\Stop! response:	How dare you do that to me?!
context: Everyone's Christmas?\Time to get serious now!\Give New York its light back!\It's Christmas, after all!\Where are his arms?\Ow!\Stop!\How dare you do that to me?! response:	I'm Mister Empire!
context: Time to get serious now!\Give New York its light back!\It's Christmas, after all!\Where are his arms?\Ow!\Stop!\How dare you do that to me?!\I'm Mister Empire! response:	Hey! What's up?
context: Give New York its light back!\It's Christmas, after all!\Where are his arms?\Ow!\Stop!\How dare you do that to me?!\I'm Mister Empire!\Hey! What's up? response:	Defeat that guy!
context: It's Christmas, after all!\Where are his arms?\Ow!\Stop!\How dare you do that to me?!\I'm Mister Empire!\Hey! What's up?\Defeat that guy! response:	Aye, sir!
context: Where are his arms?\Ow!\Stop!\How dare you do that to me?!\I'm Mister Empire!\Hey! What's up?\Defeat that guy!\Aye, sir! response:	My God!
context: Ow!\Stop!\How dare you do that to me?!\I'm Mister Empire!\Hey! What's up?\Defeat that guy!\Aye, sir!\My God! response:	Gigantic Shuriken Tornado!
context: Stop!\How dare you do that to me?!\I'm Mister Empire!\Hey! What's up?\Defeat that guy!\Aye, sir!\My God!\Gigantic Shuriken Tornado! response:	It's the best climax!
context: How dare you do that to me?!\I'm Mister Empire!\Hey! What's up?\Defeat that guy!\Aye, sir!\My God!\Gigantic Shuriken Tornado!\It's the best climax! response:	Akari!
context: I'm Mister Empire!\Hey! What's up?\Defeat that guy!\Aye, sir!\My God!\Gigantic Shuriken Tornado!\It's the best climax!\Akari! response:	That was too close! We almost died!
context: Hey! What's up?\Defeat that guy!\Aye, sir!\My God!\Gigantic Shuriken Tornado!\It's the best climax!\Akari!\That was too close! We almost died! response:	Akari, you're bleeding!
context: Defeat that guy!\Aye, sir!\My God!\Gigantic Shuriken Tornado!\It's the best climax!\Akari!\That was too close! We almost died!\Akari, you're bleeding! response:	I'm fine.
context: Aye, sir!\My God!\Gigantic Shuriken Tornado!\It's the best climax!\Akari!\That was too close! We almost died!\Akari, you're bleeding!\I'm fine. response:	What are you talking about?
context: My God!\Gigantic Shuriken Tornado!\It's the best climax!\Akari!\That was too close! We almost died!\Akari, you're bleeding!\I'm fine.\What are you talking about? response:	A woman's life depends on her face. And her hair!
context: Gigantic Shuriken Tornado!\It's the best climax!\Akari!\That was too close! We almost died!\Akari, you're bleeding!\I'm fine.\What are you talking about?\A woman's life depends on her face. And her hair! response:	A woman's life depends on all sorts of things!
