context: Rule the Court response:	I'm sure you're sick of hearing this,
context: That's a pretty strong school.\I actually couldn't get into that school.\Running away from the team,\and practicing elsewhere without rest...\You're sure taking the easy way out.\What?!\A team is reliable and also annoying, at times.\They're strong allies, yet cause a lot of stress. response:	You can't even deal with that,
context: I actually couldn't get into that school.\Running away from the team,\and practicing elsewhere without rest...\You're sure taking the easy way out.\What?!\A team is reliable and also annoying, at times.\They're strong allies, yet cause a lot of stress.\You can't even deal with that, response:	and you think you're playing volleyball?
context: Running away from the team,\and practicing elsewhere without rest...\You're sure taking the easy way out.\What?!\A team is reliable and also annoying, at times.\They're strong allies, yet cause a lot of stress.\You can't even deal with that,\and you think you're playing volleyball? response:	You need to face the team, and have the team face you.
context: and practicing elsewhere without rest...\You're sure taking the easy way out.\What?!\A team is reliable and also annoying, at times.\They're strong allies, yet cause a lot of stress.\You can't even deal with that,\and you think you're playing volleyball?\You need to face the team, and have the team face you. response:	If you're able to do that, you'll both clash and become even stronger.
context: You're sure taking the easy way out.\What?!\A team is reliable and also annoying, at times.\They're strong allies, yet cause a lot of stress.\You can't even deal with that,\and you think you're playing volleyball?\You need to face the team, and have the team face you.\If you're able to do that, you'll both clash and become even stronger. response:	All right!
context: What?!\A team is reliable and also annoying, at times.\They're strong allies, yet cause a lot of stress.\You can't even deal with that,\and you think you're playing volleyball?\You need to face the team, and have the team face you.\If you're able to do that, you'll both clash and become even stronger.\All right! response:	And if you're able to do that, just know that you're lucky.
context: A team is reliable and also annoying, at times.\They're strong allies, yet cause a lot of stress.\You can't even deal with that,\and you think you're playing volleyball?\You need to face the team, and have the team face you.\If you're able to do that, you'll both clash and become even stronger.\All right!\And if you're able to do that, just know that you're lucky. response:	Teams like that don't exist everywhere.
context: They're strong allies, yet cause a lot of stress.\You can't even deal with that,\and you think you're playing volleyball?\You need to face the team, and have the team face you.\If you're able to do that, you'll both clash and become even stronger.\All right!\And if you're able to do that, just know that you're lucky.\Teams like that don't exist everywhere. response:	All right!
context: You can't even deal with that,\and you think you're playing volleyball?\You need to face the team, and have the team face you.\If you're able to do that, you'll both clash and become even stronger.\All right!\And if you're able to do that, just know that you're lucky.\Teams like that don't exist everywhere.\All right! response:	Looks like a great team.
context: and you think you're playing volleyball?\You need to face the team, and have the team face you.\If you're able to do that, you'll both clash and become even stronger.\All right!\And if you're able to do that, just know that you're lucky.\Teams like that don't exist everywhere.\All right!\Looks like a great team. response:	Make sure you face them properly.
context: You need to face the team, and have the team face you.\If you're able to do that, you'll both clash and become even stronger.\All right!\And if you're able to do that, just know that you're lucky.\Teams like that don't exist everywhere.\All right!\Looks like a great team.\Make sure you face them properly. response:	Sorry! I'll get the next one!
context: If you're able to do that, you'll both clash and become even stronger.\All right!\And if you're able to do that, just know that you're lucky.\Teams like that don't exist everywhere.\All right!\Looks like a great team.\Make sure you face them properly.\Sorry! I'll get the next one! response:	Yeah!
context: All right!\And if you're able to do that, just know that you're lucky.\Teams like that don't exist everywhere.\All right!\Looks like a great team.\Make sure you face them properly.\Sorry! I'll get the next one!\Yeah! response:	Aoba Johsai Karasuno
context: And if you're able to do that, just know that you're lucky.\Teams like that don't exist everywhere.\All right!\Looks like a great team.\Make sure you face them properly.\Sorry! I'll get the next one!\Yeah!\Aoba Johsai Karasuno response:	Kyotani, you're serving next.
context: Teams like that don't exist everywhere.\All right!\Looks like a great team.\Make sure you face them properly.\Sorry! I'll get the next one!\Yeah!\Aoba Johsai Karasuno\Kyotani, you're serving next. response:	Nice hit.
context: All right!\Looks like a great team.\Make sure you face them properly.\Sorry! I'll get the next one!\Yeah!\Aoba Johsai Karasuno\Kyotani, you're serving next.\Nice hit. response:	Yeah.
context: Looks like a great team.\Make sure you face them properly.\Sorry! I'll get the next one!\Yeah!\Aoba Johsai Karasuno\Kyotani, you're serving next.\Nice hit.\Yeah. response:	If that 16 was in Karasuno,
context: Make sure you face them properly.\Sorry! I'll get the next one!\Yeah!\Aoba Johsai Karasuno\Kyotani, you're serving next.\Nice hit.\Yeah.\If that 16 was in Karasuno, response:	I wonder what I'd do in this situation.
context: Sorry! I'll get the next one!\Yeah!\Aoba Johsai Karasuno\Kyotani, you're serving next.\Nice hit.\Yeah.\If that 16 was in Karasuno,\I wonder what I'd do in this situation. response:	Oikawa...
context: Yeah!\Aoba Johsai Karasuno\Kyotani, you're serving next.\Nice hit.\Yeah.\If that 16 was in Karasuno,\I wonder what I'd do in this situation.\Oikawa... response:	He truly is amazing and terrifying.
context: Aoba Johsai Karasuno\Kyotani, you're serving next.\Nice hit.\Yeah.\If that 16 was in Karasuno,\I wonder what I'd do in this situation.\Oikawa...\He truly is amazing and terrifying. response:	All right, let's get this one!
context: Kyotani, you're serving next.\Nice hit.\Yeah.\If that 16 was in Karasuno,\I wonder what I'd do in this situation.\Oikawa...\He truly is amazing and terrifying.\All right, let's get this one! response:	Yeah!
context: Nice hit.\Yeah.\If that 16 was in Karasuno,\I wonder what I'd do in this situation.\Oikawa...\He truly is amazing and terrifying.\All right, let's get this one!\Yeah! response:	With that play, it appears as though their oddball 16
context: Yeah.\If that 16 was in Karasuno,\I wonder what I'd do in this situation.\Oikawa...\He truly is amazing and terrifying.\All right, let's get this one!\Yeah!\With that play, it appears as though their oddball 16 response:	now fits in with the rest of the team.
context: If that 16 was in Karasuno,\I wonder what I'd do in this situation.\Oikawa...\He truly is amazing and terrifying.\All right, let's get this one!\Yeah!\With that play, it appears as though their oddball 16\now fits in with the rest of the team. response:	That's not good.
context: I wonder what I'd do in this situation.\Oikawa...\He truly is amazing and terrifying.\All right, let's get this one!\Yeah!\With that play, it appears as though their oddball 16\now fits in with the rest of the team.\That's not good. response:	We haven't lost
context: Oikawa...\He truly is amazing and terrifying.\All right, let's get this one!\Yeah!\With that play, it appears as though their oddball 16\now fits in with the rest of the team.\That's not good.\We haven't lost response:	when it comes to our strength as a team.
context: He truly is amazing and terrifying.\All right, let's get this one!\Yeah!\With that play, it appears as though their oddball 16\now fits in with the rest of the team.\That's not good.\We haven't lost\when it comes to our strength as a team. response:	We've only just begun.
context: All right, let's get this one!\Yeah!\With that play, it appears as though their oddball 16\now fits in with the rest of the team.\That's not good.\We haven't lost\when it comes to our strength as a team.\We've only just begun. response:	Yeah.
context: Yeah!\With that play, it appears as though their oddball 16\now fits in with the rest of the team.\That's not good.\We haven't lost\when it comes to our strength as a team.\We've only just begun.\Yeah. response:	Kyotani, nice serve!
context: With that play, it appears as though their oddball 16\now fits in with the rest of the team.\That's not good.\We haven't lost\when it comes to our strength as a team.\We've only just begun.\Yeah.\Kyotani, nice serve! response:	Ryu!
context: now fits in with the rest of the team.\That's not good.\We haven't lost\when it comes to our strength as a team.\We've only just begun.\Yeah.\Kyotani, nice serve!\Ryu! response:	Yeah!
context: That's not good.\We haven't lost\when it comes to our strength as a team.\We've only just begun.\Yeah.\Kyotani, nice serve!\Ryu!\Yeah! response:	Nice receive!
context: We haven't lost\when it comes to our strength as a team.\We've only just begun.\Yeah.\Kyotani, nice serve!\Ryu!\Yeah!\Nice receive! response:	Watacchi, nice!
context: when it comes to our strength as a team.\We've only just begun.\Yeah.\Kyotani, nice serve!\Ryu!\Yeah!\Nice receive!\Watacchi, nice! response:	Counter!
context: We've only just begun.\Yeah.\Kyotani, nice serve!\Ryu!\Yeah!\Nice receive!\Watacchi, nice!\Counter! response:	All right!
context: Yeah.\Kyotani, nice serve!\Ryu!\Yeah!\Nice receive!\Watacchi, nice!\Counter!\All right! response:	Damn it...
context: Kyotani, nice serve!\Ryu!\Yeah!\Nice receive!\Watacchi, nice!\Counter!\All right!\Damn it... response:	Aoba Johsai Karasuno
context: Ryu!\Yeah!\Nice receive!\Watacchi, nice!\Counter!\All right!\Damn it...\Aoba Johsai Karasuno response:	They're tied!
context: Yeah!\Nice receive!\Watacchi, nice!\Counter!\All right!\Damn it...\Aoba Johsai Karasuno\They're tied! response:	Seijoh caught up!
context: Nice receive!\Watacchi, nice!\Counter!\All right!\Damn it...\Aoba Johsai Karasuno\They're tied!\Seijoh caught up! response:	Kyotani, one more!
context: Watacchi, nice!\Counter!\All right!\Damn it...\Aoba Johsai Karasuno\They're tied!\Seijoh caught up!\Kyotani, one more! response:	All right!
context: Counter!\All right!\Damn it...\Aoba Johsai Karasuno\They're tied!\Seijoh caught up!\Kyotani, one more!\All right! response:	Chance ball!
context: All right!\Damn it...\Aoba Johsai Karasuno\They're tied!\Seijoh caught up!\Kyotani, one more!\All right!\Chance ball! response:	Hit it, Asahi!
context: Damn it...\Aoba Johsai Karasuno\They're tied!\Seijoh caught up!\Kyotani, one more!\All right!\Chance ball!\Hit it, Asahi! response:	Damn it... Sorry.
context: Aoba Johsai Karasuno\They're tied!\Seijoh caught up!\Kyotani, one more!\All right!\Chance ball!\Hit it, Asahi!\Damn it... Sorry. response:	All right!
context: They're tied!\Seijoh caught up!\Kyotani, one more!\All right!\Chance ball!\Hit it, Asahi!\Damn it... Sorry.\All right! response:	You're awesome, Asahi-san.
context: Seijoh caught up!\Kyotani, one more!\All right!\Chance ball!\Hit it, Asahi!\Damn it... Sorry.\All right!\You're awesome, Asahi-san. response:	It got totally knocked out.
context: Kyotani, one more!\All right!\Chance ball!\Hit it, Asahi!\Damn it... Sorry.\All right!\You're awesome, Asahi-san.\It got totally knocked out. response:	Thanks!
context: All right!\Chance ball!\Hit it, Asahi!\Damn it... Sorry.\All right!\You're awesome, Asahi-san.\It got totally knocked out.\Thanks! response:	Who's the senpai here?
context: Chance ball!\Hit it, Asahi!\Damn it... Sorry.\All right!\You're awesome, Asahi-san.\It got totally knocked out.\Thanks!\Who's the senpai here? response:	With Hinata's spike,
context: Hit it, Asahi!\Damn it... Sorry.\All right!\You're awesome, Asahi-san.\It got totally knocked out.\Thanks!\Who's the senpai here?\With Hinata's spike, response:	if the course is narrowed or read, it'll get picked up.
context: Damn it... Sorry.\All right!\You're awesome, Asahi-san.\It got totally knocked out.\Thanks!\Who's the senpai here?\With Hinata's spike,\if the course is narrowed or read, it'll get picked up. response:	Yeah...
context: All right!\You're awesome, Asahi-san.\It got totally knocked out.\Thanks!\Who's the senpai here?\With Hinata's spike,\if the course is narrowed or read, it'll get picked up.\Yeah... response:	We have to use Hinata better...
context: You're awesome, Asahi-san.\It got totally knocked out.\Thanks!\Who's the senpai here?\With Hinata's spike,\if the course is narrowed or read, it'll get picked up.\Yeah...\We have to use Hinata better... response:	All right!
context: It got totally knocked out.\Thanks!\Who's the senpai here?\With Hinata's spike,\if the course is narrowed or read, it'll get picked up.\Yeah...\We have to use Hinata better...\All right! response:	Karasuno Aoba Johsai
context: Thanks!\Who's the senpai here?\With Hinata's spike,\if the course is narrowed or read, it'll get picked up.\Yeah...\We have to use Hinata better...\All right!\Karasuno Aoba Johsai response:	Geh, again?
context: Who's the senpai here?\With Hinata's spike,\if the course is narrowed or read, it'll get picked up.\Yeah...\We have to use Hinata better...\All right!\Karasuno Aoba Johsai\Geh, again? response:	I feel like my lifespan get shorter
context: With Hinata's spike,\if the course is narrowed or read, it'll get picked up.\Yeah...\We have to use Hinata better...\All right!\Karasuno Aoba Johsai\Geh, again?\I feel like my lifespan get shorter response:	Oikawa, one more! Nice serve!
context: if the course is narrowed or read, it'll get picked up.\Yeah...\We have to use Hinata better...\All right!\Karasuno Aoba Johsai\Geh, again?\I feel like my lifespan get shorter\Oikawa, one more! Nice serve! response:	every time Oikawa-kun's time to serve comes around.
context: Yeah...\We have to use Hinata better...\All right!\Karasuno Aoba Johsai\Geh, again?\I feel like my lifespan get shorter\Oikawa, one more! Nice serve!\every time Oikawa-kun's time to serve comes around. response:	Oikawa-san, we're counting on you!
context: We have to use Hinata better...\All right!\Karasuno Aoba Johsai\Geh, again?\I feel like my lifespan get shorter\Oikawa, one more! Nice serve!\every time Oikawa-kun's time to serve comes around.\Oikawa-san, we're counting on you! response:	I feel like I'm going to throw up.
context: All right!\Karasuno Aoba Johsai\Geh, again?\I feel like my lifespan get shorter\Oikawa, one more! Nice serve!\every time Oikawa-kun's time to serve comes around.\Oikawa-san, we're counting on you!\I feel like I'm going to throw up. response:	I'm sure everyone on this side feels that way...
context: Karasuno Aoba Johsai\Geh, again?\I feel like my lifespan get shorter\Oikawa, one more! Nice serve!\every time Oikawa-kun's time to serve comes around.\Oikawa-san, we're counting on you!\I feel like I'm going to throw up.\I'm sure everyone on this side feels that way... response:	We're almost done with the middle of the set...
context: Geh, again?\I feel like my lifespan get shorter\Oikawa, one more! Nice serve!\every time Oikawa-kun's time to serve comes around.\Oikawa-san, we're counting on you!\I feel like I'm going to throw up.\I'm sure everyone on this side feels that way...\We're almost done with the middle of the set... response:	Losing a lot of points right now would be fatal.
context: I feel like my lifespan get shorter\Oikawa, one more! Nice serve!\every time Oikawa-kun's time to serve comes around.\Oikawa-san, we're counting on you!\I feel like I'm going to throw up.\I'm sure everyone on this side feels that way...\We're almost done with the middle of the set...\Losing a lot of points right now would be fatal. response:	Stop him now!
context: Oikawa, one more! Nice serve!\every time Oikawa-kun's time to serve comes around.\Oikawa-san, we're counting on you!\I feel like I'm going to throw up.\I'm sure everyone on this side feels that way...\We're almost done with the middle of the set...\Losing a lot of points right now would be fatal.\Stop him now! response:	Bring it!
context: every time Oikawa-kun's time to serve comes around.\Oikawa-san, we're counting on you!\I feel like I'm going to throw up.\I'm sure everyone on this side feels that way...\We're almost done with the middle of the set...\Losing a lot of points right now would be fatal.\Stop him now!\Bring it! response:	Daichi-san!
context: Oikawa-san, we're counting on you!\I feel like I'm going to throw up.\I'm sure everyone on this side feels that way...\We're almost done with the middle of the set...\Losing a lot of points right now would be fatal.\Stop him now!\Bring it!\Daichi-san! response:	I can't believe he got that.
context: I feel like I'm going to throw up.\I'm sure everyone on this side feels that way...\We're almost done with the middle of the set...\Losing a lot of points right now would be fatal.\Stop him now!\Bring it!\Daichi-san!\I can't believe he got that. response:	Chance ball!
context: I'm sure everyone on this side feels that way...\We're almost done with the middle of the set...\Losing a lot of points right now would be fatal.\Stop him now!\Bring it!\Daichi-san!\I can't believe he got that.\Chance ball! response:	Damn it!
context: We're almost done with the middle of the set...\Losing a lot of points right now would be fatal.\Stop him now!\Bring it!\Daichi-san!\I can't believe he got that.\Chance ball!\Damn it! response:	A quick is coming!
context: Losing a lot of points right now would be fatal.\Stop him now!\Bring it!\Daichi-san!\I can't believe he got that.\Chance ball!\Damn it!\A quick is coming! response:	Kindaichi!
context: Stop him now!\Bring it!\Daichi-san!\I can't believe he got that.\Chance ball!\Damn it!\A quick is coming!\Kindaichi! response:	Don't mind!
context: Bring it!\Daichi-san!\I can't believe he got that.\Chance ball!\Damn it!\A quick is coming!\Kindaichi!\Don't mind! response:	If you have a request, tell me!
context: Daichi-san!\I can't believe he got that.\Chance ball!\Damn it!\A quick is coming!\Kindaichi!\Don't mind!\If you have a request, tell me! response:	If I tell Oikawa-san, he'll figure it out and if I don't, he won't get it.
context: I can't believe he got that.\Chance ball!\Damn it!\A quick is coming!\Kindaichi!\Don't mind!\If you have a request, tell me!\If I tell Oikawa-san, he'll figure it out and if I don't, he won't get it. response:	Say, Oikawa-san.
context: Chance ball!\Damn it!\A quick is coming!\Kindaichi!\Don't mind!\If you have a request, tell me!\If I tell Oikawa-san, he'll figure it out and if I don't, he won't get it.\Say, Oikawa-san. response:	With that one, it's a bit hard to sync or like, uh...
context: Damn it!\A quick is coming!\Kindaichi!\Don't mind!\If you have a request, tell me!\If I tell Oikawa-san, he'll figure it out and if I don't, he won't get it.\Say, Oikawa-san.\With that one, it's a bit hard to sync or like, uh... response:	Okay, got it.
context: A quick is coming!\Kindaichi!\Don't mind!\If you have a request, tell me!\If I tell Oikawa-san, he'll figure it out and if I don't, he won't get it.\Say, Oikawa-san.\With that one, it's a bit hard to sync or like, uh...\Okay, got it. response:	But try again without changing anything.
context: Kindaichi!\Don't mind!\If you have a request, tell me!\If I tell Oikawa-san, he'll figure it out and if I don't, he won't get it.\Say, Oikawa-san.\With that one, it's a bit hard to sync or like, uh...\Okay, got it.\But try again without changing anything. response:	Again?
context: Don't mind!\If you have a request, tell me!\If I tell Oikawa-san, he'll figure it out and if I don't, he won't get it.\Say, Oikawa-san.\With that one, it's a bit hard to sync or like, uh...\Okay, got it.\But try again without changing anything.\Again? response:	Your point of impact,
context: If you have a request, tell me!\If I tell Oikawa-san, he'll figure it out and if I don't, he won't get it.\Say, Oikawa-san.\With that one, it's a bit hard to sync or like, uh...\Okay, got it.\But try again without changing anything.\Again?\Your point of impact, response:	is about one ball's length ahead..
context: If I tell Oikawa-san, he'll figure it out and if I don't, he won't get it.\Say, Oikawa-san.\With that one, it's a bit hard to sync or like, uh...\Okay, got it.\But try again without changing anything.\Again?\Your point of impact,\is about one ball's length ahead.. response:	Great, great, Yutaro! Push it, push it, Yutaro! One more time!
context: Say, Oikawa-san.\With that one, it's a bit hard to sync or like, uh...\Okay, got it.\But try again without changing anything.\Again?\Your point of impact,\is about one ball's length ahead..\Great, great, Yutaro! Push it, push it, Yutaro! One more time! response:	Yes!
context: With that one, it's a bit hard to sync or like, uh...\Okay, got it.\But try again without changing anything.\Again?\Your point of impact,\is about one ball's length ahead..\Great, great, Yutaro! Push it, push it, Yutaro! One more time!\Yes! response:	A really sharp wipe...
context: Okay, got it.\But try again without changing anything.\Again?\Your point of impact,\is about one ball's length ahead..\Great, great, Yutaro! Push it, push it, Yutaro! One more time!\Yes!\A really sharp wipe... response:	Kindachi's movements are different from the Inter-High.
context: But try again without changing anything.\Again?\Your point of impact,\is about one ball's length ahead..\Great, great, Yutaro! Push it, push it, Yutaro! One more time!\Yes!\A really sharp wipe...\Kindachi's movements are different from the Inter-High. response:	Don't mind! We'll stop it with this one!
context: Again?\Your point of impact,\is about one ball's length ahead..\Great, great, Yutaro! Push it, push it, Yutaro! One more time!\Yes!\A really sharp wipe...\Kindachi's movements are different from the Inter-High.\Don't mind! We'll stop it with this one! response:	Concentrate!
context: Your point of impact,\is about one ball's length ahead..\Great, great, Yutaro! Push it, push it, Yutaro! One more time!\Yes!\A really sharp wipe...\Kindachi's movements are different from the Inter-High.\Don't mind! We'll stop it with this one!\Concentrate! response:	Karasuno Aoba Johsai
context: is about one ball's length ahead..\Great, great, Yutaro! Push it, push it, Yutaro! One more time!\Yes!\A really sharp wipe...\Kindachi's movements are different from the Inter-High.\Don't mind! We'll stop it with this one!\Concentrate!\Karasuno Aoba Johsai response:	Break!
context: Great, great, Yutaro! Push it, push it, Yutaro! One more time!\Yes!\A really sharp wipe...\Kindachi's movements are different from the Inter-High.\Don't mind! We'll stop it with this one!\Concentrate!\Karasuno Aoba Johsai\Break! response:	We're in the latter half and Seijoh's turning it around.
context: Yes!\A really sharp wipe...\Kindachi's movements are different from the Inter-High.\Don't mind! We'll stop it with this one!\Concentrate!\Karasuno Aoba Johsai\Break!\We're in the latter half and Seijoh's turning it around. response:	It's now an all-out war between the teams.
context: A really sharp wipe...\Kindachi's movements are different from the Inter-High.\Don't mind! We'll stop it with this one!\Concentrate!\Karasuno Aoba Johsai\Break!\We're in the latter half and Seijoh's turning it around.\It's now an all-out war between the teams. response:	Yes...
context: Kindachi's movements are different from the Inter-High.\Don't mind! We'll stop it with this one!\Concentrate!\Karasuno Aoba Johsai\Break!\We're in the latter half and Seijoh's turning it around.\It's now an all-out war between the teams.\Yes... response:	And the one that brings the whole Aoba Johsai team up
context: Don't mind! We'll stop it with this one!\Concentrate!\Karasuno Aoba Johsai\Break!\We're in the latter half and Seijoh's turning it around.\It's now an all-out war between the teams.\Yes...\And the one that brings the whole Aoba Johsai team up response:	is Oikawa-kun, right?
context: Concentrate!\Karasuno Aoba Johsai\Break!\We're in the latter half and Seijoh's turning it around.\It's now an all-out war between the teams.\Yes...\And the one that brings the whole Aoba Johsai team up\is Oikawa-kun, right? response:	Oikawa-san, one more! Nice serve!
context: Karasuno Aoba Johsai\Break!\We're in the latter half and Seijoh's turning it around.\It's now an all-out war between the teams.\Yes...\And the one that brings the whole Aoba Johsai team up\is Oikawa-kun, right?\Oikawa-san, one more! Nice serve! response:	Yeah, I know, Sensei.
context: Break!\We're in the latter half and Seijoh's turning it around.\It's now an all-out war between the teams.\Yes...\And the one that brings the whole Aoba Johsai team up\is Oikawa-kun, right?\Oikawa-san, one more! Nice serve!\Yeah, I know, Sensei. response:	Our team's even stronger than this.
context: We're in the latter half and Seijoh's turning it around.\It's now an all-out war between the teams.\Yes...\And the one that brings the whole Aoba Johsai team up\is Oikawa-kun, right?\Oikawa-san, one more! Nice serve!\Yeah, I know, Sensei.\Our team's even stronger than this. response:	Bring it!
context: It's now an all-out war between the teams.\Yes...\And the one that brings the whole Aoba Johsai team up\is Oikawa-kun, right?\Oikawa-san, one more! Nice serve!\Yeah, I know, Sensei.\Our team's even stronger than this.\Bring it! response:	Come on!
context: Yes...\And the one that brings the whole Aoba Johsai team up\is Oikawa-kun, right?\Oikawa-san, one more! Nice serve!\Yeah, I know, Sensei.\Our team's even stronger than this.\Bring it!\Come on! response:	Oikawa-san, one more! Nice serve!
context: And the one that brings the whole Aoba Johsai team up\is Oikawa-kun, right?\Oikawa-san, one more! Nice serve!\Yeah, I know, Sensei.\Our team's even stronger than this.\Bring it!\Come on!\Oikawa-san, one more! Nice serve! response:	Sorry!
context: is Oikawa-kun, right?\Oikawa-san, one more! Nice serve!\Yeah, I know, Sensei.\Our team's even stronger than this.\Bring it!\Come on!\Oikawa-san, one more! Nice serve!\Sorry! response:	Tsukishima, get it!
context: Oikawa-san, one more! Nice serve!\Yeah, I know, Sensei.\Our team's even stronger than this.\Bring it!\Come on!\Oikawa-san, one more! Nice serve!\Sorry!\Tsukishima, get it! response:	Push through, Kindaichi!
context: Yeah, I know, Sensei.\Our team's even stronger than this.\Bring it!\Come on!\Oikawa-san, one more! Nice serve!\Sorry!\Tsukishima, get it!\Push through, Kindaichi! response:	All right!
context: Our team's even stronger than this.\Bring it!\Come on!\Oikawa-san, one more! Nice serve!\Sorry!\Tsukishima, get it!\Push through, Kindaichi!\All right! response:	Thanks, Tsukishima!
context: Bring it!\Come on!\Oikawa-san, one more! Nice serve!\Sorry!\Tsukishima, get it!\Push through, Kindaichi!\All right!\Thanks, Tsukishima! response:	Tsukishima, you're serving next!
context: Come on!\Oikawa-san, one more! Nice serve!\Sorry!\Tsukishima, get it!\Push through, Kindaichi!\All right!\Thanks, Tsukishima!\Tsukishima, you're serving next! response:	Go wild out there, Shoyo!
context: Oikawa-san, one more! Nice serve!\Sorry!\Tsukishima, get it!\Push through, Kindaichi!\All right!\Thanks, Tsukishima!\Tsukishima, you're serving next!\Go wild out there, Shoyo! response:	Right!
context: Sorry!\Tsukishima, get it!\Push through, Kindaichi!\All right!\Thanks, Tsukishima!\Tsukishima, you're serving next!\Go wild out there, Shoyo!\Right! response:	Cut it off with this one!
context: Tsukishima, get it!\Push through, Kindaichi!\All right!\Thanks, Tsukishima!\Tsukishima, you're serving next!\Go wild out there, Shoyo!\Right!\Cut it off with this one! response:	Yeah!
context: Push through, Kindaichi!\All right!\Thanks, Tsukishima!\Tsukishima, you're serving next!\Go wild out there, Shoyo!\Right!\Cut it off with this one!\Yeah! response:	The Great King really is amazing.
context: All right!\Thanks, Tsukishima!\Tsukishima, you're serving next!\Go wild out there, Shoyo!\Right!\Cut it off with this one!\Yeah!\The Great King really is amazing. response:	Do you really understand that?
context: Thanks, Tsukishima!\Tsukishima, you're serving next!\Go wild out there, Shoyo!\Right!\Cut it off with this one!\Yeah!\The Great King really is amazing.\Do you really understand that? response:	I can at least tell something is amazing about him.
context: Tsukishima, you're serving next!\Go wild out there, Shoyo!\Right!\Cut it off with this one!\Yeah!\The Great King really is amazing.\Do you really understand that?\I can at least tell something is amazing about him. response:	But!
context: Go wild out there, Shoyo!\Right!\Cut it off with this one!\Yeah!\The Great King really is amazing.\Do you really understand that?\I can at least tell something is amazing about him.\But! response:	If I'm here, you're invincible.
context: Right!\Cut it off with this one!\Yeah!\The Great King really is amazing.\Do you really understand that?\I can at least tell something is amazing about him.\But!\If I'm here, you're invincible. response:	That's super awesome.
context: Cut it off with this one!\Yeah!\The Great King really is amazing.\Do you really understand that?\I can at least tell something is amazing about him.\But!\If I'm here, you're invincible.\That's super awesome. response:	Seriously...
context: Yeah!\The Great King really is amazing.\Do you really understand that?\I can at least tell something is amazing about him.\But!\If I'm here, you're invincible.\That's super awesome.\Seriously... response:	All of your spikes kept getting picked up, so what are you talking about?
context: The Great King really is amazing.\Do you really understand that?\I can at least tell something is amazing about him.\But!\If I'm here, you're invincible.\That's super awesome.\Seriously...\All of your spikes kept getting picked up, so what are you talking about? response:	What'd you say?!
context: Do you really understand that?\I can at least tell something is amazing about him.\But!\If I'm here, you're invincible.\That's super awesome.\Seriously...\All of your spikes kept getting picked up, so what are you talking about?\What'd you say?! response:	Baseless courage... Nice.
context: I can at least tell something is amazing about him.\But!\If I'm here, you're invincible.\That's super awesome.\Seriously...\All of your spikes kept getting picked up, so what are you talking about?\What'd you say?!\Baseless courage... Nice. response:	Th-There is though... there's base.
context: But!\If I'm here, you're invincible.\That's super awesome.\Seriously...\All of your spikes kept getting picked up, so what are you talking about?\What'd you say?!\Baseless courage... Nice.\Th-There is though... there's base. response:	All right!
context: If I'm here, you're invincible.\That's super awesome.\Seriously...\All of your spikes kept getting picked up, so what are you talking about?\What'd you say?!\Baseless courage... Nice.\Th-There is though... there's base.\All right! response:	Nice receive!
context: That's super awesome.\Seriously...\All of your spikes kept getting picked up, so what are you talking about?\What'd you say?!\Baseless courage... Nice.\Th-There is though... there's base.\All right!\Nice receive! response:	Mad Dog-chan!
context: Seriously...\All of your spikes kept getting picked up, so what are you talking about?\What'd you say?!\Baseless courage... Nice.\Th-There is though... there's base.\All right!\Nice receive!\Mad Dog-chan! response:	Nice one-touch!
context: All of your spikes kept getting picked up, so what are you talking about?\What'd you say?!\Baseless courage... Nice.\Th-There is though... there's base.\All right!\Nice receive!\Mad Dog-chan!\Nice one-touch! response:	Got it!
context: What'd you say?!\Baseless courage... Nice.\Th-There is though... there's base.\All right!\Nice receive!\Mad Dog-chan!\Nice one-touch!\Got it! response:	Bring it to me!
context: Baseless courage... Nice.\Th-There is though... there's base.\All right!\Nice receive!\Mad Dog-chan!\Nice one-touch!\Got it!\Bring it to me! response:	I flew too far forward...
context: Th-There is though... there's base.\All right!\Nice receive!\Mad Dog-chan!\Nice one-touch!\Got it!\Bring it to me!\I flew too far forward... response:	The net's super close.
context: All right!\Nice receive!\Mad Dog-chan!\Nice one-touch!\Got it!\Bring it to me!\I flew too far forward...\The net's super close. response:	Isn't the toss a bit close to the net?!
context: Nice receive!\Mad Dog-chan!\Nice one-touch!\Got it!\Bring it to me!\I flew too far forward...\The net's super close.\Isn't the toss a bit close to the net?! response:	It's basically right above the net!
context: Mad Dog-chan!\Nice one-touch!\Got it!\Bring it to me!\I flew too far forward...\The net's super close.\Isn't the toss a bit close to the net?!\It's basically right above the net! response:	No one's there!
context: Nice one-touch!\Got it!\Bring it to me!\I flew too far forward...\The net's super close.\Isn't the toss a bit close to the net?!\It's basically right above the net!\No one's there! response:	Up front!
context: Got it!\Bring it to me!\I flew too far forward...\The net's super close.\Isn't the toss a bit close to the net?!\It's basically right above the net!\No one's there!\Up front! response:	Slam it down!
context: Bring it to me!\I flew too far forward...\The net's super close.\Isn't the toss a bit close to the net?!\It's basically right above the net!\No one's there!\Up front!\Slam it down! response:	We're playing the final set, score 17 to 16...
context: I flew too far forward...\The net's super close.\Isn't the toss a bit close to the net?!\It's basically right above the net!\No one's there!\Up front!\Slam it down!\We're playing the final set, score 17 to 16... response:	It's really close.
