context: A dream... Right? response:	Were you holding back today?
context: Yes, although it was merely Caster's shadow that controlled the familiars.\I see. Then the real Caster hasn't left Ryuudou Temple.\Knowing her, she might have manipulated Shinji, to lure Rider into a trap.\Then Rider was killed through deception?\Crap.\Still, we know that Caster's Master is someone at this school.\Right...\Tohsaka, if you have something to say, say it. response:	Emiya-kun, you're really level-headed.
context: I see. Then the real Caster hasn't left Ryuudou Temple.\Knowing her, she might have manipulated Shinji, to lure Rider into a trap.\Then Rider was killed through deception?\Crap.\Still, we know that Caster's Master is someone at this school.\Right...\Tohsaka, if you have something to say, say it.\Emiya-kun, you're really level-headed. response:	I was surprised.
context: Knowing her, she might have manipulated Shinji, to lure Rider into a trap.\Then Rider was killed through deception?\Crap.\Still, we know that Caster's Master is someone at this school.\Right...\Tohsaka, if you have something to say, say it.\Emiya-kun, you're really level-headed.\I was surprised. response:	I wasn't calm.
context: Then Rider was killed through deception?\Crap.\Still, we know that Caster's Master is someone at this school.\Right...\Tohsaka, if you have something to say, say it.\Emiya-kun, you're really level-headed.\I was surprised.\I wasn't calm. response:	I was probably so pissed, I lost control.
context: Crap.\Still, we know that Caster's Master is someone at this school.\Right...\Tohsaka, if you have something to say, say it.\Emiya-kun, you're really level-headed.\I was surprised.\I wasn't calm.\I was probably so pissed, I lost control. response:	Even so, you knew the extent of everyone's injuries.
context: Still, we know that Caster's Master is someone at this school.\Right...\Tohsaka, if you have something to say, say it.\Emiya-kun, you're really level-headed.\I was surprised.\I wasn't calm.\I was probably so pissed, I lost control.\Even so, you knew the extent of everyone's injuries. response:	I couldn't manage that.
context: Right...\Tohsaka, if you have something to say, say it.\Emiya-kun, you're really level-headed.\I was surprised.\I wasn't calm.\I was probably so pissed, I lost control.\Even so, you knew the extent of everyone's injuries.\I couldn't manage that. response:	It wasn't a big deal.
context: Tohsaka, if you have something to say, say it.\Emiya-kun, you're really level-headed.\I was surprised.\I wasn't calm.\I was probably so pissed, I lost control.\Even so, you knew the extent of everyone's injuries.\I couldn't manage that.\It wasn't a big deal. response:	I'm used to seeing dead bodies.
context: Emiya-kun, you're really level-headed.\I was surprised.\I wasn't calm.\I was probably so pissed, I lost control.\Even so, you knew the extent of everyone's injuries.\I couldn't manage that.\It wasn't a big deal.\I'm used to seeing dead bodies. response:	Used to it?
context: I was surprised.\I wasn't calm.\I was probably so pissed, I lost control.\Even so, you knew the extent of everyone's injuries.\I couldn't manage that.\It wasn't a big deal.\I'm used to seeing dead bodies.\Used to it? response:	I'll find out whether or not he's a Master.
context: I wasn't calm.\I was probably so pissed, I lost control.\Even so, you knew the extent of everyone's injuries.\I couldn't manage that.\It wasn't a big deal.\I'm used to seeing dead bodies.\Used to it?\I'll find out whether or not he's a Master. response:	Anyone who isn't up for this battle should just leave.
context: I was probably so pissed, I lost control.\Even so, you knew the extent of everyone's injuries.\I couldn't manage that.\It wasn't a big deal.\I'm used to seeing dead bodies.\Used to it?\I'll find out whether or not he's a Master.\Anyone who isn't up for this battle should just leave. response:	And you call yourself a hero?
context: Even so, you knew the extent of everyone's injuries.\I couldn't manage that.\It wasn't a big deal.\I'm used to seeing dead bodies.\Used to it?\I'll find out whether or not he's a Master.\Anyone who isn't up for this battle should just leave.\And you call yourself a hero? response:	Then you're saying that you are prepared to fight?
context: I couldn't manage that.\It wasn't a big deal.\I'm used to seeing dead bodies.\Used to it?\I'll find out whether or not he's a Master.\Anyone who isn't up for this battle should just leave.\And you call yourself a hero?\Then you're saying that you are prepared to fight? response:	Next Time The Distance Between Them
