context: I'm gonna go on ahead! response:	Wait a minute! You're forgetting something!
context: Yup!\Big Brother, look at this! I got accepted!\Seriously? You're so amazing, unlike me!\No, no, you're more amazing than me, Big Brother.\I heard that the record companies are taking note of your band!\Since we're poor,\I want to hurry up and debut from a major record label and live on my own.\Hey, did you listen to the CD I lent you before? response:	It would get in the way of my studies so I didn't listen to it at all!
context: Big Brother, look at this! I got accepted!\Seriously? You're so amazing, unlike me!\No, no, you're more amazing than me, Big Brother.\I heard that the record companies are taking note of your band!\Since we're poor,\I want to hurry up and debut from a major record label and live on my own.\Hey, did you listen to the CD I lent you before?\It would get in the way of my studies so I didn't listen to it at all! response:	Your entrance exams are over now, so listen to it. I want to create sounds just like it.
context: Seriously? You're so amazing, unlike me!\No, no, you're more amazing than me, Big Brother.\I heard that the record companies are taking note of your band!\Since we're poor,\I want to hurry up and debut from a major record label and live on my own.\Hey, did you listen to the CD I lent you before?\It would get in the way of my studies so I didn't listen to it at all!\Your entrance exams are over now, so listen to it. I want to create sounds just like it. response:	I'm not that interested in rock music and stuff...
context: No, no, you're more amazing than me, Big Brother.\I heard that the record companies are taking note of your band!\Since we're poor,\I want to hurry up and debut from a major record label and live on my own.\Hey, did you listen to the CD I lent you before?\It would get in the way of my studies so I didn't listen to it at all!\Your entrance exams are over now, so listen to it. I want to create sounds just like it.\I'm not that interested in rock music and stuff... response:	It's different! ZHIEND is not rock music! It's post-rock!
context: I heard that the record companies are taking note of your band!\Since we're poor,\I want to hurry up and debut from a major record label and live on my own.\Hey, did you listen to the CD I lent you before?\It would get in the way of my studies so I didn't listen to it at all!\Your entrance exams are over now, so listen to it. I want to create sounds just like it.\I'm not that interested in rock music and stuff...\It's different! ZHIEND is not rock music! It's post-rock! response:	You boasted that before, too. Like, I don't understand what you mean at all...
context: Since we're poor,\I want to hurry up and debut from a major record label and live on my own.\Hey, did you listen to the CD I lent you before?\It would get in the way of my studies so I didn't listen to it at all!\Your entrance exams are over now, so listen to it. I want to create sounds just like it.\I'm not that interested in rock music and stuff...\It's different! ZHIEND is not rock music! It's post-rock!\You boasted that before, too. Like, I don't understand what you mean at all... response:	But, I wasn't able to enter that school.
context: I want to hurry up and debut from a major record label and live on my own.\Hey, did you listen to the CD I lent you before?\It would get in the way of my studies so I didn't listen to it at all!\Your entrance exams are over now, so listen to it. I want to create sounds just like it.\I'm not that interested in rock music and stuff...\It's different! ZHIEND is not rock music! It's post-rock!\You boasted that before, too. Like, I don't understand what you mean at all...\But, I wasn't able to enter that school. response:	I have something important to talk about.
context: Hey, did you listen to the CD I lent you before?\It would get in the way of my studies so I didn't listen to it at all!\Your entrance exams are over now, so listen to it. I want to create sounds just like it.\I'm not that interested in rock music and stuff...\It's different! ZHIEND is not rock music! It's post-rock!\You boasted that before, too. Like, I don't understand what you mean at all...\But, I wasn't able to enter that school.\I have something important to talk about. response:	I decided I'd have both of you enter a boarding school to further develop your talents.
context: It would get in the way of my studies so I didn't listen to it at all!\Your entrance exams are over now, so listen to it. I want to create sounds just like it.\I'm not that interested in rock music and stuff...\It's different! ZHIEND is not rock music! It's post-rock!\You boasted that before, too. Like, I don't understand what you mean at all...\But, I wasn't able to enter that school.\I have something important to talk about.\I decided I'd have both of you enter a boarding school to further develop your talents. response:	I'm just about to sign with a record label, you know?
context: Your entrance exams are over now, so listen to it. I want to create sounds just like it.\I'm not that interested in rock music and stuff...\It's different! ZHIEND is not rock music! It's post-rock!\You boasted that before, too. Like, I don't understand what you mean at all...\But, I wasn't able to enter that school.\I have something important to talk about.\I decided I'd have both of you enter a boarding school to further develop your talents.\I'm just about to sign with a record label, you know? response:	Can't you put that off for a little while?
context: I'm not that interested in rock music and stuff...\It's different! ZHIEND is not rock music! It's post-rock!\You boasted that before, too. Like, I don't understand what you mean at all...\But, I wasn't able to enter that school.\I have something important to talk about.\I decided I'd have both of you enter a boarding school to further develop your talents.\I'm just about to sign with a record label, you know?\Can't you put that off for a little while? response:	I don't get this at all!
context: It's different! ZHIEND is not rock music! It's post-rock!\You boasted that before, too. Like, I don't understand what you mean at all...\But, I wasn't able to enter that school.\I have something important to talk about.\I decided I'd have both of you enter a boarding school to further develop your talents.\I'm just about to sign with a record label, you know?\Can't you put that off for a little while?\I don't get this at all! response:	If I can live on my own,
context: You boasted that before, too. Like, I don't understand what you mean at all...\But, I wasn't able to enter that school.\I have something important to talk about.\I decided I'd have both of you enter a boarding school to further develop your talents.\I'm just about to sign with a record label, you know?\Can't you put that off for a little while?\I don't get this at all!\If I can live on my own, response:	you should be grateful of that because of our family's financial situation!
context: But, I wasn't able to enter that school.\I have something important to talk about.\I decided I'd have both of you enter a boarding school to further develop your talents.\I'm just about to sign with a record label, you know?\Can't you put that off for a little while?\I don't get this at all!\If I can live on my own,\you should be grateful of that because of our family's financial situation! response:	It's actually the reverse... we'll be better off financially if you both go to this school.
context: I have something important to talk about.\I decided I'd have both of you enter a boarding school to further develop your talents.\I'm just about to sign with a record label, you know?\Can't you put that off for a little while?\I don't get this at all!\If I can live on my own,\you should be grateful of that because of our family's financial situation!\It's actually the reverse... we'll be better off financially if you both go to this school. response:	What do you mean, the reverse?
context: I decided I'd have both of you enter a boarding school to further develop your talents.\I'm just about to sign with a record label, you know?\Can't you put that off for a little while?\I don't get this at all!\If I can live on my own,\you should be grateful of that because of our family's financial situation!\It's actually the reverse... we'll be better off financially if you both go to this school.\What do you mean, the reverse? response:	Nao is good at studying,
context: I'm just about to sign with a record label, you know?\Can't you put that off for a little while?\I don't get this at all!\If I can live on my own,\you should be grateful of that because of our family's financial situation!\It's actually the reverse... we'll be better off financially if you both go to this school.\What do you mean, the reverse?\Nao is good at studying, response:	but I'm an idiot that only knows how to play a guitar!
context: Can't you put that off for a little while?\I don't get this at all!\If I can live on my own,\you should be grateful of that because of our family's financial situation!\It's actually the reverse... we'll be better off financially if you both go to this school.\What do you mean, the reverse?\Nao is good at studying,\but I'm an idiot that only knows how to play a guitar! response:	I think that's exactly what they acknowledged you for.
context: I don't get this at all!\If I can live on my own,\you should be grateful of that because of our family's financial situation!\It's actually the reverse... we'll be better off financially if you both go to this school.\What do you mean, the reverse?\Nao is good at studying,\but I'm an idiot that only knows how to play a guitar!\I think that's exactly what they acknowledged you for. response:	Then, is that place a specialized school for music?
context: If I can live on my own,\you should be grateful of that because of our family's financial situation!\It's actually the reverse... we'll be better off financially if you both go to this school.\What do you mean, the reverse?\Nao is good at studying,\but I'm an idiot that only knows how to play a guitar!\I think that's exactly what they acknowledged you for.\Then, is that place a specialized school for music? response:	What's up with both of us going together?
context: you should be grateful of that because of our family's financial situation!\It's actually the reverse... we'll be better off financially if you both go to this school.\What do you mean, the reverse?\Nao is good at studying,\but I'm an idiot that only knows how to play a guitar!\I think that's exactly what they acknowledged you for.\Then, is that place a specialized school for music?\What's up with both of us going together? response:	That day, we saw my mother grovel on the ground and beg for the first time in our lives.
context: It's actually the reverse... we'll be better off financially if you both go to this school.\What do you mean, the reverse?\Nao is good at studying,\but I'm an idiot that only knows how to play a guitar!\I think that's exactly what they acknowledged you for.\Then, is that place a specialized school for music?\What's up with both of us going together?\That day, we saw my mother grovel on the ground and beg for the first time in our lives. response:	My mother, who raised us for the longest time by herself...
context: What do you mean, the reverse?\Nao is good at studying,\but I'm an idiot that only knows how to play a guitar!\I think that's exactly what they acknowledged you for.\Then, is that place a specialized school for music?\What's up with both of us going together?\That day, we saw my mother grovel on the ground and beg for the first time in our lives.\My mother, who raised us for the longest time by herself... response:	That place looked like a school on the outside, and I immediately made a few friends.
context: Nao is good at studying,\but I'm an idiot that only knows how to play a guitar!\I think that's exactly what they acknowledged you for.\Then, is that place a specialized school for music?\What's up with both of us going together?\That day, we saw my mother grovel on the ground and beg for the first time in our lives.\My mother, who raised us for the longest time by herself...\That place looked like a school on the outside, and I immediately made a few friends. response:	However, every day after classes were over, I was forced to take something like a physical exam.
context: but I'm an idiot that only knows how to play a guitar!\I think that's exactly what they acknowledged you for.\Then, is that place a specialized school for music?\What's up with both of us going together?\That day, we saw my mother grovel on the ground and beg for the first time in our lives.\My mother, who raised us for the longest time by herself...\That place looked like a school on the outside, and I immediately made a few friends.\However, every day after classes were over, I was forced to take something like a physical exam. response:	We were supposedly in the same school, but I couldn't see my brother at all.
context: I think that's exactly what they acknowledged you for.\Then, is that place a specialized school for music?\What's up with both of us going together?\That day, we saw my mother grovel on the ground and beg for the first time in our lives.\My mother, who raised us for the longest time by herself...\That place looked like a school on the outside, and I immediately made a few friends.\However, every day after classes were over, I was forced to take something like a physical exam.\We were supposedly in the same school, but I couldn't see my brother at all. response:	Every time I tried to look for my brother, my friends would always stop me from doing so.
context: Then, is that place a specialized school for music?\What's up with both of us going together?\That day, we saw my mother grovel on the ground and beg for the first time in our lives.\My mother, who raised us for the longest time by herself...\That place looked like a school on the outside, and I immediately made a few friends.\However, every day after classes were over, I was forced to take something like a physical exam.\We were supposedly in the same school, but I couldn't see my brother at all.\Every time I tried to look for my brother, my friends would always stop me from doing so. response:	Meanwhile, my brother had been turned into an experimental subject the entire time.
context: What's up with both of us going together?\That day, we saw my mother grovel on the ground and beg for the first time in our lives.\My mother, who raised us for the longest time by herself...\That place looked like a school on the outside, and I immediately made a few friends.\However, every day after classes were over, I was forced to take something like a physical exam.\We were supposedly in the same school, but I couldn't see my brother at all.\Every time I tried to look for my brother, my friends would always stop me from doing so.\Meanwhile, my brother had been turned into an experimental subject the entire time. response:	My brother's ability was to make air vibrate to his will.
context: That day, we saw my mother grovel on the ground and beg for the first time in our lives.\My mother, who raised us for the longest time by herself...\That place looked like a school on the outside, and I immediately made a few friends.\However, every day after classes were over, I was forced to take something like a physical exam.\We were supposedly in the same school, but I couldn't see my brother at all.\Every time I tried to look for my brother, my friends would always stop me from doing so.\Meanwhile, my brother had been turned into an experimental subject the entire time.\My brother's ability was to make air vibrate to his will. response:	He used that ability during a live performance
context: My mother, who raised us for the longest time by herself...\That place looked like a school on the outside, and I immediately made a few friends.\However, every day after classes were over, I was forced to take something like a physical exam.\We were supposedly in the same school, but I couldn't see my brother at all.\Every time I tried to look for my brother, my friends would always stop me from doing so.\Meanwhile, my brother had been turned into an experimental subject the entire time.\My brother's ability was to make air vibrate to his will.\He used that ability during a live performance response:	to change the sound of his guitar into all sorts of sounds.
context: That place looked like a school on the outside, and I immediately made a few friends.\However, every day after classes were over, I was forced to take something like a physical exam.\We were supposedly in the same school, but I couldn't see my brother at all.\Every time I tried to look for my brother, my friends would always stop me from doing so.\Meanwhile, my brother had been turned into an experimental subject the entire time.\My brother's ability was to make air vibrate to his will.\He used that ability during a live performance\to change the sound of his guitar into all sorts of sounds. response:	That's how they found him.
context: However, every day after classes were over, I was forced to take something like a physical exam.\We were supposedly in the same school, but I couldn't see my brother at all.\Every time I tried to look for my brother, my friends would always stop me from doing so.\Meanwhile, my brother had been turned into an experimental subject the entire time.\My brother's ability was to make air vibrate to his will.\He used that ability during a live performance\to change the sound of his guitar into all sorts of sounds.\That's how they found him. response:	Scientists believed that the ability can be used
context: We were supposedly in the same school, but I couldn't see my brother at all.\Every time I tried to look for my brother, my friends would always stop me from doing so.\Meanwhile, my brother had been turned into an experimental subject the entire time.\My brother's ability was to make air vibrate to his will.\He used that ability during a live performance\to change the sound of his guitar into all sorts of sounds.\That's how they found him.\Scientists believed that the ability can be used response:	to jam communications, or even jack the airwaves.
context: Every time I tried to look for my brother, my friends would always stop me from doing so.\Meanwhile, my brother had been turned into an experimental subject the entire time.\My brother's ability was to make air vibrate to his will.\He used that ability during a live performance\to change the sound of his guitar into all sorts of sounds.\That's how they found him.\Scientists believed that the ability can be used\to jam communications, or even jack the airwaves. response:	I finally was able to meet my brother a year later.
context: Meanwhile, my brother had been turned into an experimental subject the entire time.\My brother's ability was to make air vibrate to his will.\He used that ability during a live performance\to change the sound of his guitar into all sorts of sounds.\That's how they found him.\Scientists believed that the ability can be used\to jam communications, or even jack the airwaves.\I finally was able to meet my brother a year later. response:	By then, he was no longer the big brother I remembered...
context: My brother's ability was to make air vibrate to his will.\He used that ability during a live performance\to change the sound of his guitar into all sorts of sounds.\That's how they found him.\Scientists believed that the ability can be used\to jam communications, or even jack the airwaves.\I finally was able to meet my brother a year later.\By then, he was no longer the big brother I remembered... response:	He couldn't even recognize that I was his little sister.
context: He used that ability during a live performance\to change the sound of his guitar into all sorts of sounds.\That's how they found him.\Scientists believed that the ability can be used\to jam communications, or even jack the airwaves.\I finally was able to meet my brother a year later.\By then, he was no longer the big brother I remembered...\He couldn't even recognize that I was his little sister. response:	The friends that were trying to distance me from my brother
context: to change the sound of his guitar into all sorts of sounds.\That's how they found him.\Scientists believed that the ability can be used\to jam communications, or even jack the airwaves.\I finally was able to meet my brother a year later.\By then, he was no longer the big brother I remembered...\He couldn't even recognize that I was his little sister.\The friends that were trying to distance me from my brother response:	were all fake friends prepared by the scientists.
context: That's how they found him.\Scientists believed that the ability can be used\to jam communications, or even jack the airwaves.\I finally was able to meet my brother a year later.\By then, he was no longer the big brother I remembered...\He couldn't even recognize that I was his little sister.\The friends that were trying to distance me from my brother\were all fake friends prepared by the scientists. response:	The reason why they were examining me every day...
context: Scientists believed that the ability can be used\to jam communications, or even jack the airwaves.\I finally was able to meet my brother a year later.\By then, he was no longer the big brother I remembered...\He couldn't even recognize that I was his little sister.\The friends that were trying to distance me from my brother\were all fake friends prepared by the scientists.\The reason why they were examining me every day... response:	That was the only reason.
context: to jam communications, or even jack the airwaves.\I finally was able to meet my brother a year later.\By then, he was no longer the big brother I remembered...\He couldn't even recognize that I was his little sister.\The friends that were trying to distance me from my brother\were all fake friends prepared by the scientists.\The reason why they were examining me every day...\That was the only reason. response:	I swore in my heart that I won't trust anyone ever again.
context: I finally was able to meet my brother a year later.\By then, he was no longer the big brother I remembered...\He couldn't even recognize that I was his little sister.\The friends that were trying to distance me from my brother\were all fake friends prepared by the scientists.\The reason why they were examining me every day...\That was the only reason.\I swore in my heart that I won't trust anyone ever again. response:	I snuck out of that school.
context: By then, he was no longer the big brother I remembered...\He couldn't even recognize that I was his little sister.\The friends that were trying to distance me from my brother\were all fake friends prepared by the scientists.\The reason why they were examining me every day...\That was the only reason.\I swore in my heart that I won't trust anyone ever again.\I snuck out of that school. response:	What happened after that?
context: He couldn't even recognize that I was his little sister.\The friends that were trying to distance me from my brother\were all fake friends prepared by the scientists.\The reason why they were examining me every day...\That was the only reason.\I swore in my heart that I won't trust anyone ever again.\I snuck out of that school.\What happened after that? response:	I have met the one person I can put my trust in, and that's how I'm here now.
context: The friends that were trying to distance me from my brother\were all fake friends prepared by the scientists.\The reason why they were examining me every day...\That was the only reason.\I swore in my heart that I won't trust anyone ever again.\I snuck out of that school.\What happened after that?\I have met the one person I can put my trust in, and that's how I'm here now. response:	That person is
context: were all fake friends prepared by the scientists.\The reason why they were examining me every day...\That was the only reason.\I swore in my heart that I won't trust anyone ever again.\I snuck out of that school.\What happened after that?\I have met the one person I can put my trust in, and that's how I'm here now.\That person is response:	We're getting off at the next stop.
context: The reason why they were examining me every day...\That was the only reason.\I swore in my heart that I won't trust anyone ever again.\I snuck out of that school.\What happened after that?\I have met the one person I can put my trust in, and that's how I'm here now.\That person is\We're getting off at the next stop. response:	I'm Nao Tomori. I'm here to see my big brother.
context: That was the only reason.\I swore in my heart that I won't trust anyone ever again.\I snuck out of that school.\What happened after that?\I have met the one person I can put my trust in, and that's how I'm here now.\That person is\We're getting off at the next stop.\I'm Nao Tomori. I'm here to see my big brother. response:	So her first name is Nao.
context: I swore in my heart that I won't trust anyone ever again.\I snuck out of that school.\What happened after that?\I have met the one person I can put my trust in, and that's how I'm here now.\That person is\We're getting off at the next stop.\I'm Nao Tomori. I'm here to see my big brother.\So her first name is Nao. response:	He's in room 12. Go ahead.
context: I snuck out of that school.\What happened after that?\I have met the one person I can put my trust in, and that's how I'm here now.\That person is\We're getting off at the next stop.\I'm Nao Tomori. I'm here to see my big brother.\So her first name is Nao.\He's in room 12. Go ahead. response:	Can I take him outside?
context: What happened after that?\I have met the one person I can put my trust in, and that's how I'm here now.\That person is\We're getting off at the next stop.\I'm Nao Tomori. I'm here to see my big brother.\So her first name is Nao.\He's in room 12. Go ahead.\Can I take him outside? response:	As long as it's within our grounds, there are no issues.
context: I have met the one person I can put my trust in, and that's how I'm here now.\That person is\We're getting off at the next stop.\I'm Nao Tomori. I'm here to see my big brother.\So her first name is Nao.\He's in room 12. Go ahead.\Can I take him outside?\As long as it's within our grounds, there are no issues. response:	Thank you so much.
context: That person is\We're getting off at the next stop.\I'm Nao Tomori. I'm here to see my big brother.\So her first name is Nao.\He's in room 12. Go ahead.\Can I take him outside?\As long as it's within our grounds, there are no issues.\Thank you so much. response:	This way.
context: We're getting off at the next stop.\I'm Nao Tomori. I'm here to see my big brother.\So her first name is Nao.\He's in room 12. Go ahead.\Can I take him outside?\As long as it's within our grounds, there are no issues.\Thank you so much.\This way. response:	He's here.
context: I'm Nao Tomori. I'm here to see my big brother.\So her first name is Nao.\He's in room 12. Go ahead.\Can I take him outside?\As long as it's within our grounds, there are no issues.\Thank you so much.\This way.\He's here. response:	The painkillers have worn off again...
context: So her first name is Nao.\He's in room 12. Go ahead.\Can I take him outside?\As long as it's within our grounds, there are no issues.\Thank you so much.\This way.\He's here.\The painkillers have worn off again... response:	This guy... what in the world is he trying to do?
context: He's in room 12. Go ahead.\Can I take him outside?\As long as it's within our grounds, there are no issues.\Thank you so much.\This way.\He's here.\The painkillers have worn off again...\This guy... what in the world is he trying to do? response:	He's composing.
context: Can I take him outside?\As long as it's within our grounds, there are no issues.\Thank you so much.\This way.\He's here.\The painkillers have worn off again...\This guy... what in the world is he trying to do?\He's composing. response:	This is my big brother thinking he is playing a guitar.
context: As long as it's within our grounds, there are no issues.\Thank you so much.\This way.\He's here.\The painkillers have worn off again...\This guy... what in the world is he trying to do?\He's composing.\This is my big brother thinking he is playing a guitar. response:	The grunts you hear is the main melody line.
context: Thank you so much.\This way.\He's here.\The painkillers have worn off again...\This guy... what in the world is he trying to do?\He's composing.\This is my big brother thinking he is playing a guitar.\The grunts you hear is the main melody line. response:	Oh man, he ruined another futon.
context: This way.\He's here.\The painkillers have worn off again...\This guy... what in the world is he trying to do?\He's composing.\This is my big brother thinking he is playing a guitar.\The grunts you hear is the main melody line.\Oh man, he ruined another futon. response:	Would you like to go outside? This time of day is when you see the best scenery.
context: He's here.\The painkillers have worn off again...\This guy... what in the world is he trying to do?\He's composing.\This is my big brother thinking he is playing a guitar.\The grunts you hear is the main melody line.\Oh man, he ruined another futon.\Would you like to go outside? This time of day is when you see the best scenery. response:	So amazing...
context: The painkillers have worn off again...\This guy... what in the world is he trying to do?\He's composing.\This is my big brother thinking he is playing a guitar.\The grunts you hear is the main melody line.\Oh man, he ruined another futon.\Would you like to go outside? This time of day is when you see the best scenery.\So amazing... response:	Isn't it amazing?
context: This guy... what in the world is he trying to do?\He's composing.\This is my big brother thinking he is playing a guitar.\The grunts you hear is the main melody line.\Oh man, he ruined another futon.\Would you like to go outside? This time of day is when you see the best scenery.\So amazing...\Isn't it amazing? response:	Yeah...
context: He's composing.\This is my big brother thinking he is playing a guitar.\The grunts you hear is the main melody line.\Oh man, he ruined another futon.\Would you like to go outside? This time of day is when you see the best scenery.\So amazing...\Isn't it amazing?\Yeah... response:	But this special an environment... how in the world did you...?
context: This is my big brother thinking he is playing a guitar.\The grunts you hear is the main melody line.\Oh man, he ruined another futon.\Would you like to go outside? This time of day is when you see the best scenery.\So amazing...\Isn't it amazing?\Yeah...\But this special an environment... how in the world did you...? response:	It's all thanks to the one person I can trust.
context: The grunts you hear is the main melody line.\Oh man, he ruined another futon.\Would you like to go outside? This time of day is when you see the best scenery.\So amazing...\Isn't it amazing?\Yeah...\But this special an environment... how in the world did you...?\It's all thanks to the one person I can trust. response:	He transferred my brotherto the hospital in the most beautiful location free of charge.
context: Oh man, he ruined another futon.\Would you like to go outside? This time of day is when you see the best scenery.\So amazing...\Isn't it amazing?\Yeah...\But this special an environment... how in the world did you...?\It's all thanks to the one person I can trust.\He transferred my brotherto the hospital in the most beautiful location free of charge. response:	There is someone out there that will go this far...?
context: Would you like to go outside? This time of day is when you see the best scenery.\So amazing...\Isn't it amazing?\Yeah...\But this special an environment... how in the world did you...?\It's all thanks to the one person I can trust.\He transferred my brotherto the hospital in the most beautiful location free of charge.\There is someone out there that will go this far...? response:	He shows no interest after all...
context: So amazing...\Isn't it amazing?\Yeah...\But this special an environment... how in the world did you...?\It's all thanks to the one person I can trust.\He transferred my brotherto the hospital in the most beautiful location free of charge.\There is someone out there that will go this far...?\He shows no interest after all... response:	But, perhaps there will be a drug soon that can cure this.
context: Isn't it amazing?\Yeah...\But this special an environment... how in the world did you...?\It's all thanks to the one person I can trust.\He transferred my brotherto the hospital in the most beautiful location free of charge.\There is someone out there that will go this far...?\He shows no interest after all...\But, perhaps there will be a drug soon that can cure this. response:	Nobody is researching how to save patients like this.
context: Yeah...\But this special an environment... how in the world did you...?\It's all thanks to the one person I can trust.\He transferred my brotherto the hospital in the most beautiful location free of charge.\There is someone out there that will go this far...?\He shows no interest after all...\But, perhaps there will be a drug soon that can cure this.\Nobody is researching how to save patients like this. response:	Why?
context: But this special an environment... how in the world did you...?\It's all thanks to the one person I can trust.\He transferred my brotherto the hospital in the most beautiful location free of charge.\There is someone out there that will go this far...?\He shows no interest after all...\But, perhaps there will be a drug soon that can cure this.\Nobody is researching how to save patients like this.\Why? response:	For the scientists, people with abilities are like batteries.
context: It's all thanks to the one person I can trust.\He transferred my brotherto the hospital in the most beautiful location free of charge.\There is someone out there that will go this far...?\He shows no interest after all...\But, perhaps there will be a drug soon that can cure this.\Nobody is researching how to save patients like this.\Why?\For the scientists, people with abilities are like batteries. response:	If it runs out of power, they can just experiment with another person who has an ability.
context: He transferred my brotherto the hospital in the most beautiful location free of charge.\There is someone out there that will go this far...?\He shows no interest after all...\But, perhaps there will be a drug soon that can cure this.\Nobody is researching how to save patients like this.\Why?\For the scientists, people with abilities are like batteries.\If it runs out of power, they can just experiment with another person who has an ability. response:	There is no merit for them to help previous holders of abilities that end up like this.
context: There is someone out there that will go this far...?\He shows no interest after all...\But, perhaps there will be a drug soon that can cure this.\Nobody is researching how to save patients like this.\Why?\For the scientists, people with abilities are like batteries.\If it runs out of power, they can just experiment with another person who has an ability.\There is no merit for them to help previous holders of abilities that end up like this. response:	That can't be...
context: He shows no interest after all...\But, perhaps there will be a drug soon that can cure this.\Nobody is researching how to save patients like this.\Why?\For the scientists, people with abilities are like batteries.\If it runs out of power, they can just experiment with another person who has an ability.\There is no merit for them to help previous holders of abilities that end up like this.\That can't be... response:	We don't know whether or not something will happen to us tomorrow, either.
context: But, perhaps there will be a drug soon that can cure this.\Nobody is researching how to save patients like this.\Why?\For the scientists, people with abilities are like batteries.\If it runs out of power, they can just experiment with another person who has an ability.\There is no merit for them to help previous holders of abilities that end up like this.\That can't be...\We don't know whether or not something will happen to us tomorrow, either. response:	Don't say scary stuff like that...
context: Nobody is researching how to save patients like this.\Why?\For the scientists, people with abilities are like batteries.\If it runs out of power, they can just experiment with another person who has an ability.\There is no merit for them to help previous holders of abilities that end up like this.\That can't be...\We don't know whether or not something will happen to us tomorrow, either.\Don't say scary stuff like that... response:	How about you choose your words a bit?
context: Why?\For the scientists, people with abilities are like batteries.\If it runs out of power, they can just experiment with another person who has an ability.\There is no merit for them to help previous holders of abilities that end up like this.\That can't be...\We don't know whether or not something will happen to us tomorrow, either.\Don't say scary stuff like that...\How about you choose your words a bit? response:	Sorry.
context: For the scientists, people with abilities are like batteries.\If it runs out of power, they can just experiment with another person who has an ability.\There is no merit for them to help previous holders of abilities that end up like this.\That can't be...\We don't know whether or not something will happen to us tomorrow, either.\Don't say scary stuff like that...\How about you choose your words a bit?\Sorry. response:	Well then, let's go back.
context: If it runs out of power, they can just experiment with another person who has an ability.\There is no merit for them to help previous holders of abilities that end up like this.\That can't be...\We don't know whether or not something will happen to us tomorrow, either.\Don't say scary stuff like that...\How about you choose your words a bit?\Sorry.\Well then, let's go back. response:	You really have a hard time, don't you...
context: There is no merit for them to help previous holders of abilities that end up like this.\That can't be...\We don't know whether or not something will happen to us tomorrow, either.\Don't say scary stuff like that...\How about you choose your words a bit?\Sorry.\Well then, let's go back.\You really have a hard time, don't you... response:	Are you sympathizing? Stop that. You're nothing but a cheater.
context: That can't be...\We don't know whether or not something will happen to us tomorrow, either.\Don't say scary stuff like that...\How about you choose your words a bit?\Sorry.\Well then, let's go back.\You really have a hard time, don't you...\Are you sympathizing? Stop that. You're nothing but a cheater. response:	Indeed... this is so unlike me.
context: We don't know whether or not something will happen to us tomorrow, either.\Don't say scary stuff like that...\How about you choose your words a bit?\Sorry.\Well then, let's go back.\You really have a hard time, don't you...\Are you sympathizing? Stop that. You're nothing but a cheater.\Indeed... this is so unlike me. response:	I'm home!
context: Don't say scary stuff like that...\How about you choose your words a bit?\Sorry.\Well then, let's go back.\You really have a hard time, don't you...\Are you sympathizing? Stop that. You're nothing but a cheater.\Indeed... this is so unlike me.\I'm home! response:	I didn't think the student council was something that keeps me this busy...
context: How about you choose your words a bit?\Sorry.\Well then, let's go back.\You really have a hard time, don't you...\Are you sympathizing? Stop that. You're nothing but a cheater.\Indeed... this is so unlike me.\I'm home!\I didn't think the student council was something that keeps me this busy... response:	I can't do anything about it.
context: Sorry.\Well then, let's go back.\You really have a hard time, don't you...\Are you sympathizing? Stop that. You're nothing but a cheater.\Indeed... this is so unlike me.\I'm home!\I didn't think the student council was something that keeps me this busy...\I can't do anything about it. response:	Big Brother Yu, you're part of the student council?
context: Well then, let's go back.\You really have a hard time, don't you...\Are you sympathizing? Stop that. You're nothing but a cheater.\Indeed... this is so unlike me.\I'm home!\I didn't think the student council was something that keeps me this busy...\I can't do anything about it.\Big Brother Yu, you're part of the student council? response:	Didn't I tell you!
context: You really have a hard time, don't you...\Are you sympathizing? Stop that. You're nothing but a cheater.\Indeed... this is so unlike me.\I'm home!\I didn't think the student council was something that keeps me this busy...\I can't do anything about it.\Big Brother Yu, you're part of the student council?\Didn't I tell you! response:	This is the first I'm hearing of it!
context: Are you sympathizing? Stop that. You're nothing but a cheater.\Indeed... this is so unlike me.\I'm home!\I didn't think the student council was something that keeps me this busy...\I can't do anything about it.\Big Brother Yu, you're part of the student council?\Didn't I tell you!\This is the first I'm hearing of it! response:	Then, please eat Ayu's special Rolling Vegetable Curry
context: Indeed... this is so unlike me.\I'm home!\I didn't think the student council was something that keeps me this busy...\I can't do anything about it.\Big Brother Yu, you're part of the student council?\Didn't I tell you!\This is the first I'm hearing of it!\Then, please eat Ayu's special Rolling Vegetable Curry response:	to refresh yourself and rid today's fatigue!
context: I'm home!\I didn't think the student council was something that keeps me this busy...\I can't do anything about it.\Big Brother Yu, you're part of the student council?\Didn't I tell you!\This is the first I'm hearing of it!\Then, please eat Ayu's special Rolling Vegetable Curry\to refresh yourself and rid today's fatigue! response:	If I have a special ability, there is the possibility that Ayumi has an ability as well...
context: I didn't think the student council was something that keeps me this busy...\I can't do anything about it.\Big Brother Yu, you're part of the student council?\Didn't I tell you!\This is the first I'm hearing of it!\Then, please eat Ayu's special Rolling Vegetable Curry\to refresh yourself and rid today's fatigue!\If I have a special ability, there is the possibility that Ayumi has an ability as well... response:	If I were to be captured... Ayumi will end up just like Tomori...
context: I can't do anything about it.\Big Brother Yu, you're part of the student council?\Didn't I tell you!\This is the first I'm hearing of it!\Then, please eat Ayu's special Rolling Vegetable Curry\to refresh yourself and rid today's fatigue!\If I have a special ability, there is the possibility that Ayumi has an ability as well...\If I were to be captured... Ayumi will end up just like Tomori... response:	It's done!
