context: The long age of drifting ended, response:	and humanity found a home in the wide reaches of the galaxy.
context: Commander!\Guidance beacon received.\Beginning landing sequence.\Curse the Hideauze...\Sorry!\It's huge!\Bellows!\Hey, Amy. response:	I've got a message from Ridget.
context: Guidance beacon received.\Beginning landing sequence.\Curse the Hideauze...\Sorry!\It's huge!\Bellows!\Hey, Amy.\I've got a message from Ridget. response:	She said if you're willing to take responsibility,
context: Beginning landing sequence.\Curse the Hideauze...\Sorry!\It's huge!\Bellows!\Hey, Amy.\I've got a message from Ridget.\She said if you're willing to take responsibility, response:	you can use this place until tomorrow night.
context: Curse the Hideauze...\Sorry!\It's huge!\Bellows!\Hey, Amy.\I've got a message from Ridget.\She said if you're willing to take responsibility,\you can use this place until tomorrow night. response:	Here's the pledge for you to sign.
context: Sorry!\It's huge!\Bellows!\Hey, Amy.\I've got a message from Ridget.\She said if you're willing to take responsibility,\you can use this place until tomorrow night.\Here's the pledge for you to sign. response:	Jeez.
context: It's huge!\Bellows!\Hey, Amy.\I've got a message from Ridget.\She said if you're willing to take responsibility,\you can use this place until tomorrow night.\Here's the pledge for you to sign.\Jeez. response:	She's such a stickler.
context: Bellows!\Hey, Amy.\I've got a message from Ridget.\She said if you're willing to take responsibility,\you can use this place until tomorrow night.\Here's the pledge for you to sign.\Jeez.\She's such a stickler. response:	So what is this thing?
context: Hey, Amy.\I've got a message from Ridget.\She said if you're willing to take responsibility,\you can use this place until tomorrow night.\Here's the pledge for you to sign.\Jeez.\She's such a stickler.\So what is this thing? response:	If we knew, this would be a lot easier.
context: I've got a message from Ridget.\She said if you're willing to take responsibility,\you can use this place until tomorrow night.\Here's the pledge for you to sign.\Jeez.\She's such a stickler.\So what is this thing?\If we knew, this would be a lot easier. response:	Forget getting it open, we tried to take the armor off and we can't even scratch it.
context: She said if you're willing to take responsibility,\you can use this place until tomorrow night.\Here's the pledge for you to sign.\Jeez.\She's such a stickler.\So what is this thing?\If we knew, this would be a lot easier.\Forget getting it open, we tried to take the armor off and we can't even scratch it. response:	I can't even imagine how they put this thing together.
context: you can use this place until tomorrow night.\Here's the pledge for you to sign.\Jeez.\She's such a stickler.\So what is this thing?\If we knew, this would be a lot easier.\Forget getting it open, we tried to take the armor off and we can't even scratch it.\I can't even imagine how they put this thing together. response:	And look here!
context: Here's the pledge for you to sign.\Jeez.\She's such a stickler.\So what is this thing?\If we knew, this would be a lot easier.\Forget getting it open, we tried to take the armor off and we can't even scratch it.\I can't even imagine how they put this thing together.\And look here! response:	What?
context: Jeez.\She's such a stickler.\So what is this thing?\If we knew, this would be a lot easier.\Forget getting it open, we tried to take the armor off and we can't even scratch it.\I can't even imagine how they put this thing together.\And look here!\What? response:	I've never seen writing like this.
context: She's such a stickler.\So what is this thing?\If we knew, this would be a lot easier.\Forget getting it open, we tried to take the armor off and we can't even scratch it.\I can't even imagine how they put this thing together.\And look here!\What?\I've never seen writing like this. response:	Of course, who knows if these are even letters.
context: So what is this thing?\If we knew, this would be a lot easier.\Forget getting it open, we tried to take the armor off and we can't even scratch it.\I can't even imagine how they put this thing together.\And look here!\What?\I've never seen writing like this.\Of course, who knows if these are even letters. response:	It's been weird ever since we found it.
context: If we knew, this would be a lot easier.\Forget getting it open, we tried to take the armor off and we can't even scratch it.\I can't even imagine how they put this thing together.\And look here!\What?\I've never seen writing like this.\Of course, who knows if these are even letters.\It's been weird ever since we found it. response:	Not rusted and not rotted.
context: Forget getting it open, we tried to take the armor off and we can't even scratch it.\I can't even imagine how they put this thing together.\And look here!\What?\I've never seen writing like this.\Of course, who knows if these are even letters.\It's been weird ever since we found it.\Not rusted and not rotted. response:	Not like the usual treasure we find.
context: I can't even imagine how they put this thing together.\And look here!\What?\I've never seen writing like this.\Of course, who knows if these are even letters.\It's been weird ever since we found it.\Not rusted and not rotted.\Not like the usual treasure we find. response:	It's not much of a treasure if we can't even take it apart.
context: And look here!\What?\I've never seen writing like this.\Of course, who knows if these are even letters.\It's been weird ever since we found it.\Not rusted and not rotted.\Not like the usual treasure we find.\It's not much of a treasure if we can't even take it apart. response:	You're buying it at the price we agreed, Pinion.
context: What?\I've never seen writing like this.\Of course, who knows if these are even letters.\It's been weird ever since we found it.\Not rusted and not rotted.\Not like the usual treasure we find.\It's not much of a treasure if we can't even take it apart.\You're buying it at the price we agreed, Pinion. response:	You're the one who said to just go pull it up.
context: I've never seen writing like this.\Of course, who knows if these are even letters.\It's been weird ever since we found it.\Not rusted and not rotted.\Not like the usual treasure we find.\It's not much of a treasure if we can't even take it apart.\You're buying it at the price we agreed, Pinion.\You're the one who said to just go pull it up. response:	Miser.
context: Of course, who knows if these are even letters.\It's been weird ever since we found it.\Not rusted and not rotted.\Not like the usual treasure we find.\It's not much of a treasure if we can't even take it apart.\You're buying it at the price we agreed, Pinion.\You're the one who said to just go pull it up.\Miser. response:	It looks like it could start moving any second, doesn't it?
context: It's been weird ever since we found it.\Not rusted and not rotted.\Not like the usual treasure we find.\It's not much of a treasure if we can't even take it apart.\You're buying it at the price we agreed, Pinion.\You're the one who said to just go pull it up.\Miser.\It looks like it could start moving any second, doesn't it? response:	I'm sure it's broken.
context: Not rusted and not rotted.\Not like the usual treasure we find.\It's not much of a treasure if we can't even take it apart.\You're buying it at the price we agreed, Pinion.\You're the one who said to just go pull it up.\Miser.\It looks like it could start moving any second, doesn't it?\I'm sure it's broken. response:	No matter where you touch it, not even a budge...
context: Not like the usual treasure we find.\It's not much of a treasure if we can't even take it apart.\You're buying it at the price we agreed, Pinion.\You're the one who said to just go pull it up.\Miser.\It looks like it could start moving any second, doesn't it?\I'm sure it's broken.\No matter where you touch it, not even a budge... response:	Well, you picked this area out on the edge to protect us, right?
context: It's not much of a treasure if we can't even take it apart.\You're buying it at the price we agreed, Pinion.\You're the one who said to just go pull it up.\Miser.\It looks like it could start moving any second, doesn't it?\I'm sure it's broken.\No matter where you touch it, not even a budge...\Well, you picked this area out on the edge to protect us, right? response:	If something happens we can just cut it off.
context: You're buying it at the price we agreed, Pinion.\You're the one who said to just go pull it up.\Miser.\It looks like it could start moving any second, doesn't it?\I'm sure it's broken.\No matter where you touch it, not even a budge...\Well, you picked this area out on the edge to protect us, right?\If something happens we can just cut it off. response:	You idiot, this is my house!
context: You're the one who said to just go pull it up.\Miser.\It looks like it could start moving any second, doesn't it?\I'm sure it's broken.\No matter where you touch it, not even a budge...\Well, you picked this area out on the edge to protect us, right?\If something happens we can just cut it off.\You idiot, this is my house! response:	You can't just cut us off that easy!
context: Miser.\It looks like it could start moving any second, doesn't it?\I'm sure it's broken.\No matter where you touch it, not even a budge...\Well, you picked this area out on the edge to protect us, right?\If something happens we can just cut it off.\You idiot, this is my house!\You can't just cut us off that easy! response:	Right, right. I'll tell Ridget.
context: It looks like it could start moving any second, doesn't it?\I'm sure it's broken.\No matter where you touch it, not even a budge...\Well, you picked this area out on the edge to protect us, right?\If something happens we can just cut it off.\You idiot, this is my house!\You can't just cut us off that easy!\Right, right. I'll tell Ridget. response:	So as you can see, Amy.
context: I'm sure it's broken.\No matter where you touch it, not even a budge...\Well, you picked this area out on the edge to protect us, right?\If something happens we can just cut it off.\You idiot, this is my house!\You can't just cut us off that easy!\Right, right. I'll tell Ridget.\So as you can see, Amy. response:	There ain't gonna be much to see around here for a while.
context: No matter where you touch it, not even a budge...\Well, you picked this area out on the edge to protect us, right?\If something happens we can just cut it off.\You idiot, this is my house!\You can't just cut us off that easy!\Right, right. I'll tell Ridget.\So as you can see, Amy.\There ain't gonna be much to see around here for a while. response:	Get back to your deliveries.
context: Well, you picked this area out on the edge to protect us, right?\If something happens we can just cut it off.\You idiot, this is my house!\You can't just cut us off that easy!\Right, right. I'll tell Ridget.\So as you can see, Amy.\There ain't gonna be much to see around here for a while.\Get back to your deliveries. response:	I'll see you tomorrow morning then.
context: If something happens we can just cut it off.\You idiot, this is my house!\You can't just cut us off that easy!\Right, right. I'll tell Ridget.\So as you can see, Amy.\There ain't gonna be much to see around here for a while.\Get back to your deliveries.\I'll see you tomorrow morning then. response:	Make sure you've taken off at least a few parts by then.
context: You idiot, this is my house!\You can't just cut us off that easy!\Right, right. I'll tell Ridget.\So as you can see, Amy.\There ain't gonna be much to see around here for a while.\Get back to your deliveries.\I'll see you tomorrow morning then.\Make sure you've taken off at least a few parts by then. response:	If we can!
context: You can't just cut us off that easy!\Right, right. I'll tell Ridget.\So as you can see, Amy.\There ain't gonna be much to see around here for a while.\Get back to your deliveries.\I'll see you tomorrow morning then.\Make sure you've taken off at least a few parts by then.\If we can! response:	No clue how...
context: Right, right. I'll tell Ridget.\So as you can see, Amy.\There ain't gonna be much to see around here for a while.\Get back to your deliveries.\I'll see you tomorrow morning then.\Make sure you've taken off at least a few parts by then.\If we can!\No clue how... response:	Measuring brainwaves: Basic rhythms normal.
context: So as you can see, Amy.\There ain't gonna be much to see around here for a while.\Get back to your deliveries.\I'll see you tomorrow morning then.\Make sure you've taken off at least a few parts by then.\If we can!\No clue how...\Measuring brainwaves: Basic rhythms normal. response:	Ensign Ledo has awakened.
context: There ain't gonna be much to see around here for a while.\Get back to your deliveries.\I'll see you tomorrow morning then.\Make sure you've taken off at least a few parts by then.\If we can!\No clue how...\Measuring brainwaves: Basic rhythms normal.\Ensign Ledo has awakened. response:	Revival was successful.
context: Get back to your deliveries.\I'll see you tomorrow morning then.\Make sure you've taken off at least a few parts by then.\If we can!\No clue how...\Measuring brainwaves: Basic rhythms normal.\Ensign Ledo has awakened.\Revival was successful. response:	In accordance with emergency protocols,
context: I'll see you tomorrow morning then.\Make sure you've taken off at least a few parts by then.\If we can!\No clue how...\Measuring brainwaves: Basic rhythms normal.\Ensign Ledo has awakened.\Revival was successful.\In accordance with emergency protocols, response:	I protected your biological functions via cold sleep.
context: Make sure you've taken off at least a few parts by then.\If we can!\No clue how...\Measuring brainwaves: Basic rhythms normal.\Ensign Ledo has awakened.\Revival was successful.\In accordance with emergency protocols,\I protected your biological functions via cold sleep. response:	266,815 minutes have passed.
context: If we can!\No clue how...\Measuring brainwaves: Basic rhythms normal.\Ensign Ledo has awakened.\Revival was successful.\In accordance with emergency protocols,\I protected your biological functions via cold sleep.\266,815 minutes have passed. response:	My system functionality was frozen as well,
context: No clue how...\Measuring brainwaves: Basic rhythms normal.\Ensign Ledo has awakened.\Revival was successful.\In accordance with emergency protocols,\I protected your biological functions via cold sleep.\266,815 minutes have passed.\My system functionality was frozen as well, response:	but I rebooted 12 minutes ago in response to external stimuli.
context: Measuring brainwaves: Basic rhythms normal.\Ensign Ledo has awakened.\Revival was successful.\In accordance with emergency protocols,\I protected your biological functions via cold sleep.\266,815 minutes have passed.\My system functionality was frozen as well,\but I rebooted 12 minutes ago in response to external stimuli. response:	We've been asleep for six months?
context: Ensign Ledo has awakened.\Revival was successful.\In accordance with emergency protocols,\I protected your biological functions via cold sleep.\266,815 minutes have passed.\My system functionality was frozen as well,\but I rebooted 12 minutes ago in response to external stimuli.\We've been asleep for six months? response:	The situation requires the judgment of the pilot.
context: Revival was successful.\In accordance with emergency protocols,\I protected your biological functions via cold sleep.\266,815 minutes have passed.\My system functionality was frozen as well,\but I rebooted 12 minutes ago in response to external stimuli.\We've been asleep for six months?\The situation requires the judgment of the pilot. response:	Thus, I initiated your awakening process.
context: In accordance with emergency protocols,\I protected your biological functions via cold sleep.\266,815 minutes have passed.\My system functionality was frozen as well,\but I rebooted 12 minutes ago in response to external stimuli.\We've been asleep for six months?\The situation requires the judgment of the pilot.\Thus, I initiated your awakening process. response:	Who are they?
context: I protected your biological functions via cold sleep.\266,815 minutes have passed.\My system functionality was frozen as well,\but I rebooted 12 minutes ago in response to external stimuli.\We've been asleep for six months?\The situation requires the judgment of the pilot.\Thus, I initiated your awakening process.\Who are they? response:	What are they saying?
context: 266,815 minutes have passed.\My system functionality was frozen as well,\but I rebooted 12 minutes ago in response to external stimuli.\We've been asleep for six months?\The situation requires the judgment of the pilot.\Thus, I initiated your awakening process.\Who are they?\What are they saying? response:	It is an unknown language.
context: My system functionality was frozen as well,\but I rebooted 12 minutes ago in response to external stimuli.\We've been asleep for six months?\The situation requires the judgment of the pilot.\Thus, I initiated your awakening process.\Who are they?\What are they saying?\It is an unknown language. response:	It is similar to several ancient languages.
context: but I rebooted 12 minutes ago in response to external stimuli.\We've been asleep for six months?\The situation requires the judgment of the pilot.\Thus, I initiated your awakening process.\Who are they?\What are they saying?\It is an unknown language.\It is similar to several ancient languages. response:	I am analyzing but lack sufficient data.
context: We've been asleep for six months?\The situation requires the judgment of the pilot.\Thus, I initiated your awakening process.\Who are they?\What are they saying?\It is an unknown language.\It is similar to several ancient languages.\I am analyzing but lack sufficient data. response:	It's not the Galactic Alliance.
context: The situation requires the judgment of the pilot.\Thus, I initiated your awakening process.\Who are they?\What are they saying?\It is an unknown language.\It is similar to several ancient languages.\I am analyzing but lack sufficient data.\It's not the Galactic Alliance. response:	A wandering tribe that hasn't joined the Alliance?
context: Thus, I initiated your awakening process.\Who are they?\What are they saying?\It is an unknown language.\It is similar to several ancient languages.\I am analyzing but lack sufficient data.\It's not the Galactic Alliance.\A wandering tribe that hasn't joined the Alliance? response:	Have they never seen a Machine Caliber?
context: Who are they?\What are they saying?\It is an unknown language.\It is similar to several ancient languages.\I am analyzing but lack sufficient data.\It's not the Galactic Alliance.\A wandering tribe that hasn't joined the Alliance?\Have they never seen a Machine Caliber? response:	It appears they are trying to damage the craft,
context: What are they saying?\It is an unknown language.\It is similar to several ancient languages.\I am analyzing but lack sufficient data.\It's not the Galactic Alliance.\A wandering tribe that hasn't joined the Alliance?\Have they never seen a Machine Caliber?\It appears they are trying to damage the craft, response:	but have no means of doing so.
context: It is an unknown language.\It is similar to several ancient languages.\I am analyzing but lack sufficient data.\It's not the Galactic Alliance.\A wandering tribe that hasn't joined the Alliance?\Have they never seen a Machine Caliber?\It appears they are trying to damage the craft,\but have no means of doing so. response:	It appears they are a very primitive group.
context: It is similar to several ancient languages.\I am analyzing but lack sufficient data.\It's not the Galactic Alliance.\A wandering tribe that hasn't joined the Alliance?\Have they never seen a Machine Caliber?\It appears they are trying to damage the craft,\but have no means of doing so.\It appears they are a very primitive group. response:	They won't be able to open the hatch from the look of it.
context: I am analyzing but lack sufficient data.\It's not the Galactic Alliance.\A wandering tribe that hasn't joined the Alliance?\Have they never seen a Machine Caliber?\It appears they are trying to damage the craft,\but have no means of doing so.\It appears they are a very primitive group.\They won't be able to open the hatch from the look of it. response:	What's our position?
context: It's not the Galactic Alliance.\A wandering tribe that hasn't joined the Alliance?\Have they never seen a Machine Caliber?\It appears they are trying to damage the craft,\but have no means of doing so.\It appears they are a very primitive group.\They won't be able to open the hatch from the look of it.\What's our position? response:	It's impossible to pinpoint our coordinates.
context: A wandering tribe that hasn't joined the Alliance?\Have they never seen a Machine Caliber?\It appears they are trying to damage the craft,\but have no means of doing so.\It appears they are a very primitive group.\They won't be able to open the hatch from the look of it.\What's our position?\It's impossible to pinpoint our coordinates. response:	We lack a reference point.
context: Have they never seen a Machine Caliber?\It appears they are trying to damage the craft,\but have no means of doing so.\It appears they are a very primitive group.\They won't be able to open the hatch from the look of it.\What's our position?\It's impossible to pinpoint our coordinates.\We lack a reference point. response:	What?
context: It appears they are trying to damage the craft,\but have no means of doing so.\It appears they are a very primitive group.\They won't be able to open the hatch from the look of it.\What's our position?\It's impossible to pinpoint our coordinates.\We lack a reference point.\What? response:	Hypothesis: During the carrier Lamorak's Telemothy Swing,
context: but have no means of doing so.\It appears they are a very primitive group.\They won't be able to open the hatch from the look of it.\What's our position?\It's impossible to pinpoint our coordinates.\We lack a reference point.\What?\Hypothesis: During the carrier Lamorak's Telemothy Swing, response:	we were caught in the change of the spacetime metric,
context: It appears they are a very primitive group.\They won't be able to open the hatch from the look of it.\What's our position?\It's impossible to pinpoint our coordinates.\We lack a reference point.\What?\Hypothesis: During the carrier Lamorak's Telemothy Swing,\we were caught in the change of the spacetime metric, response:	and resynchronized with normal space at a set of random coordinates.
context: They won't be able to open the hatch from the look of it.\What's our position?\It's impossible to pinpoint our coordinates.\We lack a reference point.\What?\Hypothesis: During the carrier Lamorak's Telemothy Swing,\we were caught in the change of the spacetime metric,\and resynchronized with normal space at a set of random coordinates. response:	You're kidding me.
context: What's our position?\It's impossible to pinpoint our coordinates.\We lack a reference point.\What?\Hypothesis: During the carrier Lamorak's Telemothy Swing,\we were caught in the change of the spacetime metric,\and resynchronized with normal space at a set of random coordinates.\You're kidding me. response:	I was maintaining your cold sleep while sending out a rescue signal,
context: It's impossible to pinpoint our coordinates.\We lack a reference point.\What?\Hypothesis: During the carrier Lamorak's Telemothy Swing,\we were caught in the change of the spacetime metric,\and resynchronized with normal space at a set of random coordinates.\You're kidding me.\I was maintaining your cold sleep while sending out a rescue signal, response:	but the situation is approaching a point that requires intervention.
context: We lack a reference point.\What?\Hypothesis: During the carrier Lamorak's Telemothy Swing,\we were caught in the change of the spacetime metric,\and resynchronized with normal space at a set of random coordinates.\You're kidding me.\I was maintaining your cold sleep while sending out a rescue signal,\but the situation is approaching a point that requires intervention. response:	Suggest a plan.
context: What?\Hypothesis: During the carrier Lamorak's Telemothy Swing,\we were caught in the change of the spacetime metric,\and resynchronized with normal space at a set of random coordinates.\You're kidding me.\I was maintaining your cold sleep while sending out a rescue signal,\but the situation is approaching a point that requires intervention.\Suggest a plan. response:	I don't know, though.
context: Hypothesis: During the carrier Lamorak's Telemothy Swing,\we were caught in the change of the spacetime metric,\and resynchronized with normal space at a set of random coordinates.\You're kidding me.\I was maintaining your cold sleep while sending out a rescue signal,\but the situation is approaching a point that requires intervention.\Suggest a plan.\I don't know, though. response:	From the look of it they're a descendant of humanity...
context: we were caught in the change of the spacetime metric,\and resynchronized with normal space at a set of random coordinates.\You're kidding me.\I was maintaining your cold sleep while sending out a rescue signal,\but the situation is approaching a point that requires intervention.\Suggest a plan.\I don't know, though.\From the look of it they're a descendant of humanity... response:	But until we know who they are I can't make any decisions.
context: and resynchronized with normal space at a set of random coordinates.\You're kidding me.\I was maintaining your cold sleep while sending out a rescue signal,\but the situation is approaching a point that requires intervention.\Suggest a plan.\I don't know, though.\From the look of it they're a descendant of humanity...\But until we know who they are I can't make any decisions. response:	The bulkheads are likely to be extremely fragile.
context: You're kidding me.\I was maintaining your cold sleep while sending out a rescue signal,\but the situation is approaching a point that requires intervention.\Suggest a plan.\I don't know, though.\From the look of it they're a descendant of humanity...\But until we know who they are I can't make any decisions.\The bulkheads are likely to be extremely fragile. response:	Even with our current power output it is possible to destroy them and escape.
context: I was maintaining your cold sleep while sending out a rescue signal,\but the situation is approaching a point that requires intervention.\Suggest a plan.\I don't know, though.\From the look of it they're a descendant of humanity...\But until we know who they are I can't make any decisions.\The bulkheads are likely to be extremely fragile.\Even with our current power output it is possible to destroy them and escape. response:	No.
context: but the situation is approaching a point that requires intervention.\Suggest a plan.\I don't know, though.\From the look of it they're a descendant of humanity...\But until we know who they are I can't make any decisions.\The bulkheads are likely to be extremely fragile.\Even with our current power output it is possible to destroy them and escape.\No. response:	It might be vacuum outside.
context: Suggest a plan.\I don't know, though.\From the look of it they're a descendant of humanity...\But until we know who they are I can't make any decisions.\The bulkheads are likely to be extremely fragile.\Even with our current power output it is possible to destroy them and escape.\No.\It might be vacuum outside. response:	They're not wearing airtight suits.
context: I don't know, though.\From the look of it they're a descendant of humanity...\But until we know who they are I can't make any decisions.\The bulkheads are likely to be extremely fragile.\Even with our current power output it is possible to destroy them and escape.\No.\It might be vacuum outside.\They're not wearing airtight suits. response:	Anyway, I need to know what's going on.
context: From the look of it they're a descendant of humanity...\But until we know who they are I can't make any decisions.\The bulkheads are likely to be extremely fragile.\Even with our current power output it is possible to destroy them and escape.\No.\It might be vacuum outside.\They're not wearing airtight suits.\Anyway, I need to know what's going on. response:	I'd like to see what's going on outside...
context: But until we know who they are I can't make any decisions.\The bulkheads are likely to be extremely fragile.\Even with our current power output it is possible to destroy them and escape.\No.\It might be vacuum outside.\They're not wearing airtight suits.\Anyway, I need to know what's going on.\I'd like to see what's going on outside... response:	Damn it!
context: The bulkheads are likely to be extremely fragile.\Even with our current power output it is possible to destroy them and escape.\No.\It might be vacuum outside.\They're not wearing airtight suits.\Anyway, I need to know what's going on.\I'd like to see what's going on outside...\Damn it! response:	Oww...
context: Even with our current power output it is possible to destroy them and escape.\No.\It might be vacuum outside.\They're not wearing airtight suits.\Anyway, I need to know what's going on.\I'd like to see what's going on outside...\Damn it!\Oww... response:	The gravity's exactly 1G, huh?
context: No.\It might be vacuum outside.\They're not wearing airtight suits.\Anyway, I need to know what's going on.\I'd like to see what's going on outside...\Damn it!\Oww...\The gravity's exactly 1G, huh? response:	For a wandering tribe, they've got it tuned pretty well.
context: It might be vacuum outside.\They're not wearing airtight suits.\Anyway, I need to know what's going on.\I'd like to see what's going on outside...\Damn it!\Oww...\The gravity's exactly 1G, huh?\For a wandering tribe, they've got it tuned pretty well. response:	What about the air?
context: They're not wearing airtight suits.\Anyway, I need to know what's going on.\I'd like to see what's going on outside...\Damn it!\Oww...\The gravity's exactly 1G, huh?\For a wandering tribe, they've got it tuned pretty well.\What about the air? response:	Primary components are nitrogen, oxygen, carbon dioxide.
context: Anyway, I need to know what's going on.\I'd like to see what's going on outside...\Damn it!\Oww...\The gravity's exactly 1G, huh?\For a wandering tribe, they've got it tuned pretty well.\What about the air?\Primary components are nitrogen, oxygen, carbon dioxide. response:	The ratio is ideal for life.
context: I'd like to see what's going on outside...\Damn it!\Oww...\The gravity's exactly 1G, huh?\For a wandering tribe, they've got it tuned pretty well.\What about the air?\Primary components are nitrogen, oxygen, carbon dioxide.\The ratio is ideal for life. response:	There are other minor components, but none of them are harmful.
context: Damn it!\Oww...\The gravity's exactly 1G, huh?\For a wandering tribe, they've got it tuned pretty well.\What about the air?\Primary components are nitrogen, oxygen, carbon dioxide.\The ratio is ideal for life.\There are other minor components, but none of them are harmful. response:	If I can breathe then I will.
context: Oww...\The gravity's exactly 1G, huh?\For a wandering tribe, they've got it tuned pretty well.\What about the air?\Primary components are nitrogen, oxygen, carbon dioxide.\The ratio is ideal for life.\There are other minor components, but none of them are harmful.\If I can breathe then I will. response:	I'd like to save my oxygen if I can.
context: The gravity's exactly 1G, huh?\For a wandering tribe, they've got it tuned pretty well.\What about the air?\Primary components are nitrogen, oxygen, carbon dioxide.\The ratio is ideal for life.\There are other minor components, but none of them are harmful.\If I can breathe then I will.\I'd like to save my oxygen if I can. response:	What is this smell?
context: For a wandering tribe, they've got it tuned pretty well.\What about the air?\Primary components are nitrogen, oxygen, carbon dioxide.\The ratio is ideal for life.\There are other minor components, but none of them are harmful.\If I can breathe then I will.\I'd like to save my oxygen if I can.\What is this smell? response:	What is this place?
context: What about the air?\Primary components are nitrogen, oxygen, carbon dioxide.\The ratio is ideal for life.\There are other minor components, but none of them are harmful.\If I can breathe then I will.\I'd like to save my oxygen if I can.\What is this smell?\What is this place? response:	How old is this stuff?
context: Primary components are nitrogen, oxygen, carbon dioxide.\The ratio is ideal for life.\There are other minor components, but none of them are harmful.\If I can breathe then I will.\I'd like to save my oxygen if I can.\What is this smell?\What is this place?\How old is this stuff? response:	Whose are these people?
context: The ratio is ideal for life.\There are other minor components, but none of them are harmful.\If I can breathe then I will.\I'd like to save my oxygen if I can.\What is this smell?\What is this place?\How old is this stuff?\Whose are these people? response:	Sure, I said tomorrow morning.
context: There are other minor components, but none of them are harmful.\If I can breathe then I will.\I'd like to save my oxygen if I can.\What is this smell?\What is this place?\How old is this stuff?\Whose are these people?\Sure, I said tomorrow morning. response:	But it's not even dawn!
context: If I can breathe then I will.\I'd like to save my oxygen if I can.\What is this smell?\What is this place?\How old is this stuff?\Whose are these people?\Sure, I said tomorrow morning.\But it's not even dawn! response:	I was thinking about it so much I couldn't sleep.
context: I'd like to save my oxygen if I can.\What is this smell?\What is this place?\How old is this stuff?\Whose are these people?\Sure, I said tomorrow morning.\But it's not even dawn!\I was thinking about it so much I couldn't sleep. response:	I didn't get any sleep at all.
context: What is this smell?\What is this place?\How old is this stuff?\Whose are these people?\Sure, I said tomorrow morning.\But it's not even dawn!\I was thinking about it so much I couldn't sleep.\I didn't get any sleep at all. response:	'Cause you're the only one who can open up the door!
context: What is this place?\How old is this stuff?\Whose are these people?\Sure, I said tomorrow morning.\But it's not even dawn!\I was thinking about it so much I couldn't sleep.\I didn't get any sleep at all.\'Cause you're the only one who can open up the door! response:	We're in the middle of crossing the Milky Way right now.
context: How old is this stuff?\Whose are these people?\Sure, I said tomorrow morning.\But it's not even dawn!\I was thinking about it so much I couldn't sleep.\I didn't get any sleep at all.\'Cause you're the only one who can open up the door!\We're in the middle of crossing the Milky Way right now. response:	Ridget will get pissed off if I waste electricity.
context: Whose are these people?\Sure, I said tomorrow morning.\But it's not even dawn!\I was thinking about it so much I couldn't sleep.\I didn't get any sleep at all.\'Cause you're the only one who can open up the door!\We're in the middle of crossing the Milky Way right now.\Ridget will get pissed off if I waste electricity. response:	What?
context: Sure, I said tomorrow morning.\But it's not even dawn!\I was thinking about it so much I couldn't sleep.\I didn't get any sleep at all.\'Cause you're the only one who can open up the door!\We're in the middle of crossing the Milky Way right now.\Ridget will get pissed off if I waste electricity.\What? response:	What's wrong?
context: But it's not even dawn!\I was thinking about it so much I couldn't sleep.\I didn't get any sleep at all.\'Cause you're the only one who can open up the door!\We're in the middle of crossing the Milky Way right now.\Ridget will get pissed off if I waste electricity.\What?\What's wrong? response:	It's not going to move.
context: I was thinking about it so much I couldn't sleep.\I didn't get any sleep at all.\'Cause you're the only one who can open up the door!\We're in the middle of crossing the Milky Way right now.\Ridget will get pissed off if I waste electricity.\What?\What's wrong?\It's not going to move. response:	Amy, get away from that thing.
context: I didn't get any sleep at all.\'Cause you're the only one who can open up the door!\We're in the middle of crossing the Milky Way right now.\Ridget will get pissed off if I waste electricity.\What?\What's wrong?\It's not going to move.\Amy, get away from that thing. response:	Get over here.
context: 'Cause you're the only one who can open up the door!\We're in the middle of crossing the Milky Way right now.\Ridget will get pissed off if I waste electricity.\What?\What's wrong?\It's not going to move.\Amy, get away from that thing.\Get over here. response:	Now!
context: We're in the middle of crossing the Milky Way right now.\Ridget will get pissed off if I waste electricity.\What?\What's wrong?\It's not going to move.\Amy, get away from that thing.\Get over here.\Now! response:	Okay...
context: Ridget will get pissed off if I waste electricity.\What?\What's wrong?\It's not going to move.\Amy, get away from that thing.\Get over here.\Now!\Okay... response:	Amy!
context: What?\What's wrong?\It's not going to move.\Amy, get away from that thing.\Get over here.\Now!\Okay...\Amy! response:	Why you...!
context: What's wrong?\It's not going to move.\Amy, get away from that thing.\Get over here.\Now!\Okay...\Amy!\Why you...! response:	What the hell are you saying?
context: It's not going to move.\Amy, get away from that thing.\Get over here.\Now!\Okay...\Amy!\Why you...!\What the hell are you saying? response:	Who are you?
context: Amy, get away from that thing.\Get over here.\Now!\Okay...\Amy!\Why you...!\What the hell are you saying?\Who are you? response:	What are you doing?
context: Get over here.\Now!\Okay...\Amy!\Why you...!\What the hell are you saying?\Who are you?\What are you doing? response:	Screw you!
context: Now!\Okay...\Amy!\Why you...!\What the hell are you saying?\Who are you?\What are you doing?\Screw you! response:	Wait!
context: Okay...\Amy!\Why you...!\What the hell are you saying?\Who are you?\What are you doing?\Screw you!\Wait! response:	Damn it! Let me go! Let me go!
context: Amy!\Why you...!\What the hell are you saying?\Who are you?\What are you doing?\Screw you!\Wait!\Damn it! Let me go! Let me go! response:	What?
context: Why you...!\What the hell are you saying?\Who are you?\What are you doing?\Screw you!\Wait!\Damn it! Let me go! Let me go!\What? response:	I cannot find any logic in your actions.
