context: Say, Nana Komatsu. Remember close to our high school graduation, response:	we stood beside each other and looked onto the school grounds
context: Did he pay?\There. He left a Jackson Burger for you.\Barter trade?! But I love his Jackson Burgers!\Though that one's already cold.\What is Ms. Sakagami, age 38, doing here?\Because of her serious fans...\who don't exist.\No they don't. response:	- Excuse me, you people over there. - Y-Yes?
context: There. He left a Jackson Burger for you.\Barter trade?! But I love his Jackson Burgers!\Though that one's already cold.\What is Ms. Sakagami, age 38, doing here?\Because of her serious fans...\who don't exist.\No they don't.\- Excuse me, you people over there. - Y-Yes? response:	I hear you're friends of Nana Komatsu.
context: Barter trade?! But I love his Jackson Burgers!\Though that one's already cold.\What is Ms. Sakagami, age 38, doing here?\Because of her serious fans...\who don't exist.\No they don't.\- Excuse me, you people over there. - Y-Yes?\I hear you're friends of Nana Komatsu. response:	What is it with that girl? First of all, when it comes to her work ethics...
context: Though that one's already cold.\What is Ms. Sakagami, age 38, doing here?\Because of her serious fans...\who don't exist.\No they don't.\- Excuse me, you people over there. - Y-Yes?\I hear you're friends of Nana Komatsu.\What is it with that girl? First of all, when it comes to her work ethics... response:	You know this woman is your typical character
context: What is Ms. Sakagami, age 38, doing here?\Because of her serious fans...\who don't exist.\No they don't.\- Excuse me, you people over there. - Y-Yes?\I hear you're friends of Nana Komatsu.\What is it with that girl? First of all, when it comes to her work ethics...\You know this woman is your typical character response:	who ends up having very few appearances.
context: Because of her serious fans...\who don't exist.\No they don't.\- Excuse me, you people over there. - Y-Yes?\I hear you're friends of Nana Komatsu.\What is it with that girl? First of all, when it comes to her work ethics...\You know this woman is your typical character\who ends up having very few appearances. response:	Even fewer than Koichi Sato.
context: who don't exist.\No they don't.\- Excuse me, you people over there. - Y-Yes?\I hear you're friends of Nana Komatsu.\What is it with that girl? First of all, when it comes to her work ethics...\You know this woman is your typical character\who ends up having very few appearances.\Even fewer than Koichi Sato. response:	Mhm. This is very strange.
context: No they don't.\- Excuse me, you people over there. - Y-Yes?\I hear you're friends of Nana Komatsu.\What is it with that girl? First of all, when it comes to her work ethics...\You know this woman is your typical character\who ends up having very few appearances.\Even fewer than Koichi Sato.\Mhm. This is very strange. response:	Why are we visited by
context: - Excuse me, you people over there. - Y-Yes?\I hear you're friends of Nana Komatsu.\What is it with that girl? First of all, when it comes to her work ethics...\You know this woman is your typical character\who ends up having very few appearances.\Even fewer than Koichi Sato.\Mhm. This is very strange.\Why are we visited by response:	all these characters who hardly appear in the show?
context: I hear you're friends of Nana Komatsu.\What is it with that girl? First of all, when it comes to her work ethics...\You know this woman is your typical character\who ends up having very few appearances.\Even fewer than Koichi Sato.\Mhm. This is very strange.\Why are we visited by\all these characters who hardly appear in the show? response:	That's because this is where
context: What is it with that girl? First of all, when it comes to her work ethics...\You know this woman is your typical character\who ends up having very few appearances.\Even fewer than Koichi Sato.\Mhm. This is very strange.\Why are we visited by\all these characters who hardly appear in the show?\That's because this is where response:	the Characters with Few Appearances gather.
context: You know this woman is your typical character\who ends up having very few appearances.\Even fewer than Koichi Sato.\Mhm. This is very strange.\Why are we visited by\all these characters who hardly appear in the show?\That's because this is where\the Characters with Few Appearances gather. response:	- Huh? - Huh?
context: who ends up having very few appearances.\Even fewer than Koichi Sato.\Mhm. This is very strange.\Why are we visited by\all these characters who hardly appear in the show?\That's because this is where\the Characters with Few Appearances gather.\- Huh? - Huh? response:	With you three at the lead.
context: Even fewer than Koichi Sato.\Mhm. This is very strange.\Why are we visited by\all these characters who hardly appear in the show?\That's because this is where\the Characters with Few Appearances gather.\- Huh? - Huh?\With you three at the lead. response:	Th-That's impossible.
context: Mhm. This is very strange.\Why are we visited by\all these characters who hardly appear in the show?\That's because this is where\the Characters with Few Appearances gather.\- Huh? - Huh?\With you three at the lead.\Th-That's impossible. response:	We will have many more appearances.
context: Why are we visited by\all these characters who hardly appear in the show?\That's because this is where\the Characters with Few Appearances gather.\- Huh? - Huh?\With you three at the lead.\Th-That's impossible.\We will have many more appearances. response:	You'll have no more.
context: all these characters who hardly appear in the show?\That's because this is where\the Characters with Few Appearances gather.\- Huh? - Huh?\With you three at the lead.\Th-That's impossible.\We will have many more appearances.\You'll have no more. response:	- That's not your decision to make! - That's not your decision to make!
context: That's because this is where\the Characters with Few Appearances gather.\- Huh? - Huh?\With you three at the lead.\Th-That's impossible.\We will have many more appearances.\You'll have no more.\- That's not your decision to make! - That's not your decision to make! response:	You've got plenty blooming lately right in your own garden.
context: the Characters with Few Appearances gather.\- Huh? - Huh?\With you three at the lead.\Th-That's impossible.\We will have many more appearances.\You'll have no more.\- That's not your decision to make! - That's not your decision to make!\You've got plenty blooming lately right in your own garden. response:	I want happiness as soon as possible too.
context: - Huh? - Huh?\With you three at the lead.\Th-That's impossible.\We will have many more appearances.\You'll have no more.\- That's not your decision to make! - That's not your decision to make!\You've got plenty blooming lately right in your own garden.\I want happiness as soon as possible too. response:	Or rather, a boyfriend.
context: With you three at the lead.\Th-That's impossible.\We will have many more appearances.\You'll have no more.\- That's not your decision to make! - That's not your decision to make!\You've got plenty blooming lately right in your own garden.\I want happiness as soon as possible too.\Or rather, a boyfriend. response:	Then we'll organize a party.
context: Th-That's impossible.\We will have many more appearances.\You'll have no more.\- That's not your decision to make! - That's not your decision to make!\You've got plenty blooming lately right in your own garden.\I want happiness as soon as possible too.\Or rather, a boyfriend.\Then we'll organize a party. response:	Not that way. I want a love that's meant to be.
context: We will have many more appearances.\You'll have no more.\- That's not your decision to make! - That's not your decision to make!\You've got plenty blooming lately right in your own garden.\I want happiness as soon as possible too.\Or rather, a boyfriend.\Then we'll organize a party.\Not that way. I want a love that's meant to be. response:	Oh, but now that you mention it, a party might be good, too.
context: You'll have no more.\- That's not your decision to make! - That's not your decision to make!\You've got plenty blooming lately right in your own garden.\I want happiness as soon as possible too.\Or rather, a boyfriend.\Then we'll organize a party.\Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too. response:	Say, Yasu, do you have a girlfriend?
context: - That's not your decision to make! - That's not your decision to make!\You've got plenty blooming lately right in your own garden.\I want happiness as soon as possible too.\Or rather, a boyfriend.\Then we'll organize a party.\Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too.\Say, Yasu, do you have a girlfriend? response:	Unfortunately, I'm not popular with the women.
context: You've got plenty blooming lately right in your own garden.\I want happiness as soon as possible too.\Or rather, a boyfriend.\Then we'll organize a party.\Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too.\Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women. response:	Say, Nobu, don't you have a girlfriend?
context: I want happiness as soon as possible too.\Or rather, a boyfriend.\Then we'll organize a party.\Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too.\Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women.\Say, Nobu, don't you have a girlfriend? response:	I don't.
context: Or rather, a boyfriend.\Then we'll organize a party.\Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too.\Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women.\Say, Nobu, don't you have a girlfriend?\I don't. response:	Presently recruiting within-reach characters.
context: Then we'll organize a party.\Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too.\Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women.\Say, Nobu, don't you have a girlfriend?\I don't.\Presently recruiting within-reach characters. response:	Super within-reach character
context: Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too.\Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women.\Say, Nobu, don't you have a girlfriend?\I don't.\Presently recruiting within-reach characters.\Super within-reach character response:	Miss Komatsu!
context: Oh, but now that you mention it, a party might be good, too.\Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women.\Say, Nobu, don't you have a girlfriend?\I don't.\Presently recruiting within-reach characters.\Super within-reach character\Miss Komatsu! response:	How long is it taking you to sort those postcards?
context: Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women.\Say, Nobu, don't you have a girlfriend?\I don't.\Presently recruiting within-reach characters.\Super within-reach character\Miss Komatsu!\How long is it taking you to sort those postcards? response:	You really are slow!
context: Unfortunately, I'm not popular with the women.\Say, Nobu, don't you have a girlfriend?\I don't.\Presently recruiting within-reach characters.\Super within-reach character\Miss Komatsu!\How long is it taking you to sort those postcards?\You really are slow! response:	Miss Komatsu!
context: Say, Nobu, don't you have a girlfriend?\I don't.\Presently recruiting within-reach characters.\Super within-reach character\Miss Komatsu!\How long is it taking you to sort those postcards?\You really are slow!\Miss Komatsu! response:	Can't you even make copies properly?!
context: I don't.\Presently recruiting within-reach characters.\Super within-reach character\Miss Komatsu!\How long is it taking you to sort those postcards?\You really are slow!\Miss Komatsu!\Can't you even make copies properly?! response:	I'll call you later.
context: Presently recruiting within-reach characters.\Super within-reach character\Miss Komatsu!\How long is it taking you to sort those postcards?\You really are slow!\Miss Komatsu!\Can't you even make copies properly?!\I'll call you later. response:	Come on, Ms. Sakagami. What are you doing here wasting time?
context: Super within-reach character\Miss Komatsu!\How long is it taking you to sort those postcards?\You really are slow!\Miss Komatsu!\Can't you even make copies properly?!\I'll call you later.\Come on, Ms. Sakagami. What are you doing here wasting time? response:	Please get back to work.
context: Miss Komatsu!\How long is it taking you to sort those postcards?\You really are slow!\Miss Komatsu!\Can't you even make copies properly?!\I'll call you later.\Come on, Ms. Sakagami. What are you doing here wasting time?\Please get back to work. response:	Ms. Sakagami!
context: How long is it taking you to sort those postcards?\You really are slow!\Miss Komatsu!\Can't you even make copies properly?!\I'll call you later.\Come on, Ms. Sakagami. What are you doing here wasting time?\Please get back to work.\Ms. Sakagami! response:	The Chief says I'm fired!
context: You really are slow!\Miss Komatsu!\Can't you even make copies properly?!\I'll call you later.\Come on, Ms. Sakagami. What are you doing here wasting time?\Please get back to work.\Ms. Sakagami!\The Chief says I'm fired! response:	- Naturally. - Huh?
context: Miss Komatsu!\Can't you even make copies properly?!\I'll call you later.\Come on, Ms. Sakagami. What are you doing here wasting time?\Please get back to work.\Ms. Sakagami!\The Chief says I'm fired!\- Naturally. - Huh? response:	No way. Ms. Sakagami. Although you were hard on me,
context: Can't you even make copies properly?!\I'll call you later.\Come on, Ms. Sakagami. What are you doing here wasting time?\Please get back to work.\Ms. Sakagami!\The Chief says I'm fired!\- Naturally. - Huh?\No way. Ms. Sakagami. Although you were hard on me, response:	I thought you were the kinda person who would stand up for me in the end.
context: I'll call you later.\Come on, Ms. Sakagami. What are you doing here wasting time?\Please get back to work.\Ms. Sakagami!\The Chief says I'm fired!\- Naturally. - Huh?\No way. Ms. Sakagami. Although you were hard on me,\I thought you were the kinda person who would stand up for me in the end. response:	Do you think the world exists for you?!
context: Come on, Ms. Sakagami. What are you doing here wasting time?\Please get back to work.\Ms. Sakagami!\The Chief says I'm fired!\- Naturally. - Huh?\No way. Ms. Sakagami. Although you were hard on me,\I thought you were the kinda person who would stand up for me in the end.\Do you think the world exists for you?! response:	It's a result of how spoiled you've been acting. Farewell.
context: Please get back to work.\Ms. Sakagami!\The Chief says I'm fired!\- Naturally. - Huh?\No way. Ms. Sakagami. Although you were hard on me,\I thought you were the kinda person who would stand up for me in the end.\Do you think the world exists for you?!\It's a result of how spoiled you've been acting. Farewell. response:	Unidentified Caller
context: Ms. Sakagami!\The Chief says I'm fired!\- Naturally. - Huh?\No way. Ms. Sakagami. Although you were hard on me,\I thought you were the kinda person who would stand up for me in the end.\Do you think the world exists for you?!\It's a result of how spoiled you've been acting. Farewell.\Unidentified Caller response:	- Yes? - Nana?
context: The Chief says I'm fired!\- Naturally. - Huh?\No way. Ms. Sakagami. Although you were hard on me,\I thought you were the kinda person who would stand up for me in the end.\Do you think the world exists for you?!\It's a result of how spoiled you've been acting. Farewell.\Unidentified Caller\- Yes? - Nana? response:	It's me, Takumi.
context: - Naturally. - Huh?\No way. Ms. Sakagami. Although you were hard on me,\I thought you were the kinda person who would stand up for me in the end.\Do you think the world exists for you?!\It's a result of how spoiled you've been acting. Farewell.\Unidentified Caller\- Yes? - Nana?\It's me, Takumi. response:	Do you have a moment to talk?
context: No way. Ms. Sakagami. Although you were hard on me,\I thought you were the kinda person who would stand up for me in the end.\Do you think the world exists for you?!\It's a result of how spoiled you've been acting. Farewell.\Unidentified Caller\- Yes? - Nana?\It's me, Takumi.\Do you have a moment to talk? response:	Sure.
context: I thought you were the kinda person who would stand up for me in the end.\Do you think the world exists for you?!\It's a result of how spoiled you've been acting. Farewell.\Unidentified Caller\- Yes? - Nana?\It's me, Takumi.\Do you have a moment to talk?\Sure. response:	I reached into the sky
context: Do you think the world exists for you?!\It's a result of how spoiled you've been acting. Farewell.\Unidentified Caller\- Yes? - Nana?\It's me, Takumi.\Do you have a moment to talk?\Sure.\I reached into the sky response:	But I couldn't reach what I wanted
context: It's a result of how spoiled you've been acting. Farewell.\Unidentified Caller\- Yes? - Nana?\It's me, Takumi.\Do you have a moment to talk?\Sure.\I reached into the sky\But I couldn't reach what I wanted response:	They grew smaller and disappeared into the sky
context: Unidentified Caller\- Yes? - Nana?\It's me, Takumi.\Do you have a moment to talk?\Sure.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky response:	Like colorful balloons
context: - Yes? - Nana?\It's me, Takumi.\Do you have a moment to talk?\Sure.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons response:	I'm alone
context: It's me, Takumi.\Do you have a moment to talk?\Sure.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone response:	My hand had no place to go
context: Do you have a moment to talk?\Sure.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go response:	And gently you took it
context: Sure.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it response:	Starless night
context: I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night response:	I won't look back at the shadow of my past
context: But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past response:	I want to feel your warmth
context: They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth response:	Tears are falling down
context: Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down response:	Even if I'm unsure I won't let go
context: I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down\Even if I'm unsure I won't let go response:	Of your hand holding mine
context: My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down\Even if I'm unsure I won't let go\Of your hand holding mine response:	Until the next time!
context: And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down\Even if I'm unsure I won't let go\Of your hand holding mine\Until the next time! response:	- Goodbye! - You are pathetic.
