context: The Forest of Giant Trees The 57th expedition beyond the walls (2) response:	Signs
context: Come on...\Come on, Reiner... No...\Reiner pulled it off!\I forgot because Mikasa was around,\but he's reliable and insanely skilled too!\That should be enough time!\Hurry and get away from it!\If it's not a man-eater, then it won't chase us! response:	Look!
context: Come on, Reiner... No...\Reiner pulled it off!\I forgot because Mikasa was around,\but he's reliable and insanely skilled too!\That should be enough time!\Hurry and get away from it!\If it's not a man-eater, then it won't chase us!\Look! response:	That big bitch is running home scared!
context: Reiner pulled it off!\I forgot because Mikasa was around,\but he's reliable and insanely skilled too!\That should be enough time!\Hurry and get away from it!\If it's not a man-eater, then it won't chase us!\Look!\That big bitch is running home scared! response:	Huh? Why?
context: I forgot because Mikasa was around,\but he's reliable and insanely skilled too!\That should be enough time!\Hurry and get away from it!\If it's not a man-eater, then it won't chase us!\Look!\That big bitch is running home scared!\Huh? Why? response:	It's going to the center rear...
context: but he's reliable and insanely skilled too!\That should be enough time!\Hurry and get away from it!\If it's not a man-eater, then it won't chase us!\Look!\That big bitch is running home scared!\Huh? Why?\It's going to the center rear... response:	Is it headed for where Eren is?
context: That should be enough time!\Hurry and get away from it!\If it's not a man-eater, then it won't chase us!\Look!\That big bitch is running home scared!\Huh? Why?\It's going to the center rear...\Is it headed for where Eren is? response:	That monster...
context: Hurry and get away from it!\If it's not a man-eater, then it won't chase us!\Look!\That big bitch is running home scared!\Huh? Why?\It's going to the center rear...\Is it headed for where Eren is?\That monster... response:	Not even the elite of the Recon Corps can stop the female-form Titan.
context: If it's not a man-eater, then it won't chase us!\Look!\That big bitch is running home scared!\Huh? Why?\It's going to the center rear...\Is it headed for where Eren is?\That monster...\Not even the elite of the Recon Corps can stop the female-form Titan. response:	In the end, the monster finds Eren in the forest of giant trees.
context: Look!\That big bitch is running home scared!\Huh? Why?\It's going to the center rear...\Is it headed for where Eren is?\That monster...\Not even the elite of the Recon Corps can stop the female-form Titan.\In the end, the monster finds Eren in the forest of giant trees. response:	Female Titan
context: That big bitch is running home scared!\Huh? Why?\It's going to the center rear...\Is it headed for where Eren is?\That monster...\Not even the elite of the Recon Corps can stop the female-form Titan.\In the end, the monster finds Eren in the forest of giant trees.\Female Titan response:	57th Expedition Beyond the Walls (pt 1)
context: Huh? Why?\It's going to the center rear...\Is it headed for where Eren is?\That monster...\Not even the elite of the Recon Corps can stop the female-form Titan.\In the end, the monster finds Eren in the forest of giant trees.\Female Titan\57th Expedition Beyond the Walls (pt 1) response:	The Forest of Giant Trees
context: It's going to the center rear...\Is it headed for where Eren is?\That monster...\Not even the elite of the Recon Corps can stop the female-form Titan.\In the end, the monster finds Eren in the forest of giant trees.\Female Titan\57th Expedition Beyond the Walls (pt 1)\The Forest of Giant Trees response:	57th Expedition Beyond the Walls (pt 2)
context: Is it headed for where Eren is?\That monster...\Not even the elite of the Recon Corps can stop the female-form Titan.\In the end, the monster finds Eren in the forest of giant trees.\Female Titan\57th Expedition Beyond the Walls (pt 1)\The Forest of Giant Trees\57th Expedition Beyond the Walls (pt 2) response:	Currently Disclosable Information
context: That monster...\Not even the elite of the Recon Corps can stop the female-form Titan.\In the end, the monster finds Eren in the forest of giant trees.\Female Titan\57th Expedition Beyond the Walls (pt 1)\The Forest of Giant Trees\57th Expedition Beyond the Walls (pt 2)\Currently Disclosable Information response:	Extended scouting formation (pt 1) It was devised by Erwin Smith, the leader of the Recon Corps. Since its adoption, the survival rates during extramural operations have risen greatly.
context: Not even the elite of the Recon Corps can stop the female-form Titan.\In the end, the monster finds Eren in the forest of giant trees.\Female Titan\57th Expedition Beyond the Walls (pt 1)\The Forest of Giant Trees\57th Expedition Beyond the Walls (pt 2)\Currently Disclosable Information\Extended scouting formation (pt 1) It was devised by Erwin Smith, the leader of the Recon Corps. Since its adoption, the survival rates during extramural operations have risen greatly. response:	Currently Disclosable Information
context: In the end, the monster finds Eren in the forest of giant trees.\Female Titan\57th Expedition Beyond the Walls (pt 1)\The Forest of Giant Trees\57th Expedition Beyond the Walls (pt 2)\Currently Disclosable Information\Extended scouting formation (pt 1) It was devised by Erwin Smith, the leader of the Recon Corps. Since its adoption, the survival rates during extramural operations have risen greatly.\Currently Disclosable Information response:	Extended scouting formation (pt 2) To put it simply, it's a human radar. By telling Commander Erwin, who's at the center of the formation, where the Titans are, it became possible to avoid danger by changing course.
context: Female Titan\57th Expedition Beyond the Walls (pt 1)\The Forest of Giant Trees\57th Expedition Beyond the Walls (pt 2)\Currently Disclosable Information\Extended scouting formation (pt 1) It was devised by Erwin Smith, the leader of the Recon Corps. Since its adoption, the survival rates during extramural operations have risen greatly.\Currently Disclosable Information\Extended scouting formation (pt 2) To put it simply, it's a human radar. By telling Commander Erwin, who's at the center of the formation, where the Titans are, it became possible to avoid danger by changing course. response:	3/3 - Communication
context: 57th Expedition Beyond the Walls (pt 1)\The Forest of Giant Trees\57th Expedition Beyond the Walls (pt 2)\Currently Disclosable Information\Extended scouting formation (pt 1) It was devised by Erwin Smith, the leader of the Recon Corps. Since its adoption, the survival rates during extramural operations have risen greatly.\Currently Disclosable Information\Extended scouting formation (pt 2) To put it simply, it's a human radar. By telling Commander Erwin, who's at the center of the formation, where the Titans are, it became possible to avoid danger by changing course.\3/3 - Communication response:	5/Center - Standby
context: The Forest of Giant Trees\57th Expedition Beyond the Walls (pt 2)\Currently Disclosable Information\Extended scouting formation (pt 1) It was devised by Erwin Smith, the leader of the Recon Corps. Since its adoption, the survival rates during extramural operations have risen greatly.\Currently Disclosable Information\Extended scouting formation (pt 2) To put it simply, it's a human radar. By telling Commander Erwin, who's at the center of the formation, where the Titans are, it became possible to avoid danger by changing course.\3/3 - Communication\5/Center - Standby response:	2/5 - Communication
context: 57th Expedition Beyond the Walls (pt 2)\Currently Disclosable Information\Extended scouting formation (pt 1) It was devised by Erwin Smith, the leader of the Recon Corps. Since its adoption, the survival rates during extramural operations have risen greatly.\Currently Disclosable Information\Extended scouting formation (pt 2) To put it simply, it's a human radar. By telling Commander Erwin, who's at the center of the formation, where the Titans are, it became possible to avoid danger by changing course.\3/3 - Communication\5/Center - Standby\2/5 - Communication response:	3/4 - Communication
context: Currently Disclosable Information\Extended scouting formation (pt 1) It was devised by Erwin Smith, the leader of the Recon Corps. Since its adoption, the survival rates during extramural operations have risen greatly.\Currently Disclosable Information\Extended scouting formation (pt 2) To put it simply, it's a human radar. By telling Commander Erwin, who's at the center of the formation, where the Titans are, it became possible to avoid danger by changing course.\3/3 - Communication\5/Center - Standby\2/5 - Communication\3/4 - Communication response:	2/4 - Communication
context: Extended scouting formation (pt 1) It was devised by Erwin Smith, the leader of the Recon Corps. Since its adoption, the survival rates during extramural operations have risen greatly.\Currently Disclosable Information\Extended scouting formation (pt 2) To put it simply, it's a human radar. By telling Commander Erwin, who's at the center of the formation, where the Titans are, it became possible to avoid danger by changing course.\3/3 - Communication\5/Center - Standby\2/5 - Communication\3/4 - Communication\2/4 - Communication response:	1/8 - Scout
context: Currently Disclosable Information\Extended scouting formation (pt 2) To put it simply, it's a human radar. By telling Commander Erwin, who's at the center of the formation, where the Titans are, it became possible to avoid danger by changing course.\3/3 - Communication\5/Center - Standby\2/5 - Communication\3/4 - Communication\2/4 - Communication\1/8 - Scout response:	2/Center - Command
context: Extended scouting formation (pt 2) To put it simply, it's a human radar. By telling Commander Erwin, who's at the center of the formation, where the Titans are, it became possible to avoid danger by changing course.\3/3 - Communication\5/Center - Standby\2/5 - Communication\3/4 - Communication\2/4 - Communication\1/8 - Scout\2/Center - Command response:	2/3 - Communication
context: 3/3 - Communication\5/Center - Standby\2/5 - Communication\3/4 - Communication\2/4 - Communication\1/8 - Scout\2/Center - Command\2/3 - Communication response:	O, my friend!
context: 5/Center - Standby\2/5 - Communication\3/4 - Communication\2/4 - Communication\1/8 - Scout\2/Center - Command\2/3 - Communication\O, my friend! response:	This is a victory for us!
context: 2/5 - Communication\3/4 - Communication\2/4 - Communication\1/8 - Scout\2/Center - Command\2/3 - Communication\O, my friend!\This is a victory for us! response:	Our fame starts here!
context: 3/4 - Communication\2/4 - Communication\1/8 - Scout\2/Center - Command\2/3 - Communication\O, my friend!\This is a victory for us!\Our fame starts here! response:	O, my friend!
context: 2/4 - Communication\1/8 - Scout\2/Center - Command\2/3 - Communication\O, my friend!\This is a victory for us!\Our fame starts here!\O, my friend! response:	Let us celebrate this victory for the next battle!
context: 1/8 - Scout\2/Center - Command\2/3 - Communication\O, my friend!\This is a victory for us!\Our fame starts here!\O, my friend!\Let us celebrate this victory for the next battle! response:	I died for naught I won't let it end like that for you
context: 2/Center - Command\2/3 - Communication\O, my friend!\This is a victory for us!\Our fame starts here!\O, my friend!\Let us celebrate this victory for the next battle!\I died for naught I won't let it end like that for you response:	until I am the last one standing
context: 2/3 - Communication\O, my friend!\This is a victory for us!\Our fame starts here!\O, my friend!\Let us celebrate this victory for the next battle!\I died for naught I won't let it end like that for you\until I am the last one standing response:	The enemy is cruel... We will kill
context: O, my friend!\This is a victory for us!\Our fame starts here!\O, my friend!\Let us celebrate this victory for the next battle!\I died for naught I won't let it end like that for you\until I am the last one standing\The enemy is cruel... We will kill response:	The enemy is colossal... We will jump
context: This is a victory for us!\Our fame starts here!\O, my friend!\Let us celebrate this victory for the next battle!\I died for naught I won't let it end like that for you\until I am the last one standing\The enemy is cruel... We will kill\The enemy is colossal... We will jump response:	In our hands we hold blades of glory
context: Our fame starts here!\O, my friend!\Let us celebrate this victory for the next battle!\I died for naught I won't let it end like that for you\until I am the last one standing\The enemy is cruel... We will kill\The enemy is colossal... We will jump\In our hands we hold blades of glory response:	and sing in the name of victory
context: O, my friend!\Let us celebrate this victory for the next battle!\I died for naught I won't let it end like that for you\until I am the last one standing\The enemy is cruel... We will kill\The enemy is colossal... We will jump\In our hands we hold blades of glory\and sing in the name of victory response:	We bear the wings of freedom on our backs
context: Let us celebrate this victory for the next battle!\I died for naught I won't let it end like that for you\until I am the last one standing\The enemy is cruel... We will kill\The enemy is colossal... We will jump\In our hands we hold blades of glory\and sing in the name of victory\We bear the wings of freedom on our backs response:	Swearing iron determination upon our hearts,
context: I died for naught I won't let it end like that for you\until I am the last one standing\The enemy is cruel... We will kill\The enemy is colossal... We will jump\In our hands we hold blades of glory\and sing in the name of victory\We bear the wings of freedom on our backs\Swearing iron determination upon our hearts, response:	we slash apart the circle of idiocy
context: until I am the last one standing\The enemy is cruel... We will kill\The enemy is colossal... We will jump\In our hands we hold blades of glory\and sing in the name of victory\We bear the wings of freedom on our backs\Swearing iron determination upon our hearts,\we slash apart the circle of idiocy response:	and soar through the sky
context: The enemy is cruel... We will kill\The enemy is colossal... We will jump\In our hands we hold blades of glory\and sing in the name of victory\We bear the wings of freedom on our backs\Swearing iron determination upon our hearts,\we slash apart the circle of idiocy\and soar through the sky response:	with our wings of freedom
context: The enemy is colossal... We will jump\In our hands we hold blades of glory\and sing in the name of victory\We bear the wings of freedom on our backs\Swearing iron determination upon our hearts,\we slash apart the circle of idiocy\and soar through the sky\with our wings of freedom response:	O mein Freund!
context: In our hands we hold blades of glory\and sing in the name of victory\We bear the wings of freedom on our backs\Swearing iron determination upon our hearts,\we slash apart the circle of idiocy\and soar through the sky\with our wings of freedom\O mein Freund! response:	Jetzt, hier ist ein Sieg
context: and sing in the name of victory\We bear the wings of freedom on our backs\Swearing iron determination upon our hearts,\we slash apart the circle of idiocy\and soar through the sky\with our wings of freedom\O mein Freund!\Jetzt, hier ist ein Sieg response:	Dies ist der erste Gloria
context: We bear the wings of freedom on our backs\Swearing iron determination upon our hearts,\we slash apart the circle of idiocy\and soar through the sky\with our wings of freedom\O mein Freund!\Jetzt, hier ist ein Sieg\Dies ist der erste Gloria response:	O mein Freund!
context: Swearing iron determination upon our hearts,\we slash apart the circle of idiocy\and soar through the sky\with our wings of freedom\O mein Freund!\Jetzt, hier ist ein Sieg\Dies ist der erste Gloria\O mein Freund! response:	Feiern wir diesen Sieg fur den nachsten Kampf
context: we slash apart the circle of idiocy\and soar through the sky\with our wings of freedom\O mein Freund!\Jetzt, hier ist ein Sieg\Dies ist der erste Gloria\O mein Freund!\Feiern wir diesen Sieg fur den nachsten Kampf response:	OUD...
context: and soar through the sky\with our wings of freedom\O mein Freund!\Jetzt, hier ist ein Sieg\Dies ist der erste Gloria\O mein Freund!\Feiern wir diesen Sieg fur den nachsten Kampf\OUD... response:	Der Feind ist grausam... Wir bringen...
context: with our wings of freedom\O mein Freund!\Jetzt, hier ist ein Sieg\Dies ist der erste Gloria\O mein Freund!\Feiern wir diesen Sieg fur den nachsten Kampf\OUD...\Der Feind ist grausam... Wir bringen... response:	Der Feind ist riesig... Wir springen...
context: O mein Freund!\Jetzt, hier ist ein Sieg\Dies ist der erste Gloria\O mein Freund!\Feiern wir diesen Sieg fur den nachsten Kampf\OUD...\Der Feind ist grausam... Wir bringen...\Der Feind ist riesig... Wir springen... response:	Gloria
context: Jetzt, hier ist ein Sieg\Dies ist der erste Gloria\O mein Freund!\Feiern wir diesen Sieg fur den nachsten Kampf\OUD...\Der Feind ist grausam... Wir bringen...\Der Feind ist riesig... Wir springen...\Gloria response:	O Sieg
context: Dies ist der erste Gloria\O mein Freund!\Feiern wir diesen Sieg fur den nachsten Kampf\OUD...\Der Feind ist grausam... Wir bringen...\Der Feind ist riesig... Wir springen...\Gloria\O Sieg response:	Flugel der Freiheit
context: O mein Freund!\Feiern wir diesen Sieg fur den nachsten Kampf\OUD...\Der Feind ist grausam... Wir bringen...\Der Feind ist riesig... Wir springen...\Gloria\O Sieg\Flugel der Freiheit response:	DO Ringe der Torheit
context: Feiern wir diesen Sieg fur den nachsten Kampf\OUD...\Der Feind ist grausam... Wir bringen...\Der Feind ist riesig... Wir springen...\Gloria\O Sieg\Flugel der Freiheit\DO Ringe der Torheit response:	Flugel der Freiheit
context: OUD...\Der Feind ist grausam... Wir bringen...\Der Feind ist riesig... Wir springen...\Gloria\O Sieg\Flugel der Freiheit\DO Ringe der Torheit\Flugel der Freiheit response:	tatoeba ore ga oreja naitoshite
context: Der Feind ist grausam... Wir bringen...\Der Feind ist riesig... Wir springen...\Gloria\O Sieg\Flugel der Freiheit\DO Ringe der Torheit\Flugel der Freiheit\tatoeba ore ga oreja naitoshite response:	omae wa omaedato iikirerunoka
context: Der Feind ist riesig... Wir springen...\Gloria\O Sieg\Flugel der Freiheit\DO Ringe der Torheit\Flugel der Freiheit\tatoeba ore ga oreja naitoshite\omae wa omaedato iikirerunoka response:	suna no utsuwa wo kowashite koboreta
context: Gloria\O Sieg\Flugel der Freiheit\DO Ringe der Torheit\Flugel der Freiheit\tatoeba ore ga oreja naitoshite\omae wa omaedato iikirerunoka\suna no utsuwa wo kowashite koboreta response:	kokoro wo hirotte atsumerareruka
context: O Sieg\Flugel der Freiheit\DO Ringe der Torheit\Flugel der Freiheit\tatoeba ore ga oreja naitoshite\omae wa omaedato iikirerunoka\suna no utsuwa wo kowashite koboreta\kokoro wo hirotte atsumerareruka response:	dareka no yobu koe ga
context: Flugel der Freiheit\DO Ringe der Torheit\Flugel der Freiheit\tatoeba ore ga oreja naitoshite\omae wa omaedato iikirerunoka\suna no utsuwa wo kowashite koboreta\kokoro wo hirotte atsumerareruka\dareka no yobu koe ga response:	miminari ni kawatta
context: DO Ringe der Torheit\Flugel der Freiheit\tatoeba ore ga oreja naitoshite\omae wa omaedato iikirerunoka\suna no utsuwa wo kowashite koboreta\kokoro wo hirotte atsumerareruka\dareka no yobu koe ga\miminari ni kawatta response:	toki ga tomatta mitaida
context: Flugel der Freiheit\tatoeba ore ga oreja naitoshite\omae wa omaedato iikirerunoka\suna no utsuwa wo kowashite koboreta\kokoro wo hirotte atsumerareruka\dareka no yobu koe ga\miminari ni kawatta\toki ga tomatta mitaida response:	saa me wo samase
context: tatoeba ore ga oreja naitoshite\omae wa omaedato iikirerunoka\suna no utsuwa wo kowashite koboreta\kokoro wo hirotte atsumerareruka\dareka no yobu koe ga\miminari ni kawatta\toki ga tomatta mitaida\saa me wo samase response:	fukai yami wo ore wa arukidashita
context: omae wa omaedato iikirerunoka\suna no utsuwa wo kowashite koboreta\kokoro wo hirotte atsumerareruka\dareka no yobu koe ga\miminari ni kawatta\toki ga tomatta mitaida\saa me wo samase\fukai yami wo ore wa arukidashita response:	hayate mitai ni nigedashita
context: suna no utsuwa wo kowashite koboreta\kokoro wo hirotte atsumerareruka\dareka no yobu koe ga\miminari ni kawatta\toki ga tomatta mitaida\saa me wo samase\fukai yami wo ore wa arukidashita\hayate mitai ni nigedashita response:	ikita shikabane mitaidatta
context: kokoro wo hirotte atsumerareruka\dareka no yobu koe ga\miminari ni kawatta\toki ga tomatta mitaida\saa me wo samase\fukai yami wo ore wa arukidashita\hayate mitai ni nigedashita\ikita shikabane mitaidatta response:	oretachi wa kabe no soto e
context: dareka no yobu koe ga\miminari ni kawatta\toki ga tomatta mitaida\saa me wo samase\fukai yami wo ore wa arukidashita\hayate mitai ni nigedashita\ikita shikabane mitaidatta\oretachi wa kabe no soto e response:	mata aouze chizu ni nai bashode
context: miminari ni kawatta\toki ga tomatta mitaida\saa me wo samase\fukai yami wo ore wa arukidashita\hayate mitai ni nigedashita\ikita shikabane mitaidatta\oretachi wa kabe no soto e\mata aouze chizu ni nai bashode response:	If we suppose that I am not me,
context: toki ga tomatta mitaida\saa me wo samase\fukai yami wo ore wa arukidashita\hayate mitai ni nigedashita\ikita shikabane mitaidatta\oretachi wa kabe no soto e\mata aouze chizu ni nai bashode\If we suppose that I am not me, response:	Can you say with certainty that you are you?
context: saa me wo samase\fukai yami wo ore wa arukidashita\hayate mitai ni nigedashita\ikita shikabane mitaidatta\oretachi wa kabe no soto e\mata aouze chizu ni nai bashode\If we suppose that I am not me,\Can you say with certainty that you are you? response:	Will you be able to pick up after yourself
context: fukai yami wo ore wa arukidashita\hayate mitai ni nigedashita\ikita shikabane mitaidatta\oretachi wa kabe no soto e\mata aouze chizu ni nai bashode\If we suppose that I am not me,\Can you say with certainty that you are you?\Will you be able to pick up after yourself response:	Once your sand-like shell breaks and your heart crumbles?
context: hayate mitai ni nigedashita\ikita shikabane mitaidatta\oretachi wa kabe no soto e\mata aouze chizu ni nai bashode\If we suppose that I am not me,\Can you say with certainty that you are you?\Will you be able to pick up after yourself\Once your sand-like shell breaks and your heart crumbles? response:	I could hear someone calling
context: ikita shikabane mitaidatta\oretachi wa kabe no soto e\mata aouze chizu ni nai bashode\If we suppose that I am not me,\Can you say with certainty that you are you?\Will you be able to pick up after yourself\Once your sand-like shell breaks and your heart crumbles?\I could hear someone calling response:	But now my ears are just ringing
context: oretachi wa kabe no soto e\mata aouze chizu ni nai bashode\If we suppose that I am not me,\Can you say with certainty that you are you?\Will you be able to pick up after yourself\Once your sand-like shell breaks and your heart crumbles?\I could hear someone calling\But now my ears are just ringing response:	It's as if time has frozen
context: mata aouze chizu ni nai bashode\If we suppose that I am not me,\Can you say with certainty that you are you?\Will you be able to pick up after yourself\Once your sand-like shell breaks and your heart crumbles?\I could hear someone calling\But now my ears are just ringing\It's as if time has frozen response:	Now, wake up
context: If we suppose that I am not me,\Can you say with certainty that you are you?\Will you be able to pick up after yourself\Once your sand-like shell breaks and your heart crumbles?\I could hear someone calling\But now my ears are just ringing\It's as if time has frozen\Now, wake up response:	I began to walk through a deep dark abyss
context: Can you say with certainty that you are you?\Will you be able to pick up after yourself\Once your sand-like shell breaks and your heart crumbles?\I could hear someone calling\But now my ears are just ringing\It's as if time has frozen\Now, wake up\I began to walk through a deep dark abyss response:	As swift as a gale, I escaped for my life
context: Will you be able to pick up after yourself\Once your sand-like shell breaks and your heart crumbles?\I could hear someone calling\But now my ears are just ringing\It's as if time has frozen\Now, wake up\I began to walk through a deep dark abyss\As swift as a gale, I escaped for my life response:	I felt like a living corpse
context: Once your sand-like shell breaks and your heart crumbles?\I could hear someone calling\But now my ears are just ringing\It's as if time has frozen\Now, wake up\I began to walk through a deep dark abyss\As swift as a gale, I escaped for my life\I felt like a living corpse response:	We break out of our walls
context: I could hear someone calling\But now my ears are just ringing\It's as if time has frozen\Now, wake up\I began to walk through a deep dark abyss\As swift as a gale, I escaped for my life\I felt like a living corpse\We break out of our walls response:	To reunite in worlds we've yet to map
