context: I'm sorry about the other day. response:	No problem!
context: A Ferris wheel disguises its instability\as it keeps slowly turning around and around.\It never moves forward,\but just keeps spinning in the same spot forever.\But still, eventually...\It's almost over.\What should we do now?\Aren't we going home? response:	I don't mean that.
context: as it keeps slowly turning around and around.\It never moves forward,\but just keeps spinning in the same spot forever.\But still, eventually...\It's almost over.\What should we do now?\Aren't we going home?\I don't mean that. response:	About Yukinon,
context: It never moves forward,\but just keeps spinning in the same spot forever.\But still, eventually...\It's almost over.\What should we do now?\Aren't we going home?\I don't mean that.\About Yukinon, response:	and about me.
context: but just keeps spinning in the same spot forever.\But still, eventually...\It's almost over.\What should we do now?\Aren't we going home?\I don't mean that.\About Yukinon,\and about me. response:	About us.
context: But still, eventually...\It's almost over.\What should we do now?\Aren't we going home?\I don't mean that.\About Yukinon,\and about me.\About us. response:	What do you mean by that?
context: It's almost over.\What should we do now?\Aren't we going home?\I don't mean that.\About Yukinon,\and about me.\About us.\What do you mean by that? response:	Hikki...
context: What should we do now?\Aren't we going home?\I don't mean that.\About Yukinon,\and about me.\About us.\What do you mean by that?\Hikki... response:	Here.
context: Aren't we going home?\I don't mean that.\About Yukinon,\and about me.\About us.\What do you mean by that?\Hikki...\Here. response:	To thank you for that one time.
context: I don't mean that.\About Yukinon,\and about me.\About us.\What do you mean by that?\Hikki...\Here.\To thank you for that one time. response:	Remember when I asked for your help?
context: About Yukinon,\and about me.\About us.\What do you mean by that?\Hikki...\Here.\To thank you for that one time.\Remember when I asked for your help? response:	Handmade cookies...
context: and about me.\About us.\What do you mean by that?\Hikki...\Here.\To thank you for that one time.\Remember when I asked for your help?\Handmade cookies... response:	You made them on your own?
context: About us.\What do you mean by that?\Hikki...\Here.\To thank you for that one time.\Remember when I asked for your help?\Handmade cookies...\You made them on your own? response:	I screwed up a little, though.
context: What do you mean by that?\Hikki...\Here.\To thank you for that one time.\Remember when I asked for your help?\Handmade cookies...\You made them on your own?\I screwed up a little, though. response:	Yuigahama-san, you are amazing.
context: Hikki...\Here.\To thank you for that one time.\Remember when I asked for your help?\Handmade cookies...\You made them on your own?\I screwed up a little, though.\Yuigahama-san, you are amazing. response:	I said that I'd try it on my own,
context: Here.\To thank you for that one time.\Remember when I asked for your help?\Handmade cookies...\You made them on your own?\I screwed up a little, though.\Yuigahama-san, you are amazing.\I said that I'd try it on my own, response:	that I'd try to say it in my own way.
context: To thank you for that one time.\Remember when I asked for your help?\Handmade cookies...\You made them on your own?\I screwed up a little, though.\Yuigahama-san, you are amazing.\I said that I'd try it on my own,\that I'd try to say it in my own way. response:	And this is what I came up with.
context: Remember when I asked for your help?\Handmade cookies...\You made them on your own?\I screwed up a little, though.\Yuigahama-san, you are amazing.\I said that I'd try it on my own,\that I'd try to say it in my own way.\And this is what I came up with. response:	So...
context: Handmade cookies...\You made them on your own?\I screwed up a little, though.\Yuigahama-san, you are amazing.\I said that I'd try it on my own,\that I'd try to say it in my own way.\And this is what I came up with.\So... response:	It's just to thank you.
context: You made them on your own?\I screwed up a little, though.\Yuigahama-san, you are amazing.\I said that I'd try it on my own,\that I'd try to say it in my own way.\And this is what I came up with.\So...\It's just to thank you. response:	You already thanked me.
context: I screwed up a little, though.\Yuigahama-san, you are amazing.\I said that I'd try it on my own,\that I'd try to say it in my own way.\And this is what I came up with.\So...\It's just to thank you.\You already thanked me. response:	Still...
context: Yuigahama-san, you are amazing.\I said that I'd try it on my own,\that I'd try to say it in my own way.\And this is what I came up with.\So...\It's just to thank you.\You already thanked me.\Still... response:	It's just to thank you.
context: I said that I'd try it on my own,\that I'd try to say it in my own way.\And this is what I came up with.\So...\It's just to thank you.\You already thanked me.\Still...\It's just to thank you. response:	I want everything.
context: that I'd try to say it in my own way.\And this is what I came up with.\So...\It's just to thank you.\You already thanked me.\Still...\It's just to thank you.\I want everything. response:	Now, and from now on...
context: And this is what I came up with.\So...\It's just to thank you.\You already thanked me.\Still...\It's just to thank you.\I want everything.\Now, and from now on... response:	I'm unfair. I'm a mean person.
context: So...\It's just to thank you.\You already thanked me.\Still...\It's just to thank you.\I want everything.\Now, and from now on...\I'm unfair. I'm a mean person. response:	I've made up my mind.
context: It's just to thank you.\You already thanked me.\Still...\It's just to thank you.\I want everything.\Now, and from now on...\I'm unfair. I'm a mean person.\I've made up my mind. response:	I see...
context: You already thanked me.\Still...\It's just to thank you.\I want everything.\Now, and from now on...\I'm unfair. I'm a mean person.\I've made up my mind.\I see... response:	If we each find out how the other feels,
context: Still...\It's just to thank you.\I want everything.\Now, and from now on...\I'm unfair. I'm a mean person.\I've made up my mind.\I see...\If we each find out how the other feels, response:	I don't think we'll be able to stay the way we are.
context: It's just to thank you.\I want everything.\Now, and from now on...\I'm unfair. I'm a mean person.\I've made up my mind.\I see...\If we each find out how the other feels,\I don't think we'll be able to stay the way we are. response:	So this will be the last help we give.
context: I want everything.\Now, and from now on...\I'm unfair. I'm a mean person.\I've made up my mind.\I see...\If we each find out how the other feels,\I don't think we'll be able to stay the way we are.\So this will be the last help we give. response:	The last request I have for us
context: Now, and from now on...\I'm unfair. I'm a mean person.\I've made up my mind.\I see...\If we each find out how the other feels,\I don't think we'll be able to stay the way we are.\So this will be the last help we give.\The last request I have for us response:	is about us.
context: I'm unfair. I'm a mean person.\I've made up my mind.\I see...\If we each find out how the other feels,\I don't think we'll be able to stay the way we are.\So this will be the last help we give.\The last request I have for us\is about us. response:	Hey, Yukinon, that contest we were having is still on, right?
context: I've made up my mind.\I see...\If we each find out how the other feels,\I don't think we'll be able to stay the way we are.\So this will be the last help we give.\The last request I have for us\is about us.\Hey, Yukinon, that contest we were having is still on, right? response:	Yes. The losers have to do whatever the winner says.
context: I see...\If we each find out how the other feels,\I don't think we'll be able to stay the way we are.\So this will be the last help we give.\The last request I have for us\is about us.\Hey, Yukinon, that contest we were having is still on, right?\Yes. The losers have to do whatever the winner says. response:	I know the answer to your problem, Yukinon.
context: If we each find out how the other feels,\I don't think we'll be able to stay the way we are.\So this will be the last help we give.\The last request I have for us\is about us.\Hey, Yukinon, that contest we were having is still on, right?\Yes. The losers have to do whatever the winner says.\I know the answer to your problem, Yukinon. response:	I think it's probably the answer for all of us.
context: I don't think we'll be able to stay the way we are.\So this will be the last help we give.\The last request I have for us\is about us.\Hey, Yukinon, that contest we were having is still on, right?\Yes. The losers have to do whatever the winner says.\I know the answer to your problem, Yukinon.\I think it's probably the answer for all of us. response:	So...
context: So this will be the last help we give.\The last request I have for us\is about us.\Hey, Yukinon, that contest we were having is still on, right?\Yes. The losers have to do whatever the winner says.\I know the answer to your problem, Yukinon.\I think it's probably the answer for all of us.\So... response:	If I win, I'll take everything.
context: The last request I have for us\is about us.\Hey, Yukinon, that contest we were having is still on, right?\Yes. The losers have to do whatever the winner says.\I know the answer to your problem, Yukinon.\I think it's probably the answer for all of us.\So...\If I win, I'll take everything. response:	She didn't say any one specific thing.
context: is about us.\Hey, Yukinon, that contest we were having is still on, right?\Yes. The losers have to do whatever the winner says.\I know the answer to your problem, Yukinon.\I think it's probably the answer for all of us.\So...\If I win, I'll take everything.\She didn't say any one specific thing. response:	If she said it out loud, that would set in in stone.
context: Hey, Yukinon, that contest we were having is still on, right?\Yes. The losers have to do whatever the winner says.\I know the answer to your problem, Yukinon.\I think it's probably the answer for all of us.\So...\If I win, I'll take everything.\She didn't say any one specific thing.\If she said it out loud, that would set in in stone. response:	She's been avoiding that.
context: Yes. The losers have to do whatever the winner says.\I know the answer to your problem, Yukinon.\I think it's probably the answer for all of us.\So...\If I win, I'll take everything.\She didn't say any one specific thing.\If she said it out loud, that would set in in stone.\She's been avoiding that. response:	I know it's unfair...
context: I know the answer to your problem, Yukinon.\I think it's probably the answer for all of us.\So...\If I win, I'll take everything.\She didn't say any one specific thing.\If she said it out loud, that would set in in stone.\She's been avoiding that.\I know it's unfair... response:	But it's the only way I can think of.
context: I think it's probably the answer for all of us.\So...\If I win, I'll take everything.\She didn't say any one specific thing.\If she said it out loud, that would set in in stone.\She's been avoiding that.\I know it's unfair...\But it's the only way I can think of. response:	I want things to stay this way forever.
context: So...\If I win, I'll take everything.\She didn't say any one specific thing.\If she said it out loud, that would set in in stone.\She's been avoiding that.\I know it's unfair...\But it's the only way I can think of.\I want things to stay this way forever. response:	What do you think?
context: If I win, I'll take everything.\She didn't say any one specific thing.\If she said it out loud, that would set in in stone.\She's been avoiding that.\I know it's unfair...\But it's the only way I can think of.\I want things to stay this way forever.\What do you think? response:	Yuigahama is, most likely, not wrong.
context: She didn't say any one specific thing.\If she said it out loud, that would set in in stone.\She's been avoiding that.\I know it's unfair...\But it's the only way I can think of.\I want things to stay this way forever.\What do you think?\Yuigahama is, most likely, not wrong. response:	I have a feeling
context: If she said it out loud, that would set in in stone.\She's been avoiding that.\I know it's unfair...\But it's the only way I can think of.\I want things to stay this way forever.\What do you think?\Yuigahama is, most likely, not wrong.\I have a feeling response:	she's the only one who has seen the right answer all this time.
context: She's been avoiding that.\I know it's unfair...\But it's the only way I can think of.\I want things to stay this way forever.\What do you think?\Yuigahama is, most likely, not wrong.\I have a feeling\she's the only one who has seen the right answer all this time. response:	Surely it would be easier to just accept it.
context: I know it's unfair...\But it's the only way I can think of.\I want things to stay this way forever.\What do you think?\Yuigahama is, most likely, not wrong.\I have a feeling\she's the only one who has seen the right answer all this time.\Surely it would be easier to just accept it. response:	But...
context: But it's the only way I can think of.\I want things to stay this way forever.\What do you think?\Yuigahama is, most likely, not wrong.\I have a feeling\she's the only one who has seen the right answer all this time.\Surely it would be easier to just accept it.\But... response:	Yukinon...
context: I want things to stay this way forever.\What do you think?\Yuigahama is, most likely, not wrong.\I have a feeling\she's the only one who has seen the right answer all this time.\Surely it would be easier to just accept it.\But...\Yukinon... response:	Is that okay?
context: What do you think?\Yuigahama is, most likely, not wrong.\I have a feeling\she's the only one who has seen the right answer all this time.\Surely it would be easier to just accept it.\But...\Yukinon...\Is that okay? response:	Yes, this is wrong.
context: Yuigahama is, most likely, not wrong.\I have a feeling\she's the only one who has seen the right answer all this time.\Surely it would be easier to just accept it.\But...\Yukinon...\Is that okay?\Yes, this is wrong. response:	She's wrong.
context: I have a feeling\she's the only one who has seen the right answer all this time.\Surely it would be easier to just accept it.\But...\Yukinon...\Is that okay?\Yes, this is wrong.\She's wrong. response:	Yukinoshita can't entrust her future to someone else.
context: she's the only one who has seen the right answer all this time.\Surely it would be easier to just accept it.\But...\Yukinon...\Is that okay?\Yes, this is wrong.\She's wrong.\Yukinoshita can't entrust her future to someone else. response:	There's no way that can be right.
context: Surely it would be easier to just accept it.\But...\Yukinon...\Is that okay?\Yes, this is wrong.\She's wrong.\Yukinoshita can't entrust her future to someone else.\There's no way that can be right. response:	wouldn't mind tha
context: But...\Yukinon...\Is that okay?\Yes, this is wrong.\She's wrong.\Yukinoshita can't entrust her future to someone else.\There's no way that can be right.\wouldn't mind tha response:	No.
context: Yukinon...\Is that okay?\Yes, this is wrong.\She's wrong.\Yukinoshita can't entrust her future to someone else.\There's no way that can be right.\wouldn't mind tha\No. response:	I can't go along with that.
context: Is that okay?\Yes, this is wrong.\She's wrong.\Yukinoshita can't entrust her future to someone else.\There's no way that can be right.\wouldn't mind tha\No.\I can't go along with that. response:	Yukinoshita should solve her own problem herself.
context: Yes, this is wrong.\She's wrong.\Yukinoshita can't entrust her future to someone else.\There's no way that can be right.\wouldn't mind tha\No.\I can't go along with that.\Yukinoshita should solve her own problem herself. response:	Yuigahama Yui is a nice girl.
context: She's wrong.\Yukinoshita can't entrust her future to someone else.\There's no way that can be right.\wouldn't mind tha\No.\I can't go along with that.\Yukinoshita should solve her own problem herself.\Yuigahama Yui is a nice girl. response:	I had decided that for myself.
context: Yukinoshita can't entrust her future to someone else.\There's no way that can be right.\wouldn't mind tha\No.\I can't go along with that.\Yukinoshita should solve her own problem herself.\Yuigahama Yui is a nice girl.\I had decided that for myself. response:	Yukinoshita Yukino is a strong girl.
context: There's no way that can be right.\wouldn't mind tha\No.\I can't go along with that.\Yukinoshita should solve her own problem herself.\Yuigahama Yui is a nice girl.\I had decided that for myself.\Yukinoshita Yukino is a strong girl. response:	That's the ideal I had forced onto you.
context: wouldn't mind tha\No.\I can't go along with that.\Yukinoshita should solve her own problem herself.\Yuigahama Yui is a nice girl.\I had decided that for myself.\Yukinoshita Yukino is a strong girl.\That's the ideal I had forced onto you. response:	And that's nothing but...
context: No.\I can't go along with that.\Yukinoshita should solve her own problem herself.\Yuigahama Yui is a nice girl.\I had decided that for myself.\Yukinoshita Yukino is a strong girl.\That's the ideal I had forced onto you.\And that's nothing but... response:	a deception.
context: I can't go along with that.\Yukinoshita should solve her own problem herself.\Yuigahama Yui is a nice girl.\I had decided that for myself.\Yukinoshita Yukino is a strong girl.\That's the ideal I had forced onto you.\And that's nothing but...\a deception. response:	Vague answers and mutual back-scratching...
context: Yukinoshita should solve her own problem herself.\Yuigahama Yui is a nice girl.\I had decided that for myself.\Yukinoshita Yukino is a strong girl.\That's the ideal I had forced onto you.\And that's nothing but...\a deception.\Vague answers and mutual back-scratching... response:	I don't need any of that.
context: Yuigahama Yui is a nice girl.\I had decided that for myself.\Yukinoshita Yukino is a strong girl.\That's the ideal I had forced onto you.\And that's nothing but...\a deception.\Vague answers and mutual back-scratching...\I don't need any of that. response:	I know I'm an idiot.
context: I had decided that for myself.\Yukinoshita Yukino is a strong girl.\That's the ideal I had forced onto you.\And that's nothing but...\a deception.\Vague answers and mutual back-scratching...\I don't need any of that.\I know I'm an idiot. response:	I know there's no such thing.
context: Yukinoshita Yukino is a strong girl.\That's the ideal I had forced onto you.\And that's nothing but...\a deception.\Vague answers and mutual back-scratching...\I don't need any of that.\I know I'm an idiot.\I know there's no such thing. response:	I know that if I try to pursue it, I won't gain anything.
context: That's the ideal I had forced onto you.\And that's nothing but...\a deception.\Vague answers and mutual back-scratching...\I don't need any of that.\I know I'm an idiot.\I know there's no such thing.\I know that if I try to pursue it, I won't gain anything. response:	But still, by thinking, agonizing, struggling...
context: And that's nothing but...\a deception.\Vague answers and mutual back-scratching...\I don't need any of that.\I know I'm an idiot.\I know there's no such thing.\I know that if I try to pursue it, I won't gain anything.\But still, by thinking, agonizing, struggling... response:	I thought you'd say that, Hikki.
context: a deception.\Vague answers and mutual back-scratching...\I don't need any of that.\I know I'm an idiot.\I know there's no such thing.\I know that if I try to pursue it, I won't gain anything.\But still, by thinking, agonizing, struggling...\I thought you'd say that, Hikki. response:	Don't decide how I feel for me.
context: Vague answers and mutual back-scratching...\I don't need any of that.\I know I'm an idiot.\I know there's no such thing.\I know that if I try to pursue it, I won't gain anything.\But still, by thinking, agonizing, struggling...\I thought you'd say that, Hikki.\Don't decide how I feel for me. response:	And this isn't the last.
context: I don't need any of that.\I know I'm an idiot.\I know there's no such thing.\I know that if I try to pursue it, I won't gain anything.\But still, by thinking, agonizing, struggling...\I thought you'd say that, Hikki.\Don't decide how I feel for me.\And this isn't the last. response:	Hikigaya-kun...
context: I know I'm an idiot.\I know there's no such thing.\I know that if I try to pursue it, I won't gain anything.\But still, by thinking, agonizing, struggling...\I thought you'd say that, Hikki.\Don't decide how I feel for me.\And this isn't the last.\Hikigaya-kun... response:	We still have your request.
context: I know there's no such thing.\I know that if I try to pursue it, I won't gain anything.\But still, by thinking, agonizing, struggling...\I thought you'd say that, Hikki.\Don't decide how I feel for me.\And this isn't the last.\Hikigaya-kun...\We still have your request. response:	It's okay to be wrong.
context: I know that if I try to pursue it, I won't gain anything.\But still, by thinking, agonizing, struggling...\I thought you'd say that, Hikki.\Don't decide how I feel for me.\And this isn't the last.\Hikigaya-kun...\We still have your request.\It's okay to be wrong. response:	When we are, we'll just ask again, and keep on asking.
context: But still, by thinking, agonizing, struggling...\I thought you'd say that, Hikki.\Don't decide how I feel for me.\And this isn't the last.\Hikigaya-kun...\We still have your request.\It's okay to be wrong.\When we are, we'll just ask again, and keep on asking. response:	And one more thing...
context: I thought you'd say that, Hikki.\Don't decide how I feel for me.\And this isn't the last.\Hikigaya-kun...\We still have your request.\It's okay to be wrong.\When we are, we'll just ask again, and keep on asking.\And one more thing... response:	Would you listen to my request?
context: Don't decide how I feel for me.\And this isn't the last.\Hikigaya-kun...\We still have your request.\It's okay to be wrong.\When we are, we'll just ask again, and keep on asking.\And one more thing...\Would you listen to my request? response:	Spring, Bound Beneath the Thick Snow, Begins to Sprout.
context: And this isn't the last.\Hikigaya-kun...\We still have your request.\It's okay to be wrong.\When we are, we'll just ask again, and keep on asking.\And one more thing...\Would you listen to my request?\Spring, Bound Beneath the Thick Snow, Begins to Sprout. response:	Okay. Let's hear it.
