context: Is it possible to have a happy marriage to a human woman? response:	I certainly don't believe so.
context: You missed another thing on your paperwork.\You've been screwing up all the time since last week.\Sorry...\You've been kind of weird lately.\Are you not feeling well?\No, that's not it...\Want to get some fresh air, Miyako?\Can I take him on patrol? response:	Oh, I guess it's that time.
context: You've been screwing up all the time since last week.\Sorry...\You've been kind of weird lately.\Are you not feeling well?\No, that's not it...\Want to get some fresh air, Miyako?\Can I take him on patrol?\Oh, I guess it's that time. response:	In this state, he's just getting in the way, I guess.
context: Sorry...\You've been kind of weird lately.\Are you not feeling well?\No, that's not it...\Want to get some fresh air, Miyako?\Can I take him on patrol?\Oh, I guess it's that time.\In this state, he's just getting in the way, I guess. response:	Okay, let's go.
context: You've been kind of weird lately.\Are you not feeling well?\No, that's not it...\Want to get some fresh air, Miyako?\Can I take him on patrol?\Oh, I guess it's that time.\In this state, he's just getting in the way, I guess.\Okay, let's go. response:	Right.
context: Are you not feeling well?\No, that's not it...\Want to get some fresh air, Miyako?\Can I take him on patrol?\Oh, I guess it's that time.\In this state, he's just getting in the way, I guess.\Okay, let's go.\Right. response:	Those two are hiding something...
context: No, that's not it...\Want to get some fresh air, Miyako?\Can I take him on patrol?\Oh, I guess it's that time.\In this state, he's just getting in the way, I guess.\Okay, let's go.\Right.\Those two are hiding something... response:	Umeya
context: Want to get some fresh air, Miyako?\Can I take him on patrol?\Oh, I guess it's that time.\In this state, he's just getting in the way, I guess.\Okay, let's go.\Right.\Those two are hiding something...\Umeya response:	I didn't see Kohaku yesterday, either.
context: Can I take him on patrol?\Oh, I guess it's that time.\In this state, he's just getting in the way, I guess.\Okay, let's go.\Right.\Those two are hiding something...\Umeya\I didn't see Kohaku yesterday, either. response:	I don't know where he is...
context: Oh, I guess it's that time.\In this state, he's just getting in the way, I guess.\Okay, let's go.\Right.\Those two are hiding something...\Umeya\I didn't see Kohaku yesterday, either.\I don't know where he is... response:	Don't worry. I've waited 17 years.
context: In this state, he's just getting in the way, I guess.\Okay, let's go.\Right.\Those two are hiding something...\Umeya\I didn't see Kohaku yesterday, either.\I don't know where he is...\Don't worry. I've waited 17 years. response:	I'm in no hurry.
context: Okay, let's go.\Right.\Those two are hiding something...\Umeya\I didn't see Kohaku yesterday, either.\I don't know where he is...\Don't worry. I've waited 17 years.\I'm in no hurry. response:	What is it?
context: Right.\Those two are hiding something...\Umeya\I didn't see Kohaku yesterday, either.\I don't know where he is...\Don't worry. I've waited 17 years.\I'm in no hurry.\What is it? response:	Um... I think we should tell Theo-san.
context: Those two are hiding something...\Umeya\I didn't see Kohaku yesterday, either.\I don't know where he is...\Don't worry. I've waited 17 years.\I'm in no hurry.\What is it?\Um... I think we should tell Theo-san. response:	I'm sorry.
context: Umeya\I didn't see Kohaku yesterday, either.\I don't know where he is...\Don't worry. I've waited 17 years.\I'm in no hurry.\What is it?\Um... I think we should tell Theo-san.\I'm sorry. response:	This whole thing is just me being selfish.
context: I didn't see Kohaku yesterday, either.\I don't know where he is...\Don't worry. I've waited 17 years.\I'm in no hurry.\What is it?\Um... I think we should tell Theo-san.\I'm sorry.\This whole thing is just me being selfish. response:	I apologize for getting you involved.
context: I don't know where he is...\Don't worry. I've waited 17 years.\I'm in no hurry.\What is it?\Um... I think we should tell Theo-san.\I'm sorry.\This whole thing is just me being selfish.\I apologize for getting you involved. response:	But I want to keep that at a minimum.
context: Don't worry. I've waited 17 years.\I'm in no hurry.\What is it?\Um... I think we should tell Theo-san.\I'm sorry.\This whole thing is just me being selfish.\I apologize for getting you involved.\But I want to keep that at a minimum. response:	But...
context: I'm in no hurry.\What is it?\Um... I think we should tell Theo-san.\I'm sorry.\This whole thing is just me being selfish.\I apologize for getting you involved.\But I want to keep that at a minimum.\But... response:	Don't worry. There's nothing to worry about.
context: What is it?\Um... I think we should tell Theo-san.\I'm sorry.\This whole thing is just me being selfish.\I apologize for getting you involved.\But I want to keep that at a minimum.\But...\Don't worry. There's nothing to worry about. response:	Hozuki City's 48th Awa Dance 7/24-25 Kagurazaka Festival 7/26-27
context: Um... I think we should tell Theo-san.\I'm sorry.\This whole thing is just me being selfish.\I apologize for getting you involved.\But I want to keep that at a minimum.\But...\Don't worry. There's nothing to worry about.\Hozuki City's 48th Awa Dance 7/24-25 Kagurazaka Festival 7/26-27 response:	July 24th
context: I'm sorry.\This whole thing is just me being selfish.\I apologize for getting you involved.\But I want to keep that at a minimum.\But...\Don't worry. There's nothing to worry about.\Hozuki City's 48th Awa Dance 7/24-25 Kagurazaka Festival 7/26-27\July 24th response:	Hey, sorry I'm late.
context: This whole thing is just me being selfish.\I apologize for getting you involved.\But I want to keep that at a minimum.\But...\Don't worry. There's nothing to worry about.\Hozuki City's 48th Awa Dance 7/24-25 Kagurazaka Festival 7/26-27\July 24th\Hey, sorry I'm late. response:	No, I just got here.
context: I apologize for getting you involved.\But I want to keep that at a minimum.\But...\Don't worry. There's nothing to worry about.\Hozuki City's 48th Awa Dance 7/24-25 Kagurazaka Festival 7/26-27\July 24th\Hey, sorry I'm late.\No, I just got here. response:	What's wrong?
context: But I want to keep that at a minimum.\But...\Don't worry. There's nothing to worry about.\Hozuki City's 48th Awa Dance 7/24-25 Kagurazaka Festival 7/26-27\July 24th\Hey, sorry I'm late.\No, I just got here.\What's wrong? response:	We just sounded like we were from some old manga.
context: But...\Don't worry. There's nothing to worry about.\Hozuki City's 48th Awa Dance 7/24-25 Kagurazaka Festival 7/26-27\July 24th\Hey, sorry I'm late.\No, I just got here.\What's wrong?\We just sounded like we were from some old manga. response:	I never thought I'd actually say that stuff.
context: Don't worry. There's nothing to worry about.\Hozuki City's 48th Awa Dance 7/24-25 Kagurazaka Festival 7/26-27\July 24th\Hey, sorry I'm late.\No, I just got here.\What's wrong?\We just sounded like we were from some old manga.\I never thought I'd actually say that stuff. response:	Yeah.
context: Hozuki City's 48th Awa Dance 7/24-25 Kagurazaka Festival 7/26-27\July 24th\Hey, sorry I'm late.\No, I just got here.\What's wrong?\We just sounded like we were from some old manga.\I never thought I'd actually say that stuff.\Yeah. response:	I guess it does feel a little unlike us.
context: July 24th\Hey, sorry I'm late.\No, I just got here.\What's wrong?\We just sounded like we were from some old manga.\I never thought I'd actually say that stuff.\Yeah.\I guess it does feel a little unlike us. response:	Yeah, I agree.
context: Hey, sorry I'm late.\No, I just got here.\What's wrong?\We just sounded like we were from some old manga.\I never thought I'd actually say that stuff.\Yeah.\I guess it does feel a little unlike us.\Yeah, I agree. response:	Do you have time before work?
context: No, I just got here.\What's wrong?\We just sounded like we were from some old manga.\I never thought I'd actually say that stuff.\Yeah.\I guess it does feel a little unlike us.\Yeah, I agree.\Do you have time before work? response:	If I leave at 6:30, I'll make it in time.
context: What's wrong?\We just sounded like we were from some old manga.\I never thought I'd actually say that stuff.\Yeah.\I guess it does feel a little unlike us.\Yeah, I agree.\Do you have time before work?\If I leave at 6:30, I'll make it in time. response:	I'm fine.
context: We just sounded like we were from some old manga.\I never thought I'd actually say that stuff.\Yeah.\I guess it does feel a little unlike us.\Yeah, I agree.\Do you have time before work?\If I leave at 6:30, I'll make it in time.\I'm fine. response:	I'm thirsty.
context: I never thought I'd actually say that stuff.\Yeah.\I guess it does feel a little unlike us.\Yeah, I agree.\Do you have time before work?\If I leave at 6:30, I'll make it in time.\I'm fine.\I'm thirsty. response:	What do you want?
context: Yeah.\I guess it does feel a little unlike us.\Yeah, I agree.\Do you have time before work?\If I leave at 6:30, I'll make it in time.\I'm fine.\I'm thirsty.\What do you want? response:	Something that's not carbonated.
context: I guess it does feel a little unlike us.\Yeah, I agree.\Do you have time before work?\If I leave at 6:30, I'll make it in time.\I'm fine.\I'm thirsty.\What do you want?\Something that's not carbonated. response:	Got it.
context: Yeah, I agree.\Do you have time before work?\If I leave at 6:30, I'll make it in time.\I'm fine.\I'm thirsty.\What do you want?\Something that's not carbonated.\Got it. response:	Thanks!
context: Do you have time before work?\If I leave at 6:30, I'll make it in time.\I'm fine.\I'm thirsty.\What do you want?\Something that's not carbonated.\Got it.\Thanks! response:	Izumi!
context: If I leave at 6:30, I'll make it in time.\I'm fine.\I'm thirsty.\What do you want?\Something that's not carbonated.\Got it.\Thanks!\Izumi! response:	He's late.
context: I'm fine.\I'm thirsty.\What do you want?\Something that's not carbonated.\Got it.\Thanks!\Izumi!\He's late. response:	He's finally showing up late for work?
context: I'm thirsty.\What do you want?\Something that's not carbonated.\Got it.\Thanks!\Izumi!\He's late.\He's finally showing up late for work? response:	It happens to everybody.
context: What do you want?\Something that's not carbonated.\Got it.\Thanks!\Izumi!\He's late.\He's finally showing up late for work?\It happens to everybody. response:	There hasn't been any incident reports.
context: Something that's not carbonated.\Got it.\Thanks!\Izumi!\He's late.\He's finally showing up late for work?\It happens to everybody.\There hasn't been any incident reports. response:	He'll be here soon.
context: Got it.\Thanks!\Izumi!\He's late.\He's finally showing up late for work?\It happens to everybody.\There hasn't been any incident reports.\He'll be here soon. response:	Hey!
context: Thanks!\Izumi!\He's late.\He's finally showing up late for work?\It happens to everybody.\There hasn't been any incident reports.\He'll be here soon.\Hey! response:	What?
context: Izumi!\He's late.\He's finally showing up late for work?\It happens to everybody.\There hasn't been any incident reports.\He'll be here soon.\Hey!\What? response:	What are you two up to?
context: He's late.\He's finally showing up late for work?\It happens to everybody.\There hasn't been any incident reports.\He'll be here soon.\Hey!\What?\What are you two up to? response:	What do you mean?
context: He's finally showing up late for work?\It happens to everybody.\There hasn't been any incident reports.\He'll be here soon.\Hey!\What?\What are you two up to?\What do you mean? response:	You think I can't tell?!
context: It happens to everybody.\There hasn't been any incident reports.\He'll be here soon.\Hey!\What?\What are you two up to?\What do you mean?\You think I can't tell?! response:	How long have we known each other?!
context: There hasn't been any incident reports.\He'll be here soon.\Hey!\What?\What are you two up to?\What do you mean?\You think I can't tell?!\How long have we known each other?! response:	What are you hiding?!
context: He'll be here soon.\Hey!\What?\What are you two up to?\What do you mean?\You think I can't tell?!\How long have we known each other?!\What are you hiding?! response:	It's none of my business what you do when you're off the clock.
context: Hey!\What?\What are you two up to?\What do you mean?\You think I can't tell?!\How long have we known each other?!\What are you hiding?!\It's none of my business what you do when you're off the clock. response:	But think about the new kid a little.
context: What?\What are you two up to?\What do you mean?\You think I can't tell?!\How long have we known each other?!\What are you hiding?!\It's none of my business what you do when you're off the clock.\But think about the new kid a little. response:	It's interfering with his work.
context: What are you two up to?\What do you mean?\You think I can't tell?!\How long have we known each other?!\What are you hiding?!\It's none of my business what you do when you're off the clock.\But think about the new kid a little.\It's interfering with his work. response:	That's...
context: What do you mean?\You think I can't tell?!\How long have we known each other?!\What are you hiding?!\It's none of my business what you do when you're off the clock.\But think about the new kid a little.\It's interfering with his work.\That's... response:	Miyako Arata Shinjuku Ward Nocturnal Community Relations
context: You think I can't tell?!\How long have we known each other?!\What are you hiding?!\It's none of my business what you do when you're off the clock.\But think about the new kid a little.\It's interfering with his work.\That's...\Miyako Arata Shinjuku Ward Nocturnal Community Relations response:	Miyako?
context: How long have we known each other?!\What are you hiding?!\It's none of my business what you do when you're off the clock.\But think about the new kid a little.\It's interfering with his work.\That's...\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Miyako? response:	Miyako, what is it?
context: What are you hiding?!\It's none of my business what you do when you're off the clock.\But think about the new kid a little.\It's interfering with his work.\That's...\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Miyako?\Miyako, what is it? response:	They took her...
context: It's none of my business what you do when you're off the clock.\But think about the new kid a little.\It's interfering with his work.\That's...\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Miyako?\Miyako, what is it?\They took her... response:	What?
context: But think about the new kid a little.\It's interfering with his work.\That's...\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Miyako?\Miyako, what is it?\They took her...\What? response:	Miyako Arata Shinjuku Ward Nocturnal Community Relations
context: It's interfering with his work.\That's...\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Miyako?\Miyako, what is it?\They took her...\What?\Miyako Arata Shinjuku Ward Nocturnal Community Relations response:	Izumi... my childhood friend... was taken by an Another right in front of me.
context: That's...\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Miyako?\Miyako, what is it?\They took her...\What?\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Izumi... my childhood friend... was taken by an Another right in front of me. response:	I think it's the one you were talking about.
context: Miyako Arata Shinjuku Ward Nocturnal Community Relations\Miyako?\Miyako, what is it?\They took her...\What?\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Izumi... my childhood friend... was taken by an Another right in front of me.\I think it's the one you were talking about. response:	The one who took your sister...
context: Miyako?\Miyako, what is it?\They took her...\What?\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Izumi... my childhood friend... was taken by an Another right in front of me.\I think it's the one you were talking about.\The one who took your sister... response:	They were surrounded by black sand.
context: Miyako, what is it?\They took her...\What?\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Izumi... my childhood friend... was taken by an Another right in front of me.\I think it's the one you were talking about.\The one who took your sister...\They were surrounded by black sand. response:	Black sand?
context: They took her...\What?\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Izumi... my childhood friend... was taken by an Another right in front of me.\I think it's the one you were talking about.\The one who took your sister...\They were surrounded by black sand.\Black sand? response:	Like we saw in Toyama Park?
context: What?\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Izumi... my childhood friend... was taken by an Another right in front of me.\I think it's the one you were talking about.\The one who took your sister...\They were surrounded by black sand.\Black sand?\Like we saw in Toyama Park? response:	That's got nothing to do with your sister...
context: Miyako Arata Shinjuku Ward Nocturnal Community Relations\Izumi... my childhood friend... was taken by an Another right in front of me.\I think it's the one you were talking about.\The one who took your sister...\They were surrounded by black sand.\Black sand?\Like we saw in Toyama Park?\That's got nothing to do with your sister... response:	Or does it?
context: Izumi... my childhood friend... was taken by an Another right in front of me.\I think it's the one you were talking about.\The one who took your sister...\They were surrounded by black sand.\Black sand?\Like we saw in Toyama Park?\That's got nothing to do with your sister...\Or does it? response:	Answer me, Kyoichi!
context: I think it's the one you were talking about.\The one who took your sister...\They were surrounded by black sand.\Black sand?\Like we saw in Toyama Park?\That's got nothing to do with your sister...\Or does it?\Answer me, Kyoichi! response:	During the Toyama Park incident,
context: The one who took your sister...\They were surrounded by black sand.\Black sand?\Like we saw in Toyama Park?\That's got nothing to do with your sister...\Or does it?\Answer me, Kyoichi!\During the Toyama Park incident, response:	it occurred to me that Huehuecoyotl might have information.
context: They were surrounded by black sand.\Black sand?\Like we saw in Toyama Park?\That's got nothing to do with your sister...\Or does it?\Answer me, Kyoichi!\During the Toyama Park incident,\it occurred to me that Huehuecoyotl might have information. response:	So I tried to talk to him, using Miyako...
context: Black sand?\Like we saw in Toyama Park?\That's got nothing to do with your sister...\Or does it?\Answer me, Kyoichi!\During the Toyama Park incident,\it occurred to me that Huehuecoyotl might have information.\So I tried to talk to him, using Miyako... response:	Talk to him?
context: Like we saw in Toyama Park?\That's got nothing to do with your sister...\Or does it?\Answer me, Kyoichi!\During the Toyama Park incident,\it occurred to me that Huehuecoyotl might have information.\So I tried to talk to him, using Miyako...\Talk to him? response:	Negotiating with them is dangerous!
context: That's got nothing to do with your sister...\Or does it?\Answer me, Kyoichi!\During the Toyama Park incident,\it occurred to me that Huehuecoyotl might have information.\So I tried to talk to him, using Miyako...\Talk to him?\Negotiating with them is dangerous! response:	You lectured the rookie, and then you go and...
context: Or does it?\Answer me, Kyoichi!\During the Toyama Park incident,\it occurred to me that Huehuecoyotl might have information.\So I tried to talk to him, using Miyako...\Talk to him?\Negotiating with them is dangerous!\You lectured the rookie, and then you go and... response:	Arata, I'm on my way.
context: Answer me, Kyoichi!\During the Toyama Park incident,\it occurred to me that Huehuecoyotl might have information.\So I tried to talk to him, using Miyako...\Talk to him?\Negotiating with them is dangerous!\You lectured the rookie, and then you go and...\Arata, I'm on my way. response:	Stay put. Got it?
context: During the Toyama Park incident,\it occurred to me that Huehuecoyotl might have information.\So I tried to talk to him, using Miyako...\Talk to him?\Negotiating with them is dangerous!\You lectured the rookie, and then you go and...\Arata, I'm on my way.\Stay put. Got it? response:	Miyako Arata Shinjuku Ward Nocturnal Community Relations
context: it occurred to me that Huehuecoyotl might have information.\So I tried to talk to him, using Miyako...\Talk to him?\Negotiating with them is dangerous!\You lectured the rookie, and then you go and...\Arata, I'm on my way.\Stay put. Got it?\Miyako Arata Shinjuku Ward Nocturnal Community Relations response:	Yeah...
context: So I tried to talk to him, using Miyako...\Talk to him?\Negotiating with them is dangerous!\You lectured the rookie, and then you go and...\Arata, I'm on my way.\Stay put. Got it?\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Yeah... response:	Damn it! Why Izumi?
context: Talk to him?\Negotiating with them is dangerous!\You lectured the rookie, and then you go and...\Arata, I'm on my way.\Stay put. Got it?\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Yeah...\Damn it! Why Izumi? response:	What are the odds...
context: Negotiating with them is dangerous!\You lectured the rookie, and then you go and...\Arata, I'm on my way.\Stay put. Got it?\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Yeah...\Damn it! Why Izumi?\What are the odds... response:	It's not a coincidence!
context: You lectured the rookie, and then you go and...\Arata, I'm on my way.\Stay put. Got it?\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Yeah...\Damn it! Why Izumi?\What are the odds...\It's not a coincidence! response:	Kohaku, show yourself!
context: Arata, I'm on my way.\Stay put. Got it?\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Yeah...\Damn it! Why Izumi?\What are the odds...\It's not a coincidence!\Kohaku, show yourself! response:	You're here, right? Kohaku!
context: Stay put. Got it?\Miyako Arata Shinjuku Ward Nocturnal Community Relations\Yeah...\Damn it! Why Izumi?\What are the odds...\It's not a coincidence!\Kohaku, show yourself!\You're here, right? Kohaku! response:	You called?
context: Miyako Arata Shinjuku Ward Nocturnal Community Relations\Yeah...\Damn it! Why Izumi?\What are the odds...\It's not a coincidence!\Kohaku, show yourself!\You're here, right? Kohaku!\You called? response:	I like that look on your face.
context: Yeah...\Damn it! Why Izumi?\What are the odds...\It's not a coincidence!\Kohaku, show yourself!\You're here, right? Kohaku!\You called?\I like that look on your face. response:	I never really got to see it before.
context: Damn it! Why Izumi?\What are the odds...\It's not a coincidence!\Kohaku, show yourself!\You're here, right? Kohaku!\You called?\I like that look on your face.\I never really got to see it before. response:	You bastard...
context: What are the odds...\It's not a coincidence!\Kohaku, show yourself!\You're here, right? Kohaku!\You called?\I like that look on your face.\I never really got to see it before.\You bastard... response:	Wait. Think about it.
context: It's not a coincidence!\Kohaku, show yourself!\You're here, right? Kohaku!\You called?\I like that look on your face.\I never really got to see it before.\You bastard...\Wait. Think about it. response:	I'm not the one you should be mad at.
context: Kohaku, show yourself!\You're here, right? Kohaku!\You called?\I like that look on your face.\I never really got to see it before.\You bastard...\Wait. Think about it.\I'm not the one you should be mad at. response:	It's that devil who's collecting all the human females.
context: You're here, right? Kohaku!\You called?\I like that look on your face.\I never really got to see it before.\You bastard...\Wait. Think about it.\I'm not the one you should be mad at.\It's that devil who's collecting all the human females. response:	The ones I used in the kyoshi ritual, and now her, too.
context: You called?\I like that look on your face.\I never really got to see it before.\You bastard...\Wait. Think about it.\I'm not the one you should be mad at.\It's that devil who's collecting all the human females.\The ones I used in the kyoshi ritual, and now her, too. response:	Then tell me! Where is Izumi?
context: I like that look on your face.\I never really got to see it before.\You bastard...\Wait. Think about it.\I'm not the one you should be mad at.\It's that devil who's collecting all the human females.\The ones I used in the kyoshi ritual, and now her, too.\Then tell me! Where is Izumi? response:	A place you cannot reach.
context: I never really got to see it before.\You bastard...\Wait. Think about it.\I'm not the one you should be mad at.\It's that devil who's collecting all the human females.\The ones I used in the kyoshi ritual, and now her, too.\Then tell me! Where is Izumi?\A place you cannot reach. response:	Can't reach?
context: You bastard...\Wait. Think about it.\I'm not the one you should be mad at.\It's that devil who's collecting all the human females.\The ones I used in the kyoshi ritual, and now her, too.\Then tell me! Where is Izumi?\A place you cannot reach.\Can't reach? response:	Where?!
context: Wait. Think about it.\I'm not the one you should be mad at.\It's that devil who's collecting all the human females.\The ones I used in the kyoshi ritual, and now her, too.\Then tell me! Where is Izumi?\A place you cannot reach.\Can't reach?\Where?! response:	Hell.
