context: Once upon a time, there was a man who died. response:	The prince and the raven from the man's story escaped from the story and fought.
context: It's your fault.\No way!\Whoa, whoa, whoa...\Qua...\Where are you going, Ahiru?\Cat-sensei!\Oh dear, dear, dear, dear! Is it Ahiru's fault? It's Ahiru's fault, isn't it?\Meowzinsky's shoes... response:	How awful.
context: No way!\Whoa, whoa, whoa...\Qua...\Where are you going, Ahiru?\Cat-sensei!\Oh dear, dear, dear, dear! Is it Ahiru's fault? It's Ahiru's fault, isn't it?\Meowzinsky's shoes...\How awful. response:	Did Cat-sensei do that himself?
context: Whoa, whoa, whoa...\Qua...\Where are you going, Ahiru?\Cat-sensei!\Oh dear, dear, dear, dear! Is it Ahiru's fault? It's Ahiru's fault, isn't it?\Meowzinsky's shoes...\How awful.\Did Cat-sensei do that himself? response:	Why can't I get Mytho out of my mind? Why?
context: Qua...\Where are you going, Ahiru?\Cat-sensei!\Oh dear, dear, dear, dear! Is it Ahiru's fault? It's Ahiru's fault, isn't it?\Meowzinsky's shoes...\How awful.\Did Cat-sensei do that himself?\Why can't I get Mytho out of my mind? Why? response:	Ahiru! Where are you going?!
context: Where are you going, Ahiru?\Cat-sensei!\Oh dear, dear, dear, dear! Is it Ahiru's fault? It's Ahiru's fault, isn't it?\Meowzinsky's shoes...\How awful.\Did Cat-sensei do that himself?\Why can't I get Mytho out of my mind? Why?\Ahiru! Where are you going?! response:	How did it go? Did you find Mytho?
context: Cat-sensei!\Oh dear, dear, dear, dear! Is it Ahiru's fault? It's Ahiru's fault, isn't it?\Meowzinsky's shoes...\How awful.\Did Cat-sensei do that himself?\Why can't I get Mytho out of my mind? Why?\Ahiru! Where are you going?!\How did it go? Did you find Mytho? response:	Didn't find him.
context: Oh dear, dear, dear, dear! Is it Ahiru's fault? It's Ahiru's fault, isn't it?\Meowzinsky's shoes...\How awful.\Did Cat-sensei do that himself?\Why can't I get Mytho out of my mind? Why?\Ahiru! Where are you going?!\How did it go? Did you find Mytho?\Didn't find him. response:	Not anywhere.
context: Meowzinsky's shoes...\How awful.\Did Cat-sensei do that himself?\Why can't I get Mytho out of my mind? Why?\Ahiru! Where are you going?!\How did it go? Did you find Mytho?\Didn't find him.\Not anywhere. response:	Nowhere.
context: How awful.\Did Cat-sensei do that himself?\Why can't I get Mytho out of my mind? Why?\Ahiru! Where are you going?!\How did it go? Did you find Mytho?\Didn't find him.\Not anywhere.\Nowhere. response:	Not a trace!
context: Did Cat-sensei do that himself?\Why can't I get Mytho out of my mind? Why?\Ahiru! Where are you going?!\How did it go? Did you find Mytho?\Didn't find him.\Not anywhere.\Nowhere.\Not a trace! response:	I see...
context: Why can't I get Mytho out of my mind? Why?\Ahiru! Where are you going?!\How did it go? Did you find Mytho?\Didn't find him.\Not anywhere.\Nowhere.\Not a trace!\I see... response:	Something going on with him lately?
context: Ahiru! Where are you going?!\How did it go? Did you find Mytho?\Didn't find him.\Not anywhere.\Nowhere.\Not a trace!\I see...\Something going on with him lately? response:	With Fakir.
context: How did it go? Did you find Mytho?\Didn't find him.\Not anywhere.\Nowhere.\Not a trace!\I see...\Something going on with him lately?\With Fakir. response:	He's acting strange.
context: Didn't find him.\Not anywhere.\Nowhere.\Not a trace!\I see...\Something going on with him lately?\With Fakir.\He's acting strange. response:	Yeah, strange!
context: Not anywhere.\Nowhere.\Not a trace!\I see...\Something going on with him lately?\With Fakir.\He's acting strange.\Yeah, strange! response:	I mean, in the library!
context: Nowhere.\Not a trace!\I see...\Something going on with him lately?\With Fakir.\He's acting strange.\Yeah, strange!\I mean, in the library! response:	He's been holed up in there forever!
context: Not a trace!\I see...\Something going on with him lately?\With Fakir.\He's acting strange.\Yeah, strange!\I mean, in the library!\He's been holed up in there forever! response:	Research, maybe?
context: I see...\Something going on with him lately?\With Fakir.\He's acting strange.\Yeah, strange!\I mean, in the library!\He's been holed up in there forever!\Research, maybe? response:	Does seem like he's researching.
context: Something going on with him lately?\With Fakir.\He's acting strange.\Yeah, strange!\I mean, in the library!\He's been holed up in there forever!\Research, maybe?\Does seem like he's researching. response:	That's so not-Fakir.
context: With Fakir.\He's acting strange.\Yeah, strange!\I mean, in the library!\He's been holed up in there forever!\Research, maybe?\Does seem like he's researching.\That's so not-Fakir. response:	The library?
context: He's acting strange.\Yeah, strange!\I mean, in the library!\He's been holed up in there forever!\Research, maybe?\Does seem like he's researching.\That's so not-Fakir.\The library? response:	Whoops!
context: Yeah, strange!\I mean, in the library!\He's been holed up in there forever!\Research, maybe?\Does seem like he's researching.\That's so not-Fakir.\The library?\Whoops! response:	Forget we said anything!
context: I mean, in the library!\He's been holed up in there forever!\Research, maybe?\Does seem like he's researching.\That's so not-Fakir.\The library?\Whoops!\Forget we said anything! response:	Don't tell anyone we told you!
context: He's been holed up in there forever!\Research, maybe?\Does seem like he's researching.\That's so not-Fakir.\The library?\Whoops!\Forget we said anything!\Don't tell anyone we told you! response:	It's not like we're into being nosy.
context: Research, maybe?\Does seem like he's researching.\That's so not-Fakir.\The library?\Whoops!\Forget we said anything!\Don't tell anyone we told you!\It's not like we're into being nosy. response:	Even though we are.
context: Does seem like he's researching.\That's so not-Fakir.\The library?\Whoops!\Forget we said anything!\Don't tell anyone we told you!\It's not like we're into being nosy.\Even though we are. response:	What's Fakir doing in the library?
context: That's so not-Fakir.\The library?\Whoops!\Forget we said anything!\Don't tell anyone we told you!\It's not like we're into being nosy.\Even though we are.\What's Fakir doing in the library? response:	No, right now, finding Mytho comes first.
context: The library?\Whoops!\Forget we said anything!\Don't tell anyone we told you!\It's not like we're into being nosy.\Even though we are.\What's Fakir doing in the library?\No, right now, finding Mytho comes first. response:	Is he there?
context: Whoops!\Forget we said anything!\Don't tell anyone we told you!\It's not like we're into being nosy.\Even though we are.\What's Fakir doing in the library?\No, right now, finding Mytho comes first.\Is he there? response:	I can't see.
context: Forget we said anything!\Don't tell anyone we told you!\It's not like we're into being nosy.\Even though we are.\What's Fakir doing in the library?\No, right now, finding Mytho comes first.\Is he there?\I can't see. response:	Okay, then!
context: Don't tell anyone we told you!\It's not like we're into being nosy.\Even though we are.\What's Fakir doing in the library?\No, right now, finding Mytho comes first.\Is he there?\I can't see.\Okay, then! response:	What?
context: It's not like we're into being nosy.\Even though we are.\What's Fakir doing in the library?\No, right now, finding Mytho comes first.\Is he there?\I can't see.\Okay, then!\What? response:	Is that true?
context: Even though we are.\What's Fakir doing in the library?\No, right now, finding Mytho comes first.\Is he there?\I can't see.\Okay, then!\What?\Is that true? response:	I wonder if there's a huge commotion right about now.
context: What's Fakir doing in the library?\No, right now, finding Mytho comes first.\Is he there?\I can't see.\Okay, then!\What?\Is that true?\I wonder if there's a huge commotion right about now. response:	Why did you do that?
context: No, right now, finding Mytho comes first.\Is he there?\I can't see.\Okay, then!\What?\Is that true?\I wonder if there's a huge commotion right about now.\Why did you do that? response:	The shoes filled with beautiful memories and dreams...
context: Is he there?\I can't see.\Okay, then!\What?\Is that true?\I wonder if there's a huge commotion right about now.\Why did you do that?\The shoes filled with beautiful memories and dreams... response:	Is it funny? It's funny, isn't it, Fakir?
context: I can't see.\Okay, then!\What?\Is that true?\I wonder if there's a huge commotion right about now.\Why did you do that?\The shoes filled with beautiful memories and dreams...\Is it funny? It's funny, isn't it, Fakir? response:	Ah, my daughter.
context: Okay, then!\What?\Is that true?\I wonder if there's a huge commotion right about now.\Why did you do that?\The shoes filled with beautiful memories and dreams...\Is it funny? It's funny, isn't it, Fakir?\Ah, my daughter. response:	How are you feeling, Father?
context: What?\Is that true?\I wonder if there's a huge commotion right about now.\Why did you do that?\The shoes filled with beautiful memories and dreams...\Is it funny? It's funny, isn't it, Fakir?\Ah, my daughter.\How are you feeling, Father? response:	Not bad. But not good, either.
context: Is that true?\I wonder if there's a huge commotion right about now.\Why did you do that?\The shoes filled with beautiful memories and dreams...\Is it funny? It's funny, isn't it, Fakir?\Ah, my daughter.\How are you feeling, Father?\Not bad. But not good, either. response:	Poor Father. But I have good news.
context: I wonder if there's a huge commotion right about now.\Why did you do that?\The shoes filled with beautiful memories and dreams...\Is it funny? It's funny, isn't it, Fakir?\Ah, my daughter.\How are you feeling, Father?\Not bad. But not good, either.\Poor Father. But I have good news. response:	Oh?
context: Why did you do that?\The shoes filled with beautiful memories and dreams...\Is it funny? It's funny, isn't it, Fakir?\Ah, my daughter.\How are you feeling, Father?\Not bad. But not good, either.\Poor Father. But I have good news.\Oh? response:	The raven's blood you gave me...
context: The shoes filled with beautiful memories and dreams...\Is it funny? It's funny, isn't it, Fakir?\Ah, my daughter.\How are you feeling, Father?\Not bad. But not good, either.\Poor Father. But I have good news.\Oh?\The raven's blood you gave me... response:	It looks like it's begun to exercise its power.
context: Is it funny? It's funny, isn't it, Fakir?\Ah, my daughter.\How are you feeling, Father?\Not bad. But not good, either.\Poor Father. But I have good news.\Oh?\The raven's blood you gave me...\It looks like it's begun to exercise its power. response:	I see, my blood that you soaked the prince's feeling of love with...
context: Ah, my daughter.\How are you feeling, Father?\Not bad. But not good, either.\Poor Father. But I have good news.\Oh?\The raven's blood you gave me...\It looks like it's begun to exercise its power.\I see, my blood that you soaked the prince's feeling of love with... response:	Yes. I'm so glad I did just like you told me to, Father.
context: How are you feeling, Father?\Not bad. But not good, either.\Poor Father. But I have good news.\Oh?\The raven's blood you gave me...\It looks like it's begun to exercise its power.\I see, my blood that you soaked the prince's feeling of love with...\Yes. I'm so glad I did just like you told me to, Father. response:	Of course you are.
context: Not bad. But not good, either.\Poor Father. But I have good news.\Oh?\The raven's blood you gave me...\It looks like it's begun to exercise its power.\I see, my blood that you soaked the prince's feeling of love with...\Yes. I'm so glad I did just like you told me to, Father.\Of course you are. response:	The only thing I ever wish for is my dear daughter's happiness.
context: Poor Father. But I have good news.\Oh?\The raven's blood you gave me...\It looks like it's begun to exercise its power.\I see, my blood that you soaked the prince's feeling of love with...\Yes. I'm so glad I did just like you told me to, Father.\Of course you are.\The only thing I ever wish for is my dear daughter's happiness. response:	The prince will keep changing, won't he?
context: Oh?\The raven's blood you gave me...\It looks like it's begun to exercise its power.\I see, my blood that you soaked the prince's feeling of love with...\Yes. I'm so glad I did just like you told me to, Father.\Of course you are.\The only thing I ever wish for is my dear daughter's happiness.\The prince will keep changing, won't he? response:	Into a prince who loves crows.
context: The raven's blood you gave me...\It looks like it's begun to exercise its power.\I see, my blood that you soaked the prince's feeling of love with...\Yes. I'm so glad I did just like you told me to, Father.\Of course you are.\The only thing I ever wish for is my dear daughter's happiness.\The prince will keep changing, won't he?\Into a prince who loves crows. response:	And he will marry you and become my son.
context: It looks like it's begun to exercise its power.\I see, my blood that you soaked the prince's feeling of love with...\Yes. I'm so glad I did just like you told me to, Father.\Of course you are.\The only thing I ever wish for is my dear daughter's happiness.\The prince will keep changing, won't he?\Into a prince who loves crows.\And he will marry you and become my son. response:	Hey, Mytho! Is something happening inside you?
context: I see, my blood that you soaked the prince's feeling of love with...\Yes. I'm so glad I did just like you told me to, Father.\Of course you are.\The only thing I ever wish for is my dear daughter's happiness.\The prince will keep changing, won't he?\Into a prince who loves crows.\And he will marry you and become my son.\Hey, Mytho! Is something happening inside you? response:	What if something is?
context: Yes. I'm so glad I did just like you told me to, Father.\Of course you are.\The only thing I ever wish for is my dear daughter's happiness.\The prince will keep changing, won't he?\Into a prince who loves crows.\And he will marry you and become my son.\Hey, Mytho! Is something happening inside you?\What if something is? response:	Will you intend to pierce my heart with the sword again?
context: Of course you are.\The only thing I ever wish for is my dear daughter's happiness.\The prince will keep changing, won't he?\Into a prince who loves crows.\And he will marry you and become my son.\Hey, Mytho! Is something happening inside you?\What if something is?\Will you intend to pierce my heart with the sword again? response:	But that sword is gone now, isn't it? Because you broke it.
context: The only thing I ever wish for is my dear daughter's happiness.\The prince will keep changing, won't he?\Into a prince who loves crows.\And he will marry you and become my son.\Hey, Mytho! Is something happening inside you?\What if something is?\Will you intend to pierce my heart with the sword again?\But that sword is gone now, isn't it? Because you broke it. response:	I can't see very well.
context: The prince will keep changing, won't he?\Into a prince who loves crows.\And he will marry you and become my son.\Hey, Mytho! Is something happening inside you?\What if something is?\Will you intend to pierce my heart with the sword again?\But that sword is gone now, isn't it? Because you broke it.\I can't see very well. response:	It's not scary, it's not scary...
context: Into a prince who loves crows.\And he will marry you and become my son.\Hey, Mytho! Is something happening inside you?\What if something is?\Will you intend to pierce my heart with the sword again?\But that sword is gone now, isn't it? Because you broke it.\I can't see very well.\It's not scary, it's not scary... response:	Oof.
context: And he will marry you and become my son.\Hey, Mytho! Is something happening inside you?\What if something is?\Will you intend to pierce my heart with the sword again?\But that sword is gone now, isn't it? Because you broke it.\I can't see very well.\It's not scary, it's not scary...\Oof. response:	Are you angry?
context: Hey, Mytho! Is something happening inside you?\What if something is?\Will you intend to pierce my heart with the sword again?\But that sword is gone now, isn't it? Because you broke it.\I can't see very well.\It's not scary, it's not scary...\Oof.\Are you angry? response:	Even though I've finally regained my emotions?
context: What if something is?\Will you intend to pierce my heart with the sword again?\But that sword is gone now, isn't it? Because you broke it.\I can't see very well.\It's not scary, it's not scary...\Oof.\Are you angry?\Even though I've finally regained my emotions? response:	Your heart isn't whole yet.
context: Will you intend to pierce my heart with the sword again?\But that sword is gone now, isn't it? Because you broke it.\I can't see very well.\It's not scary, it's not scary...\Oof.\Are you angry?\Even though I've finally regained my emotions?\Your heart isn't whole yet. response:	That's right. I have to hurry and get the whole thing back...
context: But that sword is gone now, isn't it? Because you broke it.\I can't see very well.\It's not scary, it's not scary...\Oof.\Are you angry?\Even though I've finally regained my emotions?\Your heart isn't whole yet.\That's right. I have to hurry and get the whole thing back... response:	And then...
context: I can't see very well.\It's not scary, it's not scary...\Oof.\Are you angry?\Even though I've finally regained my emotions?\Your heart isn't whole yet.\That's right. I have to hurry and get the whole thing back...\And then... response:	maybe I'll try offering it to a crow.
context: It's not scary, it's not scary...\Oof.\Are you angry?\Even though I've finally regained my emotions?\Your heart isn't whole yet.\That's right. I have to hurry and get the whole thing back...\And then...\maybe I'll try offering it to a crow. response:	Who are you?
context: Oof.\Are you angry?\Even though I've finally regained my emotions?\Your heart isn't whole yet.\That's right. I have to hurry and get the whole thing back...\And then...\maybe I'll try offering it to a crow.\Who are you? response:	I'm...
context: Are you angry?\Even though I've finally regained my emotions?\Your heart isn't whole yet.\That's right. I have to hurry and get the whole thing back...\And then...\maybe I'll try offering it to a crow.\Who are you?\I'm... response:	I'm...
context: Even though I've finally regained my emotions?\Your heart isn't whole yet.\That's right. I have to hurry and get the whole thing back...\And then...\maybe I'll try offering it to a crow.\Who are you?\I'm...\I'm... response:	That was scary.
context: Your heart isn't whole yet.\That's right. I have to hurry and get the whole thing back...\And then...\maybe I'll try offering it to a crow.\Who are you?\I'm...\I'm...\That was scary. response:	I'm...
context: That's right. I have to hurry and get the whole thing back...\And then...\maybe I'll try offering it to a crow.\Who are you?\I'm...\I'm...\That was scary.\I'm... response:	What's wrong, Mytho?!
context: And then...\maybe I'll try offering it to a crow.\Who are you?\I'm...\I'm...\That was scary.\I'm...\What's wrong, Mytho?! response:	Help me, Fakir!
context: maybe I'll try offering it to a crow.\Who are you?\I'm...\I'm...\That was scary.\I'm...\What's wrong, Mytho?!\Help me, Fakir! response:	My heart is...
context: Who are you?\I'm...\I'm...\That was scary.\I'm...\What's wrong, Mytho?!\Help me, Fakir!\My heart is... response:	Mytho!
context: I'm...\I'm...\That was scary.\I'm...\What's wrong, Mytho?!\Help me, Fakir!\My heart is...\Mytho! response:	A crow... It can't be!
context: I'm...\That was scary.\I'm...\What's wrong, Mytho?!\Help me, Fakir!\My heart is...\Mytho!\A crow... It can't be! response:	Tutu...
context: That was scary.\I'm...\What's wrong, Mytho?!\Help me, Fakir!\My heart is...\Mytho!\A crow... It can't be!\Tutu... response:	Mytho!
context: I'm...\What's wrong, Mytho?!\Help me, Fakir!\My heart is...\Mytho!\A crow... It can't be!\Tutu...\Mytho! response:	Mytho!
context: What's wrong, Mytho?!\Help me, Fakir!\My heart is...\Mytho!\A crow... It can't be!\Tutu...\Mytho!\Mytho! response:	Pull yourself together.
context: Help me, Fakir!\My heart is...\Mytho!\A crow... It can't be!\Tutu...\Mytho!\Mytho!\Pull yourself together. response:	Mytho...
context: My heart is...\Mytho!\A crow... It can't be!\Tutu...\Mytho!\Mytho!\Pull yourself together.\Mytho... response:	Who am I? Fakir, I'll tell you right now. Just you.
context: Mytho!\A crow... It can't be!\Tutu...\Mytho!\Mytho!\Pull yourself together.\Mytho...\Who am I? Fakir, I'll tell you right now. Just you. response:	Watch closely.
context: A crow... It can't be!\Tutu...\Mytho!\Mytho!\Pull yourself together.\Mytho...\Who am I? Fakir, I'll tell you right now. Just you.\Watch closely. response:	You...
context: Tutu...\Mytho!\Mytho!\Pull yourself together.\Mytho...\Who am I? Fakir, I'll tell you right now. Just you.\Watch closely.\You... response:	Mytho!
context: Mytho!\Mytho!\Pull yourself together.\Mytho...\Who am I? Fakir, I'll tell you right now. Just you.\Watch closely.\You...\Mytho! response:	Mytho!
context: Mytho!\Pull yourself together.\Mytho...\Who am I? Fakir, I'll tell you right now. Just you.\Watch closely.\You...\Mytho!\Mytho! response:	Mytho!
context: Pull yourself together.\Mytho...\Who am I? Fakir, I'll tell you right now. Just you.\Watch closely.\You...\Mytho!\Mytho!\Mytho! response:	Mytho, no!
context: Mytho...\Who am I? Fakir, I'll tell you right now. Just you.\Watch closely.\You...\Mytho!\Mytho!\Mytho!\Mytho, no! response:	Mytho!
context: Who am I? Fakir, I'll tell you right now. Just you.\Watch closely.\You...\Mytho!\Mytho!\Mytho!\Mytho, no!\Mytho! response:	Tutu.
context: Watch closely.\You...\Mytho!\Mytho!\Mytho!\Mytho, no!\Mytho!\Tutu. response:	Thank goodness.
context: You...\Mytho!\Mytho!\Mytho!\Mytho, no!\Mytho!\Tutu.\Thank goodness. response:	Bravo! At last, the second act has begun!
context: Mytho!\Mytho!\Mytho!\Mytho, no!\Mytho!\Tutu.\Thank goodness.\Bravo! At last, the second act has begun! response:	Oh, dear. The knight, the prince, and the two princesses...
context: Mytho!\Mytho!\Mytho, no!\Mytho!\Tutu.\Thank goodness.\Bravo! At last, the second act has begun!\Oh, dear. The knight, the prince, and the two princesses... response:	It seems their roles will change just a bit.
context: Mytho!\Mytho, no!\Mytho!\Tutu.\Thank goodness.\Bravo! At last, the second act has begun!\Oh, dear. The knight, the prince, and the two princesses...\It seems their roles will change just a bit. response:	Now, tell me a story. I'm looking forward to it, Princess Tutu.
context: Mytho, no!\Mytho!\Tutu.\Thank goodness.\Bravo! At last, the second act has begun!\Oh, dear. The knight, the prince, and the two princesses...\It seems their roles will change just a bit.\Now, tell me a story. I'm looking forward to it, Princess Tutu. response:	Didn't Mytho fall in love with Pike?
context: Mytho!\Tutu.\Thank goodness.\Bravo! At last, the second act has begun!\Oh, dear. The knight, the prince, and the two princesses...\It seems their roles will change just a bit.\Now, tell me a story. I'm looking forward to it, Princess Tutu.\Didn't Mytho fall in love with Pike? response:	It's none of your business if Mytho-sama and I are dating.
context: Tutu.\Thank goodness.\Bravo! At last, the second act has begun!\Oh, dear. The knight, the prince, and the two princesses...\It seems their roles will change just a bit.\Now, tell me a story. I'm looking forward to it, Princess Tutu.\Didn't Mytho fall in love with Pike?\It's none of your business if Mytho-sama and I are dating. response:	Really, Ahiru? Is that really okay?
context: Thank goodness.\Bravo! At last, the second act has begun!\Oh, dear. The knight, the prince, and the two princesses...\It seems their roles will change just a bit.\Now, tell me a story. I'm looking forward to it, Princess Tutu.\Didn't Mytho fall in love with Pike?\It's none of your business if Mytho-sama and I are dating.\Really, Ahiru? Is that really okay? response:	Who are you? Why are you inside me?!
context: Bravo! At last, the second act has begun!\Oh, dear. The knight, the prince, and the two princesses...\It seems their roles will change just a bit.\Now, tell me a story. I'm looking forward to it, Princess Tutu.\Didn't Mytho fall in love with Pike?\It's none of your business if Mytho-sama and I are dating.\Really, Ahiru? Is that really okay?\Who are you? Why are you inside me?! response:	So it was you? What did you do to Mytho?!
context: Oh, dear. The knight, the prince, and the two princesses...\It seems their roles will change just a bit.\Now, tell me a story. I'm looking forward to it, Princess Tutu.\Didn't Mytho fall in love with Pike?\It's none of your business if Mytho-sama and I are dating.\Really, Ahiru? Is that really okay?\Who are you? Why are you inside me?!\So it was you? What did you do to Mytho?! response:	Show your true colors, Kraehe.
context: It seems their roles will change just a bit.\Now, tell me a story. I'm looking forward to it, Princess Tutu.\Didn't Mytho fall in love with Pike?\It's none of your business if Mytho-sama and I are dating.\Really, Ahiru? Is that really okay?\Who are you? Why are you inside me?!\So it was you? What did you do to Mytho?!\Show your true colors, Kraehe. response:	The prince is going to change. He'll love only me, and he'll find a young and beautiful heart for my father and offer it to him.
context: Now, tell me a story. I'm looking forward to it, Princess Tutu.\Didn't Mytho fall in love with Pike?\It's none of your business if Mytho-sama and I are dating.\Really, Ahiru? Is that really okay?\Who are you? Why are you inside me?!\So it was you? What did you do to Mytho?!\Show your true colors, Kraehe.\The prince is going to change. He'll love only me, and he'll find a young and beautiful heart for my father and offer it to him. response:	You'll give me your beautiful heart, won't you?
context: Didn't Mytho fall in love with Pike?\It's none of your business if Mytho-sama and I are dating.\Really, Ahiru? Is that really okay?\Who are you? Why are you inside me?!\So it was you? What did you do to Mytho?!\Show your true colors, Kraehe.\The prince is going to change. He'll love only me, and he'll find a young and beautiful heart for my father and offer it to him.\You'll give me your beautiful heart, won't you? response:	Coppelia
context: It's none of your business if Mytho-sama and I are dating.\Really, Ahiru? Is that really okay?\Who are you? Why are you inside me?!\So it was you? What did you do to Mytho?!\Show your true colors, Kraehe.\The prince is going to change. He'll love only me, and he'll find a young and beautiful heart for my father and offer it to him.\You'll give me your beautiful heart, won't you?\Coppelia response:	All you children who love stories, come gather around.
context: Really, Ahiru? Is that really okay?\Who are you? Why are you inside me?!\So it was you? What did you do to Mytho?!\Show your true colors, Kraehe.\The prince is going to change. He'll love only me, and he'll find a young and beautiful heart for my father and offer it to him.\You'll give me your beautiful heart, won't you?\Coppelia\All you children who love stories, come gather around. response:	The voice calling, come now, wake up
context: Who are you? Why are you inside me?!\So it was you? What did you do to Mytho?!\Show your true colors, Kraehe.\The prince is going to change. He'll love only me, and he'll find a young and beautiful heart for my father and offer it to him.\You'll give me your beautiful heart, won't you?\Coppelia\All you children who love stories, come gather around.\The voice calling, come now, wake up response:	Wiping a tearstained face
context: So it was you? What did you do to Mytho?!\Show your true colors, Kraehe.\The prince is going to change. He'll love only me, and he'll find a young and beautiful heart for my father and offer it to him.\You'll give me your beautiful heart, won't you?\Coppelia\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face response:	The brilliant light and the dew on trees are born
context: Show your true colors, Kraehe.\The prince is going to change. He'll love only me, and he'll find a young and beautiful heart for my father and offer it to him.\You'll give me your beautiful heart, won't you?\Coppelia\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born response:	By the secret water's edge that no one knows of
context: The prince is going to change. He'll love only me, and he'll find a young and beautiful heart for my father and offer it to him.\You'll give me your beautiful heart, won't you?\Coppelia\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of response:	Dance the pas de deux of life
context: You'll give me your beautiful heart, won't you?\Coppelia\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life response:	Dreaming again today
context: Coppelia\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today response:	It is a gentle, yet fierce current
context: All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current response:	How far does the labyrinth stretch?
context: The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch? response:	I shall go
context: Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go response:	The dream I hold tight
context: The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight response:	I loved like I was dreaming
context: By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming response:	It swells... My heart swells
context: Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells response:	I thought how wonderful it was to be alive
context: Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive response:	I can't wait for tomorrow
context: It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow response:	I want to be there for you
context: How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you response:	At all times
context: I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times response:	Wait, it won't wait
context: The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait response:	Running, running along
context: I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along response:	Passing by even the wind and the rain clouds
context: It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along\Passing by even the wind and the rain clouds response:	Just beating my own wings
