context: Again, huh? response:	Episode 10 Slight Fever
context: we can't afford to lose anyone!\But today, you were out, and for some miraculous reason,\things weren't hectic and our jobs were done.\I hope this isn't the end of the world or something.\But, but, it doesn't mean\that we don't need that person!\It means that since that person is so important to us,\we work harder to fill in her gap! response:	So we really want that person back!
context: But today, you were out, and for some miraculous reason,\things weren't hectic and our jobs were done.\I hope this isn't the end of the world or something.\But, but, it doesn't mean\that we don't need that person!\It means that since that person is so important to us,\we work harder to fill in her gap!\So we really want that person back! response:	Sorry.
context: things weren't hectic and our jobs were done.\I hope this isn't the end of the world or something.\But, but, it doesn't mean\that we don't need that person!\It means that since that person is so important to us,\we work harder to fill in her gap!\So we really want that person back!\Sorry. response:	Geez...
context: I hope this isn't the end of the world or something.\But, but, it doesn't mean\that we don't need that person!\It means that since that person is so important to us,\we work harder to fill in her gap!\So we really want that person back!\Sorry.\Geez... response:	Looks like she didn't hear you.
context: But, but, it doesn't mean\that we don't need that person!\It means that since that person is so important to us,\we work harder to fill in her gap!\So we really want that person back!\Sorry.\Geez...\Looks like she didn't hear you. response:	Huh?
context: that we don't need that person!\It means that since that person is so important to us,\we work harder to fill in her gap!\So we really want that person back!\Sorry.\Geez...\Looks like she didn't hear you.\Huh? response:	Huh?
context: It means that since that person is so important to us,\we work harder to fill in her gap!\So we really want that person back!\Sorry.\Geez...\Looks like she didn't hear you.\Huh?\Huh? response:	W-What?
context: we work harder to fill in her gap!\So we really want that person back!\Sorry.\Geez...\Looks like she didn't hear you.\Huh?\Huh?\W-What? response:	Have you decided?
context: So we really want that person back!\Sorry.\Geez...\Looks like she didn't hear you.\Huh?\Huh?\W-What?\Have you decided? response:	I love this place.
context: Sorry.\Geez...\Looks like she didn't hear you.\Huh?\Huh?\W-What?\Have you decided?\I love this place. response:	I love the Kissuiso.
context: Geez...\Looks like she didn't hear you.\Huh?\Huh?\W-What?\Have you decided?\I love this place.\I love the Kissuiso. response:	I see.
context: Looks like she didn't hear you.\Huh?\Huh?\W-What?\Have you decided?\I love this place.\I love the Kissuiso.\I see. response:	I love everyone here.
context: Huh?\Huh?\W-What?\Have you decided?\I love this place.\I love the Kissuiso.\I see.\I love everyone here. response:	Okay.
context: Huh?\W-What?\Have you decided?\I love this place.\I love the Kissuiso.\I see.\I love everyone here.\Okay. response:	What ya doin'?
context: W-What?\Have you decided?\I love this place.\I love the Kissuiso.\I see.\I love everyone here.\Okay.\What ya doin'? response:	Ohana went looking for a fight?!
context: Have you decided?\I love this place.\I love the Kissuiso.\I see.\I love everyone here.\Okay.\What ya doin'?\Ohana went looking for a fight?! response:	Ohana!
context: I love this place.\I love the Kissuiso.\I see.\I love everyone here.\Okay.\What ya doin'?\Ohana went looking for a fight?!\Ohana! response:	Help me...
context: I love the Kissuiso.\I see.\I love everyone here.\Okay.\What ya doin'?\Ohana went looking for a fight?!\Ohana!\Help me... response:	Help me, Ko!
context: I see.\I love everyone here.\Okay.\What ya doin'?\Ohana went looking for a fight?!\Ohana!\Help me...\Help me, Ko! response:	Episode 11 Bark at the Night
