context: Without using my damn old man's Quirk... response:	No...
context: A direct hit!\He got a pretty heavy hit in!\That kick was way too fast!\Eight seconds left! I can do it!\I'll throw him out of bounds like thi-\My muffler's plugged...?!\When did that happen?\During the kick... response:	Since I was only showing attacks with range,
context: He got a pretty heavy hit in!\That kick was way too fast!\Eight seconds left! I can do it!\I'll throw him out of bounds like thi-\My muffler's plugged...?!\When did that happen?\During the kick...\Since I was only showing attacks with range, response:	you forgot that I could do little tricks like this, too, didn't you?
context: That kick was way too fast!\Eight seconds left! I can do it!\I'll throw him out of bounds like thi-\My muffler's plugged...?!\When did that happen?\During the kick...\Since I was only showing attacks with range,\you forgot that I could do little tricks like this, too, didn't you? response:	I was trying to be careful of your Recipro, though.
context: Eight seconds left! I can do it!\I'll throw him out of bounds like thi-\My muffler's plugged...?!\When did that happen?\During the kick...\Since I was only showing attacks with range,\you forgot that I could do little tricks like this, too, didn't you?\I was trying to be careful of your Recipro, though. response:	But I still couldn't dodge it.
context: I'll throw him out of bounds like thi-\My muffler's plugged...?!\When did that happen?\During the kick...\Since I was only showing attacks with range,\you forgot that I could do little tricks like this, too, didn't you?\I was trying to be careful of your Recipro, though.\But I still couldn't dodge it. response:	Iida is immobilized!
context: My muffler's plugged...?!\When did that happen?\During the kick...\Since I was only showing attacks with range,\you forgot that I could do little tricks like this, too, didn't you?\I was trying to be careful of your Recipro, though.\But I still couldn't dodge it.\Iida is immobilized! response:	Todoroki wins!
context: When did that happen?\During the kick...\Since I was only showing attacks with range,\you forgot that I could do little tricks like this, too, didn't you?\I was trying to be careful of your Recipro, though.\But I still couldn't dodge it.\Iida is immobilized!\Todoroki wins! response:	Todoroki advances to the final without showing his flames!
context: During the kick...\Since I was only showing attacks with range,\you forgot that I could do little tricks like this, too, didn't you?\I was trying to be careful of your Recipro, though.\But I still couldn't dodge it.\Iida is immobilized!\Todoroki wins!\Todoroki advances to the final without showing his flames! response:	I need to think about it.
context: Since I was only showing attacks with range,\you forgot that I could do little tricks like this, too, didn't you?\I was trying to be careful of your Recipro, though.\But I still couldn't dodge it.\Iida is immobilized!\Todoroki wins!\Todoroki advances to the final without showing his flames!\I need to think about it. response:	Are you hesitating? Fool.
context: you forgot that I could do little tricks like this, too, didn't you?\I was trying to be careful of your Recipro, though.\But I still couldn't dodge it.\Iida is immobilized!\Todoroki wins!\Todoroki advances to the final without showing his flames!\I need to think about it.\Are you hesitating? Fool. response:	Iida...
context: I was trying to be careful of your Recipro, though.\But I still couldn't dodge it.\Iida is immobilized!\Todoroki wins!\Todoroki advances to the final without showing his flames!\I need to think about it.\Are you hesitating? Fool.\Iida... response:	Tensei...
context: But I still couldn't dodge it.\Iida is immobilized!\Todoroki wins!\Todoroki advances to the final without showing his flames!\I need to think about it.\Are you hesitating? Fool.\Iida...\Tensei... response:	Fame... Money...
context: Iida is immobilized!\Todoroki wins!\Todoroki advances to the final without showing his flames!\I need to think about it.\Are you hesitating? Fool.\Iida...\Tensei...\Fame... Money... response:	They're all calling themselves heroes...
context: Todoroki wins!\Todoroki advances to the final without showing his flames!\I need to think about it.\Are you hesitating? Fool.\Iida...\Tensei...\Fame... Money...\They're all calling themselves heroes... response:	Tenya Missed Call
context: Todoroki advances to the final without showing his flames!\I need to think about it.\Are you hesitating? Fool.\Iida...\Tensei...\Fame... Money...\They're all calling themselves heroes...\Tenya Missed Call response:	But you bastards aren't heroes...
context: I need to think about it.\Are you hesitating? Fool.\Iida...\Tensei...\Fame... Money...\They're all calling themselves heroes...\Tenya Missed Call\But you bastards aren't heroes... response:	Just him...
context: Are you hesitating? Fool.\Iida...\Tensei...\Fame... Money...\They're all calling themselves heroes...\Tenya Missed Call\But you bastards aren't heroes...\Just him... response:	The only one I'll let kill me...
context: Iida...\Tensei...\Fame... Money...\They're all calling themselves heroes...\Tenya Missed Call\But you bastards aren't heroes...\Just him...\The only one I'll let kill me... response:	Match two of the semifinals!
context: Tensei...\Fame... Money...\They're all calling themselves heroes...\Tenya Missed Call\But you bastards aren't heroes...\Just him...\The only one I'll let kill me...\Match two of the semifinals! response:	Bakugo versus Tokoyami!
context: Fame... Money...\They're all calling themselves heroes...\Tenya Missed Call\But you bastards aren't heroes...\Just him...\The only one I'll let kill me...\Match two of the semifinals!\Bakugo versus Tokoyami! response:	Bakugo's rush is unstoppable!
context: They're all calling themselves heroes...\Tenya Missed Call\But you bastards aren't heroes...\Just him...\The only one I'll let kill me...\Match two of the semifinals!\Bakugo versus Tokoyami!\Bakugo's rush is unstoppable! response:	That thing is so annoying!
context: Tenya Missed Call\But you bastards aren't heroes...\Just him...\The only one I'll let kill me...\Match two of the semifinals!\Bakugo versus Tokoyami!\Bakugo's rush is unstoppable!\That thing is so annoying! response:	That viciousness...
context: But you bastards aren't heroes...\Just him...\The only one I'll let kill me...\Match two of the semifinals!\Bakugo versus Tokoyami!\Bakugo's rush is unstoppable!\That thing is so annoying!\That viciousness... response:	Tokoyami has advanced this far with his almost invincible Quirk,
context: Just him...\The only one I'll let kill me...\Match two of the semifinals!\Bakugo versus Tokoyami!\Bakugo's rush is unstoppable!\That thing is so annoying!\That viciousness...\Tokoyami has advanced this far with his almost invincible Quirk, response:	but this time he's completely focused on defense!
context: The only one I'll let kill me...\Match two of the semifinals!\Bakugo versus Tokoyami!\Bakugo's rush is unstoppable!\That thing is so annoying!\That viciousness...\Tokoyami has advanced this far with his almost invincible Quirk,\but this time he's completely focused on defense! response:	Tokoyami, what's going on?
context: Match two of the semifinals!\Bakugo versus Tokoyami!\Bakugo's rush is unstoppable!\That thing is so annoying!\That viciousness...\Tokoyami has advanced this far with his almost invincible Quirk,\but this time he's completely focused on defense!\Tokoyami, what's going on? response:	You attacked so much when you were up against us!
context: Bakugo versus Tokoyami!\Bakugo's rush is unstoppable!\That thing is so annoying!\That viciousness...\Tokoyami has advanced this far with his almost invincible Quirk,\but this time he's completely focused on defense!\Tokoyami, what's going on?\You attacked so much when you were up against us! response:	There must be a reason...
context: Bakugo's rush is unstoppable!\That thing is so annoying!\That viciousness...\Tokoyami has advanced this far with his almost invincible Quirk,\but this time he's completely focused on defense!\Tokoyami, what's going on?\You attacked so much when you were up against us!\There must be a reason... response:	Dark Shadow can't switch to the offensive with the light from the explosions...
context: That thing is so annoying!\That viciousness...\Tokoyami has advanced this far with his almost invincible Quirk,\but this time he's completely focused on defense!\Tokoyami, what's going on?\You attacked so much when you were up against us!\There must be a reason...\Dark Shadow can't switch to the offensive with the light from the explosions... response:	It's the worst match-up...
context: That viciousness...\Tokoyami has advanced this far with his almost invincible Quirk,\but this time he's completely focused on defense!\Tokoyami, what's going on?\You attacked so much when you were up against us!\There must be a reason...\Dark Shadow can't switch to the offensive with the light from the explosions...\It's the worst match-up... response:	The weakness he shared with us...
context: Tokoyami has advanced this far with his almost invincible Quirk,\but this time he's completely focused on defense!\Tokoyami, what's going on?\You attacked so much when you were up against us!\There must be a reason...\Dark Shadow can't switch to the offensive with the light from the explosions...\It's the worst match-up...\The weakness he shared with us... response:	If Kacchan doesn't know about it yet, then he still has a chance.
context: but this time he's completely focused on defense!\Tokoyami, what's going on?\You attacked so much when you were up against us!\There must be a reason...\Dark Shadow can't switch to the offensive with the light from the explosions...\It's the worst match-up...\The weakness he shared with us...\If Kacchan doesn't know about it yet, then he still has a chance. response:	I underestimated him.
context: Tokoyami, what's going on?\You attacked so much when you were up against us!\There must be a reason...\Dark Shadow can't switch to the offensive with the light from the explosions...\It's the worst match-up...\The weakness he shared with us...\If Kacchan doesn't know about it yet, then he still has a chance.\I underestimated him. response:	I don't have any time to recharge Dark Shadow's darkness.
context: You attacked so much when you were up against us!\There must be a reason...\Dark Shadow can't switch to the offensive with the light from the explosions...\It's the worst match-up...\The weakness he shared with us...\If Kacchan doesn't know about it yet, then he still has a chance.\I underestimated him.\I don't have any time to recharge Dark Shadow's darkness. response:	If I run out of darkness, it'll be over!
context: There must be a reason...\Dark Shadow can't switch to the offensive with the light from the explosions...\It's the worst match-up...\The weakness he shared with us...\If Kacchan doesn't know about it yet, then he still has a chance.\I underestimated him.\I don't have any time to recharge Dark Shadow's darkness.\If I run out of darkness, it'll be over! response:	Is he trying to wear me down?
context: Dark Shadow can't switch to the offensive with the light from the explosions...\It's the worst match-up...\The weakness he shared with us...\If Kacchan doesn't know about it yet, then he still has a chance.\I underestimated him.\I don't have any time to recharge Dark Shadow's darkness.\If I run out of darkness, it'll be over!\Is he trying to wear me down? response:	He's getting faster and faster!
context: It's the worst match-up...\The weakness he shared with us...\If Kacchan doesn't know about it yet, then he still has a chance.\I underestimated him.\I don't have any time to recharge Dark Shadow's darkness.\If I run out of darkness, it'll be over!\Is he trying to wear me down?\He's getting faster and faster! response:	Grab him, Dark Shadow!
context: The weakness he shared with us...\If Kacchan doesn't know about it yet, then he still has a chance.\I underestimated him.\I don't have any time to recharge Dark Shadow's darkness.\If I run out of darkness, it'll be over!\Is he trying to wear me down?\He's getting faster and faster!\Grab him, Dark Shadow! response:	Wow, Bakugo gets behind Tokoyami!
context: If Kacchan doesn't know about it yet, then he still has a chance.\I underestimated him.\I don't have any time to recharge Dark Shadow's darkness.\If I run out of darkness, it'll be over!\Is he trying to wear me down?\He's getting faster and faster!\Grab him, Dark Shadow!\Wow, Bakugo gets behind Tokoyami! response:	Stun Grenade!
context: I underestimated him.\I don't have any time to recharge Dark Shadow's darkness.\If I run out of darkness, it'll be over!\Is he trying to wear me down?\He's getting faster and faster!\Grab him, Dark Shadow!\Wow, Bakugo gets behind Tokoyami!\Stun Grenade! response:	Hey, everything's covered in smoke!
context: I don't have any time to recharge Dark Shadow's darkness.\If I run out of darkness, it'll be over!\Is he trying to wear me down?\He's getting faster and faster!\Grab him, Dark Shadow!\Wow, Bakugo gets behind Tokoyami!\Stun Grenade!\Hey, everything's covered in smoke! response:	What happened?
context: If I run out of darkness, it'll be over!\Is he trying to wear me down?\He's getting faster and faster!\Grab him, Dark Shadow!\Wow, Bakugo gets behind Tokoyami!\Stun Grenade!\Hey, everything's covered in smoke!\What happened? response:	Did you know...
context: Is he trying to wear me down?\He's getting faster and faster!\Grab him, Dark Shadow!\Wow, Bakugo gets behind Tokoyami!\Stun Grenade!\Hey, everything's covered in smoke!\What happened?\Did you know... response:	I figured it out after attacking over and over, moron.
context: He's getting faster and faster!\Grab him, Dark Shadow!\Wow, Bakugo gets behind Tokoyami!\Stun Grenade!\Hey, everything's covered in smoke!\What happened?\Did you know...\I figured it out after attacking over and over, moron. response:	Well, it was a bad match-up. I feel bad for you.
context: Grab him, Dark Shadow!\Wow, Bakugo gets behind Tokoyami!\Stun Grenade!\Hey, everything's covered in smoke!\What happened?\Did you know...\I figured it out after attacking over and over, moron.\Well, it was a bad match-up. I feel bad for you. response:	Checkmate.
context: Wow, Bakugo gets behind Tokoyami!\Stun Grenade!\Hey, everything's covered in smoke!\What happened?\Did you know...\I figured it out after attacking over and over, moron.\Well, it was a bad match-up. I feel bad for you.\Checkmate. response:	I give up.
context: Stun Grenade!\Hey, everything's covered in smoke!\What happened?\Did you know...\I figured it out after attacking over and over, moron.\Well, it was a bad match-up. I feel bad for you.\Checkmate.\I give up. response:	Tokoyami gives up!
context: Hey, everything's covered in smoke!\What happened?\Did you know...\I figured it out after attacking over and over, moron.\Well, it was a bad match-up. I feel bad for you.\Checkmate.\I give up.\Tokoyami gives up! response:	Bakugo wins!
context: What happened?\Did you know...\I figured it out after attacking over and over, moron.\Well, it was a bad match-up. I feel bad for you.\Checkmate.\I give up.\Tokoyami gives up!\Bakugo wins! response:	With this, the final match will be between Todoroki and Bakugo!
context: Did you know...\I figured it out after attacking over and over, moron.\Well, it was a bad match-up. I feel bad for you.\Checkmate.\I give up.\Tokoyami gives up!\Bakugo wins!\With this, the final match will be between Todoroki and Bakugo! response:	It's too bad about Tokoyami...
context: I figured it out after attacking over and over, moron.\Well, it was a bad match-up. I feel bad for you.\Checkmate.\I give up.\Tokoyami gives up!\Bakugo wins!\With this, the final match will be between Todoroki and Bakugo!\It's too bad about Tokoyami... response:	I thought Tokoyami would win.
context: Well, it was a bad match-up. I feel bad for you.\Checkmate.\I give up.\Tokoyami gives up!\Bakugo wins!\With this, the final match will be between Todoroki and Bakugo!\It's too bad about Tokoyami...\I thought Tokoyami would win. response:	I guess this means he isn't invincible.
context: Checkmate.\I give up.\Tokoyami gives up!\Bakugo wins!\With this, the final match will be between Todoroki and Bakugo!\It's too bad about Tokoyami...\I thought Tokoyami would win.\I guess this means he isn't invincible. response:	So light is his weakness, huh? I see...
context: I give up.\Tokoyami gives up!\Bakugo wins!\With this, the final match will be between Todoroki and Bakugo!\It's too bad about Tokoyami...\I thought Tokoyami would win.\I guess this means he isn't invincible.\So light is his weakness, huh? I see... response:	Bakugo likes to go after stuff like that...
context: Tokoyami gives up!\Bakugo wins!\With this, the final match will be between Todoroki and Bakugo!\It's too bad about Tokoyami...\I thought Tokoyami would win.\I guess this means he isn't invincible.\So light is his weakness, huh? I see...\Bakugo likes to go after stuff like that... response:	You picked a fight with someone outrageous, huh?
context: Bakugo wins!\With this, the final match will be between Todoroki and Bakugo!\It's too bad about Tokoyami...\I thought Tokoyami would win.\I guess this means he isn't invincible.\So light is his weakness, huh? I see...\Bakugo likes to go after stuff like that...\You picked a fight with someone outrageous, huh? response:	Naw, he was just lucky his Quirk was so good against his opponent.
context: With this, the final match will be between Todoroki and Bakugo!\It's too bad about Tokoyami...\I thought Tokoyami would win.\I guess this means he isn't invincible.\So light is his weakness, huh? I see...\Bakugo likes to go after stuff like that...\You picked a fight with someone outrageous, huh?\Naw, he was just lucky his Quirk was so good against his opponent. response:	It ended up being a Class A paradise, huh?
context: It's too bad about Tokoyami...\I thought Tokoyami would win.\I guess this means he isn't invincible.\So light is his weakness, huh? I see...\Bakugo likes to go after stuff like that...\You picked a fight with someone outrageous, huh?\Naw, he was just lucky his Quirk was so good against his opponent.\It ended up being a Class A paradise, huh? response:	Damn it.
context: I thought Tokoyami would win.\I guess this means he isn't invincible.\So light is his weakness, huh? I see...\Bakugo likes to go after stuff like that...\You picked a fight with someone outrageous, huh?\Naw, he was just lucky his Quirk was so good against his opponent.\It ended up being a Class A paradise, huh?\Damn it. response:	It doesn't matter who won or lost. This year's first years are all amazing!
context: I guess this means he isn't invincible.\So light is his weakness, huh? I see...\Bakugo likes to go after stuff like that...\You picked a fight with someone outrageous, huh?\Naw, he was just lucky his Quirk was so good against his opponent.\It ended up being a Class A paradise, huh?\Damn it.\It doesn't matter who won or lost. This year's first years are all amazing! response:	Final Shoto Todoroki Katsuki Bakugo
context: So light is his weakness, huh? I see...\Bakugo likes to go after stuff like that...\You picked a fight with someone outrageous, huh?\Naw, he was just lucky his Quirk was so good against his opponent.\It ended up being a Class A paradise, huh?\Damn it.\It doesn't matter who won or lost. This year's first years are all amazing!\Final Shoto Todoroki Katsuki Bakugo response:	Looks like the draft will be exciting this year!
context: Bakugo likes to go after stuff like that...\You picked a fight with someone outrageous, huh?\Naw, he was just lucky his Quirk was so good against his opponent.\It ended up being a Class A paradise, huh?\Damn it.\It doesn't matter who won or lost. This year's first years are all amazing!\Final Shoto Todoroki Katsuki Bakugo\Looks like the draft will be exciting this year! response:	I wonder what'll happen in a match between those two...
context: You picked a fight with someone outrageous, huh?\Naw, he was just lucky his Quirk was so good against his opponent.\It ended up being a Class A paradise, huh?\Damn it.\It doesn't matter who won or lost. This year's first years are all amazing!\Final Shoto Todoroki Katsuki Bakugo\Looks like the draft will be exciting this year!\I wonder what'll happen in a match between those two... response:	We'll have to watch carefully and get our revenge next time.
context: Naw, he was just lucky his Quirk was so good against his opponent.\It ended up being a Class A paradise, huh?\Damn it.\It doesn't matter who won or lost. This year's first years are all amazing!\Final Shoto Todoroki Katsuki Bakugo\Looks like the draft will be exciting this year!\I wonder what'll happen in a match between those two...\We'll have to watch carefully and get our revenge next time. response:	Iida!
context: It ended up being a Class A paradise, huh?\Damn it.\It doesn't matter who won or lost. This year's first years are all amazing!\Final Shoto Todoroki Katsuki Bakugo\Looks like the draft will be exciting this year!\I wonder what'll happen in a match between those two...\We'll have to watch carefully and get our revenge next time.\Iida! response:	Whoa, what is it?!
context: Damn it.\It doesn't matter who won or lost. This year's first years are all amazing!\Final Shoto Todoroki Katsuki Bakugo\Looks like the draft will be exciting this year!\I wonder what'll happen in a match between those two...\We'll have to watch carefully and get our revenge next time.\Iida!\Whoa, what is it?! response:	My phone.
context: It doesn't matter who won or lost. This year's first years are all amazing!\Final Shoto Todoroki Katsuki Bakugo\Looks like the draft will be exciting this year!\I wonder what'll happen in a match between those two...\We'll have to watch carefully and get our revenge next time.\Iida!\Whoa, what is it?!\My phone. response:	His phone, huh?
context: Final Shoto Todoroki Katsuki Bakugo\Looks like the draft will be exciting this year!\I wonder what'll happen in a match between those two...\We'll have to watch carefully and get our revenge next time.\Iida!\Whoa, what is it?!\My phone.\His phone, huh? response:	Mother?
context: Looks like the draft will be exciting this year!\I wonder what'll happen in a match between those two...\We'll have to watch carefully and get our revenge next time.\Iida!\Whoa, what is it?!\My phone.\His phone, huh?\Mother? response:	Hello? Regretfully, I lost, Mother. I was weak...
context: I wonder what'll happen in a match between those two...\We'll have to watch carefully and get our revenge next time.\Iida!\Whoa, what is it?!\My phone.\His phone, huh?\Mother?\Hello? Regretfully, I lost, Mother. I was weak... response:	No, it's not about that.
context: We'll have to watch carefully and get our revenge next time.\Iida!\Whoa, what is it?!\My phone.\His phone, huh?\Mother?\Hello? Regretfully, I lost, Mother. I was weak...\No, it's not about that. response:	Oh, sorry.
context: Iida!\Whoa, what is it?!\My phone.\His phone, huh?\Mother?\Hello? Regretfully, I lost, Mother. I was weak...\No, it's not about that.\Oh, sorry. response:	Tenya, please listen calmly.
context: Whoa, what is it?!\My phone.\His phone, huh?\Mother?\Hello? Regretfully, I lost, Mother. I was weak...\No, it's not about that.\Oh, sorry.\Tenya, please listen calmly. response:	Tensei... your brother... A villain got him!
context: My phone.\His phone, huh?\Mother?\Hello? Regretfully, I lost, Mother. I was weak...\No, it's not about that.\Oh, sorry.\Tenya, please listen calmly.\Tensei... your brother... A villain got him! response:	You guys haven't even noticed
context: His phone, huh?\Mother?\Hello? Regretfully, I lost, Mother. I was weak...\No, it's not about that.\Oh, sorry.\Tenya, please listen calmly.\Tensei... your brother... A villain got him!\You guys haven't even noticed response:	this warped society covered with hypocrisy and vanity.
context: Mother?\Hello? Regretfully, I lost, Mother. I was weak...\No, it's not about that.\Oh, sorry.\Tenya, please listen calmly.\Tensei... your brother... A villain got him!\You guys haven't even noticed\this warped society covered with hypocrisy and vanity. response:	To all who are called heroes...
context: Hello? Regretfully, I lost, Mother. I was weak...\No, it's not about that.\Oh, sorry.\Tenya, please listen calmly.\Tensei... your brother... A villain got him!\You guys haven't even noticed\this warped society covered with hypocrisy and vanity.\To all who are called heroes... response:	Please stay calm.
context: No, it's not about that.\Oh, sorry.\Tenya, please listen calmly.\Tensei... your brother... A villain got him!\You guys haven't even noticed\this warped society covered with hypocrisy and vanity.\To all who are called heroes...\Please stay calm. response:	We are of the same mind.
context: Oh, sorry.\Tenya, please listen calmly.\Tensei... your brother... A villain got him!\You guys haven't even noticed\this warped society covered with hypocrisy and vanity.\To all who are called heroes...\Please stay calm.\We are of the same mind. response:	I have been looking for you, Hero Killer Stain.
context: Tenya, please listen calmly.\Tensei... your brother... A villain got him!\You guys haven't even noticed\this warped society covered with hypocrisy and vanity.\To all who are called heroes...\Please stay calm.\We are of the same mind.\I have been looking for you, Hero Killer Stain. response:	I have heard of your notoriety and wanted to meet you.
context: Tensei... your brother... A villain got him!\You guys haven't even noticed\this warped society covered with hypocrisy and vanity.\To all who are called heroes...\Please stay calm.\We are of the same mind.\I have been looking for you, Hero Killer Stain.\I have heard of your notoriety and wanted to meet you. response:	May I have a moment of your time?
context: You guys haven't even noticed\this warped society covered with hypocrisy and vanity.\To all who are called heroes...\Please stay calm.\We are of the same mind.\I have been looking for you, Hero Killer Stain.\I have heard of your notoriety and wanted to meet you.\May I have a moment of your time? response:	Hero Killer...
context: this warped society covered with hypocrisy and vanity.\To all who are called heroes...\Please stay calm.\We are of the same mind.\I have been looking for you, Hero Killer Stain.\I have heard of your notoriety and wanted to meet you.\May I have a moment of your time?\Hero Killer... response:	Preview
context: To all who are called heroes...\Please stay calm.\We are of the same mind.\I have been looking for you, Hero Killer Stain.\I have heard of your notoriety and wanted to meet you.\May I have a moment of your time?\Hero Killer...\Preview response:	The preview is here!
context: Please stay calm.\We are of the same mind.\I have been looking for you, Hero Killer Stain.\I have heard of your notoriety and wanted to meet you.\May I have a moment of your time?\Hero Killer...\Preview\The preview is here! response:	The U.A. sports festival is finally at its climax!
context: We are of the same mind.\I have been looking for you, Hero Killer Stain.\I have heard of your notoriety and wanted to meet you.\May I have a moment of your time?\Hero Killer...\Preview\The preview is here!\The U.A. sports festival is finally at its climax! response:	The final will be a match between Young Todoroki and Young Bakugo, huh?
context: I have been looking for you, Hero Killer Stain.\I have heard of your notoriety and wanted to meet you.\May I have a moment of your time?\Hero Killer...\Preview\The preview is here!\The U.A. sports festival is finally at its climax!\The final will be a match between Young Todoroki and Young Bakugo, huh? response:	Who do you think will win, Young Midoriya?
context: I have heard of your notoriety and wanted to meet you.\May I have a moment of your time?\Hero Killer...\Preview\The preview is here!\The U.A. sports festival is finally at its climax!\The final will be a match between Young Todoroki and Young Bakugo, huh?\Who do you think will win, Young Midoriya? response:	Well, Kacchan has an all-purpose Quirk that can be used for attacking and moving,
context: May I have a moment of your time?\Hero Killer...\Preview\The preview is here!\The U.A. sports festival is finally at its climax!\The final will be a match between Young Todoroki and Young Bakugo, huh?\Who do you think will win, Young Midoriya?\Well, Kacchan has an all-purpose Quirk that can be used for attacking and moving, response:	and he's clever enough to come up with tactics and strategy...
context: Hero Killer...\Preview\The preview is here!\The U.A. sports festival is finally at its climax!\The final will be a match between Young Todoroki and Young Bakugo, huh?\Who do you think will win, Young Midoriya?\Well, Kacchan has an all-purpose Quirk that can be used for attacking and moving,\and he's clever enough to come up with tactics and strategy... response:	-However... -Sorry! It's my fault for asking!
context: Preview\The preview is here!\The U.A. sports festival is finally at its climax!\The final will be a match between Young Todoroki and Young Bakugo, huh?\Who do you think will win, Young Midoriya?\Well, Kacchan has an all-purpose Quirk that can be used for attacking and moving,\and he's clever enough to come up with tactics and strategy...\-However... -Sorry! It's my fault for asking! response:	Okay, tell us the title!
context: The preview is here!\The U.A. sports festival is finally at its climax!\The final will be a match between Young Todoroki and Young Bakugo, huh?\Who do you think will win, Young Midoriya?\Well, Kacchan has an all-purpose Quirk that can be used for attacking and moving,\and he's clever enough to come up with tactics and strategy...\-However... -Sorry! It's my fault for asking!\Okay, tell us the title! response:	Oh, next time, it's Todoroki vs. Bakugo!
context: The U.A. sports festival is finally at its climax!\The final will be a match between Young Todoroki and Young Bakugo, huh?\Who do you think will win, Young Midoriya?\Well, Kacchan has an all-purpose Quirk that can be used for attacking and moving,\and he's clever enough to come up with tactics and strategy...\-However... -Sorry! It's my fault for asking!\Okay, tell us the title!\Oh, next time, it's Todoroki vs. Bakugo! response:	Young Bakugo is seduced by female charms and goes beddy-bye!
context: The final will be a match between Young Todoroki and Young Bakugo, huh?\Who do you think will win, Young Midoriya?\Well, Kacchan has an all-purpose Quirk that can be used for attacking and moving,\and he's clever enough to come up with tactics and strategy...\-However... -Sorry! It's my fault for asking!\Okay, tell us the title!\Oh, next time, it's Todoroki vs. Bakugo!\Young Bakugo is seduced by female charms and goes beddy-bye! response:	Next time: Todoroki vs. Bakugo
context: Who do you think will win, Young Midoriya?\Well, Kacchan has an all-purpose Quirk that can be used for attacking and moving,\and he's clever enough to come up with tactics and strategy...\-However... -Sorry! It's my fault for asking!\Okay, tell us the title!\Oh, next time, it's Todoroki vs. Bakugo!\Young Bakugo is seduced by female charms and goes beddy-bye!\Next time: Todoroki vs. Bakugo response:	Go beyond!
context: Well, Kacchan has an all-purpose Quirk that can be used for attacking and moving,\and he's clever enough to come up with tactics and strategy...\-However... -Sorry! It's my fault for asking!\Okay, tell us the title!\Oh, next time, it's Todoroki vs. Bakugo!\Young Bakugo is seduced by female charms and goes beddy-bye!\Next time: Todoroki vs. Bakugo\Go beyond! response:	Plus Ultra!
