context: No one here is running half-assed! response:	Excuse me.
context: Just thinking that these two were saying something to me\made my vision blurry.\Thank you.\What?\I could see you.\You were saying something, weren't you?\Musa's got really good eyes.\Yeah. He can see Aotake from the top of the Skytree. response:	Don't lie.
context: made my vision blurry.\Thank you.\What?\I could see you.\You were saying something, weren't you?\Musa's got really good eyes.\Yeah. He can see Aotake from the top of the Skytree.\Don't lie. response:	He was calling everyone's names.
context: Thank you.\What?\I could see you.\You were saying something, weren't you?\Musa's got really good eyes.\Yeah. He can see Aotake from the top of the Skytree.\Don't lie.\He was calling everyone's names. response:	S-So were you.
context: What?\I could see you.\You were saying something, weren't you?\Musa's got really good eyes.\Yeah. He can see Aotake from the top of the Skytree.\Don't lie.\He was calling everyone's names.\S-So were you. response:	I was just barely speaking.
context: I could see you.\You were saying something, weren't you?\Musa's got really good eyes.\Yeah. He can see Aotake from the top of the Skytree.\Don't lie.\He was calling everyone's names.\S-So were you.\I was just barely speaking. response:	He was shouting.
context: You were saying something, weren't you?\Musa's got really good eyes.\Yeah. He can see Aotake from the top of the Skytree.\Don't lie.\He was calling everyone's names.\S-So were you.\I was just barely speaking.\He was shouting. response:	That's not fair.
context: Musa's got really good eyes.\Yeah. He can see Aotake from the top of the Skytree.\Don't lie.\He was calling everyone's names.\S-So were you.\I was just barely speaking.\He was shouting.\That's not fair. response:	I was so embarrassed to be standing next to him.
context: Yeah. He can see Aotake from the top of the Skytree.\Don't lie.\He was calling everyone's names.\S-So were you.\I was just barely speaking.\He was shouting.\That's not fair.\I was so embarrassed to be standing next to him. response:	I didn't know what to do.
context: Don't lie.\He was calling everyone's names.\S-So were you.\I was just barely speaking.\He was shouting.\That's not fair.\I was so embarrassed to be standing next to him.\I didn't know what to do. response:	He's a good guy at heart, too.
context: He was calling everyone's names.\S-So were you.\I was just barely speaking.\He was shouting.\That's not fair.\I was so embarrassed to be standing next to him.\I didn't know what to do.\He's a good guy at heart, too. response:	Hey.
context: S-So were you.\I was just barely speaking.\He was shouting.\That's not fair.\I was so embarrassed to be standing next to him.\I didn't know what to do.\He's a good guy at heart, too.\Hey. response:	Everyone who ran and everyone who cheered, you guys did a great job.
context: I was just barely speaking.\He was shouting.\That's not fair.\I was so embarrassed to be standing next to him.\I didn't know what to do.\He's a good guy at heart, too.\Hey.\Everyone who ran and everyone who cheered, you guys did a great job. response:	Because of your efforts, everyone's times improved considerably.
context: He was shouting.\That's not fair.\I was so embarrassed to be standing next to him.\I didn't know what to do.\He's a good guy at heart, too.\Hey.\Everyone who ran and everyone who cheered, you guys did a great job.\Because of your efforts, everyone's times improved considerably. response:	This is a huge step forward.
context: That's not fair.\I was so embarrassed to be standing next to him.\I didn't know what to do.\He's a good guy at heart, too.\Hey.\Everyone who ran and everyone who cheered, you guys did a great job.\Because of your efforts, everyone's times improved considerably.\This is a huge step forward. response:	We've got our own way of doing things. Have faith.
context: I was so embarrassed to be standing next to him.\I didn't know what to do.\He's a good guy at heart, too.\Hey.\Everyone who ran and everyone who cheered, you guys did a great job.\Because of your efforts, everyone's times improved considerably.\This is a huge step forward.\We've got our own way of doing things. Have faith. response:	We'll have plenty more chances.
context: I didn't know what to do.\He's a good guy at heart, too.\Hey.\Everyone who ran and everyone who cheered, you guys did a great job.\Because of your efforts, everyone's times improved considerably.\This is a huge step forward.\We've got our own way of doing things. Have faith.\We'll have plenty more chances. response:	Yes, sir!
context: He's a good guy at heart, too.\Hey.\Everyone who ran and everyone who cheered, you guys did a great job.\Because of your efforts, everyone's times improved considerably.\This is a huge step forward.\We've got our own way of doing things. Have faith.\We'll have plenty more chances.\Yes, sir! response:	You scared me.
context: Hey.\Everyone who ran and everyone who cheered, you guys did a great job.\Because of your efforts, everyone's times improved considerably.\This is a huge step forward.\We've got our own way of doing things. Have faith.\We'll have plenty more chances.\Yes, sir!\You scared me. response:	Well, it's not my style to end on a loss.
context: Everyone who ran and everyone who cheered, you guys did a great job.\Because of your efforts, everyone's times improved considerably.\This is a huge step forward.\We've got our own way of doing things. Have faith.\We'll have plenty more chances.\Yes, sir!\You scared me.\Well, it's not my style to end on a loss. response:	Oh, yeah? Should we run home, then?
context: Because of your efforts, everyone's times improved considerably.\This is a huge step forward.\We've got our own way of doing things. Have faith.\We'll have plenty more chances.\Yes, sir!\You scared me.\Well, it's not my style to end on a loss.\Oh, yeah? Should we run home, then? response:	No way.
context: This is a huge step forward.\We've got our own way of doing things. Have faith.\We'll have plenty more chances.\Yes, sir!\You scared me.\Well, it's not my style to end on a loss.\Oh, yeah? Should we run home, then?\No way. response:	I wish I could've been a spectator this time.
context: We've got our own way of doing things. Have faith.\We'll have plenty more chances.\Yes, sir!\You scared me.\Well, it's not my style to end on a loss.\Oh, yeah? Should we run home, then?\No way.\I wish I could've been a spectator this time. response:	Cheers!
context: We'll have plenty more chances.\Yes, sir!\You scared me.\Well, it's not my style to end on a loss.\Oh, yeah? Should we run home, then?\No way.\I wish I could've been a spectator this time.\Cheers! response:	How was it?
context: Yes, sir!\You scared me.\Well, it's not my style to end on a loss.\Oh, yeah? Should we run home, then?\No way.\I wish I could've been a spectator this time.\Cheers!\How was it? response:	Huh?
context: You scared me.\Well, it's not my style to end on a loss.\Oh, yeah? Should we run home, then?\No way.\I wish I could've been a spectator this time.\Cheers!\How was it?\Huh? response:	Watching from the outside.
context: Well, it's not my style to end on a loss.\Oh, yeah? Should we run home, then?\No way.\I wish I could've been a spectator this time.\Cheers!\How was it?\Huh?\Watching from the outside. response:	Did you see anyone running half-assed?
context: Oh, yeah? Should we run home, then?\No way.\I wish I could've been a spectator this time.\Cheers!\How was it?\Huh?\Watching from the outside.\Did you see anyone running half-assed? response:	I didn't see anyone.
context: No way.\I wish I could've been a spectator this time.\Cheers!\How was it?\Huh?\Watching from the outside.\Did you see anyone running half-assed?\I didn't see anyone. response:	Everyone was going as hard as they could.
context: I wish I could've been a spectator this time.\Cheers!\How was it?\Huh?\Watching from the outside.\Did you see anyone running half-assed?\I didn't see anyone.\Everyone was going as hard as they could. response:	Not just us. Everyone running was.
context: Cheers!\How was it?\Huh?\Watching from the outside.\Did you see anyone running half-assed?\I didn't see anyone.\Everyone was going as hard as they could.\Not just us. Everyone running was. response:	I understand what you're trying to say.
context: How was it?\Huh?\Watching from the outside.\Did you see anyone running half-assed?\I didn't see anyone.\Everyone was going as hard as they could.\Not just us. Everyone running was.\I understand what you're trying to say. response:	When they failed to achieve official records,
context: Huh?\Watching from the outside.\Did you see anyone running half-assed?\I didn't see anyone.\Everyone was going as hard as they could.\Not just us. Everyone running was.\I understand what you're trying to say.\When they failed to achieve official records, response:	I was as disappointed as if it were me.
context: Watching from the outside.\Did you see anyone running half-assed?\I didn't see anyone.\Everyone was going as hard as they could.\Not just us. Everyone running was.\I understand what you're trying to say.\When they failed to achieve official records,\I was as disappointed as if it were me. response:	I felt for the first time the earnestness of the people cheering around me.
context: Did you see anyone running half-assed?\I didn't see anyone.\Everyone was going as hard as they could.\Not just us. Everyone running was.\I understand what you're trying to say.\When they failed to achieve official records,\I was as disappointed as if it were me.\I felt for the first time the earnestness of the people cheering around me. response:	That's why I understand what you're trying to say.
context: I didn't see anyone.\Everyone was going as hard as they could.\Not just us. Everyone running was.\I understand what you're trying to say.\When they failed to achieve official records,\I was as disappointed as if it were me.\I felt for the first time the earnestness of the people cheering around me.\That's why I understand what you're trying to say. response:	But I still don't think we can do it.
context: Everyone was going as hard as they could.\Not just us. Everyone running was.\I understand what you're trying to say.\When they failed to achieve official records,\I was as disappointed as if it were me.\I felt for the first time the earnestness of the people cheering around me.\That's why I understand what you're trying to say.\But I still don't think we can do it. response:	Even if everyone achieves an official record,
context: Not just us. Everyone running was.\I understand what you're trying to say.\When they failed to achieve official records,\I was as disappointed as if it were me.\I felt for the first time the earnestness of the people cheering around me.\That's why I understand what you're trying to say.\But I still don't think we can do it.\Even if everyone achieves an official record, response:	Hakone is...
context: I understand what you're trying to say.\When they failed to achieve official records,\I was as disappointed as if it were me.\I felt for the first time the earnestness of the people cheering around me.\That's why I understand what you're trying to say.\But I still don't think we can do it.\Even if everyone achieves an official record,\Hakone is... response:	Haiji?
context: When they failed to achieve official records,\I was as disappointed as if it were me.\I felt for the first time the earnestness of the people cheering around me.\That's why I understand what you're trying to say.\But I still don't think we can do it.\Even if everyone achieves an official record,\Hakone is...\Haiji? response:	Haiji!
context: I was as disappointed as if it were me.\I felt for the first time the earnestness of the people cheering around me.\That's why I understand what you're trying to say.\But I still don't think we can do it.\Even if everyone achieves an official record,\Hakone is...\Haiji?\Haiji! response:	Our Speed
context: I felt for the first time the earnestness of the people cheering around me.\That's why I understand what you're trying to say.\But I still don't think we can do it.\Even if everyone achieves an official record,\Hakone is...\Haiji?\Haiji!\Our Speed response:	Next time: Our Speed.
