context: These days you love me no more response:	nor am I still treasured by you
context: that you've gathered from these incidents.\The signal from your pen is connected to the Leukocyte.\The Leukocyte was programmed to fire at it when you pushed the buttons.\Which means if we get the firing satellite, the falling satellite,\and this pen all lined up,\we should be able to shoot it down.\But...\doesn't that mean someone would be making himself the target?! response:	Gai's outside?! What's going on?!
context: The signal from your pen is connected to the Leukocyte.\The Leukocyte was programmed to fire at it when you pushed the buttons.\Which means if we get the firing satellite, the falling satellite,\and this pen all lined up,\we should be able to shoot it down.\But...\doesn't that mean someone would be making himself the target?!\Gai's outside?! What's going on?! response:	I don't know. But right now we need to cover him!
context: The Leukocyte was programmed to fire at it when you pushed the buttons.\Which means if we get the firing satellite, the falling satellite,\and this pen all lined up,\we should be able to shoot it down.\But...\doesn't that mean someone would be making himself the target?!\Gai's outside?! What's going on?!\I don't know. But right now we need to cover him! response:	Are you just gonna stand by and watch again?
context: Which means if we get the firing satellite, the falling satellite,\and this pen all lined up,\we should be able to shoot it down.\But...\doesn't that mean someone would be making himself the target?!\Gai's outside?! What's going on?!\I don't know. But right now we need to cover him!\Are you just gonna stand by and watch again? response:	Are you okay with that, Ouma Shu?
context: and this pen all lined up,\we should be able to shoot it down.\But...\doesn't that mean someone would be making himself the target?!\Gai's outside?! What's going on?!\I don't know. But right now we need to cover him!\Are you just gonna stand by and watch again?\Are you okay with that, Ouma Shu? response:	Do you want to save them, Shu?
context: we should be able to shoot it down.\But...\doesn't that mean someone would be making himself the target?!\Gai's outside?! What's going on?!\I don't know. But right now we need to cover him!\Are you just gonna stand by and watch again?\Are you okay with that, Ouma Shu?\Do you want to save them, Shu? response:	Inori?
context: But...\doesn't that mean someone would be making himself the target?!\Gai's outside?! What's going on?!\I don't know. But right now we need to cover him!\Are you just gonna stand by and watch again?\Are you okay with that, Ouma Shu?\Do you want to save them, Shu?\Inori? response:	Shu... do you want to save everyone? And Gai?
context: doesn't that mean someone would be making himself the target?!\Gai's outside?! What's going on?!\I don't know. But right now we need to cover him!\Are you just gonna stand by and watch again?\Are you okay with that, Ouma Shu?\Do you want to save them, Shu?\Inori?\Shu... do you want to save everyone? And Gai? response:	Yeah.
context: Gai's outside?! What's going on?!\I don't know. But right now we need to cover him!\Are you just gonna stand by and watch again?\Are you okay with that, Ouma Shu?\Do you want to save them, Shu?\Inori?\Shu... do you want to save everyone? And Gai?\Yeah. response:	I heard that.
context: I don't know. But right now we need to cover him!\Are you just gonna stand by and watch again?\Are you okay with that, Ouma Shu?\Do you want to save them, Shu?\Inori?\Shu... do you want to save everyone? And Gai?\Yeah.\I heard that. response:	The fight is on. Will I be the one selected out,
context: Are you just gonna stand by and watch again?\Are you okay with that, Ouma Shu?\Do you want to save them, Shu?\Inori?\Shu... do you want to save everyone? And Gai?\Yeah.\I heard that.\The fight is on. Will I be the one selected out, response:	or will it be the world?
context: Are you okay with that, Ouma Shu?\Do you want to save them, Shu?\Inori?\Shu... do you want to save everyone? And Gai?\Yeah.\I heard that.\The fight is on. Will I be the one selected out,\or will it be the world? response:	Gai!
context: Do you want to save them, Shu?\Inori?\Shu... do you want to save everyone? And Gai?\Yeah.\I heard that.\The fight is on. Will I be the one selected out,\or will it be the world?\Gai! response:	Shu?!
context: Inori?\Shu... do you want to save everyone? And Gai?\Yeah.\I heard that.\The fight is on. Will I be the one selected out,\or will it be the world?\Gai!\Shu?! response:	That Void...
context: Shu... do you want to save everyone? And Gai?\Yeah.\I heard that.\The fight is on. Will I be the one selected out,\or will it be the world?\Gai!\Shu?!\That Void... response:	Someone told me to use this.
context: Yeah.\I heard that.\The fight is on. Will I be the one selected out,\or will it be the world?\Gai!\Shu?!\That Void...\Someone told me to use this. response:	And you know who, don't you?!
context: I heard that.\The fight is on. Will I be the one selected out,\or will it be the world?\Gai!\Shu?!\That Void...\Someone told me to use this.\And you know who, don't you?! response:	Tsugumi, how long before they align?
context: The fight is on. Will I be the one selected out,\or will it be the world?\Gai!\Shu?!\That Void...\Someone told me to use this.\And you know who, don't you?!\Tsugumi, how long before they align? response:	Thirty seconds!
context: or will it be the world?\Gai!\Shu?!\That Void...\Someone told me to use this.\And you know who, don't you?!\Tsugumi, how long before they align?\Thirty seconds! response:	Everybody hear that? Hold out for thirty seconds!
context: Gai!\Shu?!\That Void...\Someone told me to use this.\And you know who, don't you?!\Tsugumi, how long before they align?\Thirty seconds!\Everybody hear that? Hold out for thirty seconds! response:	Yes, Black Swan.
context: Shu?!\That Void...\Someone told me to use this.\And you know who, don't you?!\Tsugumi, how long before they align?\Thirty seconds!\Everybody hear that? Hold out for thirty seconds!\Yes, Black Swan. response:	Oh no you don't!
context: That Void...\Someone told me to use this.\And you know who, don't you?!\Tsugumi, how long before they align?\Thirty seconds!\Everybody hear that? Hold out for thirty seconds!\Yes, Black Swan.\Oh no you don't! response:	This isn't my wish alone.
context: Someone told me to use this.\And you know who, don't you?!\Tsugumi, how long before they align?\Thirty seconds!\Everybody hear that? Hold out for thirty seconds!\Yes, Black Swan.\Oh no you don't!\This isn't my wish alone. response:	This isn't my power alone!
context: And you know who, don't you?!\Tsugumi, how long before they align?\Thirty seconds!\Everybody hear that? Hold out for thirty seconds!\Yes, Black Swan.\Oh no you don't!\This isn't my wish alone.\This isn't my power alone! response:	Now!
context: Tsugumi, how long before they align?\Thirty seconds!\Everybody hear that? Hold out for thirty seconds!\Yes, Black Swan.\Oh no you don't!\This isn't my wish alone.\This isn't my power alone!\Now! response:	70-year-old finishes marathon!
context: Thirty seconds!\Everybody hear that? Hold out for thirty seconds!\Yes, Black Swan.\Oh no you don't!\This isn't my wish alone.\This isn't my power alone!\Now!\70-year-old finishes marathon! response:	Hell yeah!
context: Everybody hear that? Hold out for thirty seconds!\Yes, Black Swan.\Oh no you don't!\This isn't my wish alone.\This isn't my power alone!\Now!\70-year-old finishes marathon!\Hell yeah! response:	Why did you come? One sinner is plenty.
context: Yes, Black Swan.\Oh no you don't!\This isn't my wish alone.\This isn't my power alone!\Now!\70-year-old finishes marathon!\Hell yeah!\Why did you come? One sinner is plenty. response:	I said I'd help, didn't I?
context: Oh no you don't!\This isn't my wish alone.\This isn't my power alone!\Now!\70-year-old finishes marathon!\Hell yeah!\Why did you come? One sinner is plenty.\I said I'd help, didn't I? response:	I guess this makes me your accomplice.
context: This isn't my wish alone.\This isn't my power alone!\Now!\70-year-old finishes marathon!\Hell yeah!\Why did you come? One sinner is plenty.\I said I'd help, didn't I?\I guess this makes me your accomplice. response:	Thank you, Shuichiro.
context: This isn't my power alone!\Now!\70-year-old finishes marathon!\Hell yeah!\Why did you come? One sinner is plenty.\I said I'd help, didn't I?\I guess this makes me your accomplice.\Thank you, Shuichiro. response:	Cocytus trembled.
context: Now!\70-year-old finishes marathon!\Hell yeah!\Why did you come? One sinner is plenty.\I said I'd help, didn't I?\I guess this makes me your accomplice.\Thank you, Shuichiro.\Cocytus trembled. response:	She should awaken any time now.
context: 70-year-old finishes marathon!\Hell yeah!\Why did you come? One sinner is plenty.\I said I'd help, didn't I?\I guess this makes me your accomplice.\Thank you, Shuichiro.\Cocytus trembled.\She should awaken any time now. response:	Seeking her beloved king...
