context: Half-demon Inuyasha... response:	born half demon and half human.
context: I could care less about this rusty sword!\But Sesshomaru! You've insulted me once too often!\Now you'll die inside our father's grave!\Where are you aiming?\Oww!\Such a childish attack!\Master Inuyasha!\You cannot fight unarmed! response:	Get the sword!
context: But Sesshomaru! You've insulted me once too often!\Now you'll die inside our father's grave!\Where are you aiming?\Oww!\Such a childish attack!\Master Inuyasha!\You cannot fight unarmed!\Get the sword! response:	Shut up!
context: Now you'll die inside our father's grave!\Where are you aiming?\Oww!\Such a childish attack!\Master Inuyasha!\You cannot fight unarmed!\Get the sword!\Shut up! response:	Inuyasha!
context: Where are you aiming?\Oww!\Such a childish attack!\Master Inuyasha!\You cannot fight unarmed!\Get the sword!\Shut up!\Inuyasha! response:	Just go and draw the sword out!
context: Oww!\Such a childish attack!\Master Inuyasha!\You cannot fight unarmed!\Get the sword!\Shut up!\Inuyasha!\Just go and draw the sword out! response:	Kagome!
context: Such a childish attack!\Master Inuyasha!\You cannot fight unarmed!\Get the sword!\Shut up!\Inuyasha!\Just go and draw the sword out!\Kagome! response:	Sesshomaru couldn't do it!
context: Master Inuyasha!\You cannot fight unarmed!\Get the sword!\Shut up!\Inuyasha!\Just go and draw the sword out!\Kagome!\Sesshomaru couldn't do it! response:	Now, if you pull it out with ease...
context: You cannot fight unarmed!\Get the sword!\Shut up!\Inuyasha!\Just go and draw the sword out!\Kagome!\Sesshomaru couldn't do it!\Now, if you pull it out with ease... response:	Sesshomaru's pride will be in shreds!
context: Get the sword!\Shut up!\Inuyasha!\Just go and draw the sword out!\Kagome!\Sesshomaru couldn't do it!\Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds! response:	How embarrassing for him!
context: Shut up!\Inuyasha!\Just go and draw the sword out!\Kagome!\Sesshomaru couldn't do it!\Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds!\How embarrassing for him! response:	I see...
context: Inuyasha!\Just go and draw the sword out!\Kagome!\Sesshomaru couldn't do it!\Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds!\How embarrassing for him!\I see... response:	All right!
context: Just go and draw the sword out!\Kagome!\Sesshomaru couldn't do it!\Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds!\How embarrassing for him!\I see...\All right! response:	That'll be really fun to watch.
context: Kagome!\Sesshomaru couldn't do it!\Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds!\How embarrassing for him!\I see...\All right!\That'll be really fun to watch. response:	Hey, I can't wait to see your face!
context: Sesshomaru couldn't do it!\Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds!\How embarrassing for him!\I see...\All right!\That'll be really fun to watch.\Hey, I can't wait to see your face! response:	No!
context: Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds!\How embarrassing for him!\I see...\All right!\That'll be really fun to watch.\Hey, I can't wait to see your face!\No! response:	Master Inuyasha is immune to the spell...
context: Sesshomaru's pride will be in shreds!\How embarrassing for him!\I see...\All right!\That'll be really fun to watch.\Hey, I can't wait to see your face!\No!\Master Inuyasha is immune to the spell... response:	which cast off Lord Sesshomaru!
context: How embarrassing for him!\I see...\All right!\That'll be really fun to watch.\Hey, I can't wait to see your face!\No!\Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru! response:	I knew it! Tetsusaiga is destined to belong to Master Inuyasha!
context: I see...\All right!\That'll be really fun to watch.\Hey, I can't wait to see your face!\No!\Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha! response:	Draw it out, Inuyasha!
context: All right!\That'll be really fun to watch.\Hey, I can't wait to see your face!\No!\Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha! response:	Draw it out, Inuyasha!
context: That'll be really fun to watch.\Hey, I can't wait to see your face!\No!\Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha!\Draw it out, Inuyasha! response:	Huh?!
context: Hey, I can't wait to see your face!\No!\Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha!\Draw it out, Inuyasha!\Huh?! response:	Huh?!
context: No!\Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha!\Draw it out, Inuyasha!\Huh?!\Huh?! response:	Oh dear!
context: Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha!\Draw it out, Inuyasha!\Huh?!\Huh?!\Oh dear! response:	Hey...
context: which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha!\Draw it out, Inuyasha!\Huh?!\Huh?!\Oh dear!\Hey... response:	I couldn't pull it out!
context: I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha!\Draw it out, Inuyasha!\Huh?!\Huh?!\Oh dear!\Hey...\I couldn't pull it out! response:	Wh-why?!
context: Draw it out, Inuyasha!\Draw it out, Inuyasha!\Huh?!\Huh?!\Oh dear!\Hey...\I couldn't pull it out!\Wh-why?! response:	Let's cut the comedy.
context: Draw it out, Inuyasha!\Huh?!\Huh?!\Oh dear!\Hey...\I couldn't pull it out!\Wh-why?!\Let's cut the comedy. response:	My poison claws will sublimate you!
context: Huh?!\Huh?!\Oh dear!\Hey...\I couldn't pull it out!\Wh-why?!\Let's cut the comedy.\My poison claws will sublimate you! response:	Wanna turn me into slime, huh?!
context: Huh?!\Oh dear!\Hey...\I couldn't pull it out!\Wh-why?!\Let's cut the comedy.\My poison claws will sublimate you!\Wanna turn me into slime, huh?! response:	You won't get away!
context: Oh dear!\Hey...\I couldn't pull it out!\Wh-why?!\Let's cut the comedy.\My poison claws will sublimate you!\Wanna turn me into slime, huh?!\You won't get away! response:	Why you...!
context: Hey...\I couldn't pull it out!\Wh-why?!\Let's cut the comedy.\My poison claws will sublimate you!\Wanna turn me into slime, huh?!\You won't get away!\Why you...! response:	Lord Sesshomaru! Let me assist!
context: I couldn't pull it out!\Wh-why?!\Let's cut the comedy.\My poison claws will sublimate you!\Wanna turn me into slime, huh?!\You won't get away!\Why you...!\Lord Sesshomaru! Let me assist! response:	Hey you!
context: Wh-why?!\Let's cut the comedy.\My poison claws will sublimate you!\Wanna turn me into slime, huh?!\You won't get away!\Why you...!\Lord Sesshomaru! Let me assist!\Hey you! response:	Coward!
context: Let's cut the comedy.\My poison claws will sublimate you!\Wanna turn me into slime, huh?!\You won't get away!\Why you...!\Lord Sesshomaru! Let me assist!\Hey you!\Coward! response:	What?!
context: My poison claws will sublimate you!\Wanna turn me into slime, huh?!\You won't get away!\Why you...!\Lord Sesshomaru! Let me assist!\Hey you!\Coward!\What?! response:	Take that!
context: Wanna turn me into slime, huh?!\You won't get away!\Why you...!\Lord Sesshomaru! Let me assist!\Hey you!\Coward!\What?!\Take that! response:	You puny troublemaker!
context: You won't get away!\Why you...!\Lord Sesshomaru! Let me assist!\Hey you!\Coward!\What?!\Take that!\You puny troublemaker! response:	Why little wench!
context: Why you...!\Lord Sesshomaru! Let me assist!\Hey you!\Coward!\What?!\Take that!\You puny troublemaker!\Why little wench! response:	Even humans like me can fight!
context: Lord Sesshomaru! Let me assist!\Hey you!\Coward!\What?!\Take that!\You puny troublemaker!\Why little wench!\Even humans like me can fight! response:	I won't lose this time!
context: Hey you!\Coward!\What?!\Take that!\You puny troublemaker!\Why little wench!\Even humans like me can fight!\I won't lose this time! response:	What?! Is that all you can manage?!
context: Coward!\What?!\Take that!\You puny troublemaker!\Why little wench!\Even humans like me can fight!\I won't lose this time!\What?! Is that all you can manage?! response:	Darn it!
context: What?!\Take that!\You puny troublemaker!\Why little wench!\Even humans like me can fight!\I won't lose this time!\What?! Is that all you can manage?!\Darn it! response:	I'm not done yet!
context: Take that!\You puny troublemaker!\Why little wench!\Even humans like me can fight!\I won't lose this time!\What?! Is that all you can manage?!\Darn it!\I'm not done yet! response:	This is it!
context: You puny troublemaker!\Why little wench!\Even humans like me can fight!\I won't lose this time!\What?! Is that all you can manage?!\Darn it!\I'm not done yet!\This is it! response:	Disappear!
context: Why little wench!\Even humans like me can fight!\I won't lose this time!\What?! Is that all you can manage?!\Darn it!\I'm not done yet!\This is it!\Disappear! response:	Inuyasha!
context: Even humans like me can fight!\I won't lose this time!\What?! Is that all you can manage?!\Darn it!\I'm not done yet!\This is it!\Disappear!\Inuyasha! response:	Huh?!
context: I won't lose this time!\What?! Is that all you can manage?!\Darn it!\I'm not done yet!\This is it!\Disappear!\Inuyasha!\Huh?! response:	Sorry... I pulled it out.
context: What?! Is that all you can manage?!\Darn it!\I'm not done yet!\This is it!\Disappear!\Inuyasha!\Huh?!\Sorry... I pulled it out. response:	Sorry...
context: Darn it!\I'm not done yet!\This is it!\Disappear!\Inuyasha!\Huh?!\Sorry... I pulled it out.\Sorry... response:	What'll I do?
context: I'm not done yet!\This is it!\Disappear!\Inuyasha!\Huh?!\Sorry... I pulled it out.\Sorry...\What'll I do? response:	The Un-Mother... a tragic demon who is the reincarnation...
context: This is it!\Disappear!\Inuyasha!\Huh?!\Sorry... I pulled it out.\Sorry...\What'll I do?\The Un-Mother... a tragic demon who is the reincarnation... response:	of spirits who lost their children during the Warring States Era.
context: Disappear!\Inuyasha!\Huh?!\Sorry... I pulled it out.\Sorry...\What'll I do?\The Un-Mother... a tragic demon who is the reincarnation...\of spirits who lost their children during the Warring States Era. response:	Sesshomaru used this demon for trickery...
context: Inuyasha!\Huh?!\Sorry... I pulled it out.\Sorry...\What'll I do?\The Un-Mother... a tragic demon who is the reincarnation...\of spirits who lost their children during the Warring States Era.\Sesshomaru used this demon for trickery... response:	and I find that unforgivable!
context: Huh?!\Sorry... I pulled it out.\Sorry...\What'll I do?\The Un-Mother... a tragic demon who is the reincarnation...\of spirits who lost their children during the Warring States Era.\Sesshomaru used this demon for trickery...\and I find that unforgivable! response:	I have no idea how I came to be the one to draw the sword...
context: Sorry... I pulled it out.\Sorry...\What'll I do?\The Un-Mother... a tragic demon who is the reincarnation...\of spirits who lost their children during the Warring States Era.\Sesshomaru used this demon for trickery...\and I find that unforgivable!\I have no idea how I came to be the one to draw the sword... response:	But I'll use it to make him pay!
context: Sorry...\What'll I do?\The Un-Mother... a tragic demon who is the reincarnation...\of spirits who lost their children during the Warring States Era.\Sesshomaru used this demon for trickery...\and I find that unforgivable!\I have no idea how I came to be the one to draw the sword...\But I'll use it to make him pay! response:	What?! Sesshomaru turns into a giant dog-demon?!
context: What'll I do?\The Un-Mother... a tragic demon who is the reincarnation...\of spirits who lost their children during the Warring States Era.\Sesshomaru used this demon for trickery...\and I find that unforgivable!\I have no idea how I came to be the one to draw the sword...\But I'll use it to make him pay!\What?! Sesshomaru turns into a giant dog-demon?! response:	Next on Inuyasha: Showdown: Sesshomaru vs. Tetsusaiga!
context: The Un-Mother... a tragic demon who is the reincarnation...\of spirits who lost their children during the Warring States Era.\Sesshomaru used this demon for trickery...\and I find that unforgivable!\I have no idea how I came to be the one to draw the sword...\But I'll use it to make him pay!\What?! Sesshomaru turns into a giant dog-demon?!\Next on Inuyasha: Showdown: Sesshomaru vs. Tetsusaiga! response:	Don't miss it!
