context: Episode 9 Moon response:	To: Yukinari Subject: Hinode-hama today Good weather all day. In front of the gelato store.
context: Will you stay here with me?\What you need for tomorrow?\I don't know anything.\About this city, or about Yana-chan,\or about Yuki-kun,\or Hiro-kun, or Sacchan.\Just like I don't know what's about to happen next,\I don't know anything. response:	You know how you can vaguely see the shadow of the moon today?
context: What you need for tomorrow?\I don't know anything.\About this city, or about Yana-chan,\or about Yuki-kun,\or Hiro-kun, or Sacchan.\Just like I don't know what's about to happen next,\I don't know anything.\You know how you can vaguely see the shadow of the moon today? response:	It's called earthshine.
context: I don't know anything.\About this city, or about Yana-chan,\or about Yuki-kun,\or Hiro-kun, or Sacchan.\Just like I don't know what's about to happen next,\I don't know anything.\You know how you can vaguely see the shadow of the moon today?\It's called earthshine. response:	It's like that because the earth is reflecting the sun's light.
context: About this city, or about Yana-chan,\or about Yuki-kun,\or Hiro-kun, or Sacchan.\Just like I don't know what's about to happen next,\I don't know anything.\You know how you can vaguely see the shadow of the moon today?\It's called earthshine.\It's like that because the earth is reflecting the sun's light. response:	So we came here
context: or about Yuki-kun,\or Hiro-kun, or Sacchan.\Just like I don't know what's about to happen next,\I don't know anything.\You know how you can vaguely see the shadow of the moon today?\It's called earthshine.\It's like that because the earth is reflecting the sun's light.\So we came here response:	today to see the moon, Sacchan?
context: or Hiro-kun, or Sacchan.\Just like I don't know what's about to happen next,\I don't know anything.\You know how you can vaguely see the shadow of the moon today?\It's called earthshine.\It's like that because the earth is reflecting the sun's light.\So we came here\today to see the moon, Sacchan? response:	Yeah.
context: Just like I don't know what's about to happen next,\I don't know anything.\You know how you can vaguely see the shadow of the moon today?\It's called earthshine.\It's like that because the earth is reflecting the sun's light.\So we came here\today to see the moon, Sacchan?\Yeah. response:	The moon?
context: I don't know anything.\You know how you can vaguely see the shadow of the moon today?\It's called earthshine.\It's like that because the earth is reflecting the sun's light.\So we came here\today to see the moon, Sacchan?\Yeah.\The moon? response:	This time of the year, this Kirinkan
context: You know how you can vaguely see the shadow of the moon today?\It's called earthshine.\It's like that because the earth is reflecting the sun's light.\So we came here\today to see the moon, Sacchan?\Yeah.\The moon?\This time of the year, this Kirinkan response:	It becomes a totally different place,
context: It's called earthshine.\It's like that because the earth is reflecting the sun's light.\So we came here\today to see the moon, Sacchan?\Yeah.\The moon?\This time of the year, this Kirinkan\It becomes a totally different place, response:	depending on the season and time.
context: It's like that because the earth is reflecting the sun's light.\So we came here\today to see the moon, Sacchan?\Yeah.\The moon?\This time of the year, this Kirinkan\It becomes a totally different place,\depending on the season and time. response:	I'm so glad I could come here,
context: So we came here\today to see the moon, Sacchan?\Yeah.\The moon?\This time of the year, this Kirinkan\It becomes a totally different place,\depending on the season and time.\I'm so glad I could come here, response:	to my special place,
context: today to see the moon, Sacchan?\Yeah.\The moon?\This time of the year, this Kirinkan\It becomes a totally different place,\depending on the season and time.\I'm so glad I could come here,\to my special place, response:	with you two, Touko-chan and Hiro-kun.
context: Yeah.\The moon?\This time of the year, this Kirinkan\It becomes a totally different place,\depending on the season and time.\I'm so glad I could come here,\to my special place,\with you two, Touko-chan and Hiro-kun. response:	This is your promised place.
context: The moon?\This time of the year, this Kirinkan\It becomes a totally different place,\depending on the season and time.\I'm so glad I could come here,\to my special place,\with you two, Touko-chan and Hiro-kun.\This is your promised place. response:	Your special place, huh?
context: This time of the year, this Kirinkan\It becomes a totally different place,\depending on the season and time.\I'm so glad I could come here,\to my special place,\with you two, Touko-chan and Hiro-kun.\This is your promised place.\Your special place, huh? response:	Oh yeah?
context: It becomes a totally different place,\depending on the season and time.\I'm so glad I could come here,\to my special place,\with you two, Touko-chan and Hiro-kun.\This is your promised place.\Your special place, huh?\Oh yeah? response:	Sacchan, thanks for bringing me here.
context: depending on the season and time.\I'm so glad I could come here,\to my special place,\with you two, Touko-chan and Hiro-kun.\This is your promised place.\Your special place, huh?\Oh yeah?\Sacchan, thanks for bringing me here. response:	I don't get it.
context: I'm so glad I could come here,\to my special place,\with you two, Touko-chan and Hiro-kun.\This is your promised place.\Your special place, huh?\Oh yeah?\Sacchan, thanks for bringing me here.\I don't get it. response:	The moon's pretty though, isn't it?
context: to my special place,\with you two, Touko-chan and Hiro-kun.\This is your promised place.\Your special place, huh?\Oh yeah?\Sacchan, thanks for bringing me here.\I don't get it.\The moon's pretty though, isn't it? response:	Oh, that I get.
context: with you two, Touko-chan and Hiro-kun.\This is your promised place.\Your special place, huh?\Oh yeah?\Sacchan, thanks for bringing me here.\I don't get it.\The moon's pretty though, isn't it?\Oh, that I get. response:	I heard it becomes a confession when you say it like that.
context: This is your promised place.\Your special place, huh?\Oh yeah?\Sacchan, thanks for bringing me here.\I don't get it.\The moon's pretty though, isn't it?\Oh, that I get.\I heard it becomes a confession when you say it like that. response:	A confession?!
context: Your special place, huh?\Oh yeah?\Sacchan, thanks for bringing me here.\I don't get it.\The moon's pretty though, isn't it?\Oh, that I get.\I heard it becomes a confession when you say it like that.\A confession?! response:	I looked it up recently.
context: Oh yeah?\Sacchan, thanks for bringing me here.\I don't get it.\The moon's pretty though, isn't it?\Oh, that I get.\I heard it becomes a confession when you say it like that.\A confession?!\I looked it up recently. response:	When Soseki Natsume was an English teacher,
context: Sacchan, thanks for bringing me here.\I don't get it.\The moon's pretty though, isn't it?\Oh, that I get.\I heard it becomes a confession when you say it like that.\A confession?!\I looked it up recently.\When Soseki Natsume was an English teacher, response:	that's how he taught how to translate I love you.
context: I don't get it.\The moon's pretty though, isn't it?\Oh, that I get.\I heard it becomes a confession when you say it like that.\A confession?!\I looked it up recently.\When Soseki Natsume was an English teacher,\that's how he taught how to translate I love you. response:	Soseki Natsume? You?
context: The moon's pretty though, isn't it?\Oh, that I get.\I heard it becomes a confession when you say it like that.\A confession?!\I looked it up recently.\When Soseki Natsume was an English teacher,\that's how he taught how to translate I love you.\Soseki Natsume? You? response:	So?
context: Oh, that I get.\I heard it becomes a confession when you say it like that.\A confession?!\I looked it up recently.\When Soseki Natsume was an English teacher,\that's how he taught how to translate I love you.\Soseki Natsume? You?\So? response:	No, nothing,
context: I heard it becomes a confession when you say it like that.\A confession?!\I looked it up recently.\When Soseki Natsume was an English teacher,\that's how he taught how to translate I love you.\Soseki Natsume? You?\So?\No, nothing, response:	but why?
context: A confession?!\I looked it up recently.\When Soseki Natsume was an English teacher,\that's how he taught how to translate I love you.\Soseki Natsume? You?\So?\No, nothing,\but why? response:	It's, like, more tasteful that way.
context: I looked it up recently.\When Soseki Natsume was an English teacher,\that's how he taught how to translate I love you.\Soseki Natsume? You?\So?\No, nothing,\but why?\It's, like, more tasteful that way. response:	That would really get your feelings across?
context: When Soseki Natsume was an English teacher,\that's how he taught how to translate I love you.\Soseki Natsume? You?\So?\No, nothing,\but why?\It's, like, more tasteful that way.\That would really get your feelings across? response:	Yeah, I bet it would.
context: that's how he taught how to translate I love you.\Soseki Natsume? You?\So?\No, nothing,\but why?\It's, like, more tasteful that way.\That would really get your feelings across?\Yeah, I bet it would. response:	As long as there's love.
context: Soseki Natsume? You?\So?\No, nothing,\but why?\It's, like, more tasteful that way.\That would really get your feelings across?\Yeah, I bet it would.\As long as there's love. response:	Natsume-san was a romantic, huh?
context: So?\No, nothing,\but why?\It's, like, more tasteful that way.\That would really get your feelings across?\Yeah, I bet it would.\As long as there's love.\Natsume-san was a romantic, huh? response:	The moon's really pretty.
context: No, nothing,\but why?\It's, like, more tasteful that way.\That would really get your feelings across?\Yeah, I bet it would.\As long as there's love.\Natsume-san was a romantic, huh?\The moon's really pretty. response:	And those are my lines.
context: but why?\It's, like, more tasteful that way.\That would really get your feelings across?\Yeah, I bet it would.\As long as there's love.\Natsume-san was a romantic, huh?\The moon's really pretty.\And those are my lines. response:	I haven't kept it at all.
context: It's, like, more tasteful that way.\That would really get your feelings across?\Yeah, I bet it would.\As long as there's love.\Natsume-san was a romantic, huh?\The moon's really pretty.\And those are my lines.\I haven't kept it at all. response:	Do you like Touko-san?
context: That would really get your feelings across?\Yeah, I bet it would.\As long as there's love.\Natsume-san was a romantic, huh?\The moon's really pretty.\And those are my lines.\I haven't kept it at all.\Do you like Touko-san? response:	You haven't been protecting Touko-chan.
context: Yeah, I bet it would.\As long as there's love.\Natsume-san was a romantic, huh?\The moon's really pretty.\And those are my lines.\I haven't kept it at all.\Do you like Touko-san?\You haven't been protecting Touko-chan. response:	Touko Fukami, I miss you.
context: As long as there's love.\Natsume-san was a romantic, huh?\The moon's really pretty.\And those are my lines.\I haven't kept it at all.\Do you like Touko-san?\You haven't been protecting Touko-chan.\Touko Fukami, I miss you. response:	Episode 10 Jonathan
