context: That's Theo Cornaro? response:	He's much younger than I thought!
context: Looks like we have company.\Someone of significantly high rank.\But Lord Villar is still at the Marquis of Jalucia's castle...\Theo, you have a guest! Someone named Alexis.\Alexis...\Huh?\Everyone's been ordered not to enter.\Because I wanted to talk to you with no one else around. response:	It's an honor, sir. But I'm also perplexed.
context: Someone of significantly high rank.\But Lord Villar is still at the Marquis of Jalucia's castle...\Theo, you have a guest! Someone named Alexis.\Alexis...\Huh?\Everyone's been ordered not to enter.\Because I wanted to talk to you with no one else around.\It's an honor, sir. But I'm also perplexed. response:	We're not of sufficient rank to speak with you in person.
context: But Lord Villar is still at the Marquis of Jalucia's castle...\Theo, you have a guest! Someone named Alexis.\Alexis...\Huh?\Everyone's been ordered not to enter.\Because I wanted to talk to you with no one else around.\It's an honor, sir. But I'm also perplexed.\We're not of sufficient rank to speak with you in person. response:	Oh, I only inherited my court rank from my father.
context: Theo, you have a guest! Someone named Alexis.\Alexis...\Huh?\Everyone's been ordered not to enter.\Because I wanted to talk to you with no one else around.\It's an honor, sir. But I'm also perplexed.\We're not of sufficient rank to speak with you in person.\Oh, I only inherited my court rank from my father. response:	But you, Sir Theo, strengthened your Crest on your own,
context: Alexis...\Huh?\Everyone's been ordered not to enter.\Because I wanted to talk to you with no one else around.\It's an honor, sir. But I'm also perplexed.\We're not of sufficient rank to speak with you in person.\Oh, I only inherited my court rank from my father.\But you, Sir Theo, strengthened your Crest on your own, response:	became the former ruler of Sievis, and even reached the rank of viscount.
context: Huh?\Everyone's been ordered not to enter.\Because I wanted to talk to you with no one else around.\It's an honor, sir. But I'm also perplexed.\We're not of sufficient rank to speak with you in person.\Oh, I only inherited my court rank from my father.\But you, Sir Theo, strengthened your Crest on your own,\became the former ruler of Sievis, and even reached the rank of viscount. response:	Well, I certainly didn't accomplish that on my own.
context: Everyone's been ordered not to enter.\Because I wanted to talk to you with no one else around.\It's an honor, sir. But I'm also perplexed.\We're not of sufficient rank to speak with you in person.\Oh, I only inherited my court rank from my father.\But you, Sir Theo, strengthened your Crest on your own,\became the former ruler of Sievis, and even reached the rank of viscount.\Well, I certainly didn't accomplish that on my own. response:	It was all thanks to Siluca here, and my comrades.
context: Because I wanted to talk to you with no one else around.\It's an honor, sir. But I'm also perplexed.\We're not of sufficient rank to speak with you in person.\Oh, I only inherited my court rank from my father.\But you, Sir Theo, strengthened your Crest on your own,\became the former ruler of Sievis, and even reached the rank of viscount.\Well, I certainly didn't accomplish that on my own.\It was all thanks to Siluca here, and my comrades. response:	Above all, if Lord Villar hadn't come to my aid,
context: It's an honor, sir. But I'm also perplexed.\We're not of sufficient rank to speak with you in person.\Oh, I only inherited my court rank from my father.\But you, Sir Theo, strengthened your Crest on your own,\became the former ruler of Sievis, and even reached the rank of viscount.\Well, I certainly didn't accomplish that on my own.\It was all thanks to Siluca here, and my comrades.\Above all, if Lord Villar hadn't come to my aid, response:	I wouldn't have survived.
context: We're not of sufficient rank to speak with you in person.\Oh, I only inherited my court rank from my father.\But you, Sir Theo, strengthened your Crest on your own,\became the former ruler of Sievis, and even reached the rank of viscount.\Well, I certainly didn't accomplish that on my own.\It was all thanks to Siluca here, and my comrades.\Above all, if Lord Villar hadn't come to my aid,\I wouldn't have survived. response:	And the court rank and lands you risked your life to acquire...
context: Oh, I only inherited my court rank from my father.\But you, Sir Theo, strengthened your Crest on your own,\became the former ruler of Sievis, and even reached the rank of viscount.\Well, I certainly didn't accomplish that on my own.\It was all thanks to Siluca here, and my comrades.\Above all, if Lord Villar hadn't come to my aid,\I wouldn't have survived.\And the court rank and lands you risked your life to acquire... response:	I hear you gave them up for Lady Siluca without a second thought?
context: But you, Sir Theo, strengthened your Crest on your own,\became the former ruler of Sievis, and even reached the rank of viscount.\Well, I certainly didn't accomplish that on my own.\It was all thanks to Siluca here, and my comrades.\Above all, if Lord Villar hadn't come to my aid,\I wouldn't have survived.\And the court rank and lands you risked your life to acquire...\I hear you gave them up for Lady Siluca without a second thought? response:	It was Siluca who guided me when I was nothing but a wanderer.
context: became the former ruler of Sievis, and even reached the rank of viscount.\Well, I certainly didn't accomplish that on my own.\It was all thanks to Siluca here, and my comrades.\Above all, if Lord Villar hadn't come to my aid,\I wouldn't have survived.\And the court rank and lands you risked your life to acquire...\I hear you gave them up for Lady Siluca without a second thought?\It was Siluca who guided me when I was nothing but a wanderer. response:	Even if it came at the cost of all else, I have no regrets.
context: Well, I certainly didn't accomplish that on my own.\It was all thanks to Siluca here, and my comrades.\Above all, if Lord Villar hadn't come to my aid,\I wouldn't have survived.\And the court rank and lands you risked your life to acquire...\I hear you gave them up for Lady Siluca without a second thought?\It was Siluca who guided me when I was nothing but a wanderer.\Even if it came at the cost of all else, I have no regrets. response:	When I heard that story, I was deeply moved.
context: It was all thanks to Siluca here, and my comrades.\Above all, if Lord Villar hadn't come to my aid,\I wouldn't have survived.\And the court rank and lands you risked your life to acquire...\I hear you gave them up for Lady Siluca without a second thought?\It was Siluca who guided me when I was nothing but a wanderer.\Even if it came at the cost of all else, I have no regrets.\When I heard that story, I was deeply moved. response:	To choose love over one's court rank and land...
context: Above all, if Lord Villar hadn't come to my aid,\I wouldn't have survived.\And the court rank and lands you risked your life to acquire...\I hear you gave them up for Lady Siluca without a second thought?\It was Siluca who guided me when I was nothing but a wanderer.\Even if it came at the cost of all else, I have no regrets.\When I heard that story, I was deeply moved.\To choose love over one's court rank and land... response:	If only I had the courage to do so.
context: I wouldn't have survived.\And the court rank and lands you risked your life to acquire...\I hear you gave them up for Lady Siluca without a second thought?\It was Siluca who guided me when I was nothing but a wanderer.\Even if it came at the cost of all else, I have no regrets.\When I heard that story, I was deeply moved.\To choose love over one's court rank and land...\If only I had the courage to do so. response:	All I did was choose what was most important to me.
context: And the court rank and lands you risked your life to acquire...\I hear you gave them up for Lady Siluca without a second thought?\It was Siluca who guided me when I was nothing but a wanderer.\Even if it came at the cost of all else, I have no regrets.\When I heard that story, I was deeply moved.\To choose love over one's court rank and land...\If only I had the courage to do so.\All I did was choose what was most important to me. response:	In my case, my love for Marrine is more important than anything else.
context: I hear you gave them up for Lady Siluca without a second thought?\It was Siluca who guided me when I was nothing but a wanderer.\Even if it came at the cost of all else, I have no regrets.\When I heard that story, I was deeply moved.\To choose love over one's court rank and land...\If only I had the courage to do so.\All I did was choose what was most important to me.\In my case, my love for Marrine is more important than anything else. response:	When I realized that it wasn't meant to be,
context: It was Siluca who guided me when I was nothing but a wanderer.\Even if it came at the cost of all else, I have no regrets.\When I heard that story, I was deeply moved.\To choose love over one's court rank and land...\If only I had the courage to do so.\All I did was choose what was most important to me.\In my case, my love for Marrine is more important than anything else.\When I realized that it wasn't meant to be, response:	I even considered ending my life.
context: Even if it came at the cost of all else, I have no regrets.\When I heard that story, I was deeply moved.\To choose love over one's court rank and land...\If only I had the courage to do so.\All I did was choose what was most important to me.\In my case, my love for Marrine is more important than anything else.\When I realized that it wasn't meant to be,\I even considered ending my life. response:	But Marrine has forged a path for us to be united.
context: When I heard that story, I was deeply moved.\To choose love over one's court rank and land...\If only I had the courage to do so.\All I did was choose what was most important to me.\In my case, my love for Marrine is more important than anything else.\When I realized that it wasn't meant to be,\I even considered ending my life.\But Marrine has forged a path for us to be united. response:	And yet...
context: To choose love over one's court rank and land...\If only I had the courage to do so.\All I did was choose what was most important to me.\In my case, my love for Marrine is more important than anything else.\When I realized that it wasn't meant to be,\I even considered ending my life.\But Marrine has forged a path for us to be united.\And yet... response:	I still love Marrine, even now.
context: If only I had the courage to do so.\All I did was choose what was most important to me.\In my case, my love for Marrine is more important than anything else.\When I realized that it wasn't meant to be,\I even considered ending my life.\But Marrine has forged a path for us to be united.\And yet...\I still love Marrine, even now. response:	So much that I'd give up my court rank and lands if it meant we could be together!
context: All I did was choose what was most important to me.\In my case, my love for Marrine is more important than anything else.\When I realized that it wasn't meant to be,\I even considered ending my life.\But Marrine has forged a path for us to be united.\And yet...\I still love Marrine, even now.\So much that I'd give up my court rank and lands if it meant we could be together! response:	I understand how you feel, but you can't...
context: In my case, my love for Marrine is more important than anything else.\When I realized that it wasn't meant to be,\I even considered ending my life.\But Marrine has forged a path for us to be united.\And yet...\I still love Marrine, even now.\So much that I'd give up my court rank and lands if it meant we could be together!\I understand how you feel, but you can't... response:	Yes, I'm aware.
context: When I realized that it wasn't meant to be,\I even considered ending my life.\But Marrine has forged a path for us to be united.\And yet...\I still love Marrine, even now.\So much that I'd give up my court rank and lands if it meant we could be together!\I understand how you feel, but you can't...\Yes, I'm aware. response:	Marrine is a woman who takes her responsibilities seriously.
context: I even considered ending my life.\But Marrine has forged a path for us to be united.\And yet...\I still love Marrine, even now.\So much that I'd give up my court rank and lands if it meant we could be together!\I understand how you feel, but you can't...\Yes, I'm aware.\Marrine is a woman who takes her responsibilities seriously. response:	I'm sure she'll steadfastly try to fulfill her role as leader of the Alliance.
context: But Marrine has forged a path for us to be united.\And yet...\I still love Marrine, even now.\So much that I'd give up my court rank and lands if it meant we could be together!\I understand how you feel, but you can't...\Yes, I'm aware.\Marrine is a woman who takes her responsibilities seriously.\I'm sure she'll steadfastly try to fulfill her role as leader of the Alliance. response:	I hear Lady Marrine still dresses in black and continues to mourn.
context: And yet...\I still love Marrine, even now.\So much that I'd give up my court rank and lands if it meant we could be together!\I understand how you feel, but you can't...\Yes, I'm aware.\Marrine is a woman who takes her responsibilities seriously.\I'm sure she'll steadfastly try to fulfill her role as leader of the Alliance.\I hear Lady Marrine still dresses in black and continues to mourn. response:	I'm sure her resolve is ironclad.
context: I still love Marrine, even now.\So much that I'd give up my court rank and lands if it meant we could be together!\I understand how you feel, but you can't...\Yes, I'm aware.\Marrine is a woman who takes her responsibilities seriously.\I'm sure she'll steadfastly try to fulfill her role as leader of the Alliance.\I hear Lady Marrine still dresses in black and continues to mourn.\I'm sure her resolve is ironclad. response:	My wish is for all Lords across the continent to cease fighting and unite.
context: So much that I'd give up my court rank and lands if it meant we could be together!\I understand how you feel, but you can't...\Yes, I'm aware.\Marrine is a woman who takes her responsibilities seriously.\I'm sure she'll steadfastly try to fulfill her role as leader of the Alliance.\I hear Lady Marrine still dresses in black and continues to mourn.\I'm sure her resolve is ironclad.\My wish is for all Lords across the continent to cease fighting and unite. response:	And then we can hold a meeting to choose our emperor.
context: I understand how you feel, but you can't...\Yes, I'm aware.\Marrine is a woman who takes her responsibilities seriously.\I'm sure she'll steadfastly try to fulfill her role as leader of the Alliance.\I hear Lady Marrine still dresses in black and continues to mourn.\I'm sure her resolve is ironclad.\My wish is for all Lords across the continent to cease fighting and unite.\And then we can hold a meeting to choose our emperor. response:	That way, there will be no more war on the continent,
context: Yes, I'm aware.\Marrine is a woman who takes her responsibilities seriously.\I'm sure she'll steadfastly try to fulfill her role as leader of the Alliance.\I hear Lady Marrine still dresses in black and continues to mourn.\I'm sure her resolve is ironclad.\My wish is for all Lords across the continent to cease fighting and unite.\And then we can hold a meeting to choose our emperor.\That way, there will be no more war on the continent, response:	and the era of Chaos will come to an end.
context: Marrine is a woman who takes her responsibilities seriously.\I'm sure she'll steadfastly try to fulfill her role as leader of the Alliance.\I hear Lady Marrine still dresses in black and continues to mourn.\I'm sure her resolve is ironclad.\My wish is for all Lords across the continent to cease fighting and unite.\And then we can hold a meeting to choose our emperor.\That way, there will be no more war on the continent,\and the era of Chaos will come to an end. response:	That's everything I wanted to talk to you about.
context: I'm sure she'll steadfastly try to fulfill her role as leader of the Alliance.\I hear Lady Marrine still dresses in black and continues to mourn.\I'm sure her resolve is ironclad.\My wish is for all Lords across the continent to cease fighting and unite.\And then we can hold a meeting to choose our emperor.\That way, there will be no more war on the continent,\and the era of Chaos will come to an end.\That's everything I wanted to talk to you about. response:	And I also want you two to find happiness.
context: I hear Lady Marrine still dresses in black and continues to mourn.\I'm sure her resolve is ironclad.\My wish is for all Lords across the continent to cease fighting and unite.\And then we can hold a meeting to choose our emperor.\That way, there will be no more war on the continent,\and the era of Chaos will come to an end.\That's everything I wanted to talk to you about.\And I also want you two to find happiness. response:	So you can show the world that there are more important things than court rank or territories.
context: I'm sure her resolve is ironclad.\My wish is for all Lords across the continent to cease fighting and unite.\And then we can hold a meeting to choose our emperor.\That way, there will be no more war on the continent,\and the era of Chaos will come to an end.\That's everything I wanted to talk to you about.\And I also want you two to find happiness.\So you can show the world that there are more important things than court rank or territories. response:	We give you our promise.
context: My wish is for all Lords across the continent to cease fighting and unite.\And then we can hold a meeting to choose our emperor.\That way, there will be no more war on the continent,\and the era of Chaos will come to an end.\That's everything I wanted to talk to you about.\And I also want you two to find happiness.\So you can show the world that there are more important things than court rank or territories.\We give you our promise. response:	At present, I am serving the Earl of Artuk.
context: And then we can hold a meeting to choose our emperor.\That way, there will be no more war on the continent,\and the era of Chaos will come to an end.\That's everything I wanted to talk to you about.\And I also want you two to find happiness.\So you can show the world that there are more important things than court rank or territories.\We give you our promise.\At present, I am serving the Earl of Artuk. response:	But aside from that relationship, I will do everything I can to make your wish come true.
context: That way, there will be no more war on the continent,\and the era of Chaos will come to an end.\That's everything I wanted to talk to you about.\And I also want you two to find happiness.\So you can show the world that there are more important things than court rank or territories.\We give you our promise.\At present, I am serving the Earl of Artuk.\But aside from that relationship, I will do everything I can to make your wish come true. response:	So that one day, you and Lady Marrine can be united.
context: and the era of Chaos will come to an end.\That's everything I wanted to talk to you about.\And I also want you two to find happiness.\So you can show the world that there are more important things than court rank or territories.\We give you our promise.\At present, I am serving the Earl of Artuk.\But aside from that relationship, I will do everything I can to make your wish come true.\So that one day, you and Lady Marrine can be united. response:	And so the continent will become one.
context: That's everything I wanted to talk to you about.\And I also want you two to find happiness.\So you can show the world that there are more important things than court rank or territories.\We give you our promise.\At present, I am serving the Earl of Artuk.\But aside from that relationship, I will do everything I can to make your wish come true.\So that one day, you and Lady Marrine can be united.\And so the continent will become one. response:	Thank you!
context: And I also want you two to find happiness.\So you can show the world that there are more important things than court rank or territories.\We give you our promise.\At present, I am serving the Earl of Artuk.\But aside from that relationship, I will do everything I can to make your wish come true.\So that one day, you and Lady Marrine can be united.\And so the continent will become one.\Thank you! response:	When we're not in the public eye, I hope you'll think of me as your friend.
context: So you can show the world that there are more important things than court rank or territories.\We give you our promise.\At present, I am serving the Earl of Artuk.\But aside from that relationship, I will do everything I can to make your wish come true.\So that one day, you and Lady Marrine can be united.\And so the continent will become one.\Thank you!\When we're not in the public eye, I hope you'll think of me as your friend. response:	I know I'll be thinking of you as mine.
context: We give you our promise.\At present, I am serving the Earl of Artuk.\But aside from that relationship, I will do everything I can to make your wish come true.\So that one day, you and Lady Marrine can be united.\And so the continent will become one.\Thank you!\When we're not in the public eye, I hope you'll think of me as your friend.\I know I'll be thinking of you as mine. response:	Understood.
context: At present, I am serving the Earl of Artuk.\But aside from that relationship, I will do everything I can to make your wish come true.\So that one day, you and Lady Marrine can be united.\And so the continent will become one.\Thank you!\When we're not in the public eye, I hope you'll think of me as your friend.\I know I'll be thinking of you as mine.\Understood. response:	- I would love to stay, but I must return to... - We're under attack
context: But aside from that relationship, I will do everything I can to make your wish come true.\So that one day, you and Lady Marrine can be united.\And so the continent will become one.\Thank you!\When we're not in the public eye, I hope you'll think of me as your friend.\I know I'll be thinking of you as mine.\Understood.\- I would love to stay, but I must return to... - We're under attack response:	Everyone, please watch your backs!
context: So that one day, you and Lady Marrine can be united.\And so the continent will become one.\Thank you!\When we're not in the public eye, I hope you'll think of me as your friend.\I know I'll be thinking of you as mine.\Understood.\- I would love to stay, but I must return to... - We're under attack\Everyone, please watch your backs! response:	Wall, O Wall! Nothing on this earth can hope to scale it!
context: And so the continent will become one.\Thank you!\When we're not in the public eye, I hope you'll think of me as your friend.\I know I'll be thinking of you as mine.\Understood.\- I would love to stay, but I must return to... - We're under attack\Everyone, please watch your backs!\Wall, O Wall! Nothing on this earth can hope to scale it! response:	Lord Alexis!
context: Thank you!\When we're not in the public eye, I hope you'll think of me as your friend.\I know I'll be thinking of you as mine.\Understood.\- I would love to stay, but I must return to... - We're under attack\Everyone, please watch your backs!\Wall, O Wall! Nothing on this earth can hope to scale it!\Lord Alexis! response:	Who are these guys?
context: When we're not in the public eye, I hope you'll think of me as your friend.\I know I'll be thinking of you as mine.\Understood.\- I would love to stay, but I must return to... - We're under attack\Everyone, please watch your backs!\Wall, O Wall! Nothing on this earth can hope to scale it!\Lord Alexis!\Who are these guys? response:	Omerta...
context: I know I'll be thinking of you as mine.\Understood.\- I would love to stay, but I must return to... - We're under attack\Everyone, please watch your backs!\Wall, O Wall! Nothing on this earth can hope to scale it!\Lord Alexis!\Who are these guys?\Omerta... response:	This is Rossini's flag.
context: Understood.\- I would love to stay, but I must return to... - We're under attack\Everyone, please watch your backs!\Wall, O Wall! Nothing on this earth can hope to scale it!\Lord Alexis!\Who are these guys?\Omerta...\This is Rossini's flag. response:	No one who accepts it can go against orders.
context: - I would love to stay, but I must return to... - We're under attack\Everyone, please watch your backs!\Wall, O Wall! Nothing on this earth can hope to scale it!\Lord Alexis!\Who are these guys?\Omerta...\This is Rossini's flag.\No one who accepts it can go against orders. response:	No matter how cruel the action may be, he'll carry it out without remorse.
context: Everyone, please watch your backs!\Wall, O Wall! Nothing on this earth can hope to scale it!\Lord Alexis!\Who are these guys?\Omerta...\This is Rossini's flag.\No one who accepts it can go against orders.\No matter how cruel the action may be, he'll carry it out without remorse. response:	Then what's the enemy after?
context: Wall, O Wall! Nothing on this earth can hope to scale it!\Lord Alexis!\Who are these guys?\Omerta...\This is Rossini's flag.\No one who accepts it can go against orders.\No matter how cruel the action may be, he'll carry it out without remorse.\Then what's the enemy after? response:	Parry!
context: Lord Alexis!\Who are these guys?\Omerta...\This is Rossini's flag.\No one who accepts it can go against orders.\No matter how cruel the action may be, he'll carry it out without remorse.\Then what's the enemy after?\Parry! response:	Thank you, sir!
context: Who are these guys?\Omerta...\This is Rossini's flag.\No one who accepts it can go against orders.\No matter how cruel the action may be, he'll carry it out without remorse.\Then what's the enemy after?\Parry!\Thank you, sir! response:	No need to thank me.
context: Omerta...\This is Rossini's flag.\No one who accepts it can go against orders.\No matter how cruel the action may be, he'll carry it out without remorse.\Then what's the enemy after?\Parry!\Thank you, sir!\No need to thank me. response:	Lady Siluca...
context: This is Rossini's flag.\No one who accepts it can go against orders.\No matter how cruel the action may be, he'll carry it out without remorse.\Then what's the enemy after?\Parry!\Thank you, sir!\No need to thank me.\Lady Siluca... response:	What's going on? Not being here when we needed you...
context: No one who accepts it can go against orders.\No matter how cruel the action may be, he'll carry it out without remorse.\Then what's the enemy after?\Parry!\Thank you, sir!\No need to thank me.\Lady Siluca...\What's going on? Not being here when we needed you... response:	Please forgive me.
context: No matter how cruel the action may be, he'll carry it out without remorse.\Then what's the enemy after?\Parry!\Thank you, sir!\No need to thank me.\Lady Siluca...\What's going on? Not being here when we needed you...\Please forgive me. response:	You were being targeted by snipers.
context: Then what's the enemy after?\Parry!\Thank you, sir!\No need to thank me.\Lady Siluca...\What's going on? Not being here when we needed you...\Please forgive me.\You were being targeted by snipers. response:	And there was a Shadow among them, holding me back...
context: Parry!\Thank you, sir!\No need to thank me.\Lady Siluca...\What's going on? Not being here when we needed you...\Please forgive me.\You were being targeted by snipers.\And there was a Shadow among them, holding me back... response:	Most likely, it was an assassin.
context: Thank you, sir!\No need to thank me.\Lady Siluca...\What's going on? Not being here when we needed you...\Please forgive me.\You were being targeted by snipers.\And there was a Shadow among them, holding me back...\Most likely, it was an assassin. response:	Did you kill it?
context: No need to thank me.\Lady Siluca...\What's going on? Not being here when we needed you...\Please forgive me.\You were being targeted by snipers.\And there was a Shadow among them, holding me back...\Most likely, it was an assassin.\Did you kill it? response:	It got away from me.
context: Lady Siluca...\What's going on? Not being here when we needed you...\Please forgive me.\You were being targeted by snipers.\And there was a Shadow among them, holding me back...\Most likely, it was an assassin.\Did you kill it?\It got away from me. response:	You were all exposed to danger because of me.
context: What's going on? Not being here when we needed you...\Please forgive me.\You were being targeted by snipers.\And there was a Shadow among them, holding me back...\Most likely, it was an assassin.\Did you kill it?\It got away from me.\You were all exposed to danger because of me. response:	I'm so sorry...
context: Please forgive me.\You were being targeted by snipers.\And there was a Shadow among them, holding me back...\Most likely, it was an assassin.\Did you kill it?\It got away from me.\You were all exposed to danger because of me.\I'm so sorry... response:	I was the target, wasn't I?
context: You were being targeted by snipers.\And there was a Shadow among them, holding me back...\Most likely, it was an assassin.\Did you kill it?\It got away from me.\You were all exposed to danger because of me.\I'm so sorry...\I was the target, wasn't I? response:	Even if it was mistaken identity,
context: And there was a Shadow among them, holding me back...\Most likely, it was an assassin.\Did you kill it?\It got away from me.\You were all exposed to danger because of me.\I'm so sorry...\I was the target, wasn't I?\Even if it was mistaken identity, response:	an assassination attempt on a marquis is far from a minor offense.
context: Most likely, it was an assassin.\Did you kill it?\It got away from me.\You were all exposed to danger because of me.\I'm so sorry...\I was the target, wasn't I?\Even if it was mistaken identity,\an assassination attempt on a marquis is far from a minor offense. response:	When he finds out that he got Lord Alexis involved,
context: Did you kill it?\It got away from me.\You were all exposed to danger because of me.\I'm so sorry...\I was the target, wasn't I?\Even if it was mistaken identity,\an assassination attempt on a marquis is far from a minor offense.\When he finds out that he got Lord Alexis involved, response:	I bet Rossini will be stunned.
context: It got away from me.\You were all exposed to danger because of me.\I'm so sorry...\I was the target, wasn't I?\Even if it was mistaken identity,\an assassination attempt on a marquis is far from a minor offense.\When he finds out that he got Lord Alexis involved,\I bet Rossini will be stunned. response:	There's no question that the Rossini clan will be expelled from the Union.
context: You were all exposed to danger because of me.\I'm so sorry...\I was the target, wasn't I?\Even if it was mistaken identity,\an assassination attempt on a marquis is far from a minor offense.\When he finds out that he got Lord Alexis involved,\I bet Rossini will be stunned.\There's no question that the Rossini clan will be expelled from the Union. response:	And when that happens, it'll be our turn to make a move.
context: I'm so sorry...\I was the target, wasn't I?\Even if it was mistaken identity,\an assassination attempt on a marquis is far from a minor offense.\When he finds out that he got Lord Alexis involved,\I bet Rossini will be stunned.\There's no question that the Rossini clan will be expelled from the Union.\And when that happens, it'll be our turn to make a move. response:	THE WHITE PRINCE
context: I was the target, wasn't I?\Even if it was mistaken identity,\an assassination attempt on a marquis is far from a minor offense.\When he finds out that he got Lord Alexis involved,\I bet Rossini will be stunned.\There's no question that the Rossini clan will be expelled from the Union.\And when that happens, it'll be our turn to make a move.\THE WHITE PRINCE response:	THE CONGRESS DANCES
