context: Wait! response:	It's been a week since the battle in the coal pit,
context: Take this!\Lightning Spear!\Naofumi-sama... Look at the sky.\Walk in the park.\This boss was a piece of cake.\Indeed. The next Wave will probably be easy, too.\By the way, where's Naofumi?\It's good that he wasn't here. response:	He'd just hold us back.
context: Lightning Spear!\Naofumi-sama... Look at the sky.\Walk in the park.\This boss was a piece of cake.\Indeed. The next Wave will probably be easy, too.\By the way, where's Naofumi?\It's good that he wasn't here.\He'd just hold us back. response:	Obviously!
context: Naofumi-sama... Look at the sky.\Walk in the park.\This boss was a piece of cake.\Indeed. The next Wave will probably be easy, too.\By the way, where's Naofumi?\It's good that he wasn't here.\He'd just hold us back.\Obviously! response:	Heroes!
context: Walk in the park.\This boss was a piece of cake.\Indeed. The next Wave will probably be easy, too.\By the way, where's Naofumi?\It's good that he wasn't here.\He'd just hold us back.\Obviously!\Heroes! response:	Well done!
context: This boss was a piece of cake.\Indeed. The next Wave will probably be easy, too.\By the way, where's Naofumi?\It's good that he wasn't here.\He'd just hold us back.\Obviously!\Heroes!\Well done! response:	The knights, huh?
context: Indeed. The next Wave will probably be easy, too.\By the way, where's Naofumi?\It's good that he wasn't here.\He'd just hold us back.\Obviously!\Heroes!\Well done!\The knights, huh? response:	It's a bit late to show up now.
context: By the way, where's Naofumi?\It's good that he wasn't here.\He'd just hold us back.\Obviously!\Heroes!\Well done!\The knights, huh?\It's a bit late to show up now. response:	Right?
context: It's good that he wasn't here.\He'd just hold us back.\Obviously!\Heroes!\Well done!\The knights, huh?\It's a bit late to show up now.\Right? response:	Now, now, don't say that.
context: He'd just hold us back.\Obviously!\Heroes!\Well done!\The knights, huh?\It's a bit late to show up now.\Right?\Now, now, don't say that. response:	His Highness has rewards for each of you.
context: Obviously!\Heroes!\Well done!\The knights, huh?\It's a bit late to show up now.\Right?\Now, now, don't say that.\His Highness has rewards for each of you. response:	Let us go see him.
context: Heroes!\Well done!\The knights, huh?\It's a bit late to show up now.\Right?\Now, now, don't say that.\His Highness has rewards for each of you.\Let us go see him. response:	Naofumi-sama...
context: Well done!\The knights, huh?\It's a bit late to show up now.\Right?\Now, now, don't say that.\His Highness has rewards for each of you.\Let us go see him.\Naofumi-sama... response:	I killed all the monsters left in the village.
context: The knights, huh?\It's a bit late to show up now.\Right?\Now, now, don't say that.\His Highness has rewards for each of you.\Let us go see him.\Naofumi-sama...\I killed all the monsters left in the village. response:	I see.
context: It's a bit late to show up now.\Right?\Now, now, don't say that.\His Highness has rewards for each of you.\Let us go see him.\Naofumi-sama...\I killed all the monsters left in the village.\I see. response:	Did we...
context: Right?\Now, now, don't say that.\His Highness has rewards for each of you.\Let us go see him.\Naofumi-sama...\I killed all the monsters left in the village.\I see.\Did we... response:	Sir Hero...
context: Now, now, don't say that.\His Highness has rewards for each of you.\Let us go see him.\Naofumi-sama...\I killed all the monsters left in the village.\I see.\Did we...\Sir Hero... response:	Thank you so much.
context: His Highness has rewards for each of you.\Let us go see him.\Naofumi-sama...\I killed all the monsters left in the village.\I see.\Did we...\Sir Hero...\Thank you so much. response:	We couldn't have made it without you.
context: Let us go see him.\Naofumi-sama...\I killed all the monsters left in the village.\I see.\Did we...\Sir Hero...\Thank you so much.\We couldn't have made it without you. response:	Thank your lucky stars, not me.
context: Naofumi-sama...\I killed all the monsters left in the village.\I see.\Did we...\Sir Hero...\Thank you so much.\We couldn't have made it without you.\Thank your lucky stars, not me. response:	No.
context: I killed all the monsters left in the village.\I see.\Did we...\Sir Hero...\Thank you so much.\We couldn't have made it without you.\Thank your lucky stars, not me.\No. response:	Your presence is what helped us survive.
context: I see.\Did we...\Sir Hero...\Thank you so much.\We couldn't have made it without you.\Thank your lucky stars, not me.\No.\Your presence is what helped us survive. response:	We'll never forget what you've done for us.
context: Did we...\Sir Hero...\Thank you so much.\We couldn't have made it without you.\Thank your lucky stars, not me.\No.\Your presence is what helped us survive.\We'll never forget what you've done for us. response:	Whatever.
context: Sir Hero...\Thank you so much.\We couldn't have made it without you.\Thank your lucky stars, not me.\No.\Your presence is what helped us survive.\We'll never forget what you've done for us.\Whatever. response:	They looked truly grateful.
context: Thank you so much.\We couldn't have made it without you.\Thank your lucky stars, not me.\No.\Your presence is what helped us survive.\We'll never forget what you've done for us.\Whatever.\They looked truly grateful. response:	I guess.
context: We couldn't have made it without you.\Thank your lucky stars, not me.\No.\Your presence is what helped us survive.\We'll never forget what you've done for us.\Whatever.\They looked truly grateful.\I guess. response:	We prevented at least a few kids from going through what I did, right?
context: Thank your lucky stars, not me.\No.\Your presence is what helped us survive.\We'll never forget what you've done for us.\Whatever.\They looked truly grateful.\I guess.\We prevented at least a few kids from going through what I did, right? response:	Yeah.
context: No.\Your presence is what helped us survive.\We'll never forget what you've done for us.\Whatever.\They looked truly grateful.\I guess.\We prevented at least a few kids from going through what I did, right?\Yeah. response:	You did well.
context: Your presence is what helped us survive.\We'll never forget what you've done for us.\Whatever.\They looked truly grateful.\I guess.\We prevented at least a few kids from going through what I did, right?\Yeah.\You did well. response:	I killed lots of monsters.
context: We'll never forget what you've done for us.\Whatever.\They looked truly grateful.\I guess.\We prevented at least a few kids from going through what I did, right?\Yeah.\You did well.\I killed lots of monsters. response:	Yeah.
context: Whatever.\They looked truly grateful.\I guess.\We prevented at least a few kids from going through what I did, right?\Yeah.\You did well.\I killed lots of monsters.\Yeah. response:	Lullaby at Dawn
