context: A man died while fighting the monsters. response:	And just like in the game, he revived at the Cathedral.
context: I was, but...\Other things to do?\You're probably right...\There's nothing to do.\No goal to live for.\Taste aside, we have food.\By defeating low-level monsters, you can make money.\With that money, you can stay at an inn. response:	Fighting isn't allowed in towns, so you don't have to fear for your life there.
context: Other things to do?\You're probably right...\There's nothing to do.\No goal to live for.\Taste aside, we have food.\By defeating low-level monsters, you can make money.\With that money, you can stay at an inn.\Fighting isn't allowed in towns, so you don't have to fear for your life there. response:	And even if you do die, you'll come back to life.
context: You're probably right...\There's nothing to do.\No goal to live for.\Taste aside, we have food.\By defeating low-level monsters, you can make money.\With that money, you can stay at an inn.\Fighting isn't allowed in towns, so you don't have to fear for your life there.\And even if you do die, you'll come back to life. response:	So you can survive in this world without doing anything?
context: There's nothing to do.\No goal to live for.\Taste aside, we have food.\By defeating low-level monsters, you can make money.\With that money, you can stay at an inn.\Fighting isn't allowed in towns, so you don't have to fear for your life there.\And even if you do die, you'll come back to life.\So you can survive in this world without doing anything? response:	But can you really call that living?
context: No goal to live for.\Taste aside, we have food.\By defeating low-level monsters, you can make money.\With that money, you can stay at an inn.\Fighting isn't allowed in towns, so you don't have to fear for your life there.\And even if you do die, you'll come back to life.\So you can survive in this world without doing anything?\But can you really call that living? response:	Or is just not being dead?
context: Taste aside, we have food.\By defeating low-level monsters, you can make money.\With that money, you can stay at an inn.\Fighting isn't allowed in towns, so you don't have to fear for your life there.\And even if you do die, you'll come back to life.\So you can survive in this world without doing anything?\But can you really call that living?\Or is just not being dead? response:	So they've resorted to PKing because there's nothing else to do?
context: By defeating low-level monsters, you can make money.\With that money, you can stay at an inn.\Fighting isn't allowed in towns, so you don't have to fear for your life there.\And even if you do die, you'll come back to life.\So you can survive in this world without doing anything?\But can you really call that living?\Or is just not being dead?\So they've resorted to PKing because there's nothing else to do? response:	They need something beyond staying alive to occupy their minds.
context: With that money, you can stay at an inn.\Fighting isn't allowed in towns, so you don't have to fear for your life there.\And even if you do die, you'll come back to life.\So you can survive in this world without doing anything?\But can you really call that living?\Or is just not being dead?\So they've resorted to PKing because there's nothing else to do?\They need something beyond staying alive to occupy their minds. response:	And they're getting it by hurting others?
context: Fighting isn't allowed in towns, so you don't have to fear for your life there.\And even if you do die, you'll come back to life.\So you can survive in this world without doing anything?\But can you really call that living?\Or is just not being dead?\So they've resorted to PKing because there's nothing else to do?\They need something beyond staying alive to occupy their minds.\And they're getting it by hurting others? response:	Unbelievable.
context: And even if you do die, you'll come back to life.\So you can survive in this world without doing anything?\But can you really call that living?\Or is just not being dead?\So they've resorted to PKing because there's nothing else to do?\They need something beyond staying alive to occupy their minds.\And they're getting it by hurting others?\Unbelievable. response:	Yeah, it's pretty pathetic.
context: So you can survive in this world without doing anything?\But can you really call that living?\Or is just not being dead?\So they've resorted to PKing because there's nothing else to do?\They need something beyond staying alive to occupy their minds.\And they're getting it by hurting others?\Unbelievable.\Yeah, it's pretty pathetic. response:	But...
context: But can you really call that living?\Or is just not being dead?\So they've resorted to PKing because there's nothing else to do?\They need something beyond staying alive to occupy their minds.\And they're getting it by hurting others?\Unbelievable.\Yeah, it's pretty pathetic.\But... response:	I'm not doing anything, either.
context: Or is just not being dead?\So they've resorted to PKing because there's nothing else to do?\They need something beyond staying alive to occupy their minds.\And they're getting it by hurting others?\Unbelievable.\Yeah, it's pretty pathetic.\But...\I'm not doing anything, either. response:	My lord?
context: So they've resorted to PKing because there's nothing else to do?\They need something beyond staying alive to occupy their minds.\And they're getting it by hurting others?\Unbelievable.\Yeah, it's pretty pathetic.\But...\I'm not doing anything, either.\My lord? response:	Oh, but I don't really think things are getting worse.
context: They need something beyond staying alive to occupy their minds.\And they're getting it by hurting others?\Unbelievable.\Yeah, it's pretty pathetic.\But...\I'm not doing anything, either.\My lord?\Oh, but I don't really think things are getting worse. response:	It just seems that way
context: And they're getting it by hurting others?\Unbelievable.\Yeah, it's pretty pathetic.\But...\I'm not doing anything, either.\My lord?\Oh, but I don't really think things are getting worse.\It just seems that way response:	because everyone still thinks of this as the same Elder Tale world they knew.
context: Unbelievable.\Yeah, it's pretty pathetic.\But...\I'm not doing anything, either.\My lord?\Oh, but I don't really think things are getting worse.\It just seems that way\because everyone still thinks of this as the same Elder Tale world they knew. response:	If it isn't that world, then security was an illusion from the start.
context: Yeah, it's pretty pathetic.\But...\I'm not doing anything, either.\My lord?\Oh, but I don't really think things are getting worse.\It just seems that way\because everyone still thinks of this as the same Elder Tale world they knew.\If it isn't that world, then security was an illusion from the start. response:	My lord...
context: But...\I'm not doing anything, either.\My lord?\Oh, but I don't really think things are getting worse.\It just seems that way\because everyone still thinks of this as the same Elder Tale world they knew.\If it isn't that world, then security was an illusion from the start.\My lord... response:	Yes?
context: I'm not doing anything, either.\My lord?\Oh, but I don't really think things are getting worse.\It just seems that way\because everyone still thinks of this as the same Elder Tale world they knew.\If it isn't that world, then security was an illusion from the start.\My lord...\Yes? response:	You're going to Susukino?
context: My lord?\Oh, but I don't really think things are getting worse.\It just seems that way\because everyone still thinks of this as the same Elder Tale world they knew.\If it isn't that world, then security was an illusion from the start.\My lord...\Yes?\You're going to Susukino? response:	On the day of the Apocalypse,
context: Oh, but I don't really think things are getting worse.\It just seems that way\because everyone still thinks of this as the same Elder Tale world they knew.\If it isn't that world, then security was an illusion from the start.\My lord...\Yes?\You're going to Susukino?\On the day of the Apocalypse, response:	one of our members was going to Susukino.
context: It just seems that way\because everyone still thinks of this as the same Elder Tale world they knew.\If it isn't that world, then security was an illusion from the start.\My lord...\Yes?\You're going to Susukino?\On the day of the Apocalypse,\one of our members was going to Susukino. response:	A girl called Serara...
context: because everyone still thinks of this as the same Elder Tale world they knew.\If it isn't that world, then security was an illusion from the start.\My lord...\Yes?\You're going to Susukino?\On the day of the Apocalypse,\one of our members was going to Susukino.\A girl called Serara... response:	You're going to find her?
context: If it isn't that world, then security was an illusion from the start.\My lord...\Yes?\You're going to Susukino?\On the day of the Apocalypse,\one of our members was going to Susukino.\A girl called Serara...\You're going to find her? response:	The transport gates still aren't working, right?
context: My lord...\Yes?\You're going to Susukino?\On the day of the Apocalypse,\one of our members was going to Susukino.\A girl called Serara...\You're going to find her?\The transport gates still aren't working, right? response:	Using fairy rings would be the only other way there.
context: Yes?\You're going to Susukino?\On the day of the Apocalypse,\one of our members was going to Susukino.\A girl called Serara...\You're going to find her?\The transport gates still aren't working, right?\Using fairy rings would be the only other way there. response:	Yes, but...
context: You're going to Susukino?\On the day of the Apocalypse,\one of our members was going to Susukino.\A girl called Serara...\You're going to find her?\The transport gates still aren't working, right?\Using fairy rings would be the only other way there.\Yes, but... response:	Indeed.
context: On the day of the Apocalypse,\one of our members was going to Susukino.\A girl called Serara...\You're going to find her?\The transport gates still aren't working, right?\Using fairy rings would be the only other way there.\Yes, but...\Indeed. response:	Since we can't look up any online timetables in a walkthrough,
context: one of our members was going to Susukino.\A girl called Serara...\You're going to find her?\The transport gates still aren't working, right?\Using fairy rings would be the only other way there.\Yes, but...\Indeed.\Since we can't look up any online timetables in a walkthrough, response:	using them is dangerous because we can't be sure where we'll end up.
context: A girl called Serara...\You're going to find her?\The transport gates still aren't working, right?\Using fairy rings would be the only other way there.\Yes, but...\Indeed.\Since we can't look up any online timetables in a walkthrough,\using them is dangerous because we can't be sure where we'll end up. response:	There's also the return spell, Call of Home, right?
context: You're going to find her?\The transport gates still aren't working, right?\Using fairy rings would be the only other way there.\Yes, but...\Indeed.\Since we can't look up any online timetables in a walkthrough,\using them is dangerous because we can't be sure where we'll end up.\There's also the return spell, Call of Home, right? response:	You can return to the last of the five Great Cities you visited... Wait.
context: The transport gates still aren't working, right?\Using fairy rings would be the only other way there.\Yes, but...\Indeed.\Since we can't look up any online timetables in a walkthrough,\using them is dangerous because we can't be sure where we'll end up.\There's also the return spell, Call of Home, right?\You can return to the last of the five Great Cities you visited... Wait. response:	The last one she visited was Susukino.
context: Using fairy rings would be the only other way there.\Yes, but...\Indeed.\Since we can't look up any online timetables in a walkthrough,\using them is dangerous because we can't be sure where we'll end up.\There's also the return spell, Call of Home, right?\You can return to the last of the five Great Cities you visited... Wait.\The last one she visited was Susukino. response:	Yeah.
context: Yes, but...\Indeed.\Since we can't look up any online timetables in a walkthrough,\using them is dangerous because we can't be sure where we'll end up.\There's also the return spell, Call of Home, right?\You can return to the last of the five Great Cities you visited... Wait.\The last one she visited was Susukino.\Yeah. response:	The only methods left are walking or by horse.
context: Indeed.\Since we can't look up any online timetables in a walkthrough,\using them is dangerous because we can't be sure where we'll end up.\There's also the return spell, Call of Home, right?\You can return to the last of the five Great Cities you visited... Wait.\The last one she visited was Susukino.\Yeah.\The only methods left are walking or by horse. response:	In the real world, there are 850 km between Tokyo and Sapporo.
context: Since we can't look up any online timetables in a walkthrough,\using them is dangerous because we can't be sure where we'll end up.\There's also the return spell, Call of Home, right?\You can return to the last of the five Great Cities you visited... Wait.\The last one she visited was Susukino.\Yeah.\The only methods left are walking or by horse.\In the real world, there are 850 km between Tokyo and Sapporo. response:	The Elder Tale world uses the Half Gaia Project,
context: using them is dangerous because we can't be sure where we'll end up.\There's also the return spell, Call of Home, right?\You can return to the last of the five Great Cities you visited... Wait.\The last one she visited was Susukino.\Yeah.\The only methods left are walking or by horse.\In the real world, there are 850 km between Tokyo and Sapporo.\The Elder Tale world uses the Half Gaia Project, response:	so it would be 425 km.
context: There's also the return spell, Call of Home, right?\You can return to the last of the five Great Cities you visited... Wait.\The last one she visited was Susukino.\Yeah.\The only methods left are walking or by horse.\In the real world, there are 850 km between Tokyo and Sapporo.\The Elder Tale world uses the Half Gaia Project,\so it would be 425 km. response:	And during that time, you'd have to fight monsters, of course.
context: You can return to the last of the five Great Cities you visited... Wait.\The last one she visited was Susukino.\Yeah.\The only methods left are walking or by horse.\In the real world, there are 850 km between Tokyo and Sapporo.\The Elder Tale world uses the Half Gaia Project,\so it would be 425 km.\And during that time, you'd have to fight monsters, of course. response:	Why send help now?
context: The last one she visited was Susukino.\Yeah.\The only methods left are walking or by horse.\In the real world, there are 850 km between Tokyo and Sapporo.\The Elder Tale world uses the Half Gaia Project,\so it would be 425 km.\And during that time, you'd have to fight monsters, of course.\Why send help now? response:	Well...
context: Yeah.\The only methods left are walking or by horse.\In the real world, there are 850 km between Tokyo and Sapporo.\The Elder Tale world uses the Half Gaia Project,\so it would be 425 km.\And during that time, you'd have to fight monsters, of course.\Why send help now?\Well... response:	W-We've been planning to send a rescue team for a while...
context: The only methods left are walking or by horse.\In the real world, there are 850 km between Tokyo and Sapporo.\The Elder Tale world uses the Half Gaia Project,\so it would be 425 km.\And during that time, you'd have to fight monsters, of course.\Why send help now?\Well...\W-We've been planning to send a rescue team for a while... response:	Marie...
context: In the real world, there are 850 km between Tokyo and Sapporo.\The Elder Tale world uses the Half Gaia Project,\so it would be 425 km.\And during that time, you'd have to fight monsters, of course.\Why send help now?\Well...\W-We've been planning to send a rescue team for a while...\Marie... response:	D-Don't look at me that way.
context: The Elder Tale world uses the Half Gaia Project,\so it would be 425 km.\And during that time, you'd have to fight monsters, of course.\Why send help now?\Well...\W-We've been planning to send a rescue team for a while...\Marie...\D-Don't look at me that way. response:	You look really mean...
context: so it would be 425 km.\And during that time, you'd have to fight monsters, of course.\Why send help now?\Well...\W-We've been planning to send a rescue team for a while...\Marie...\D-Don't look at me that way.\You look really mean... response:	If you do that, girls won't like you!
context: And during that time, you'd have to fight monsters, of course.\Why send help now?\Well...\W-We've been planning to send a rescue team for a while...\Marie...\D-Don't look at me that way.\You look really mean...\If you do that, girls won't like you! response:	Things in Susukino are worse than they are here.
context: Why send help now?\Well...\W-We've been planning to send a rescue team for a while...\Marie...\D-Don't look at me that way.\You look really mean...\If you do that, girls won't like you!\Things in Susukino are worse than they are here. response:	Marie?
context: Well...\W-We've been planning to send a rescue team for a while...\Marie...\D-Don't look at me that way.\You look really mean...\If you do that, girls won't like you!\Things in Susukino are worse than they are here.\Marie? response:	Some nasty players attacked Serara.
context: W-We've been planning to send a rescue team for a while...\Marie...\D-Don't look at me that way.\You look really mean...\If you do that, girls won't like you!\Things in Susukino are worse than they are here.\Marie?\Some nasty players attacked Serara. response:	She was lucky to be saved by a nice player.
context: Marie...\D-Don't look at me that way.\You look really mean...\If you do that, girls won't like you!\Things in Susukino are worse than they are here.\Marie?\Some nasty players attacked Serara.\She was lucky to be saved by a nice player. response:	Now they're protecting her.
context: D-Don't look at me that way.\You look really mean...\If you do that, girls won't like you!\Things in Susukino are worse than they are here.\Marie?\Some nasty players attacked Serara.\She was lucky to be saved by a nice player.\Now they're protecting her. response:	And so, we were going to take our highest-level players to Susukino.
context: You look really mean...\If you do that, girls won't like you!\Things in Susukino are worse than they are here.\Marie?\Some nasty players attacked Serara.\She was lucky to be saved by a nice player.\Now they're protecting her.\And so, we were going to take our highest-level players to Susukino. response:	And I wanted to ask if you'd take care of the rest of the guild while we're away.
context: If you do that, girls won't like you!\Things in Susukino are worse than they are here.\Marie?\Some nasty players attacked Serara.\She was lucky to be saved by a nice player.\Now they're protecting her.\And so, we were going to take our highest-level players to Susukino.\And I wanted to ask if you'd take care of the rest of the guild while we're away. response:	Please.
context: Things in Susukino are worse than they are here.\Marie?\Some nasty players attacked Serara.\She was lucky to be saved by a nice player.\Now they're protecting her.\And so, we were going to take our highest-level players to Susukino.\And I wanted to ask if you'd take care of the rest of the guild while we're away.\Please. response:	Please... I beg you.
context: Marie?\Some nasty players attacked Serara.\She was lucky to be saved by a nice player.\Now they're protecting her.\And so, we were going to take our highest-level players to Susukino.\And I wanted to ask if you'd take care of the rest of the guild while we're away.\Please.\Please... I beg you. response:	Twenty-one days is probably the fastest you can make it to Susukino.
context: Some nasty players attacked Serara.\She was lucky to be saved by a nice player.\Now they're protecting her.\And so, we were going to take our highest-level players to Susukino.\And I wanted to ask if you'd take care of the rest of the guild while we're away.\Please.\Please... I beg you.\Twenty-one days is probably the fastest you can make it to Susukino. response:	Over a month, round trip.
context: She was lucky to be saved by a nice player.\Now they're protecting her.\And so, we were going to take our highest-level players to Susukino.\And I wanted to ask if you'd take care of the rest of the guild while we're away.\Please.\Please... I beg you.\Twenty-one days is probably the fastest you can make it to Susukino.\Over a month, round trip. response:	The Crescent Moon Alliance's highest-level members?
context: Now they're protecting her.\And so, we were going to take our highest-level players to Susukino.\And I wanted to ask if you'd take care of the rest of the guild while we're away.\Please.\Please... I beg you.\Twenty-one days is probably the fastest you can make it to Susukino.\Over a month, round trip.\The Crescent Moon Alliance's highest-level members? response:	In Elder Tale, the maximum party size is six.
context: And so, we were going to take our highest-level players to Susukino.\And I wanted to ask if you'd take care of the rest of the guild while we're away.\Please.\Please... I beg you.\Twenty-one days is probably the fastest you can make it to Susukino.\Over a month, round trip.\The Crescent Moon Alliance's highest-level members?\In Elder Tale, the maximum party size is six. response:	If they had a good healer...
context: And I wanted to ask if you'd take care of the rest of the guild while we're away.\Please.\Please... I beg you.\Twenty-one days is probably the fastest you can make it to Susukino.\Over a month, round trip.\The Crescent Moon Alliance's highest-level members?\In Elder Tale, the maximum party size is six.\If they had a good healer... response:	No, their journey is going to fail.
context: Please.\Please... I beg you.\Twenty-one days is probably the fastest you can make it to Susukino.\Over a month, round trip.\The Crescent Moon Alliance's highest-level members?\In Elder Tale, the maximum party size is six.\If they had a good healer...\No, their journey is going to fail. response:	What's the best option, then?
context: Please... I beg you.\Twenty-one days is probably the fastest you can make it to Susukino.\Over a month, round trip.\The Crescent Moon Alliance's highest-level members?\In Elder Tale, the maximum party size is six.\If they had a good healer...\No, their journey is going to fail.\What's the best option, then? response:	We... We should go.
context: Twenty-one days is probably the fastest you can make it to Susukino.\Over a month, round trip.\The Crescent Moon Alliance's highest-level members?\In Elder Tale, the maximum party size is six.\If they had a good healer...\No, their journey is going to fail.\What's the best option, then?\We... We should go. response:	But I have no right to involve myself
context: Over a month, round trip.\The Crescent Moon Alliance's highest-level members?\In Elder Tale, the maximum party size is six.\If they had a good healer...\No, their journey is going to fail.\What's the best option, then?\We... We should go.\But I have no right to involve myself response:	in someone else's guild.
context: The Crescent Moon Alliance's highest-level members?\In Elder Tale, the maximum party size is six.\If they had a good healer...\No, their journey is going to fail.\What's the best option, then?\We... We should go.\But I have no right to involve myself\in someone else's guild. response:	And they wouldn't want that, anyway.
context: In Elder Tale, the maximum party size is six.\If they had a good healer...\No, their journey is going to fail.\What's the best option, then?\We... We should go.\But I have no right to involve myself\in someone else's guild.\And they wouldn't want that, anyway. response:	But... Even so...
context: If they had a good healer...\No, their journey is going to fail.\What's the best option, then?\We... We should go.\But I have no right to involve myself\in someone else's guild.\And they wouldn't want that, anyway.\But... Even so... response:	Even so, I...
context: No, their journey is going to fail.\What's the best option, then?\We... We should go.\But I have no right to involve myself\in someone else's guild.\And they wouldn't want that, anyway.\But... Even so...\Even so, I... response:	Say it, Shiro.
context: What's the best option, then?\We... We should go.\But I have no right to involve myself\in someone else's guild.\And they wouldn't want that, anyway.\But... Even so...\Even so, I...\Say it, Shiro. response:	Your turn to speak, my lord.
context: We... We should go.\But I have no right to involve myself\in someone else's guild.\And they wouldn't want that, anyway.\But... Even so...\Even so, I...\Say it, Shiro.\Your turn to speak, my lord. response:	We will go.
context: But I have no right to involve myself\in someone else's guild.\And they wouldn't want that, anyway.\But... Even so...\Even so, I...\Say it, Shiro.\Your turn to speak, my lord.\We will go. response:	The best option is for us to go.
context: in someone else's guild.\And they wouldn't want that, anyway.\But... Even so...\Even so, I...\Say it, Shiro.\Your turn to speak, my lord.\We will go.\The best option is for us to go. response:	Ueno Thieves' Realm Japan Server League of Freedom Cities, Eastal/ Ueno Field/ No Monsters Demihumans, Thieves Present Entry Restrictions/ None Events/ None Currently
context: And they wouldn't want that, anyway.\But... Even so...\Even so, I...\Say it, Shiro.\Your turn to speak, my lord.\We will go.\The best option is for us to go.\Ueno Thieves' Realm Japan Server League of Freedom Cities, Eastal/ Ueno Field/ No Monsters Demihumans, Thieves Present Entry Restrictions/ None Events/ None Currently response:	Shiroe, Naotsugu, Akatsuki...
context: But... Even so...\Even so, I...\Say it, Shiro.\Your turn to speak, my lord.\We will go.\The best option is for us to go.\Ueno Thieves' Realm Japan Server League of Freedom Cities, Eastal/ Ueno Field/ No Monsters Demihumans, Thieves Present Entry Restrictions/ None Events/ None Currently\Shiroe, Naotsugu, Akatsuki... response:	Please save Serara.
context: Even so, I...\Say it, Shiro.\Your turn to speak, my lord.\We will go.\The best option is for us to go.\Ueno Thieves' Realm Japan Server League of Freedom Cities, Eastal/ Ueno Field/ No Monsters Demihumans, Thieves Present Entry Restrictions/ None Events/ None Currently\Shiroe, Naotsugu, Akatsuki...\Please save Serara. response:	Leave it to us, and to my lord.
context: Say it, Shiro.\Your turn to speak, my lord.\We will go.\The best option is for us to go.\Ueno Thieves' Realm Japan Server League of Freedom Cities, Eastal/ Ueno Field/ No Monsters Demihumans, Thieves Present Entry Restrictions/ None Events/ None Currently\Shiroe, Naotsugu, Akatsuki...\Please save Serara.\Leave it to us, and to my lord. response:	A ninja does not know the word failure.
context: Your turn to speak, my lord.\We will go.\The best option is for us to go.\Ueno Thieves' Realm Japan Server League of Freedom Cities, Eastal/ Ueno Field/ No Monsters Demihumans, Thieves Present Entry Restrictions/ None Events/ None Currently\Shiroe, Naotsugu, Akatsuki...\Please save Serara.\Leave it to us, and to my lord.\A ninja does not know the word failure. response:	Just like in the game,
context: We will go.\The best option is for us to go.\Ueno Thieves' Realm Japan Server League of Freedom Cities, Eastal/ Ueno Field/ No Monsters Demihumans, Thieves Present Entry Restrictions/ None Events/ None Currently\Shiroe, Naotsugu, Akatsuki...\Please save Serara.\Leave it to us, and to my lord.\A ninja does not know the word failure.\Just like in the game, response:	we were able to use items to summon horses.
context: The best option is for us to go.\Ueno Thieves' Realm Japan Server League of Freedom Cities, Eastal/ Ueno Field/ No Monsters Demihumans, Thieves Present Entry Restrictions/ None Events/ None Currently\Shiroe, Naotsugu, Akatsuki...\Please save Serara.\Leave it to us, and to my lord.\A ninja does not know the word failure.\Just like in the game,\we were able to use items to summon horses. response:	Where do you suppose these horses come from, anyway?
context: Ueno Thieves' Realm Japan Server League of Freedom Cities, Eastal/ Ueno Field/ No Monsters Demihumans, Thieves Present Entry Restrictions/ None Events/ None Currently\Shiroe, Naotsugu, Akatsuki...\Please save Serara.\Leave it to us, and to my lord.\A ninja does not know the word failure.\Just like in the game,\we were able to use items to summon horses.\Where do you suppose these horses come from, anyway? response:	Our bodies knew how to ride them, too.
context: Shiroe, Naotsugu, Akatsuki...\Please save Serara.\Leave it to us, and to my lord.\A ninja does not know the word failure.\Just like in the game,\we were able to use items to summon horses.\Where do you suppose these horses come from, anyway?\Our bodies knew how to ride them, too. response:	It's nice that the movement is automatic,
context: Please save Serara.\Leave it to us, and to my lord.\A ninja does not know the word failure.\Just like in the game,\we were able to use items to summon horses.\Where do you suppose these horses come from, anyway?\Our bodies knew how to ride them, too.\It's nice that the movement is automatic, response:	but it still hurts my butt...
context: Leave it to us, and to my lord.\A ninja does not know the word failure.\Just like in the game,\we were able to use items to summon horses.\Where do you suppose these horses come from, anyway?\Our bodies knew how to ride them, too.\It's nice that the movement is automatic,\but it still hurts my butt... response:	Does it?
context: A ninja does not know the word failure.\Just like in the game,\we were able to use items to summon horses.\Where do you suppose these horses come from, anyway?\Our bodies knew how to ride them, too.\It's nice that the movement is automatic,\but it still hurts my butt...\Does it? response:	That's a really nice map.
context: Just like in the game,\we were able to use items to summon horses.\Where do you suppose these horses come from, anyway?\Our bodies knew how to ride them, too.\It's nice that the movement is automatic,\but it still hurts my butt...\Does it?\That's a really nice map. response:	My subclass is scribe.
context: we were able to use items to summon horses.\Where do you suppose these horses come from, anyway?\Our bodies knew how to ride them, too.\It's nice that the movement is automatic,\but it still hurts my butt...\Does it?\That's a really nice map.\My subclass is scribe. response:	I made a copy of the maps at the archives.
context: Where do you suppose these horses come from, anyway?\Our bodies knew how to ride them, too.\It's nice that the movement is automatic,\but it still hurts my butt...\Does it?\That's a really nice map.\My subclass is scribe.\I made a copy of the maps at the archives. response:	I see... Nice job, my lord.
context: Our bodies knew how to ride them, too.\It's nice that the movement is automatic,\but it still hurts my butt...\Does it?\That's a really nice map.\My subclass is scribe.\I made a copy of the maps at the archives.\I see... Nice job, my lord. response:	Well? Where are we?
context: It's nice that the movement is automatic,\but it still hurts my butt...\Does it?\That's a really nice map.\My subclass is scribe.\I made a copy of the maps at the archives.\I see... Nice job, my lord.\Well? Where are we? response:	Most likely...
context: but it still hurts my butt...\Does it?\That's a really nice map.\My subclass is scribe.\I made a copy of the maps at the archives.\I see... Nice job, my lord.\Well? Where are we?\Most likely... response:	Seriously? I can't tell at all.
context: Does it?\That's a really nice map.\My subclass is scribe.\I made a copy of the maps at the archives.\I see... Nice job, my lord.\Well? Where are we?\Most likely...\Seriously? I can't tell at all. response:	Oh, well... We'll make better time in the afternoon.
context: That's a really nice map.\My subclass is scribe.\I made a copy of the maps at the archives.\I see... Nice job, my lord.\Well? Where are we?\Most likely...\Seriously? I can't tell at all.\Oh, well... We'll make better time in the afternoon. response:	Roger.
context: My subclass is scribe.\I made a copy of the maps at the archives.\I see... Nice job, my lord.\Well? Where are we?\Most likely...\Seriously? I can't tell at all.\Oh, well... We'll make better time in the afternoon.\Roger. response:	I just wish they could do something about the food...
context: I made a copy of the maps at the archives.\I see... Nice job, my lord.\Well? Where are we?\Most likely...\Seriously? I can't tell at all.\Oh, well... We'll make better time in the afternoon.\Roger.\I just wish they could do something about the food... response:	We'll go.
context: I see... Nice job, my lord.\Well? Where are we?\Most likely...\Seriously? I can't tell at all.\Oh, well... We'll make better time in the afternoon.\Roger.\I just wish they could do something about the food...\We'll go. response:	If someone you know is crying, you help.
context: Well? Where are we?\Most likely...\Seriously? I can't tell at all.\Oh, well... We'll make better time in the afternoon.\Roger.\I just wish they could do something about the food...\We'll go.\If someone you know is crying, you help. response:	There's nothing unusual about that.
context: Most likely...\Seriously? I can't tell at all.\Oh, well... We'll make better time in the afternoon.\Roger.\I just wish they could do something about the food...\We'll go.\If someone you know is crying, you help.\There's nothing unusual about that. response:	Yes.
context: Seriously? I can't tell at all.\Oh, well... We'll make better time in the afternoon.\Roger.\I just wish they could do something about the food...\We'll go.\If someone you know is crying, you help.\There's nothing unusual about that.\Yes. response:	Even if we have nothing to do,
context: Oh, well... We'll make better time in the afternoon.\Roger.\I just wish they could do something about the food...\We'll go.\If someone you know is crying, you help.\There's nothing unusual about that.\Yes.\Even if we have nothing to do, response:	that's no reason for us to be pathetic, too.
context: Roger.\I just wish they could do something about the food...\We'll go.\If someone you know is crying, you help.\There's nothing unusual about that.\Yes.\Even if we have nothing to do,\that's no reason for us to be pathetic, too. response:	You're right.
context: I just wish they could do something about the food...\We'll go.\If someone you know is crying, you help.\There's nothing unusual about that.\Yes.\Even if we have nothing to do,\that's no reason for us to be pathetic, too.\You're right. response:	This is my... It's our answer.
context: We'll go.\If someone you know is crying, you help.\There's nothing unusual about that.\Yes.\Even if we have nothing to do,\that's no reason for us to be pathetic, too.\You're right.\This is my... It's our answer. response:	What we can do.
context: If someone you know is crying, you help.\There's nothing unusual about that.\Yes.\Even if we have nothing to do,\that's no reason for us to be pathetic, too.\You're right.\This is my... It's our answer.\What we can do. response:	Or is that too cool for us?
context: There's nothing unusual about that.\Yes.\Even if we have nothing to do,\that's no reason for us to be pathetic, too.\You're right.\This is my... It's our answer.\What we can do.\Or is that too cool for us? response:	No, but...
context: Yes.\Even if we have nothing to do,\that's no reason for us to be pathetic, too.\You're right.\This is my... It's our answer.\What we can do.\Or is that too cool for us?\No, but... response:	But that's how cool it was...
context: Even if we have nothing to do,\that's no reason for us to be pathetic, too.\You're right.\This is my... It's our answer.\What we can do.\Or is that too cool for us?\No, but...\But that's how cool it was... response:	Our old place, the Debauchery Tea Party.
context: that's no reason for us to be pathetic, too.\You're right.\This is my... It's our answer.\What we can do.\Or is that too cool for us?\No, but...\But that's how cool it was...\Our old place, the Debauchery Tea Party. response:	Now, then...
context: You're right.\This is my... It's our answer.\What we can do.\Or is that too cool for us?\No, but...\But that's how cool it was...\Our old place, the Debauchery Tea Party.\Now, then... response:	Wait.
context: This is my... It's our answer.\What we can do.\Or is that too cool for us?\No, but...\But that's how cool it was...\Our old place, the Debauchery Tea Party.\Now, then...\Wait. response:	What is that, my lord?
context: What we can do.\Or is that too cool for us?\No, but...\But that's how cool it was...\Our old place, the Debauchery Tea Party.\Now, then...\Wait.\What is that, my lord? response:	Those are griffons.
context: Or is that too cool for us?\No, but...\But that's how cool it was...\Our old place, the Debauchery Tea Party.\Now, then...\Wait.\What is that, my lord?\Those are griffons. response:	Well, yeah.
context: No, but...\But that's how cool it was...\Our old place, the Debauchery Tea Party.\Now, then...\Wait.\What is that, my lord?\Those are griffons.\Well, yeah. response:	You didn't think we were going to get to the far north on horses, did you?
context: But that's how cool it was...\Our old place, the Debauchery Tea Party.\Now, then...\Wait.\What is that, my lord?\Those are griffons.\Well, yeah.\You didn't think we were going to get to the far north on horses, did you? response:	But these monsters...
context: Our old place, the Debauchery Tea Party.\Now, then...\Wait.\What is that, my lord?\Those are griffons.\Well, yeah.\You didn't think we were going to get to the far north on horses, did you?\But these monsters... response:	Hand.
context: Now, then...\Wait.\What is that, my lord?\Those are griffons.\Well, yeah.\You didn't think we were going to get to the far north on horses, did you?\But these monsters...\Hand. response:	Wait... W-We're riding them?
context: Wait.\What is that, my lord?\Those are griffons.\Well, yeah.\You didn't think we were going to get to the far north on horses, did you?\But these monsters...\Hand.\Wait... W-We're riding them? response:	Good!
