context: The seventh floor?! response:	You almost got yourself killed on the fifth floor not that long ago!
context: Thank you!\Thank you so much!\Cranel-san...\Um... Please...\You should be doing this with Syr, not me.\Ryu, what are you saying?\Here you are, then.\I'm so glad... response:	I'm sorry, Goddess!
context: Thank you so much!\Cranel-san...\Um... Please...\You should be doing this with Syr, not me.\Ryu, what are you saying?\Here you are, then.\I'm so glad...\I'm sorry, Goddess! response:	I'll never drop it again.
context: Cranel-san...\Um... Please...\You should be doing this with Syr, not me.\Ryu, what are you saying?\Here you are, then.\I'm so glad...\I'm sorry, Goddess!\I'll never drop it again. response:	Drop it?
context: Um... Please...\You should be doing this with Syr, not me.\Ryu, what are you saying?\Here you are, then.\I'm so glad...\I'm sorry, Goddess!\I'll never drop it again.\Drop it? response:	Yes.
context: You should be doing this with Syr, not me.\Ryu, what are you saying?\Here you are, then.\I'm so glad...\I'm sorry, Goddess!\I'll never drop it again.\Drop it?\Yes. response:	Where did you find it?
context: Ryu, what are you saying?\Here you are, then.\I'm so glad...\I'm sorry, Goddess!\I'll never drop it again.\Drop it?\Yes.\Where did you find it? response:	I didn't so much find it.
context: Here you are, then.\I'm so glad...\I'm sorry, Goddess!\I'll never drop it again.\Drop it?\Yes.\Where did you find it?\I didn't so much find it. response:	A prum had it.
context: I'm so glad...\I'm sorry, Goddess!\I'll never drop it again.\Drop it?\Yes.\Where did you find it?\I didn't so much find it.\A prum had it. response:	A prum?
context: I'm sorry, Goddess!\I'll never drop it again.\Drop it?\Yes.\Where did you find it?\I didn't so much find it.\A prum had it.\A prum? response:	We'll be going, then.
context: I'll never drop it again.\Drop it?\Yes.\Where did you find it?\I didn't so much find it.\A prum had it.\A prum?\We'll be going, then. response:	Th-Thank you.
context: Drop it?\Yes.\Where did you find it?\I didn't so much find it.\A prum had it.\A prum?\We'll be going, then.\Th-Thank you. response:	Don't be too much of a brat, okay?
context: Yes.\Where did you find it?\I didn't so much find it.\A prum had it.\A prum?\We'll be going, then.\Th-Thank you.\Don't be too much of a brat, okay? response:	Good timing, though.
context: Where did you find it?\I didn't so much find it.\A prum had it.\A prum?\We'll be going, then.\Th-Thank you.\Don't be too much of a brat, okay?\Good timing, though. response:	I was actually going to look for you.
context: I didn't so much find it.\A prum had it.\A prum?\We'll be going, then.\Th-Thank you.\Don't be too much of a brat, okay?\Good timing, though.\I was actually going to look for you. response:	Um, Lili.
context: A prum had it.\A prum?\We'll be going, then.\Th-Thank you.\Don't be too much of a brat, okay?\Good timing, though.\I was actually going to look for you.\Um, Lili. response:	Would you go into the dungeon with me tomorrow?
context: A prum?\We'll be going, then.\Th-Thank you.\Don't be too much of a brat, okay?\Good timing, though.\I was actually going to look for you.\Um, Lili.\Would you go into the dungeon with me tomorrow? response:	Bell-sama...
context: We'll be going, then.\Th-Thank you.\Don't be too much of a brat, okay?\Good timing, though.\I was actually going to look for you.\Um, Lili.\Would you go into the dungeon with me tomorrow?\Bell-sama... response:	Thank you for hiring me.
context: Th-Thank you.\Don't be too much of a brat, okay?\Good timing, though.\I was actually going to look for you.\Um, Lili.\Would you go into the dungeon with me tomorrow?\Bell-sama...\Thank you for hiring me. response:	By the way, Bell-sama, I don't see that knife of yours.
context: Don't be too much of a brat, okay?\Good timing, though.\I was actually going to look for you.\Um, Lili.\Would you go into the dungeon with me tomorrow?\Bell-sama...\Thank you for hiring me.\By the way, Bell-sama, I don't see that knife of yours. response:	Yeah.
context: Good timing, though.\I was actually going to look for you.\Um, Lili.\Would you go into the dungeon with me tomorrow?\Bell-sama...\Thank you for hiring me.\By the way, Bell-sama, I don't see that knife of yours.\Yeah. response:	I put it in here, so I won't drop it again.
context: I was actually going to look for you.\Um, Lili.\Would you go into the dungeon with me tomorrow?\Bell-sama...\Thank you for hiring me.\By the way, Bell-sama, I don't see that knife of yours.\Yeah.\I put it in here, so I won't drop it again. response:	Did you?
context: Um, Lili.\Would you go into the dungeon with me tomorrow?\Bell-sama...\Thank you for hiring me.\By the way, Bell-sama, I don't see that knife of yours.\Yeah.\I put it in here, so I won't drop it again.\Did you? response:	Anyway, you sure you don't want any money for the contract?
context: Would you go into the dungeon with me tomorrow?\Bell-sama...\Thank you for hiring me.\By the way, Bell-sama, I don't see that knife of yours.\Yeah.\I put it in here, so I won't drop it again.\Did you?\Anyway, you sure you don't want any money for the contract? response:	Yes. Since you're alone, distributing the loot isn't that complicated.
context: Bell-sama...\Thank you for hiring me.\By the way, Bell-sama, I don't see that knife of yours.\Yeah.\I put it in here, so I won't drop it again.\Did you?\Anyway, you sure you don't want any money for the contract?\Yes. Since you're alone, distributing the loot isn't that complicated. response:	And...
context: Thank you for hiring me.\By the way, Bell-sama, I don't see that knife of yours.\Yeah.\I put it in here, so I won't drop it again.\Did you?\Anyway, you sure you don't want any money for the contract?\Yes. Since you're alone, distributing the loot isn't that complicated.\And... response:	And?
context: By the way, Bell-sama, I don't see that knife of yours.\Yeah.\I put it in here, so I won't drop it again.\Did you?\Anyway, you sure you don't want any money for the contract?\Yes. Since you're alone, distributing the loot isn't that complicated.\And...\And? response:	That's better for you, too, isn't it?
context: Yeah.\I put it in here, so I won't drop it again.\Did you?\Anyway, you sure you don't want any money for the contract?\Yes. Since you're alone, distributing the loot isn't that complicated.\And...\And?\That's better for you, too, isn't it? response:	Okay, let's go!
context: I put it in here, so I won't drop it again.\Did you?\Anyway, you sure you don't want any money for the contract?\Yes. Since you're alone, distributing the loot isn't that complicated.\And...\And?\That's better for you, too, isn't it?\Okay, let's go! response:	If you do your best, there'll be no problem at all!
context: Did you?\Anyway, you sure you don't want any money for the contract?\Yes. Since you're alone, distributing the loot isn't that complicated.\And...\And?\That's better for you, too, isn't it?\Okay, let's go!\If you do your best, there'll be no problem at all! response:	Y-Yeah...
context: Anyway, you sure you don't want any money for the contract?\Yes. Since you're alone, distributing the loot isn't that complicated.\And...\And?\That's better for you, too, isn't it?\Okay, let's go!\If you do your best, there'll be no problem at all!\Y-Yeah... response:	How far should we go today?
context: Yes. Since you're alone, distributing the loot isn't that complicated.\And...\And?\That's better for you, too, isn't it?\Okay, let's go!\If you do your best, there'll be no problem at all!\Y-Yeah...\How far should we go today? response:	Let me see...
context: And...\And?\That's better for you, too, isn't it?\Okay, let's go!\If you do your best, there'll be no problem at all!\Y-Yeah...\How far should we go today?\Let me see... response:	26,000 valis?!
context: And?\That's better for you, too, isn't it?\Okay, let's go!\If you do your best, there'll be no problem at all!\Y-Yeah...\How far should we go today?\Let me see...\26,000 valis?! response:	It's not a dream, right?
context: That's better for you, too, isn't it?\Okay, let's go!\If you do your best, there'll be no problem at all!\Y-Yeah...\How far should we go today?\Let me see...\26,000 valis?!\It's not a dream, right? response:	All this money!
context: Okay, let's go!\If you do your best, there'll be no problem at all!\Y-Yeah...\How far should we go today?\Let me see...\26,000 valis?!\It's not a dream, right?\All this money! response:	Wow, Bell-sama!
context: If you do your best, there'll be no problem at all!\Y-Yeah...\How far should we go today?\Let me see...\26,000 valis?!\It's not a dream, right?\All this money!\Wow, Bell-sama! response:	You made more than a five-man party of Level 1 adventurers all by yourself!
context: Y-Yeah...\How far should we go today?\Let me see...\26,000 valis?!\It's not a dream, right?\All this money!\Wow, Bell-sama!\You made more than a five-man party of Level 1 adventurers all by yourself! response:	Well, they say if you praise a rabbit, it'll climb a tree!
context: How far should we go today?\Let me see...\26,000 valis?!\It's not a dream, right?\All this money!\Wow, Bell-sama!\You made more than a five-man party of Level 1 adventurers all by yourself!\Well, they say if you praise a rabbit, it'll climb a tree! response:	That must be it!
context: Let me see...\26,000 valis?!\It's not a dream, right?\All this money!\Wow, Bell-sama!\You made more than a five-man party of Level 1 adventurers all by yourself!\Well, they say if you praise a rabbit, it'll climb a tree!\That must be it! response:	I have no idea what that means,
context: 26,000 valis?!\It's not a dream, right?\All this money!\Wow, Bell-sama!\You made more than a five-man party of Level 1 adventurers all by yourself!\Well, they say if you praise a rabbit, it'll climb a tree!\That must be it!\I have no idea what that means, response:	but I'll join in!
context: It's not a dream, right?\All this money!\Wow, Bell-sama!\You made more than a five-man party of Level 1 adventurers all by yourself!\Well, they say if you praise a rabbit, it'll climb a tree!\That must be it!\I have no idea what that means,\but I'll join in! response:	Wow!
context: All this money!\Wow, Bell-sama!\You made more than a five-man party of Level 1 adventurers all by yourself!\Well, they say if you praise a rabbit, it'll climb a tree!\That must be it!\I have no idea what that means,\but I'll join in!\Wow! response:	And we can keep getting better!
context: Wow, Bell-sama!\You made more than a five-man party of Level 1 adventurers all by yourself!\Well, they say if you praise a rabbit, it'll climb a tree!\That must be it!\I have no idea what that means,\but I'll join in!\Wow!\And we can keep getting better! response:	Okay, Bell-sama. Let's split the loot.
context: You made more than a five-man party of Level 1 adventurers all by yourself!\Well, they say if you praise a rabbit, it'll climb a tree!\That must be it!\I have no idea what that means,\but I'll join in!\Wow!\And we can keep getting better!\Okay, Bell-sama. Let's split the loot. response:	Oh, right.
context: Well, they say if you praise a rabbit, it'll climb a tree!\That must be it!\I have no idea what that means,\but I'll join in!\Wow!\And we can keep getting better!\Okay, Bell-sama. Let's split the loot.\Oh, right. response:	Maybe I can get my goddess something good to eat with this.
context: That must be it!\I have no idea what that means,\but I'll join in!\Wow!\And we can keep getting better!\Okay, Bell-sama. Let's split the loot.\Oh, right.\Maybe I can get my goddess something good to eat with this. response:	Um, this is...
context: I have no idea what that means,\but I'll join in!\Wow!\And we can keep getting better!\Okay, Bell-sama. Let's split the loot.\Oh, right.\Maybe I can get my goddess something good to eat with this.\Um, this is... response:	Oh, right. Lili, do you want to go get something to eat?
context: but I'll join in!\Wow!\And we can keep getting better!\Okay, Bell-sama. Let's split the loot.\Oh, right.\Maybe I can get my goddess something good to eat with this.\Um, this is...\Oh, right. Lili, do you want to go get something to eat? response:	Bell-sama?
context: Wow!\And we can keep getting better!\Okay, Bell-sama. Let's split the loot.\Oh, right.\Maybe I can get my goddess something good to eat with this.\Um, this is...\Oh, right. Lili, do you want to go get something to eat?\Bell-sama? response:	Why are we splitting it evenly?
context: And we can keep getting better!\Okay, Bell-sama. Let's split the loot.\Oh, right.\Maybe I can get my goddess something good to eat with this.\Um, this is...\Oh, right. Lili, do you want to go get something to eat?\Bell-sama?\Why are we splitting it evenly? response:	Aren't you going to try and take it all for yourself?
context: Okay, Bell-sama. Let's split the loot.\Oh, right.\Maybe I can get my goddess something good to eat with this.\Um, this is...\Oh, right. Lili, do you want to go get something to eat?\Bell-sama?\Why are we splitting it evenly?\Aren't you going to try and take it all for yourself? response:	Huh? Why?
context: Oh, right.\Maybe I can get my goddess something good to eat with this.\Um, this is...\Oh, right. Lili, do you want to go get something to eat?\Bell-sama?\Why are we splitting it evenly?\Aren't you going to try and take it all for yourself?\Huh? Why? response:	I never could have earned this much on my own.
context: Maybe I can get my goddess something good to eat with this.\Um, this is...\Oh, right. Lili, do you want to go get something to eat?\Bell-sama?\Why are we splitting it evenly?\Aren't you going to try and take it all for yourself?\Huh? Why?\I never could have earned this much on my own. response:	It was because you were there.
context: Um, this is...\Oh, right. Lili, do you want to go get something to eat?\Bell-sama?\Why are we splitting it evenly?\Aren't you going to try and take it all for yourself?\Huh? Why?\I never could have earned this much on my own.\It was because you were there. response:	It's all thanks to you, Lili.
context: Oh, right. Lili, do you want to go get something to eat?\Bell-sama?\Why are we splitting it evenly?\Aren't you going to try and take it all for yourself?\Huh? Why?\I never could have earned this much on my own.\It was because you were there.\It's all thanks to you, Lili. response:	Let's keep working together!
context: Bell-sama?\Why are we splitting it evenly?\Aren't you going to try and take it all for yourself?\Huh? Why?\I never could have earned this much on my own.\It was because you were there.\It's all thanks to you, Lili.\Let's keep working together! response:	You're weird.
context: Why are we splitting it evenly?\Aren't you going to try and take it all for yourself?\Huh? Why?\I never could have earned this much on my own.\It was because you were there.\It's all thanks to you, Lili.\Let's keep working together!\You're weird. response:	Just 12,000 valis?
context: Aren't you going to try and take it all for yourself?\Huh? Why?\I never could have earned this much on my own.\It was because you were there.\It's all thanks to you, Lili.\Let's keep working together!\You're weird.\Just 12,000 valis? response:	What's wrong with you?
context: Huh? Why?\I never could have earned this much on my own.\It was because you were there.\It's all thanks to you, Lili.\Let's keep working together!\You're weird.\Just 12,000 valis?\What's wrong with you? response:	Are you blind?
context: I never could have earned this much on my own.\It was because you were there.\It's all thanks to you, Lili.\Let's keep working together!\You're weird.\Just 12,000 valis?\What's wrong with you?\Are you blind? response:	See? Again.
context: It was because you were there.\It's all thanks to you, Lili.\Let's keep working together!\You're weird.\Just 12,000 valis?\What's wrong with you?\Are you blind?\See? Again. response:	Another Soma Familia adventurer.
context: It's all thanks to you, Lili.\Let's keep working together!\You're weird.\Just 12,000 valis?\What's wrong with you?\Are you blind?\See? Again.\Another Soma Familia adventurer. response:	Damn it all...
context: Let's keep working together!\You're weird.\Just 12,000 valis?\What's wrong with you?\Are you blind?\See? Again.\Another Soma Familia adventurer.\Damn it all... response:	The Soma Familia, huh?
context: You're weird.\Just 12,000 valis?\What's wrong with you?\Are you blind?\See? Again.\Another Soma Familia adventurer.\Damn it all...\The Soma Familia, huh? response:	Is Bell-kun going to be okay?
context: Just 12,000 valis?\What's wrong with you?\Are you blind?\See? Again.\Another Soma Familia adventurer.\Damn it all...\The Soma Familia, huh?\Is Bell-kun going to be okay? response:	It's here...
context: What's wrong with you?\Are you blind?\See? Again.\Another Soma Familia adventurer.\Damn it all...\The Soma Familia, huh?\Is Bell-kun going to be okay?\It's here... response:	Riveria, don't interfere.
context: Are you blind?\See? Again.\Another Soma Familia adventurer.\Damn it all...\The Soma Familia, huh?\Is Bell-kun going to be okay?\It's here...\Riveria, don't interfere. response:	This is no good...
context: See? Again.\Another Soma Familia adventurer.\Damn it all...\The Soma Familia, huh?\Is Bell-kun going to be okay?\It's here...\Riveria, don't interfere.\This is no good... response:	I was going to just watch him for a while.
context: Another Soma Familia adventurer.\Damn it all...\The Soma Familia, huh?\Is Bell-kun going to be okay?\It's here...\Riveria, don't interfere.\This is no good...\I was going to just watch him for a while. response:	But I just want to play with you.
context: Damn it all...\The Soma Familia, huh?\Is Bell-kun going to be okay?\It's here...\Riveria, don't interfere.\This is no good...\I was going to just watch him for a while.\But I just want to play with you. response:	You're going to show me the power that sleeps within you.
context: The Soma Familia, huh?\Is Bell-kun going to be okay?\It's here...\Riveria, don't interfere.\This is no good...\I was going to just watch him for a while.\But I just want to play with you.\You're going to show me the power that sleeps within you. response:	I made it through another day.
context: Is Bell-kun going to be okay?\It's here...\Riveria, don't interfere.\This is no good...\I was going to just watch him for a while.\But I just want to play with you.\You're going to show me the power that sleeps within you.\I made it through another day. response:	Even if it's to repay that loan...
context: It's here...\Riveria, don't interfere.\This is no good...\I was going to just watch him for a while.\But I just want to play with you.\You're going to show me the power that sleeps within you.\I made it through another day.\Even if it's to repay that loan... response:	I'm a goddess and she's still so harsh.
context: Riveria, don't interfere.\This is no good...\I was going to just watch him for a while.\But I just want to play with you.\You're going to show me the power that sleeps within you.\I made it through another day.\Even if it's to repay that loan...\I'm a goddess and she's still so harsh. response:	I can't wait to see Bell-kun.
context: This is no good...\I was going to just watch him for a while.\But I just want to play with you.\You're going to show me the power that sleeps within you.\I made it through another day.\Even if it's to repay that loan...\I'm a goddess and she's still so harsh.\I can't wait to see Bell-kun. response:	It's Bell-kun!
context: I was going to just watch him for a while.\But I just want to play with you.\You're going to show me the power that sleeps within you.\I made it through another day.\Even if it's to repay that loan...\I'm a goddess and she's still so harsh.\I can't wait to see Bell-kun.\It's Bell-kun! response:	No!
context: But I just want to play with you.\You're going to show me the power that sleeps within you.\I made it through another day.\Even if it's to repay that loan...\I'm a goddess and she's still so harsh.\I can't wait to see Bell-kun.\It's Bell-kun!\No! response:	Bell-kun, you cheater!
context: You're going to show me the power that sleeps within you.\I made it through another day.\Even if it's to repay that loan...\I'm a goddess and she's still so harsh.\I can't wait to see Bell-kun.\It's Bell-kun!\No!\Bell-kun, you cheater! response:	Grimoire Spellbook
context: I made it through another day.\Even if it's to repay that loan...\I'm a goddess and she's still so harsh.\I can't wait to see Bell-kun.\It's Bell-kun!\No!\Bell-kun, you cheater!\Grimoire Spellbook response:	Next Time
context: Even if it's to repay that loan...\I'm a goddess and she's still so harsh.\I can't wait to see Bell-kun.\It's Bell-kun!\No!\Bell-kun, you cheater!\Grimoire Spellbook\Next Time response:	Next time: Grimoire.
