context: I think I'll go to the countryside and fish all day. response:	Fish?
context: I can't help it. It's my remuneration.\I'm fine as I am.\I have a problem with that.\This is it.\This is what the old man was working on, huh?\As long as we destroy this...\Amber, huh?\Is something wrong? response:	No.
context: I'm fine as I am.\I have a problem with that.\This is it.\This is what the old man was working on, huh?\As long as we destroy this...\Amber, huh?\Is something wrong?\No. response:	This is what the old man was working on, huh?
context: I have a problem with that.\This is it.\This is what the old man was working on, huh?\As long as we destroy this...\Amber, huh?\Is something wrong?\No.\This is what the old man was working on, huh? response:	Let's hurry.
context: This is it.\This is what the old man was working on, huh?\As long as we destroy this...\Amber, huh?\Is something wrong?\No.\This is what the old man was working on, huh?\Let's hurry. response:	Good, the ring's been destroyed.
context: This is what the old man was working on, huh?\As long as we destroy this...\Amber, huh?\Is something wrong?\No.\This is what the old man was working on, huh?\Let's hurry.\Good, the ring's been destroyed. response:	The anti-gate particle convergence unit has stopped!
context: As long as we destroy this...\Amber, huh?\Is something wrong?\No.\This is what the old man was working on, huh?\Let's hurry.\Good, the ring's been destroyed.\The anti-gate particle convergence unit has stopped! response:	What did you say?
context: Amber, huh?\Is something wrong?\No.\This is what the old man was working on, huh?\Let's hurry.\Good, the ring's been destroyed.\The anti-gate particle convergence unit has stopped!\What did you say? response:	What are you going to do about this? I risked everything in order to create that masterpiece!
context: Is something wrong?\No.\This is what the old man was working on, huh?\Let's hurry.\Good, the ring's been destroyed.\The anti-gate particle convergence unit has stopped!\What did you say?\What are you going to do about this? I risked everything in order to create that masterpiece! response:	Brita!
context: No.\This is what the old man was working on, huh?\Let's hurry.\Good, the ring's been destroyed.\The anti-gate particle convergence unit has stopped!\What did you say?\What are you going to do about this? I risked everything in order to create that masterpiece!\Brita! response:	How's the ring?
context: This is what the old man was working on, huh?\Let's hurry.\Good, the ring's been destroyed.\The anti-gate particle convergence unit has stopped!\What did you say?\What are you going to do about this? I risked everything in order to create that masterpiece!\Brita!\How's the ring? response:	It's been taken care of.
context: Let's hurry.\Good, the ring's been destroyed.\The anti-gate particle convergence unit has stopped!\What did you say?\What are you going to do about this? I risked everything in order to create that masterpiece!\Brita!\How's the ring?\It's been taken care of. response:	How are things?
context: Good, the ring's been destroyed.\The anti-gate particle convergence unit has stopped!\What did you say?\What are you going to do about this? I risked everything in order to create that masterpiece!\Brita!\How's the ring?\It's been taken care of.\How are things? response:	Nearly every member who participated in the attack is dead.
context: The anti-gate particle convergence unit has stopped!\What did you say?\What are you going to do about this? I risked everything in order to create that masterpiece!\Brita!\How's the ring?\It's been taken care of.\How are things?\Nearly every member who participated in the attack is dead. response:	Those who survived are trying to get away.
context: What did you say?\What are you going to do about this? I risked everything in order to create that masterpiece!\Brita!\How's the ring?\It's been taken care of.\How are things?\Nearly every member who participated in the attack is dead.\Those who survived are trying to get away. response:	I see.
context: What are you going to do about this? I risked everything in order to create that masterpiece!\Brita!\How's the ring?\It's been taken care of.\How are things?\Nearly every member who participated in the attack is dead.\Those who survived are trying to get away.\I see. response:	What about Amagiri?
context: Brita!\How's the ring?\It's been taken care of.\How are things?\Nearly every member who participated in the attack is dead.\Those who survived are trying to get away.\I see.\What about Amagiri? response:	What's going on?
context: How's the ring?\It's been taken care of.\How are things?\Nearly every member who participated in the attack is dead.\Those who survived are trying to get away.\I see.\What about Amagiri?\What's going on? response:	The gate... Could it be within that wall?
context: It's been taken care of.\How are things?\Nearly every member who participated in the attack is dead.\Those who survived are trying to get away.\I see.\What about Amagiri?\What's going on?\The gate... Could it be within that wall? response:	There's a new anti-gate particle response.
context: How are things?\Nearly every member who participated in the attack is dead.\Those who survived are trying to get away.\I see.\What about Amagiri?\What's going on?\The gate... Could it be within that wall?\There's a new anti-gate particle response. response:	The Saturn Ring is still functional.
context: Nearly every member who participated in the attack is dead.\Those who survived are trying to get away.\I see.\What about Amagiri?\What's going on?\The gate... Could it be within that wall?\There's a new anti-gate particle response.\The Saturn Ring is still functional. response:	It looks like we weren't the only ones who were trying to deceive our opponents.
context: Those who survived are trying to get away.\I see.\What about Amagiri?\What's going on?\The gate... Could it be within that wall?\There's a new anti-gate particle response.\The Saturn Ring is still functional.\It looks like we weren't the only ones who were trying to deceive our opponents. response:	Our hope now rests with Amber and these children.
context: I see.\What about Amagiri?\What's going on?\The gate... Could it be within that wall?\There's a new anti-gate particle response.\The Saturn Ring is still functional.\It looks like we weren't the only ones who were trying to deceive our opponents.\Our hope now rests with Amber and these children. response:	I wasn't informed about that!
context: What about Amagiri?\What's going on?\The gate... Could it be within that wall?\There's a new anti-gate particle response.\The Saturn Ring is still functional.\It looks like we weren't the only ones who were trying to deceive our opponents.\Our hope now rests with Amber and these children.\I wasn't informed about that! response:	Yes, this would be the first time you've heard about it.
context: What's going on?\The gate... Could it be within that wall?\There's a new anti-gate particle response.\The Saturn Ring is still functional.\It looks like we weren't the only ones who were trying to deceive our opponents.\Our hope now rests with Amber and these children.\I wasn't informed about that!\Yes, this would be the first time you've heard about it. response:	The destroyed ring was only a decoy.
context: The gate... Could it be within that wall?\There's a new anti-gate particle response.\The Saturn Ring is still functional.\It looks like we weren't the only ones who were trying to deceive our opponents.\Our hope now rests with Amber and these children.\I wasn't informed about that!\Yes, this would be the first time you've heard about it.\The destroyed ring was only a decoy. response:	The existence of a backup was never disclosed.
context: There's a new anti-gate particle response.\The Saturn Ring is still functional.\It looks like we weren't the only ones who were trying to deceive our opponents.\Our hope now rests with Amber and these children.\I wasn't informed about that!\Yes, this would be the first time you've heard about it.\The destroyed ring was only a decoy.\The existence of a backup was never disclosed. response:	I see. There wasn't a backup of the Jupiter Ring to prevent that accident from happening in South America.
context: The Saturn Ring is still functional.\It looks like we weren't the only ones who were trying to deceive our opponents.\Our hope now rests with Amber and these children.\I wasn't informed about that!\Yes, this would be the first time you've heard about it.\The destroyed ring was only a decoy.\The existence of a backup was never disclosed.\I see. There wasn't a backup of the Jupiter Ring to prevent that accident from happening in South America. response:	Marvelous! You're marvelous!
context: It looks like we weren't the only ones who were trying to deceive our opponents.\Our hope now rests with Amber and these children.\I wasn't informed about that!\Yes, this would be the first time you've heard about it.\The destroyed ring was only a decoy.\The existence of a backup was never disclosed.\I see. There wasn't a backup of the Jupiter Ring to prevent that accident from happening in South America.\Marvelous! You're marvelous! response:	This is what the inside of the gate looks like, huh?
context: Our hope now rests with Amber and these children.\I wasn't informed about that!\Yes, this would be the first time you've heard about it.\The destroyed ring was only a decoy.\The existence of a backup was never disclosed.\I see. There wasn't a backup of the Jupiter Ring to prevent that accident from happening in South America.\Marvelous! You're marvelous!\This is what the inside of the gate looks like, huh? response:	Observer apparition?
context: I wasn't informed about that!\Yes, this would be the first time you've heard about it.\The destroyed ring was only a decoy.\The existence of a backup was never disclosed.\I see. There wasn't a backup of the Jupiter Ring to prevent that accident from happening in South America.\Marvelous! You're marvelous!\This is what the inside of the gate looks like, huh?\Observer apparition? response:	It's calling.
context: Yes, this would be the first time you've heard about it.\The destroyed ring was only a decoy.\The existence of a backup was never disclosed.\I see. There wasn't a backup of the Jupiter Ring to prevent that accident from happening in South America.\Marvelous! You're marvelous!\This is what the inside of the gate looks like, huh?\Observer apparition?\It's calling. response:	Wait, Yin! Don't move around so carelessly.
context: The destroyed ring was only a decoy.\The existence of a backup was never disclosed.\I see. There wasn't a backup of the Jupiter Ring to prevent that accident from happening in South America.\Marvelous! You're marvelous!\This is what the inside of the gate looks like, huh?\Observer apparition?\It's calling.\Wait, Yin! Don't move around so carelessly. response:	This way.
context: The existence of a backup was never disclosed.\I see. There wasn't a backup of the Jupiter Ring to prevent that accident from happening in South America.\Marvelous! You're marvelous!\This is what the inside of the gate looks like, huh?\Observer apparition?\It's calling.\Wait, Yin! Don't move around so carelessly.\This way. response:	Yin!
context: I see. There wasn't a backup of the Jupiter Ring to prevent that accident from happening in South America.\Marvelous! You're marvelous!\This is what the inside of the gate looks like, huh?\Observer apparition?\It's calling.\Wait, Yin! Don't move around so carelessly.\This way.\Yin! response:	H-Hey!
context: Marvelous! You're marvelous!\This is what the inside of the gate looks like, huh?\Observer apparition?\It's calling.\Wait, Yin! Don't move around so carelessly.\This way.\Yin!\H-Hey! response:	Well, here goes nothing!
context: This is what the inside of the gate looks like, huh?\Observer apparition?\It's calling.\Wait, Yin! Don't move around so carelessly.\This way.\Yin!\H-Hey!\Well, here goes nothing! response:	What's this?
context: Observer apparition?\It's calling.\Wait, Yin! Don't move around so carelessly.\This way.\Yin!\H-Hey!\Well, here goes nothing!\What's this? response:	What's going on?
context: It's calling.\Wait, Yin! Don't move around so carelessly.\This way.\Yin!\H-Hey!\Well, here goes nothing!\What's this?\What's going on? response:	This is the gate, huh? Interesting, isn't it?
context: Wait, Yin! Don't move around so carelessly.\This way.\Yin!\H-Hey!\Well, here goes nothing!\What's this?\What's going on?\This is the gate, huh? Interesting, isn't it? response:	Quickly traverse the banks of Styx.
context: This way.\Yin!\H-Hey!\Well, here goes nothing!\What's this?\What's going on?\This is the gate, huh? Interesting, isn't it?\Quickly traverse the banks of Styx. response:	Do not lose your way, stars.
context: Yin!\H-Hey!\Well, here goes nothing!\What's this?\What's going on?\This is the gate, huh? Interesting, isn't it?\Quickly traverse the banks of Styx.\Do not lose your way, stars. response:	Do not lose sight of your leader.
context: H-Hey!\Well, here goes nothing!\What's this?\What's going on?\This is the gate, huh? Interesting, isn't it?\Quickly traverse the banks of Styx.\Do not lose your way, stars.\Do not lose sight of your leader. response:	There's an enormous amount of static interference.
context: Well, here goes nothing!\What's this?\What's going on?\This is the gate, huh? Interesting, isn't it?\Quickly traverse the banks of Styx.\Do not lose your way, stars.\Do not lose sight of your leader.\There's an enormous amount of static interference. response:	Static interference?
context: What's this?\What's going on?\This is the gate, huh? Interesting, isn't it?\Quickly traverse the banks of Styx.\Do not lose your way, stars.\Do not lose sight of your leader.\There's an enormous amount of static interference.\Static interference? response:	The source is somewhere outside. Its level of power is equivalent to ours.
context: What's going on?\This is the gate, huh? Interesting, isn't it?\Quickly traverse the banks of Styx.\Do not lose your way, stars.\Do not lose sight of your leader.\There's an enormous amount of static interference.\Static interference?\The source is somewhere outside. Its level of power is equivalent to ours. response:	A certain system is activating the observer apparitions.
context: This is the gate, huh? Interesting, isn't it?\Quickly traverse the banks of Styx.\Do not lose your way, stars.\Do not lose sight of your leader.\There's an enormous amount of static interference.\Static interference?\The source is somewhere outside. Its level of power is equivalent to ours.\A certain system is activating the observer apparitions. response:	I see. They're using the dolls.
context: Quickly traverse the banks of Styx.\Do not lose your way, stars.\Do not lose sight of your leader.\There's an enormous amount of static interference.\Static interference?\The source is somewhere outside. Its level of power is equivalent to ours.\A certain system is activating the observer apparitions.\I see. They're using the dolls. response:	Ouch!
context: Do not lose your way, stars.\Do not lose sight of your leader.\There's an enormous amount of static interference.\Static interference?\The source is somewhere outside. Its level of power is equivalent to ours.\A certain system is activating the observer apparitions.\I see. They're using the dolls.\Ouch! response:	What's wrong?
context: Do not lose sight of your leader.\There's an enormous amount of static interference.\Static interference?\The source is somewhere outside. Its level of power is equivalent to ours.\A certain system is activating the observer apparitions.\I see. They're using the dolls.\Ouch!\What's wrong? response:	I accessed PANDORA's server and was looking through some old files,
context: There's an enormous amount of static interference.\Static interference?\The source is somewhere outside. Its level of power is equivalent to ours.\A certain system is activating the observer apparitions.\I see. They're using the dolls.\Ouch!\What's wrong?\I accessed PANDORA's server and was looking through some old files, response:	but they cut me off.
context: Static interference?\The source is somewhere outside. Its level of power is equivalent to ours.\A certain system is activating the observer apparitions.\I see. They're using the dolls.\Ouch!\What's wrong?\I accessed PANDORA's server and was looking through some old files,\but they cut me off. response:	I did find something interesting.
context: The source is somewhere outside. Its level of power is equivalent to ours.\A certain system is activating the observer apparitions.\I see. They're using the dolls.\Ouch!\What's wrong?\I accessed PANDORA's server and was looking through some old files,\but they cut me off.\I did find something interesting. response:	Any medium used by a single doll
context: A certain system is activating the observer apparitions.\I see. They're using the dolls.\Ouch!\What's wrong?\I accessed PANDORA's server and was looking through some old files,\but they cut me off.\I did find something interesting.\Any medium used by a single doll response:	will transmit an immense amount of pain upon accessing the deepest part of the gate.
context: I see. They're using the dolls.\Ouch!\What's wrong?\I accessed PANDORA's server and was looking through some old files,\but they cut me off.\I did find something interesting.\Any medium used by a single doll\will transmit an immense amount of pain upon accessing the deepest part of the gate. response:	However, if a legion of dolls is linked and their abilities are enhanced with the meteor fragment,
context: Ouch!\What's wrong?\I accessed PANDORA's server and was looking through some old files,\but they cut me off.\I did find something interesting.\Any medium used by a single doll\will transmit an immense amount of pain upon accessing the deepest part of the gate.\However, if a legion of dolls is linked and their abilities are enhanced with the meteor fragment, response:	it is theoretically possible for their observer apparitions to enter the gate's core without harming them.
context: What's wrong?\I accessed PANDORA's server and was looking through some old files,\but they cut me off.\I did find something interesting.\Any medium used by a single doll\will transmit an immense amount of pain upon accessing the deepest part of the gate.\However, if a legion of dolls is linked and their abilities are enhanced with the meteor fragment,\it is theoretically possible for their observer apparitions to enter the gate's core without harming them. response:	The attack on the ring was a diversion after all.
context: I accessed PANDORA's server and was looking through some old files,\but they cut me off.\I did find something interesting.\Any medium used by a single doll\will transmit an immense amount of pain upon accessing the deepest part of the gate.\However, if a legion of dolls is linked and their abilities are enhanced with the meteor fragment,\it is theoretically possible for their observer apparitions to enter the gate's core without harming them.\The attack on the ring was a diversion after all. response:	BK201 has already entered the premises.
context: but they cut me off.\I did find something interesting.\Any medium used by a single doll\will transmit an immense amount of pain upon accessing the deepest part of the gate.\However, if a legion of dolls is linked and their abilities are enhanced with the meteor fragment,\it is theoretically possible for their observer apparitions to enter the gate's core without harming them.\The attack on the ring was a diversion after all.\BK201 has already entered the premises. response:	If we trace the source of this static...
context: I did find something interesting.\Any medium used by a single doll\will transmit an immense amount of pain upon accessing the deepest part of the gate.\However, if a legion of dolls is linked and their abilities are enhanced with the meteor fragment,\it is theoretically possible for their observer apparitions to enter the gate's core without harming them.\The attack on the ring was a diversion after all.\BK201 has already entered the premises.\If we trace the source of this static... response:	I don't like dry food.
context: Any medium used by a single doll\will transmit an immense amount of pain upon accessing the deepest part of the gate.\However, if a legion of dolls is linked and their abilities are enhanced with the meteor fragment,\it is theoretically possible for their observer apparitions to enter the gate's core without harming them.\The attack on the ring was a diversion after all.\BK201 has already entered the premises.\If we trace the source of this static...\I don't like dry food. response:	It was fun working with you guys.
context: will transmit an immense amount of pain upon accessing the deepest part of the gate.\However, if a legion of dolls is linked and their abilities are enhanced with the meteor fragment,\it is theoretically possible for their observer apparitions to enter the gate's core without harming them.\The attack on the ring was a diversion after all.\BK201 has already entered the premises.\If we trace the source of this static...\I don't like dry food.\It was fun working with you guys. response:	Mao...
context: However, if a legion of dolls is linked and their abilities are enhanced with the meteor fragment,\it is theoretically possible for their observer apparitions to enter the gate's core without harming them.\The attack on the ring was a diversion after all.\BK201 has already entered the premises.\If we trace the source of this static...\I don't like dry food.\It was fun working with you guys.\Mao... response:	One day, if a cat who looks just like me visits you...
context: it is theoretically possible for their observer apparitions to enter the gate's core without harming them.\The attack on the ring was a diversion after all.\BK201 has already entered the premises.\If we trace the source of this static...\I don't like dry food.\It was fun working with you guys.\Mao...\One day, if a cat who looks just like me visits you... response:	The lives that those stars represent will fade
context: The attack on the ring was a diversion after all.\BK201 has already entered the premises.\If we trace the source of this static...\I don't like dry food.\It was fun working with you guys.\Mao...\One day, if a cat who looks just like me visits you...\The lives that those stars represent will fade response:	until every last one of them falls and disappears.
context: BK201 has already entered the premises.\If we trace the source of this static...\I don't like dry food.\It was fun working with you guys.\Mao...\One day, if a cat who looks just like me visits you...\The lives that those stars represent will fade\until every last one of them falls and disappears. response:	Where are you going, fallen star?
context: If we trace the source of this static...\I don't like dry food.\It was fun working with you guys.\Mao...\One day, if a cat who looks just like me visits you...\The lives that those stars represent will fade\until every last one of them falls and disappears.\Where are you going, fallen star? response:	Don't go without me.
context: I don't like dry food.\It was fun working with you guys.\Mao...\One day, if a cat who looks just like me visits you...\The lives that those stars represent will fade\until every last one of them falls and disappears.\Where are you going, fallen star?\Don't go without me. response:	Now they've lost their means of access.
context: It was fun working with you guys.\Mao...\One day, if a cat who looks just like me visits you...\The lives that those stars represent will fade\until every last one of them falls and disappears.\Where are you going, fallen star?\Don't go without me.\Now they've lost their means of access. response:	They can't enter the core or leave the gate.
context: Mao...\One day, if a cat who looks just like me visits you...\The lives that those stars represent will fade\until every last one of them falls and disappears.\Where are you going, fallen star?\Don't go without me.\Now they've lost their means of access.\They can't enter the core or leave the gate. response:	It's our victory.
context: One day, if a cat who looks just like me visits you...\The lives that those stars represent will fade\until every last one of them falls and disappears.\Where are you going, fallen star?\Don't go without me.\Now they've lost their means of access.\They can't enter the core or leave the gate.\It's our victory. response:	Humans were born to err.
context: The lives that those stars represent will fade\until every last one of them falls and disappears.\Where are you going, fallen star?\Don't go without me.\Now they've lost their means of access.\They can't enter the core or leave the gate.\It's our victory.\Humans were born to err. response:	There's no justice that serves all.
context: until every last one of them falls and disappears.\Where are you going, fallen star?\Don't go without me.\Now they've lost their means of access.\They can't enter the core or leave the gate.\It's our victory.\Humans were born to err.\There's no justice that serves all. response:	Sacrifices must be made in order to determine the course of action with the lowest possibility of error.
context: Where are you going, fallen star?\Don't go without me.\Now they've lost their means of access.\They can't enter the core or leave the gate.\It's our victory.\Humans were born to err.\There's no justice that serves all.\Sacrifices must be made in order to determine the course of action with the lowest possibility of error. response:	I'm willing to stain my hands for that purpose.
context: Don't go without me.\Now they've lost their means of access.\They can't enter the core or leave the gate.\It's our victory.\Humans were born to err.\There's no justice that serves all.\Sacrifices must be made in order to determine the course of action with the lowest possibility of error.\I'm willing to stain my hands for that purpose. response:	Kirihara, grow up.
context: Now they've lost their means of access.\They can't enter the core or leave the gate.\It's our victory.\Humans were born to err.\There's no justice that serves all.\Sacrifices must be made in order to determine the course of action with the lowest possibility of error.\I'm willing to stain my hands for that purpose.\Kirihara, grow up. response:	In the dark skies where nobody resides
context: They can't enter the core or leave the gate.\It's our victory.\Humans were born to err.\There's no justice that serves all.\Sacrifices must be made in order to determine the course of action with the lowest possibility of error.\I'm willing to stain my hands for that purpose.\Kirihara, grow up.\In the dark skies where nobody resides response:	lies a large hole
context: It's our victory.\Humans were born to err.\There's no justice that serves all.\Sacrifices must be made in order to determine the course of action with the lowest possibility of error.\I'm willing to stain my hands for that purpose.\Kirihara, grow up.\In the dark skies where nobody resides\lies a large hole response:	beyond the glow...
context: Humans were born to err.\There's no justice that serves all.\Sacrifices must be made in order to determine the course of action with the lowest possibility of error.\I'm willing to stain my hands for that purpose.\Kirihara, grow up.\In the dark skies where nobody resides\lies a large hole\beyond the glow... response:	It's one thing after another.
context: There's no justice that serves all.\Sacrifices must be made in order to determine the course of action with the lowest possibility of error.\I'm willing to stain my hands for that purpose.\Kirihara, grow up.\In the dark skies where nobody resides\lies a large hole\beyond the glow...\It's one thing after another. response:	It's one thing after another.
context: Sacrifices must be made in order to determine the course of action with the lowest possibility of error.\I'm willing to stain my hands for that purpose.\Kirihara, grow up.\In the dark skies where nobody resides\lies a large hole\beyond the glow...\It's one thing after another.\It's one thing after another. response:	What's wrong?
context: I'm willing to stain my hands for that purpose.\Kirihara, grow up.\In the dark skies where nobody resides\lies a large hole\beyond the glow...\It's one thing after another.\It's one thing after another.\What's wrong? response:	Yin?
context: Kirihara, grow up.\In the dark skies where nobody resides\lies a large hole\beyond the glow...\It's one thing after another.\It's one thing after another.\What's wrong?\Yin? response:	Yin!
context: In the dark skies where nobody resides\lies a large hole\beyond the glow...\It's one thing after another.\It's one thing after another.\What's wrong?\Yin?\Yin! response:	That way.
context: lies a large hole\beyond the glow...\It's one thing after another.\It's one thing after another.\What's wrong?\Yin?\Yin!\That way. response:	There was nothing there.
context: beyond the glow...\It's one thing after another.\It's one thing after another.\What's wrong?\Yin?\Yin!\That way.\There was nothing there. response:	Hell's Gate. This is the gateway to hell.
context: It's one thing after another.\It's one thing after another.\What's wrong?\Yin?\Yin!\That way.\There was nothing there.\Hell's Gate. This is the gateway to hell. response:	What is heard from the crack in the earth's surface
context: It's one thing after another.\What's wrong?\Yin?\Yin!\That way.\There was nothing there.\Hell's Gate. This is the gateway to hell.\What is heard from the crack in the earth's surface response:	are the temptations from the dead in the underworld.
context: What's wrong?\Yin?\Yin!\That way.\There was nothing there.\Hell's Gate. This is the gateway to hell.\What is heard from the crack in the earth's surface\are the temptations from the dead in the underworld. response:	The foxfire burning in his heart is the light of a hell darker than black.
context: Yin?\Yin!\That way.\There was nothing there.\Hell's Gate. This is the gateway to hell.\What is heard from the crack in the earth's surface\are the temptations from the dead in the underworld.\The foxfire burning in his heart is the light of a hell darker than black. response:	Contractors do not dream.
context: Yin!\That way.\There was nothing there.\Hell's Gate. This is the gateway to hell.\What is heard from the crack in the earth's surface\are the temptations from the dead in the underworld.\The foxfire burning in his heart is the light of a hell darker than black.\Contractors do not dream. response:	All they do is make rational judgments.
context: That way.\There was nothing there.\Hell's Gate. This is the gateway to hell.\What is heard from the crack in the earth's surface\are the temptations from the dead in the underworld.\The foxfire burning in his heart is the light of a hell darker than black.\Contractors do not dream.\All they do is make rational judgments. response:	Episode Twenty-Five Does the Reaper Dream of Darkness, Darker Than Black?
context: There was nothing there.\Hell's Gate. This is the gateway to hell.\What is heard from the crack in the earth's surface\are the temptations from the dead in the underworld.\The foxfire burning in his heart is the light of a hell darker than black.\Contractors do not dream.\All they do is make rational judgments.\Episode Twenty-Five Does the Reaper Dream of Darkness, Darker Than Black? response:	And then, there is no one.
