context: Next up is batter number 4. response:	It was a listless, boring day during the peak of summer right after Obon had just passed.
context: Hm... cicada's only!\Yes, this'll be the SOS Brigade's cicada catching competition!\The person with the most wins!\The next day.\To make sure it would rain, I put up a teru teru bozu, but unfortunately,\Note: Teru teru bozu is a small ghost-like doll made from cloth made as a charm for good weather.\it was a ridiculously nice day.\No doubt, the cicadas must be enjoying the day with what could be considered the best temperature of this summer. response:	Come to think of it, cicadas are edible, aren't they?
context: Yes, this'll be the SOS Brigade's cicada catching competition!\The person with the most wins!\The next day.\To make sure it would rain, I put up a teru teru bozu, but unfortunately,\Note: Teru teru bozu is a small ghost-like doll made from cloth made as a charm for good weather.\it was a ridiculously nice day.\No doubt, the cicadas must be enjoying the day with what could be considered the best temperature of this summer.\Come to think of it, cicadas are edible, aren't they? response:	Don't know.
context: The person with the most wins!\The next day.\To make sure it would rain, I put up a teru teru bozu, but unfortunately,\Note: Teru teru bozu is a small ghost-like doll made from cloth made as a charm for good weather.\it was a ridiculously nice day.\No doubt, the cicadas must be enjoying the day with what could be considered the best temperature of this summer.\Come to think of it, cicadas are edible, aren't they?\Don't know. response:	Would they taste good as tempura?
context: The next day.\To make sure it would rain, I put up a teru teru bozu, but unfortunately,\Note: Teru teru bozu is a small ghost-like doll made from cloth made as a charm for good weather.\it was a ridiculously nice day.\No doubt, the cicadas must be enjoying the day with what could be considered the best temperature of this summer.\Come to think of it, cicadas are edible, aren't they?\Don't know.\Would they taste good as tempura? response:	Try that by yourself.
context: To make sure it would rain, I put up a teru teru bozu, but unfortunately,\Note: Teru teru bozu is a small ghost-like doll made from cloth made as a charm for good weather.\it was a ridiculously nice day.\No doubt, the cicadas must be enjoying the day with what could be considered the best temperature of this summer.\Come to think of it, cicadas are edible, aren't they?\Don't know.\Would they taste good as tempura?\Try that by yourself. response:	Hey, I've thought about this occasionally, but isn't tempura only good because of the batter?
context: Note: Teru teru bozu is a small ghost-like doll made from cloth made as a charm for good weather.\it was a ridiculously nice day.\No doubt, the cicadas must be enjoying the day with what could be considered the best temperature of this summer.\Come to think of it, cicadas are edible, aren't they?\Don't know.\Would they taste good as tempura?\Try that by yourself.\Hey, I've thought about this occasionally, but isn't tempura only good because of the batter? response:	Does that mean cicadas would taste good too?
context: it was a ridiculously nice day.\No doubt, the cicadas must be enjoying the day with what could be considered the best temperature of this summer.\Come to think of it, cicadas are edible, aren't they?\Don't know.\Would they taste good as tempura?\Try that by yourself.\Hey, I've thought about this occasionally, but isn't tempura only good because of the batter?\Does that mean cicadas would taste good too? response:	Apologize! Apologize to all the tempura chefs in the country!
context: No doubt, the cicadas must be enjoying the day with what could be considered the best temperature of this summer.\Come to think of it, cicadas are edible, aren't they?\Don't know.\Would they taste good as tempura?\Try that by yourself.\Hey, I've thought about this occasionally, but isn't tempura only good because of the batter?\Does that mean cicadas would taste good too?\Apologize! Apologize to all the tempura chefs in the country! response:	First of all, isn't it weird to see five high school students gathered around with bug nets and cages?
context: Come to think of it, cicadas are edible, aren't they?\Don't know.\Would they taste good as tempura?\Try that by yourself.\Hey, I've thought about this occasionally, but isn't tempura only good because of the batter?\Does that mean cicadas would taste good too?\Apologize! Apologize to all the tempura chefs in the country!\First of all, isn't it weird to see five high school students gathered around with bug nets and cages? response:	What are you talking about?
context: Don't know.\Would they taste good as tempura?\Try that by yourself.\Hey, I've thought about this occasionally, but isn't tempura only good because of the batter?\Does that mean cicadas would taste good too?\Apologize! Apologize to all the tempura chefs in the country!\First of all, isn't it weird to see five high school students gathered around with bug nets and cages?\What are you talking about? response:	We can't catch cicadas without bug nets, right?
context: Would they taste good as tempura?\Try that by yourself.\Hey, I've thought about this occasionally, but isn't tempura only good because of the batter?\Does that mean cicadas would taste good too?\Apologize! Apologize to all the tempura chefs in the country!\First of all, isn't it weird to see five high school students gathered around with bug nets and cages?\What are you talking about?\We can't catch cicadas without bug nets, right? response:	That's not what I meant.
context: Try that by yourself.\Hey, I've thought about this occasionally, but isn't tempura only good because of the batter?\Does that mean cicadas would taste good too?\Apologize! Apologize to all the tempura chefs in the country!\First of all, isn't it weird to see five high school students gathered around with bug nets and cages?\What are you talking about?\We can't catch cicadas without bug nets, right?\That's not what I meant. response:	Let's start then.
context: Hey, I've thought about this occasionally, but isn't tempura only good because of the batter?\Does that mean cicadas would taste good too?\Apologize! Apologize to all the tempura chefs in the country!\First of all, isn't it weird to see five high school students gathered around with bug nets and cages?\What are you talking about?\We can't catch cicadas without bug nets, right?\That's not what I meant.\Let's start then. response:	The winner gets to be Brigade Chief for a day.
context: Does that mean cicadas would taste good too?\Apologize! Apologize to all the tempura chefs in the country!\First of all, isn't it weird to see five high school students gathered around with bug nets and cages?\What are you talking about?\We can't catch cicadas without bug nets, right?\That's not what I meant.\Let's start then.\The winner gets to be Brigade Chief for a day. response:	Ready...
context: Apologize! Apologize to all the tempura chefs in the country!\First of all, isn't it weird to see five high school students gathered around with bug nets and cages?\What are you talking about?\We can't catch cicadas without bug nets, right?\That's not what I meant.\Let's start then.\The winner gets to be Brigade Chief for a day.\Ready... response:	Start!
context: First of all, isn't it weird to see five high school students gathered around with bug nets and cages?\What are you talking about?\We can't catch cicadas without bug nets, right?\That's not what I meant.\Let's start then.\The winner gets to be Brigade Chief for a day.\Ready...\Start! response:	She's not listening.
context: What are you talking about?\We can't catch cicadas without bug nets, right?\That's not what I meant.\Let's start then.\The winner gets to be Brigade Chief for a day.\Ready...\Start!\She's not listening. response:	Looks like she really wants to win.
context: We can't catch cicadas without bug nets, right?\That's not what I meant.\Let's start then.\The winner gets to be Brigade Chief for a day.\Ready...\Start!\She's not listening.\Looks like she really wants to win. response:	Isn't that fine?
context: That's not what I meant.\Let's start then.\The winner gets to be Brigade Chief for a day.\Ready...\Start!\She's not listening.\Looks like she really wants to win.\Isn't that fine? response:	Geez. I haven't gone bug catching since elementary school.
context: Let's start then.\The winner gets to be Brigade Chief for a day.\Ready...\Start!\She's not listening.\Looks like she really wants to win.\Isn't that fine?\Geez. I haven't gone bug catching since elementary school. response:	Same here.
context: The winner gets to be Brigade Chief for a day.\Ready...\Start!\She's not listening.\Looks like she really wants to win.\Isn't that fine?\Geez. I haven't gone bug catching since elementary school.\Same here. response:	Let's do our best.
context: Ready...\Start!\She's not listening.\Looks like she really wants to win.\Isn't that fine?\Geez. I haven't gone bug catching since elementary school.\Same here.\Let's do our best. response:	Oh, you've caught one already?
context: Start!\She's not listening.\Looks like she really wants to win.\Isn't that fine?\Geez. I haven't gone bug catching since elementary school.\Same here.\Let's do our best.\Oh, you've caught one already? response:	That's not a cicada.
context: She's not listening.\Looks like she really wants to win.\Isn't that fine?\Geez. I haven't gone bug catching since elementary school.\Same here.\Let's do our best.\Oh, you've caught one already?\That's not a cicada. response:	I see.
context: Looks like she really wants to win.\Isn't that fine?\Geez. I haven't gone bug catching since elementary school.\Same here.\Let's do our best.\Oh, you've caught one already?\That's not a cicada.\I see. response:	A Hercules?
context: Isn't that fine?\Geez. I haven't gone bug catching since elementary school.\Same here.\Let's do our best.\Oh, you've caught one already?\That's not a cicada.\I see.\A Hercules? response:	Note: A Hercules beetle is a very famous and rare type of rhinoceros beetle.
context: Geez. I haven't gone bug catching since elementary school.\Same here.\Let's do our best.\Oh, you've caught one already?\That's not a cicada.\I see.\A Hercules?\Note: A Hercules beetle is a very famous and rare type of rhinoceros beetle. response:	Announcing the results!
context: Same here.\Let's do our best.\Oh, you've caught one already?\That's not a cicada.\I see.\A Hercules?\Note: A Hercules beetle is a very famous and rare type of rhinoceros beetle.\Announcing the results! response:	Mikuru-chan: one.
context: Let's do our best.\Oh, you've caught one already?\That's not a cicada.\I see.\A Hercules?\Note: A Hercules beetle is a very famous and rare type of rhinoceros beetle.\Announcing the results!\Mikuru-chan: one. response:	Yuki: four.
context: Oh, you've caught one already?\That's not a cicada.\I see.\A Hercules?\Note: A Hercules beetle is a very famous and rare type of rhinoceros beetle.\Announcing the results!\Mikuru-chan: one.\Yuki: four. response:	Koizumi-kun: seven.
context: That's not a cicada.\I see.\A Hercules?\Note: A Hercules beetle is a very famous and rare type of rhinoceros beetle.\Announcing the results!\Mikuru-chan: one.\Yuki: four.\Koizumi-kun: seven. response:	Kyon: nine.
context: I see.\A Hercules?\Note: A Hercules beetle is a very famous and rare type of rhinoceros beetle.\Announcing the results!\Mikuru-chan: one.\Yuki: four.\Koizumi-kun: seven.\Kyon: nine. response:	You don't need to say it. We know.
context: A Hercules?\Note: A Hercules beetle is a very famous and rare type of rhinoceros beetle.\Announcing the results!\Mikuru-chan: one.\Yuki: four.\Koizumi-kun: seven.\Kyon: nine.\You don't need to say it. We know. response:	Me with twelve!
context: Note: A Hercules beetle is a very famous and rare type of rhinoceros beetle.\Announcing the results!\Mikuru-chan: one.\Yuki: four.\Koizumi-kun: seven.\Kyon: nine.\You don't need to say it. We know.\Me with twelve! response:	Looks like the position of Brigade Chief won't go to anyone else for even a day! Sorry, everyone.
context: Announcing the results!\Mikuru-chan: one.\Yuki: four.\Koizumi-kun: seven.\Kyon: nine.\You don't need to say it. We know.\Me with twelve!\Looks like the position of Brigade Chief won't go to anyone else for even a day! Sorry, everyone. response:	Don't tell me you seriously want to make tempura out of them?
context: Mikuru-chan: one.\Yuki: four.\Koizumi-kun: seven.\Kyon: nine.\You don't need to say it. We know.\Me with twelve!\Looks like the position of Brigade Chief won't go to anyone else for even a day! Sorry, everyone.\Don't tell me you seriously want to make tempura out of them? response:	What? You want to try it?
context: Yuki: four.\Koizumi-kun: seven.\Kyon: nine.\You don't need to say it. We know.\Me with twelve!\Looks like the position of Brigade Chief won't go to anyone else for even a day! Sorry, everyone.\Don't tell me you seriously want to make tempura out of them?\What? You want to try it? response:	What makes you think that?
context: Koizumi-kun: seven.\Kyon: nine.\You don't need to say it. We know.\Me with twelve!\Looks like the position of Brigade Chief won't go to anyone else for even a day! Sorry, everyone.\Don't tell me you seriously want to make tempura out of them?\What? You want to try it?\What makes you think that? response:	I was joking.
context: Kyon: nine.\You don't need to say it. We know.\Me with twelve!\Looks like the position of Brigade Chief won't go to anyone else for even a day! Sorry, everyone.\Don't tell me you seriously want to make tempura out of them?\What? You want to try it?\What makes you think that?\I was joking. response:	We should probably go with a catch-and-release mentality.
context: You don't need to say it. We know.\Me with twelve!\Looks like the position of Brigade Chief won't go to anyone else for even a day! Sorry, everyone.\Don't tell me you seriously want to make tempura out of them?\What? You want to try it?\What makes you think that?\I was joking.\We should probably go with a catch-and-release mentality. response:	They might repay us with a favor in the future.
context: Me with twelve!\Looks like the position of Brigade Chief won't go to anyone else for even a day! Sorry, everyone.\Don't tell me you seriously want to make tempura out of them?\What? You want to try it?\What makes you think that?\I was joking.\We should probably go with a catch-and-release mentality.\They might repay us with a favor in the future. response:	Here. Go back to the mountains! Don't get caught again!
context: Looks like the position of Brigade Chief won't go to anyone else for even a day! Sorry, everyone.\Don't tell me you seriously want to make tempura out of them?\What? You want to try it?\What makes you think that?\I was joking.\We should probably go with a catch-and-release mentality.\They might repay us with a favor in the future.\Here. Go back to the mountains! Don't get caught again! response:	No, wait. That was a moving scene and all, but all you did was catch and then release them!
context: Don't tell me you seriously want to make tempura out of them?\What? You want to try it?\What makes you think that?\I was joking.\We should probably go with a catch-and-release mentality.\They might repay us with a favor in the future.\Here. Go back to the mountains! Don't get caught again!\No, wait. That was a moving scene and all, but all you did was catch and then release them! response:	The day after that.
context: What? You want to try it?\What makes you think that?\I was joking.\We should probably go with a catch-and-release mentality.\They might repay us with a favor in the future.\Here. Go back to the mountains! Don't get caught again!\No, wait. That was a moving scene and all, but all you did was catch and then release them!\The day after that. response:	Haruhi found us some work somewhere, and made sure we all had a part.
context: What makes you think that?\I was joking.\We should probably go with a catch-and-release mentality.\They might repay us with a favor in the future.\Here. Go back to the mountains! Don't get caught again!\No, wait. That was a moving scene and all, but all you did was catch and then release them!\The day after that.\Haruhi found us some work somewhere, and made sure we all had a part. response:	It was the annual sale at a local supermarket.
context: I was joking.\We should probably go with a catch-and-release mentality.\They might repay us with a favor in the future.\Here. Go back to the mountains! Don't get caught again!\No, wait. That was a moving scene and all, but all you did was catch and then release them!\The day after that.\Haruhi found us some work somewhere, and made sure we all had a part.\It was the annual sale at a local supermarket. response:	So do your best!
context: We should probably go with a catch-and-release mentality.\They might repay us with a favor in the future.\Here. Go back to the mountains! Don't get caught again!\No, wait. That was a moving scene and all, but all you did was catch and then release them!\The day after that.\Haruhi found us some work somewhere, and made sure we all had a part.\It was the annual sale at a local supermarket.\So do your best! response:	We were supposed to attract customers.
context: They might repay us with a favor in the future.\Here. Go back to the mountains! Don't get caught again!\No, wait. That was a moving scene and all, but all you did was catch and then release them!\The day after that.\Haruhi found us some work somewhere, and made sure we all had a part.\It was the annual sale at a local supermarket.\So do your best!\We were supposed to attract customers. response:	Thank you very much!
context: Here. Go back to the mountains! Don't get caught again!\No, wait. That was a moving scene and all, but all you did was catch and then release them!\The day after that.\Haruhi found us some work somewhere, and made sure we all had a part.\It was the annual sale at a local supermarket.\So do your best!\We were supposed to attract customers.\Thank you very much! response:	Here you go.
context: No, wait. That was a moving scene and all, but all you did was catch and then release them!\The day after that.\Haruhi found us some work somewhere, and made sure we all had a part.\It was the annual sale at a local supermarket.\So do your best!\We were supposed to attract customers.\Thank you very much!\Here you go. response:	Here.
context: The day after that.\Haruhi found us some work somewhere, and made sure we all had a part.\It was the annual sale at a local supermarket.\So do your best!\We were supposed to attract customers.\Thank you very much!\Here you go.\Here. response:	Why? Why is it that even I have to dress up like this?
context: Haruhi found us some work somewhere, and made sure we all had a part.\It was the annual sale at a local supermarket.\So do your best!\We were supposed to attract customers.\Thank you very much!\Here you go.\Here.\Why? Why is it that even I have to dress up like this? response:	Isn't there a more suitable job to do during summer?!
context: It was the annual sale at a local supermarket.\So do your best!\We were supposed to attract customers.\Thank you very much!\Here you go.\Here.\Why? Why is it that even I have to dress up like this?\Isn't there a more suitable job to do during summer?! response:	And Haruhi's leisurely profiting from this!
context: So do your best!\We were supposed to attract customers.\Thank you very much!\Here you go.\Here.\Why? Why is it that even I have to dress up like this?\Isn't there a more suitable job to do during summer?!\And Haruhi's leisurely profiting from this! response:	If we have to deal with this sort of arrangement again, there's going to be a rebellion.
context: We were supposed to attract customers.\Thank you very much!\Here you go.\Here.\Why? Why is it that even I have to dress up like this?\Isn't there a more suitable job to do during summer?!\And Haruhi's leisurely profiting from this!\If we have to deal with this sort of arrangement again, there's going to be a rebellion. response:	Now I understand how snakes feel when they shed their skin.
context: Thank you very much!\Here you go.\Here.\Why? Why is it that even I have to dress up like this?\Isn't there a more suitable job to do during summer?!\And Haruhi's leisurely profiting from this!\If we have to deal with this sort of arrangement again, there's going to be a rebellion.\Now I understand how snakes feel when they shed their skin. response:	Well said.
context: Here you go.\Here.\Why? Why is it that even I have to dress up like this?\Isn't there a more suitable job to do during summer?!\And Haruhi's leisurely profiting from this!\If we have to deal with this sort of arrangement again, there's going to be a rebellion.\Now I understand how snakes feel when they shed their skin.\Well said. response:	Good work!
context: Here.\Why? Why is it that even I have to dress up like this?\Isn't there a more suitable job to do during summer?!\And Haruhi's leisurely profiting from this!\If we have to deal with this sort of arrangement again, there's going to be a rebellion.\Now I understand how snakes feel when they shed their skin.\Well said.\Good work! response:	The manager was also happy with your work.
context: Why? Why is it that even I have to dress up like this?\Isn't there a more suitable job to do during summer?!\And Haruhi's leisurely profiting from this!\If we have to deal with this sort of arrangement again, there's going to be a rebellion.\Now I understand how snakes feel when they shed their skin.\Well said.\Good work!\The manager was also happy with your work. response:	I don't need his gratitude. What about the pay?
context: Isn't there a more suitable job to do during summer?!\And Haruhi's leisurely profiting from this!\If we have to deal with this sort of arrangement again, there's going to be a rebellion.\Now I understand how snakes feel when they shed their skin.\Well said.\Good work!\The manager was also happy with your work.\I don't need his gratitude. What about the pay? response:	This is it.
context: And Haruhi's leisurely profiting from this!\If we have to deal with this sort of arrangement again, there's going to be a rebellion.\Now I understand how snakes feel when they shed their skin.\Well said.\Good work!\The manager was also happy with your work.\I don't need his gratitude. What about the pay?\This is it. response:	This costume was the pay.
context: If we have to deal with this sort of arrangement again, there's going to be a rebellion.\Now I understand how snakes feel when they shed their skin.\Well said.\Good work!\The manager was also happy with your work.\I don't need his gratitude. What about the pay?\This is it.\This costume was the pay. response:	I've been wanting this for a while now.
context: Now I understand how snakes feel when they shed their skin.\Well said.\Good work!\The manager was also happy with your work.\I don't need his gratitude. What about the pay?\This is it.\This costume was the pay.\I've been wanting this for a while now. response:	He said he'd give it to me because of Mikuru-chan.
context: Well said.\Good work!\The manager was also happy with your work.\I don't need his gratitude. What about the pay?\This is it.\This costume was the pay.\I've been wanting this for a while now.\He said he'd give it to me because of Mikuru-chan. response:	I think I'll decorate the club room with this frog in commemoration!
context: Good work!\The manager was also happy with your work.\I don't need his gratitude. What about the pay?\This is it.\This costume was the pay.\I've been wanting this for a while now.\He said he'd give it to me because of Mikuru-chan.\I think I'll decorate the club room with this frog in commemoration! response:	Mikuru-chan, you can wear this whenever you want.
context: The manager was also happy with your work.\I don't need his gratitude. What about the pay?\This is it.\This costume was the pay.\I've been wanting this for a while now.\He said he'd give it to me because of Mikuru-chan.\I think I'll decorate the club room with this frog in commemoration!\Mikuru-chan, you can wear this whenever you want. response:	I give you my permission.
context: I don't need his gratitude. What about the pay?\This is it.\This costume was the pay.\I've been wanting this for a while now.\He said he'd give it to me because of Mikuru-chan.\I think I'll decorate the club room with this frog in commemoration!\Mikuru-chan, you can wear this whenever you want.\I give you my permission. response:	Pool.
context: This is it.\This costume was the pay.\I've been wanting this for a while now.\He said he'd give it to me because of Mikuru-chan.\I think I'll decorate the club room with this frog in commemoration!\Mikuru-chan, you can wear this whenever you want.\I give you my permission.\Pool. response:	Obon festival.
context: This costume was the pay.\I've been wanting this for a while now.\He said he'd give it to me because of Mikuru-chan.\I think I'll decorate the club room with this frog in commemoration!\Mikuru-chan, you can wear this whenever you want.\I give you my permission.\Pool.\Obon festival. response:	Bug catching.
context: I've been wanting this for a while now.\He said he'd give it to me because of Mikuru-chan.\I think I'll decorate the club room with this frog in commemoration!\Mikuru-chan, you can wear this whenever you want.\I give you my permission.\Pool.\Obon festival.\Bug catching. response:	Part-time job.
context: He said he'd give it to me because of Mikuru-chan.\I think I'll decorate the club room with this frog in commemoration!\Mikuru-chan, you can wear this whenever you want.\I give you my permission.\Pool.\Obon festival.\Bug catching.\Part-time job. response:	The next activity Haruhi decided on was stargazing.
context: I think I'll decorate the club room with this frog in commemoration!\Mikuru-chan, you can wear this whenever you want.\I give you my permission.\Pool.\Obon festival.\Bug catching.\Part-time job.\The next activity Haruhi decided on was stargazing. response:	So this is a telescope from this time period.
context: Mikuru-chan, you can wear this whenever you want.\I give you my permission.\Pool.\Obon festival.\Bug catching.\Part-time job.\The next activity Haruhi decided on was stargazing.\So this is a telescope from this time period. response:	It doesn't seem so different from the ones used in Kepler's period.
context: I give you my permission.\Pool.\Obon festival.\Bug catching.\Part-time job.\The next activity Haruhi decided on was stargazing.\So this is a telescope from this time period.\It doesn't seem so different from the ones used in Kepler's period. response:	No, I think it's probably very different.
context: Pool.\Obon festival.\Bug catching.\Part-time job.\The next activity Haruhi decided on was stargazing.\So this is a telescope from this time period.\It doesn't seem so different from the ones used in Kepler's period.\No, I think it's probably very different. response:	Did you just buy this?
context: Obon festival.\Bug catching.\Part-time job.\The next activity Haruhi decided on was stargazing.\So this is a telescope from this time period.\It doesn't seem so different from the ones used in Kepler's period.\No, I think it's probably very different.\Did you just buy this? response:	No. This was a hobby of mine when I was a child.
context: Bug catching.\Part-time job.\The next activity Haruhi decided on was stargazing.\So this is a telescope from this time period.\It doesn't seem so different from the ones used in Kepler's period.\No, I think it's probably very different.\Did you just buy this?\No. This was a hobby of mine when I was a child. response:	When I first saw Jupiter's moons, I was quite touched.
context: Part-time job.\The next activity Haruhi decided on was stargazing.\So this is a telescope from this time period.\It doesn't seem so different from the ones used in Kepler's period.\No, I think it's probably very different.\Did you just buy this?\No. This was a hobby of mine when I was a child.\When I first saw Jupiter's moons, I was quite touched. response:	I found it. Mars.
context: The next activity Haruhi decided on was stargazing.\So this is a telescope from this time period.\It doesn't seem so different from the ones used in Kepler's period.\No, I think it's probably very different.\Did you just buy this?\No. This was a hobby of mine when I was a child.\When I first saw Jupiter's moons, I was quite touched.\I found it. Mars. response:	Where are they?
context: So this is a telescope from this time period.\It doesn't seem so different from the ones used in Kepler's period.\No, I think it's probably very different.\Did you just buy this?\No. This was a hobby of mine when I was a child.\When I first saw Jupiter's moons, I was quite touched.\I found it. Mars.\Where are they? response:	What?
context: It doesn't seem so different from the ones used in Kepler's period.\No, I think it's probably very different.\Did you just buy this?\No. This was a hobby of mine when I was a child.\When I first saw Jupiter's moons, I was quite touched.\I found it. Mars.\Where are they?\What? response:	Martians!
context: No, I think it's probably very different.\Did you just buy this?\No. This was a hobby of mine when I was a child.\When I first saw Jupiter's moons, I was quite touched.\I found it. Mars.\Where are they?\What?\Martians! response:	I don't really want them to exist.
context: Did you just buy this?\No. This was a hobby of mine when I was a child.\When I first saw Jupiter's moons, I was quite touched.\I found it. Mars.\Where are they?\What?\Martians!\I don't really want them to exist. response:	Just imagine stupid octopus monsters wiggling around as they plot the conquer of Earth.
context: No. This was a hobby of mine when I was a child.\When I first saw Jupiter's moons, I was quite touched.\I found it. Mars.\Where are they?\What?\Martians!\I don't really want them to exist.\Just imagine stupid octopus monsters wiggling around as they plot the conquer of Earth. response:	I can't imagine being an alien being fun.
context: When I first saw Jupiter's moons, I was quite touched.\I found it. Mars.\Where are they?\What?\Martians!\I don't really want them to exist.\Just imagine stupid octopus monsters wiggling around as they plot the conquer of Earth.\I can't imagine being an alien being fun. response:	Why?
context: I found it. Mars.\Where are they?\What?\Martians!\I don't really want them to exist.\Just imagine stupid octopus monsters wiggling around as they plot the conquer of Earth.\I can't imagine being an alien being fun.\Why? response:	They could be a really friendly bunch!
context: Where are they?\What?\Martians!\I don't really want them to exist.\Just imagine stupid octopus monsters wiggling around as they plot the conquer of Earth.\I can't imagine being an alien being fun.\Why?\They could be a really friendly bunch! response:	They must be living quietly in a giant cave underground. It's a testament to their timidness!
context: What?\Martians!\I don't really want them to exist.\Just imagine stupid octopus monsters wiggling around as they plot the conquer of Earth.\I can't imagine being an alien being fun.\Why?\They could be a really friendly bunch!\They must be living quietly in a giant cave underground. It's a testament to their timidness! response:	They're probably doing it so they don't scare us humans.
context: Martians!\I don't really want them to exist.\Just imagine stupid octopus monsters wiggling around as they plot the conquer of Earth.\I can't imagine being an alien being fun.\Why?\They could be a really friendly bunch!\They must be living quietly in a giant cave underground. It's a testament to their timidness!\They're probably doing it so they don't scare us humans. response:	Exactly how modest are these Martians that you've got in your head?
context: I don't really want them to exist.\Just imagine stupid octopus monsters wiggling around as they plot the conquer of Earth.\I can't imagine being an alien being fun.\Why?\They could be a really friendly bunch!\They must be living quietly in a giant cave underground. It's a testament to their timidness!\They're probably doing it so they don't scare us humans.\Exactly how modest are these Martians that you've got in your head? response:	Enough about Mars.
context: Just imagine stupid octopus monsters wiggling around as they plot the conquer of Earth.\I can't imagine being an alien being fun.\Why?\They could be a really friendly bunch!\They must be living quietly in a giant cave underground. It's a testament to their timidness!\They're probably doing it so they don't scare us humans.\Exactly how modest are these Martians that you've got in your head?\Enough about Mars. response:	Let's look for UFOs.
context: I can't imagine being an alien being fun.\Why?\They could be a really friendly bunch!\They must be living quietly in a giant cave underground. It's a testament to their timidness!\They're probably doing it so they don't scare us humans.\Exactly how modest are these Martians that you've got in your head?\Enough about Mars.\Let's look for UFOs. response:	Since they're after Earth, there must be scouts keeping watch somewhere.
context: Why?\They could be a really friendly bunch!\They must be living quietly in a giant cave underground. It's a testament to their timidness!\They're probably doing it so they don't scare us humans.\Exactly how modest are these Martians that you've got in your head?\Enough about Mars.\Let's look for UFOs.\Since they're after Earth, there must be scouts keeping watch somewhere. response:	Come on! Help me out, Mikuru-chan.
context: They could be a really friendly bunch!\They must be living quietly in a giant cave underground. It's a testament to their timidness!\They're probably doing it so they don't scare us humans.\Exactly how modest are these Martians that you've got in your head?\Enough about Mars.\Let's look for UFOs.\Since they're after Earth, there must be scouts keeping watch somewhere.\Come on! Help me out, Mikuru-chan. response:	W-Wha? UFO, UFO...
context: They must be living quietly in a giant cave underground. It's a testament to their timidness!\They're probably doing it so they don't scare us humans.\Exactly how modest are these Martians that you've got in your head?\Enough about Mars.\Let's look for UFOs.\Since they're after Earth, there must be scouts keeping watch somewhere.\Come on! Help me out, Mikuru-chan.\W-Wha? UFO, UFO... response:	And summer vacation continues!
context: They're probably doing it so they don't scare us humans.\Exactly how modest are these Martians that you've got in your head?\Enough about Mars.\Let's look for UFOs.\Since they're after Earth, there must be scouts keeping watch somewhere.\Come on! Help me out, Mikuru-chan.\W-Wha? UFO, UFO...\And summer vacation continues! response:	Let's go to the batting center!
context: Exactly how modest are these Martians that you've got in your head?\Enough about Mars.\Let's look for UFOs.\Since they're after Earth, there must be scouts keeping watch somewhere.\Come on! Help me out, Mikuru-chan.\W-Wha? UFO, UFO...\And summer vacation continues!\Let's go to the batting center! response:	Why?!
context: Enough about Mars.\Let's look for UFOs.\Since they're after Earth, there must be scouts keeping watch somewhere.\Come on! Help me out, Mikuru-chan.\W-Wha? UFO, UFO...\And summer vacation continues!\Let's go to the batting center!\Why?! response:	Note: Koushien is the name of the famous high school baseball championships in Japan.
context: Let's look for UFOs.\Since they're after Earth, there must be scouts keeping watch somewhere.\Come on! Help me out, Mikuru-chan.\W-Wha? UFO, UFO...\And summer vacation continues!\Let's go to the batting center!\Why?!\Note: Koushien is the name of the famous high school baseball championships in Japan. response:	When I saw the Koushien on the news this morning, it hit me.
context: Since they're after Earth, there must be scouts keeping watch somewhere.\Come on! Help me out, Mikuru-chan.\W-Wha? UFO, UFO...\And summer vacation continues!\Let's go to the batting center!\Why?!\Note: Koushien is the name of the famous high school baseball championships in Japan.\When I saw the Koushien on the news this morning, it hit me. response:	We shouldn't be satisfied with sandlot baseball.
context: Come on! Help me out, Mikuru-chan.\W-Wha? UFO, UFO...\And summer vacation continues!\Let's go to the batting center!\Why?!\Note: Koushien is the name of the famous high school baseball championships in Japan.\When I saw the Koushien on the news this morning, it hit me.\We shouldn't be satisfied with sandlot baseball. response:	We, the SOS Brigade, should aim for the National League!
context: W-Wha? UFO, UFO...\And summer vacation continues!\Let's go to the batting center!\Why?!\Note: Koushien is the name of the famous high school baseball championships in Japan.\When I saw the Koushien on the news this morning, it hit me.\We shouldn't be satisfied with sandlot baseball.\We, the SOS Brigade, should aim for the National League! response:	What an impressive person.
context: And summer vacation continues!\Let's go to the batting center!\Why?!\Note: Koushien is the name of the famous high school baseball championships in Japan.\When I saw the Koushien on the news this morning, it hit me.\We shouldn't be satisfied with sandlot baseball.\We, the SOS Brigade, should aim for the National League!\What an impressive person. response:	Where does she get all her energy from?
context: Let's go to the batting center!\Why?!\Note: Koushien is the name of the famous high school baseball championships in Japan.\When I saw the Koushien on the news this morning, it hit me.\We shouldn't be satisfied with sandlot baseball.\We, the SOS Brigade, should aim for the National League!\What an impressive person.\Where does she get all her energy from? response:	Perhaps the mitochondria in her cells are different from that of a normal person?
context: Why?!\Note: Koushien is the name of the famous high school baseball championships in Japan.\When I saw the Koushien on the news this morning, it hit me.\We shouldn't be satisfied with sandlot baseball.\We, the SOS Brigade, should aim for the National League!\What an impressive person.\Where does she get all her energy from?\Perhaps the mitochondria in her cells are different from that of a normal person? response:	If only she'd spend that energy on something beneficial to society.
