context: The one before him yelled out, Oh no! response:	If you'd like to know what happens next, come listen again next time.
context: There is no need for such formalities like we're strangers.\Don't take what those servants said to heart.\What is the point of living a long life?\What is most important is being with the ones you love.\I am very envious of the love your parents have for each other.\You are right, Your Highness.\By the way, why are you here alone?\Father left to give his greetings to the Heavenly Lord. response:	He had me wait here to be summoned.
context: Don't take what those servants said to heart.\What is the point of living a long life?\What is most important is being with the ones you love.\I am very envious of the love your parents have for each other.\You are right, Your Highness.\By the way, why are you here alone?\Father left to give his greetings to the Heavenly Lord.\He had me wait here to be summoned. response:	Is that so?
context: What is the point of living a long life?\What is most important is being with the ones you love.\I am very envious of the love your parents have for each other.\You are right, Your Highness.\By the way, why are you here alone?\Father left to give his greetings to the Heavenly Lord.\He had me wait here to be summoned.\Is that so? response:	How about this? I'll take you inside.
context: What is most important is being with the ones you love.\I am very envious of the love your parents have for each other.\You are right, Your Highness.\By the way, why are you here alone?\Father left to give his greetings to the Heavenly Lord.\He had me wait here to be summoned.\Is that so?\How about this? I'll take you inside. response:	That won't do! How can I enter without being summoned?
context: I am very envious of the love your parents have for each other.\You are right, Your Highness.\By the way, why are you here alone?\Father left to give his greetings to the Heavenly Lord.\He had me wait here to be summoned.\Is that so?\How about this? I'll take you inside.\That won't do! How can I enter without being summoned? response:	It's all right. He is your grandfather.
context: You are right, Your Highness.\By the way, why are you here alone?\Father left to give his greetings to the Heavenly Lord.\He had me wait here to be summoned.\Is that so?\How about this? I'll take you inside.\That won't do! How can I enter without being summoned?\It's all right. He is your grandfather. response:	Besides, the Heavenly Lord has been praising you the past few days
context: By the way, why are you here alone?\Father left to give his greetings to the Heavenly Lord.\He had me wait here to be summoned.\Is that so?\How about this? I'll take you inside.\That won't do! How can I enter without being summoned?\It's all right. He is your grandfather.\Besides, the Heavenly Lord has been praising you the past few days response:	saying your congratulatory words were well written.
context: Father left to give his greetings to the Heavenly Lord.\He had me wait here to be summoned.\Is that so?\How about this? I'll take you inside.\That won't do! How can I enter without being summoned?\It's all right. He is your grandfather.\Besides, the Heavenly Lord has been praising you the past few days\saying your congratulatory words were well written. response:	Really?
context: He had me wait here to be summoned.\Is that so?\How about this? I'll take you inside.\That won't do! How can I enter without being summoned?\It's all right. He is your grandfather.\Besides, the Heavenly Lord has been praising you the past few days\saying your congratulatory words were well written.\Really? response:	Come, follow me.
context: Is that so?\How about this? I'll take you inside.\That won't do! How can I enter without being summoned?\It's all right. He is your grandfather.\Besides, the Heavenly Lord has been praising you the past few days\saying your congratulatory words were well written.\Really?\Come, follow me. response:	The Heavenly Lord is currently at Xiwu Palace. I'll take you there.
context: How about this? I'll take you inside.\That won't do! How can I enter without being summoned?\It's all right. He is your grandfather.\Besides, the Heavenly Lord has been praising you the past few days\saying your congratulatory words were well written.\Really?\Come, follow me.\The Heavenly Lord is currently at Xiwu Palace. I'll take you there. response:	Your Highness, this place is...
context: That won't do! How can I enter without being summoned?\It's all right. He is your grandfather.\Besides, the Heavenly Lord has been praising you the past few days\saying your congratulatory words were well written.\Really?\Come, follow me.\The Heavenly Lord is currently at Xiwu Palace. I'll take you there.\Your Highness, this place is... response:	Quick, move him up there.
context: It's all right. He is your grandfather.\Besides, the Heavenly Lord has been praising you the past few days\saying your congratulatory words were well written.\Really?\Come, follow me.\The Heavenly Lord is currently at Xiwu Palace. I'll take you there.\Your Highness, this place is...\Quick, move him up there. response:	Yes.
context: Besides, the Heavenly Lord has been praising you the past few days\saying your congratulatory words were well written.\Really?\Come, follow me.\The Heavenly Lord is currently at Xiwu Palace. I'll take you there.\Your Highness, this place is...\Quick, move him up there.\Yes. response:	Go.
context: saying your congratulatory words were well written.\Really?\Come, follow me.\The Heavenly Lord is currently at Xiwu Palace. I'll take you there.\Your Highness, this place is...\Quick, move him up there.\Yes.\Go. response:	Hang a length of white silk from a roof beam.
context: Really?\Come, follow me.\The Heavenly Lord is currently at Xiwu Palace. I'll take you there.\Your Highness, this place is...\Quick, move him up there.\Yes.\Go.\Hang a length of white silk from a roof beam. response:	Yes.
context: Come, follow me.\The Heavenly Lord is currently at Xiwu Palace. I'll take you there.\Your Highness, this place is...\Quick, move him up there.\Yes.\Go.\Hang a length of white silk from a roof beam.\Yes. response:	Quick, run out of here crying and yelling
context: The Heavenly Lord is currently at Xiwu Palace. I'll take you there.\Your Highness, this place is...\Quick, move him up there.\Yes.\Go.\Hang a length of white silk from a roof beam.\Yes.\Quick, run out of here crying and yelling response:	that I've been molested by the drunk, young prince
context: Your Highness, this place is...\Quick, move him up there.\Yes.\Go.\Hang a length of white silk from a roof beam.\Yes.\Quick, run out of here crying and yelling\that I've been molested by the drunk, young prince response:	and that I want to hang myself because I cannot live with it.
context: Quick, move him up there.\Yes.\Go.\Hang a length of white silk from a roof beam.\Yes.\Quick, run out of here crying and yelling\that I've been molested by the drunk, young prince\and that I want to hang myself because I cannot live with it. response:	Yes.
context: Yes.\Go.\Hang a length of white silk from a roof beam.\Yes.\Quick, run out of here crying and yelling\that I've been molested by the drunk, young prince\and that I want to hang myself because I cannot live with it.\Yes. response:	Someone come quickly!
context: Go.\Hang a length of white silk from a roof beam.\Yes.\Quick, run out of here crying and yelling\that I've been molested by the drunk, young prince\and that I want to hang myself because I cannot live with it.\Yes.\Someone come quickly! response:	My lady was molested by the drunk, young prince
context: Hang a length of white silk from a roof beam.\Yes.\Quick, run out of here crying and yelling\that I've been molested by the drunk, young prince\and that I want to hang myself because I cannot live with it.\Yes.\Someone come quickly!\My lady was molested by the drunk, young prince response:	and is hanging herself out of distress!
context: Yes.\Quick, run out of here crying and yelling\that I've been molested by the drunk, young prince\and that I want to hang myself because I cannot live with it.\Yes.\Someone come quickly!\My lady was molested by the drunk, young prince\and is hanging herself out of distress! response:	Someone come! Anyone!
context: Quick, run out of here crying and yelling\that I've been molested by the drunk, young prince\and that I want to hang myself because I cannot live with it.\Yes.\Someone come quickly!\My lady was molested by the drunk, young prince\and is hanging herself out of distress!\Someone come! Anyone! response:	My lady is hanging herself!
context: that I've been molested by the drunk, young prince\and that I want to hang myself because I cannot live with it.\Yes.\Someone come quickly!\My lady was molested by the drunk, young prince\and is hanging herself out of distress!\Someone come! Anyone!\My lady is hanging herself! response:	Someone come!
context: and that I want to hang myself because I cannot live with it.\Yes.\Someone come quickly!\My lady was molested by the drunk, young prince\and is hanging herself out of distress!\Someone come! Anyone!\My lady is hanging herself!\Someone come! response:	- Crown Prince. - Second Uncle.
context: Yes.\Someone come quickly!\My lady was molested by the drunk, young prince\and is hanging herself out of distress!\Someone come! Anyone!\My lady is hanging herself!\Someone come!\- Crown Prince. - Second Uncle. response:	I heard you have been staying in Qing Qiu lately.
context: Someone come quickly!\My lady was molested by the drunk, young prince\and is hanging herself out of distress!\Someone come! Anyone!\My lady is hanging herself!\Someone come!\- Crown Prince. - Second Uncle.\I heard you have been staying in Qing Qiu lately. response:	It seems a wedding date will be fast approaching.
context: My lady was molested by the drunk, young prince\and is hanging herself out of distress!\Someone come! Anyone!\My lady is hanging herself!\Someone come!\- Crown Prince. - Second Uncle.\I heard you have been staying in Qing Qiu lately.\It seems a wedding date will be fast approaching. response:	I also heard from Shao Xing that she saw
context: and is hanging herself out of distress!\Someone come! Anyone!\My lady is hanging herself!\Someone come!\- Crown Prince. - Second Uncle.\I heard you have been staying in Qing Qiu lately.\It seems a wedding date will be fast approaching.\I also heard from Shao Xing that she saw response:	that the woman at your side at the Eastern Sea was High Goddess Bai Qian.
context: Someone come! Anyone!\My lady is hanging herself!\Someone come!\- Crown Prince. - Second Uncle.\I heard you have been staying in Qing Qiu lately.\It seems a wedding date will be fast approaching.\I also heard from Shao Xing that she saw\that the woman at your side at the Eastern Sea was High Goddess Bai Qian. response:	At first, I thought she was just joking
context: My lady is hanging herself!\Someone come!\- Crown Prince. - Second Uncle.\I heard you have been staying in Qing Qiu lately.\It seems a wedding date will be fast approaching.\I also heard from Shao Xing that she saw\that the woman at your side at the Eastern Sea was High Goddess Bai Qian.\At first, I thought she was just joking response:	but it turned out to be true.
context: Someone come!\- Crown Prince. - Second Uncle.\I heard you have been staying in Qing Qiu lately.\It seems a wedding date will be fast approaching.\I also heard from Shao Xing that she saw\that the woman at your side at the Eastern Sea was High Goddess Bai Qian.\At first, I thought she was just joking\but it turned out to be true. response:	I heard from Third Uncle that
context: - Crown Prince. - Second Uncle.\I heard you have been staying in Qing Qiu lately.\It seems a wedding date will be fast approaching.\I also heard from Shao Xing that she saw\that the woman at your side at the Eastern Sea was High Goddess Bai Qian.\At first, I thought she was just joking\but it turned out to be true.\I heard from Third Uncle that response:	you brought your eldest son, Yuan Zhen, to the Heavenly Lord's birthday banquet.
context: I heard you have been staying in Qing Qiu lately.\It seems a wedding date will be fast approaching.\I also heard from Shao Xing that she saw\that the woman at your side at the Eastern Sea was High Goddess Bai Qian.\At first, I thought she was just joking\but it turned out to be true.\I heard from Third Uncle that\you brought your eldest son, Yuan Zhen, to the Heavenly Lord's birthday banquet. response:	Yes.
context: It seems a wedding date will be fast approaching.\I also heard from Shao Xing that she saw\that the woman at your side at the Eastern Sea was High Goddess Bai Qian.\At first, I thought she was just joking\but it turned out to be true.\I heard from Third Uncle that\you brought your eldest son, Yuan Zhen, to the Heavenly Lord's birthday banquet.\Yes. response:	Father just praised Yuan Zhen's intelligence.
context: I also heard from Shao Xing that she saw\that the woman at your side at the Eastern Sea was High Goddess Bai Qian.\At first, I thought she was just joking\but it turned out to be true.\I heard from Third Uncle that\you brought your eldest son, Yuan Zhen, to the Heavenly Lord's birthday banquet.\Yes.\Father just praised Yuan Zhen's intelligence. response:	It's just unfortunate that no matter how intelligent he is
context: that the woman at your side at the Eastern Sea was High Goddess Bai Qian.\At first, I thought she was just joking\but it turned out to be true.\I heard from Third Uncle that\you brought your eldest son, Yuan Zhen, to the Heavenly Lord's birthday banquet.\Yes.\Father just praised Yuan Zhen's intelligence.\It's just unfortunate that no matter how intelligent he is response:	he is merely the son of the Water King of the North Sea.
context: At first, I thought she was just joking\but it turned out to be true.\I heard from Third Uncle that\you brought your eldest son, Yuan Zhen, to the Heavenly Lord's birthday banquet.\Yes.\Father just praised Yuan Zhen's intelligence.\It's just unfortunate that no matter how intelligent he is\he is merely the son of the Water King of the North Sea. response:	I'm afraid he was not meant to be in the Nine Heavens.
context: but it turned out to be true.\I heard from Third Uncle that\you brought your eldest son, Yuan Zhen, to the Heavenly Lord's birthday banquet.\Yes.\Father just praised Yuan Zhen's intelligence.\It's just unfortunate that no matter how intelligent he is\he is merely the son of the Water King of the North Sea.\I'm afraid he was not meant to be in the Nine Heavens. response:	Ye Hua!
context: I heard from Third Uncle that\you brought your eldest son, Yuan Zhen, to the Heavenly Lord's birthday banquet.\Yes.\Father just praised Yuan Zhen's intelligence.\It's just unfortunate that no matter how intelligent he is\he is merely the son of the Water King of the North Sea.\I'm afraid he was not meant to be in the Nine Heavens.\Ye Hua! response:	Second Brother, hurry to Xiwu Palace. Yuan Zhen is in great trouble!
context: you brought your eldest son, Yuan Zhen, to the Heavenly Lord's birthday banquet.\Yes.\Father just praised Yuan Zhen's intelligence.\It's just unfortunate that no matter how intelligent he is\he is merely the son of the Water King of the North Sea.\I'm afraid he was not meant to be in the Nine Heavens.\Ye Hua!\Second Brother, hurry to Xiwu Palace. Yuan Zhen is in great trouble! response:	- Father. - Heavenly Lord.
context: Yes.\Father just praised Yuan Zhen's intelligence.\It's just unfortunate that no matter how intelligent he is\he is merely the son of the Water King of the North Sea.\I'm afraid he was not meant to be in the Nine Heavens.\Ye Hua!\Second Brother, hurry to Xiwu Palace. Yuan Zhen is in great trouble!\- Father. - Heavenly Lord. response:	Rise.
context: Father just praised Yuan Zhen's intelligence.\It's just unfortunate that no matter how intelligent he is\he is merely the son of the Water King of the North Sea.\I'm afraid he was not meant to be in the Nine Heavens.\Ye Hua!\Second Brother, hurry to Xiwu Palace. Yuan Zhen is in great trouble!\- Father. - Heavenly Lord.\Rise. response:	- Thank you, Father. - Thank you, Heavenly Lord.
context: It's just unfortunate that no matter how intelligent he is\he is merely the son of the Water King of the North Sea.\I'm afraid he was not meant to be in the Nine Heavens.\Ye Hua!\Second Brother, hurry to Xiwu Palace. Yuan Zhen is in great trouble!\- Father. - Heavenly Lord.\Rise.\- Thank you, Father. - Thank you, Heavenly Lord. response:	Your good son is just like you, mindless over lust!
context: he is merely the son of the Water King of the North Sea.\I'm afraid he was not meant to be in the Nine Heavens.\Ye Hua!\Second Brother, hurry to Xiwu Palace. Yuan Zhen is in great trouble!\- Father. - Heavenly Lord.\Rise.\- Thank you, Father. - Thank you, Heavenly Lord.\Your good son is just like you, mindless over lust! response:	Yuan Zhen, what have you done?
context: I'm afraid he was not meant to be in the Nine Heavens.\Ye Hua!\Second Brother, hurry to Xiwu Palace. Yuan Zhen is in great trouble!\- Father. - Heavenly Lord.\Rise.\- Thank you, Father. - Thank you, Heavenly Lord.\Your good son is just like you, mindless over lust!\Yuan Zhen, what have you done? response:	Father, I did not do anything! I did not do anything!
context: Ye Hua!\Second Brother, hurry to Xiwu Palace. Yuan Zhen is in great trouble!\- Father. - Heavenly Lord.\Rise.\- Thank you, Father. - Thank you, Heavenly Lord.\Your good son is just like you, mindless over lust!\Yuan Zhen, what have you done?\Father, I did not do anything! I did not do anything! response:	He barged into my chambers and I nearly...
context: Second Brother, hurry to Xiwu Palace. Yuan Zhen is in great trouble!\- Father. - Heavenly Lord.\Rise.\- Thank you, Father. - Thank you, Heavenly Lord.\Your good son is just like you, mindless over lust!\Yuan Zhen, what have you done?\Father, I did not do anything! I did not do anything!\He barged into my chambers and I nearly... response:	I nearly lost my innocence to him.
context: - Father. - Heavenly Lord.\Rise.\- Thank you, Father. - Thank you, Heavenly Lord.\Your good son is just like you, mindless over lust!\Yuan Zhen, what have you done?\Father, I did not do anything! I did not do anything!\He barged into my chambers and I nearly...\I nearly lost my innocence to him. response:	I am unworthy of Your Highness's generosity to me in the past.
context: Rise.\- Thank you, Father. - Thank you, Heavenly Lord.\Your good son is just like you, mindless over lust!\Yuan Zhen, what have you done?\Father, I did not do anything! I did not do anything!\He barged into my chambers and I nearly...\I nearly lost my innocence to him.\I am unworthy of Your Highness's generosity to me in the past. response:	Please grant me a piece of white silk so that I may die with my innocence!
context: - Thank you, Father. - Thank you, Heavenly Lord.\Your good son is just like you, mindless over lust!\Yuan Zhen, what have you done?\Father, I did not do anything! I did not do anything!\He barged into my chambers and I nearly...\I nearly lost my innocence to him.\I am unworthy of Your Highness's generosity to me in the past.\Please grant me a piece of white silk so that I may die with my innocence! response:	I beg Your Majesty and Your Highness to grant me death!
context: Your good son is just like you, mindless over lust!\Yuan Zhen, what have you done?\Father, I did not do anything! I did not do anything!\He barged into my chambers and I nearly...\I nearly lost my innocence to him.\I am unworthy of Your Highness's generosity to me in the past.\Please grant me a piece of white silk so that I may die with my innocence!\I beg Your Majesty and Your Highness to grant me death! response:	You're a disgrace!
context: Yuan Zhen, what have you done?\Father, I did not do anything! I did not do anything!\He barged into my chambers and I nearly...\I nearly lost my innocence to him.\I am unworthy of Your Highness's generosity to me in the past.\Please grant me a piece of white silk so that I may die with my innocence!\I beg Your Majesty and Your Highness to grant me death!\You're a disgrace! response:	You animal!
context: Father, I did not do anything! I did not do anything!\He barged into my chambers and I nearly...\I nearly lost my innocence to him.\I am unworthy of Your Highness's generosity to me in the past.\Please grant me a piece of white silk so that I may die with my innocence!\I beg Your Majesty and Your Highness to grant me death!\You're a disgrace!\You animal! response:	Yuan Zhen was imprudent
context: He barged into my chambers and I nearly...\I nearly lost my innocence to him.\I am unworthy of Your Highness's generosity to me in the past.\Please grant me a piece of white silk so that I may die with my innocence!\I beg Your Majesty and Your Highness to grant me death!\You're a disgrace!\You animal!\Yuan Zhen was imprudent response:	to have dared to commit such a shameful act!
context: I nearly lost my innocence to him.\I am unworthy of Your Highness's generosity to me in the past.\Please grant me a piece of white silk so that I may die with my innocence!\I beg Your Majesty and Your Highness to grant me death!\You're a disgrace!\You animal!\Yuan Zhen was imprudent\to have dared to commit such a shameful act! response:	However, Father, I implore you to consider Yuan Zhen's young age
context: I am unworthy of Your Highness's generosity to me in the past.\Please grant me a piece of white silk so that I may die with my innocence!\I beg Your Majesty and Your Highness to grant me death!\You're a disgrace!\You animal!\Yuan Zhen was imprudent\to have dared to commit such a shameful act!\However, Father, I implore you to consider Yuan Zhen's young age response:	and spare his life!
context: Please grant me a piece of white silk so that I may die with my innocence!\I beg Your Majesty and Your Highness to grant me death!\You're a disgrace!\You animal!\Yuan Zhen was imprudent\to have dared to commit such a shameful act!\However, Father, I implore you to consider Yuan Zhen's young age\and spare his life! response:	Father, please spare Yuan Zhen's life and be lenient with punishment!
context: I beg Your Majesty and Your Highness to grant me death!\You're a disgrace!\You animal!\Yuan Zhen was imprudent\to have dared to commit such a shameful act!\However, Father, I implore you to consider Yuan Zhen's young age\and spare his life!\Father, please spare Yuan Zhen's life and be lenient with punishment! response:	Consort Su Jin did all she could to resist...
context: You're a disgrace!\You animal!\Yuan Zhen was imprudent\to have dared to commit such a shameful act!\However, Father, I implore you to consider Yuan Zhen's young age\and spare his life!\Father, please spare Yuan Zhen's life and be lenient with punishment!\Consort Su Jin did all she could to resist... response:	and was not defiled by him.
context: You animal!\Yuan Zhen was imprudent\to have dared to commit such a shameful act!\However, Father, I implore you to consider Yuan Zhen's young age\and spare his life!\Father, please spare Yuan Zhen's life and be lenient with punishment!\Consort Su Jin did all she could to resist...\and was not defiled by him. response:	I could have issued a lighter punishment if it were someone else's son.
context: Yuan Zhen was imprudent\to have dared to commit such a shameful act!\However, Father, I implore you to consider Yuan Zhen's young age\and spare his life!\Father, please spare Yuan Zhen's life and be lenient with punishment!\Consort Su Jin did all she could to resist...\and was not defiled by him.\I could have issued a lighter punishment if it were someone else's son. response:	However, he just has to be your son!
context: to have dared to commit such a shameful act!\However, Father, I implore you to consider Yuan Zhen's young age\and spare his life!\Father, please spare Yuan Zhen's life and be lenient with punishment!\Consort Su Jin did all she could to resist...\and was not defiled by him.\I could have issued a lighter punishment if it were someone else's son.\However, he just has to be your son! response:	Of my three sons...
context: However, Father, I implore you to consider Yuan Zhen's young age\and spare his life!\Father, please spare Yuan Zhen's life and be lenient with punishment!\Consort Su Jin did all she could to resist...\and was not defiled by him.\I could have issued a lighter punishment if it were someone else's son.\However, he just has to be your son!\Of my three sons... response:	you were the one I favored the most.
context: and spare his life!\Father, please spare Yuan Zhen's life and be lenient with punishment!\Consort Su Jin did all she could to resist...\and was not defiled by him.\I could have issued a lighter punishment if it were someone else's son.\However, he just has to be your son!\Of my three sons...\you were the one I favored the most. response:	You were also the one to cause me the most pain.
context: Father, please spare Yuan Zhen's life and be lenient with punishment!\Consort Su Jin did all she could to resist...\and was not defiled by him.\I could have issued a lighter punishment if it were someone else's son.\However, he just has to be your son!\Of my three sons...\you were the one I favored the most.\You were also the one to cause me the most pain. response:	I cannot believe that on this day, it is now your son who breaks my heart.
context: Consort Su Jin did all she could to resist...\and was not defiled by him.\I could have issued a lighter punishment if it were someone else's son.\However, he just has to be your son!\Of my three sons...\you were the one I favored the most.\You were also the one to cause me the most pain.\I cannot believe that on this day, it is now your son who breaks my heart. response:	I never imagined that after all these millennia
context: and was not defiled by him.\I could have issued a lighter punishment if it were someone else's son.\However, he just has to be your son!\Of my three sons...\you were the one I favored the most.\You were also the one to cause me the most pain.\I cannot believe that on this day, it is now your son who breaks my heart.\I never imagined that after all these millennia response:	the first time I allow you to bring your son to the Celestial Palace
context: I could have issued a lighter punishment if it were someone else's son.\However, he just has to be your son!\Of my three sons...\you were the one I favored the most.\You were also the one to cause me the most pain.\I cannot believe that on this day, it is now your son who breaks my heart.\I never imagined that after all these millennia\the first time I allow you to bring your son to the Celestial Palace response:	I would in exchange be disgraced by my own grandson
context: However, he just has to be your son!\Of my three sons...\you were the one I favored the most.\You were also the one to cause me the most pain.\I cannot believe that on this day, it is now your son who breaks my heart.\I never imagined that after all these millennia\the first time I allow you to bring your son to the Celestial Palace\I would in exchange be disgraced by my own grandson response:	in front of all my subjects at my own birthday banquet!
context: Of my three sons...\you were the one I favored the most.\You were also the one to cause me the most pain.\I cannot believe that on this day, it is now your son who breaks my heart.\I never imagined that after all these millennia\the first time I allow you to bring your son to the Celestial Palace\I would in exchange be disgraced by my own grandson\in front of all my subjects at my own birthday banquet! response:	I know I have done wrong. Please don't be angry, Father.
context: you were the one I favored the most.\You were also the one to cause me the most pain.\I cannot believe that on this day, it is now your son who breaks my heart.\I never imagined that after all these millennia\the first time I allow you to bring your son to the Celestial Palace\I would in exchange be disgraced by my own grandson\in front of all my subjects at my own birthday banquet!\I know I have done wrong. Please don't be angry, Father. response:	Yuan Zhen.
context: You were also the one to cause me the most pain.\I cannot believe that on this day, it is now your son who breaks my heart.\I never imagined that after all these millennia\the first time I allow you to bring your son to the Celestial Palace\I would in exchange be disgraced by my own grandson\in front of all my subjects at my own birthday banquet!\I know I have done wrong. Please don't be angry, Father.\Yuan Zhen. response:	You are young, yet you are actually capable of doing such a thing!
context: I cannot believe that on this day, it is now your son who breaks my heart.\I never imagined that after all these millennia\the first time I allow you to bring your son to the Celestial Palace\I would in exchange be disgraced by my own grandson\in front of all my subjects at my own birthday banquet!\I know I have done wrong. Please don't be angry, Father.\Yuan Zhen.\You are young, yet you are actually capable of doing such a thing! response:	I have no choice but to reconsider my evaluation of you.
context: I never imagined that after all these millennia\the first time I allow you to bring your son to the Celestial Palace\I would in exchange be disgraced by my own grandson\in front of all my subjects at my own birthday banquet!\I know I have done wrong. Please don't be angry, Father.\Yuan Zhen.\You are young, yet you are actually capable of doing such a thing!\I have no choice but to reconsider my evaluation of you. response:	To think I believed you had a benevolent disposition!
context: the first time I allow you to bring your son to the Celestial Palace\I would in exchange be disgraced by my own grandson\in front of all my subjects at my own birthday banquet!\I know I have done wrong. Please don't be angry, Father.\Yuan Zhen.\You are young, yet you are actually capable of doing such a thing!\I have no choice but to reconsider my evaluation of you.\To think I believed you had a benevolent disposition! response:	Heavenly Lord, please investigate this! I truly did not do anything!
context: I would in exchange be disgraced by my own grandson\in front of all my subjects at my own birthday banquet!\I know I have done wrong. Please don't be angry, Father.\Yuan Zhen.\You are young, yet you are actually capable of doing such a thing!\I have no choice but to reconsider my evaluation of you.\To think I believed you had a benevolent disposition!\Heavenly Lord, please investigate this! I truly did not do anything! response:	It was Consort Su Jin who led me there! I really did not do anything!
context: in front of all my subjects at my own birthday banquet!\I know I have done wrong. Please don't be angry, Father.\Yuan Zhen.\You are young, yet you are actually capable of doing such a thing!\I have no choice but to reconsider my evaluation of you.\To think I believed you had a benevolent disposition!\Heavenly Lord, please investigate this! I truly did not do anything!\It was Consort Su Jin who led me there! I really did not do anything! response:	- Please investigate, Your Majesty! - You're a disgrace!
context: I know I have done wrong. Please don't be angry, Father.\Yuan Zhen.\You are young, yet you are actually capable of doing such a thing!\I have no choice but to reconsider my evaluation of you.\To think I believed you had a benevolent disposition!\Heavenly Lord, please investigate this! I truly did not do anything!\It was Consort Su Jin who led me there! I really did not do anything!\- Please investigate, Your Majesty! - You're a disgrace! response:	Is there any woman who would destroy her own innocence just to frame another?
context: Yuan Zhen.\You are young, yet you are actually capable of doing such a thing!\I have no choice but to reconsider my evaluation of you.\To think I believed you had a benevolent disposition!\Heavenly Lord, please investigate this! I truly did not do anything!\It was Consort Su Jin who led me there! I really did not do anything!\- Please investigate, Your Majesty! - You're a disgrace!\Is there any woman who would destroy her own innocence just to frame another? response:	You are making excuses even now?
context: You are young, yet you are actually capable of doing such a thing!\I have no choice but to reconsider my evaluation of you.\To think I believed you had a benevolent disposition!\Heavenly Lord, please investigate this! I truly did not do anything!\It was Consort Su Jin who led me there! I really did not do anything!\- Please investigate, Your Majesty! - You're a disgrace!\Is there any woman who would destroy her own innocence just to frame another?\You are making excuses even now? response:	Guards!
context: I have no choice but to reconsider my evaluation of you.\To think I believed you had a benevolent disposition!\Heavenly Lord, please investigate this! I truly did not do anything!\It was Consort Su Jin who led me there! I really did not do anything!\- Please investigate, Your Majesty! - You're a disgrace!\Is there any woman who would destroy her own innocence just to frame another?\You are making excuses even now?\Guards! response:	- Heavenly Lord. - Heavenly Lord.
context: To think I believed you had a benevolent disposition!\Heavenly Lord, please investigate this! I truly did not do anything!\It was Consort Su Jin who led me there! I really did not do anything!\- Please investigate, Your Majesty! - You're a disgrace!\Is there any woman who would destroy her own innocence just to frame another?\You are making excuses even now?\Guards!\- Heavenly Lord. - Heavenly Lord. response:	Bind Yuan Zhen with an Immortal Seal.
context: Heavenly Lord, please investigate this! I truly did not do anything!\It was Consort Su Jin who led me there! I really did not do anything!\- Please investigate, Your Majesty! - You're a disgrace!\Is there any woman who would destroy her own innocence just to frame another?\You are making excuses even now?\Guards!\- Heavenly Lord. - Heavenly Lord.\Bind Yuan Zhen with an Immortal Seal. response:	Send him off to the Mortal Realm to suffer trials for 60 years.
context: It was Consort Su Jin who led me there! I really did not do anything!\- Please investigate, Your Majesty! - You're a disgrace!\Is there any woman who would destroy her own innocence just to frame another?\You are making excuses even now?\Guards!\- Heavenly Lord. - Heavenly Lord.\Bind Yuan Zhen with an Immortal Seal.\Send him off to the Mortal Realm to suffer trials for 60 years. response:	After 60 years, he may return to the ranks of the immortals.
context: - Please investigate, Your Majesty! - You're a disgrace!\Is there any woman who would destroy her own innocence just to frame another?\You are making excuses even now?\Guards!\- Heavenly Lord. - Heavenly Lord.\Bind Yuan Zhen with an Immortal Seal.\Send him off to the Mortal Realm to suffer trials for 60 years.\After 60 years, he may return to the ranks of the immortals. response:	- Yes. - Yes.
context: Is there any woman who would destroy her own innocence just to frame another?\You are making excuses even now?\Guards!\- Heavenly Lord. - Heavenly Lord.\Bind Yuan Zhen with an Immortal Seal.\Send him off to the Mortal Realm to suffer trials for 60 years.\After 60 years, he may return to the ranks of the immortals.\- Yes. - Yes. response:	No...
context: You are making excuses even now?\Guards!\- Heavenly Lord. - Heavenly Lord.\Bind Yuan Zhen with an Immortal Seal.\Send him off to the Mortal Realm to suffer trials for 60 years.\After 60 years, he may return to the ranks of the immortals.\- Yes. - Yes.\No... response:	No, no! Father! Father, help me! Father! Father!
context: Guards!\- Heavenly Lord. - Heavenly Lord.\Bind Yuan Zhen with an Immortal Seal.\Send him off to the Mortal Realm to suffer trials for 60 years.\After 60 years, he may return to the ranks of the immortals.\- Yes. - Yes.\No...\No, no! Father! Father, help me! Father! Father! response:	- Please withdraw your command, Father! - I really didn't do it!
context: - Heavenly Lord. - Heavenly Lord.\Bind Yuan Zhen with an Immortal Seal.\Send him off to the Mortal Realm to suffer trials for 60 years.\After 60 years, he may return to the ranks of the immortals.\- Yes. - Yes.\No...\No, no! Father! Father, help me! Father! Father!\- Please withdraw your command, Father! - I really didn't do it! response:	- Yuan Zhen has a gentle nature. - I didn't do it!
context: Bind Yuan Zhen with an Immortal Seal.\Send him off to the Mortal Realm to suffer trials for 60 years.\After 60 years, he may return to the ranks of the immortals.\- Yes. - Yes.\No...\No, no! Father! Father, help me! Father! Father!\- Please withdraw your command, Father! - I really didn't do it!\- Yuan Zhen has a gentle nature. - I didn't do it! response:	He does not indulge in lust!
context: Send him off to the Mortal Realm to suffer trials for 60 years.\After 60 years, he may return to the ranks of the immortals.\- Yes. - Yes.\No...\No, no! Father! Father, help me! Father! Father!\- Please withdraw your command, Father! - I really didn't do it!\- Yuan Zhen has a gentle nature. - I didn't do it!\He does not indulge in lust! response:	A father knows his son best. He would never do such a thing!
