context: Scary Lucy is back! response:	On the inside, Scary Lucy isn't so different than the real one.
context: Looks like the place is about to collapse.\Don't jinx it, sheesh!\But this really is an ancient tunnel...\I wonder if there are ghosts and stuff?\W-What is it, Natsu? Is there something there?\Hold this.\W-W-W-What?\Don't move now. response:	This is my territory!
context: Don't jinx it, sheesh!\But this really is an ancient tunnel...\I wonder if there are ghosts and stuff?\W-What is it, Natsu? Is there something there?\Hold this.\W-W-W-What?\Don't move now.\This is my territory! response:	This is no time for playing around!
context: But this really is an ancient tunnel...\I wonder if there are ghosts and stuff?\W-What is it, Natsu? Is there something there?\Hold this.\W-W-W-What?\Don't move now.\This is my territory!\This is no time for playing around! response:	This one is next.
context: I wonder if there are ghosts and stuff?\W-What is it, Natsu? Is there something there?\Hold this.\W-W-W-What?\Don't move now.\This is my territory!\This is no time for playing around!\This one is next. response:	Left up there.
context: W-What is it, Natsu? Is there something there?\Hold this.\W-W-W-What?\Don't move now.\This is my territory!\This is no time for playing around!\This one is next.\Left up there. response:	Turn up there.
context: Hold this.\W-W-W-What?\Don't move now.\This is my territory!\This is no time for playing around!\This one is next.\Left up there.\Turn up there. response:	We've come out to a pretty open place.
context: W-W-W-What?\Don't move now.\This is my territory!\This is no time for playing around!\This one is next.\Left up there.\Turn up there.\We've come out to a pretty open place. response:	It looks like this is where it connects to the basement of the castle.
context: Don't move now.\This is my territory!\This is no time for playing around!\This one is next.\Left up there.\Turn up there.\We've come out to a pretty open place.\It looks like this is where it connects to the basement of the castle. response:	I'm not sure how you did it, but you really saved the day, Carla!
context: This is my territory!\This is no time for playing around!\This one is next.\Left up there.\Turn up there.\We've come out to a pretty open place.\It looks like this is where it connects to the basement of the castle.\I'm not sure how you did it, but you really saved the day, Carla! response:	I don't know, either.
context: This is no time for playing around!\This one is next.\Left up there.\Turn up there.\We've come out to a pretty open place.\It looks like this is where it connects to the basement of the castle.\I'm not sure how you did it, but you really saved the day, Carla!\I don't know, either. response:	Information just keeps popping into my head.
context: This one is next.\Left up there.\Turn up there.\We've come out to a pretty open place.\It looks like this is where it connects to the basement of the castle.\I'm not sure how you did it, but you really saved the day, Carla!\I don't know, either.\Information just keeps popping into my head. response:	Thank you, Carla.
context: Left up there.\Turn up there.\We've come out to a pretty open place.\It looks like this is where it connects to the basement of the castle.\I'm not sure how you did it, but you really saved the day, Carla!\I don't know, either.\Information just keeps popping into my head.\Thank you, Carla. response:	If you want to thank me, do it after we rescue everyone.
context: Turn up there.\We've come out to a pretty open place.\It looks like this is where it connects to the basement of the castle.\I'm not sure how you did it, but you really saved the day, Carla!\I don't know, either.\Information just keeps popping into my head.\Thank you, Carla.\If you want to thank me, do it after we rescue everyone. response:	Now is when things get difficult.
context: We've come out to a pretty open place.\It looks like this is where it connects to the basement of the castle.\I'm not sure how you did it, but you really saved the day, Carla!\I don't know, either.\Information just keeps popping into my head.\Thank you, Carla.\If you want to thank me, do it after we rescue everyone.\Now is when things get difficult. response:	We have to get to the King's chambers without being noticed, and escape as well!
context: It looks like this is where it connects to the basement of the castle.\I'm not sure how you did it, but you really saved the day, Carla!\I don't know, either.\Information just keeps popping into my head.\Thank you, Carla.\If you want to thank me, do it after we rescue everyone.\Now is when things get difficult.\We have to get to the King's chambers without being noticed, and escape as well! response:	If we're found by the army now, we won't have a prayer of winning.
context: I'm not sure how you did it, but you really saved the day, Carla!\I don't know, either.\Information just keeps popping into my head.\Thank you, Carla.\If you want to thank me, do it after we rescue everyone.\Now is when things get difficult.\We have to get to the King's chambers without being noticed, and escape as well!\If we're found by the army now, we won't have a prayer of winning. response:	If it comes down to it, at least we have my magic!
context: I don't know, either.\Information just keeps popping into my head.\Thank you, Carla.\If you want to thank me, do it after we rescue everyone.\Now is when things get difficult.\We have to get to the King's chambers without being noticed, and escape as well!\If we're found by the army now, we won't have a prayer of winning.\If it comes down to it, at least we have my magic! response:	Not that that reassures me much.
context: Information just keeps popping into my head.\Thank you, Carla.\If you want to thank me, do it after we rescue everyone.\Now is when things get difficult.\We have to get to the King's chambers without being noticed, and escape as well!\If we're found by the army now, we won't have a prayer of winning.\If it comes down to it, at least we have my magic!\Not that that reassures me much. response:	What was that for?
context: Thank you, Carla.\If you want to thank me, do it after we rescue everyone.\Now is when things get difficult.\We have to get to the King's chambers without being noticed, and escape as well!\If we're found by the army now, we won't have a prayer of winning.\If it comes down to it, at least we have my magic!\Not that that reassures me much.\What was that for? response:	This whole plan hinges on my Gemini, remember?
context: If you want to thank me, do it after we rescue everyone.\Now is when things get difficult.\We have to get to the King's chambers without being noticed, and escape as well!\If we're found by the army now, we won't have a prayer of winning.\If it comes down to it, at least we have my magic!\Not that that reassures me much.\What was that for?\This whole plan hinges on my Gemini, remember? response:	Sure, yeah.
context: Now is when things get difficult.\We have to get to the King's chambers without being noticed, and escape as well!\If we're found by the army now, we won't have a prayer of winning.\If it comes down to it, at least we have my magic!\Not that that reassures me much.\What was that for?\This whole plan hinges on my Gemini, remember?\Sure, yeah. response:	Happy, let's go.
context: We have to get to the King's chambers without being noticed, and escape as well!\If we're found by the army now, we won't have a prayer of winning.\If it comes down to it, at least we have my magic!\Not that that reassures me much.\What was that for?\This whole plan hinges on my Gemini, remember?\Sure, yeah.\Happy, let's go. response:	Aye!
context: If we're found by the army now, we won't have a prayer of winning.\If it comes down to it, at least we have my magic!\Not that that reassures me much.\What was that for?\This whole plan hinges on my Gemini, remember?\Sure, yeah.\Happy, let's go.\Aye! response:	Lucy!
context: If it comes down to it, at least we have my magic!\Not that that reassures me much.\What was that for?\This whole plan hinges on my Gemini, remember?\Sure, yeah.\Happy, let's go.\Aye!\Lucy! response:	Lucy-san!
context: Not that that reassures me much.\What was that for?\This whole plan hinges on my Gemini, remember?\Sure, yeah.\Happy, let's go.\Aye!\Lucy!\Lucy-san! response:	What is this?
context: What was that for?\This whole plan hinges on my Gemini, remember?\Sure, yeah.\Happy, let's go.\Aye!\Lucy!\Lucy-san!\What is this? response:	I can't move!
context: This whole plan hinges on my Gemini, remember?\Sure, yeah.\Happy, let's go.\Aye!\Lucy!\Lucy-san!\What is this?\I can't move! response:	The army!
context: Sure, yeah.\Happy, let's go.\Aye!\Lucy!\Lucy-san!\What is this?\I can't move!\The army! response:	Why are there so many in this tunnel?
context: Happy, let's go.\Aye!\Lucy!\Lucy-san!\What is this?\I can't move!\The army!\Why are there so many in this tunnel? response:	How did they find us?
context: Aye!\Lucy!\Lucy-san!\What is this?\I can't move!\The army!\Why are there so many in this tunnel?\How did they find us? response:	So, these are the wizards from Earthland?
context: Lucy!\Lucy-san!\What is this?\I can't move!\The army!\Why are there so many in this tunnel?\How did they find us?\So, these are the wizards from Earthland? response:	Erza!
context: Lucy-san!\What is this?\I can't move!\The army!\Why are there so many in this tunnel?\How did they find us?\So, these are the wizards from Earthland?\Erza! response:	Are you really different people than Natsu Dragyon and Lucy Ashley?
context: What is this?\I can't move!\The army!\Why are there so many in this tunnel?\How did they find us?\So, these are the wizards from Earthland?\Erza!\Are you really different people than Natsu Dragyon and Lucy Ashley? response:	Take them.
context: I can't move!\The army!\Why are there so many in this tunnel?\How did they find us?\So, these are the wizards from Earthland?\Erza!\Are you really different people than Natsu Dragyon and Lucy Ashley?\Take them. response:	Yes, Ma'am!
context: The army!\Why are there so many in this tunnel?\How did they find us?\So, these are the wizards from Earthland?\Erza!\Are you really different people than Natsu Dragyon and Lucy Ashley?\Take them.\Yes, Ma'am! response:	Erza, listen to me!
context: Why are there so many in this tunnel?\How did they find us?\So, these are the wizards from Earthland?\Erza!\Are you really different people than Natsu Dragyon and Lucy Ashley?\Take them.\Yes, Ma'am!\Erza, listen to me! response:	Okay?
context: How did they find us?\So, these are the wizards from Earthland?\Erza!\Are you really different people than Natsu Dragyon and Lucy Ashley?\Take them.\Yes, Ma'am!\Erza, listen to me!\Okay? response:	Wendy!
context: So, these are the wizards from Earthland?\Erza!\Are you really different people than Natsu Dragyon and Lucy Ashley?\Take them.\Yes, Ma'am!\Erza, listen to me!\Okay?\Wendy! response:	Natsu, Lucy!
context: Erza!\Are you really different people than Natsu Dragyon and Lucy Ashley?\Take them.\Yes, Ma'am!\Erza, listen to me!\Okay?\Wendy!\Natsu, Lucy! response:	Exceeds...
context: Are you really different people than Natsu Dragyon and Lucy Ashley?\Take them.\Yes, Ma'am!\Erza, listen to me!\Okay?\Wendy!\Natsu, Lucy!\Exceeds... response:	What is the meaning of this?
context: Take them.\Yes, Ma'am!\Erza, listen to me!\Okay?\Wendy!\Natsu, Lucy!\Exceeds...\What is the meaning of this? response:	Happy, Carla... What exactly did you...
context: Yes, Ma'am!\Erza, listen to me!\Okay?\Wendy!\Natsu, Lucy!\Exceeds...\What is the meaning of this?\Happy, Carla... What exactly did you... response:	I thank you for leading the intruders into our custody.
context: Erza, listen to me!\Okay?\Wendy!\Natsu, Lucy!\Exceeds...\What is the meaning of this?\Happy, Carla... What exactly did you...\I thank you for leading the intruders into our custody. response:	Take a look, Natsu!
context: Okay?\Wendy!\Natsu, Lucy!\Exceeds...\What is the meaning of this?\Happy, Carla... What exactly did you...\I thank you for leading the intruders into our custody.\Take a look, Natsu! response:	It's a Cat Kingdom! Upa!
context: Wendy!\Natsu, Lucy!\Exceeds...\What is the meaning of this?\Happy, Carla... What exactly did you...\I thank you for leading the intruders into our custody.\Take a look, Natsu!\It's a Cat Kingdom! Upa! response:	Ooh, amazing!
context: Natsu, Lucy!\Exceeds...\What is the meaning of this?\Happy, Carla... What exactly did you...\I thank you for leading the intruders into our custody.\Take a look, Natsu!\It's a Cat Kingdom! Upa!\Ooh, amazing! response:	Which means, wait... Are there kingdoms for other kinds of animals, too?
context: Exceeds...\What is the meaning of this?\Happy, Carla... What exactly did you...\I thank you for leading the intruders into our custody.\Take a look, Natsu!\It's a Cat Kingdom! Upa!\Ooh, amazing!\Which means, wait... Are there kingdoms for other kinds of animals, too? response:	I wish I could go to the Fish Kingdom.
context: What is the meaning of this?\Happy, Carla... What exactly did you...\I thank you for leading the intruders into our custody.\Take a look, Natsu!\It's a Cat Kingdom! Upa!\Ooh, amazing!\Which means, wait... Are there kingdoms for other kinds of animals, too?\I wish I could go to the Fish Kingdom. response:	That's paradise for a cat!
context: Happy, Carla... What exactly did you...\I thank you for leading the intruders into our custody.\Take a look, Natsu!\It's a Cat Kingdom! Upa!\Ooh, amazing!\Which means, wait... Are there kingdoms for other kinds of animals, too?\I wish I could go to the Fish Kingdom.\That's paradise for a cat! response:	I think if you ate fish in the Fish Kingdom, you'd be in big trouble.
context: I thank you for leading the intruders into our custody.\Take a look, Natsu!\It's a Cat Kingdom! Upa!\Ooh, amazing!\Which means, wait... Are there kingdoms for other kinds of animals, too?\I wish I could go to the Fish Kingdom.\That's paradise for a cat!\I think if you ate fish in the Fish Kingdom, you'd be in big trouble. response:	Next time: Extalia!
context: Take a look, Natsu!\It's a Cat Kingdom! Upa!\Ooh, amazing!\Which means, wait... Are there kingdoms for other kinds of animals, too?\I wish I could go to the Fish Kingdom.\That's paradise for a cat!\I think if you ate fish in the Fish Kingdom, you'd be in big trouble.\Next time: Extalia! response:	For me, I'd like to go to the Dragon Kingdom.
context: It's a Cat Kingdom! Upa!\Ooh, amazing!\Which means, wait... Are there kingdoms for other kinds of animals, too?\I wish I could go to the Fish Kingdom.\That's paradise for a cat!\I think if you ate fish in the Fish Kingdom, you'd be in big trouble.\Next time: Extalia!\For me, I'd like to go to the Dragon Kingdom. response:	What would you do there?
context: Ooh, amazing!\Which means, wait... Are there kingdoms for other kinds of animals, too?\I wish I could go to the Fish Kingdom.\That's paradise for a cat!\I think if you ate fish in the Fish Kingdom, you'd be in big trouble.\Next time: Extalia!\For me, I'd like to go to the Dragon Kingdom.\What would you do there? response:	Eat them?
context: Which means, wait... Are there kingdoms for other kinds of animals, too?\I wish I could go to the Fish Kingdom.\That's paradise for a cat!\I think if you ate fish in the Fish Kingdom, you'd be in big trouble.\Next time: Extalia!\For me, I'd like to go to the Dragon Kingdom.\What would you do there?\Eat them? response:	As if!
