context: What's happened so far! response:	Our sister, the masked honor student Miyazawa Yukino...
context: Upon talking to her, I found out that her husband had passed away leaving her with a son...\So we had a lot in common.\I had been thinking that she was such a cool professional woman.\But then I started to get self-conscious around her...\When Tsubasa was released from the hospital...\The Nemuri Kyoushirou series was playing...\And the Tange Sazen series is good, too.\This is beside the point... response:	And then on TV we like epic sagas...
context: So we had a lot in common.\I had been thinking that she was such a cool professional woman.\But then I started to get self-conscious around her...\When Tsubasa was released from the hospital...\The Nemuri Kyoushirou series was playing...\And the Tange Sazen series is good, too.\This is beside the point...\And then on TV we like epic sagas... response:	and the last days of the shogunate...
context: I had been thinking that she was such a cool professional woman.\But then I started to get self-conscious around her...\When Tsubasa was released from the hospital...\The Nemuri Kyoushirou series was playing...\And the Tange Sazen series is good, too.\This is beside the point...\And then on TV we like epic sagas...\and the last days of the shogunate... response:	The Edo Untouchables and The Fang Edo.
context: But then I started to get self-conscious around her...\When Tsubasa was released from the hospital...\The Nemuri Kyoushirou series was playing...\And the Tange Sazen series is good, too.\This is beside the point...\And then on TV we like epic sagas...\and the last days of the shogunate...\The Edo Untouchables and The Fang Edo. response:	We had the exact same tastes,
context: When Tsubasa was released from the hospital...\The Nemuri Kyoushirou series was playing...\And the Tange Sazen series is good, too.\This is beside the point...\And then on TV we like epic sagas...\and the last days of the shogunate...\The Edo Untouchables and The Fang Edo.\We had the exact same tastes, response:	and so we hit it off...
context: The Nemuri Kyoushirou series was playing...\And the Tange Sazen series is good, too.\This is beside the point...\And then on TV we like epic sagas...\and the last days of the shogunate...\The Edo Untouchables and The Fang Edo.\We had the exact same tastes,\and so we hit it off... response:	Who asked you to start babbling about
context: And the Tange Sazen series is good, too.\This is beside the point...\And then on TV we like epic sagas...\and the last days of the shogunate...\The Edo Untouchables and The Fang Edo.\We had the exact same tastes,\and so we hit it off...\Who asked you to start babbling about response:	how you started dating?!
context: This is beside the point...\And then on TV we like epic sagas...\and the last days of the shogunate...\The Edo Untouchables and The Fang Edo.\We had the exact same tastes,\and so we hit it off...\Who asked you to start babbling about\how you started dating?! response:	True!
context: And then on TV we like epic sagas...\and the last days of the shogunate...\The Edo Untouchables and The Fang Edo.\We had the exact same tastes,\and so we hit it off...\Who asked you to start babbling about\how you started dating?!\True! response:	So I thought it might not be a bad idea to consider remarriage.
context: and the last days of the shogunate...\The Edo Untouchables and The Fang Edo.\We had the exact same tastes,\and so we hit it off...\Who asked you to start babbling about\how you started dating?!\True!\So I thought it might not be a bad idea to consider remarriage. response:	I thought that everyone would be happier that way.
context: The Edo Untouchables and The Fang Edo.\We had the exact same tastes,\and so we hit it off...\Who asked you to start babbling about\how you started dating?!\True!\So I thought it might not be a bad idea to consider remarriage.\I thought that everyone would be happier that way. response:	But why do you keep rebelling without even considering it?
context: We had the exact same tastes,\and so we hit it off...\Who asked you to start babbling about\how you started dating?!\True!\So I thought it might not be a bad idea to consider remarriage.\I thought that everyone would be happier that way.\But why do you keep rebelling without even considering it? response:	Because I don't need a new family.
context: and so we hit it off...\Who asked you to start babbling about\how you started dating?!\True!\So I thought it might not be a bad idea to consider remarriage.\I thought that everyone would be happier that way.\But why do you keep rebelling without even considering it?\Because I don't need a new family. response:	Don't just assume you know what makes me happy.
context: Who asked you to start babbling about\how you started dating?!\True!\So I thought it might not be a bad idea to consider remarriage.\I thought that everyone would be happier that way.\But why do you keep rebelling without even considering it?\Because I don't need a new family.\Don't just assume you know what makes me happy. response:	I don't want strangers coming into our house.
context: how you started dating?!\True!\So I thought it might not be a bad idea to consider remarriage.\I thought that everyone would be happier that way.\But why do you keep rebelling without even considering it?\Because I don't need a new family.\Don't just assume you know what makes me happy.\I don't want strangers coming into our house. response:	I don't want them messing around in our kitchen.
context: True!\So I thought it might not be a bad idea to consider remarriage.\I thought that everyone would be happier that way.\But why do you keep rebelling without even considering it?\Because I don't need a new family.\Don't just assume you know what makes me happy.\I don't want strangers coming into our house.\I don't want them messing around in our kitchen. response:	I don't want to see you laughing with some other woman!
context: So I thought it might not be a bad idea to consider remarriage.\I thought that everyone would be happier that way.\But why do you keep rebelling without even considering it?\Because I don't need a new family.\Don't just assume you know what makes me happy.\I don't want strangers coming into our house.\I don't want them messing around in our kitchen.\I don't want to see you laughing with some other woman! response:	I can't think of her as my mother!
context: I thought that everyone would be happier that way.\But why do you keep rebelling without even considering it?\Because I don't need a new family.\Don't just assume you know what makes me happy.\I don't want strangers coming into our house.\I don't want them messing around in our kitchen.\I don't want to see you laughing with some other woman!\I can't think of her as my mother! response:	I like things the way they are!
context: But why do you keep rebelling without even considering it?\Because I don't need a new family.\Don't just assume you know what makes me happy.\I don't want strangers coming into our house.\I don't want them messing around in our kitchen.\I don't want to see you laughing with some other woman!\I can't think of her as my mother!\I like things the way they are! response:	Tsubasa, do you hate me?
context: Because I don't need a new family.\Don't just assume you know what makes me happy.\I don't want strangers coming into our house.\I don't want them messing around in our kitchen.\I don't want to see you laughing with some other woman!\I can't think of her as my mother!\I like things the way they are!\Tsubasa, do you hate me? response:	Yeah. You suck up and play mother...
context: Don't just assume you know what makes me happy.\I don't want strangers coming into our house.\I don't want them messing around in our kitchen.\I don't want to see you laughing with some other woman!\I can't think of her as my mother!\I like things the way they are!\Tsubasa, do you hate me?\Yeah. You suck up and play mother... response:	You're obviously just trying to win points for yourself.
context: I don't want strangers coming into our house.\I don't want them messing around in our kitchen.\I don't want to see you laughing with some other woman!\I can't think of her as my mother!\I like things the way they are!\Tsubasa, do you hate me?\Yeah. You suck up and play mother...\You're obviously just trying to win points for yourself. response:	Tsubasa!
context: I don't want them messing around in our kitchen.\I don't want to see you laughing with some other woman!\I can't think of her as my mother!\I like things the way they are!\Tsubasa, do you hate me?\Yeah. You suck up and play mother...\You're obviously just trying to win points for yourself.\Tsubasa! response:	It's okay. Tsubasa, that's not true.
context: I don't want to see you laughing with some other woman!\I can't think of her as my mother!\I like things the way they are!\Tsubasa, do you hate me?\Yeah. You suck up and play mother...\You're obviously just trying to win points for yourself.\Tsubasa!\It's okay. Tsubasa, that's not true. response:	I only have a son,
context: I can't think of her as my mother!\I like things the way they are!\Tsubasa, do you hate me?\Yeah. You suck up and play mother...\You're obviously just trying to win points for yourself.\Tsubasa!\It's okay. Tsubasa, that's not true.\I only have a son, response:	so it makes me happy to be able to care for a girl.
context: I like things the way they are!\Tsubasa, do you hate me?\Yeah. You suck up and play mother...\You're obviously just trying to win points for yourself.\Tsubasa!\It's okay. Tsubasa, that's not true.\I only have a son,\so it makes me happy to be able to care for a girl. response:	I wish you were my real daughter.
context: Tsubasa, do you hate me?\Yeah. You suck up and play mother...\You're obviously just trying to win points for yourself.\Tsubasa!\It's okay. Tsubasa, that's not true.\I only have a son,\so it makes me happy to be able to care for a girl.\I wish you were my real daughter. response:	True...
context: Yeah. You suck up and play mother...\You're obviously just trying to win points for yourself.\Tsubasa!\It's okay. Tsubasa, that's not true.\I only have a son,\so it makes me happy to be able to care for a girl.\I wish you were my real daughter.\True... response:	I'd want to be the mother of a girl that cute just once, too...
context: You're obviously just trying to win points for yourself.\Tsubasa!\It's okay. Tsubasa, that's not true.\I only have a son,\so it makes me happy to be able to care for a girl.\I wish you were my real daughter.\True...\I'd want to be the mother of a girl that cute just once, too... response:	Just what do you mean by that?!
context: Tsubasa!\It's okay. Tsubasa, that's not true.\I only have a son,\so it makes me happy to be able to care for a girl.\I wish you were my real daughter.\True...\I'd want to be the mother of a girl that cute just once, too...\Just what do you mean by that?! response:	Don't make me sick.
context: It's okay. Tsubasa, that's not true.\I only have a son,\so it makes me happy to be able to care for a girl.\I wish you were my real daughter.\True...\I'd want to be the mother of a girl that cute just once, too...\Just what do you mean by that?!\Don't make me sick. response:	You're just trying to make him marry you.
context: I only have a son,\so it makes me happy to be able to care for a girl.\I wish you were my real daughter.\True...\I'd want to be the mother of a girl that cute just once, too...\Just what do you mean by that?!\Don't make me sick.\You're just trying to make him marry you. response:	There aren't many handsome, rich guys like him around.
context: so it makes me happy to be able to care for a girl.\I wish you were my real daughter.\True...\I'd want to be the mother of a girl that cute just once, too...\Just what do you mean by that?!\Don't make me sick.\You're just trying to make him marry you.\There aren't many handsome, rich guys like him around. response:	Tsubasa, that's enough!
context: I wish you were my real daughter.\True...\I'd want to be the mother of a girl that cute just once, too...\Just what do you mean by that?!\Don't make me sick.\You're just trying to make him marry you.\There aren't many handsome, rich guys like him around.\Tsubasa, that's enough! response:	Apologize to Ikeda!
context: True...\I'd want to be the mother of a girl that cute just once, too...\Just what do you mean by that?!\Don't make me sick.\You're just trying to make him marry you.\There aren't many handsome, rich guys like him around.\Tsubasa, that's enough!\Apologize to Ikeda! response:	Why?!
context: I'd want to be the mother of a girl that cute just once, too...\Just what do you mean by that?!\Don't make me sick.\You're just trying to make him marry you.\There aren't many handsome, rich guys like him around.\Tsubasa, that's enough!\Apologize to Ikeda!\Why?! response:	Why're you always taking her side?!
context: Just what do you mean by that?!\Don't make me sick.\You're just trying to make him marry you.\There aren't many handsome, rich guys like him around.\Tsubasa, that's enough!\Apologize to Ikeda!\Why?!\Why're you always taking her side?! response:	Why don't you listen to me at all?!
context: Don't make me sick.\You're just trying to make him marry you.\There aren't many handsome, rich guys like him around.\Tsubasa, that's enough!\Apologize to Ikeda!\Why?!\Why're you always taking her side?!\Why don't you listen to me at all?! response:	For ever and ever, just the two of us!
context: You're just trying to make him marry you.\There aren't many handsome, rich guys like him around.\Tsubasa, that's enough!\Apologize to Ikeda!\Why?!\Why're you always taking her side?!\Why don't you listen to me at all?!\For ever and ever, just the two of us! response:	Why do you yell at me as if I'm the only one being selfish?!
context: There aren't many handsome, rich guys like him around.\Tsubasa, that's enough!\Apologize to Ikeda!\Why?!\Why're you always taking her side?!\Why don't you listen to me at all?!\For ever and ever, just the two of us!\Why do you yell at me as if I'm the only one being selfish?! response:	Why won't you understand my feelings at all?!
context: Tsubasa, that's enough!\Apologize to Ikeda!\Why?!\Why're you always taking her side?!\Why don't you listen to me at all?!\For ever and ever, just the two of us!\Why do you yell at me as if I'm the only one being selfish?!\Why won't you understand my feelings at all?! response:	Tsubasa...
context: Apologize to Ikeda!\Why?!\Why're you always taking her side?!\Why don't you listen to me at all?!\For ever and ever, just the two of us!\Why do you yell at me as if I'm the only one being selfish?!\Why won't you understand my feelings at all?!\Tsubasa... response:	Don't touch me, bitch.
context: Why?!\Why're you always taking her side?!\Why don't you listen to me at all?!\For ever and ever, just the two of us!\Why do you yell at me as if I'm the only one being selfish?!\Why won't you understand my feelings at all?!\Tsubasa...\Don't touch me, bitch. response:	He...he hit me...
context: Why're you always taking her side?!\Why don't you listen to me at all?!\For ever and ever, just the two of us!\Why do you yell at me as if I'm the only one being selfish?!\Why won't you understand my feelings at all?!\Tsubasa...\Don't touch me, bitch.\He...he hit me... response:	He's never ever hit me before.
context: Why don't you listen to me at all?!\For ever and ever, just the two of us!\Why do you yell at me as if I'm the only one being selfish?!\Why won't you understand my feelings at all?!\Tsubasa...\Don't touch me, bitch.\He...he hit me...\He's never ever hit me before. response:	Um, things being the way they are, shall we take care of your daughter tonight?
context: For ever and ever, just the two of us!\Why do you yell at me as if I'm the only one being selfish?!\Why won't you understand my feelings at all?!\Tsubasa...\Don't touch me, bitch.\He...he hit me...\He's never ever hit me before.\Um, things being the way they are, shall we take care of your daughter tonight? response:	But, well...
context: Why do you yell at me as if I'm the only one being selfish?!\Why won't you understand my feelings at all?!\Tsubasa...\Don't touch me, bitch.\He...he hit me...\He's never ever hit me before.\Um, things being the way they are, shall we take care of your daughter tonight?\But, well... response:	It's better to leave her alone at a time like this.
context: Why won't you understand my feelings at all?!\Tsubasa...\Don't touch me, bitch.\He...he hit me...\He's never ever hit me before.\Um, things being the way they are, shall we take care of your daughter tonight?\But, well...\It's better to leave her alone at a time like this. response:	All right...Tsubasa, it's not that I don't love you anymore.
context: Tsubasa...\Don't touch me, bitch.\He...he hit me...\He's never ever hit me before.\Um, things being the way they are, shall we take care of your daughter tonight?\But, well...\It's better to leave her alone at a time like this.\All right...Tsubasa, it's not that I don't love you anymore. response:	When I found out you were in an accident,
context: Don't touch me, bitch.\He...he hit me...\He's never ever hit me before.\Um, things being the way they are, shall we take care of your daughter tonight?\But, well...\It's better to leave her alone at a time like this.\All right...Tsubasa, it's not that I don't love you anymore.\When I found out you were in an accident, response:	I thought I'd go mad.
context: He...he hit me...\He's never ever hit me before.\Um, things being the way they are, shall we take care of your daughter tonight?\But, well...\It's better to leave her alone at a time like this.\All right...Tsubasa, it's not that I don't love you anymore.\When I found out you were in an accident,\I thought I'd go mad. response:	Having lost your mother,
context: He's never ever hit me before.\Um, things being the way they are, shall we take care of your daughter tonight?\But, well...\It's better to leave her alone at a time like this.\All right...Tsubasa, it's not that I don't love you anymore.\When I found out you were in an accident,\I thought I'd go mad.\Having lost your mother, response:	I felt like I couldn't go on if I were to lose you, too.
context: Um, things being the way they are, shall we take care of your daughter tonight?\But, well...\It's better to leave her alone at a time like this.\All right...Tsubasa, it's not that I don't love you anymore.\When I found out you were in an accident,\I thought I'd go mad.\Having lost your mother,\I felt like I couldn't go on if I were to lose you, too. response:	It was really hard, carrying on alone with that burden of fear on my shoulders.
context: But, well...\It's better to leave her alone at a time like this.\All right...Tsubasa, it's not that I don't love you anymore.\When I found out you were in an accident,\I thought I'd go mad.\Having lost your mother,\I felt like I couldn't go on if I were to lose you, too.\It was really hard, carrying on alone with that burden of fear on my shoulders. response:	I'm only human. Imperfect...
context: It's better to leave her alone at a time like this.\All right...Tsubasa, it's not that I don't love you anymore.\When I found out you were in an accident,\I thought I'd go mad.\Having lost your mother,\I felt like I couldn't go on if I were to lose you, too.\It was really hard, carrying on alone with that burden of fear on my shoulders.\I'm only human. Imperfect... response:	I wanted someone for support.
context: All right...Tsubasa, it's not that I don't love you anymore.\When I found out you were in an accident,\I thought I'd go mad.\Having lost your mother,\I felt like I couldn't go on if I were to lose you, too.\It was really hard, carrying on alone with that burden of fear on my shoulders.\I'm only human. Imperfect...\I wanted someone for support. response:	To keep living from now on.
context: When I found out you were in an accident,\I thought I'd go mad.\Having lost your mother,\I felt like I couldn't go on if I were to lose you, too.\It was really hard, carrying on alone with that burden of fear on my shoulders.\I'm only human. Imperfect...\I wanted someone for support.\To keep living from now on. response:	I'm not getting married right this minute or anything.
context: I thought I'd go mad.\Having lost your mother,\I felt like I couldn't go on if I were to lose you, too.\It was really hard, carrying on alone with that burden of fear on my shoulders.\I'm only human. Imperfect...\I wanted someone for support.\To keep living from now on.\I'm not getting married right this minute or anything. response:	But I want you to think about it with me.
context: Having lost your mother,\I felt like I couldn't go on if I were to lose you, too.\It was really hard, carrying on alone with that burden of fear on my shoulders.\I'm only human. Imperfect...\I wanted someone for support.\To keep living from now on.\I'm not getting married right this minute or anything.\But I want you to think about it with me. response:	Because if we all think together...
context: I felt like I couldn't go on if I were to lose you, too.\It was really hard, carrying on alone with that burden of fear on my shoulders.\I'm only human. Imperfect...\I wanted someone for support.\To keep living from now on.\I'm not getting married right this minute or anything.\But I want you to think about it with me.\Because if we all think together... response:	I'm dreadfully sorry, causing one imposition after another...
context: It was really hard, carrying on alone with that burden of fear on my shoulders.\I'm only human. Imperfect...\I wanted someone for support.\To keep living from now on.\I'm not getting married right this minute or anything.\But I want you to think about it with me.\Because if we all think together...\I'm dreadfully sorry, causing one imposition after another... response:	Not at all!
context: I'm only human. Imperfect...\I wanted someone for support.\To keep living from now on.\I'm not getting married right this minute or anything.\But I want you to think about it with me.\Because if we all think together...\I'm dreadfully sorry, causing one imposition after another...\Not at all! response:	We weren't very good hosts ourselves.
context: I wanted someone for support.\To keep living from now on.\I'm not getting married right this minute or anything.\But I want you to think about it with me.\Because if we all think together...\I'm dreadfully sorry, causing one imposition after another...\Not at all!\We weren't very good hosts ourselves. response:	Life can be tough, but hang in there!
context: To keep living from now on.\I'm not getting married right this minute or anything.\But I want you to think about it with me.\Because if we all think together...\I'm dreadfully sorry, causing one imposition after another...\Not at all!\We weren't very good hosts ourselves.\Life can be tough, but hang in there! response:	Goodbye.
context: I'm not getting married right this minute or anything.\But I want you to think about it with me.\Because if we all think together...\I'm dreadfully sorry, causing one imposition after another...\Not at all!\We weren't very good hosts ourselves.\Life can be tough, but hang in there!\Goodbye. response:	Goodbye.
context: But I want you to think about it with me.\Because if we all think together...\I'm dreadfully sorry, causing one imposition after another...\Not at all!\We weren't very good hosts ourselves.\Life can be tough, but hang in there!\Goodbye.\Goodbye. response:	Goodbye.
context: Because if we all think together...\I'm dreadfully sorry, causing one imposition after another...\Not at all!\We weren't very good hosts ourselves.\Life can be tough, but hang in there!\Goodbye.\Goodbye.\Goodbye. response:	Hey, you two even if your mother dies, I'll never get remarried, okay?
context: I'm dreadfully sorry, causing one imposition after another...\Not at all!\We weren't very good hosts ourselves.\Life can be tough, but hang in there!\Goodbye.\Goodbye.\Goodbye.\Hey, you two even if your mother dies, I'll never get remarried, okay? response:	Hey, don't bury me just yet!
context: Not at all!\We weren't very good hosts ourselves.\Life can be tough, but hang in there!\Goodbye.\Goodbye.\Goodbye.\Hey, you two even if your mother dies, I'll never get remarried, okay?\Hey, don't bury me just yet! response:	That's right! There's a watermelon in the fridge!
context: We weren't very good hosts ourselves.\Life can be tough, but hang in there!\Goodbye.\Goodbye.\Goodbye.\Hey, you two even if your mother dies, I'll never get remarried, okay?\Hey, don't bury me just yet!\That's right! There's a watermelon in the fridge! response:	Daddy, your face reminded us!
context: Life can be tough, but hang in there!\Goodbye.\Goodbye.\Goodbye.\Hey, you two even if your mother dies, I'll never get remarried, okay?\Hey, don't bury me just yet!\That's right! There's a watermelon in the fridge!\Daddy, your face reminded us! response:	Thanks! Let's chow down! Everyone loves watermelon...
context: Goodbye.\Goodbye.\Goodbye.\Hey, you two even if your mother dies, I'll never get remarried, okay?\Hey, don't bury me just yet!\That's right! There's a watermelon in the fridge!\Daddy, your face reminded us!\Thanks! Let's chow down! Everyone loves watermelon... response:	Having a sad dream. Why am I here, too?
context: Goodbye.\Goodbye.\Hey, you two even if your mother dies, I'll never get remarried, okay?\Hey, don't bury me just yet!\That's right! There's a watermelon in the fridge!\Daddy, your face reminded us!\Thanks! Let's chow down! Everyone loves watermelon...\Having a sad dream. Why am I here, too? response:	Tsubasa. Tsubasa, you're my treasure.
context: Goodbye.\Hey, you two even if your mother dies, I'll never get remarried, okay?\Hey, don't bury me just yet!\That's right! There's a watermelon in the fridge!\Daddy, your face reminded us!\Thanks! Let's chow down! Everyone loves watermelon...\Having a sad dream. Why am I here, too?\Tsubasa. Tsubasa, you're my treasure. response:	I love you more than anything in the world.
context: Hey, you two even if your mother dies, I'll never get remarried, okay?\Hey, don't bury me just yet!\That's right! There's a watermelon in the fridge!\Daddy, your face reminded us!\Thanks! Let's chow down! Everyone loves watermelon...\Having a sad dream. Why am I here, too?\Tsubasa. Tsubasa, you're my treasure.\I love you more than anything in the world. response:	I love you more than anyone.
context: Hey, don't bury me just yet!\That's right! There's a watermelon in the fridge!\Daddy, your face reminded us!\Thanks! Let's chow down! Everyone loves watermelon...\Having a sad dream. Why am I here, too?\Tsubasa. Tsubasa, you're my treasure.\I love you more than anything in the world.\I love you more than anyone. response:	That's what he said before,
context: That's right! There's a watermelon in the fridge!\Daddy, your face reminded us!\Thanks! Let's chow down! Everyone loves watermelon...\Having a sad dream. Why am I here, too?\Tsubasa. Tsubasa, you're my treasure.\I love you more than anything in the world.\I love you more than anyone.\That's what he said before, response:	but now that woman's more important
context: Daddy, your face reminded us!\Thanks! Let's chow down! Everyone loves watermelon...\Having a sad dream. Why am I here, too?\Tsubasa. Tsubasa, you're my treasure.\I love you more than anything in the world.\I love you more than anyone.\That's what he said before,\but now that woman's more important response:	to him than I am.
context: Thanks! Let's chow down! Everyone loves watermelon...\Having a sad dream. Why am I here, too?\Tsubasa. Tsubasa, you're my treasure.\I love you more than anything in the world.\I love you more than anyone.\That's what he said before,\but now that woman's more important\to him than I am. response:	Maybe it's become a burden to raise me.
context: Having a sad dream. Why am I here, too?\Tsubasa. Tsubasa, you're my treasure.\I love you more than anything in the world.\I love you more than anyone.\That's what he said before,\but now that woman's more important\to him than I am.\Maybe it's become a burden to raise me. response:	Maybe he wants to get away from me.
context: Tsubasa. Tsubasa, you're my treasure.\I love you more than anything in the world.\I love you more than anyone.\That's what he said before,\but now that woman's more important\to him than I am.\Maybe it's become a burden to raise me.\Maybe he wants to get away from me. response:	Of course not.
context: I love you more than anything in the world.\I love you more than anyone.\That's what he said before,\but now that woman's more important\to him than I am.\Maybe it's become a burden to raise me.\Maybe he wants to get away from me.\Of course not. response:	You do understand, don't you?
context: I love you more than anyone.\That's what he said before,\but now that woman's more important\to him than I am.\Maybe it's become a burden to raise me.\Maybe he wants to get away from me.\Of course not.\You do understand, don't you? response:	They all care about you.
context: That's what he said before,\but now that woman's more important\to him than I am.\Maybe it's become a burden to raise me.\Maybe he wants to get away from me.\Of course not.\You do understand, don't you?\They all care about you. response:	Men...I hate them all.
context: but now that woman's more important\to him than I am.\Maybe it's become a burden to raise me.\Maybe he wants to get away from me.\Of course not.\You do understand, don't you?\They all care about you.\Men...I hate them all. response:	They're nice to you,
context: to him than I am.\Maybe it's become a burden to raise me.\Maybe he wants to get away from me.\Of course not.\You do understand, don't you?\They all care about you.\Men...I hate them all.\They're nice to you, response:	but they always end up choosing some other woman.
context: Maybe it's become a burden to raise me.\Maybe he wants to get away from me.\Of course not.\You do understand, don't you?\They all care about you.\Men...I hate them all.\They're nice to you,\but they always end up choosing some other woman. response:	I wish someone would appear someday
context: Maybe he wants to get away from me.\Of course not.\You do understand, don't you?\They all care about you.\Men...I hate them all.\They're nice to you,\but they always end up choosing some other woman.\I wish someone would appear someday response:	and fulfill Tsubasa's needs.
context: Of course not.\You do understand, don't you?\They all care about you.\Men...I hate them all.\They're nice to you,\but they always end up choosing some other woman.\I wish someone would appear someday\and fulfill Tsubasa's needs. response:	Good job.
context: You do understand, don't you?\They all care about you.\Men...I hate them all.\They're nice to you,\but they always end up choosing some other woman.\I wish someone would appear someday\and fulfill Tsubasa's needs.\Good job. response:	Nice work.
context: They all care about you.\Men...I hate them all.\They're nice to you,\but they always end up choosing some other woman.\I wish someone would appear someday\and fulfill Tsubasa's needs.\Good job.\Nice work. response:	Okay!
context: Men...I hate them all.\They're nice to you,\but they always end up choosing some other woman.\I wish someone would appear someday\and fulfill Tsubasa's needs.\Good job.\Nice work.\Okay! response:	Kazuma, man, you're not bad!
context: They're nice to you,\but they always end up choosing some other woman.\I wish someone would appear someday\and fulfill Tsubasa's needs.\Good job.\Nice work.\Okay!\Kazuma, man, you're not bad! response:	We can't just waste you as a temp!
context: but they always end up choosing some other woman.\I wish someone would appear someday\and fulfill Tsubasa's needs.\Good job.\Nice work.\Okay!\Kazuma, man, you're not bad!\We can't just waste you as a temp! response:	We'll give you stage time so you should sing more.
context: I wish someone would appear someday\and fulfill Tsubasa's needs.\Good job.\Nice work.\Okay!\Kazuma, man, you're not bad!\We can't just waste you as a temp!\We'll give you stage time so you should sing more. response:	Wow, can I? Awesome!
context: and fulfill Tsubasa's needs.\Good job.\Nice work.\Okay!\Kazuma, man, you're not bad!\We can't just waste you as a temp!\We'll give you stage time so you should sing more.\Wow, can I? Awesome! response:	Damn, swell headed already!
context: Good job.\Nice work.\Okay!\Kazuma, man, you're not bad!\We can't just waste you as a temp!\We'll give you stage time so you should sing more.\Wow, can I? Awesome!\Damn, swell headed already! response:	Just started high school, too!
context: Nice work.\Okay!\Kazuma, man, you're not bad!\We can't just waste you as a temp!\We'll give you stage time so you should sing more.\Wow, can I? Awesome!\Damn, swell headed already!\Just started high school, too! response:	This ain't funny! Kiss'im already!
context: Okay!\Kazuma, man, you're not bad!\We can't just waste you as a temp!\We'll give you stage time so you should sing more.\Wow, can I? Awesome!\Damn, swell headed already!\Just started high school, too!\This ain't funny! Kiss'im already! response:	Hey, cut it out!
context: Kazuma, man, you're not bad!\We can't just waste you as a temp!\We'll give you stage time so you should sing more.\Wow, can I? Awesome!\Damn, swell headed already!\Just started high school, too!\This ain't funny! Kiss'im already!\Hey, cut it out! response:	You guys are all sweaty!
context: We can't just waste you as a temp!\We'll give you stage time so you should sing more.\Wow, can I? Awesome!\Damn, swell headed already!\Just started high school, too!\This ain't funny! Kiss'im already!\Hey, cut it out!\You guys are all sweaty! response:	Say, I heard that your mom might be getting remarried?
context: We'll give you stage time so you should sing more.\Wow, can I? Awesome!\Damn, swell headed already!\Just started high school, too!\This ain't funny! Kiss'im already!\Hey, cut it out!\You guys are all sweaty!\Say, I heard that your mom might be getting remarried? response:	What, for real?
context: Wow, can I? Awesome!\Damn, swell headed already!\Just started high school, too!\This ain't funny! Kiss'im already!\Hey, cut it out!\You guys are all sweaty!\Say, I heard that your mom might be getting remarried?\What, for real? response:	That's complex.
context: Damn, swell headed already!\Just started high school, too!\This ain't funny! Kiss'im already!\Hey, cut it out!\You guys are all sweaty!\Say, I heard that your mom might be getting remarried?\What, for real?\That's complex. response:	Yeah, well, it ain't my business.
context: Just started high school, too!\This ain't funny! Kiss'im already!\Hey, cut it out!\You guys are all sweaty!\Say, I heard that your mom might be getting remarried?\What, for real?\That's complex.\Yeah, well, it ain't my business. response:	If it makes Mom happy,
context: This ain't funny! Kiss'im already!\Hey, cut it out!\You guys are all sweaty!\Say, I heard that your mom might be getting remarried?\What, for real?\That's complex.\Yeah, well, it ain't my business.\If it makes Mom happy, response:	I'm all for it.
context: Hey, cut it out!\You guys are all sweaty!\Say, I heard that your mom might be getting remarried?\What, for real?\That's complex.\Yeah, well, it ain't my business.\If it makes Mom happy,\I'm all for it. response:	I see.
context: You guys are all sweaty!\Say, I heard that your mom might be getting remarried?\What, for real?\That's complex.\Yeah, well, it ain't my business.\If it makes Mom happy,\I'm all for it.\I see. response:	You're such a good son.
context: Say, I heard that your mom might be getting remarried?\What, for real?\That's complex.\Yeah, well, it ain't my business.\If it makes Mom happy,\I'm all for it.\I see.\You're such a good son. response:	That's big of you, Zumappie. Want a kiss?
context: What, for real?\That's complex.\Yeah, well, it ain't my business.\If it makes Mom happy,\I'm all for it.\I see.\You're such a good son.\That's big of you, Zumappie. Want a kiss? response:	They're nice guys,
context: That's complex.\Yeah, well, it ain't my business.\If it makes Mom happy,\I'm all for it.\I see.\You're such a good son.\That's big of you, Zumappie. Want a kiss?\They're nice guys, response:	but just a bit on the beastly side.
context: Yeah, well, it ain't my business.\If it makes Mom happy,\I'm all for it.\I see.\You're such a good son.\That's big of you, Zumappie. Want a kiss?\They're nice guys,\but just a bit on the beastly side. response:	No way I can tell'em that
context: If it makes Mom happy,\I'm all for it.\I see.\You're such a good son.\That's big of you, Zumappie. Want a kiss?\They're nice guys,\but just a bit on the beastly side.\No way I can tell'em that response:	the guy has a daughter my age.
context: I'm all for it.\I see.\You're such a good son.\That's big of you, Zumappie. Want a kiss?\They're nice guys,\but just a bit on the beastly side.\No way I can tell'em that\the guy has a daughter my age. response:	If we all think together...
context: I see.\You're such a good son.\That's big of you, Zumappie. Want a kiss?\They're nice guys,\but just a bit on the beastly side.\No way I can tell'em that\the guy has a daughter my age.\If we all think together... response:	What'll happen next!
context: You're such a good son.\That's big of you, Zumappie. Want a kiss?\They're nice guys,\but just a bit on the beastly side.\No way I can tell'em that\the guy has a daughter my age.\If we all think together...\What'll happen next! response:	Sis can't do anything about
context: That's big of you, Zumappie. Want a kiss?\They're nice guys,\but just a bit on the beastly side.\No way I can tell'em that\the guy has a daughter my age.\If we all think together...\What'll happen next!\Sis can't do anything about response:	another's family problems!
context: They're nice guys,\but just a bit on the beastly side.\No way I can tell'em that\the guy has a daughter my age.\If we all think together...\What'll happen next!\Sis can't do anything about\another's family problems! response:	And after accusing others and running away from her problems...
