context: Kiss Him, Not Me response:	The Strange Room And The Four High School Boys
context: Stare\It'll be all right. You'll catch up.\If you like, I can help you study.\S-Senpai!\Please do!\Teach us, too, Senpai!\Sure. Everyone sure is studious.\Yup! response:	As if we'd leave you alone with her!
context: It'll be all right. You'll catch up.\If you like, I can help you study.\S-Senpai!\Please do!\Teach us, too, Senpai!\Sure. Everyone sure is studious.\Yup!\As if we'd leave you alone with her! response:	I'm gonna catch up!
context: If you like, I can help you study.\S-Senpai!\Please do!\Teach us, too, Senpai!\Sure. Everyone sure is studious.\Yup!\As if we'd leave you alone with her!\I'm gonna catch up! response:	And so, you get this.
context: S-Senpai!\Please do!\Teach us, too, Senpai!\Sure. Everyone sure is studious.\Yup!\As if we'd leave you alone with her!\I'm gonna catch up!\And so, you get this. response:	Do you get it up to this point?
context: Please do!\Teach us, too, Senpai!\Sure. Everyone sure is studious.\Yup!\As if we'd leave you alone with her!\I'm gonna catch up!\And so, you get this.\Do you get it up to this point? response:	Yes! This is the first time I've really grasped it.
context: Teach us, too, Senpai!\Sure. Everyone sure is studious.\Yup!\As if we'd leave you alone with her!\I'm gonna catch up!\And so, you get this.\Do you get it up to this point?\Yes! This is the first time I've really grasped it. response:	Is that right? That's good to hear.
context: Sure. Everyone sure is studious.\Yup!\As if we'd leave you alone with her!\I'm gonna catch up!\And so, you get this.\Do you get it up to this point?\Yes! This is the first time I've really grasped it.\Is that right? That's good to hear. response:	He makes it so easy to understand.
context: Yup!\As if we'd leave you alone with her!\I'm gonna catch up!\And so, you get this.\Do you get it up to this point?\Yes! This is the first time I've really grasped it.\Is that right? That's good to hear.\He makes it so easy to understand. response:	I can always count on him!
context: As if we'd leave you alone with her!\I'm gonna catch up!\And so, you get this.\Do you get it up to this point?\Yes! This is the first time I've really grasped it.\Is that right? That's good to hear.\He makes it so easy to understand.\I can always count on him! response:	I might be able to do this!
context: I'm gonna catch up!\And so, you get this.\Do you get it up to this point?\Yes! This is the first time I've really grasped it.\Is that right? That's good to hear.\He makes it so easy to understand.\I can always count on him!\I might be able to do this! response:	Hey.
context: And so, you get this.\Do you get it up to this point?\Yes! This is the first time I've really grasped it.\Is that right? That's good to hear.\He makes it so easy to understand.\I can always count on him!\I might be able to do this!\Hey. response:	You're in first-year, aren't you?
context: Do you get it up to this point?\Yes! This is the first time I've really grasped it.\Is that right? That's good to hear.\He makes it so easy to understand.\I can always count on him!\I might be able to do this!\Hey.\You're in first-year, aren't you? response:	Are you able to follow what we're doing?
context: Yes! This is the first time I've really grasped it.\Is that right? That's good to hear.\He makes it so easy to understand.\I can always count on him!\I might be able to do this!\Hey.\You're in first-year, aren't you?\Are you able to follow what we're doing? response:	Meaning: Go home!
context: Is that right? That's good to hear.\He makes it so easy to understand.\I can always count on him!\I might be able to do this!\Hey.\You're in first-year, aren't you?\Are you able to follow what we're doing?\Meaning: Go home! response:	Don't worry.
context: He makes it so easy to understand.\I can always count on him!\I might be able to do this!\Hey.\You're in first-year, aren't you?\Are you able to follow what we're doing?\Meaning: Go home!\Don't worry. response:	I do second-year level work at prep school.
context: I can always count on him!\I might be able to do this!\Hey.\You're in first-year, aren't you?\Are you able to follow what we're doing?\Meaning: Go home!\Don't worry.\I do second-year level work at prep school. response:	Meaning: Shut up!
context: I might be able to do this!\Hey.\You're in first-year, aren't you?\Are you able to follow what we're doing?\Meaning: Go home!\Don't worry.\I do second-year level work at prep school.\Meaning: Shut up! response:	And by the way, you answered question two wrong.
context: Hey.\You're in first-year, aren't you?\Are you able to follow what we're doing?\Meaning: Go home!\Don't worry.\I do second-year level work at prep school.\Meaning: Shut up!\And by the way, you answered question two wrong. response:	Meaning: You're an idiot!
context: You're in first-year, aren't you?\Are you able to follow what we're doing?\Meaning: Go home!\Don't worry.\I do second-year level work at prep school.\Meaning: Shut up!\And by the way, you answered question two wrong.\Meaning: You're an idiot! response:	Will you be okay?
context: Are you able to follow what we're doing?\Meaning: Go home!\Don't worry.\I do second-year level work at prep school.\Meaning: Shut up!\And by the way, you answered question two wrong.\Meaning: You're an idiot!\Will you be okay? response:	Hey, he's right. You used the wrong formula, Nana.
context: Meaning: Go home!\Don't worry.\I do second-year level work at prep school.\Meaning: Shut up!\And by the way, you answered question two wrong.\Meaning: You're an idiot!\Will you be okay?\Hey, he's right. You used the wrong formula, Nana. response:	Shut up! I know it's wrong!
context: Don't worry.\I do second-year level work at prep school.\Meaning: Shut up!\And by the way, you answered question two wrong.\Meaning: You're an idiot!\Will you be okay?\Hey, he's right. You used the wrong formula, Nana.\Shut up! I know it's wrong! response:	Oh? You do? Really?!
context: I do second-year level work at prep school.\Meaning: Shut up!\And by the way, you answered question two wrong.\Meaning: You're an idiot!\Will you be okay?\Hey, he's right. You used the wrong formula, Nana.\Shut up! I know it's wrong!\Oh? You do? Really?! response:	I can't say I could possibly understand why you'd answer wrong on purpose!
context: Meaning: Shut up!\And by the way, you answered question two wrong.\Meaning: You're an idiot!\Will you be okay?\Hey, he's right. You used the wrong formula, Nana.\Shut up! I know it's wrong!\Oh? You do? Really?!\I can't say I could possibly understand why you'd answer wrong on purpose! response:	Nana, you always get so worked up when you're caught red-handed.
context: And by the way, you answered question two wrong.\Meaning: You're an idiot!\Will you be okay?\Hey, he's right. You used the wrong formula, Nana.\Shut up! I know it's wrong!\Oh? You do? Really?!\I can't say I could possibly understand why you'd answer wrong on purpose!\Nana, you always get so worked up when you're caught red-handed. response:	Dammit, Igarashi, I'll kill you!
context: Meaning: You're an idiot!\Will you be okay?\Hey, he's right. You used the wrong formula, Nana.\Shut up! I know it's wrong!\Oh? You do? Really?!\I can't say I could possibly understand why you'd answer wrong on purpose!\Nana, you always get so worked up when you're caught red-handed.\Dammit, Igarashi, I'll kill you! response:	You're too loud! Get out!
context: Will you be okay?\Hey, he's right. You used the wrong formula, Nana.\Shut up! I know it's wrong!\Oh? You do? Really?!\I can't say I could possibly understand why you'd answer wrong on purpose!\Nana, you always get so worked up when you're caught red-handed.\Dammit, Igarashi, I'll kill you!\You're too loud! Get out! response:	We'd like to remind our customers to refrain from activities
context: Hey, he's right. You used the wrong formula, Nana.\Shut up! I know it's wrong!\Oh? You do? Really?!\I can't say I could possibly understand why you'd answer wrong on purpose!\Nana, you always get so worked up when you're caught red-handed.\Dammit, Igarashi, I'll kill you!\You're too loud! Get out!\We'd like to remind our customers to refrain from activities response:	that take excessive time,
context: Shut up! I know it's wrong!\Oh? You do? Really?!\I can't say I could possibly understand why you'd answer wrong on purpose!\Nana, you always get so worked up when you're caught red-handed.\Dammit, Igarashi, I'll kill you!\You're too loud! Get out!\We'd like to remind our customers to refrain from activities\that take excessive time, response:	like studying, or yelling, while in our establishment.
context: Oh? You do? Really?!\I can't say I could possibly understand why you'd answer wrong on purpose!\Nana, you always get so worked up when you're caught red-handed.\Dammit, Igarashi, I'll kill you!\You're too loud! Get out!\We'd like to remind our customers to refrain from activities\that take excessive time,\like studying, or yelling, while in our establishment. response:	Meaning: Go home!
context: I can't say I could possibly understand why you'd answer wrong on purpose!\Nana, you always get so worked up when you're caught red-handed.\Dammit, Igarashi, I'll kill you!\You're too loud! Get out!\We'd like to remind our customers to refrain from activities\that take excessive time,\like studying, or yelling, while in our establishment.\Meaning: Go home! response:	We can't stay in the library, we definitely can't stay in the restaurant...
context: Nana, you always get so worked up when you're caught red-handed.\Dammit, Igarashi, I'll kill you!\You're too loud! Get out!\We'd like to remind our customers to refrain from activities\that take excessive time,\like studying, or yelling, while in our establishment.\Meaning: Go home!\We can't stay in the library, we definitely can't stay in the restaurant... response:	Not many places for group meet-ups, are there?
context: Dammit, Igarashi, I'll kill you!\You're too loud! Get out!\We'd like to remind our customers to refrain from activities\that take excessive time,\like studying, or yelling, while in our establishment.\Meaning: Go home!\We can't stay in the library, we definitely can't stay in the restaurant...\Not many places for group meet-ups, are there? response:	There really aren't.
context: You're too loud! Get out!\We'd like to remind our customers to refrain from activities\that take excessive time,\like studying, or yelling, while in our establishment.\Meaning: Go home!\We can't stay in the library, we definitely can't stay in the restaurant...\Not many places for group meet-ups, are there?\There really aren't. response:	No thanks to you two.
context: We'd like to remind our customers to refrain from activities\that take excessive time,\like studying, or yelling, while in our establishment.\Meaning: Go home!\We can't stay in the library, we definitely can't stay in the restaurant...\Not many places for group meet-ups, are there?\There really aren't.\No thanks to you two. response:	In that case...
context: that take excessive time,\like studying, or yelling, while in our establishment.\Meaning: Go home!\We can't stay in the library, we definitely can't stay in the restaurant...\Not many places for group meet-ups, are there?\There really aren't.\No thanks to you two.\In that case... response:	How about Serinuma-san's place? Heart.
context: like studying, or yelling, while in our establishment.\Meaning: Go home!\We can't stay in the library, we definitely can't stay in the restaurant...\Not many places for group meet-ups, are there?\There really aren't.\No thanks to you two.\In that case...\How about Serinuma-san's place? Heart. response:	Huh?
context: Meaning: Go home!\We can't stay in the library, we definitely can't stay in the restaurant...\Not many places for group meet-ups, are there?\There really aren't.\No thanks to you two.\In that case...\How about Serinuma-san's place? Heart.\Huh? response:	What?!
context: We can't stay in the library, we definitely can't stay in the restaurant...\Not many places for group meet-ups, are there?\There really aren't.\No thanks to you two.\In that case...\How about Serinuma-san's place? Heart.\Huh?\What?! response:	Well, I was the one who asked for help with my studies.
context: Not many places for group meet-ups, are there?\There really aren't.\No thanks to you two.\In that case...\How about Serinuma-san's place? Heart.\Huh?\What?!\Well, I was the one who asked for help with my studies. response:	So I don't mind everyone using my place to work.
context: There really aren't.\No thanks to you two.\In that case...\How about Serinuma-san's place? Heart.\Huh?\What?!\Well, I was the one who asked for help with my studies.\So I don't mind everyone using my place to work. response:	The problem is...
context: No thanks to you two.\In that case...\How about Serinuma-san's place? Heart.\Huh?\What?!\Well, I was the one who asked for help with my studies.\So I don't mind everyone using my place to work.\The problem is... response:	This sea of rot.
context: In that case...\How about Serinuma-san's place? Heart.\Huh?\What?!\Well, I was the one who asked for help with my studies.\So I don't mind everyone using my place to work.\The problem is...\This sea of rot. response:	This is bad.
context: How about Serinuma-san's place? Heart.\Huh?\What?!\Well, I was the one who asked for help with my studies.\So I don't mind everyone using my place to work.\The problem is...\This sea of rot.\This is bad. response:	Really bad.
context: Huh?\What?!\Well, I was the one who asked for help with my studies.\So I don't mind everyone using my place to work.\The problem is...\This sea of rot.\This is bad.\Really bad. response:	They already saw this, so I'll leave it alone.
context: What?!\Well, I was the one who asked for help with my studies.\So I don't mind everyone using my place to work.\The problem is...\This sea of rot.\This is bad.\Really bad.\They already saw this, so I'll leave it alone. response:	What's bad is...
context: Well, I was the one who asked for help with my studies.\So I don't mind everyone using my place to work.\The problem is...\This sea of rot.\This is bad.\Really bad.\They already saw this, so I'll leave it alone.\What's bad is... response:	Those. I have to be careful about handling those in front of real boys.
context: So I don't mind everyone using my place to work.\The problem is...\This sea of rot.\This is bad.\Really bad.\They already saw this, so I'll leave it alone.\What's bad is...\Those. I have to be careful about handling those in front of real boys. response:	But,
context: The problem is...\This sea of rot.\This is bad.\Really bad.\They already saw this, so I'll leave it alone.\What's bad is...\Those. I have to be careful about handling those in front of real boys.\But, response:	closets were made for times like these!
context: This sea of rot.\This is bad.\Really bad.\They already saw this, so I'll leave it alone.\What's bad is...\Those. I have to be careful about handling those in front of real boys.\But,\closets were made for times like these! response:	I'll quickly but cleanly put away all my treasures!
context: This is bad.\Really bad.\They already saw this, so I'll leave it alone.\What's bad is...\Those. I have to be careful about handling those in front of real boys.\But,\closets were made for times like these!\I'll quickly but cleanly put away all my treasures! response:	And... sealed!
context: Really bad.\They already saw this, so I'll leave it alone.\What's bad is...\Those. I have to be careful about handling those in front of real boys.\But,\closets were made for times like these!\I'll quickly but cleanly put away all my treasures!\And... sealed! response:	Excuse us!
context: They already saw this, so I'll leave it alone.\What's bad is...\Those. I have to be careful about handling those in front of real boys.\But,\closets were made for times like these!\I'll quickly but cleanly put away all my treasures!\And... sealed!\Excuse us! response:	Sorry for the lack of space.
context: What's bad is...\Those. I have to be careful about handling those in front of real boys.\But,\closets were made for times like these!\I'll quickly but cleanly put away all my treasures!\And... sealed!\Excuse us!\Sorry for the lack of space. response:	Not at all.
context: Those. I have to be careful about handling those in front of real boys.\But,\closets were made for times like these!\I'll quickly but cleanly put away all my treasures!\And... sealed!\Excuse us!\Sorry for the lack of space.\Not at all. response:	No, no. I just did a rough clean-up,
context: But,\closets were made for times like these!\I'll quickly but cleanly put away all my treasures!\And... sealed!\Excuse us!\Sorry for the lack of space.\Not at all.\No, no. I just did a rough clean-up, response:	so don't look too closely.
context: closets were made for times like these!\I'll quickly but cleanly put away all my treasures!\And... sealed!\Excuse us!\Sorry for the lack of space.\Not at all.\No, no. I just did a rough clean-up,\so don't look too closely. response:	Kae!
context: I'll quickly but cleanly put away all my treasures!\And... sealed!\Excuse us!\Sorry for the lack of space.\Not at all.\No, no. I just did a rough clean-up,\so don't look too closely.\Kae! response:	I brought you some tea.
context: And... sealed!\Excuse us!\Sorry for the lack of space.\Not at all.\No, no. I just did a rough clean-up,\so don't look too closely.\Kae!\I brought you some tea. response:	Goodness gracious. Hello th
context: Excuse us!\Sorry for the lack of space.\Not at all.\No, no. I just did a rough clean-up,\so don't look too closely.\Kae!\I brought you some tea.\Goodness gracious. Hello th response:	Was that an afterimage?!
context: Sorry for the lack of space.\Not at all.\No, no. I just did a rough clean-up,\so don't look too closely.\Kae!\I brought you some tea.\Goodness gracious. Hello th\Was that an afterimage?! response:	What are you doing? And what's with your face?!
context: Not at all.\No, no. I just did a rough clean-up,\so don't look too closely.\Kae!\I brought you some tea.\Goodness gracious. Hello th\Was that an afterimage?!\What are you doing? And what's with your face?! response:	Oh, my. It's just good manners.
context: No, no. I just did a rough clean-up,\so don't look too closely.\Kae!\I brought you some tea.\Goodness gracious. Hello th\Was that an afterimage?!\What are you doing? And what's with your face?!\Oh, my. It's just good manners. response:	We have handsome boys over,
context: so don't look too closely.\Kae!\I brought you some tea.\Goodness gracious. Hello th\Was that an afterimage?!\What are you doing? And what's with your face?!\Oh, my. It's just good manners.\We have handsome boys over, response:	and it's been a while since I've prettied myself up.
context: Kae!\I brought you some tea.\Goodness gracious. Hello th\Was that an afterimage?!\What are you doing? And what's with your face?!\Oh, my. It's just good manners.\We have handsome boys over,\and it's been a while since I've prettied myself up. response:	Manners?! More like horrors! You're trying too hard!
context: I brought you some tea.\Goodness gracious. Hello th\Was that an afterimage?!\What are you doing? And what's with your face?!\Oh, my. It's just good manners.\We have handsome boys over,\and it's been a while since I've prettied myself up.\Manners?! More like horrors! You're trying too hard! response:	This room definitely suits Serinuma-senpai, doesn't it?
context: Goodness gracious. Hello th\Was that an afterimage?!\What are you doing? And what's with your face?!\Oh, my. It's just good manners.\We have handsome boys over,\and it's been a while since I've prettied myself up.\Manners?! More like horrors! You're trying too hard!\This room definitely suits Serinuma-senpai, doesn't it? response:	More like, what are you guys doing here, anyway?
context: Was that an afterimage?!\What are you doing? And what's with your face?!\Oh, my. It's just good manners.\We have handsome boys over,\and it's been a while since I've prettied myself up.\Manners?! More like horrors! You're trying too hard!\This room definitely suits Serinuma-senpai, doesn't it?\More like, what are you guys doing here, anyway? response:	I don't really understand this part.
context: What are you doing? And what's with your face?!\Oh, my. It's just good manners.\We have handsome boys over,\and it's been a while since I've prettied myself up.\Manners?! More like horrors! You're trying too hard!\This room definitely suits Serinuma-senpai, doesn't it?\More like, what are you guys doing here, anyway?\I don't really understand this part. response:	What part?
context: Oh, my. It's just good manners.\We have handsome boys over,\and it's been a while since I've prettied myself up.\Manners?! More like horrors! You're trying too hard!\This room definitely suits Serinuma-senpai, doesn't it?\More like, what are you guys doing here, anyway?\I don't really understand this part.\What part? response:	Um... question three.
context: We have handsome boys over,\and it's been a while since I've prettied myself up.\Manners?! More like horrors! You're trying too hard!\This room definitely suits Serinuma-senpai, doesn't it?\More like, what are you guys doing here, anyway?\I don't really understand this part.\What part?\Um... question three. response:	Wait, um...
context: and it's been a while since I've prettied myself up.\Manners?! More like horrors! You're trying too hard!\This room definitely suits Serinuma-senpai, doesn't it?\More like, what are you guys doing here, anyway?\I don't really understand this part.\What part?\Um... question three.\Wait, um... response:	Y-You're really close.
context: Manners?! More like horrors! You're trying too hard!\This room definitely suits Serinuma-senpai, doesn't it?\More like, what are you guys doing here, anyway?\I don't really understand this part.\What part?\Um... question three.\Wait, um...\Y-You're really close. response:	Theoretically, isn't that what a room date is?!
context: This room definitely suits Serinuma-senpai, doesn't it?\More like, what are you guys doing here, anyway?\I don't really understand this part.\What part?\Um... question three.\Wait, um...\Y-You're really close.\Theoretically, isn't that what a room date is?! response:	You're an idiot, so you'd fail at the part where you teach her.
context: More like, what are you guys doing here, anyway?\I don't really understand this part.\What part?\Um... question three.\Wait, um...\Y-You're really close.\Theoretically, isn't that what a room date is?!\You're an idiot, so you'd fail at the part where you teach her. response:	Shut up, first-year!
context: I don't really understand this part.\What part?\Um... question three.\Wait, um...\Y-You're really close.\Theoretically, isn't that what a room date is?!\You're an idiot, so you'd fail at the part where you teach her.\Shut up, first-year! response:	Well, I get you. A girl's room is something to get a little excited about, isn't it?
context: What part?\Um... question three.\Wait, um...\Y-You're really close.\Theoretically, isn't that what a room date is?!\You're an idiot, so you'd fail at the part where you teach her.\Shut up, first-year!\Well, I get you. A girl's room is something to get a little excited about, isn't it? response:	Right? Like looking at yearbooks together and stuff.
context: Um... question three.\Wait, um...\Y-You're really close.\Theoretically, isn't that what a room date is?!\You're an idiot, so you'd fail at the part where you teach her.\Shut up, first-year!\Well, I get you. A girl's room is something to get a little excited about, isn't it?\Right? Like looking at yearbooks together and stuff. response:	There would only be photos of the old Serinuma-senpai, though.
context: Wait, um...\Y-You're really close.\Theoretically, isn't that what a room date is?!\You're an idiot, so you'd fail at the part where you teach her.\Shut up, first-year!\Well, I get you. A girl's room is something to get a little excited about, isn't it?\Right? Like looking at yearbooks together and stuff.\There would only be photos of the old Serinuma-senpai, though. response:	Or maybe pull the blankets down a bit.
context: Y-You're really close.\Theoretically, isn't that what a room date is?!\You're an idiot, so you'd fail at the part where you teach her.\Shut up, first-year!\Well, I get you. A girl's room is something to get a little excited about, isn't it?\Right? Like looking at yearbooks together and stuff.\There would only be photos of the old Serinuma-senpai, though.\Or maybe pull the blankets down a bit. response:	That's vulgar!
context: Theoretically, isn't that what a room date is?!\You're an idiot, so you'd fail at the part where you teach her.\Shut up, first-year!\Well, I get you. A girl's room is something to get a little excited about, isn't it?\Right? Like looking at yearbooks together and stuff.\There would only be photos of the old Serinuma-senpai, though.\Or maybe pull the blankets down a bit.\That's vulgar! response:	Like you don't wanna see!
context: You're an idiot, so you'd fail at the part where you teach her.\Shut up, first-year!\Well, I get you. A girl's room is something to get a little excited about, isn't it?\Right? Like looking at yearbooks together and stuff.\There would only be photos of the old Serinuma-senpai, though.\Or maybe pull the blankets down a bit.\That's vulgar!\Like you don't wanna see! response:	Crazy. I didn't know these existed.
context: Shut up, first-year!\Well, I get you. A girl's room is something to get a little excited about, isn't it?\Right? Like looking at yearbooks together and stuff.\There would only be photos of the old Serinuma-senpai, though.\Or maybe pull the blankets down a bit.\That's vulgar!\Like you don't wanna see!\Crazy. I didn't know these existed. response:	That scared me.
context: Well, I get you. A girl's room is something to get a little excited about, isn't it?\Right? Like looking at yearbooks together and stuff.\There would only be photos of the old Serinuma-senpai, though.\Or maybe pull the blankets down a bit.\That's vulgar!\Like you don't wanna see!\Crazy. I didn't know these existed.\That scared me. response:	Hey, my pen rolled under the bed.
context: Right? Like looking at yearbooks together and stuff.\There would only be photos of the old Serinuma-senpai, though.\Or maybe pull the blankets down a bit.\That's vulgar!\Like you don't wanna see!\Crazy. I didn't know these existed.\That scared me.\Hey, my pen rolled under the bed. response:	I'll get it.
context: There would only be photos of the old Serinuma-senpai, though.\Or maybe pull the blankets down a bit.\That's vulgar!\Like you don't wanna see!\Crazy. I didn't know these existed.\That scared me.\Hey, my pen rolled under the bed.\I'll get it. response:	I'll pick it up.
context: Or maybe pull the blankets down a bit.\That's vulgar!\Like you don't wanna see!\Crazy. I didn't know these existed.\That scared me.\Hey, my pen rolled under the bed.\I'll get it.\I'll pick it up. response:	I had the store give me the display.
context: That's vulgar!\Like you don't wanna see!\Crazy. I didn't know these existed.\That scared me.\Hey, my pen rolled under the bed.\I'll get it.\I'll pick it up.\I had the store give me the display. response:	I usually put it up for decoration,
context: Like you don't wanna see!\Crazy. I didn't know these existed.\That scared me.\Hey, my pen rolled under the bed.\I'll get it.\I'll pick it up.\I had the store give me the display.\I usually put it up for decoration, response:	but I decided to put it away for today.
context: Crazy. I didn't know these existed.\That scared me.\Hey, my pen rolled under the bed.\I'll get it.\I'll pick it up.\I had the store give me the display.\I usually put it up for decoration,\but I decided to put it away for today. response:	So you had this on display.
context: That scared me.\Hey, my pen rolled under the bed.\I'll get it.\I'll pick it up.\I had the store give me the display.\I usually put it up for decoration,\but I decided to put it away for today.\So you had this on display. response:	Yeah. Next to this.
context: Hey, my pen rolled under the bed.\I'll get it.\I'll pick it up.\I had the store give me the display.\I usually put it up for decoration,\but I decided to put it away for today.\So you had this on display.\Yeah. Next to this. response:	A-An altar?!
context: I'll get it.\I'll pick it up.\I had the store give me the display.\I usually put it up for decoration,\but I decided to put it away for today.\So you had this on display.\Yeah. Next to this.\A-An altar?! response:	Hey, what is that?!
context: I'll pick it up.\I had the store give me the display.\I usually put it up for decoration,\but I decided to put it away for today.\So you had this on display.\Yeah. Next to this.\A-An altar?!\Hey, what is that?! response:	I don't know! But that's the same character as that keychain we got.
context: I had the store give me the display.\I usually put it up for decoration,\but I decided to put it away for today.\So you had this on display.\Yeah. Next to this.\A-An altar?!\Hey, what is that?!\I don't know! But that's the same character as that keychain we got. response:	Doesn't he kinda look like Nana?
context: I usually put it up for decoration,\but I decided to put it away for today.\So you had this on display.\Yeah. Next to this.\A-An altar?!\Hey, what is that?!\I don't know! But that's the same character as that keychain we got.\Doesn't he kinda look like Nana? response:	Shut up! I'm not dead!
context: but I decided to put it away for today.\So you had this on display.\Yeah. Next to this.\A-An altar?!\Hey, what is that?!\I don't know! But that's the same character as that keychain we got.\Doesn't he kinda look like Nana?\Shut up! I'm not dead! response:	Did this person... pass away?
context: So you had this on display.\Yeah. Next to this.\A-An altar?!\Hey, what is that?!\I don't know! But that's the same character as that keychain we got.\Doesn't he kinda look like Nana?\Shut up! I'm not dead!\Did this person... pass away? response:	Iga
context: Yeah. Next to this.\A-An altar?!\Hey, what is that?!\I don't know! But that's the same character as that keychain we got.\Doesn't he kinda look like Nana?\Shut up! I'm not dead!\Did this person... pass away?\Iga response:	Nana
context: A-An altar?!\Hey, what is that?!\I don't know! But that's the same character as that keychain we got.\Doesn't he kinda look like Nana?\Shut up! I'm not dead!\Did this person... pass away?\Iga\Nana response:	Shi
context: Hey, what is that?!\I don't know! But that's the same character as that keychain we got.\Doesn't he kinda look like Nana?\Shut up! I'm not dead!\Did this person... pass away?\Iga\Nana\Shi response:	Yes.
context: I don't know! But that's the same character as that keychain we got.\Doesn't he kinda look like Nana?\Shut up! I'm not dead!\Did this person... pass away?\Iga\Nana\Shi\Yes. response:	May I pay my respects?
context: Doesn't he kinda look like Nana?\Shut up! I'm not dead!\Did this person... pass away?\Iga\Nana\Shi\Yes.\May I pay my respects? response:	Yes, please.
context: Shut up! I'm not dead!\Did this person... pass away?\Iga\Nana\Shi\Yes.\May I pay my respects?\Yes, please. response:	Okay, everyone.
context: Did this person... pass away?\Iga\Nana\Shi\Yes.\May I pay my respects?\Yes, please.\Okay, everyone. response:	Iga
context: Iga\Nana\Shi\Yes.\May I pay my respects?\Yes, please.\Okay, everyone.\Iga response:	Nana
context: Nana\Shi\Yes.\May I pay my respects?\Yes, please.\Okay, everyone.\Iga\Nana response:	Shi
context: Shi\Yes.\May I pay my respects?\Yes, please.\Okay, everyone.\Iga\Nana\Shi response:	What the hell is this?
context: Yes.\May I pay my respects?\Yes, please.\Okay, everyone.\Iga\Nana\Shi\What the hell is this? response:	Kae knows what she's doing.
context: May I pay my respects?\Yes, please.\Okay, everyone.\Iga\Nana\Shi\What the hell is this?\Kae knows what she's doing. response:	The spitting image of me when I was young!
context: Yes, please.\Okay, everyone.\Iga\Nana\Shi\What the hell is this?\Kae knows what she's doing.\The spitting image of me when I was young! response:	I'm home.
context: Okay, everyone.\Iga\Nana\Shi\What the hell is this?\Kae knows what she's doing.\The spitting image of me when I was young!\I'm home. response:	Oh, you're home, Takuro! Kae has some guests in her room right now.
context: Iga\Nana\Shi\What the hell is this?\Kae knows what she's doing.\The spitting image of me when I was young!\I'm home.\Oh, you're home, Takuro! Kae has some guests in her room right now. response:	Boys. Four of them. Heart!
context: Nana\Shi\What the hell is this?\Kae knows what she's doing.\The spitting image of me when I was young!\I'm home.\Oh, you're home, Takuro! Kae has some guests in her room right now.\Boys. Four of them. Heart! response:	Well then, shall we get started?
context: Shi\What the hell is this?\Kae knows what she's doing.\The spitting image of me when I was young!\I'm home.\Oh, you're home, Takuro! Kae has some guests in her room right now.\Boys. Four of them. Heart!\Well then, shall we get started? response:	Yup!
context: What the hell is this?\Kae knows what she's doing.\The spitting image of me when I was young!\I'm home.\Oh, you're home, Takuro! Kae has some guests in her room right now.\Boys. Four of them. Heart!\Well then, shall we get started?\Yup! response:	Okay! Let's do this!
context: Kae knows what she's doing.\The spitting image of me when I was young!\I'm home.\Oh, you're home, Takuro! Kae has some guests in her room right now.\Boys. Four of them. Heart!\Well then, shall we get started?\Yup!\Okay! Let's do this! response:	Don't be fooled!
context: The spitting image of me when I was young!\I'm home.\Oh, you're home, Takuro! Kae has some guests in her room right now.\Boys. Four of them. Heart!\Well then, shall we get started?\Yup!\Okay! Let's do this!\Don't be fooled! response:	Onii-chan?!
context: I'm home.\Oh, you're home, Takuro! Kae has some guests in her room right now.\Boys. Four of them. Heart!\Well then, shall we get started?\Yup!\Okay! Let's do this!\Don't be fooled!\Onii-chan?! response:	You punks! Yeah, you guys! You four over there!
context: Oh, you're home, Takuro! Kae has some guests in her room right now.\Boys. Four of them. Heart!\Well then, shall we get started?\Yup!\Okay! Let's do this!\Don't be fooled!\Onii-chan?!\You punks! Yeah, you guys! You four over there! response:	Allow me, her older brother Takuro,
context: Boys. Four of them. Heart!\Well then, shall we get started?\Yup!\Okay! Let's do this!\Don't be fooled!\Onii-chan?!\You punks! Yeah, you guys! You four over there!\Allow me, her older brother Takuro, response:	to give you guys a warning, man-to-man!
context: Well then, shall we get started?\Yup!\Okay! Let's do this!\Don't be fooled!\Onii-chan?!\You punks! Yeah, you guys! You four over there!\Allow me, her older brother Takuro,\to give you guys a warning, man-to-man! response:	You were probably lured here by her looks, but don't let that fool you!
context: Yup!\Okay! Let's do this!\Don't be fooled!\Onii-chan?!\You punks! Yeah, you guys! You four over there!\Allow me, her older brother Takuro,\to give you guys a warning, man-to-man!\You were probably lured here by her looks, but don't let that fool you! response:	This girl is a seriously crazy otaku!
context: Okay! Let's do this!\Don't be fooled!\Onii-chan?!\You punks! Yeah, you guys! You four over there!\Allow me, her older brother Takuro,\to give you guys a warning, man-to-man!\You were probably lured here by her looks, but don't let that fool you!\This girl is a seriously crazy otaku! response:	Uh, we know.
context: Don't be fooled!\Onii-chan?!\You punks! Yeah, you guys! You four over there!\Allow me, her older brother Takuro,\to give you guys a warning, man-to-man!\You were probably lured here by her looks, but don't let that fool you!\This girl is a seriously crazy otaku!\Uh, we know. response:	It's okay.
context: Onii-chan?!\You punks! Yeah, you guys! You four over there!\Allow me, her older brother Takuro,\to give you guys a warning, man-to-man!\You were probably lured here by her looks, but don't let that fool you!\This girl is a seriously crazy otaku!\Uh, we know.\It's okay. response:	We even gave our condolences to Shion-san earlier.
