context: Ah... I can't come up with anything good. response:	What's the matter? It's unusual to see you lost in thought.
context: Every day is hectic.\But there are a lot of fun things, too.\I have so many things I want to tell them.\All I want is to see them.\But it's so hard.\Will I ever be able to see them again?\Slap Slap Slap Slap\Slap Slap Slap Slap Slap-slap, slap-slap! response:	Slap Slap Slap Slap What a really ominous thing to say!
context: But there are a lot of fun things, too.\I have so many things I want to tell them.\All I want is to see them.\But it's so hard.\Will I ever be able to see them again?\Slap Slap Slap Slap\Slap Slap Slap Slap Slap-slap, slap-slap!\Slap Slap Slap Slap What a really ominous thing to say! response:	Slap Slap Slap Slap And after all those times Aika told me No negative thinking allowed!
context: I have so many things I want to tell them.\All I want is to see them.\But it's so hard.\Will I ever be able to see them again?\Slap Slap Slap Slap\Slap Slap Slap Slap Slap-slap, slap-slap!\Slap Slap Slap Slap What a really ominous thing to say!\Slap Slap Slap Slap And after all those times Aika told me No negative thinking allowed! response:	Slap Slap Slap Slap Slap-slap.
context: All I want is to see them.\But it's so hard.\Will I ever be able to see them again?\Slap Slap Slap Slap\Slap Slap Slap Slap Slap-slap, slap-slap!\Slap Slap Slap Slap What a really ominous thing to say!\Slap Slap Slap Slap And after all those times Aika told me No negative thinking allowed!\Slap Slap Slap Slap Slap-slap. response:	Slap-slap.
context: But it's so hard.\Will I ever be able to see them again?\Slap Slap Slap Slap\Slap Slap Slap Slap Slap-slap, slap-slap!\Slap Slap Slap Slap What a really ominous thing to say!\Slap Slap Slap Slap And after all those times Aika told me No negative thinking allowed!\Slap Slap Slap Slap Slap-slap.\Slap-slap. response:	Slap Slap...
context: Will I ever be able to see them again?\Slap Slap Slap Slap\Slap Slap Slap Slap Slap-slap, slap-slap!\Slap Slap Slap Slap What a really ominous thing to say!\Slap Slap Slap Slap And after all those times Aika told me No negative thinking allowed!\Slap Slap Slap Slap Slap-slap.\Slap-slap.\Slap Slap... response:	I'm so lonely...
context: Slap Slap Slap Slap\Slap Slap Slap Slap Slap-slap, slap-slap!\Slap Slap Slap Slap What a really ominous thing to say!\Slap Slap Slap Slap And after all those times Aika told me No negative thinking allowed!\Slap Slap Slap Slap Slap-slap.\Slap-slap.\Slap Slap...\I'm so lonely... response:	Yes?
context: Slap Slap Slap Slap Slap-slap, slap-slap!\Slap Slap Slap Slap What a really ominous thing to say!\Slap Slap Slap Slap And after all those times Aika told me No negative thinking allowed!\Slap Slap Slap Slap Slap-slap.\Slap-slap.\Slap Slap...\I'm so lonely...\Yes? response:	I just got back.
context: Slap Slap Slap Slap What a really ominous thing to say!\Slap Slap Slap Slap And after all those times Aika told me No negative thinking allowed!\Slap Slap Slap Slap Slap-slap.\Slap-slap.\Slap Slap...\I'm so lonely...\Yes?\I just got back. response:	No fading out allowed!
context: Slap Slap Slap Slap And after all those times Aika told me No negative thinking allowed!\Slap Slap Slap Slap Slap-slap.\Slap-slap.\Slap Slap...\I'm so lonely...\Yes?\I just got back.\No fading out allowed! response:	What are you doing here at this time of night?
context: Slap Slap Slap Slap Slap-slap.\Slap-slap.\Slap Slap...\I'm so lonely...\Yes?\I just got back.\No fading out allowed!\What are you doing here at this time of night? response:	What's with that tone of yours?
context: Slap-slap.\Slap Slap...\I'm so lonely...\Yes?\I just got back.\No fading out allowed!\What are you doing here at this time of night?\What's with that tone of yours? response:	After we came all this way to see you, too.
context: Slap Slap...\I'm so lonely...\Yes?\I just got back.\No fading out allowed!\What are you doing here at this time of night?\What's with that tone of yours?\After we came all this way to see you, too. response:	You know that pizza shop we always go to?
context: I'm so lonely...\Yes?\I just got back.\No fading out allowed!\What are you doing here at this time of night?\What's with that tone of yours?\After we came all this way to see you, too.\You know that pizza shop we always go to? response:	This is their newest pizza!
context: Yes?\I just got back.\No fading out allowed!\What are you doing here at this time of night?\What's with that tone of yours?\After we came all this way to see you, too.\You know that pizza shop we always go to?\This is their newest pizza! response:	I heard it's really delicious, so I thought we should all try it together.
context: I just got back.\No fading out allowed!\What are you doing here at this time of night?\What's with that tone of yours?\After we came all this way to see you, too.\You know that pizza shop we always go to?\This is their newest pizza!\I heard it's really delicious, so I thought we should all try it together. response:	Come on, let's eat while it's still hot.
context: No fading out allowed!\What are you doing here at this time of night?\What's with that tone of yours?\After we came all this way to see you, too.\You know that pizza shop we always go to?\This is their newest pizza!\I heard it's really delicious, so I thought we should all try it together.\Come on, let's eat while it's still hot. response:	Okay, let's eat!
context: What are you doing here at this time of night?\What's with that tone of yours?\After we came all this way to see you, too.\You know that pizza shop we always go to?\This is their newest pizza!\I heard it's really delicious, so I thought we should all try it together.\Come on, let's eat while it's still hot.\Okay, let's eat! response:	Ah! I'm so hungry!
context: What's with that tone of yours?\After we came all this way to see you, too.\You know that pizza shop we always go to?\This is their newest pizza!\I heard it's really delicious, so I thought we should all try it together.\Come on, let's eat while it's still hot.\Okay, let's eat!\Ah! I'm so hungry! response:	Me too!
context: After we came all this way to see you, too.\You know that pizza shop we always go to?\This is their newest pizza!\I heard it's really delicious, so I thought we should all try it together.\Come on, let's eat while it's still hot.\Okay, let's eat!\Ah! I'm so hungry!\Me too! response:	You just ate all those bananas. You're really a glutton.
context: You know that pizza shop we always go to?\This is their newest pizza!\I heard it's really delicious, so I thought we should all try it together.\Come on, let's eat while it's still hot.\Okay, let's eat!\Ah! I'm so hungry!\Me too!\You just ate all those bananas. You're really a glutton. response:	Wha-?!
context: This is their newest pizza!\I heard it's really delicious, so I thought we should all try it together.\Come on, let's eat while it's still hot.\Okay, let's eat!\Ah! I'm so hungry!\Me too!\You just ate all those bananas. You're really a glutton.\Wha-?! response:	The usual three...
context: I heard it's really delicious, so I thought we should all try it together.\Come on, let's eat while it's still hot.\Okay, let's eat!\Ah! I'm so hungry!\Me too!\You just ate all those bananas. You're really a glutton.\Wha-?!\The usual three... response:	The usual conversations...
context: Come on, let's eat while it's still hot.\Okay, let's eat!\Ah! I'm so hungry!\Me too!\You just ate all those bananas. You're really a glutton.\Wha-?!\The usual three...\The usual conversations... response:	The usual times...
context: Okay, let's eat!\Ah! I'm so hungry!\Me too!\You just ate all those bananas. You're really a glutton.\Wha-?!\The usual three...\The usual conversations...\The usual times... response:	The usual atmosphere...
context: Ah! I'm so hungry!\Me too!\You just ate all those bananas. You're really a glutton.\Wha-?!\The usual three...\The usual conversations...\The usual times...\The usual atmosphere... response:	Just a few moments ago, I was fretting about what I would do if I never saw them again, too.
context: Me too!\You just ate all those bananas. You're really a glutton.\Wha-?!\The usual three...\The usual conversations...\The usual times...\The usual atmosphere...\Just a few moments ago, I was fretting about what I would do if I never saw them again, too. response:	That even if I want to see them, I don't have the time or an excuse to do so.
context: You just ate all those bananas. You're really a glutton.\Wha-?!\The usual three...\The usual conversations...\The usual times...\The usual atmosphere...\Just a few moments ago, I was fretting about what I would do if I never saw them again, too.\That even if I want to see them, I don't have the time or an excuse to do so. response:	Just when I was thinking all that...
context: Wha-?!\The usual three...\The usual conversations...\The usual times...\The usual atmosphere...\Just a few moments ago, I was fretting about what I would do if I never saw them again, too.\That even if I want to see them, I don't have the time or an excuse to do so.\Just when I was thinking all that... response:	There you go again! You were worried about something like that? That's a bad habit, Junior.
context: The usual three...\The usual conversations...\The usual times...\The usual atmosphere...\Just a few moments ago, I was fretting about what I would do if I never saw them again, too.\That even if I want to see them, I don't have the time or an excuse to do so.\Just when I was thinking all that...\There you go again! You were worried about something like that? That's a bad habit, Junior. response:	Eh?! Was I thinking out loud?
context: The usual conversations...\The usual times...\The usual atmosphere...\Just a few moments ago, I was fretting about what I would do if I never saw them again, too.\That even if I want to see them, I don't have the time or an excuse to do so.\Just when I was thinking all that...\There you go again! You were worried about something like that? That's a bad habit, Junior.\Eh?! Was I thinking out loud? response:	Yeah, you were.
context: The usual times...\The usual atmosphere...\Just a few moments ago, I was fretting about what I would do if I never saw them again, too.\That even if I want to see them, I don't have the time or an excuse to do so.\Just when I was thinking all that...\There you go again! You were worried about something like that? That's a bad habit, Junior.\Eh?! Was I thinking out loud?\Yeah, you were. response:	If you don't have the time, you just make it, like we're doing now.
context: The usual atmosphere...\Just a few moments ago, I was fretting about what I would do if I never saw them again, too.\That even if I want to see them, I don't have the time or an excuse to do so.\Just when I was thinking all that...\There you go again! You were worried about something like that? That's a bad habit, Junior.\Eh?! Was I thinking out loud?\Yeah, you were.\If you don't have the time, you just make it, like we're doing now. response:	But...
context: Just a few moments ago, I was fretting about what I would do if I never saw them again, too.\That even if I want to see them, I don't have the time or an excuse to do so.\Just when I was thinking all that...\There you go again! You were worried about something like that? That's a bad habit, Junior.\Eh?! Was I thinking out loud?\Yeah, you were.\If you don't have the time, you just make it, like we're doing now.\But... response:	But... I don't have an excuse...
context: That even if I want to see them, I don't have the time or an excuse to do so.\Just when I was thinking all that...\There you go again! You were worried about something like that? That's a bad habit, Junior.\Eh?! Was I thinking out loud?\Yeah, you were.\If you don't have the time, you just make it, like we're doing now.\But...\But... I don't have an excuse... response:	I haven't been able to do much of anything lately.
context: Just when I was thinking all that...\There you go again! You were worried about something like that? That's a bad habit, Junior.\Eh?! Was I thinking out loud?\Yeah, you were.\If you don't have the time, you just make it, like we're doing now.\But...\But... I don't have an excuse...\I haven't been able to do much of anything lately. response:	I don't have an excuse like this pizza to see you.
context: There you go again! You were worried about something like that? That's a bad habit, Junior.\Eh?! Was I thinking out loud?\Yeah, you were.\If you don't have the time, you just make it, like we're doing now.\But...\But... I don't have an excuse...\I haven't been able to do much of anything lately.\I don't have an excuse like this pizza to see you. response:	I don't have anything...
context: Eh?! Was I thinking out loud?\Yeah, you were.\If you don't have the time, you just make it, like we're doing now.\But...\But... I don't have an excuse...\I haven't been able to do much of anything lately.\I don't have an excuse like this pizza to see you.\I don't have anything... response:	You do, though.
context: Yeah, you were.\If you don't have the time, you just make it, like we're doing now.\But...\But... I don't have an excuse...\I haven't been able to do much of anything lately.\I don't have an excuse like this pizza to see you.\I don't have anything...\You do, though. response:	You're the excuse, Alice.
context: If you don't have the time, you just make it, like we're doing now.\But...\But... I don't have an excuse...\I haven't been able to do much of anything lately.\I don't have an excuse like this pizza to see you.\I don't have anything...\You do, though.\You're the excuse, Alice. response:	We don't need an excuse or a special reason to see you.
context: But...\But... I don't have an excuse...\I haven't been able to do much of anything lately.\I don't have an excuse like this pizza to see you.\I don't have anything...\You do, though.\You're the excuse, Alice.\We don't need an excuse or a special reason to see you. response:	You're reason enough.
context: But... I don't have an excuse...\I haven't been able to do much of anything lately.\I don't have an excuse like this pizza to see you.\I don't have anything...\You do, though.\You're the excuse, Alice.\We don't need an excuse or a special reason to see you.\You're reason enough. response:	Hey! No sappy lines allowed!
context: I haven't been able to do much of anything lately.\I don't have an excuse like this pizza to see you.\I don't have anything...\You do, though.\You're the excuse, Alice.\We don't need an excuse or a special reason to see you.\You're reason enough.\Hey! No sappy lines allowed! response:	Huh?
context: I don't have an excuse like this pizza to see you.\I don't have anything...\You do, though.\You're the excuse, Alice.\We don't need an excuse or a special reason to see you.\You're reason enough.\Hey! No sappy lines allowed!\Huh? response:	I'm going to do my best to catch up to you, Junior.
context: I don't have anything...\You do, though.\You're the excuse, Alice.\We don't need an excuse or a special reason to see you.\You're reason enough.\Hey! No sappy lines allowed!\Huh?\I'm going to do my best to catch up to you, Junior. response:	Me, too.
context: You do, though.\You're the excuse, Alice.\We don't need an excuse or a special reason to see you.\You're reason enough.\Hey! No sappy lines allowed!\Huh?\I'm going to do my best to catch up to you, Junior.\Me, too. response:	With these friends, I'll really be just fine!
context: You're the excuse, Alice.\We don't need an excuse or a special reason to see you.\You're reason enough.\Hey! No sappy lines allowed!\Huh?\I'm going to do my best to catch up to you, Junior.\Me, too.\With these friends, I'll really be just fine! response:	A shore awash in golden waves Kin no nami kishibe ni
context: We don't need an excuse or a special reason to see you.\You're reason enough.\Hey! No sappy lines allowed!\Huh?\I'm going to do my best to catch up to you, Junior.\Me, too.\With these friends, I'll really be just fine!\A shore awash in golden waves Kin no nami kishibe ni response:	Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni
context: You're reason enough.\Hey! No sappy lines allowed!\Huh?\I'm going to do my best to catch up to you, Junior.\Me, too.\With these friends, I'll really be just fine!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni response:	As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki
context: Hey! No sappy lines allowed!\Huh?\I'm going to do my best to catch up to you, Junior.\Me, too.\With these friends, I'll really be just fine!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki response:	Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru
context: Huh?\I'm going to do my best to catch up to you, Junior.\Me, too.\With these friends, I'll really be just fine!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru response:	A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai
context: I'm going to do my best to catch up to you, Junior.\Me, too.\With these friends, I'll really be just fine!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai response:	I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete
context: Me, too.\With these friends, I'll really be just fine!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete response:	The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima
context: With these friends, I'll really be just fine!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete\The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima response:	A shore awash in golden waves Kin no nami kishibe ni
context: A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete\The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima\A shore awash in golden waves Kin no nami kishibe ni response:	Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni
context: Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete\The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni response:	And my day begins Hajimaru
