context: In the year 845... response:	the Colossal and Armored Titans
context: but the information we gained gives us hope for next time!\Will we abandon the tactics that cost tens of thousands of lives to develop,\and let the Titans eat us without a fight?\Hell, no!\I am going to exterminate all of the Titans,\and escape these cramped walls!\That is my dream...\Humanity isn't finished yet! response:	Wait, Eren!
context: Will we abandon the tactics that cost tens of thousands of lives to develop,\and let the Titans eat us without a fight?\Hell, no!\I am going to exterminate all of the Titans,\and escape these cramped walls!\That is my dream...\Humanity isn't finished yet!\Wait, Eren! response:	If you want to go outside the walls, then go.
context: and let the Titans eat us without a fight?\Hell, no!\I am going to exterminate all of the Titans,\and escape these cramped walls!\That is my dream...\Humanity isn't finished yet!\Wait, Eren!\If you want to go outside the walls, then go. response:	I'm joining the Military Police, at any cost.
context: Hell, no!\I am going to exterminate all of the Titans,\and escape these cramped walls!\That is my dream...\Humanity isn't finished yet!\Wait, Eren!\If you want to go outside the walls, then go.\I'm joining the Military Police, at any cost. response:	Eren, when you were talking about your dream...
context: I am going to exterminate all of the Titans,\and escape these cramped walls!\That is my dream...\Humanity isn't finished yet!\Wait, Eren!\If you want to go outside the walls, then go.\I'm joining the Military Police, at any cost.\Eren, when you were talking about your dream... response:	Yeah, I got that from you.
context: and escape these cramped walls!\That is my dream...\Humanity isn't finished yet!\Wait, Eren!\If you want to go outside the walls, then go.\I'm joining the Military Police, at any cost.\Eren, when you were talking about your dream...\Yeah, I got that from you. response:	To live outside the walls, not inside.
context: That is my dream...\Humanity isn't finished yet!\Wait, Eren!\If you want to go outside the walls, then go.\I'm joining the Military Police, at any cost.\Eren, when you were talking about your dream...\Yeah, I got that from you.\To live outside the walls, not inside. response:	I'm joining the Survey Corps.
context: Humanity isn't finished yet!\Wait, Eren!\If you want to go outside the walls, then go.\I'm joining the Military Police, at any cost.\Eren, when you were talking about your dream...\Yeah, I got that from you.\To live outside the walls, not inside.\I'm joining the Survey Corps. response:	Are you serious, Armin?
context: Wait, Eren!\If you want to go outside the walls, then go.\I'm joining the Military Police, at any cost.\Eren, when you were talking about your dream...\Yeah, I got that from you.\To live outside the walls, not inside.\I'm joining the Survey Corps.\Are you serious, Armin? response:	You got the best written test score, so you should use that!
context: If you want to go outside the walls, then go.\I'm joining the Military Police, at any cost.\Eren, when you were talking about your dream...\Yeah, I got that from you.\To live outside the walls, not inside.\I'm joining the Survey Corps.\Are you serious, Armin?\You got the best written test score, so you should use that! response:	I won't hold you back, even if it kills me.
context: I'm joining the Military Police, at any cost.\Eren, when you were talking about your dream...\Yeah, I got that from you.\To live outside the walls, not inside.\I'm joining the Survey Corps.\Are you serious, Armin?\You got the best written test score, so you should use that!\I won't hold you back, even if it kills me. response:	I'm joining the Survey Corps, too.
context: Eren, when you were talking about your dream...\Yeah, I got that from you.\To live outside the walls, not inside.\I'm joining the Survey Corps.\Are you serious, Armin?\You got the best written test score, so you should use that!\I won't hold you back, even if it kills me.\I'm joining the Survey Corps, too. response:	Hey, you're the valedictorian...
context: Yeah, I got that from you.\To live outside the walls, not inside.\I'm joining the Survey Corps.\Are you serious, Armin?\You got the best written test score, so you should use that!\I won't hold you back, even if it kills me.\I'm joining the Survey Corps, too.\Hey, you're the valedictorian... response:	Join the Military Police!
context: To live outside the walls, not inside.\I'm joining the Survey Corps.\Are you serious, Armin?\You got the best written test score, so you should use that!\I won't hold you back, even if it kills me.\I'm joining the Survey Corps, too.\Hey, you're the valedictorian...\Join the Military Police! response:	If you join the Military Police,
context: I'm joining the Survey Corps.\Are you serious, Armin?\You got the best written test score, so you should use that!\I won't hold you back, even if it kills me.\I'm joining the Survey Corps, too.\Hey, you're the valedictorian...\Join the Military Police!\If you join the Military Police, response:	then I'll do that.
context: Are you serious, Armin?\You got the best written test score, so you should use that!\I won't hold you back, even if it kills me.\I'm joining the Survey Corps, too.\Hey, you're the valedictorian...\Join the Military Police!\If you join the Military Police,\then I'll do that. response:	If you join the Garrison, I'll join, too.
context: You got the best written test score, so you should use that!\I won't hold you back, even if it kills me.\I'm joining the Survey Corps, too.\Hey, you're the valedictorian...\Join the Military Police!\If you join the Military Police,\then I'll do that.\If you join the Garrison, I'll join, too. response:	You'll send yourself to an early grave without me.
context: I won't hold you back, even if it kills me.\I'm joining the Survey Corps, too.\Hey, you're the valedictorian...\Join the Military Police!\If you join the Military Police,\then I'll do that.\If you join the Garrison, I'll join, too.\You'll send yourself to an early grave without me. response:	No one asked you to do this...
context: I'm joining the Survey Corps, too.\Hey, you're the valedictorian...\Join the Military Police!\If you join the Military Police,\then I'll do that.\If you join the Garrison, I'll join, too.\You'll send yourself to an early grave without me.\No one asked you to do this... response:	I don't want to lose any more family.
context: Hey, you're the valedictorian...\Join the Military Police!\If you join the Military Police,\then I'll do that.\If you join the Garrison, I'll join, too.\You'll send yourself to an early grave without me.\No one asked you to do this...\I don't want to lose any more family. response:	They're here!
context: Join the Military Police!\If you join the Military Police,\then I'll do that.\If you join the Garrison, I'll join, too.\You'll send yourself to an early grave without me.\No one asked you to do this...\I don't want to lose any more family.\They're here! response:	The main force of the Survey Corps!
context: If you join the Military Police,\then I'll do that.\If you join the Garrison, I'll join, too.\You'll send yourself to an early grave without me.\No one asked you to do this...\I don't want to lose any more family.\They're here!\The main force of the Survey Corps! response:	Commander Erwin, kill the Titans for us!
context: then I'll do that.\If you join the Garrison, I'll join, too.\You'll send yourself to an early grave without me.\No one asked you to do this...\I don't want to lose any more family.\They're here!\The main force of the Survey Corps!\Commander Erwin, kill the Titans for us! response:	Look, it's Captain Levi!
context: If you join the Garrison, I'll join, too.\You'll send yourself to an early grave without me.\No one asked you to do this...\I don't want to lose any more family.\They're here!\The main force of the Survey Corps!\Commander Erwin, kill the Titans for us!\Look, it's Captain Levi! response:	They say he's as strong as an entire brigade.
context: You'll send yourself to an early grave without me.\No one asked you to do this...\I don't want to lose any more family.\They're here!\The main force of the Survey Corps!\Commander Erwin, kill the Titans for us!\Look, it's Captain Levi!\They say he's as strong as an entire brigade. response:	Shut up.
context: No one asked you to do this...\I don't want to lose any more family.\They're here!\The main force of the Survey Corps!\Commander Erwin, kill the Titans for us!\Look, it's Captain Levi!\They say he's as strong as an entire brigade.\Shut up. response:	This is totally different than five years ago...
context: I don't want to lose any more family.\They're here!\The main force of the Survey Corps!\Commander Erwin, kill the Titans for us!\Look, it's Captain Levi!\They say he's as strong as an entire brigade.\Shut up.\This is totally different than five years ago... response:	There are so many people who have high hopes for the Survey Corps!
context: They're here!\The main force of the Survey Corps!\Commander Erwin, kill the Titans for us!\Look, it's Captain Levi!\They say he's as strong as an entire brigade.\Shut up.\This is totally different than five years ago...\There are so many people who have high hopes for the Survey Corps! response:	Everyone's cheered up.
context: The main force of the Survey Corps!\Commander Erwin, kill the Titans for us!\Look, it's Captain Levi!\They say he's as strong as an entire brigade.\Shut up.\This is totally different than five years ago...\There are so many people who have high hopes for the Survey Corps!\Everyone's cheered up. response:	There haven't been any problems for five years.
context: Commander Erwin, kill the Titans for us!\Look, it's Captain Levi!\They say he's as strong as an entire brigade.\Shut up.\This is totally different than five years ago...\There are so many people who have high hopes for the Survey Corps!\Everyone's cheered up.\There haven't been any problems for five years. response:	And they've improved the fixed cannons.
context: Look, it's Captain Levi!\They say he's as strong as an entire brigade.\Shut up.\This is totally different than five years ago...\There are so many people who have high hopes for the Survey Corps!\Everyone's cheered up.\There haven't been any problems for five years.\And they've improved the fixed cannons. response:	Maybe the big Titans won't come again.
context: They say he's as strong as an entire brigade.\Shut up.\This is totally different than five years ago...\There are so many people who have high hopes for the Survey Corps!\Everyone's cheered up.\There haven't been any problems for five years.\And they've improved the fixed cannons.\Maybe the big Titans won't come again. response:	Right!
context: Shut up.\This is totally different than five years ago...\There are so many people who have high hopes for the Survey Corps!\Everyone's cheered up.\There haven't been any problems for five years.\And they've improved the fixed cannons.\Maybe the big Titans won't come again.\Right! response:	You can't seriously believe that, you stupid lovebirds!
context: This is totally different than five years ago...\There are so many people who have high hopes for the Survey Corps!\Everyone's cheered up.\There haven't been any problems for five years.\And they've improved the fixed cannons.\Maybe the big Titans won't come again.\Right!\You can't seriously believe that, you stupid lovebirds! response:	You think we're a happy couple?
context: There are so many people who have high hopes for the Survey Corps!\Everyone's cheered up.\There haven't been any problems for five years.\And they've improved the fixed cannons.\Maybe the big Titans won't come again.\Right!\You can't seriously believe that, you stupid lovebirds!\You think we're a happy couple? response:	You're getting ahead of yourself, Eren!
context: Everyone's cheered up.\There haven't been any problems for five years.\And they've improved the fixed cannons.\Maybe the big Titans won't come again.\Right!\You can't seriously believe that, you stupid lovebirds!\You think we're a happy couple?\You're getting ahead of yourself, Eren! response:	Hey, you guys!
context: There haven't been any problems for five years.\And they've improved the fixed cannons.\Maybe the big Titans won't come again.\Right!\You can't seriously believe that, you stupid lovebirds!\You think we're a happy couple?\You're getting ahead of yourself, Eren!\Hey, you guys! response:	Hannes!
context: And they've improved the fixed cannons.\Maybe the big Titans won't come again.\Right!\You can't seriously believe that, you stupid lovebirds!\You think we're a happy couple?\You're getting ahead of yourself, Eren!\Hey, you guys!\Hannes! response:	I heard you graduated yesterday.
context: Maybe the big Titans won't come again.\Right!\You can't seriously believe that, you stupid lovebirds!\You think we're a happy couple?\You're getting ahead of yourself, Eren!\Hey, you guys!\Hannes!\I heard you graduated yesterday. response:	Hard to believe you're the little kids I remember.
context: Right!\You can't seriously believe that, you stupid lovebirds!\You think we're a happy couple?\You're getting ahead of yourself, Eren!\Hey, you guys!\Hannes!\I heard you graduated yesterday.\Hard to believe you're the little kids I remember. response:	What about you?
context: You can't seriously believe that, you stupid lovebirds!\You think we're a happy couple?\You're getting ahead of yourself, Eren!\Hey, you guys!\Hannes!\I heard you graduated yesterday.\Hard to believe you're the little kids I remember.\What about you? response:	You've gone from a drunk to a captain of the combat engineers.
context: You think we're a happy couple?\You're getting ahead of yourself, Eren!\Hey, you guys!\Hannes!\I heard you graduated yesterday.\Hard to believe you're the little kids I remember.\What about you?\You've gone from a drunk to a captain of the combat engineers. response:	Listen to you...
context: You're getting ahead of yourself, Eren!\Hey, you guys!\Hannes!\I heard you graduated yesterday.\Hard to believe you're the little kids I remember.\What about you?\You've gone from a drunk to a captain of the combat engineers.\Listen to you... response:	I'm still sorry
context: Hey, you guys!\Hannes!\I heard you graduated yesterday.\Hard to believe you're the little kids I remember.\What about you?\You've gone from a drunk to a captain of the combat engineers.\Listen to you...\I'm still sorry response:	I wasn't able to save your mother.
context: Hannes!\I heard you graduated yesterday.\Hard to believe you're the little kids I remember.\What about you?\You've gone from a drunk to a captain of the combat engineers.\Listen to you...\I'm still sorry\I wasn't able to save your mother. response:	It wasn't your fault, Hannes.
context: I heard you graduated yesterday.\Hard to believe you're the little kids I remember.\What about you?\You've gone from a drunk to a captain of the combat engineers.\Listen to you...\I'm still sorry\I wasn't able to save your mother.\It wasn't your fault, Hannes. response:	We aren't ignorant anymore.
context: Hard to believe you're the little kids I remember.\What about you?\You've gone from a drunk to a captain of the combat engineers.\Listen to you...\I'm still sorry\I wasn't able to save your mother.\It wasn't your fault, Hannes.\We aren't ignorant anymore. response:	I'll never let anything that sad happen again.
context: What about you?\You've gone from a drunk to a captain of the combat engineers.\Listen to you...\I'm still sorry\I wasn't able to save your mother.\It wasn't your fault, Hannes.\We aren't ignorant anymore.\I'll never let anything that sad happen again. response:	We will defeat the Titans.
context: You've gone from a drunk to a captain of the combat engineers.\Listen to you...\I'm still sorry\I wasn't able to save your mother.\It wasn't your fault, Hannes.\We aren't ignorant anymore.\I'll never let anything that sad happen again.\We will defeat the Titans. response:	I don't know whether to be happy that you've grown up or not.
context: Listen to you...\I'm still sorry\I wasn't able to save your mother.\It wasn't your fault, Hannes.\We aren't ignorant anymore.\I'll never let anything that sad happen again.\We will defeat the Titans.\I don't know whether to be happy that you've grown up or not. response:	Don't die.
context: I'm still sorry\I wasn't able to save your mother.\It wasn't your fault, Hannes.\We aren't ignorant anymore.\I'll never let anything that sad happen again.\We will defeat the Titans.\I don't know whether to be happy that you've grown up or not.\Don't die. response:	Huh?
context: I wasn't able to save your mother.\It wasn't your fault, Hannes.\We aren't ignorant anymore.\I'll never let anything that sad happen again.\We will defeat the Titans.\I don't know whether to be happy that you've grown up or not.\Don't die.\Huh? response:	You're joining the Survey Corps?
context: It wasn't your fault, Hannes.\We aren't ignorant anymore.\I'll never let anything that sad happen again.\We will defeat the Titans.\I don't know whether to be happy that you've grown up or not.\Don't die.\Huh?\You're joining the Survey Corps? response:	Connie, you were so eager to join the Military Police!
context: We aren't ignorant anymore.\I'll never let anything that sad happen again.\We will defeat the Titans.\I don't know whether to be happy that you've grown up or not.\Don't die.\Huh?\You're joining the Survey Corps?\Connie, you were so eager to join the Military Police! response:	I was, but...
context: I'll never let anything that sad happen again.\We will defeat the Titans.\I don't know whether to be happy that you've grown up or not.\Don't die.\Huh?\You're joining the Survey Corps?\Connie, you were so eager to join the Military Police!\I was, but... response:	Your speech yesterday affected him.
context: We will defeat the Titans.\I don't know whether to be happy that you've grown up or not.\Don't die.\Huh?\You're joining the Survey Corps?\Connie, you were so eager to join the Military Police!\I was, but...\Your speech yesterday affected him. response:	Shut up!
context: I don't know whether to be happy that you've grown up or not.\Don't die.\Huh?\You're joining the Survey Corps?\Connie, you were so eager to join the Military Police!\I was, but...\Your speech yesterday affected him.\Shut up! response:	It was my own decision!
context: Don't die.\Huh?\You're joining the Survey Corps?\Connie, you were so eager to join the Military Police!\I was, but...\Your speech yesterday affected him.\Shut up!\It was my own decision! response:	No need to feel embarrassed.
context: Huh?\You're joining the Survey Corps?\Connie, you were so eager to join the Military Police!\I was, but...\Your speech yesterday affected him.\Shut up!\It was my own decision!\No need to feel embarrassed. response:	It isn't just you.
context: You're joining the Survey Corps?\Connie, you were so eager to join the Military Police!\I was, but...\Your speech yesterday affected him.\Shut up!\It was my own decision!\No need to feel embarrassed.\It isn't just you. response:	Thomas...
context: Connie, you were so eager to join the Military Police!\I was, but...\Your speech yesterday affected him.\Shut up!\It was my own decision!\No need to feel embarrassed.\It isn't just you.\Thomas... response:	You can't...
context: I was, but...\Your speech yesterday affected him.\Shut up!\It was my own decision!\No need to feel embarrassed.\It isn't just you.\Thomas...\You can't... response:	Um, everyone...
context: Your speech yesterday affected him.\Shut up!\It was my own decision!\No need to feel embarrassed.\It isn't just you.\Thomas...\You can't...\Um, everyone... response:	I brought meat from the officers' storehouse.
context: Shut up!\It was my own decision!\No need to feel embarrassed.\It isn't just you.\Thomas...\You can't...\Um, everyone...\I brought meat from the officers' storehouse. response:	Sasha, do you want to end up in jail?!
context: It was my own decision!\No need to feel embarrassed.\It isn't just you.\Thomas...\You can't...\Um, everyone...\I brought meat from the officers' storehouse.\Sasha, do you want to end up in jail?! response:	You really are an idiot!
context: No need to feel embarrassed.\It isn't just you.\Thomas...\You can't...\Um, everyone...\I brought meat from the officers' storehouse.\Sasha, do you want to end up in jail?!\You really are an idiot! response:	Idiots are scary...
context: It isn't just you.\Thomas...\You can't...\Um, everyone...\I brought meat from the officers' storehouse.\Sasha, do you want to end up in jail?!\You really are an idiot!\Idiots are scary... response:	Let's all split it...
context: Thomas...\You can't...\Um, everyone...\I brought meat from the officers' storehouse.\Sasha, do you want to end up in jail?!\You really are an idiot!\Idiots are scary...\Let's all split it... response:	We can slice it and make sandwiches!
context: You can't...\Um, everyone...\I brought meat from the officers' storehouse.\Sasha, do you want to end up in jail?!\You really are an idiot!\Idiots are scary...\Let's all split it...\We can slice it and make sandwiches! response:	Go put it back!
context: Um, everyone...\I brought meat from the officers' storehouse.\Sasha, do you want to end up in jail?!\You really are an idiot!\Idiots are scary...\Let's all split it...\We can slice it and make sandwiches!\Go put it back! response:	Yeah...
context: I brought meat from the officers' storehouse.\Sasha, do you want to end up in jail?!\You really are an idiot!\Idiots are scary...\Let's all split it...\We can slice it and make sandwiches!\Go put it back!\Yeah... response:	After all the land we lost, meat is really valuable!
context: Sasha, do you want to end up in jail?!\You really are an idiot!\Idiots are scary...\Let's all split it...\We can slice it and make sandwiches!\Go put it back!\Yeah...\After all the land we lost, meat is really valuable! response:	It's fine!
context: You really are an idiot!\Idiots are scary...\Let's all split it...\We can slice it and make sandwiches!\Go put it back!\Yeah...\After all the land we lost, meat is really valuable!\It's fine! response:	Once we retake the land, we can raise cows and sheep again.
context: Idiots are scary...\Let's all split it...\We can slice it and make sandwiches!\Go put it back!\Yeah...\After all the land we lost, meat is really valuable!\It's fine!\Once we retake the land, we can raise cows and sheep again. response:	I'll have some of the meat, too!
context: Let's all split it...\We can slice it and make sandwiches!\Go put it back!\Yeah...\After all the land we lost, meat is really valuable!\It's fine!\Once we retake the land, we can raise cows and sheep again.\I'll have some of the meat, too! response:	M-Me, too! Get it ready!
context: We can slice it and make sandwiches!\Go put it back!\Yeah...\After all the land we lost, meat is really valuable!\It's fine!\Once we retake the land, we can raise cows and sheep again.\I'll have some of the meat, too!\M-Me, too! Get it ready! response:	I also will, of course!
context: Go put it back!\Yeah...\After all the land we lost, meat is really valuable!\It's fine!\Once we retake the land, we can raise cows and sheep again.\I'll have some of the meat, too!\M-Me, too! Get it ready!\I also will, of course! response:	You guys...
context: Yeah...\After all the land we lost, meat is really valuable!\It's fine!\Once we retake the land, we can raise cows and sheep again.\I'll have some of the meat, too!\M-Me, too! Get it ready!\I also will, of course!\You guys... response:	Why are you standing there, Eren?
context: After all the land we lost, meat is really valuable!\It's fine!\Once we retake the land, we can raise cows and sheep again.\I'll have some of the meat, too!\M-Me, too! Get it ready!\I also will, of course!\You guys...\Why are you standing there, Eren? response:	We need to get back to work, or they'll find out.
context: It's fine!\Once we retake the land, we can raise cows and sheep again.\I'll have some of the meat, too!\M-Me, too! Get it ready!\I also will, of course!\You guys...\Why are you standing there, Eren?\We need to get back to work, or they'll find out. response:	It isn't lunchtime yet.
context: Once we retake the land, we can raise cows and sheep again.\I'll have some of the meat, too!\M-Me, too! Get it ready!\I also will, of course!\You guys...\Why are you standing there, Eren?\We need to get back to work, or they'll find out.\It isn't lunchtime yet. response:	It's been five years since then...
context: I'll have some of the meat, too!\M-Me, too! Get it ready!\I also will, of course!\You guys...\Why are you standing there, Eren?\We need to get back to work, or they'll find out.\It isn't lunchtime yet.\It's been five years since then... response:	Humanity is finally regaining its dignity.
context: M-Me, too! Get it ready!\I also will, of course!\You guys...\Why are you standing there, Eren?\We need to get back to work, or they'll find out.\It isn't lunchtime yet.\It's been five years since then...\Humanity is finally regaining its dignity. response:	We can win!
context: I also will, of course!\You guys...\Why are you standing there, Eren?\We need to get back to work, or they'll find out.\It isn't lunchtime yet.\It's been five years since then...\Humanity is finally regaining its dignity.\We can win! response:	Our counterattack
context: You guys...\Why are you standing there, Eren?\We need to get back to work, or they'll find out.\It isn't lunchtime yet.\It's been five years since then...\Humanity is finally regaining its dignity.\We can win!\Our counterattack response:	has only begun!
context: Why are you standing there, Eren?\We need to get back to work, or they'll find out.\It isn't lunchtime yet.\It's been five years since then...\Humanity is finally regaining its dignity.\We can win!\Our counterattack\has only begun! response:	So hot!
context: We need to get back to work, or they'll find out.\It isn't lunchtime yet.\It's been five years since then...\Humanity is finally regaining its dignity.\We can win!\Our counterattack\has only begun!\So hot! response:	Wh-What is that?
context: It isn't lunchtime yet.\It's been five years since then...\Humanity is finally regaining its dignity.\We can win!\Our counterattack\has only begun!\So hot!\Wh-What is that? response:	Samuel!
context: It's been five years since then...\Humanity is finally regaining its dignity.\We can win!\Our counterattack\has only begun!\So hot!\Wh-What is that?\Samuel! response:	Sasha!
context: Humanity is finally regaining its dignity.\We can win!\Our counterattack\has only begun!\So hot!\Wh-What is that?\Samuel!\Sasha! response:	Samuel,
context: We can win!\Our counterattack\has only begun!\So hot!\Wh-What is that?\Samuel!\Sasha!\Samuel, response:	don't move!
context: Our counterattack\has only begun!\So hot!\Wh-What is that?\Samuel!\Sasha!\Samuel,\don't move! response:	That was close...
context: has only begun!\So hot!\Wh-What is that?\Samuel!\Sasha!\Samuel,\don't move!\That was close... response:	The wall has been breached?
context: So hot!\Wh-What is that?\Samuel!\Sasha!\Samuel,\don't move!\That was close...\The wall has been breached? response:	Not again...
context: Wh-What is that?\Samuel!\Sasha!\Samuel,\don't move!\That was close...\The wall has been breached?\Not again... response:	The Titans will come inside the walls again!
context: Samuel!\Sasha!\Samuel,\don't move!\That was close...\The wall has been breached?\Not again...\The Titans will come inside the walls again! response:	I will annihilate all of you!
context: Sasha!\Samuel,\don't move!\That was close...\The wall has been breached?\Not again...\The Titans will come inside the walls again!\I will annihilate all of you! response:	Annihilate all of you...
context: Samuel,\don't move!\That was close...\The wall has been breached?\Not again...\The Titans will come inside the walls again!\I will annihilate all of you!\Annihilate all of you... response:	Fixed cannon maintenance team 4,
context: don't move!\That was close...\The wall has been breached?\Not again...\The Titans will come inside the walls again!\I will annihilate all of you!\Annihilate all of you...\Fixed cannon maintenance team 4, response:	prepare for combat!
context: That was close...\The wall has been breached?\Not again...\The Titans will come inside the walls again!\I will annihilate all of you!\Annihilate all of you...\Fixed cannon maintenance team 4,\prepare for combat! response:	Our target is the Colossal Titan before us!
context: The wall has been breached?\Not again...\The Titans will come inside the walls again!\I will annihilate all of you!\Annihilate all of you...\Fixed cannon maintenance team 4,\prepare for combat!\Our target is the Colossal Titan before us! response:	This is our chance!
context: Not again...\The Titans will come inside the walls again!\I will annihilate all of you!\Annihilate all of you...\Fixed cannon maintenance team 4,\prepare for combat!\Our target is the Colossal Titan before us!\This is our chance! response:	Don't let it get away!
context: The Titans will come inside the walls again!\I will annihilate all of you!\Annihilate all of you...\Fixed cannon maintenance team 4,\prepare for combat!\Our target is the Colossal Titan before us!\This is our chance!\Don't let it get away! response:	Hey, there...
context: I will annihilate all of you!\Annihilate all of you...\Fixed cannon maintenance team 4,\prepare for combat!\Our target is the Colossal Titan before us!\This is our chance!\Don't let it get away!\Hey, there... response:	It's been five years.
context: Annihilate all of you...\Fixed cannon maintenance team 4,\prepare for combat!\Our target is the Colossal Titan before us!\This is our chance!\Don't let it get away!\Hey, there...\It's been five years. response:	Hell has reopened its gaping maw.
context: Fixed cannon maintenance team 4,\prepare for combat!\Our target is the Colossal Titan before us!\This is our chance!\Don't let it get away!\Hey, there...\It's been five years.\Hell has reopened its gaping maw. response:	There is no reprieve as Titans devour soldiers.
context: prepare for combat!\Our target is the Colossal Titan before us!\This is our chance!\Don't let it get away!\Hey, there...\It's been five years.\Hell has reopened its gaping maw.\There is no reprieve as Titans devour soldiers. response:	In the midst of it all,
context: Our target is the Colossal Titan before us!\This is our chance!\Don't let it get away!\Hey, there...\It's been five years.\Hell has reopened its gaping maw.\There is no reprieve as Titans devour soldiers.\In the midst of it all, response:	Eren rescues Armin from death's door, but...
context: This is our chance!\Don't let it get away!\Hey, there...\It's been five years.\Hell has reopened its gaping maw.\There is no reprieve as Titans devour soldiers.\In the midst of it all,\Eren rescues Armin from death's door, but... response:	First Battle Battle of Trost (1)
