context: Tomoe, what do you say to coming home next week? response:	What? What on earth are you talking about?
context: I've also never seen Minchi look so happy!\What on earth?\I-I'll just have to do whatever it takes now.\We failed last time.\We can't afford to fail again.\Commander!\Our army's future depends on this battle!\Not one soul will grieve your deaths! response:	Will you lend your lives to me?!
context: What on earth?\I-I'll just have to do whatever it takes now.\We failed last time.\We can't afford to fail again.\Commander!\Our army's future depends on this battle!\Not one soul will grieve your deaths!\Will you lend your lives to me?! response:	All right!
context: I-I'll just have to do whatever it takes now.\We failed last time.\We can't afford to fail again.\Commander!\Our army's future depends on this battle!\Not one soul will grieve your deaths!\Will you lend your lives to me?!\All right! response:	Identify our current situation!
context: We failed last time.\We can't afford to fail again.\Commander!\Our army's future depends on this battle!\Not one soul will grieve your deaths!\Will you lend your lives to me?!\All right!\Identify our current situation! response:	No enemies to the right!
context: We can't afford to fail again.\Commander!\Our army's future depends on this battle!\Not one soul will grieve your deaths!\Will you lend your lives to me?!\All right!\Identify our current situation!\No enemies to the right! response:	No enemies to the left!
context: Commander!\Our army's future depends on this battle!\Not one soul will grieve your deaths!\Will you lend your lives to me?!\All right!\Identify our current situation!\No enemies to the right!\No enemies to the left! response:	Charge!
context: Our army's future depends on this battle!\Not one soul will grieve your deaths!\Will you lend your lives to me?!\All right!\Identify our current situation!\No enemies to the right!\No enemies to the left!\Charge! response:	Oh, my God!
context: Not one soul will grieve your deaths!\Will you lend your lives to me?!\All right!\Identify our current situation!\No enemies to the right!\No enemies to the left!\Charge!\Oh, my God! response:	Jesus!
context: Will you lend your lives to me?!\All right!\Identify our current situation!\No enemies to the right!\No enemies to the left!\Charge!\Oh, my God!\Jesus! response:	Okay, let's clean this place up!
context: All right!\Identify our current situation!\No enemies to the right!\No enemies to the left!\Charge!\Oh, my God!\Jesus!\Okay, let's clean this place up! response:	But Tomoe, this hose is...
context: Identify our current situation!\No enemies to the right!\No enemies to the left!\Charge!\Oh, my God!\Jesus!\Okay, let's clean this place up!\But Tomoe, this hose is... response:	I'll take responsibility for everything!
context: No enemies to the right!\No enemies to the left!\Charge!\Oh, my God!\Jesus!\Okay, let's clean this place up!\But Tomoe, this hose is...\I'll take responsibility for everything! response:	Okay, baby! Get some!
context: No enemies to the left!\Charge!\Oh, my God!\Jesus!\Okay, let's clean this place up!\But Tomoe, this hose is...\I'll take responsibility for everything!\Okay, baby! Get some! response:	We're under attack!
context: Charge!\Oh, my God!\Jesus!\Okay, let's clean this place up!\But Tomoe, this hose is...\I'll take responsibility for everything!\Okay, baby! Get some!\We're under attack! response:	Now I'm really done for!
context: Oh, my God!\Jesus!\Okay, let's clean this place up!\But Tomoe, this hose is...\I'll take responsibility for everything!\Okay, baby! Get some!\We're under attack!\Now I'm really done for! response:	Dammit!
context: Jesus!\Okay, let's clean this place up!\But Tomoe, this hose is...\I'll take responsibility for everything!\Okay, baby! Get some!\We're under attack!\Now I'm really done for!\Dammit! response:	Retreat! Retreat!
context: Okay, let's clean this place up!\But Tomoe, this hose is...\I'll take responsibility for everything!\Okay, baby! Get some!\We're under attack!\Now I'm really done for!\Dammit!\Retreat! Retreat! response:	Those who run away are survival gamers,
context: But Tomoe, this hose is...\I'll take responsibility for everything!\Okay, baby! Get some!\We're under attack!\Now I'm really done for!\Dammit!\Retreat! Retreat!\Those who run away are survival gamers, response:	and those who don't
context: I'll take responsibility for everything!\Okay, baby! Get some!\We're under attack!\Now I'm really done for!\Dammit!\Retreat! Retreat!\Those who run away are survival gamers,\and those who don't response:	run are well-trained survival gamers!
context: Okay, baby! Get some!\We're under attack!\Now I'm really done for!\Dammit!\Retreat! Retreat!\Those who run away are survival gamers,\and those who don't\run are well-trained survival gamers! response:	She looks like she's having a lot of fun...
context: We're under attack!\Now I'm really done for!\Dammit!\Retreat! Retreat!\Those who run away are survival gamers,\and those who don't\run are well-trained survival gamers!\She looks like she's having a lot of fun... response:	You're sparkling, Tomoe!
context: Now I'm really done for!\Dammit!\Retreat! Retreat!\Those who run away are survival gamers,\and those who don't\run are well-trained survival gamers!\She looks like she's having a lot of fun...\You're sparkling, Tomoe! response:	What did you say?
context: Dammit!\Retreat! Retreat!\Those who run away are survival gamers,\and those who don't\run are well-trained survival gamers!\She looks like she's having a lot of fun...\You're sparkling, Tomoe!\What did you say? response:	You're sparkling!
context: Retreat! Retreat!\Those who run away are survival gamers,\and those who don't\run are well-trained survival gamers!\She looks like she's having a lot of fun...\You're sparkling, Tomoe!\What did you say?\You're sparkling! response:	Oh, come on...
context: Those who run away are survival gamers,\and those who don't\run are well-trained survival gamers!\She looks like she's having a lot of fun...\You're sparkling, Tomoe!\What did you say?\You're sparkling!\Oh, come on... response:	Oops...
context: and those who don't\run are well-trained survival gamers!\She looks like she's having a lot of fun...\You're sparkling, Tomoe!\What did you say?\You're sparkling!\Oh, come on...\Oops... response:	I was?
context: run are well-trained survival gamers!\She looks like she's having a lot of fun...\You're sparkling, Tomoe!\What did you say?\You're sparkling!\Oh, come on...\Oops...\I was? response:	I did have a lot of fun out there, but...
context: She looks like she's having a lot of fun...\You're sparkling, Tomoe!\What did you say?\You're sparkling!\Oh, come on...\Oops...\I was?\I did have a lot of fun out there, but... response:	But I'm surely done for now.
context: You're sparkling, Tomoe!\What did you say?\You're sparkling!\Oh, come on...\Oops...\I was?\I did have a lot of fun out there, but...\But I'm surely done for now. response:	Madam Manager.
context: What did you say?\You're sparkling!\Oh, come on...\Oops...\I was?\I did have a lot of fun out there, but...\But I'm surely done for now.\Madam Manager. response:	I'm terribly sorry.
context: You're sparkling!\Oh, come on...\Oops...\I was?\I did have a lot of fun out there, but...\But I'm surely done for now.\Madam Manager.\I'm terribly sorry. response:	The responsibility for all the events lies with me.
context: Oh, come on...\Oops...\I was?\I did have a lot of fun out there, but...\But I'm surely done for now.\Madam Manager.\I'm terribly sorry.\The responsibility for all the events lies with me. response:	What are you talking about?
context: Oops...\I was?\I did have a lot of fun out there, but...\But I'm surely done for now.\Madam Manager.\I'm terribly sorry.\The responsibility for all the events lies with me.\What are you talking about? response:	So, it was you.
context: I was?\I did have a lot of fun out there, but...\But I'm surely done for now.\Madam Manager.\I'm terribly sorry.\The responsibility for all the events lies with me.\What are you talking about?\So, it was you. response:	Madam Manager, your inn has a brilliant commander.
context: I did have a lot of fun out there, but...\But I'm surely done for now.\Madam Manager.\I'm terribly sorry.\The responsibility for all the events lies with me.\What are you talking about?\So, it was you.\Madam Manager, your inn has a brilliant commander. response:	What?
context: But I'm surely done for now.\Madam Manager.\I'm terribly sorry.\The responsibility for all the events lies with me.\What are you talking about?\So, it was you.\Madam Manager, your inn has a brilliant commander.\What? response:	Thank you for your praise.
context: Madam Manager.\I'm terribly sorry.\The responsibility for all the events lies with me.\What are you talking about?\So, it was you.\Madam Manager, your inn has a brilliant commander.\What?\Thank you for your praise. response:	She followed through with our operations,
context: I'm terribly sorry.\The responsibility for all the events lies with me.\What are you talking about?\So, it was you.\Madam Manager, your inn has a brilliant commander.\What?\Thank you for your praise.\She followed through with our operations, response:	enabling us to have a wonderful time.
context: The responsibility for all the events lies with me.\What are you talking about?\So, it was you.\Madam Manager, your inn has a brilliant commander.\What?\Thank you for your praise.\She followed through with our operations,\enabling us to have a wonderful time. response:	That ambush was marvelous.
context: What are you talking about?\So, it was you.\Madam Manager, your inn has a brilliant commander.\What?\Thank you for your praise.\She followed through with our operations,\enabling us to have a wonderful time.\That ambush was marvelous. response:	We were completely defeated.
context: So, it was you.\Madam Manager, your inn has a brilliant commander.\What?\Thank you for your praise.\She followed through with our operations,\enabling us to have a wonderful time.\That ambush was marvelous.\We were completely defeated. response:	What?!
context: Madam Manager, your inn has a brilliant commander.\What?\Thank you for your praise.\She followed through with our operations,\enabling us to have a wonderful time.\That ambush was marvelous.\We were completely defeated.\What?! response:	We'll be coming again.
context: What?\Thank you for your praise.\She followed through with our operations,\enabling us to have a wonderful time.\That ambush was marvelous.\We were completely defeated.\What?!\We'll be coming again. response:	Next time,
context: Thank you for your praise.\She followed through with our operations,\enabling us to have a wonderful time.\That ambush was marvelous.\We were completely defeated.\What?!\We'll be coming again.\Next time, response:	we'll break through your defenses for sure.
context: She followed through with our operations,\enabling us to have a wonderful time.\That ambush was marvelous.\We were completely defeated.\What?!\We'll be coming again.\Next time,\we'll break through your defenses for sure. response:	Thank you.
context: enabling us to have a wonderful time.\That ambush was marvelous.\We were completely defeated.\What?!\We'll be coming again.\Next time,\we'll break through your defenses for sure.\Thank you. response:	We, along with the commander,
context: That ambush was marvelous.\We were completely defeated.\What?!\We'll be coming again.\Next time,\we'll break through your defenses for sure.\Thank you.\We, along with the commander, response:	will do our best to make your stay more comfortable.
context: We were completely defeated.\What?!\We'll be coming again.\Next time,\we'll break through your defenses for sure.\Thank you.\We, along with the commander,\will do our best to make your stay more comfortable. response:	What?!
context: What?!\We'll be coming again.\Next time,\we'll break through your defenses for sure.\Thank you.\We, along with the commander,\will do our best to make your stay more comfortable.\What?! response:	Salute the commander!
context: We'll be coming again.\Next time,\we'll break through your defenses for sure.\Thank you.\We, along with the commander,\will do our best to make your stay more comfortable.\What?!\Salute the commander! response:	We hope to see you again.
context: Next time,\we'll break through your defenses for sure.\Thank you.\We, along with the commander,\will do our best to make your stay more comfortable.\What?!\Salute the commander!\We hope to see you again. response:	I'm so impressed, Tomoe!
context: we'll break through your defenses for sure.\Thank you.\We, along with the commander,\will do our best to make your stay more comfortable.\What?!\Salute the commander!\We hope to see you again.\I'm so impressed, Tomoe! response:	I didn't know we were supposed
context: Thank you.\We, along with the commander,\will do our best to make your stay more comfortable.\What?!\Salute the commander!\We hope to see you again.\I'm so impressed, Tomoe!\I didn't know we were supposed response:	to change our procedures depending on the customers!
context: We, along with the commander,\will do our best to make your stay more comfortable.\What?!\Salute the commander!\We hope to see you again.\I'm so impressed, Tomoe!\I didn't know we were supposed\to change our procedures depending on the customers! response:	What?
context: will do our best to make your stay more comfortable.\What?!\Salute the commander!\We hope to see you again.\I'm so impressed, Tomoe!\I didn't know we were supposed\to change our procedures depending on the customers!\What? response:	R-Right!
context: What?!\Salute the commander!\We hope to see you again.\I'm so impressed, Tomoe!\I didn't know we were supposed\to change our procedures depending on the customers!\What?\R-Right! response:	So that's what Madam Manager means
context: Salute the commander!\We hope to see you again.\I'm so impressed, Tomoe!\I didn't know we were supposed\to change our procedures depending on the customers!\What?\R-Right!\So that's what Madam Manager means response:	when she always says, An inn is a place that provides
context: We hope to see you again.\I'm so impressed, Tomoe!\I didn't know we were supposed\to change our procedures depending on the customers!\What?\R-Right!\So that's what Madam Manager means\when she always says, An inn is a place that provides response:	things out of the ordinary.
context: I'm so impressed, Tomoe!\I didn't know we were supposed\to change our procedures depending on the customers!\What?\R-Right!\So that's what Madam Manager means\when she always says, An inn is a place that provides\things out of the ordinary. response:	I don't know about that...
context: I didn't know we were supposed\to change our procedures depending on the customers!\What?\R-Right!\So that's what Madam Manager means\when she always says, An inn is a place that provides\things out of the ordinary.\I don't know about that... response:	We really feel like we have a long way to go still!
context: to change our procedures depending on the customers!\What?\R-Right!\So that's what Madam Manager means\when she always says, An inn is a place that provides\things out of the ordinary.\I don't know about that...\We really feel like we have a long way to go still! response:	I want to learn more from you,
context: What?\R-Right!\So that's what Madam Manager means\when she always says, An inn is a place that provides\things out of the ordinary.\I don't know about that...\We really feel like we have a long way to go still!\I want to learn more from you, response:	s-sis.
context: R-Right!\So that's what Madam Manager means\when she always says, An inn is a place that provides\things out of the ordinary.\I don't know about that...\We really feel like we have a long way to go still!\I want to learn more from you,\s-sis. response:	That's not fair, Ohana!
context: So that's what Madam Manager means\when she always says, An inn is a place that provides\things out of the ordinary.\I don't know about that...\We really feel like we have a long way to go still!\I want to learn more from you,\s-sis.\That's not fair, Ohana! response:	C-Can I call you sis too?
context: when she always says, An inn is a place that provides\things out of the ordinary.\I don't know about that...\We really feel like we have a long way to go still!\I want to learn more from you,\s-sis.\That's not fair, Ohana!\C-Can I call you sis too? response:	They're so cute!
context: things out of the ordinary.\I don't know about that...\We really feel like we have a long way to go still!\I want to learn more from you,\s-sis.\That's not fair, Ohana!\C-Can I call you sis too?\They're so cute! response:	O-Of course!
context: I don't know about that...\We really feel like we have a long way to go still!\I want to learn more from you,\s-sis.\That's not fair, Ohana!\C-Can I call you sis too?\They're so cute!\O-Of course! response:	Of course you can!
context: We really feel like we have a long way to go still!\I want to learn more from you,\s-sis.\That's not fair, Ohana!\C-Can I call you sis too?\They're so cute!\O-Of course!\Of course you can! response:	Okay, sis!
context: I want to learn more from you,\s-sis.\That's not fair, Ohana!\C-Can I call you sis too?\They're so cute!\O-Of course!\Of course you can!\Okay, sis! response:	Sis!
context: s-sis.\That's not fair, Ohana!\C-Can I call you sis too?\They're so cute!\O-Of course!\Of course you can!\Okay, sis!\Sis! response:	Sis!
context: That's not fair, Ohana!\C-Can I call you sis too?\They're so cute!\O-Of course!\Of course you can!\Okay, sis!\Sis!\Sis! response:	Sis!
context: C-Can I call you sis too?\They're so cute!\O-Of course!\Of course you can!\Okay, sis!\Sis!\Sis!\Sis! response:	No... I take that back.
context: They're so cute!\O-Of course!\Of course you can!\Okay, sis!\Sis!\Sis!\Sis!\No... I take that back. response:	It's so ticklish...
context: O-Of course!\Of course you can!\Okay, sis!\Sis!\Sis!\Sis!\No... I take that back.\It's so ticklish... response:	Did you see the pictures?
context: Of course you can!\Okay, sis!\Sis!\Sis!\Sis!\No... I take that back.\It's so ticklish...\Did you see the pictures? response:	Aren't they all handsome?
context: Okay, sis!\Sis!\Sis!\Sis!\No... I take that back.\It's so ticklish...\Did you see the pictures?\Aren't they all handsome? response:	The meeting's next week!
context: Sis!\Sis!\Sis!\No... I take that back.\It's so ticklish...\Did you see the pictures?\Aren't they all handsome?\The meeting's next week! response:	I sent the pictures back.
context: Sis!\Sis!\No... I take that back.\It's so ticklish...\Did you see the pictures?\Aren't they all handsome?\The meeting's next week!\I sent the pictures back. response:	What? Why?!
context: Sis!\No... I take that back.\It's so ticklish...\Did you see the pictures?\Aren't they all handsome?\The meeting's next week!\I sent the pictures back.\What? Why?! response:	At first,
context: No... I take that back.\It's so ticklish...\Did you see the pictures?\Aren't they all handsome?\The meeting's next week!\I sent the pictures back.\What? Why?!\At first, response:	I really did intend to quit work and
context: It's so ticklish...\Did you see the pictures?\Aren't they all handsome?\The meeting's next week!\I sent the pictures back.\What? Why?!\At first,\I really did intend to quit work and response:	return home, but...
context: Did you see the pictures?\Aren't they all handsome?\The meeting's next week!\I sent the pictures back.\What? Why?!\At first,\I really did intend to quit work and\return home, but... response:	But?
context: Aren't they all handsome?\The meeting's next week!\I sent the pictures back.\What? Why?!\At first,\I really did intend to quit work and\return home, but...\But? response:	But I want to keep working here.
context: The meeting's next week!\I sent the pictures back.\What? Why?!\At first,\I really did intend to quit work and\return home, but...\But?\But I want to keep working here. response:	My co-workers are so cute, too.
context: I sent the pictures back.\What? Why?!\At first,\I really did intend to quit work and\return home, but...\But?\But I want to keep working here.\My co-workers are so cute, too. response:	I realized that I'm really cut out for this job.
context: What? Why?!\At first,\I really did intend to quit work and\return home, but...\But?\But I want to keep working here.\My co-workers are so cute, too.\I realized that I'm really cut out for this job. response:	When weirdos come, I get really hyped up.
context: At first,\I really did intend to quit work and\return home, but...\But?\But I want to keep working here.\My co-workers are so cute, too.\I realized that I'm really cut out for this job.\When weirdos come, I get really hyped up. response:	What on earth?
context: I really did intend to quit work and\return home, but...\But?\But I want to keep working here.\My co-workers are so cute, too.\I realized that I'm really cut out for this job.\When weirdos come, I get really hyped up.\What on earth? response:	I really feel alive when I'm working my shift
context: return home, but...\But?\But I want to keep working here.\My co-workers are so cute, too.\I realized that I'm really cut out for this job.\When weirdos come, I get really hyped up.\What on earth?\I really feel alive when I'm working my shift response:	and being overwhelmed.
context: But?\But I want to keep working here.\My co-workers are so cute, too.\I realized that I'm really cut out for this job.\When weirdos come, I get really hyped up.\What on earth?\I really feel alive when I'm working my shift\and being overwhelmed. response:	What?
context: But I want to keep working here.\My co-workers are so cute, too.\I realized that I'm really cut out for this job.\When weirdos come, I get really hyped up.\What on earth?\I really feel alive when I'm working my shift\and being overwhelmed.\What? response:	Alive and stressed out, though.
context: My co-workers are so cute, too.\I realized that I'm really cut out for this job.\When weirdos come, I get really hyped up.\What on earth?\I really feel alive when I'm working my shift\and being overwhelmed.\What?\Alive and stressed out, though. response:	You really sound like you're enjoying yourself.
context: I realized that I'm really cut out for this job.\When weirdos come, I get really hyped up.\What on earth?\I really feel alive when I'm working my shift\and being overwhelmed.\What?\Alive and stressed out, though.\You really sound like you're enjoying yourself. response:	Yeah.
context: When weirdos come, I get really hyped up.\What on earth?\I really feel alive when I'm working my shift\and being overwhelmed.\What?\Alive and stressed out, though.\You really sound like you're enjoying yourself.\Yeah. response:	I promise I'll present you a grandchild
context: What on earth?\I really feel alive when I'm working my shift\and being overwhelmed.\What?\Alive and stressed out, though.\You really sound like you're enjoying yourself.\Yeah.\I promise I'll present you a grandchild response:	before you go to Heaven,
context: I really feel alive when I'm working my shift\and being overwhelmed.\What?\Alive and stressed out, though.\You really sound like you're enjoying yourself.\Yeah.\I promise I'll present you a grandchild\before you go to Heaven, response:	so just give me a bit more time.
context: and being overwhelmed.\What?\Alive and stressed out, though.\You really sound like you're enjoying yourself.\Yeah.\I promise I'll present you a grandchild\before you go to Heaven,\so just give me a bit more time. response:	Okay.
context: What?\Alive and stressed out, though.\You really sound like you're enjoying yourself.\Yeah.\I promise I'll present you a grandchild\before you go to Heaven,\so just give me a bit more time.\Okay. response:	I won't say anything anymore.
context: Alive and stressed out, though.\You really sound like you're enjoying yourself.\Yeah.\I promise I'll present you a grandchild\before you go to Heaven,\so just give me a bit more time.\Okay.\I won't say anything anymore. response:	Just stay healthy, okay?
context: You really sound like you're enjoying yourself.\Yeah.\I promise I'll present you a grandchild\before you go to Heaven,\so just give me a bit more time.\Okay.\I won't say anything anymore.\Just stay healthy, okay? response:	I will. Sorry.
context: Yeah.\I promise I'll present you a grandchild\before you go to Heaven,\so just give me a bit more time.\Okay.\I won't say anything anymore.\Just stay healthy, okay?\I will. Sorry. response:	Come home every now and then, okay?
context: I promise I'll present you a grandchild\before you go to Heaven,\so just give me a bit more time.\Okay.\I won't say anything anymore.\Just stay healthy, okay?\I will. Sorry.\Come home every now and then, okay? response:	Okay.
context: before you go to Heaven,\so just give me a bit more time.\Okay.\I won't say anything anymore.\Just stay healthy, okay?\I will. Sorry.\Come home every now and then, okay?\Okay. response:	Actually, that might be a bit tough.
context: so just give me a bit more time.\Okay.\I won't say anything anymore.\Just stay healthy, okay?\I will. Sorry.\Come home every now and then, okay?\Okay.\Actually, that might be a bit tough. response:	I'm the head waitress, after all.
context: Okay.\I won't say anything anymore.\Just stay healthy, okay?\I will. Sorry.\Come home every now and then, okay?\Okay.\Actually, that might be a bit tough.\I'm the head waitress, after all. response:	Really?
context: I won't say anything anymore.\Just stay healthy, okay?\I will. Sorry.\Come home every now and then, okay?\Okay.\Actually, that might be a bit tough.\I'm the head waitress, after all.\Really? response:	Really.
context: Just stay healthy, okay?\I will. Sorry.\Come home every now and then, okay?\Okay.\Actually, that might be a bit tough.\I'm the head waitress, after all.\Really?\Really. response:	Good morning!
context: I will. Sorry.\Come home every now and then, okay?\Okay.\Actually, that might be a bit tough.\I'm the head waitress, after all.\Really?\Really.\Good morning! response:	Good morning!
context: Come home every now and then, okay?\Okay.\Actually, that might be a bit tough.\I'm the head waitress, after all.\Really?\Really.\Good morning!\Good morning! response:	Right, let's get crackin'!
context: Okay.\Actually, that might be a bit tough.\I'm the head waitress, after all.\Really?\Really.\Good morning!\Good morning!\Right, let's get crackin'! response:	Yes, Ma'am!
context: Actually, that might be a bit tough.\I'm the head waitress, after all.\Really?\Really.\Good morning!\Good morning!\Right, let's get crackin'!\Yes, Ma'am! response:	I couldn't be of any use.
context: I'm the head waitress, after all.\Really?\Really.\Good morning!\Good morning!\Right, let's get crackin'!\Yes, Ma'am!\I couldn't be of any use. response:	A-An ambulance!
context: Really?\Really.\Good morning!\Good morning!\Right, let's get crackin'!\Yes, Ma'am!\I couldn't be of any use.\A-An ambulance! response:	Idiot!
context: Really.\Good morning!\Good morning!\Right, let's get crackin'!\Yes, Ma'am!\I couldn't be of any use.\A-An ambulance!\Idiot! response:	Mom, Grandma is...
context: Good morning!\Good morning!\Right, let's get crackin'!\Yes, Ma'am!\I couldn't be of any use.\A-An ambulance!\Idiot!\Mom, Grandma is... response:	Episode 8 Run
context: Good morning!\Right, let's get crackin'!\Yes, Ma'am!\I couldn't be of any use.\A-An ambulance!\Idiot!\Mom, Grandma is...\Episode 8 Run response:	Something I can do right now...
