context: I'm Gouda Takeo, a first-year in high school. response:	It's summer.
context: Are you all right?\Huh?\Are you worried?\I'm fine.\You always ask if I'm all right,\but I am.\Okay.\Yeah. response:	That's good to hear.
context: Huh?\Are you worried?\I'm fine.\You always ask if I'm all right,\but I am.\Okay.\Yeah.\That's good to hear. response:	Besides, I...
context: Are you worried?\I'm fine.\You always ask if I'm all right,\but I am.\Okay.\Yeah.\That's good to hear.\Besides, I... response:	I wouldn't mind if we had to stay out here for the rest of our lives.
context: I'm fine.\You always ask if I'm all right,\but I am.\Okay.\Yeah.\That's good to hear.\Besides, I...\I wouldn't mind if we had to stay out here for the rest of our lives. response:	I'd still be happy.
context: You always ask if I'm all right,\but I am.\Okay.\Yeah.\That's good to hear.\Besides, I...\I wouldn't mind if we had to stay out here for the rest of our lives.\I'd still be happy. response:	T-Takeo-kun?
context: but I am.\Okay.\Yeah.\That's good to hear.\Besides, I...\I wouldn't mind if we had to stay out here for the rest of our lives.\I'd still be happy.\T-Takeo-kun? response:	I'm seeing Takeo-kun asleep!
context: Okay.\Yeah.\That's good to hear.\Besides, I...\I wouldn't mind if we had to stay out here for the rest of our lives.\I'd still be happy.\T-Takeo-kun?\I'm seeing Takeo-kun asleep! response:	Sorry, Takeo-kun.
context: Yeah.\That's good to hear.\Besides, I...\I wouldn't mind if we had to stay out here for the rest of our lives.\I'd still be happy.\T-Takeo-kun?\I'm seeing Takeo-kun asleep!\Sorry, Takeo-kun. response:	You're all worn out because of me.
context: That's good to hear.\Besides, I...\I wouldn't mind if we had to stay out here for the rest of our lives.\I'd still be happy.\T-Takeo-kun?\I'm seeing Takeo-kun asleep!\Sorry, Takeo-kun.\You're all worn out because of me. response:	And here I am with my head in the clouds.
context: Besides, I...\I wouldn't mind if we had to stay out here for the rest of our lives.\I'd still be happy.\T-Takeo-kun?\I'm seeing Takeo-kun asleep!\Sorry, Takeo-kun.\You're all worn out because of me.\And here I am with my head in the clouds. response:	I like you a lot, Takeo-kun.
context: I wouldn't mind if we had to stay out here for the rest of our lives.\I'd still be happy.\T-Takeo-kun?\I'm seeing Takeo-kun asleep!\Sorry, Takeo-kun.\You're all worn out because of me.\And here I am with my head in the clouds.\I like you a lot, Takeo-kun. response:	I love you.
context: I'd still be happy.\T-Takeo-kun?\I'm seeing Takeo-kun asleep!\Sorry, Takeo-kun.\You're all worn out because of me.\And here I am with my head in the clouds.\I like you a lot, Takeo-kun.\I love you. response:	Good night.
context: T-Takeo-kun?\I'm seeing Takeo-kun asleep!\Sorry, Takeo-kun.\You're all worn out because of me.\And here I am with my head in the clouds.\I like you a lot, Takeo-kun.\I love you.\Good night. response:	Scratch Scratch Scratch
context: I'm seeing Takeo-kun asleep!\Sorry, Takeo-kun.\You're all worn out because of me.\And here I am with my head in the clouds.\I like you a lot, Takeo-kun.\I love you.\Good night.\Scratch Scratch Scratch response:	Yamato!
context: Sorry, Takeo-kun.\You're all worn out because of me.\And here I am with my head in the clouds.\I like you a lot, Takeo-kun.\I love you.\Good night.\Scratch Scratch Scratch\Yamato! response:	Is she okay?!
context: You're all worn out because of me.\And here I am with my head in the clouds.\I like you a lot, Takeo-kun.\I love you.\Good night.\Scratch Scratch Scratch\Yamato!\Is she okay?! response:	I'm seeing her asleep...
context: And here I am with my head in the clouds.\I like you a lot, Takeo-kun.\I love you.\Good night.\Scratch Scratch Scratch\Yamato!\Is she okay?!\I'm seeing her asleep... response:	Good morning, Takeo-kun.
context: I like you a lot, Takeo-kun.\I love you.\Good night.\Scratch Scratch Scratch\Yamato!\Is she okay?!\I'm seeing her asleep...\Good morning, Takeo-kun. response:	I love her.
context: I love you.\Good night.\Scratch Scratch Scratch\Yamato!\Is she okay?!\I'm seeing her asleep...\Good morning, Takeo-kun.\I love her. response:	Oh.
context: Good night.\Scratch Scratch Scratch\Yamato!\Is she okay?!\I'm seeing her asleep...\Good morning, Takeo-kun.\I love her.\Oh. response:	Takeo-kun...
context: Scratch Scratch Scratch\Yamato!\Is she okay?!\I'm seeing her asleep...\Good morning, Takeo-kun.\I love her.\Oh.\Takeo-kun... response:	Look at all the critters around you.
context: Yamato!\Is she okay?!\I'm seeing her asleep...\Good morning, Takeo-kun.\I love her.\Oh.\Takeo-kun...\Look at all the critters around you. response:	Huh?
context: Is she okay?!\I'm seeing her asleep...\Good morning, Takeo-kun.\I love her.\Oh.\Takeo-kun...\Look at all the critters around you.\Huh? response:	I can see why.
context: I'm seeing her asleep...\Good morning, Takeo-kun.\I love her.\Oh.\Takeo-kun...\Look at all the critters around you.\Huh?\I can see why. response:	When you're around Takeo-kun, you feel safer.
context: Good morning, Takeo-kun.\I love her.\Oh.\Takeo-kun...\Look at all the critters around you.\Huh?\I can see why.\When you're around Takeo-kun, you feel safer. response:	You do?
context: I love her.\Oh.\Takeo-kun...\Look at all the critters around you.\Huh?\I can see why.\When you're around Takeo-kun, you feel safer.\You do? response:	Yeah.
context: Oh.\Takeo-kun...\Look at all the critters around you.\Huh?\I can see why.\When you're around Takeo-kun, you feel safer.\You do?\Yeah. response:	Right?
context: Takeo-kun...\Look at all the critters around you.\Huh?\I can see why.\When you're around Takeo-kun, you feel safer.\You do?\Yeah.\Right? response:	I see.
context: Look at all the critters around you.\Huh?\I can see why.\When you're around Takeo-kun, you feel safer.\You do?\Yeah.\Right?\I see. response:	That's good to hear.
context: Huh?\I can see why.\When you're around Takeo-kun, you feel safer.\You do?\Yeah.\Right?\I see.\That's good to hear. response:	The road!
context: I can see why.\When you're around Takeo-kun, you feel safer.\You do?\Yeah.\Right?\I see.\That's good to hear.\The road! response:	Yay!
context: When you're around Takeo-kun, you feel safer.\You do?\Yeah.\Right?\I see.\That's good to hear.\The road!\Yay! response:	Are you hurt, Yamato?
context: You do?\Yeah.\Right?\I see.\That's good to hear.\The road!\Yay!\Are you hurt, Yamato? response:	No, I'm fine.
context: Yeah.\Right?\I see.\That's good to hear.\The road!\Yay!\Are you hurt, Yamato?\No, I'm fine. response:	Oh, I'm itchy.
context: Right?\I see.\That's good to hear.\The road!\Yay!\Are you hurt, Yamato?\No, I'm fine.\Oh, I'm itchy. response:	What?!
context: I see.\That's good to hear.\The road!\Yay!\Are you hurt, Yamato?\No, I'm fine.\Oh, I'm itchy.\What?! response:	I couldn't protect her from everything!
context: That's good to hear.\The road!\Yay!\Are you hurt, Yamato?\No, I'm fine.\Oh, I'm itchy.\What?!\I couldn't protect her from everything! response:	Oh, you've got a lot of bites!
context: The road!\Yay!\Are you hurt, Yamato?\No, I'm fine.\Oh, I'm itchy.\What?!\I couldn't protect her from everything!\Oh, you've got a lot of bites! response:	I've always been popular with mosquitoes.
context: Yay!\Are you hurt, Yamato?\No, I'm fine.\Oh, I'm itchy.\What?!\I couldn't protect her from everything!\Oh, you've got a lot of bites!\I've always been popular with mosquitoes. response:	Oh, I see.
context: Are you hurt, Yamato?\No, I'm fine.\Oh, I'm itchy.\What?!\I couldn't protect her from everything!\Oh, you've got a lot of bites!\I've always been popular with mosquitoes.\Oh, I see. response:	Well, I guess I managed to attract one,
context: No, I'm fine.\Oh, I'm itchy.\What?!\I couldn't protect her from everything!\Oh, you've got a lot of bites!\I've always been popular with mosquitoes.\Oh, I see.\Well, I guess I managed to attract one, response:	so I saved you from one bite, at least.
context: Oh, I'm itchy.\What?!\I couldn't protect her from everything!\Oh, you've got a lot of bites!\I've always been popular with mosquitoes.\Oh, I see.\Well, I guess I managed to attract one,\so I saved you from one bite, at least. response:	Yay.
context: What?!\I couldn't protect her from everything!\Oh, you've got a lot of bites!\I've always been popular with mosquitoes.\Oh, I see.\Well, I guess I managed to attract one,\so I saved you from one bite, at least.\Yay. response:	I'm glad.
context: I couldn't protect her from everything!\Oh, you've got a lot of bites!\I've always been popular with mosquitoes.\Oh, I see.\Well, I guess I managed to attract one,\so I saved you from one bite, at least.\Yay.\I'm glad. response:	Yamato...
context: Oh, you've got a lot of bites!\I've always been popular with mosquitoes.\Oh, I see.\Well, I guess I managed to attract one,\so I saved you from one bite, at least.\Yay.\I'm glad.\Yamato... response:	I love you.
context: I've always been popular with mosquitoes.\Oh, I see.\Well, I guess I managed to attract one,\so I saved you from one bite, at least.\Yay.\I'm glad.\Yamato...\I love you. response:	Oh, right.
context: Oh, I see.\Well, I guess I managed to attract one,\so I saved you from one bite, at least.\Yay.\I'm glad.\Yamato...\I love you.\Oh, right. response:	I should call home.
context: Well, I guess I managed to attract one,\so I saved you from one bite, at least.\Yay.\I'm glad.\Yamato...\I love you.\Oh, right.\I should call home. response:	New Message from Nanako
context: so I saved you from one bite, at least.\Yay.\I'm glad.\Yamato...\I love you.\Oh, right.\I should call home.\New Message from Nanako response:	Huh?
context: Yay.\I'm glad.\Yamato...\I love you.\Oh, right.\I should call home.\New Message from Nanako\Huh? response:	I have a text from Nanako.
context: I'm glad.\Yamato...\I love you.\Oh, right.\I should call home.\New Message from Nanako\Huh?\I have a text from Nanako. response:	Rinko!
context: Yamato...\I love you.\Oh, right.\I should call home.\New Message from Nanako\Huh?\I have a text from Nanako.\Rinko! response:	To: Yamato Rinko Subject: Rinko!!!
context: I love you.\Oh, right.\I should call home.\New Message from Nanako\Huh?\I have a text from Nanako.\Rinko!\To: Yamato Rinko Subject: Rinko!!! response:	I smoothed things over with your fam.
context: Oh, right.\I should call home.\New Message from Nanako\Huh?\I have a text from Nanako.\Rinko!\To: Yamato Rinko Subject: Rinko!!!\I smoothed things over with your fam. response:	Make sure you come over tomorrow and tell us everything.
context: I should call home.\New Message from Nanako\Huh?\I have a text from Nanako.\Rinko!\To: Yamato Rinko Subject: Rinko!!!\I smoothed things over with your fam.\Make sure you come over tomorrow and tell us everything. response:	We'll all be here waiting.
context: New Message from Nanako\Huh?\I have a text from Nanako.\Rinko!\To: Yamato Rinko Subject: Rinko!!!\I smoothed things over with your fam.\Make sure you come over tomorrow and tell us everything.\We'll all be here waiting. response:	Guess I'll go to Nanako's place.
context: Huh?\I have a text from Nanako.\Rinko!\To: Yamato Rinko Subject: Rinko!!!\I smoothed things over with your fam.\Make sure you come over tomorrow and tell us everything.\We'll all be here waiting.\Guess I'll go to Nanako's place. response:	Okay, tell her hi for me.
context: I have a text from Nanako.\Rinko!\To: Yamato Rinko Subject: Rinko!!!\I smoothed things over with your fam.\Make sure you come over tomorrow and tell us everything.\We'll all be here waiting.\Guess I'll go to Nanako's place.\Okay, tell her hi for me. response:	Okay.
context: Rinko!\To: Yamato Rinko Subject: Rinko!!!\I smoothed things over with your fam.\Make sure you come over tomorrow and tell us everything.\We'll all be here waiting.\Guess I'll go to Nanako's place.\Okay, tell her hi for me.\Okay. response:	What's wrong?
context: To: Yamato Rinko Subject: Rinko!!!\I smoothed things over with your fam.\Make sure you come over tomorrow and tell us everything.\We'll all be here waiting.\Guess I'll go to Nanako's place.\Okay, tell her hi for me.\Okay.\What's wrong? response:	Since we've spent so much time together,
context: I smoothed things over with your fam.\Make sure you come over tomorrow and tell us everything.\We'll all be here waiting.\Guess I'll go to Nanako's place.\Okay, tell her hi for me.\Okay.\What's wrong?\Since we've spent so much time together, response:	leaving you feels kind of lonely.
context: Make sure you come over tomorrow and tell us everything.\We'll all be here waiting.\Guess I'll go to Nanako's place.\Okay, tell her hi for me.\Okay.\What's wrong?\Since we've spent so much time together,\leaving you feels kind of lonely. response:	See you, Takeo-kun.
context: We'll all be here waiting.\Guess I'll go to Nanako's place.\Okay, tell her hi for me.\Okay.\What's wrong?\Since we've spent so much time together,\leaving you feels kind of lonely.\See you, Takeo-kun. response:	Yamato, I feel the same way.
context: Guess I'll go to Nanako's place.\Okay, tell her hi for me.\Okay.\What's wrong?\Since we've spent so much time together,\leaving you feels kind of lonely.\See you, Takeo-kun.\Yamato, I feel the same way. response:	Rinko?
context: Okay, tell her hi for me.\Okay.\What's wrong?\Since we've spent so much time together,\leaving you feels kind of lonely.\See you, Takeo-kun.\Yamato, I feel the same way.\Rinko? response:	Incoming Call Kurihara
context: Okay.\What's wrong?\Since we've spent so much time together,\leaving you feels kind of lonely.\See you, Takeo-kun.\Yamato, I feel the same way.\Rinko?\Incoming Call Kurihara response:	Damn.
context: What's wrong?\Since we've spent so much time together,\leaving you feels kind of lonely.\See you, Takeo-kun.\Yamato, I feel the same way.\Rinko?\Incoming Call Kurihara\Damn. response:	Hello?
context: Since we've spent so much time together,\leaving you feels kind of lonely.\See you, Takeo-kun.\Yamato, I feel the same way.\Rinko?\Incoming Call Kurihara\Damn.\Hello? response:	Oh, I couldn't get what you told me yesterday out of my mind.
context: leaving you feels kind of lonely.\See you, Takeo-kun.\Yamato, I feel the same way.\Rinko?\Incoming Call Kurihara\Damn.\Hello?\Oh, I couldn't get what you told me yesterday out of my mind. response:	Did something happen between Takeo and Rinko-chan?
context: See you, Takeo-kun.\Yamato, I feel the same way.\Rinko?\Incoming Call Kurihara\Damn.\Hello?\Oh, I couldn't get what you told me yesterday out of my mind.\Did something happen between Takeo and Rinko-chan? response:	Well, you could say that...
context: Yamato, I feel the same way.\Rinko?\Incoming Call Kurihara\Damn.\Hello?\Oh, I couldn't get what you told me yesterday out of my mind.\Did something happen between Takeo and Rinko-chan?\Well, you could say that... response:	Oh, here's Rinko!
context: Rinko?\Incoming Call Kurihara\Damn.\Hello?\Oh, I couldn't get what you told me yesterday out of my mind.\Did something happen between Takeo and Rinko-chan?\Well, you could say that...\Oh, here's Rinko! response:	What? Tell me!
context: Incoming Call Kurihara\Damn.\Hello?\Oh, I couldn't get what you told me yesterday out of my mind.\Did something happen between Takeo and Rinko-chan?\Well, you could say that...\Oh, here's Rinko!\What? Tell me! response:	We even pulled an all-nighter waiting for her!
context: Damn.\Hello?\Oh, I couldn't get what you told me yesterday out of my mind.\Did something happen between Takeo and Rinko-chan?\Well, you could say that...\Oh, here's Rinko!\What? Tell me!\We even pulled an all-nighter waiting for her! response:	So, how was it?
context: Hello?\Oh, I couldn't get what you told me yesterday out of my mind.\Did something happen between Takeo and Rinko-chan?\Well, you could say that...\Oh, here's Rinko!\What? Tell me!\We even pulled an all-nighter waiting for her!\So, how was it? response:	Huh?
context: Oh, I couldn't get what you told me yesterday out of my mind.\Did something happen between Takeo and Rinko-chan?\Well, you could say that...\Oh, here's Rinko!\What? Tell me!\We even pulled an all-nighter waiting for her!\So, how was it?\Huh? response:	Well... I thought I'd die.
context: Did something happen between Takeo and Rinko-chan?\Well, you could say that...\Oh, here's Rinko!\What? Tell me!\We even pulled an all-nighter waiting for her!\So, how was it?\Huh?\Well... I thought I'd die. response:	Fun Last Night
context: Well, you could say that...\Oh, here's Rinko!\What? Tell me!\We even pulled an all-nighter waiting for her!\So, how was it?\Huh?\Well... I thought I'd die.\Fun Last Night response:	Oh, my god! Perv!
context: Oh, here's Rinko!\What? Tell me!\We even pulled an all-nighter waiting for her!\So, how was it?\Huh?\Well... I thought I'd die.\Fun Last Night\Oh, my god! Perv! response:	Huh? What?
context: What? Tell me!\We even pulled an all-nighter waiting for her!\So, how was it?\Huh?\Well... I thought I'd die.\Fun Last Night\Oh, my god! Perv!\Huh? What? response:	Is it that sensitive?
context: We even pulled an all-nighter waiting for her!\So, how was it?\Huh?\Well... I thought I'd die.\Fun Last Night\Oh, my god! Perv!\Huh? What?\Is it that sensitive? response:	Don't worry, I'm
context: So, how was it?\Huh?\Well... I thought I'd die.\Fun Last Night\Oh, my god! Perv!\Huh? What?\Is it that sensitive?\Don't worry, I'm response:	So, details.
context: Huh?\Well... I thought I'd die.\Fun Last Night\Oh, my god! Perv!\Huh? What?\Is it that sensitive?\Don't worry, I'm\So, details. response:	Yeah, I was so nervous, I thought my heart would burst...
context: Well... I thought I'd die.\Fun Last Night\Oh, my god! Perv!\Huh? What?\Is it that sensitive?\Don't worry, I'm\So, details.\Yeah, I was so nervous, I thought my heart would burst... response:	It was my first time, too.
context: Fun Last Night\Oh, my god! Perv!\Huh? What?\Is it that sensitive?\Don't worry, I'm\So, details.\Yeah, I was so nervous, I thought my heart would burst...\It was my first time, too. response:	We were outside the whole time.
context: Oh, my god! Perv!\Huh? What?\Is it that sensitive?\Don't worry, I'm\So, details.\Yeah, I was so nervous, I thought my heart would burst...\It was my first time, too.\We were outside the whole time. response:	What? Outside?
context: Huh? What?\Is it that sensitive?\Don't worry, I'm\So, details.\Yeah, I was so nervous, I thought my heart would burst...\It was my first time, too.\We were outside the whole time.\What? Outside? response:	But Takeo-kun made me feel safe.
context: Is it that sensitive?\Don't worry, I'm\So, details.\Yeah, I was so nervous, I thought my heart would burst...\It was my first time, too.\We were outside the whole time.\What? Outside?\But Takeo-kun made me feel safe. response:	A boar showed up, too,
context: Don't worry, I'm\So, details.\Yeah, I was so nervous, I thought my heart would burst...\It was my first time, too.\We were outside the whole time.\What? Outside?\But Takeo-kun made me feel safe.\A boar showed up, too, response:	but I slept just fine.
context: So, details.\Yeah, I was so nervous, I thought my heart would burst...\It was my first time, too.\We were outside the whole time.\What? Outside?\But Takeo-kun made me feel safe.\A boar showed up, too,\but I slept just fine. response:	What?
context: Yeah, I was so nervous, I thought my heart would burst...\It was my first time, too.\We were outside the whole time.\What? Outside?\But Takeo-kun made me feel safe.\A boar showed up, too,\but I slept just fine.\What? response:	Wait, you're all muddy, Rinko.
context: It was my first time, too.\We were outside the whole time.\What? Outside?\But Takeo-kun made me feel safe.\A boar showed up, too,\but I slept just fine.\What?\Wait, you're all muddy, Rinko. response:	Did something happen for real?
context: We were outside the whole time.\What? Outside?\But Takeo-kun made me feel safe.\A boar showed up, too,\but I slept just fine.\What?\Wait, you're all muddy, Rinko.\Did something happen for real? response:	Incoming Call Kurihara
context: What? Outside?\But Takeo-kun made me feel safe.\A boar showed up, too,\but I slept just fine.\What?\Wait, you're all muddy, Rinko.\Did something happen for real?\Incoming Call Kurihara response:	We kind of got lost in the mountains.
context: But Takeo-kun made me feel safe.\A boar showed up, too,\but I slept just fine.\What?\Wait, you're all muddy, Rinko.\Did something happen for real?\Incoming Call Kurihara\We kind of got lost in the mountains. response:	Huh?
context: A boar showed up, too,\but I slept just fine.\What?\Wait, you're all muddy, Rinko.\Did something happen for real?\Incoming Call Kurihara\We kind of got lost in the mountains.\Huh? response:	Gouda!!
context: but I slept just fine.\What?\Wait, you're all muddy, Rinko.\Did something happen for real?\Incoming Call Kurihara\We kind of got lost in the mountains.\Huh?\Gouda!! response:	I'm back!
context: What?\Wait, you're all muddy, Rinko.\Did something happen for real?\Incoming Call Kurihara\We kind of got lost in the mountains.\Huh?\Gouda!!\I'm back! response:	Mom, how are you feeling?
context: Wait, you're all muddy, Rinko.\Did something happen for real?\Incoming Call Kurihara\We kind of got lost in the mountains.\Huh?\Gouda!!\I'm back!\Mom, how are you feeling? response:	I'm fine.
context: Did something happen for real?\Incoming Call Kurihara\We kind of got lost in the mountains.\Huh?\Gouda!!\I'm back!\Mom, how are you feeling?\I'm fine. response:	Where were you?
context: Incoming Call Kurihara\We kind of got lost in the mountains.\Huh?\Gouda!!\I'm back!\Mom, how are you feeling?\I'm fine.\Where were you? response:	The mountains.
context: We kind of got lost in the mountains.\Huh?\Gouda!!\I'm back!\Mom, how are you feeling?\I'm fine.\Where were you?\The mountains. response:	Oh, okay. Mountains, huh.
context: Huh?\Gouda!!\I'm back!\Mom, how are you feeling?\I'm fine.\Where were you?\The mountains.\Oh, okay. Mountains, huh. response:	Were you worried?
context: Gouda!!\I'm back!\Mom, how are you feeling?\I'm fine.\Where were you?\The mountains.\Oh, okay. Mountains, huh.\Were you worried? response:	Not really.
context: I'm back!\Mom, how are you feeling?\I'm fine.\Where were you?\The mountains.\Oh, okay. Mountains, huh.\Were you worried?\Not really. response:	Good, I'm glad to hear that.
context: Mom, how are you feeling?\I'm fine.\Where were you?\The mountains.\Oh, okay. Mountains, huh.\Were you worried?\Not really.\Good, I'm glad to hear that. response:	Received Message
context: I'm fine.\Where were you?\The mountains.\Oh, okay. Mountains, huh.\Were you worried?\Not really.\Good, I'm glad to hear that.\Received Message response:	Yamato Rinko Subject: Glad We're OK
context: Where were you?\The mountains.\Oh, okay. Mountains, huh.\Were you worried?\Not really.\Good, I'm glad to hear that.\Received Message\Yamato Rinko Subject: Glad We're OK response:	I'm glad we got back safely.
context: The mountains.\Oh, okay. Mountains, huh.\Were you worried?\Not really.\Good, I'm glad to hear that.\Received Message\Yamato Rinko Subject: Glad We're OK\I'm glad we got back safely. response:	You had to work really hard.
context: Oh, okay. Mountains, huh.\Were you worried?\Not really.\Good, I'm glad to hear that.\Received Message\Yamato Rinko Subject: Glad We're OK\I'm glad we got back safely.\You had to work really hard. response:	I'm sorry my head was in the clouds.
context: Were you worried?\Not really.\Good, I'm glad to hear that.\Received Message\Yamato Rinko Subject: Glad We're OK\I'm glad we got back safely.\You had to work really hard.\I'm sorry my head was in the clouds. response:	I was excited and nervous that I got to spend a lot of time with you,
context: Not really.\Good, I'm glad to hear that.\Received Message\Yamato Rinko Subject: Glad We're OK\I'm glad we got back safely.\You had to work really hard.\I'm sorry my head was in the clouds.\I was excited and nervous that I got to spend a lot of time with you, response:	Thank you, Takeo-kun.
context: Good, I'm glad to hear that.\Received Message\Yamato Rinko Subject: Glad We're OK\I'm glad we got back safely.\You had to work really hard.\I'm sorry my head was in the clouds.\I was excited and nervous that I got to spend a lot of time with you,\Thank you, Takeo-kun. response:	Suna!
context: Received Message\Yamato Rinko Subject: Glad We're OK\I'm glad we got back safely.\You had to work really hard.\I'm sorry my head was in the clouds.\I was excited and nervous that I got to spend a lot of time with you,\Thank you, Takeo-kun.\Suna! response:	Teach me about emoticons.
context: Yamato Rinko Subject: Glad We're OK\I'm glad we got back safely.\You had to work really hard.\I'm sorry my head was in the clouds.\I was excited and nervous that I got to spend a lot of time with you,\Thank you, Takeo-kun.\Suna!\Teach me about emoticons. response:	What?
context: I'm glad we got back safely.\You had to work really hard.\I'm sorry my head was in the clouds.\I was excited and nervous that I got to spend a lot of time with you,\Thank you, Takeo-kun.\Suna!\Teach me about emoticons.\What? response:	I can't express my feelings for Yamato in words.
context: You had to work really hard.\I'm sorry my head was in the clouds.\I was excited and nervous that I got to spend a lot of time with you,\Thank you, Takeo-kun.\Suna!\Teach me about emoticons.\What?\I can't express my feelings for Yamato in words. response:	Huh... What kind of feelings would they be?
context: I'm sorry my head was in the clouds.\I was excited and nervous that I got to spend a lot of time with you,\Thank you, Takeo-kun.\Suna!\Teach me about emoticons.\What?\I can't express my feelings for Yamato in words.\Huh... What kind of feelings would they be? response:	Like...
context: I was excited and nervous that I got to spend a lot of time with you,\Thank you, Takeo-kun.\Suna!\Teach me about emoticons.\What?\I can't express my feelings for Yamato in words.\Huh... What kind of feelings would they be?\Like... response:	Bam!
context: Thank you, Takeo-kun.\Suna!\Teach me about emoticons.\What?\I can't express my feelings for Yamato in words.\Huh... What kind of feelings would they be?\Like...\Bam! response:	Whomp!
context: Suna!\Teach me about emoticons.\What?\I can't express my feelings for Yamato in words.\Huh... What kind of feelings would they be?\Like...\Bam!\Whomp! response:	Whoosh!
context: Teach me about emoticons.\What?\I can't express my feelings for Yamato in words.\Huh... What kind of feelings would they be?\Like...\Bam!\Whomp!\Whoosh! response:	Dazzle!
context: What?\I can't express my feelings for Yamato in words.\Huh... What kind of feelings would they be?\Like...\Bam!\Whomp!\Whoosh!\Dazzle! response:	Oh, okay.
context: I can't express my feelings for Yamato in words.\Huh... What kind of feelings would they be?\Like...\Bam!\Whomp!\Whoosh!\Dazzle!\Oh, okay. response:	Wham, shazam, kabloom, and fwoosh!
context: Huh... What kind of feelings would they be?\Like...\Bam!\Whomp!\Whoosh!\Dazzle!\Oh, okay.\Wham, shazam, kabloom, and fwoosh! response:	Blam!
context: Like...\Bam!\Whomp!\Whoosh!\Dazzle!\Oh, okay.\Wham, shazam, kabloom, and fwoosh!\Blam! response:	Takeo, I don't think emoticons will help you there.
context: Bam!\Whomp!\Whoosh!\Dazzle!\Oh, okay.\Wham, shazam, kabloom, and fwoosh!\Blam!\Takeo, I don't think emoticons will help you there. response:	Wham!
context: Whomp!\Whoosh!\Dazzle!\Oh, okay.\Wham, shazam, kabloom, and fwoosh!\Blam!\Takeo, I don't think emoticons will help you there.\Wham! response:	Whoosh!
context: Whoosh!\Dazzle!\Oh, okay.\Wham, shazam, kabloom, and fwoosh!\Blam!\Takeo, I don't think emoticons will help you there.\Wham!\Whoosh! response:	Dazzle!
context: Dazzle!\Oh, okay.\Wham, shazam, kabloom, and fwoosh!\Blam!\Takeo, I don't think emoticons will help you there.\Wham!\Whoosh!\Dazzle! response:	Kabloom!
context: Oh, okay.\Wham, shazam, kabloom, and fwoosh!\Blam!\Takeo, I don't think emoticons will help you there.\Wham!\Whoosh!\Dazzle!\Kabloom! response:	Dun dun dun!
context: Wham, shazam, kabloom, and fwoosh!\Blam!\Takeo, I don't think emoticons will help you there.\Wham!\Whoosh!\Dazzle!\Kabloom!\Dun dun dun! response:	Received Message From: Takeo-kun To: Yamato Rinko Subject: RE: Glad We're OK Me, too.
context: Blam!\Takeo, I don't think emoticons will help you there.\Wham!\Whoosh!\Dazzle!\Kabloom!\Dun dun dun!\Received Message From: Takeo-kun To: Yamato Rinko Subject: RE: Glad We're OK Me, too. response:	I love you so much, Yamato.
context: Takeo, I don't think emoticons will help you there.\Wham!\Whoosh!\Dazzle!\Kabloom!\Dun dun dun!\Received Message From: Takeo-kun To: Yamato Rinko Subject: RE: Glad We're OK Me, too.\I love you so much, Yamato. response:	My Ocean
context: Wham!\Whoosh!\Dazzle!\Kabloom!\Dun dun dun!\Received Message From: Takeo-kun To: Yamato Rinko Subject: RE: Glad We're OK Me, too.\I love you so much, Yamato.\My Ocean response:	Next time: My Ocean.
