context: No matter how close we are as friends, response:	and no matter how often I commute to the studio to see them practice,
context: That's because now he's writing songs to suit the Trapnest style,\as a professional.\Yeah. You're very knowledgeable, Misato.\I'm impressed.\I'm impressed with Ren.\He not only creates songs to suit the band,\but the songs he does write become major hits.\But the reason Trapnest's songs are so popular response:	has more to do with Takumi's arrangements.
context: as a professional.\Yeah. You're very knowledgeable, Misato.\I'm impressed.\I'm impressed with Ren.\He not only creates songs to suit the band,\but the songs he does write become major hits.\But the reason Trapnest's songs are so popular\has more to do with Takumi's arrangements. response:	No matter what kind of song, if it falls in Takumi's hands,
context: Yeah. You're very knowledgeable, Misato.\I'm impressed.\I'm impressed with Ren.\He not only creates songs to suit the band,\but the songs he does write become major hits.\But the reason Trapnest's songs are so popular\has more to do with Takumi's arrangements.\No matter what kind of song, if it falls in Takumi's hands, response:	he can make it fit into Trapnest's style.
context: I'm impressed.\I'm impressed with Ren.\He not only creates songs to suit the band,\but the songs he does write become major hits.\But the reason Trapnest's songs are so popular\has more to do with Takumi's arrangements.\No matter what kind of song, if it falls in Takumi's hands,\he can make it fit into Trapnest's style. response:	You know, I've always wondered,
context: I'm impressed with Ren.\He not only creates songs to suit the band,\but the songs he does write become major hits.\But the reason Trapnest's songs are so popular\has more to do with Takumi's arrangements.\No matter what kind of song, if it falls in Takumi's hands,\he can make it fit into Trapnest's style.\You know, I've always wondered, response:	doesn't Ren mind having Takumi completely change the music he writes?
context: He not only creates songs to suit the band,\but the songs he does write become major hits.\But the reason Trapnest's songs are so popular\has more to do with Takumi's arrangements.\No matter what kind of song, if it falls in Takumi's hands,\he can make it fit into Trapnest's style.\You know, I've always wondered,\doesn't Ren mind having Takumi completely change the music he writes? response:	I mean, don't most bands arrange their songs together?
context: but the songs he does write become major hits.\But the reason Trapnest's songs are so popular\has more to do with Takumi's arrangements.\No matter what kind of song, if it falls in Takumi's hands,\he can make it fit into Trapnest's style.\You know, I've always wondered,\doesn't Ren mind having Takumi completely change the music he writes?\I mean, don't most bands arrange their songs together? response:	I wouldn't wanna be ordered to play in a certain way.
context: But the reason Trapnest's songs are so popular\has more to do with Takumi's arrangements.\No matter what kind of song, if it falls in Takumi's hands,\he can make it fit into Trapnest's style.\You know, I've always wondered,\doesn't Ren mind having Takumi completely change the music he writes?\I mean, don't most bands arrange their songs together?\I wouldn't wanna be ordered to play in a certain way. response:	He's listening to the opinions of others, it seems.
context: has more to do with Takumi's arrangements.\No matter what kind of song, if it falls in Takumi's hands,\he can make it fit into Trapnest's style.\You know, I've always wondered,\doesn't Ren mind having Takumi completely change the music he writes?\I mean, don't most bands arrange their songs together?\I wouldn't wanna be ordered to play in a certain way.\He's listening to the opinions of others, it seems. response:	He seems to trust his band members.
context: No matter what kind of song, if it falls in Takumi's hands,\he can make it fit into Trapnest's style.\You know, I've always wondered,\doesn't Ren mind having Takumi completely change the music he writes?\I mean, don't most bands arrange their songs together?\I wouldn't wanna be ordered to play in a certain way.\He's listening to the opinions of others, it seems.\He seems to trust his band members. response:	In the past, Takumi used to write the songs too,
context: he can make it fit into Trapnest's style.\You know, I've always wondered,\doesn't Ren mind having Takumi completely change the music he writes?\I mean, don't most bands arrange their songs together?\I wouldn't wanna be ordered to play in a certain way.\He's listening to the opinions of others, it seems.\He seems to trust his band members.\In the past, Takumi used to write the songs too, response:	so it was a complete one-man band.
context: You know, I've always wondered,\doesn't Ren mind having Takumi completely change the music he writes?\I mean, don't most bands arrange their songs together?\I wouldn't wanna be ordered to play in a certain way.\He's listening to the opinions of others, it seems.\He seems to trust his band members.\In the past, Takumi used to write the songs too,\so it was a complete one-man band. response:	And that led to clashes, which is why back in their amateur days,
context: doesn't Ren mind having Takumi completely change the music he writes?\I mean, don't most bands arrange their songs together?\I wouldn't wanna be ordered to play in a certain way.\He's listening to the opinions of others, it seems.\He seems to trust his band members.\In the past, Takumi used to write the songs too,\so it was a complete one-man band.\And that led to clashes, which is why back in their amateur days, response:	the band members kept changing, right?
context: I mean, don't most bands arrange their songs together?\I wouldn't wanna be ordered to play in a certain way.\He's listening to the opinions of others, it seems.\He seems to trust his band members.\In the past, Takumi used to write the songs too,\so it was a complete one-man band.\And that led to clashes, which is why back in their amateur days,\the band members kept changing, right? response:	Naoki is their second drummer and Ren is their fourth guitarist.
context: I wouldn't wanna be ordered to play in a certain way.\He's listening to the opinions of others, it seems.\He seems to trust his band members.\In the past, Takumi used to write the songs too,\so it was a complete one-man band.\And that led to clashes, which is why back in their amateur days,\the band members kept changing, right?\Naoki is their second drummer and Ren is their fourth guitarist. response:	You really know all the details.
context: He's listening to the opinions of others, it seems.\He seems to trust his band members.\In the past, Takumi used to write the songs too,\so it was a complete one-man band.\And that led to clashes, which is why back in their amateur days,\the band members kept changing, right?\Naoki is their second drummer and Ren is their fourth guitarist.\You really know all the details. response:	Anyone would be uncomfortable in such a band.
context: He seems to trust his band members.\In the past, Takumi used to write the songs too,\so it was a complete one-man band.\And that led to clashes, which is why back in their amateur days,\the band members kept changing, right?\Naoki is their second drummer and Ren is their fourth guitarist.\You really know all the details.\Anyone would be uncomfortable in such a band. response:	Of course, Ren knew all this when he joined Trapnest, right?
context: In the past, Takumi used to write the songs too,\so it was a complete one-man band.\And that led to clashes, which is why back in their amateur days,\the band members kept changing, right?\Naoki is their second drummer and Ren is their fourth guitarist.\You really know all the details.\Anyone would be uncomfortable in such a band.\Of course, Ren knew all this when he joined Trapnest, right? response:	Yeah. But Ren supported Takumi's beliefs from the start.
context: so it was a complete one-man band.\And that led to clashes, which is why back in their amateur days,\the band members kept changing, right?\Naoki is their second drummer and Ren is their fourth guitarist.\You really know all the details.\Anyone would be uncomfortable in such a band.\Of course, Ren knew all this when he joined Trapnest, right?\Yeah. But Ren supported Takumi's beliefs from the start. response:	What's this belief?
context: And that led to clashes, which is why back in their amateur days,\the band members kept changing, right?\Naoki is their second drummer and Ren is their fourth guitarist.\You really know all the details.\Anyone would be uncomfortable in such a band.\Of course, Ren knew all this when he joined Trapnest, right?\Yeah. But Ren supported Takumi's beliefs from the start.\What's this belief? response:	He'd say, I'm the only one who can create a sound
context: the band members kept changing, right?\Naoki is their second drummer and Ren is their fourth guitarist.\You really know all the details.\Anyone would be uncomfortable in such a band.\Of course, Ren knew all this when he joined Trapnest, right?\Yeah. But Ren supported Takumi's beliefs from the start.\What's this belief?\He'd say, I'm the only one who can create a sound response:	that would bring out the ultimate beauty in Reira's voice.
context: Naoki is their second drummer and Ren is their fourth guitarist.\You really know all the details.\Anyone would be uncomfortable in such a band.\Of course, Ren knew all this when he joined Trapnest, right?\Yeah. But Ren supported Takumi's beliefs from the start.\What's this belief?\He'd say, I'm the only one who can create a sound\that would bring out the ultimate beauty in Reira's voice. response:	Oh, wow. I just thought for a moment how cool that was.
context: You really know all the details.\Anyone would be uncomfortable in such a band.\Of course, Ren knew all this when he joined Trapnest, right?\Yeah. But Ren supported Takumi's beliefs from the start.\What's this belief?\He'd say, I'm the only one who can create a sound\that would bring out the ultimate beauty in Reira's voice.\Oh, wow. I just thought for a moment how cool that was. response:	Me too.
context: Anyone would be uncomfortable in such a band.\Of course, Ren knew all this when he joined Trapnest, right?\Yeah. But Ren supported Takumi's beliefs from the start.\What's this belief?\He'd say, I'm the only one who can create a sound\that would bring out the ultimate beauty in Reira's voice.\Oh, wow. I just thought for a moment how cool that was.\Me too. response:	But didn't it make you jealous,
context: Of course, Ren knew all this when he joined Trapnest, right?\Yeah. But Ren supported Takumi's beliefs from the start.\What's this belief?\He'd say, I'm the only one who can create a sound\that would bring out the ultimate beauty in Reira's voice.\Oh, wow. I just thought for a moment how cool that was.\Me too.\But didn't it make you jealous, response:	having him talk about your girlfriend like that?
context: Yeah. But Ren supported Takumi's beliefs from the start.\What's this belief?\He'd say, I'm the only one who can create a sound\that would bring out the ultimate beauty in Reira's voice.\Oh, wow. I just thought for a moment how cool that was.\Me too.\But didn't it make you jealous,\having him talk about your girlfriend like that? response:	How do you know about that?
context: What's this belief?\He'd say, I'm the only one who can create a sound\that would bring out the ultimate beauty in Reira's voice.\Oh, wow. I just thought for a moment how cool that was.\Me too.\But didn't it make you jealous,\having him talk about your girlfriend like that?\How do you know about that? response:	I believe there's very little data I don't know
context: He'd say, I'm the only one who can create a sound\that would bring out the ultimate beauty in Reira's voice.\Oh, wow. I just thought for a moment how cool that was.\Me too.\But didn't it make you jealous,\having him talk about your girlfriend like that?\How do you know about that?\I believe there's very little data I don't know response:	when it comes to anything to do with local bands from my hometown.
context: that would bring out the ultimate beauty in Reira's voice.\Oh, wow. I just thought for a moment how cool that was.\Me too.\But didn't it make you jealous,\having him talk about your girlfriend like that?\How do you know about that?\I believe there's very little data I don't know\when it comes to anything to do with local bands from my hometown. response:	I will stop at nothing until I know everything. It is my belief!
context: Oh, wow. I just thought for a moment how cool that was.\Me too.\But didn't it make you jealous,\having him talk about your girlfriend like that?\How do you know about that?\I believe there's very little data I don't know\when it comes to anything to do with local bands from my hometown.\I will stop at nothing until I know everything. It is my belief! response:	Is that so? But we split up a long time ago.
context: Me too.\But didn't it make you jealous,\having him talk about your girlfriend like that?\How do you know about that?\I believe there's very little data I don't know\when it comes to anything to do with local bands from my hometown.\I will stop at nothing until I know everything. It is my belief!\Is that so? But we split up a long time ago. response:	I know!
context: But didn't it make you jealous,\having him talk about your girlfriend like that?\How do you know about that?\I believe there's very little data I don't know\when it comes to anything to do with local bands from my hometown.\I will stop at nothing until I know everything. It is my belief!\Is that so? But we split up a long time ago.\I know! response:	I had no idea.
context: having him talk about your girlfriend like that?\How do you know about that?\I believe there's very little data I don't know\when it comes to anything to do with local bands from my hometown.\I will stop at nothing until I know everything. It is my belief!\Is that so? But we split up a long time ago.\I know!\I had no idea. response:	Jealous? Should I be feeling jealous?
context: How do you know about that?\I believe there's very little data I don't know\when it comes to anything to do with local bands from my hometown.\I will stop at nothing until I know everything. It is my belief!\Is that so? But we split up a long time ago.\I know!\I had no idea.\Jealous? Should I be feeling jealous? response:	That's a strong bond we're talking about here.
context: I believe there's very little data I don't know\when it comes to anything to do with local bands from my hometown.\I will stop at nothing until I know everything. It is my belief!\Is that so? But we split up a long time ago.\I know!\I had no idea.\Jealous? Should I be feeling jealous?\That's a strong bond we're talking about here. response:	They could even be a couple. It's Takumi we're talking about.
context: when it comes to anything to do with local bands from my hometown.\I will stop at nothing until I know everything. It is my belief!\Is that so? But we split up a long time ago.\I know!\I had no idea.\Jealous? Should I be feeling jealous?\That's a strong bond we're talking about here.\They could even be a couple. It's Takumi we're talking about. response:	This is no time to be thinking how cool that sounded.
context: I will stop at nothing until I know everything. It is my belief!\Is that so? But we split up a long time ago.\I know!\I had no idea.\Jealous? Should I be feeling jealous?\That's a strong bond we're talking about here.\They could even be a couple. It's Takumi we're talking about.\This is no time to be thinking how cool that sounded. response:	We kinda got off subject.
context: Is that so? But we split up a long time ago.\I know!\I had no idea.\Jealous? Should I be feeling jealous?\That's a strong bond we're talking about here.\They could even be a couple. It's Takumi we're talking about.\This is no time to be thinking how cool that sounded.\We kinda got off subject. response:	The issue here is not about Trapnest.
context: I know!\I had no idea.\Jealous? Should I be feeling jealous?\That's a strong bond we're talking about here.\They could even be a couple. It's Takumi we're talking about.\This is no time to be thinking how cool that sounded.\We kinda got off subject.\The issue here is not about Trapnest. response:	It's about the future of our band.
context: I had no idea.\Jealous? Should I be feeling jealous?\That's a strong bond we're talking about here.\They could even be a couple. It's Takumi we're talking about.\This is no time to be thinking how cool that sounded.\We kinda got off subject.\The issue here is not about Trapnest.\It's about the future of our band. response:	Oh, that's right. I'm sorry.
context: Jealous? Should I be feeling jealous?\That's a strong bond we're talking about here.\They could even be a couple. It's Takumi we're talking about.\This is no time to be thinking how cool that sounded.\We kinda got off subject.\The issue here is not about Trapnest.\It's about the future of our band.\Oh, that's right. I'm sorry. response:	Geez. You always change the subject like that
context: That's a strong bond we're talking about here.\They could even be a couple. It's Takumi we're talking about.\This is no time to be thinking how cool that sounded.\We kinda got off subject.\The issue here is not about Trapnest.\It's about the future of our band.\Oh, that's right. I'm sorry.\Geez. You always change the subject like that response:	whenever it turns to you.
context: They could even be a couple. It's Takumi we're talking about.\This is no time to be thinking how cool that sounded.\We kinda got off subject.\The issue here is not about Trapnest.\It's about the future of our band.\Oh, that's right. I'm sorry.\Geez. You always change the subject like that\whenever it turns to you. response:	I feel like there's something wrong with me for not being jealous.
context: This is no time to be thinking how cool that sounded.\We kinda got off subject.\The issue here is not about Trapnest.\It's about the future of our band.\Oh, that's right. I'm sorry.\Geez. You always change the subject like that\whenever it turns to you.\I feel like there's something wrong with me for not being jealous. response:	But we shouldn't be making any decisions about the band
context: We kinda got off subject.\The issue here is not about Trapnest.\It's about the future of our band.\Oh, that's right. I'm sorry.\Geez. You always change the subject like that\whenever it turns to you.\I feel like there's something wrong with me for not being jealous.\But we shouldn't be making any decisions about the band response:	without Nana present.
context: The issue here is not about Trapnest.\It's about the future of our band.\Oh, that's right. I'm sorry.\Geez. You always change the subject like that\whenever it turns to you.\I feel like there's something wrong with me for not being jealous.\But we shouldn't be making any decisions about the band\without Nana present. response:	That's right.
context: It's about the future of our band.\Oh, that's right. I'm sorry.\Geez. You always change the subject like that\whenever it turns to you.\I feel like there's something wrong with me for not being jealous.\But we shouldn't be making any decisions about the band\without Nana present.\That's right. response:	So, what time is Nana returning?
context: Oh, that's right. I'm sorry.\Geez. You always change the subject like that\whenever it turns to you.\I feel like there's something wrong with me for not being jealous.\But we shouldn't be making any decisions about the band\without Nana present.\That's right.\So, what time is Nana returning? response:	Oh, she said she'd be working, so she might not make it.
context: Geez. You always change the subject like that\whenever it turns to you.\I feel like there's something wrong with me for not being jealous.\But we shouldn't be making any decisions about the band\without Nana present.\That's right.\So, what time is Nana returning?\Oh, she said she'd be working, so she might not make it. response:	No way. Nana isn't coming?
context: whenever it turns to you.\I feel like there's something wrong with me for not being jealous.\But we shouldn't be making any decisions about the band\without Nana present.\That's right.\So, what time is Nana returning?\Oh, she said she'd be working, so she might not make it.\No way. Nana isn't coming? response:	I haven't seen her for days.
context: I feel like there's something wrong with me for not being jealous.\But we shouldn't be making any decisions about the band\without Nana present.\That's right.\So, what time is Nana returning?\Oh, she said she'd be working, so she might not make it.\No way. Nana isn't coming?\I haven't seen her for days. response:	Well, I did see her on stage yesterday, but that's one-sided.
context: But we shouldn't be making any decisions about the band\without Nana present.\That's right.\So, what time is Nana returning?\Oh, she said she'd be working, so she might not make it.\No way. Nana isn't coming?\I haven't seen her for days.\Well, I did see her on stage yesterday, but that's one-sided. response:	Hey, Hachi. We're outta wine. Will you go buy some?
context: without Nana present.\That's right.\So, what time is Nana returning?\Oh, she said she'd be working, so she might not make it.\No way. Nana isn't coming?\I haven't seen her for days.\Well, I did see her on stage yesterday, but that's one-sided.\Hey, Hachi. We're outta wine. Will you go buy some? response:	But it's not safe alone, so take Nobu with you.
context: That's right.\So, what time is Nana returning?\Oh, she said she'd be working, so she might not make it.\No way. Nana isn't coming?\I haven't seen her for days.\Well, I did see her on stage yesterday, but that's one-sided.\Hey, Hachi. We're outta wine. Will you go buy some?\But it's not safe alone, so take Nobu with you. response:	You go buy it yourself.
context: So, what time is Nana returning?\Oh, she said she'd be working, so she might not make it.\No way. Nana isn't coming?\I haven't seen her for days.\Well, I did see her on stage yesterday, but that's one-sided.\Hey, Hachi. We're outta wine. Will you go buy some?\But it's not safe alone, so take Nobu with you.\You go buy it yourself. response:	But I'm obviously under the age limit, so they won't sell me any.
context: Oh, she said she'd be working, so she might not make it.\No way. Nana isn't coming?\I haven't seen her for days.\Well, I did see her on stage yesterday, but that's one-sided.\Hey, Hachi. We're outta wine. Will you go buy some?\But it's not safe alone, so take Nobu with you.\You go buy it yourself.\But I'm obviously under the age limit, so they won't sell me any. response:	It's okay, Hachi, I'll go alone.
context: No way. Nana isn't coming?\I haven't seen her for days.\Well, I did see her on stage yesterday, but that's one-sided.\Hey, Hachi. We're outta wine. Will you go buy some?\But it's not safe alone, so take Nobu with you.\You go buy it yourself.\But I'm obviously under the age limit, so they won't sell me any.\It's okay, Hachi, I'll go alone. response:	Or rather, don't come.
context: I haven't seen her for days.\Well, I did see her on stage yesterday, but that's one-sided.\Hey, Hachi. We're outta wine. Will you go buy some?\But it's not safe alone, so take Nobu with you.\You go buy it yourself.\But I'm obviously under the age limit, so they won't sell me any.\It's okay, Hachi, I'll go alone.\Or rather, don't come. response:	That's no good.
context: Well, I did see her on stage yesterday, but that's one-sided.\Hey, Hachi. We're outta wine. Will you go buy some?\But it's not safe alone, so take Nobu with you.\You go buy it yourself.\But I'm obviously under the age limit, so they won't sell me any.\It's okay, Hachi, I'll go alone.\Or rather, don't come.\That's no good. response:	You're borderline whether or not you look old enough.
context: Hey, Hachi. We're outta wine. Will you go buy some?\But it's not safe alone, so take Nobu with you.\You go buy it yourself.\But I'm obviously under the age limit, so they won't sell me any.\It's okay, Hachi, I'll go alone.\Or rather, don't come.\That's no good.\You're borderline whether or not you look old enough. response:	But Hachi's looking sexier lately, so she'll be okay.
context: But it's not safe alone, so take Nobu with you.\You go buy it yourself.\But I'm obviously under the age limit, so they won't sell me any.\It's okay, Hachi, I'll go alone.\Or rather, don't come.\That's no good.\You're borderline whether or not you look old enough.\But Hachi's looking sexier lately, so she'll be okay. response:	Sexier?
context: You go buy it yourself.\But I'm obviously under the age limit, so they won't sell me any.\It's okay, Hachi, I'll go alone.\Or rather, don't come.\That's no good.\You're borderline whether or not you look old enough.\But Hachi's looking sexier lately, so she'll be okay.\Sexier? response:	So go.
context: But I'm obviously under the age limit, so they won't sell me any.\It's okay, Hachi, I'll go alone.\Or rather, don't come.\That's no good.\You're borderline whether or not you look old enough.\But Hachi's looking sexier lately, so she'll be okay.\Sexier?\So go. response:	What am I gonna do?
context: It's okay, Hachi, I'll go alone.\Or rather, don't come.\That's no good.\You're borderline whether or not you look old enough.\But Hachi's looking sexier lately, so she'll be okay.\Sexier?\So go.\What am I gonna do? response:	If it's just the two of us, I don't know what I'm gonna say.
context: Or rather, don't come.\That's no good.\You're borderline whether or not you look old enough.\But Hachi's looking sexier lately, so she'll be okay.\Sexier?\So go.\What am I gonna do?\If it's just the two of us, I don't know what I'm gonna say. response:	You know...
context: That's no good.\You're borderline whether or not you look old enough.\But Hachi's looking sexier lately, so she'll be okay.\Sexier?\So go.\What am I gonna do?\If it's just the two of us, I don't know what I'm gonna say.\You know... response:	There's no point in me coming with you if you're gonna keep such a distance.
context: You're borderline whether or not you look old enough.\But Hachi's looking sexier lately, so she'll be okay.\Sexier?\So go.\What am I gonna do?\If it's just the two of us, I don't know what I'm gonna say.\You know...\There's no point in me coming with you if you're gonna keep such a distance. response:	At least walk in front of me. I'd worry if I can't see you.
context: But Hachi's looking sexier lately, so she'll be okay.\Sexier?\So go.\What am I gonna do?\If it's just the two of us, I don't know what I'm gonna say.\You know...\There's no point in me coming with you if you're gonna keep such a distance.\At least walk in front of me. I'd worry if I can't see you. response:	Right.
context: Sexier?\So go.\What am I gonna do?\If it's just the two of us, I don't know what I'm gonna say.\You know...\There's no point in me coming with you if you're gonna keep such a distance.\At least walk in front of me. I'd worry if I can't see you.\Right. response:	Actually, I'd rather not walk in front!
context: So go.\What am I gonna do?\If it's just the two of us, I don't know what I'm gonna say.\You know...\There's no point in me coming with you if you're gonna keep such a distance.\At least walk in front of me. I'd worry if I can't see you.\Right.\Actually, I'd rather not walk in front! response:	I feel uneasy about someone walking behind me!
context: What am I gonna do?\If it's just the two of us, I don't know what I'm gonna say.\You know...\There's no point in me coming with you if you're gonna keep such a distance.\At least walk in front of me. I'd worry if I can't see you.\Right.\Actually, I'd rather not walk in front!\I feel uneasy about someone walking behind me! response:	Oh, sorry... but...
context: If it's just the two of us, I don't know what I'm gonna say.\You know...\There's no point in me coming with you if you're gonna keep such a distance.\At least walk in front of me. I'd worry if I can't see you.\Right.\Actually, I'd rather not walk in front!\I feel uneasy about someone walking behind me!\Oh, sorry... but... response:	Is it okay if I walk next to you?
context: You know...\There's no point in me coming with you if you're gonna keep such a distance.\At least walk in front of me. I'd worry if I can't see you.\Right.\Actually, I'd rather not walk in front!\I feel uneasy about someone walking behind me!\Oh, sorry... but...\Is it okay if I walk next to you? response:	I'd rather you do that, please.
context: There's no point in me coming with you if you're gonna keep such a distance.\At least walk in front of me. I'd worry if I can't see you.\Right.\Actually, I'd rather not walk in front!\I feel uneasy about someone walking behind me!\Oh, sorry... but...\Is it okay if I walk next to you?\I'd rather you do that, please. response:	Thank you!
context: At least walk in front of me. I'd worry if I can't see you.\Right.\Actually, I'd rather not walk in front!\I feel uneasy about someone walking behind me!\Oh, sorry... but...\Is it okay if I walk next to you?\I'd rather you do that, please.\Thank you! response:	F-For what?
context: Right.\Actually, I'd rather not walk in front!\I feel uneasy about someone walking behind me!\Oh, sorry... but...\Is it okay if I walk next to you?\I'd rather you do that, please.\Thank you!\F-For what? response:	I thought you would never talk to me again.
context: Actually, I'd rather not walk in front!\I feel uneasy about someone walking behind me!\Oh, sorry... but...\Is it okay if I walk next to you?\I'd rather you do that, please.\Thank you!\F-For what?\I thought you would never talk to me again. response:	So I'm glad that you came tonight.
context: I feel uneasy about someone walking behind me!\Oh, sorry... but...\Is it okay if I walk next to you?\I'd rather you do that, please.\Thank you!\F-For what?\I thought you would never talk to me again.\So I'm glad that you came tonight. response:	What are you talking about?
context: Oh, sorry... but...\Is it okay if I walk next to you?\I'd rather you do that, please.\Thank you!\F-For what?\I thought you would never talk to me again.\So I'm glad that you came tonight.\What are you talking about? response:	That's nonsense. Of course I'll talk to you.
context: Is it okay if I walk next to you?\I'd rather you do that, please.\Thank you!\F-For what?\I thought you would never talk to me again.\So I'm glad that you came tonight.\What are you talking about?\That's nonsense. Of course I'll talk to you. response:	I'm sorry.
context: I'd rather you do that, please.\Thank you!\F-For what?\I thought you would never talk to me again.\So I'm glad that you came tonight.\What are you talking about?\That's nonsense. Of course I'll talk to you.\I'm sorry. response:	Why are you apologizing? You've done nothing wrong.
context: Thank you!\F-For what?\I thought you would never talk to me again.\So I'm glad that you came tonight.\What are you talking about?\That's nonsense. Of course I'll talk to you.\I'm sorry.\Why are you apologizing? You've done nothing wrong. response:	That's not true. The truth is, I'm a really horrible woman!
context: F-For what?\I thought you would never talk to me again.\So I'm glad that you came tonight.\What are you talking about?\That's nonsense. Of course I'll talk to you.\I'm sorry.\Why are you apologizing? You've done nothing wrong.\That's not true. The truth is, I'm a really horrible woman! response:	What do you mean horrible?
context: I thought you would never talk to me again.\So I'm glad that you came tonight.\What are you talking about?\That's nonsense. Of course I'll talk to you.\I'm sorry.\Why are you apologizing? You've done nothing wrong.\That's not true. The truth is, I'm a really horrible woman!\What do you mean horrible? response:	How horrible?
context: So I'm glad that you came tonight.\What are you talking about?\That's nonsense. Of course I'll talk to you.\I'm sorry.\Why are you apologizing? You've done nothing wrong.\That's not true. The truth is, I'm a really horrible woman!\What do you mean horrible?\How horrible? response:	But it's true. You're idealizing me for sure, Nobu!
context: What are you talking about?\That's nonsense. Of course I'll talk to you.\I'm sorry.\Why are you apologizing? You've done nothing wrong.\That's not true. The truth is, I'm a really horrible woman!\What do you mean horrible?\How horrible?\But it's true. You're idealizing me for sure, Nobu! response:	Otherwise, there's no way you'd fall in love with me!
context: That's nonsense. Of course I'll talk to you.\I'm sorry.\Why are you apologizing? You've done nothing wrong.\That's not true. The truth is, I'm a really horrible woman!\What do you mean horrible?\How horrible?\But it's true. You're idealizing me for sure, Nobu!\Otherwise, there's no way you'd fall in love with me! response:	Aren't you idealizing the creature known as woman a bit too much?
context: I'm sorry.\Why are you apologizing? You've done nothing wrong.\That's not true. The truth is, I'm a really horrible woman!\What do you mean horrible?\How horrible?\But it's true. You're idealizing me for sure, Nobu!\Otherwise, there's no way you'd fall in love with me!\Aren't you idealizing the creature known as woman a bit too much? response:	If you knew the real me, you'd be disappointed.
context: Why are you apologizing? You've done nothing wrong.\That's not true. The truth is, I'm a really horrible woman!\What do you mean horrible?\How horrible?\But it's true. You're idealizing me for sure, Nobu!\Otherwise, there's no way you'd fall in love with me!\Aren't you idealizing the creature known as woman a bit too much?\If you knew the real me, you'd be disappointed. response:	Don't you think that maybe
context: That's not true. The truth is, I'm a really horrible woman!\What do you mean horrible?\How horrible?\But it's true. You're idealizing me for sure, Nobu!\Otherwise, there's no way you'd fall in love with me!\Aren't you idealizing the creature known as woman a bit too much?\If you knew the real me, you'd be disappointed.\Don't you think that maybe response:	she was lonely from her break up with her boyfriend?
context: What do you mean horrible?\How horrible?\But it's true. You're idealizing me for sure, Nobu!\Otherwise, there's no way you'd fall in love with me!\Aren't you idealizing the creature known as woman a bit too much?\If you knew the real me, you'd be disappointed.\Don't you think that maybe\she was lonely from her break up with her boyfriend? response:	Then, disappoint me.
context: How horrible?\But it's true. You're idealizing me for sure, Nobu!\Otherwise, there's no way you'd fall in love with me!\Aren't you idealizing the creature known as woman a bit too much?\If you knew the real me, you'd be disappointed.\Don't you think that maybe\she was lonely from her break up with her boyfriend?\Then, disappoint me. response:	I want you to.
context: But it's true. You're idealizing me for sure, Nobu!\Otherwise, there's no way you'd fall in love with me!\Aren't you idealizing the creature known as woman a bit too much?\If you knew the real me, you'd be disappointed.\Don't you think that maybe\she was lonely from her break up with her boyfriend?\Then, disappoint me.\I want you to. response:	Because I don't know what else I can do to stop loving you.
context: Otherwise, there's no way you'd fall in love with me!\Aren't you idealizing the creature known as woman a bit too much?\If you knew the real me, you'd be disappointed.\Don't you think that maybe\she was lonely from her break up with her boyfriend?\Then, disappoint me.\I want you to.\Because I don't know what else I can do to stop loving you. response:	Hey, Yasu, tell me the rest of the story we were talking about earlier.
context: Aren't you idealizing the creature known as woman a bit too much?\If you knew the real me, you'd be disappointed.\Don't you think that maybe\she was lonely from her break up with her boyfriend?\Then, disappoint me.\I want you to.\Because I don't know what else I can do to stop loving you.\Hey, Yasu, tell me the rest of the story we were talking about earlier. response:	So that I can learn from you.
context: If you knew the real me, you'd be disappointed.\Don't you think that maybe\she was lonely from her break up with her boyfriend?\Then, disappoint me.\I want you to.\Because I don't know what else I can do to stop loving you.\Hey, Yasu, tell me the rest of the story we were talking about earlier.\So that I can learn from you. response:	What about?
context: Don't you think that maybe\she was lonely from her break up with her boyfriend?\Then, disappoint me.\I want you to.\Because I don't know what else I can do to stop loving you.\Hey, Yasu, tell me the rest of the story we were talking about earlier.\So that I can learn from you.\What about? response:	About Reira.
context: she was lonely from her break up with her boyfriend?\Then, disappoint me.\I want you to.\Because I don't know what else I can do to stop loving you.\Hey, Yasu, tell me the rest of the story we were talking about earlier.\So that I can learn from you.\What about?\About Reira. response:	Didn't you get jealous after hearing Takumi's beliefs?
context: Then, disappoint me.\I want you to.\Because I don't know what else I can do to stop loving you.\Hey, Yasu, tell me the rest of the story we were talking about earlier.\So that I can learn from you.\What about?\About Reira.\Didn't you get jealous after hearing Takumi's beliefs? response:	Yeah, I got jealous. Real jealous.
context: I want you to.\Because I don't know what else I can do to stop loving you.\Hey, Yasu, tell me the rest of the story we were talking about earlier.\So that I can learn from you.\What about?\About Reira.\Didn't you get jealous after hearing Takumi's beliefs?\Yeah, I got jealous. Real jealous. response:	Really?
context: Because I don't know what else I can do to stop loving you.\Hey, Yasu, tell me the rest of the story we were talking about earlier.\So that I can learn from you.\What about?\About Reira.\Didn't you get jealous after hearing Takumi's beliefs?\Yeah, I got jealous. Real jealous.\Really? response:	I was jealous of his talent,
context: Hey, Yasu, tell me the rest of the story we were talking about earlier.\So that I can learn from you.\What about?\About Reira.\Didn't you get jealous after hearing Takumi's beliefs?\Yeah, I got jealous. Real jealous.\Really?\I was jealous of his talent, response:	his confidence and his reckless personality.
