context: Galactic Calendar, Year 211 response:	Year 0 of the Third Galactic Empire.
context: What am I gonna do?\What am I gonna do...?\Let's get you nice and dean, young lady!\You filthy thing!\My, what lovely hair you have!\I think you'd look good in a short cut!\Your scalp doesn't itch anywhere, does it?\I can't... response:	I promised her...
context: What am I gonna do...?\Let's get you nice and dean, young lady!\You filthy thing!\My, what lovely hair you have!\I think you'd look good in a short cut!\Your scalp doesn't itch anywhere, does it?\I can't...\I promised her... response:	That we'd
context: Let's get you nice and dean, young lady!\You filthy thing!\My, what lovely hair you have!\I think you'd look good in a short cut!\Your scalp doesn't itch anywhere, does it?\I can't...\I promised her...\That we'd response:	Come shopping with me at the supermarket!
context: You filthy thing!\My, what lovely hair you have!\I think you'd look good in a short cut!\Your scalp doesn't itch anywhere, does it?\I can't...\I promised her...\That we'd\Come shopping with me at the supermarket! response:	SUPERMARKET!
context: My, what lovely hair you have!\I think you'd look good in a short cut!\Your scalp doesn't itch anywhere, does it?\I can't...\I promised her...\That we'd\Come shopping with me at the supermarket!\SUPERMARKET! response:	I'm out! I made it out!
context: I think you'd look good in a short cut!\Your scalp doesn't itch anywhere, does it?\I can't...\I promised her...\That we'd\Come shopping with me at the supermarket!\SUPERMARKET!\I'm out! I made it out! response:	Shoko! Shoko-chan!
context: Your scalp doesn't itch anywhere, does it?\I can't...\I promised her...\That we'd\Come shopping with me at the supermarket!\SUPERMARKET!\I'm out! I made it out!\Shoko! Shoko-chan! response:	Shoko! Shoko-chan!
context: I can't...\I promised her...\That we'd\Come shopping with me at the supermarket!\SUPERMARKET!\I'm out! I made it out!\Shoko! Shoko-chan!\Shoko! Shoko-chan! response:	Shoko...
context: I promised her...\That we'd\Come shopping with me at the supermarket!\SUPERMARKET!\I'm out! I made it out!\Shoko! Shoko-chan!\Shoko! Shoko-chan!\Shoko... response:	Shoko-chan...
context: That we'd\Come shopping with me at the supermarket!\SUPERMARKET!\I'm out! I made it out!\Shoko! Shoko-chan!\Shoko! Shoko-chan!\Shoko...\Shoko-chan... response:	Shoko-chan!
context: Come shopping with me at the supermarket!\SUPERMARKET!\I'm out! I made it out!\Shoko! Shoko-chan!\Shoko! Shoko-chan!\Shoko...\Shoko-chan...\Shoko-chan! response:	Shoko-chan!
context: SUPERMARKET!\I'm out! I made it out!\Shoko! Shoko-chan!\Shoko! Shoko-chan!\Shoko...\Shoko-chan...\Shoko-chan!\Shoko-chan! response:	Already did...
context: I'm out! I made it out!\Shoko! Shoko-chan!\Shoko! Shoko-chan!\Shoko...\Shoko-chan...\Shoko-chan!\Shoko-chan!\Already did... response:	Shoko... Shoko-chan...
context: Shoko! Shoko-chan!\Shoko! Shoko-chan!\Shoko...\Shoko-chan...\Shoko-chan!\Shoko-chan!\Already did...\Shoko... Shoko-chan... response:	She's alive!
context: Shoko! Shoko-chan!\Shoko...\Shoko-chan...\Shoko-chan!\Shoko-chan!\Already did...\Shoko... Shoko-chan...\She's alive! response:	It's not stopping!
context: Shoko...\Shoko-chan...\Shoko-chan!\Shoko-chan!\Already did...\Shoko... Shoko-chan...\She's alive!\It's not stopping! response:	HACKING CODE...
context: Shoko-chan...\Shoko-chan!\Shoko-chan!\Already did...\Shoko... Shoko-chan...\She's alive!\It's not stopping!\HACKING CODE... response:	My weapon...
context: Shoko-chan!\Shoko-chan!\Already did...\Shoko... Shoko-chan...\She's alive!\It's not stopping!\HACKING CODE...\My weapon... response:	What the?
context: Shoko-chan!\Already did...\Shoko... Shoko-chan...\She's alive!\It's not stopping!\HACKING CODE...\My weapon...\What the? response:	I'm being hacked?
context: Already did...\Shoko... Shoko-chan...\She's alive!\It's not stopping!\HACKING CODE...\My weapon...\What the?\I'm being hacked? response:	What in the world?!
context: Shoko... Shoko-chan...\She's alive!\It's not stopping!\HACKING CODE...\My weapon...\What the?\I'm being hacked?\What in the world?! response:	Unit 6!
context: She's alive!\It's not stopping!\HACKING CODE...\My weapon...\What the?\I'm being hacked?\What in the world?!\Unit 6! response:	Who's piloting it?
context: It's not stopping!\HACKING CODE...\My weapon...\What the?\I'm being hacked?\What in the world?!\Unit 6!\Who's piloting it? response:	H-neun! Launch your Waffe squadron!
context: HACKING CODE...\My weapon...\What the?\I'm being hacked?\What in the world?!\Unit 6!\Who's piloting it?\H-neun! Launch your Waffe squadron! response:	Bad guys get out!
context: My weapon...\What the?\I'm being hacked?\What in the world?!\Unit 6!\Who's piloting it?\H-neun! Launch your Waffe squadron!\Bad guys get out! response:	H-neun! What are you playing at?!
context: What the?\I'm being hacked?\What in the world?!\Unit 6!\Who's piloting it?\H-neun! Launch your Waffe squadron!\Bad guys get out!\H-neun! What are you playing at?! response:	It wasn't me! The machines did it on their own!
context: I'm being hacked?\What in the world?!\Unit 6!\Who's piloting it?\H-neun! Launch your Waffe squadron!\Bad guys get out!\H-neun! What are you playing at?!\It wasn't me! The machines did it on their own! response:	This is bad!
context: What in the world?!\Unit 6!\Who's piloting it?\H-neun! Launch your Waffe squadron!\Bad guys get out!\H-neun! What are you playing at?!\It wasn't me! The machines did it on their own!\This is bad! response:	Shoot, Haruto!
context: Unit 6!\Who's piloting it?\H-neun! Launch your Waffe squadron!\Bad guys get out!\H-neun! What are you playing at?!\It wasn't me! The machines did it on their own!\This is bad!\Shoot, Haruto! response:	Him? But he's not in a mecha!
context: Who's piloting it?\H-neun! Launch your Waffe squadron!\Bad guys get out!\H-neun! What are you playing at?!\It wasn't me! The machines did it on their own!\This is bad!\Shoot, Haruto!\Him? But he's not in a mecha! response:	Shoot him! He's too dangerous!
context: H-neun! Launch your Waffe squadron!\Bad guys get out!\H-neun! What are you playing at?!\It wasn't me! The machines did it on their own!\This is bad!\Shoot, Haruto!\Him? But he's not in a mecha!\Shoot him! He's too dangerous! response:	I'll... I'll protect our country!
context: Bad guys get out!\H-neun! What are you playing at?!\It wasn't me! The machines did it on their own!\This is bad!\Shoot, Haruto!\Him? But he's not in a mecha!\Shoot him! He's too dangerous!\I'll... I'll protect our country! response:	We all promised that we'd never give up, not to the bitter end!
context: H-neun! What are you playing at?!\It wasn't me! The machines did it on their own!\This is bad!\Shoot, Haruto!\Him? But he's not in a mecha!\Shoot him! He's too dangerous!\I'll... I'll protect our country!\We all promised that we'd never give up, not to the bitter end! response:	Cain, not even you could have survived that.
context: It wasn't me! The machines did it on their own!\This is bad!\Shoot, Haruto!\Him? But he's not in a mecha!\Shoot him! He's too dangerous!\I'll... I'll protect our country!\We all promised that we'd never give up, not to the bitter end!\Cain, not even you could have survived that. response:	He dodged it?!
context: This is bad!\Shoot, Haruto!\Him? But he's not in a mecha!\Shoot him! He's too dangerous!\I'll... I'll protect our country!\We all promised that we'd never give up, not to the bitter end!\Cain, not even you could have survived that.\He dodged it?! response:	Impossible!
context: Shoot, Haruto!\Him? But he's not in a mecha!\Shoot him! He's too dangerous!\I'll... I'll protect our country!\We all promised that we'd never give up, not to the bitter end!\Cain, not even you could have survived that.\He dodged it?!\Impossible! response:	Didn't I make it clear?
context: Him? But he's not in a mecha!\Shoot him! He's too dangerous!\I'll... I'll protect our country!\We all promised that we'd never give up, not to the bitter end!\Cain, not even you could have survived that.\He dodged it?!\Impossible!\Didn't I make it clear? response:	You can't beat me.
context: Shoot him! He's too dangerous!\I'll... I'll protect our country!\We all promised that we'd never give up, not to the bitter end!\Cain, not even you could have survived that.\He dodged it?!\Impossible!\Didn't I make it clear?\You can't beat me. response:	That's
context: I'll... I'll protect our country!\We all promised that we'd never give up, not to the bitter end!\Cain, not even you could have survived that.\He dodged it?!\Impossible!\Didn't I make it clear?\You can't beat me.\That's response:	What are you...?
context: We all promised that we'd never give up, not to the bitter end!\Cain, not even you could have survived that.\He dodged it?!\Impossible!\Didn't I make it clear?\You can't beat me.\That's\What are you...? response:	I've won, Cain. That unit doesn't work.
context: Cain, not even you could have survived that.\He dodged it?!\Impossible!\Didn't I make it clear?\You can't beat me.\That's\What are you...?\I've won, Cain. That unit doesn't work. response:	I'm sure this brings back nothing but bad memories for you, but I need you, Ploo.
context: He dodged it?!\Impossible!\Didn't I make it clear?\You can't beat me.\That's\What are you...?\I've won, Cain. That unit doesn't work.\I'm sure this brings back nothing but bad memories for you, but I need you, Ploo. response:	Curse those humans...
context: Impossible!\Didn't I make it clear?\You can't beat me.\That's\What are you...?\I've won, Cain. That unit doesn't work.\I'm sure this brings back nothing but bad memories for you, but I need you, Ploo.\Curse those humans... response:	What?
context: Didn't I make it clear?\You can't beat me.\That's\What are you...?\I've won, Cain. That unit doesn't work.\I'm sure this brings back nothing but bad memories for you, but I need you, Ploo.\Curse those humans...\What? response:	It talked?!
context: You can't beat me.\That's\What are you...?\I've won, Cain. That unit doesn't work.\I'm sure this brings back nothing but bad memories for you, but I need you, Ploo.\Curse those humans...\What?\It talked?! response:	Bro... Bro
context: That's\What are you...?\I've won, Cain. That unit doesn't work.\I'm sure this brings back nothing but bad memories for you, but I need you, Ploo.\Curse those humans...\What?\It talked?!\Bro... Bro response:	Big brother!
context: What are you...?\I've won, Cain. That unit doesn't work.\I'm sure this brings back nothing but bad memories for you, but I need you, Ploo.\Curse those humans...\What?\It talked?!\Bro... Bro\Big brother! response:	It's taken human form!
context: I've won, Cain. That unit doesn't work.\I'm sure this brings back nothing but bad memories for you, but I need you, Ploo.\Curse those humans...\What?\It talked?!\Bro... Bro\Big brother!\It's taken human form! response:	Unit 2 was broken...
context: I'm sure this brings back nothing but bad memories for you, but I need you, Ploo.\Curse those humans...\What?\It talked?!\Bro... Bro\Big brother!\It's taken human form!\Unit 2 was broken... response:	Only modified students can operate the Valvraves.
context: Curse those humans...\What?\It talked?!\Bro... Bro\Big brother!\It's taken human form!\Unit 2 was broken...\Only modified students can operate the Valvraves. response:	He can use the Valvrave's light without a Valvrave.
context: What?\It talked?!\Bro... Bro\Big brother!\It's taken human form!\Unit 2 was broken...\Only modified students can operate the Valvraves.\He can use the Valvrave's light without a Valvrave. response:	All these phenomena suggest that he is not human!
context: It talked?!\Bro... Bro\Big brother!\It's taken human form!\Unit 2 was broken...\Only modified students can operate the Valvraves.\He can use the Valvrave's light without a Valvrave.\All these phenomena suggest that he is not human! response:	Cain, what in the world are you?
context: Bro... Bro\Big brother!\It's taken human form!\Unit 2 was broken...\Only modified students can operate the Valvraves.\He can use the Valvrave's light without a Valvrave.\All these phenomena suggest that he is not human!\Cain, what in the world are you? response:	We are the Magius.
context: Big brother!\It's taken human form!\Unit 2 was broken...\Only modified students can operate the Valvraves.\He can use the Valvrave's light without a Valvrave.\All these phenomena suggest that he is not human!\Cain, what in the world are you?\We are the Magius. response:	Those who dwell in the shadows of the world.
context: It's taken human form!\Unit 2 was broken...\Only modified students can operate the Valvraves.\He can use the Valvrave's light without a Valvrave.\All these phenomena suggest that he is not human!\Cain, what in the world are you?\We are the Magius.\Those who dwell in the shadows of the world. response:	I'll die? Me?
context: Unit 2 was broken...\Only modified students can operate the Valvraves.\He can use the Valvrave's light without a Valvrave.\All these phenomena suggest that he is not human!\Cain, what in the world are you?\We are the Magius.\Those who dwell in the shadows of the world.\I'll die? Me? response:	Select the next pilot.
context: Only modified students can operate the Valvraves.\He can use the Valvrave's light without a Valvrave.\All these phenomena suggest that he is not human!\Cain, what in the world are you?\We are the Magius.\Those who dwell in the shadows of the world.\I'll die? Me?\Select the next pilot. response:	You worry about me.
context: He can use the Valvrave's light without a Valvrave.\All these phenomena suggest that he is not human!\Cain, what in the world are you?\We are the Magius.\Those who dwell in the shadows of the world.\I'll die? Me?\Select the next pilot.\You worry about me. response:	Haruto! Save me!
context: All these phenomena suggest that he is not human!\Cain, what in the world are you?\We are the Magius.\Those who dwell in the shadows of the world.\I'll die? Me?\Select the next pilot.\You worry about me.\Haruto! Save me! response:	L-elf, damn you!
context: Cain, what in the world are you?\We are the Magius.\Those who dwell in the shadows of the world.\I'll die? Me?\Select the next pilot.\You worry about me.\Haruto! Save me!\L-elf, damn you! response:	It was Tokishima Haruto who proposed human experimentation.
context: We are the Magius.\Those who dwell in the shadows of the world.\I'll die? Me?\Select the next pilot.\You worry about me.\Haruto! Save me!\L-elf, damn you!\It was Tokishima Haruto who proposed human experimentation. response:	I'll end this curse with us!
