context: There are likely no Titans among the 104th Cadet Corps recruits! response:	Multiple Titans from the south!
context: Who'da thunk it was you?\You fought off a Titan for that girl, didn't ya?\Sasha... Yer all I hoped for.\Father...\I'm home.\Conny, wait!\Calm down!\There could be Titans anywhere! response:	Get back here, Conny!
context: You fought off a Titan for that girl, didn't ya?\Sasha... Yer all I hoped for.\Father...\I'm home.\Conny, wait!\Calm down!\There could be Titans anywhere!\Get back here, Conny! response:	This can't be...
context: Sasha... Yer all I hoped for.\Father...\I'm home.\Conny, wait!\Calm down!\There could be Titans anywhere!\Get back here, Conny!\This can't be... response:	Anyone?! Is anyone there?!
context: Father...\I'm home.\Conny, wait!\Calm down!\There could be Titans anywhere!\Get back here, Conny!\This can't be...\Anyone?! Is anyone there?! response:	It's me! Conny!
context: I'm home.\Conny, wait!\Calm down!\There could be Titans anywhere!\Get back here, Conny!\This can't be...\Anyone?! Is anyone there?!\It's me! Conny! response:	I came back!
context: Conny, wait!\Calm down!\There could be Titans anywhere!\Get back here, Conny!\This can't be...\Anyone?! Is anyone there?!\It's me! Conny!\I came back! response:	My house!
context: Calm down!\There could be Titans anywhere!\Get back here, Conny!\This can't be...\Anyone?! Is anyone there?!\It's me! Conny!\I came back!\My house! response:	Dad...
context: There could be Titans anywhere!\Get back here, Conny!\This can't be...\Anyone?! Is anyone there?!\It's me! Conny!\I came back!\My house!\Dad... response:	Mom...
context: Get back here, Conny!\This can't be...\Anyone?! Is anyone there?!\It's me! Conny!\I came back!\My house!\Dad...\Mom... response:	Sunny... Martin!
context: This can't be...\Anyone?! Is anyone there?!\It's me! Conny!\I came back!\My house!\Dad...\Mom...\Sunny... Martin! response:	Please be okay!
context: Anyone?! Is anyone there?!\It's me! Conny!\I came back!\My house!\Dad...\Mom...\Sunny... Martin!\Please be okay! response:	Conny! Get back!
context: It's me! Conny!\I came back!\My house!\Dad...\Mom...\Sunny... Martin!\Please be okay!\Conny! Get back! response:	It's... my house.
context: I came back!\My house!\Dad...\Mom...\Sunny... Martin!\Please be okay!\Conny! Get back!\It's... my house. response:	My...
context: My house!\Dad...\Mom...\Sunny... Martin!\Please be okay!\Conny! Get back!\It's... my house.\My... response:	Conny...
context: Dad...\Mom...\Sunny... Martin!\Please be okay!\Conny! Get back!\It's... my house.\My...\Conny... response:	Fall back, you two!
context: Mom...\Sunny... Martin!\Please be okay!\Conny! Get back!\It's... my house.\My...\Conny...\Fall back, you two! response:	I'll scout the area!
context: Sunny... Martin!\Please be okay!\Conny! Get back!\It's... my house.\My...\Conny...\Fall back, you two!\I'll scout the area! response:	Wait, it's...
context: Please be okay!\Conny! Get back!\It's... my house.\My...\Conny...\Fall back, you two!\I'll scout the area!\Wait, it's... response:	It can't move?
context: Conny! Get back!\It's... my house.\My...\Conny...\Fall back, you two!\I'll scout the area!\Wait, it's...\It can't move? response:	Not with those legs...
context: It's... my house.\My...\Conny...\Fall back, you two!\I'll scout the area!\Wait, it's...\It can't move?\Not with those legs... response:	Th-Then... How?
context: My...\Conny...\Fall back, you two!\I'll scout the area!\Wait, it's...\It can't move?\Not with those legs...\Th-Then... How? response:	How did it even get here?!
context: Conny...\Fall back, you two!\I'll scout the area!\Wait, it's...\It can't move?\Not with those legs...\Th-Then... How?\How did it even get here?! response:	I'm sure my family is safe and sound.
context: Fall back, you two!\I'll scout the area!\Wait, it's...\It can't move?\Not with those legs...\Th-Then... How?\How did it even get here?!\I'm sure my family is safe and sound. response:	Shaking off the dread of Titans appearing in his hometown,
context: I'll scout the area!\Wait, it's...\It can't move?\Not with those legs...\Th-Then... How?\How did it even get here?!\I'm sure my family is safe and sound.\Shaking off the dread of Titans appearing in his hometown, response:	Conny once again departs.
context: Wait, it's...\It can't move?\Not with those legs...\Th-Then... How?\How did it even get here?!\I'm sure my family is safe and sound.\Shaking off the dread of Titans appearing in his hometown,\Conny once again departs. response:	Battle erupts across the land while the mystery of the Titans remains.
context: It can't move?\Not with those legs...\Th-Then... How?\How did it even get here?!\I'm sure my family is safe and sound.\Shaking off the dread of Titans appearing in his hometown,\Conny once again departs.\Battle erupts across the land while the mystery of the Titans remains. response:	As the plight worsens,
context: Not with those legs...\Th-Then... How?\How did it even get here?!\I'm sure my family is safe and sound.\Shaking off the dread of Titans appearing in his hometown,\Conny once again departs.\Battle erupts across the land while the mystery of the Titans remains.\As the plight worsens, response:	Eren and the others heading for Ehrmich District
context: Th-Then... How?\How did it even get here?!\I'm sure my family is safe and sound.\Shaking off the dread of Titans appearing in his hometown,\Conny once again departs.\Battle erupts across the land while the mystery of the Titans remains.\As the plight worsens,\Eren and the others heading for Ehrmich District response:	receive a clue that might reveal the truth.
context: How did it even get here?!\I'm sure my family is safe and sound.\Shaking off the dread of Titans appearing in his hometown,\Conny once again departs.\Battle erupts across the land while the mystery of the Titans remains.\As the plight worsens,\Eren and the others heading for Ehrmich District\receive a clue that might reveal the truth. response:	Southwestward
context: I'm sure my family is safe and sound.\Shaking off the dread of Titans appearing in his hometown,\Conny once again departs.\Battle erupts across the land while the mystery of the Titans remains.\As the plight worsens,\Eren and the others heading for Ehrmich District\receive a clue that might reveal the truth.\Southwestward response:	Next episode: Southwestward.
