context: It's the battle part of day four of the Grand Magic Games! response:	Due to the disqualification of Raven Tail,
context: Times change.\The span of seven years has allowed us to develop into true Dragon Slayers.\The time of the old generation is over.\Yeah.\Uh-oh! They're not even twitching!\It's been a breathless seesaw battle,\but has Fairy Tail finally run out of steam?!\Natsu... response:	Gajeel...
context: The span of seven years has allowed us to develop into true Dragon Slayers.\The time of the old generation is over.\Yeah.\Uh-oh! They're not even twitching!\It's been a breathless seesaw battle,\but has Fairy Tail finally run out of steam?!\Natsu...\Gajeel... response:	What's wrong?! Get up!
context: The time of the old generation is over.\Yeah.\Uh-oh! They're not even twitching!\It's been a breathless seesaw battle,\but has Fairy Tail finally run out of steam?!\Natsu...\Gajeel...\What's wrong?! Get up! response:	You're stronger than this!
context: Yeah.\Uh-oh! They're not even twitching!\It's been a breathless seesaw battle,\but has Fairy Tail finally run out of steam?!\Natsu...\Gajeel...\What's wrong?! Get up!\You're stronger than this! response:	Even Natsu and Gajeel can't beat them?!
context: Uh-oh! They're not even twitching!\It's been a breathless seesaw battle,\but has Fairy Tail finally run out of steam?!\Natsu...\Gajeel...\What's wrong?! Get up!\You're stronger than this!\Even Natsu and Gajeel can't beat them?! response:	Damn, this sticks in my craw...
context: It's been a breathless seesaw battle,\but has Fairy Tail finally run out of steam?!\Natsu...\Gajeel...\What's wrong?! Get up!\You're stronger than this!\Even Natsu and Gajeel can't beat them?!\Damn, this sticks in my craw... response:	Natsu-nii! Stand up!
context: but has Fairy Tail finally run out of steam?!\Natsu...\Gajeel...\What's wrong?! Get up!\You're stronger than this!\Even Natsu and Gajeel can't beat them?!\Damn, this sticks in my craw...\Natsu-nii! Stand up! response:	But you really were strong,
context: Natsu...\Gajeel...\What's wrong?! Get up!\You're stronger than this!\Even Natsu and Gajeel can't beat them?!\Damn, this sticks in my craw...\Natsu-nii! Stand up!\But you really were strong, response:	Natsu-san... Gajeel-san...
context: Gajeel...\What's wrong?! Get up!\You're stronger than this!\Even Natsu and Gajeel can't beat them?!\Damn, this sticks in my craw...\Natsu-nii! Stand up!\But you really were strong,\Natsu-san... Gajeel-san... response:	Are both of them down?!
context: What's wrong?! Get up!\You're stronger than this!\Even Natsu and Gajeel can't beat them?!\Damn, this sticks in my craw...\Natsu-nii! Stand up!\But you really were strong,\Natsu-san... Gajeel-san...\Are both of them down?! response:	Stand up, Natsu! Gajeel!
context: You're stronger than this!\Even Natsu and Gajeel can't beat them?!\Damn, this sticks in my craw...\Natsu-nii! Stand up!\But you really were strong,\Natsu-san... Gajeel-san...\Are both of them down?!\Stand up, Natsu! Gajeel! response:	You can hear our voices, can't you?!
context: Even Natsu and Gajeel can't beat them?!\Damn, this sticks in my craw...\Natsu-nii! Stand up!\But you really were strong,\Natsu-san... Gajeel-san...\Are both of them down?!\Stand up, Natsu! Gajeel!\You can hear our voices, can't you?! response:	The guild's thoughts are one!
context: Damn, this sticks in my craw...\Natsu-nii! Stand up!\But you really were strong,\Natsu-san... Gajeel-san...\Are both of them down?!\Stand up, Natsu! Gajeel!\You can hear our voices, can't you?!\The guild's thoughts are one! response:	They're one with you!
context: Natsu-nii! Stand up!\But you really were strong,\Natsu-san... Gajeel-san...\Are both of them down?!\Stand up, Natsu! Gajeel!\You can hear our voices, can't you?!\The guild's thoughts are one!\They're one with you! response:	Sting!
context: But you really were strong,\Natsu-san... Gajeel-san...\Are both of them down?!\Stand up, Natsu! Gajeel!\You can hear our voices, can't you?!\The guild's thoughts are one!\They're one with you!\Sting! response:	Yeah... Sorry I took Gajeel-san down, too.
context: Natsu-san... Gajeel-san...\Are both of them down?!\Stand up, Natsu! Gajeel!\You can hear our voices, can't you?!\The guild's thoughts are one!\They're one with you!\Sting!\Yeah... Sorry I took Gajeel-san down, too. response:	But, y'know...
context: Are both of them down?!\Stand up, Natsu! Gajeel!\You can hear our voices, can't you?!\The guild's thoughts are one!\They're one with you!\Sting!\Yeah... Sorry I took Gajeel-san down, too.\But, y'know... response:	Don't be too hasty...
context: Stand up, Natsu! Gajeel!\You can hear our voices, can't you?!\The guild's thoughts are one!\They're one with you!\Sting!\Yeah... Sorry I took Gajeel-san down, too.\But, y'know...\Don't be too hasty... response:	Fairy Tail!
context: You can hear our voices, can't you?!\The guild's thoughts are one!\They're one with you!\Sting!\Yeah... Sorry I took Gajeel-san down, too.\But, y'know...\Don't be too hasty...\Fairy Tail! response:	Lucy-san! It feels like...
context: The guild's thoughts are one!\They're one with you!\Sting!\Yeah... Sorry I took Gajeel-san down, too.\But, y'know...\Don't be too hasty...\Fairy Tail!\Lucy-san! It feels like... response:	That's them, alright. No matter how many times they fall, they always get up again.
context: They're one with you!\Sting!\Yeah... Sorry I took Gajeel-san down, too.\But, y'know...\Don't be too hasty...\Fairy Tail!\Lucy-san! It feels like...\That's them, alright. No matter how many times they fall, they always get up again. response:	I don't know if that should be called tough or stubborn...
context: Sting!\Yeah... Sorry I took Gajeel-san down, too.\But, y'know...\Don't be too hasty...\Fairy Tail!\Lucy-san! It feels like...\That's them, alright. No matter how many times they fall, they always get up again.\I don't know if that should be called tough or stubborn... response:	Awesome! I knew they could do it!
context: Yeah... Sorry I took Gajeel-san down, too.\But, y'know...\Don't be too hasty...\Fairy Tail!\Lucy-san! It feels like...\That's them, alright. No matter how many times they fall, they always get up again.\I don't know if that should be called tough or stubborn...\Awesome! I knew they could do it! response:	Look at that, Levy! Our voices reached'em!
context: But, y'know...\Don't be too hasty...\Fairy Tail!\Lucy-san! It feels like...\That's them, alright. No matter how many times they fall, they always get up again.\I don't know if that should be called tough or stubborn...\Awesome! I knew they could do it!\Look at that, Levy! Our voices reached'em! response:	They're standing!
context: Don't be too hasty...\Fairy Tail!\Lucy-san! It feels like...\That's them, alright. No matter how many times they fall, they always get up again.\I don't know if that should be called tough or stubborn...\Awesome! I knew they could do it!\Look at that, Levy! Our voices reached'em!\They're standing! response:	We'd be in a bind if they weren't.
context: Fairy Tail!\Lucy-san! It feels like...\That's them, alright. No matter how many times they fall, they always get up again.\I don't know if that should be called tough or stubborn...\Awesome! I knew they could do it!\Look at that, Levy! Our voices reached'em!\They're standing!\We'd be in a bind if they weren't. response:	Ow...
context: Lucy-san! It feels like...\That's them, alright. No matter how many times they fall, they always get up again.\I don't know if that should be called tough or stubborn...\Awesome! I knew they could do it!\Look at that, Levy! Our voices reached'em!\They're standing!\We'd be in a bind if they weren't.\Ow... response:	You're better than I thought.
context: That's them, alright. No matter how many times they fall, they always get up again.\I don't know if that should be called tough or stubborn...\Awesome! I knew they could do it!\Look at that, Levy! Our voices reached'em!\They're standing!\We'd be in a bind if they weren't.\Ow...\You're better than I thought. response:	Incredibly, they're alive and kicking!
context: I don't know if that should be called tough or stubborn...\Awesome! I knew they could do it!\Look at that, Levy! Our voices reached'em!\They're standing!\We'd be in a bind if they weren't.\Ow...\You're better than I thought.\Incredibly, they're alive and kicking! response:	But I saw through all of your habits.
context: Awesome! I knew they could do it!\Look at that, Levy! Our voices reached'em!\They're standing!\We'd be in a bind if they weren't.\Ow...\You're better than I thought.\Incredibly, they're alive and kicking!\But I saw through all of your habits. response:	What?!
context: Look at that, Levy! Our voices reached'em!\They're standing!\We'd be in a bind if they weren't.\Ow...\You're better than I thought.\Incredibly, they're alive and kicking!\But I saw through all of your habits.\What?! response:	No way... It can't be...
context: They're standing!\We'd be in a bind if they weren't.\Ow...\You're better than I thought.\Incredibly, they're alive and kicking!\But I saw through all of your habits.\What?!\No way... It can't be... response:	This is a bad dream...
context: We'd be in a bind if they weren't.\Ow...\You're better than I thought.\Incredibly, they're alive and kicking!\But I saw through all of your habits.\What?!\No way... It can't be...\This is a bad dream... response:	Fro thinks so, too...
context: Ow...\You're better than I thought.\Incredibly, they're alive and kicking!\But I saw through all of your habits.\What?!\No way... It can't be...\This is a bad dream...\Fro thinks so, too... response:	Your attack timing... Your posture when you defend...
context: You're better than I thought.\Incredibly, they're alive and kicking!\But I saw through all of your habits.\What?!\No way... It can't be...\This is a bad dream...\Fro thinks so, too...\Your attack timing... Your posture when you defend... response:	Even the rhythm of your breathing...
context: Incredibly, they're alive and kicking!\But I saw through all of your habits.\What?!\No way... It can't be...\This is a bad dream...\Fro thinks so, too...\Your attack timing... Your posture when you defend...\Even the rhythm of your breathing... response:	What?!
context: But I saw through all of your habits.\What?!\No way... It can't be...\This is a bad dream...\Fro thinks so, too...\Your attack timing... Your posture when you defend...\Even the rhythm of your breathing...\What?! response:	That's ridiculous! I'm using Dragon Force!
context: What?!\No way... It can't be...\This is a bad dream...\Fro thinks so, too...\Your attack timing... Your posture when you defend...\Even the rhythm of your breathing...\What?!\That's ridiculous! I'm using Dragon Force! response:	Yeah, and it packs a wallop! My body aches all over, dammit!
context: No way... It can't be...\This is a bad dream...\Fro thinks so, too...\Your attack timing... Your posture when you defend...\Even the rhythm of your breathing...\What?!\That's ridiculous! I'm using Dragon Force!\Yeah, and it packs a wallop! My body aches all over, dammit! response:	Don't get rattled, Sting. He's bluffing.
context: This is a bad dream...\Fro thinks so, too...\Your attack timing... Your posture when you defend...\Even the rhythm of your breathing...\What?!\That's ridiculous! I'm using Dragon Force!\Yeah, and it packs a wallop! My body aches all over, dammit!\Don't get rattled, Sting. He's bluffing. response:	Bluffin', you say?
context: Fro thinks so, too...\Your attack timing... Your posture when you defend...\Even the rhythm of your breathing...\What?!\That's ridiculous! I'm using Dragon Force!\Yeah, and it packs a wallop! My body aches all over, dammit!\Don't get rattled, Sting. He's bluffing.\Bluffin', you say? response:	You really think the Salamander can pull off a trick that requires usin' his brain?!
context: Your attack timing... Your posture when you defend...\Even the rhythm of your breathing...\What?!\That's ridiculous! I'm using Dragon Force!\Yeah, and it packs a wallop! My body aches all over, dammit!\Don't get rattled, Sting. He's bluffing.\Bluffin', you say?\You really think the Salamander can pull off a trick that requires usin' his brain?! response:	Oh, shut up!
context: Even the rhythm of your breathing...\What?!\That's ridiculous! I'm using Dragon Force!\Yeah, and it packs a wallop! My body aches all over, dammit!\Don't get rattled, Sting. He's bluffing.\Bluffin', you say?\You really think the Salamander can pull off a trick that requires usin' his brain?!\Oh, shut up! response:	For example, when you attack, your pivot foot is facing 11:00.
context: What?!\That's ridiculous! I'm using Dragon Force!\Yeah, and it packs a wallop! My body aches all over, dammit!\Don't get rattled, Sting. He's bluffing.\Bluffin', you say?\You really think the Salamander can pull off a trick that requires usin' his brain?!\Oh, shut up!\For example, when you attack, your pivot foot is facing 11:00. response:	Nah, it's 10:00.
context: That's ridiculous! I'm using Dragon Force!\Yeah, and it packs a wallop! My body aches all over, dammit!\Don't get rattled, Sting. He's bluffing.\Bluffin', you say?\You really think the Salamander can pull off a trick that requires usin' his brain?!\Oh, shut up!\For example, when you attack, your pivot foot is facing 11:00.\Nah, it's 10:00. response:	It's 11:00!
context: Yeah, and it packs a wallop! My body aches all over, dammit!\Don't get rattled, Sting. He's bluffing.\Bluffin', you say?\You really think the Salamander can pull off a trick that requires usin' his brain?!\Oh, shut up!\For example, when you attack, your pivot foot is facing 11:00.\Nah, it's 10:00.\It's 11:00! response:	I could let you slide with 10:30, but not 11:00!
context: Don't get rattled, Sting. He's bluffing.\Bluffin', you say?\You really think the Salamander can pull off a trick that requires usin' his brain?!\Oh, shut up!\For example, when you attack, your pivot foot is facing 11:00.\Nah, it's 10:00.\It's 11:00!\I could let you slide with 10:30, but not 11:00! response:	I say it's 11:00! 23:00 is fine, too!
context: Bluffin', you say?\You really think the Salamander can pull off a trick that requires usin' his brain?!\Oh, shut up!\For example, when you attack, your pivot foot is facing 11:00.\Nah, it's 10:00.\It's 11:00!\I could let you slide with 10:30, but not 11:00!\I say it's 11:00! 23:00 is fine, too! response:	That's going around 360 degrees!
context: You really think the Salamander can pull off a trick that requires usin' his brain?!\Oh, shut up!\For example, when you attack, your pivot foot is facing 11:00.\Nah, it's 10:00.\It's 11:00!\I could let you slide with 10:30, but not 11:00!\I say it's 11:00! 23:00 is fine, too!\That's going around 360 degrees! response:	What are those two fools doing?!
context: Oh, shut up!\For example, when you attack, your pivot foot is facing 11:00.\Nah, it's 10:00.\It's 11:00!\I could let you slide with 10:30, but not 11:00!\I say it's 11:00! 23:00 is fine, too!\That's going around 360 degrees!\What are those two fools doing?! response:	They've got energy to spare. And that means they've still got fight left in them.
context: For example, when you attack, your pivot foot is facing 11:00.\Nah, it's 10:00.\It's 11:00!\I could let you slide with 10:30, but not 11:00!\I say it's 11:00! 23:00 is fine, too!\That's going around 360 degrees!\What are those two fools doing?!\They've got energy to spare. And that means they've still got fight left in them. response:	Arguing at a time like this...
context: Nah, it's 10:00.\It's 11:00!\I could let you slide with 10:30, but not 11:00!\I say it's 11:00! 23:00 is fine, too!\That's going around 360 degrees!\What are those two fools doing?!\They've got energy to spare. And that means they've still got fight left in them.\Arguing at a time like this... response:	Yeesh, they make me wanna crawl in a hole...
context: It's 11:00!\I could let you slide with 10:30, but not 11:00!\I say it's 11:00! 23:00 is fine, too!\That's going around 360 degrees!\What are those two fools doing?!\They've got energy to spare. And that means they've still got fight left in them.\Arguing at a time like this...\Yeesh, they make me wanna crawl in a hole... response:	Oh, don't be like that. You and Natsu are two of a kind.
context: I could let you slide with 10:30, but not 11:00!\I say it's 11:00! 23:00 is fine, too!\That's going around 360 degrees!\What are those two fools doing?!\They've got energy to spare. And that means they've still got fight left in them.\Arguing at a time like this...\Yeesh, they make me wanna crawl in a hole...\Oh, don't be like that. You and Natsu are two of a kind. response:	When you look at me objectively, that's what you see?
context: I say it's 11:00! 23:00 is fine, too!\That's going around 360 degrees!\What are those two fools doing?!\They've got energy to spare. And that means they've still got fight left in them.\Arguing at a time like this...\Yeesh, they make me wanna crawl in a hole...\Oh, don't be like that. You and Natsu are two of a kind.\When you look at me objectively, that's what you see? response:	Clam it, already!
context: That's going around 360 degrees!\What are those two fools doing?!\They've got energy to spare. And that means they've still got fight left in them.\Arguing at a time like this...\Yeesh, they make me wanna crawl in a hole...\Oh, don't be like that. You and Natsu are two of a kind.\When you look at me objectively, that's what you see?\Clam it, already! response:	Wha...?!
context: What are those two fools doing?!\They've got energy to spare. And that means they've still got fight left in them.\Arguing at a time like this...\Yeesh, they make me wanna crawl in a hole...\Oh, don't be like that. You and Natsu are two of a kind.\When you look at me objectively, that's what you see?\Clam it, already!\Wha...?! response:	Hey! You bastard!
context: They've got energy to spare. And that means they've still got fight left in them.\Arguing at a time like this...\Yeesh, they make me wanna crawl in a hole...\Oh, don't be like that. You and Natsu are two of a kind.\When you look at me objectively, that's what you see?\Clam it, already!\Wha...?!\Hey! You bastard! response:	Wh-What is this?!
context: Arguing at a time like this...\Yeesh, they make me wanna crawl in a hole...\Oh, don't be like that. You and Natsu are two of a kind.\When you look at me objectively, that's what you see?\Clam it, already!\Wha...?!\Hey! You bastard!\Wh-What is this?! response:	Wh-What are you doing?
context: Yeesh, they make me wanna crawl in a hole...\Oh, don't be like that. You and Natsu are two of a kind.\When you look at me objectively, that's what you see?\Clam it, already!\Wha...?!\Hey! You bastard!\Wh-What is this?!\Wh-What are you doing? response:	Gajeel...
context: Oh, don't be like that. You and Natsu are two of a kind.\When you look at me objectively, that's what you see?\Clam it, already!\Wha...?!\Hey! You bastard!\Wh-What is this?!\Wh-What are you doing?\Gajeel... response:	I've totally gotta pay you back for lookin' down on us.
context: When you look at me objectively, that's what you see?\Clam it, already!\Wha...?!\Hey! You bastard!\Wh-What is this?!\Wh-What are you doing?\Gajeel...\I've totally gotta pay you back for lookin' down on us. response:	I can take both of you on by myself.
context: Clam it, already!\Wha...?!\Hey! You bastard!\Wh-What is this?!\Wh-What are you doing?\Gajeel...\I've totally gotta pay you back for lookin' down on us.\I can take both of you on by myself. response:	Go ahead, attack me at the same time!
context: Wha...?!\Hey! You bastard!\Wh-What is this?!\Wh-What are you doing?\Gajeel...\I've totally gotta pay you back for lookin' down on us.\I can take both of you on by myself.\Go ahead, attack me at the same time! response:	Oh, boy! Now Natsu Dragneel of Fairy Tail
context: Hey! You bastard!\Wh-What is this?!\Wh-What are you doing?\Gajeel...\I've totally gotta pay you back for lookin' down on us.\I can take both of you on by myself.\Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail response:	is challenging the two of them to a battle!
context: Wh-What is this?!\Wh-What are you doing?\Gajeel...\I've totally gotta pay you back for lookin' down on us.\I can take both of you on by myself.\Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle! response:	You're fired up, ain'tcha?
context: Wh-What are you doing?\Gajeel...\I've totally gotta pay you back for lookin' down on us.\I can take both of you on by myself.\Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle!\You're fired up, ain'tcha? response:	You'll pay for this, Salamander!
context: Gajeel...\I've totally gotta pay you back for lookin' down on us.\I can take both of you on by myself.\Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle!\You're fired up, ain'tcha?\You'll pay for this, Salamander! response:	I swear, later...
context: I've totally gotta pay you back for lookin' down on us.\I can take both of you on by myself.\Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle!\You're fired up, ain'tcha?\You'll pay for this, Salamander!\I swear, later... response:	Natsu, I trust you!
context: I can take both of you on by myself.\Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle!\You're fired up, ain'tcha?\You'll pay for this, Salamander!\I swear, later...\Natsu, I trust you! response:	Leave it to me. Keep believin'!
context: Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle!\You're fired up, ain'tcha?\You'll pay for this, Salamander!\I swear, later...\Natsu, I trust you!\Leave it to me. Keep believin'! response:	You'd never betray me, would you?
context: Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle!\You're fired up, ain'tcha?\You'll pay for this, Salamander!\I swear, later...\Natsu, I trust you!\Leave it to me. Keep believin'!\You'd never betray me, would you? response:	I thought this was about the match... Of course not!
context: is challenging the two of them to a battle!\You're fired up, ain'tcha?\You'll pay for this, Salamander!\I swear, later...\Natsu, I trust you!\Leave it to me. Keep believin'!\You'd never betray me, would you?\I thought this was about the match... Of course not! response:	Natsu, you'd never do anything to make me sad, right?!
context: You're fired up, ain'tcha?\You'll pay for this, Salamander!\I swear, later...\Natsu, I trust you!\Leave it to me. Keep believin'!\You'd never betray me, would you?\I thought this was about the match... Of course not!\Natsu, you'd never do anything to make me sad, right?! response:	I wouldn't let anybody make you sad, Happy!
context: You'll pay for this, Salamander!\I swear, later...\Natsu, I trust you!\Leave it to me. Keep believin'!\You'd never betray me, would you?\I thought this was about the match... Of course not!\Natsu, you'd never do anything to make me sad, right?!\I wouldn't let anybody make you sad, Happy! response:	Listen... Somebody ate my fish!
context: I swear, later...\Natsu, I trust you!\Leave it to me. Keep believin'!\You'd never betray me, would you?\I thought this was about the match... Of course not!\Natsu, you'd never do anything to make me sad, right?!\I wouldn't let anybody make you sad, Happy!\Listen... Somebody ate my fish! response:	Next time: Natsu vs. the Twin Dragons!
context: Natsu, I trust you!\Leave it to me. Keep believin'!\You'd never betray me, would you?\I thought this was about the match... Of course not!\Natsu, you'd never do anything to make me sad, right?!\I wouldn't let anybody make you sad, Happy!\Listen... Somebody ate my fish!\Next time: Natsu vs. the Twin Dragons! response:	Happy... You gotta believe me...
context: Leave it to me. Keep believin'!\You'd never betray me, would you?\I thought this was about the match... Of course not!\Natsu, you'd never do anything to make me sad, right?!\I wouldn't let anybody make you sad, Happy!\Listen... Somebody ate my fish!\Next time: Natsu vs. the Twin Dragons!\Happy... You gotta believe me... response:	Natsu...
context: You'd never betray me, would you?\I thought this was about the match... Of course not!\Natsu, you'd never do anything to make me sad, right?!\I wouldn't let anybody make you sad, Happy!\Listen... Somebody ate my fish!\Next time: Natsu vs. the Twin Dragons!\Happy... You gotta believe me...\Natsu... response:	I-I didn't know it was yours, Happy!
context: I thought this was about the match... Of course not!\Natsu, you'd never do anything to make me sad, right?!\I wouldn't let anybody make you sad, Happy!\Listen... Somebody ate my fish!\Next time: Natsu vs. the Twin Dragons!\Happy... You gotta believe me...\Natsu...\I-I didn't know it was yours, Happy! response:	Natsu!
