context: May, Five years ago response:	Karasuno Sports Park Gymnasium
context: The school was strong until shortly before I joined.\There were many people.\I didn't think I could handle it.\First-year, you're a slow cleaner.\We can't go home!\Why are my senpai so bossy,\just because they were born a year or two before me?\Don't quit. response:	You have sharp observation skills, and take directions perfectly.
context: There were many people.\I didn't think I could handle it.\First-year, you're a slow cleaner.\We can't go home!\Why are my senpai so bossy,\just because they were born a year or two before me?\Don't quit.\You have sharp observation skills, and take directions perfectly. response:	The first and second-years know you're awesome.
context: I didn't think I could handle it.\First-year, you're a slow cleaner.\We can't go home!\Why are my senpai so bossy,\just because they were born a year or two before me?\Don't quit.\You have sharp observation skills, and take directions perfectly.\The first and second-years know you're awesome. response:	You will definitely make our team strong.
context: First-year, you're a slow cleaner.\We can't go home!\Why are my senpai so bossy,\just because they were born a year or two before me?\Don't quit.\You have sharp observation skills, and take directions perfectly.\The first and second-years know you're awesome.\You will definitely make our team strong. response:	He doesn't stand out.
context: We can't go home!\Why are my senpai so bossy,\just because they were born a year or two before me?\Don't quit.\You have sharp observation skills, and take directions perfectly.\The first and second-years know you're awesome.\You will definitely make our team strong.\He doesn't stand out. response:	Huh?
context: Why are my senpai so bossy,\just because they were born a year or two before me?\Don't quit.\You have sharp observation skills, and take directions perfectly.\The first and second-years know you're awesome.\You will definitely make our team strong.\He doesn't stand out.\Huh? response:	Even a beginner can sense Kageyama-kun's amazing presence.
context: just because they were born a year or two before me?\Don't quit.\You have sharp observation skills, and take directions perfectly.\The first and second-years know you're awesome.\You will definitely make our team strong.\He doesn't stand out.\Huh?\Even a beginner can sense Kageyama-kun's amazing presence. response:	But though Nekoma's setter-kun
context: Don't quit.\You have sharp observation skills, and take directions perfectly.\The first and second-years know you're awesome.\You will definitely make our team strong.\He doesn't stand out.\Huh?\Even a beginner can sense Kageyama-kun's amazing presence.\But though Nekoma's setter-kun response:	might be doing amazing things, but you can't tell.
context: You have sharp observation skills, and take directions perfectly.\The first and second-years know you're awesome.\You will definitely make our team strong.\He doesn't stand out.\Huh?\Even a beginner can sense Kageyama-kun's amazing presence.\But though Nekoma's setter-kun\might be doing amazing things, but you can't tell. response:	It's because of their stable receiving.
context: The first and second-years know you're awesome.\You will definitely make our team strong.\He doesn't stand out.\Huh?\Even a beginner can sense Kageyama-kun's amazing presence.\But though Nekoma's setter-kun\might be doing amazing things, but you can't tell.\It's because of their stable receiving. response:	In developing a diverse offensive, it's receiving that's important.
context: You will definitely make our team strong.\He doesn't stand out.\Huh?\Even a beginner can sense Kageyama-kun's amazing presence.\But though Nekoma's setter-kun\might be doing amazing things, but you can't tell.\It's because of their stable receiving.\In developing a diverse offensive, it's receiving that's important. response:	You want receives that cleanly return above the setter's head.
context: He doesn't stand out.\Huh?\Even a beginner can sense Kageyama-kun's amazing presence.\But though Nekoma's setter-kun\might be doing amazing things, but you can't tell.\It's because of their stable receiving.\In developing a diverse offensive, it's receiving that's important.\You want receives that cleanly return above the setter's head. response:	Their setter can utilize his talents because of the receivers.
context: Huh?\Even a beginner can sense Kageyama-kun's amazing presence.\But though Nekoma's setter-kun\might be doing amazing things, but you can't tell.\It's because of their stable receiving.\In developing a diverse offensive, it's receiving that's important.\You want receives that cleanly return above the setter's head.\Their setter can utilize his talents because of the receivers. response:	For Karasuno, setter Kageyama unifies our awkward team
context: Even a beginner can sense Kageyama-kun's amazing presence.\But though Nekoma's setter-kun\might be doing amazing things, but you can't tell.\It's because of their stable receiving.\In developing a diverse offensive, it's receiving that's important.\You want receives that cleanly return above the setter's head.\Their setter can utilize his talents because of the receivers.\For Karasuno, setter Kageyama unifies our awkward team response:	with his overwhelming talent.
context: But though Nekoma's setter-kun\might be doing amazing things, but you can't tell.\It's because of their stable receiving.\In developing a diverse offensive, it's receiving that's important.\You want receives that cleanly return above the setter's head.\Their setter can utilize his talents because of the receivers.\For Karasuno, setter Kageyama unifies our awkward team\with his overwhelming talent. response:	In Nekoma, setter Kozume is supported by the entire team's receiving power.
context: might be doing amazing things, but you can't tell.\It's because of their stable receiving.\In developing a diverse offensive, it's receiving that's important.\You want receives that cleanly return above the setter's head.\Their setter can utilize his talents because of the receivers.\For Karasuno, setter Kageyama unifies our awkward team\with his overwhelming talent.\In Nekoma, setter Kozume is supported by the entire team's receiving power. response:	We're like the blood in our veins.
context: It's because of their stable receiving.\In developing a diverse offensive, it's receiving that's important.\You want receives that cleanly return above the setter's head.\Their setter can utilize his talents because of the receivers.\For Karasuno, setter Kageyama unifies our awkward team\with his overwhelming talent.\In Nekoma, setter Kozume is supported by the entire team's receiving power.\We're like the blood in our veins. response:	We must flow without stopping.
context: In developing a diverse offensive, it's receiving that's important.\You want receives that cleanly return above the setter's head.\Their setter can utilize his talents because of the receivers.\For Karasuno, setter Kageyama unifies our awkward team\with his overwhelming talent.\In Nekoma, setter Kozume is supported by the entire team's receiving power.\We're like the blood in our veins.\We must flow without stopping. response:	Keep the oxygen moving
context: You want receives that cleanly return above the setter's head.\Their setter can utilize his talents because of the receivers.\For Karasuno, setter Kageyama unifies our awkward team\with his overwhelming talent.\In Nekoma, setter Kozume is supported by the entire team's receiving power.\We're like the blood in our veins.\We must flow without stopping.\Keep the oxygen moving response:	and your mind working.
context: Their setter can utilize his talents because of the receivers.\For Karasuno, setter Kageyama unifies our awkward team\with his overwhelming talent.\In Nekoma, setter Kozume is supported by the entire team's receiving power.\We're like the blood in our veins.\We must flow without stopping.\Keep the oxygen moving\and your mind working. response:	One touch!
context: For Karasuno, setter Kageyama unifies our awkward team\with his overwhelming talent.\In Nekoma, setter Kozume is supported by the entire team's receiving power.\We're like the blood in our veins.\We must flow without stopping.\Keep the oxygen moving\and your mind working.\One touch! response:	Nice cover, Yaku-san.
context: with his overwhelming talent.\In Nekoma, setter Kozume is supported by the entire team's receiving power.\We're like the blood in our veins.\We must flow without stopping.\Keep the oxygen moving\and your mind working.\One touch!\Nice cover, Yaku-san. response:	We have no superhuman ace. But all we have to do...
context: In Nekoma, setter Kozume is supported by the entire team's receiving power.\We're like the blood in our veins.\We must flow without stopping.\Keep the oxygen moving\and your mind working.\One touch!\Nice cover, Yaku-san.\We have no superhuman ace. But all we have to do... response:	is modestly, carefully, keep scoring one point at a time.
context: We're like the blood in our veins.\We must flow without stopping.\Keep the oxygen moving\and your mind working.\One touch!\Nice cover, Yaku-san.\We have no superhuman ace. But all we have to do...\is modestly, carefully, keep scoring one point at a time. response:	Nekoma Karasuno
context: We must flow without stopping.\Keep the oxygen moving\and your mind working.\One touch!\Nice cover, Yaku-san.\We have no superhuman ace. But all we have to do...\is modestly, carefully, keep scoring one point at a time.\Nekoma Karasuno response:	All right.
context: Keep the oxygen moving\and your mind working.\One touch!\Nice cover, Yaku-san.\We have no superhuman ace. But all we have to do...\is modestly, carefully, keep scoring one point at a time.\Nekoma Karasuno\All right. response:	Kageyama. I'll slam the next one. Give me a toss.
context: and your mind working.\One touch!\Nice cover, Yaku-san.\We have no superhuman ace. But all we have to do...\is modestly, carefully, keep scoring one point at a time.\Nekoma Karasuno\All right.\Kageyama. I'll slam the next one. Give me a toss. response:	It's their set point. If you miss, we'll lose the set.
context: One touch!\Nice cover, Yaku-san.\We have no superhuman ace. But all we have to do...\is modestly, carefully, keep scoring one point at a time.\Nekoma Karasuno\All right.\Kageyama. I'll slam the next one. Give me a toss.\It's their set point. If you miss, we'll lose the set. response:	I know. I'll score.
context: Nice cover, Yaku-san.\We have no superhuman ace. But all we have to do...\is modestly, carefully, keep scoring one point at a time.\Nekoma Karasuno\All right.\Kageyama. I'll slam the next one. Give me a toss.\It's their set point. If you miss, we'll lose the set.\I know. I'll score. response:	Nice receive.
context: We have no superhuman ace. But all we have to do...\is modestly, carefully, keep scoring one point at a time.\Nekoma Karasuno\All right.\Kageyama. I'll slam the next one. Give me a toss.\It's their set point. If you miss, we'll lose the set.\I know. I'll score.\Nice receive. response:	But even if we can't clear the first round of the game,
context: is modestly, carefully, keep scoring one point at a time.\Nekoma Karasuno\All right.\Kageyama. I'll slam the next one. Give me a toss.\It's their set point. If you miss, we'll lose the set.\I know. I'll score.\Nice receive.\But even if we can't clear the first round of the game, response:	As they keep repeating the same move...
context: Nekoma Karasuno\All right.\Kageyama. I'll slam the next one. Give me a toss.\It's their set point. If you miss, we'll lose the set.\I know. I'll score.\Nice receive.\But even if we can't clear the first round of the game,\As they keep repeating the same move... response:	We'll get used to it.
context: All right.\Kageyama. I'll slam the next one. Give me a toss.\It's their set point. If you miss, we'll lose the set.\I know. I'll score.\Nice receive.\But even if we can't clear the first round of the game,\As they keep repeating the same move...\We'll get used to it. response:	Nekoma Karasuno
context: Kageyama. I'll slam the next one. Give me a toss.\It's their set point. If you miss, we'll lose the set.\I know. I'll score.\Nice receive.\But even if we can't clear the first round of the game,\As they keep repeating the same move...\We'll get used to it.\Nekoma Karasuno response:	I got you, at last.
context: It's their set point. If you miss, we'll lose the set.\I know. I'll score.\Nice receive.\But even if we can't clear the first round of the game,\As they keep repeating the same move...\We'll get used to it.\Nekoma Karasuno\I got you, at last. response:	All right.
context: I know. I'll score.\Nice receive.\But even if we can't clear the first round of the game,\As they keep repeating the same move...\We'll get used to it.\Nekoma Karasuno\I got you, at last.\All right. response:	Hey, we can't afford to get discouraged.
context: Nice receive.\But even if we can't clear the first round of the game,\As they keep repeating the same move...\We'll get used to it.\Nekoma Karasuno\I got you, at last.\All right.\Hey, we can't afford to get discouraged. response:	We'll take back the next set.
context: But even if we can't clear the first round of the game,\As they keep repeating the same move...\We'll get used to it.\Nekoma Karasuno\I got you, at last.\All right.\Hey, we can't afford to get discouraged.\We'll take back the next set. response:	There's no such thing as an unstoppable spike.
context: As they keep repeating the same move...\We'll get used to it.\Nekoma Karasuno\I got you, at last.\All right.\Hey, we can't afford to get discouraged.\We'll take back the next set.\There's no such thing as an unstoppable spike. response:	Don't think otherwise.
context: We'll get used to it.\Nekoma Karasuno\I got you, at last.\All right.\Hey, we can't afford to get discouraged.\We'll take back the next set.\There's no such thing as an unstoppable spike.\Don't think otherwise. response:	You'll score next time, Hinata.
context: Nekoma Karasuno\I got you, at last.\All right.\Hey, we can't afford to get discouraged.\We'll take back the next set.\There's no such thing as an unstoppable spike.\Don't think otherwise.\You'll score next time, Hinata. response:	Wham!
context: I got you, at last.\All right.\Hey, we can't afford to get discouraged.\We'll take back the next set.\There's no such thing as an unstoppable spike.\Don't think otherwise.\You'll score next time, Hinata.\Wham! response:	Yes.
context: All right.\Hey, we can't afford to get discouraged.\We'll take back the next set.\There's no such thing as an unstoppable spike.\Don't think otherwise.\You'll score next time, Hinata.\Wham!\Yes. response:	Yikes, again...
context: Hey, we can't afford to get discouraged.\We'll take back the next set.\There's no such thing as an unstoppable spike.\Don't think otherwise.\You'll score next time, Hinata.\Wham!\Yes.\Yikes, again... response:	All right.
context: We'll take back the next set.\There's no such thing as an unstoppable spike.\Don't think otherwise.\You'll score next time, Hinata.\Wham!\Yes.\Yikes, again...\All right. response:	Nice block, Inuoka!
context: There's no such thing as an unstoppable spike.\Don't think otherwise.\You'll score next time, Hinata.\Wham!\Yes.\Yikes, again...\All right.\Nice block, Inuoka! response:	It's not dumb luck.
context: Don't think otherwise.\You'll score next time, Hinata.\Wham!\Yes.\Yikes, again...\All right.\Nice block, Inuoka!\It's not dumb luck. response:	Their 7's getting used to Hinata's moves.
context: You'll score next time, Hinata.\Wham!\Yes.\Yikes, again...\All right.\Nice block, Inuoka!\It's not dumb luck.\Their 7's getting used to Hinata's moves. response:	Karasuno Nekoma
context: Wham!\Yes.\Yikes, again...\All right.\Nice block, Inuoka!\It's not dumb luck.\Their 7's getting used to Hinata's moves.\Karasuno Nekoma response:	Daichi-san, nice cover.
context: Yes.\Yikes, again...\All right.\Nice block, Inuoka!\It's not dumb luck.\Their 7's getting used to Hinata's moves.\Karasuno Nekoma\Daichi-san, nice cover. response:	Left.
context: Yikes, again...\All right.\Nice block, Inuoka!\It's not dumb luck.\Their 7's getting used to Hinata's moves.\Karasuno Nekoma\Daichi-san, nice cover.\Left. response:	Tanaka-san.
context: All right.\Nice block, Inuoka!\It's not dumb luck.\Their 7's getting used to Hinata's moves.\Karasuno Nekoma\Daichi-san, nice cover.\Left.\Tanaka-san. response:	You're wondering why I don't switch Hinata out, aren't you?
context: Nice block, Inuoka!\It's not dumb luck.\Their 7's getting used to Hinata's moves.\Karasuno Nekoma\Daichi-san, nice cover.\Left.\Tanaka-san.\You're wondering why I don't switch Hinata out, aren't you? response:	Not really.
context: It's not dumb luck.\Their 7's getting used to Hinata's moves.\Karasuno Nekoma\Daichi-san, nice cover.\Left.\Tanaka-san.\You're wondering why I don't switch Hinata out, aren't you?\Not really. response:	If this were an official tournament, I might.
context: Their 7's getting used to Hinata's moves.\Karasuno Nekoma\Daichi-san, nice cover.\Left.\Tanaka-san.\You're wondering why I don't switch Hinata out, aren't you?\Not really.\If this were an official tournament, I might. response:	But this is my chance to find a solution.
context: Karasuno Nekoma\Daichi-san, nice cover.\Left.\Tanaka-san.\You're wondering why I don't switch Hinata out, aren't you?\Not really.\If this were an official tournament, I might.\But this is my chance to find a solution. response:	But if Hinata starts to lose his will to fight,
context: Daichi-san, nice cover.\Left.\Tanaka-san.\You're wondering why I don't switch Hinata out, aren't you?\Not really.\If this were an official tournament, I might.\But this is my chance to find a solution.\But if Hinata starts to lose his will to fight, response:	it might be better to let him sit one out.
context: Left.\Tanaka-san.\You're wondering why I don't switch Hinata out, aren't you?\Not really.\If this were an official tournament, I might.\But this is my chance to find a solution.\But if Hinata starts to lose his will to fight,\it might be better to let him sit one out. response:	He
context: Tanaka-san.\You're wondering why I don't switch Hinata out, aren't you?\Not really.\If this were an official tournament, I might.\But this is my chance to find a solution.\But if Hinata starts to lose his will to fight,\it might be better to let him sit one out.\He response:	Damn.
context: You're wondering why I don't switch Hinata out, aren't you?\Not really.\If this were an official tournament, I might.\But this is my chance to find a solution.\But if Hinata starts to lose his will to fight,\it might be better to let him sit one out.\He\Damn. response:	It didn't work.
context: Not really.\If this were an official tournament, I might.\But this is my chance to find a solution.\But if Hinata starts to lose his will to fight,\it might be better to let him sit one out.\He\Damn.\It didn't work. response:	All right.
context: If this were an official tournament, I might.\But this is my chance to find a solution.\But if Hinata starts to lose his will to fight,\it might be better to let him sit one out.\He\Damn.\It didn't work.\All right. response:	He was completely shut out of his first and last match in junior high.
context: But this is my chance to find a solution.\But if Hinata starts to lose his will to fight,\it might be better to let him sit one out.\He\Damn.\It didn't work.\All right.\He was completely shut out of his first and last match in junior high. response:	And in high school, he couldn't overcome Tsukishima's height at all.
context: But if Hinata starts to lose his will to fight,\it might be better to let him sit one out.\He\Damn.\It didn't work.\All right.\He was completely shut out of his first and last match in junior high.\And in high school, he couldn't overcome Tsukishima's height at all. response:	Regardless, he finally acquired a
context: it might be better to let him sit one out.\He\Damn.\It didn't work.\All right.\He was completely shut out of his first and last match in junior high.\And in high school, he couldn't overcome Tsukishima's height at all.\Regardless, he finally acquired a response:	method to fight against opponents much taller than him.
context: He\Damn.\It didn't work.\All right.\He was completely shut out of his first and last match in junior high.\And in high school, he couldn't overcome Tsukishima's height at all.\Regardless, he finally acquired a\method to fight against opponents much taller than him. response:	It's Hinata's unique and strongest attack...
context: Damn.\It didn't work.\All right.\He was completely shut out of his first and last match in junior high.\And in high school, he couldn't overcome Tsukishima's height at all.\Regardless, he finally acquired a\method to fight against opponents much taller than him.\It's Hinata's unique and strongest attack... response:	but it was stopped by a single blocker.
context: It didn't work.\All right.\He was completely shut out of his first and last match in junior high.\And in high school, he couldn't overcome Tsukishima's height at all.\Regardless, he finally acquired a\method to fight against opponents much taller than him.\It's Hinata's unique and strongest attack...\but it was stopped by a single blocker. response:	The human wall that breaks the will.
context: All right.\He was completely shut out of his first and last match in junior high.\And in high school, he couldn't overcome Tsukishima's height at all.\Regardless, he finally acquired a\method to fight against opponents much taller than him.\It's Hinata's unique and strongest attack...\but it was stopped by a single blocker.\The human wall that breaks the will. response:	The more you run into it, the more discouraged you feel.
context: He was completely shut out of his first and last match in junior high.\And in high school, he couldn't overcome Tsukishima's height at all.\Regardless, he finally acquired a\method to fight against opponents much taller than him.\It's Hinata's unique and strongest attack...\but it was stopped by a single blocker.\The human wall that breaks the will.\The more you run into it, the more discouraged you feel. response:	He's smiling.
context: And in high school, he couldn't overcome Tsukishima's height at all.\Regardless, he finally acquired a\method to fight against opponents much taller than him.\It's Hinata's unique and strongest attack...\but it was stopped by a single blocker.\The human wall that breaks the will.\The more you run into it, the more discouraged you feel.\He's smiling. response:	Hey.
context: Regardless, he finally acquired a\method to fight against opponents much taller than him.\It's Hinata's unique and strongest attack...\but it was stopped by a single blocker.\The human wall that breaks the will.\The more you run into it, the more discouraged you feel.\He's smiling.\Hey. response:	Something's different.
context: method to fight against opponents much taller than him.\It's Hinata's unique and strongest attack...\but it was stopped by a single blocker.\The human wall that breaks the will.\The more you run into it, the more discouraged you feel.\He's smiling.\Hey.\Something's different. response:	Different from the time when I couldn't see the other side because of blockers.
context: It's Hinata's unique and strongest attack...\but it was stopped by a single blocker.\The human wall that breaks the will.\The more you run into it, the more discouraged you feel.\He's smiling.\Hey.\Something's different.\Different from the time when I couldn't see the other side because of blockers. response:	I was at complete loss for what to do.
context: but it was stopped by a single blocker.\The human wall that breaks the will.\The more you run into it, the more discouraged you feel.\He's smiling.\Hey.\Something's different.\Different from the time when I couldn't see the other side because of blockers.\I was at complete loss for what to do. response:	But now it's different.
context: The human wall that breaks the will.\The more you run into it, the more discouraged you feel.\He's smiling.\Hey.\Something's different.\Different from the time when I couldn't see the other side because of blockers.\I was at complete loss for what to do.\But now it's different. response:	I can tell they're matching me by the skin of their teeth.
context: The more you run into it, the more discouraged you feel.\He's smiling.\Hey.\Something's different.\Different from the time when I couldn't see the other side because of blockers.\I was at complete loss for what to do.\But now it's different.\I can tell they're matching me by the skin of their teeth. response:	I used to be afraid of blocks. I hated them.
context: He's smiling.\Hey.\Something's different.\Different from the time when I couldn't see the other side because of blockers.\I was at complete loss for what to do.\But now it's different.\I can tell they're matching me by the skin of their teeth.\I used to be afraid of blocks. I hated them. response:	But when that guy's in front of me, I feel excitement.
context: Hey.\Something's different.\Different from the time when I couldn't see the other side because of blockers.\I was at complete loss for what to do.\But now it's different.\I can tell they're matching me by the skin of their teeth.\I used to be afraid of blocks. I hated them.\But when that guy's in front of me, I feel excitement. response:	With your toss, and with some kind of strategy,
context: Something's different.\Different from the time when I couldn't see the other side because of blockers.\I was at complete loss for what to do.\But now it's different.\I can tell they're matching me by the skin of their teeth.\I used to be afraid of blocks. I hated them.\But when that guy's in front of me, I feel excitement.\With your toss, and with some kind of strategy, response:	I'm sure we can break through this wall.
context: Different from the time when I couldn't see the other side because of blockers.\I was at complete loss for what to do.\But now it's different.\I can tell they're matching me by the skin of their teeth.\I used to be afraid of blocks. I hated them.\But when that guy's in front of me, I feel excitement.\With your toss, and with some kind of strategy,\I'm sure we can break through this wall. response:	One more time...
context: I was at complete loss for what to do.\But now it's different.\I can tell they're matching me by the skin of their teeth.\I used to be afraid of blocks. I hated them.\But when that guy's in front of me, I feel excitement.\With your toss, and with some kind of strategy,\I'm sure we can break through this wall.\One more time... response:	Send me a toss.
context: But now it's different.\I can tell they're matching me by the skin of their teeth.\I used to be afraid of blocks. I hated them.\But when that guy's in front of me, I feel excitement.\With your toss, and with some kind of strategy,\I'm sure we can break through this wall.\One more time...\Send me a toss. response:	That goes without saying.
context: I can tell they're matching me by the skin of their teeth.\I used to be afraid of blocks. I hated them.\But when that guy's in front of me, I feel excitement.\With your toss, and with some kind of strategy,\I'm sure we can break through this wall.\One more time...\Send me a toss.\That goes without saying. response:	Karasuno Nekoma
context: I used to be afraid of blocks. I hated them.\But when that guy's in front of me, I feel excitement.\With your toss, and with some kind of strategy,\I'm sure we can break through this wall.\One more time...\Send me a toss.\That goes without saying.\Karasuno Nekoma response:	Nice serve.
context: But when that guy's in front of me, I feel excitement.\With your toss, and with some kind of strategy,\I'm sure we can break through this wall.\One more time...\Send me a toss.\That goes without saying.\Karasuno Nekoma\Nice serve. response:	That toss, did Hinata just...
context: With your toss, and with some kind of strategy,\I'm sure we can break through this wall.\One more time...\Send me a toss.\That goes without saying.\Karasuno Nekoma\Nice serve.\That toss, did Hinata just... response:	He saw it.
context: I'm sure we can break through this wall.\One more time...\Send me a toss.\That goes without saying.\Karasuno Nekoma\Nice serve.\That toss, did Hinata just...\He saw it. response:	He trusted Kageyama with the ball all this time!
context: One more time...\Send me a toss.\That goes without saying.\Karasuno Nekoma\Nice serve.\That toss, did Hinata just...\He saw it.\He trusted Kageyama with the ball all this time! response:	All he ever did was give it a full swing...
context: Send me a toss.\That goes without saying.\Karasuno Nekoma\Nice serve.\That toss, did Hinata just...\He saw it.\He trusted Kageyama with the ball all this time!\All he ever did was give it a full swing... response:	T-Time!
context: That goes without saying.\Karasuno Nekoma\Nice serve.\That toss, did Hinata just...\He saw it.\He trusted Kageyama with the ball all this time!\All he ever did was give it a full swing...\T-Time! response:	It's not that I didn't trust your toss, umm...
context: Karasuno Nekoma\Nice serve.\That toss, did Hinata just...\He saw it.\He trusted Kageyama with the ball all this time!\All he ever did was give it a full swing...\T-Time!\It's not that I didn't trust your toss, umm... response:	I wonder.
context: Nice serve.\That toss, did Hinata just...\He saw it.\He trusted Kageyama with the ball all this time!\All he ever did was give it a full swing...\T-Time!\It's not that I didn't trust your toss, umm...\I wonder. response:	What are you panicking about?
context: That toss, did Hinata just...\He saw it.\He trusted Kageyama with the ball all this time!\All he ever did was give it a full swing...\T-Time!\It's not that I didn't trust your toss, umm...\I wonder.\What are you panicking about? response:	Kageyama.
context: He saw it.\He trusted Kageyama with the ball all this time!\All he ever did was give it a full swing...\T-Time!\It's not that I didn't trust your toss, umm...\I wonder.\What are you panicking about?\Kageyama. response:	Give Hinata a softer toss than usual.
context: He trusted Kageyama with the ball all this time!\All he ever did was give it a full swing...\T-Time!\It's not that I didn't trust your toss, umm...\I wonder.\What are you panicking about?\Kageyama.\Give Hinata a softer toss than usual. response:	Not the usual direct delivery.
context: All he ever did was give it a full swing...\T-Time!\It's not that I didn't trust your toss, umm...\I wonder.\What are you panicking about?\Kageyama.\Give Hinata a softer toss than usual.\Not the usual direct delivery. response:	An indirect delivery?
context: T-Time!\It's not that I didn't trust your toss, umm...\I wonder.\What are you panicking about?\Kageyama.\Give Hinata a softer toss than usual.\Not the usual direct delivery.\An indirect delivery? response:	In...
context: It's not that I didn't trust your toss, umm...\I wonder.\What are you panicking about?\Kageyama.\Give Hinata a softer toss than usual.\Not the usual direct delivery.\An indirect delivery?\In... response:	Instead of the usual fast toss on a straight trajectory,
context: I wonder.\What are you panicking about?\Kageyama.\Give Hinata a softer toss than usual.\Not the usual direct delivery.\An indirect delivery?\In...\Instead of the usual fast toss on a straight trajectory, response:	it's a slightly floating kind of toss.
context: What are you panicking about?\Kageyama.\Give Hinata a softer toss than usual.\Not the usual direct delivery.\An indirect delivery?\In...\Instead of the usual fast toss on a straight trajectory,\it's a slightly floating kind of toss. response:	I realize it might be hard to suddenly change tack, but...
context: Kageyama.\Give Hinata a softer toss than usual.\Not the usual direct delivery.\An indirect delivery?\In...\Instead of the usual fast toss on a straight trajectory,\it's a slightly floating kind of toss.\I realize it might be hard to suddenly change tack, but... response:	I'll do it.
context: Give Hinata a softer toss than usual.\Not the usual direct delivery.\An indirect delivery?\In...\Instead of the usual fast toss on a straight trajectory,\it's a slightly floating kind of toss.\I realize it might be hard to suddenly change tack, but...\I'll do it. response:	Why are you changing the toss?
context: Not the usual direct delivery.\An indirect delivery?\In...\Instead of the usual fast toss on a straight trajectory,\it's a slightly floating kind of toss.\I realize it might be hard to suddenly change tack, but...\I'll do it.\Why are you changing the toss? response:	To give Hinata an advantage in the air.
context: An indirect delivery?\In...\Instead of the usual fast toss on a straight trajectory,\it's a slightly floating kind of toss.\I realize it might be hard to suddenly change tack, but...\I'll do it.\Why are you changing the toss?\To give Hinata an advantage in the air. response:	I saw Hinata trying to thwart the block while in mid-air.
context: In...\Instead of the usual fast toss on a straight trajectory,\it's a slightly floating kind of toss.\I realize it might be hard to suddenly change tack, but...\I'll do it.\Why are you changing the toss?\To give Hinata an advantage in the air.\I saw Hinata trying to thwart the block while in mid-air. response:	Huh?
context: Instead of the usual fast toss on a straight trajectory,\it's a slightly floating kind of toss.\I realize it might be hard to suddenly change tack, but...\I'll do it.\Why are you changing the toss?\To give Hinata an advantage in the air.\I saw Hinata trying to thwart the block while in mid-air.\Huh? response:	He probably saw Kageyama's technique
context: it's a slightly floating kind of toss.\I realize it might be hard to suddenly change tack, but...\I'll do it.\Why are you changing the toss?\To give Hinata an advantage in the air.\I saw Hinata trying to thwart the block while in mid-air.\Huh?\He probably saw Kageyama's technique response:	to thwart a block, and tried to copy it.
context: I realize it might be hard to suddenly change tack, but...\I'll do it.\Why are you changing the toss?\To give Hinata an advantage in the air.\I saw Hinata trying to thwart the block while in mid-air.\Huh?\He probably saw Kageyama's technique\to thwart a block, and tried to copy it. response:	He just failed miserably.
context: I'll do it.\Why are you changing the toss?\To give Hinata an advantage in the air.\I saw Hinata trying to thwart the block while in mid-air.\Huh?\He probably saw Kageyama's technique\to thwart a block, and tried to copy it.\He just failed miserably. response:	I've been spiking without thinking all this time...
context: Why are you changing the toss?\To give Hinata an advantage in the air.\I saw Hinata trying to thwart the block while in mid-air.\Huh?\He probably saw Kageyama's technique\to thwart a block, and tried to copy it.\He just failed miserably.\I've been spiking without thinking all this time... response:	Now that I have to coordinate with the ball on my own, I don't know how.
context: To give Hinata an advantage in the air.\I saw Hinata trying to thwart the block while in mid-air.\Huh?\He probably saw Kageyama's technique\to thwart a block, and tried to copy it.\He just failed miserably.\I've been spiking without thinking all this time...\Now that I have to coordinate with the ball on my own, I don't know how. response:	Karasuno Nekoma
context: I saw Hinata trying to thwart the block while in mid-air.\Huh?\He probably saw Kageyama's technique\to thwart a block, and tried to copy it.\He just failed miserably.\I've been spiking without thinking all this time...\Now that I have to coordinate with the ball on my own, I don't know how.\Karasuno Nekoma response:	Time, once more.
context: Huh?\He probably saw Kageyama's technique\to thwart a block, and tried to copy it.\He just failed miserably.\I've been spiking without thinking all this time...\Now that I have to coordinate with the ball on my own, I don't know how.\Karasuno Nekoma\Time, once more. response:	Hinata, I want you to relax.
context: He probably saw Kageyama's technique\to thwart a block, and tried to copy it.\He just failed miserably.\I've been spiking without thinking all this time...\Now that I have to coordinate with the ball on my own, I don't know how.\Karasuno Nekoma\Time, once more.\Hinata, I want you to relax. response:	Yes.
context: to thwart a block, and tried to copy it.\He just failed miserably.\I've been spiking without thinking all this time...\Now that I have to coordinate with the ball on my own, I don't know how.\Karasuno Nekoma\Time, once more.\Hinata, I want you to relax.\Yes. response:	I'm s-sorry. I've missed so many.
context: He just failed miserably.\I've been spiking without thinking all this time...\Now that I have to coordinate with the ball on my own, I don't know how.\Karasuno Nekoma\Time, once more.\Hinata, I want you to relax.\Yes.\I'm s-sorry. I've missed so many. response:	What are you saying?
context: I've been spiking without thinking all this time...\Now that I have to coordinate with the ball on my own, I don't know how.\Karasuno Nekoma\Time, once more.\Hinata, I want you to relax.\Yes.\I'm s-sorry. I've missed so many.\What are you saying? response:	It's because of you I get to freely spike.
context: Now that I have to coordinate with the ball on my own, I don't know how.\Karasuno Nekoma\Time, once more.\Hinata, I want you to relax.\Yes.\I'm s-sorry. I've missed so many.\What are you saying?\It's because of you I get to freely spike. response:	It's okay to have matches in which I look cooler than you.
context: Karasuno Nekoma\Time, once more.\Hinata, I want you to relax.\Yes.\I'm s-sorry. I've missed so many.\What are you saying?\It's because of you I get to freely spike.\It's okay to have matches in which I look cooler than you. response:	Although Asahi-san's scoring more.
