context: Hunt them to extinction! response:	Those in Lutiel's fleet are now under my command.
context: Roger! I'm sending over the pilot control data.\Our vessel will begin taking evasive measures!\All crew, you have 20 seconds to brace yourselves\and prepare for turbulence!\We're down to 10 seconds! Pilot controls are set for full auto!\Five,\four,\three, response:	two,
context: Our vessel will begin taking evasive measures!\All crew, you have 20 seconds to brace yourselves\and prepare for turbulence!\We're down to 10 seconds! Pilot controls are set for full auto!\Five,\four,\three,\two, response:	one!
context: All crew, you have 20 seconds to brace yourselves\and prepare for turbulence!\We're down to 10 seconds! Pilot controls are set for full auto!\Five,\four,\three,\two,\one! response:	Accelerate!
context: and prepare for turbulence!\We're down to 10 seconds! Pilot controls are set for full auto!\Five,\four,\three,\two,\one!\Accelerate! response:	The evasive pattern is within permissible range!
context: We're down to 10 seconds! Pilot controls are set for full auto!\Five,\four,\three,\two,\one!\Accelerate!\The evasive pattern is within permissible range! response:	It's a good thing they're drawing the big shots' attention away from us.
context: Five,\four,\three,\two,\one!\Accelerate!\The evasive pattern is within permissible range!\It's a good thing they're drawing the big shots' attention away from us. response:	Fire all weapons!
context: four,\three,\two,\one!\Accelerate!\The evasive pattern is within permissible range!\It's a good thing they're drawing the big shots' attention away from us.\Fire all weapons! response:	He's faster than before!
context: three,\two,\one!\Accelerate!\The evasive pattern is within permissible range!\It's a good thing they're drawing the big shots' attention away from us.\Fire all weapons!\He's faster than before! response:	If I don't stop him here and now...!
context: two,\one!\Accelerate!\The evasive pattern is within permissible range!\It's a good thing they're drawing the big shots' attention away from us.\Fire all weapons!\He's faster than before!\If I don't stop him here and now...! response:	Crap!
context: one!\Accelerate!\The evasive pattern is within permissible range!\It's a good thing they're drawing the big shots' attention away from us.\Fire all weapons!\He's faster than before!\If I don't stop him here and now...!\Crap! response:	What?!
context: Accelerate!\The evasive pattern is within permissible range!\It's a good thing they're drawing the big shots' attention away from us.\Fire all weapons!\He's faster than before!\If I don't stop him here and now...!\Crap!\What?! response:	Just now...
context: The evasive pattern is within permissible range!\It's a good thing they're drawing the big shots' attention away from us.\Fire all weapons!\He's faster than before!\If I don't stop him here and now...!\Crap!\What?!\Just now... response:	Please send me fuel, ammunition, a left arm and a booster pod!
context: It's a good thing they're drawing the big shots' attention away from us.\Fire all weapons!\He's faster than before!\If I don't stop him here and now...!\Crap!\What?!\Just now...\Please send me fuel, ammunition, a left arm and a booster pod! response:	They're ready to go!
context: Fire all weapons!\He's faster than before!\If I don't stop him here and now...!\Crap!\What?!\Just now...\Please send me fuel, ammunition, a left arm and a booster pod!\They're ready to go! response:	I just gotta input your coordinates.
context: He's faster than before!\If I don't stop him here and now...!\Crap!\What?!\Just now...\Please send me fuel, ammunition, a left arm and a booster pod!\They're ready to go!\I just gotta input your coordinates. response:	I should have known. Please send them over.
context: If I don't stop him here and now...!\Crap!\What?!\Just now...\Please send me fuel, ammunition, a left arm and a booster pod!\They're ready to go!\I just gotta input your coordinates.\I should have known. Please send them over. response:	Knowing you, don't freak out and screw up the docking.
context: Crap!\What?!\Just now...\Please send me fuel, ammunition, a left arm and a booster pod!\They're ready to go!\I just gotta input your coordinates.\I should have known. Please send them over.\Knowing you, don't freak out and screw up the docking. response:	Change the parts, quick!
context: What?!\Just now...\Please send me fuel, ammunition, a left arm and a booster pod!\They're ready to go!\I just gotta input your coordinates.\I should have known. Please send them over.\Knowing you, don't freak out and screw up the docking.\Change the parts, quick! response:	We're all out of spare boosters.
context: Just now...\Please send me fuel, ammunition, a left arm and a booster pod!\They're ready to go!\I just gotta input your coordinates.\I should have known. Please send them over.\Knowing you, don't freak out and screw up the docking.\Change the parts, quick!\We're all out of spare boosters. response:	Now what?
context: Please send me fuel, ammunition, a left arm and a booster pod!\They're ready to go!\I just gotta input your coordinates.\I should have known. Please send them over.\Knowing you, don't freak out and screw up the docking.\Change the parts, quick!\We're all out of spare boosters.\Now what? response:	I don't care what you do, just do something!
context: They're ready to go!\I just gotta input your coordinates.\I should have known. Please send them over.\Knowing you, don't freak out and screw up the docking.\Change the parts, quick!\We're all out of spare boosters.\Now what?\I don't care what you do, just do something! response:	Now I remember...
context: I just gotta input your coordinates.\I should have known. Please send them over.\Knowing you, don't freak out and screw up the docking.\Change the parts, quick!\We're all out of spare boosters.\Now what?\I don't care what you do, just do something!\Now I remember... response:	That's right.
context: I should have known. Please send them over.\Knowing you, don't freak out and screw up the docking.\Change the parts, quick!\We're all out of spare boosters.\Now what?\I don't care what you do, just do something!\Now I remember...\That's right. response:	I shouldn't suppress the AHSMB's survival instinct...
context: Knowing you, don't freak out and screw up the docking.\Change the parts, quick!\We're all out of spare boosters.\Now what?\I don't care what you do, just do something!\Now I remember...\That's right.\I shouldn't suppress the AHSMB's survival instinct... response:	Rather than defy its survival instinct,
context: Change the parts, quick!\We're all out of spare boosters.\Now what?\I don't care what you do, just do something!\Now I remember...\That's right.\I shouldn't suppress the AHSMB's survival instinct...\Rather than defy its survival instinct, response:	I should provide it directionality!
context: We're all out of spare boosters.\Now what?\I don't care what you do, just do something!\Now I remember...\That's right.\I shouldn't suppress the AHSMB's survival instinct...\Rather than defy its survival instinct,\I should provide it directionality! response:	That's it!
context: Now what?\I don't care what you do, just do something!\Now I remember...\That's right.\I shouldn't suppress the AHSMB's survival instinct...\Rather than defy its survival instinct,\I should provide it directionality!\That's it! response:	Let me see more of what you can do!
context: I don't care what you do, just do something!\Now I remember...\That's right.\I shouldn't suppress the AHSMB's survival instinct...\Rather than defy its survival instinct,\I should provide it directionality!\That's it!\Let me see more of what you can do! response:	You're just a stinking big bug!
context: Now I remember...\That's right.\I shouldn't suppress the AHSMB's survival instinct...\Rather than defy its survival instinct,\I should provide it directionality!\That's it!\Let me see more of what you can do!\You're just a stinking big bug! response:	The way you keep scurrying here and there,
context: That's right.\I shouldn't suppress the AHSMB's survival instinct...\Rather than defy its survival instinct,\I should provide it directionality!\That's it!\Let me see more of what you can do!\You're just a stinking big bug!\The way you keep scurrying here and there, response:	you must be a cockroach!
context: I shouldn't suppress the AHSMB's survival instinct...\Rather than defy its survival instinct,\I should provide it directionality!\That's it!\Let me see more of what you can do!\You're just a stinking big bug!\The way you keep scurrying here and there,\you must be a cockroach! response:	Let me squish you already!
context: Rather than defy its survival instinct,\I should provide it directionality!\That's it!\Let me see more of what you can do!\You're just a stinking big bug!\The way you keep scurrying here and there,\you must be a cockroach!\Let me squish you already! response:	Damn it! Why can't I hit him?!
context: I should provide it directionality!\That's it!\Let me see more of what you can do!\You're just a stinking big bug!\The way you keep scurrying here and there,\you must be a cockroach!\Let me squish you already!\Damn it! Why can't I hit him?! response:	Escort vessel Takanami, destroyed.
context: That's it!\Let me see more of what you can do!\You're just a stinking big bug!\The way you keep scurrying here and there,\you must be a cockroach!\Let me squish you already!\Damn it! Why can't I hit him?!\Escort vessel Takanami, destroyed. response:	Close-Support Fleet down to 21 ships!
context: Let me see more of what you can do!\You're just a stinking big bug!\The way you keep scurrying here and there,\you must be a cockroach!\Let me squish you already!\Damn it! Why can't I hit him?!\Escort vessel Takanami, destroyed.\Close-Support Fleet down to 21 ships! response:	Our vessel's firing capabilities are down to 12.
context: You're just a stinking big bug!\The way you keep scurrying here and there,\you must be a cockroach!\Let me squish you already!\Damn it! Why can't I hit him?!\Escort vessel Takanami, destroyed.\Close-Support Fleet down to 21 ships!\Our vessel's firing capabilities are down to 12. response:	We've lost our armor plating from Block 1 to Block 3.
context: The way you keep scurrying here and there,\you must be a cockroach!\Let me squish you already!\Damn it! Why can't I hit him?!\Escort vessel Takanami, destroyed.\Close-Support Fleet down to 21 ships!\Our vessel's firing capabilities are down to 12.\We've lost our armor plating from Block 1 to Block 3. response:	The engine is still capable of working at maximum power!
context: you must be a cockroach!\Let me squish you already!\Damn it! Why can't I hit him?!\Escort vessel Takanami, destroyed.\Close-Support Fleet down to 21 ships!\Our vessel's firing capabilities are down to 12.\We've lost our armor plating from Block 1 to Block 3.\The engine is still capable of working at maximum power! response:	It will take another eight minutes for the
context: Let me squish you already!\Damn it! Why can't I hit him?!\Escort vessel Takanami, destroyed.\Close-Support Fleet down to 21 ships!\Our vessel's firing capabilities are down to 12.\We've lost our armor plating from Block 1 to Block 3.\The engine is still capable of working at maximum power!\It will take another eight minutes for the response:	1st and 2nd Fleets to reorganize.
context: Damn it! Why can't I hit him?!\Escort vessel Takanami, destroyed.\Close-Support Fleet down to 21 ships!\Our vessel's firing capabilities are down to 12.\We've lost our armor plating from Block 1 to Block 3.\The engine is still capable of working at maximum power!\It will take another eight minutes for the\1st and 2nd Fleets to reorganize. response:	The Great Chinese Alliance and Bela-Russian's army
context: Escort vessel Takanami, destroyed.\Close-Support Fleet down to 21 ships!\Our vessel's firing capabilities are down to 12.\We've lost our armor plating from Block 1 to Block 3.\The engine is still capable of working at maximum power!\It will take another eight minutes for the\1st and 2nd Fleets to reorganize.\The Great Chinese Alliance and Bela-Russian's army response:	are out of our sensor's range.
context: Close-Support Fleet down to 21 ships!\Our vessel's firing capabilities are down to 12.\We've lost our armor plating from Block 1 to Block 3.\The engine is still capable of working at maximum power!\It will take another eight minutes for the\1st and 2nd Fleets to reorganize.\The Great Chinese Alliance and Bela-Russian's army\are out of our sensor's range. response:	How long before the Straggle Laser is fully charged?
context: Our vessel's firing capabilities are down to 12.\We've lost our armor plating from Block 1 to Block 3.\The engine is still capable of working at maximum power!\It will take another eight minutes for the\1st and 2nd Fleets to reorganize.\The Great Chinese Alliance and Bela-Russian's army\are out of our sensor's range.\How long before the Straggle Laser is fully charged? response:	It will be ready in ten minutes!
context: We've lost our armor plating from Block 1 to Block 3.\The engine is still capable of working at maximum power!\It will take another eight minutes for the\1st and 2nd Fleets to reorganize.\The Great Chinese Alliance and Bela-Russian's army\are out of our sensor's range.\How long before the Straggle Laser is fully charged?\It will be ready in ten minutes! response:	No matter what the cost,
context: The engine is still capable of working at maximum power!\It will take another eight minutes for the\1st and 2nd Fleets to reorganize.\The Great Chinese Alliance and Bela-Russian's army\are out of our sensor's range.\How long before the Straggle Laser is fully charged?\It will be ready in ten minutes!\No matter what the cost, response:	we must destroy that gate's control system!
context: It will take another eight minutes for the\1st and 2nd Fleets to reorganize.\The Great Chinese Alliance and Bela-Russian's army\are out of our sensor's range.\How long before the Straggle Laser is fully charged?\It will be ready in ten minutes!\No matter what the cost,\we must destroy that gate's control system! response:	Engine at full power!
context: 1st and 2nd Fleets to reorganize.\The Great Chinese Alliance and Bela-Russian's army\are out of our sensor's range.\How long before the Straggle Laser is fully charged?\It will be ready in ten minutes!\No matter what the cost,\we must destroy that gate's control system!\Engine at full power! response:	Have the remaining fleets enter Code: Fish Formation!
context: The Great Chinese Alliance and Bela-Russian's army\are out of our sensor's range.\How long before the Straggle Laser is fully charged?\It will be ready in ten minutes!\No matter what the cost,\we must destroy that gate's control system!\Engine at full power!\Have the remaining fleets enter Code: Fish Formation! response:	Prepare to charge!
context: are out of our sensor's range.\How long before the Straggle Laser is fully charged?\It will be ready in ten minutes!\No matter what the cost,\we must destroy that gate's control system!\Engine at full power!\Have the remaining fleets enter Code: Fish Formation!\Prepare to charge! response:	Our ship will now break through the center of the enemy's formation...
context: How long before the Straggle Laser is fully charged?\It will be ready in ten minutes!\No matter what the cost,\we must destroy that gate's control system!\Engine at full power!\Have the remaining fleets enter Code: Fish Formation!\Prepare to charge!\Our ship will now break through the center of the enemy's formation... response:	and head for the gate!
context: It will be ready in ten minutes!\No matter what the cost,\we must destroy that gate's control system!\Engine at full power!\Have the remaining fleets enter Code: Fish Formation!\Prepare to charge!\Our ship will now break through the center of the enemy's formation...\and head for the gate! response:	Tally-ho!
context: No matter what the cost,\we must destroy that gate's control system!\Engine at full power!\Have the remaining fleets enter Code: Fish Formation!\Prepare to charge!\Our ship will now break through the center of the enemy's formation...\and head for the gate!\Tally-ho! response:	The cavalry has arrived!
context: we must destroy that gate's control system!\Engine at full power!\Have the remaining fleets enter Code: Fish Formation!\Prepare to charge!\Our ship will now break through the center of the enemy's formation...\and head for the gate!\Tally-ho!\The cavalry has arrived! response:	Doberman...?
context: Engine at full power!\Have the remaining fleets enter Code: Fish Formation!\Prepare to charge!\Our ship will now break through the center of the enemy's formation...\and head for the gate!\Tally-ho!\The cavalry has arrived!\Doberman...? response:	I'm part of Doberman 2 now.
context: Have the remaining fleets enter Code: Fish Formation!\Prepare to charge!\Our ship will now break through the center of the enemy's formation...\and head for the gate!\Tally-ho!\The cavalry has arrived!\Doberman...?\I'm part of Doberman 2 now. response:	All units, charge!
context: Prepare to charge!\Our ship will now break through the center of the enemy's formation...\and head for the gate!\Tally-ho!\The cavalry has arrived!\Doberman...?\I'm part of Doberman 2 now.\All units, charge! response:	Those are the mass-produced AHSMB units!
context: Our ship will now break through the center of the enemy's formation...\and head for the gate!\Tally-ho!\The cavalry has arrived!\Doberman...?\I'm part of Doberman 2 now.\All units, charge!\Those are the mass-produced AHSMB units! response:	The enemy vanguard is pulling back!
context: and head for the gate!\Tally-ho!\The cavalry has arrived!\Doberman...?\I'm part of Doberman 2 now.\All units, charge!\Those are the mass-produced AHSMB units!\The enemy vanguard is pulling back! response:	Retrieving those units made us run late.
context: Tally-ho!\The cavalry has arrived!\Doberman...?\I'm part of Doberman 2 now.\All units, charge!\Those are the mass-produced AHSMB units!\The enemy vanguard is pulling back!\Retrieving those units made us run late. response:	Pulling back to lure the enemy in is a traditional tactic of ours.
context: The cavalry has arrived!\Doberman...?\I'm part of Doberman 2 now.\All units, charge!\Those are the mass-produced AHSMB units!\The enemy vanguard is pulling back!\Retrieving those units made us run late.\Pulling back to lure the enemy in is a traditional tactic of ours. response:	Now is the time for a counterattack!
context: Doberman...?\I'm part of Doberman 2 now.\All units, charge!\Those are the mass-produced AHSMB units!\The enemy vanguard is pulling back!\Retrieving those units made us run late.\Pulling back to lure the enemy in is a traditional tactic of ours.\Now is the time for a counterattack! response:	There is nowhere for us to go but forward!
context: I'm part of Doberman 2 now.\All units, charge!\Those are the mass-produced AHSMB units!\The enemy vanguard is pulling back!\Retrieving those units made us run late.\Pulling back to lure the enemy in is a traditional tactic of ours.\Now is the time for a counterattack!\There is nowhere for us to go but forward! response:	The 1st and 2nd Fleets have finished regrouping!
context: All units, charge!\Those are the mass-produced AHSMB units!\The enemy vanguard is pulling back!\Retrieving those units made us run late.\Pulling back to lure the enemy in is a traditional tactic of ours.\Now is the time for a counterattack!\There is nowhere for us to go but forward!\The 1st and 2nd Fleets have finished regrouping! response:	All fleets, advance!
context: Those are the mass-produced AHSMB units!\The enemy vanguard is pulling back!\Retrieving those units made us run late.\Pulling back to lure the enemy in is a traditional tactic of ours.\Now is the time for a counterattack!\There is nowhere for us to go but forward!\The 1st and 2nd Fleets have finished regrouping!\All fleets, advance! response:	We will seize the gate in one fell swoop!
context: The enemy vanguard is pulling back!\Retrieving those units made us run late.\Pulling back to lure the enemy in is a traditional tactic of ours.\Now is the time for a counterattack!\There is nowhere for us to go but forward!\The 1st and 2nd Fleets have finished regrouping!\All fleets, advance!\We will seize the gate in one fell swoop! response:	Remaining distance: 20.
context: Retrieving those units made us run late.\Pulling back to lure the enemy in is a traditional tactic of ours.\Now is the time for a counterattack!\There is nowhere for us to go but forward!\The 1st and 2nd Fleets have finished regrouping!\All fleets, advance!\We will seize the gate in one fell swoop!\Remaining distance: 20. response:	The gate is within firing range!
context: Pulling back to lure the enemy in is a traditional tactic of ours.\Now is the time for a counterattack!\There is nowhere for us to go but forward!\The 1st and 2nd Fleets have finished regrouping!\All fleets, advance!\We will seize the gate in one fell swoop!\Remaining distance: 20.\The gate is within firing range! response:	All ships, concentrate your fire on the gate!
context: Now is the time for a counterattack!\There is nowhere for us to go but forward!\The 1st and 2nd Fleets have finished regrouping!\All fleets, advance!\We will seize the gate in one fell swoop!\Remaining distance: 20.\The gate is within firing range!\All ships, concentrate your fire on the gate! response:	Hit it with everything you've got!
context: There is nowhere for us to go but forward!\The 1st and 2nd Fleets have finished regrouping!\All fleets, advance!\We will seize the gate in one fell swoop!\Remaining distance: 20.\The gate is within firing range!\All ships, concentrate your fire on the gate!\Hit it with everything you've got! response:	All units, open your fields to maximum output.
context: The 1st and 2nd Fleets have finished regrouping!\All fleets, advance!\We will seize the gate in one fell swoop!\Remaining distance: 20.\The gate is within firing range!\All ships, concentrate your fire on the gate!\Hit it with everything you've got!\All units, open your fields to maximum output. response:	Clear them out.
context: All fleets, advance!\We will seize the gate in one fell swoop!\Remaining distance: 20.\The gate is within firing range!\All ships, concentrate your fire on the gate!\Hit it with everything you've got!\All units, open your fields to maximum output.\Clear them out. response:	They blocked our attack?!
context: We will seize the gate in one fell swoop!\Remaining distance: 20.\The gate is within firing range!\All ships, concentrate your fire on the gate!\Hit it with everything you've got!\All units, open your fields to maximum output.\Clear them out.\They blocked our attack?! response:	Here comes the counterattack!
context: Remaining distance: 20.\The gate is within firing range!\All ships, concentrate your fire on the gate!\Hit it with everything you've got!\All units, open your fields to maximum output.\Clear them out.\They blocked our attack?!\Here comes the counterattack! response:	Enter shock-absorbing defensive positions!
context: The gate is within firing range!\All ships, concentrate your fire on the gate!\Hit it with everything you've got!\All units, open your fields to maximum output.\Clear them out.\They blocked our attack?!\Here comes the counterattack!\Enter shock-absorbing defensive positions! response:	Damage report!
context: All ships, concentrate your fire on the gate!\Hit it with everything you've got!\All units, open your fields to maximum output.\Clear them out.\They blocked our attack?!\Here comes the counterattack!\Enter shock-absorbing defensive positions!\Damage report! response:	Go! Go! Go! Go! Go!
context: Hit it with everything you've got!\All units, open your fields to maximum output.\Clear them out.\They blocked our attack?!\Here comes the counterattack!\Enter shock-absorbing defensive positions!\Damage report!\Go! Go! Go! Go! Go! response:	I'm not done yet!
context: All units, open your fields to maximum output.\Clear them out.\They blocked our attack?!\Here comes the counterattack!\Enter shock-absorbing defensive positions!\Damage report!\Go! Go! Go! Go! Go!\I'm not done yet! response:	Big Brother and Teoria...
context: Clear them out.\They blocked our attack?!\Here comes the counterattack!\Enter shock-absorbing defensive positions!\Damage report!\Go! Go! Go! Go! Go!\I'm not done yet!\Big Brother and Teoria... response:	Give me the power to protect everyone!
context: They blocked our attack?!\Here comes the counterattack!\Enter shock-absorbing defensive positions!\Damage report!\Go! Go! Go! Go! Go!\I'm not done yet!\Big Brother and Teoria...\Give me the power to protect everyone! response:	Izuru Hitachi's Harmonic Level is rising.
context: Here comes the counterattack!\Enter shock-absorbing defensive positions!\Damage report!\Go! Go! Go! Go! Go!\I'm not done yet!\Big Brother and Teoria...\Give me the power to protect everyone!\Izuru Hitachi's Harmonic Level is rising. response:	Red 5 has reached maximum output.
context: Enter shock-absorbing defensive positions!\Damage report!\Go! Go! Go! Go! Go!\I'm not done yet!\Big Brother and Teoria...\Give me the power to protect everyone!\Izuru Hitachi's Harmonic Level is rising.\Red 5 has reached maximum output. response:	Contacting Rada and Klein's squad.
context: Damage report!\Go! Go! Go! Go! Go!\I'm not done yet!\Big Brother and Teoria...\Give me the power to protect everyone!\Izuru Hitachi's Harmonic Level is rising.\Red 5 has reached maximum output.\Contacting Rada and Klein's squad. response:	Prepare to fire at full power.
context: Go! Go! Go! Go! Go!\I'm not done yet!\Big Brother and Teoria...\Give me the power to protect everyone!\Izuru Hitachi's Harmonic Level is rising.\Red 5 has reached maximum output.\Contacting Rada and Klein's squad.\Prepare to fire at full power. response:	Annihilate the enemy with that one attack!
context: I'm not done yet!\Big Brother and Teoria...\Give me the power to protect everyone!\Izuru Hitachi's Harmonic Level is rising.\Red 5 has reached maximum output.\Contacting Rada and Klein's squad.\Prepare to fire at full power.\Annihilate the enemy with that one attack! response:	Forces have decreased by 21.
context: Big Brother and Teoria...\Give me the power to protect everyone!\Izuru Hitachi's Harmonic Level is rising.\Red 5 has reached maximum output.\Contacting Rada and Klein's squad.\Prepare to fire at full power.\Annihilate the enemy with that one attack!\Forces have decreased by 21. response:	We've lost our armor plating up to Block 5!
context: Give me the power to protect everyone!\Izuru Hitachi's Harmonic Level is rising.\Red 5 has reached maximum output.\Contacting Rada and Klein's squad.\Prepare to fire at full power.\Annihilate the enemy with that one attack!\Forces have decreased by 21.\We've lost our armor plating up to Block 5! response:	It's dangerous to continue participation in the battle!
context: Izuru Hitachi's Harmonic Level is rising.\Red 5 has reached maximum output.\Contacting Rada and Klein's squad.\Prepare to fire at full power.\Annihilate the enemy with that one attack!\Forces have decreased by 21.\We've lost our armor plating up to Block 5!\It's dangerous to continue participation in the battle! response:	But we can't afford to stop now!
context: Red 5 has reached maximum output.\Contacting Rada and Klein's squad.\Prepare to fire at full power.\Annihilate the enemy with that one attack!\Forces have decreased by 21.\We've lost our armor plating up to Block 5!\It's dangerous to continue participation in the battle!\But we can't afford to stop now! response:	Enemy reinforcements!
context: Contacting Rada and Klein's squad.\Prepare to fire at full power.\Annihilate the enemy with that one attack!\Forces have decreased by 21.\We've lost our armor plating up to Block 5!\It's dangerous to continue participation in the battle!\But we can't afford to stop now!\Enemy reinforcements! response:	How much longer before we can fire the Straggle Laser?
context: Prepare to fire at full power.\Annihilate the enemy with that one attack!\Forces have decreased by 21.\We've lost our armor plating up to Block 5!\It's dangerous to continue participation in the battle!\But we can't afford to stop now!\Enemy reinforcements!\How much longer before we can fire the Straggle Laser? response:	Five minutes!
context: Annihilate the enemy with that one attack!\Forces have decreased by 21.\We've lost our armor plating up to Block 5!\It's dangerous to continue participation in the battle!\But we can't afford to stop now!\Enemy reinforcements!\How much longer before we can fire the Straggle Laser?\Five minutes! response:	We're running out of time!
context: Forces have decreased by 21.\We've lost our armor plating up to Block 5!\It's dangerous to continue participation in the battle!\But we can't afford to stop now!\Enemy reinforcements!\How much longer before we can fire the Straggle Laser?\Five minutes!\We're running out of time! response:	We'll ram our ship into the gate's control system.
context: We've lost our armor plating up to Block 5!\It's dangerous to continue participation in the battle!\But we can't afford to stop now!\Enemy reinforcements!\How much longer before we can fire the Straggle Laser?\Five minutes!\We're running out of time!\We'll ram our ship into the gate's control system. response:	All crew, prepare to abandon ship!
context: It's dangerous to continue participation in the battle!\But we can't afford to stop now!\Enemy reinforcements!\How much longer before we can fire the Straggle Laser?\Five minutes!\We're running out of time!\We'll ram our ship into the gate's control system.\All crew, prepare to abandon ship! response:	Hold off on that!
context: But we can't afford to stop now!\Enemy reinforcements!\How much longer before we can fire the Straggle Laser?\Five minutes!\We're running out of time!\We'll ram our ship into the gate's control system.\All crew, prepare to abandon ship!\Hold off on that! response:	We'll hit it with this!
context: Enemy reinforcements!\How much longer before we can fire the Straggle Laser?\Five minutes!\We're running out of time!\We'll ram our ship into the gate's control system.\All crew, prepare to abandon ship!\Hold off on that!\We'll hit it with this! response:	But how?!
context: How much longer before we can fire the Straggle Laser?\Five minutes!\We're running out of time!\We'll ram our ship into the gate's control system.\All crew, prepare to abandon ship!\Hold off on that!\We'll hit it with this!\But how?! response:	Ta-da-da!
context: Five minutes!\We're running out of time!\We'll ram our ship into the gate's control system.\All crew, prepare to abandon ship!\Hold off on that!\We'll hit it with this!\But how?!\Ta-da-da! response:	Thanks for waiting!
context: We're running out of time!\We'll ram our ship into the gate's control system.\All crew, prepare to abandon ship!\Hold off on that!\We'll hit it with this!\But how?!\Ta-da-da!\Thanks for waiting! response:	Klein's squad, attack the enemy vanguard.
context: We'll ram our ship into the gate's control system.\All crew, prepare to abandon ship!\Hold off on that!\We'll hit it with this!\But how?!\Ta-da-da!\Thanks for waiting!\Klein's squad, attack the enemy vanguard. response:	Rada's squad, serve as mobile defense on the flanks.
context: All crew, prepare to abandon ship!\Hold off on that!\We'll hit it with this!\But how?!\Ta-da-da!\Thanks for waiting!\Klein's squad, attack the enemy vanguard.\Rada's squad, serve as mobile defense on the flanks. response:	Don't let them through!
context: Hold off on that!\We'll hit it with this!\But how?!\Ta-da-da!\Thanks for waiting!\Klein's squad, attack the enemy vanguard.\Rada's squad, serve as mobile defense on the flanks.\Don't let them through! response:	The Straggle Laser will be ready to fire in two minutes!
context: We'll hit it with this!\But how?!\Ta-da-da!\Thanks for waiting!\Klein's squad, attack the enemy vanguard.\Rada's squad, serve as mobile defense on the flanks.\Don't let them through!\The Straggle Laser will be ready to fire in two minutes! response:	Are you all right, Asagi?
context: But how?!\Ta-da-da!\Thanks for waiting!\Klein's squad, attack the enemy vanguard.\Rada's squad, serve as mobile defense on the flanks.\Don't let them through!\The Straggle Laser will be ready to fire in two minutes!\Are you all right, Asagi? response:	Yeah, this is nothing,
context: Ta-da-da!\Thanks for waiting!\Klein's squad, attack the enemy vanguard.\Rada's squad, serve as mobile defense on the flanks.\Don't let them through!\The Straggle Laser will be ready to fire in two minutes!\Are you all right, Asagi?\Yeah, this is nothing, response:	It can't be...!
context: Thanks for waiting!\Klein's squad, attack the enemy vanguard.\Rada's squad, serve as mobile defense on the flanks.\Don't let them through!\The Straggle Laser will be ready to fire in two minutes!\Are you all right, Asagi?\Yeah, this is nothing,\It can't be...! response:	Something just came out!
context: Klein's squad, attack the enemy vanguard.\Rada's squad, serve as mobile defense on the flanks.\Don't let them through!\The Straggle Laser will be ready to fire in two minutes!\Are you all right, Asagi?\Yeah, this is nothing,\It can't be...!\Something just came out! response:	It's a new model!
context: Rada's squad, serve as mobile defense on the flanks.\Don't let them through!\The Straggle Laser will be ready to fire in two minutes!\Are you all right, Asagi?\Yeah, this is nothing,\It can't be...!\Something just came out!\It's a new model! response:	People of Wulgaru, listen to me.
context: Don't let them through!\The Straggle Laser will be ready to fire in two minutes!\Are you all right, Asagi?\Yeah, this is nothing,\It can't be...!\Something just came out!\It's a new model!\People of Wulgaru, listen to me. response:	My name is...
context: The Straggle Laser will be ready to fire in two minutes!\Are you all right, Asagi?\Yeah, this is nothing,\It can't be...!\Something just came out!\It's a new model!\People of Wulgaru, listen to me.\My name is... response:	My name is Pleguzesia Teoria.
context: Are you all right, Asagi?\Yeah, this is nothing,\It can't be...!\Something just came out!\It's a new model!\People of Wulgaru, listen to me.\My name is...\My name is Pleguzesia Teoria. response:	I am a descendant of the great Dakihaan
context: Yeah, this is nothing,\It can't be...!\Something just came out!\It's a new model!\People of Wulgaru, listen to me.\My name is...\My name is Pleguzesia Teoria.\I am a descendant of the great Dakihaan response:	as well as one who shares the
context: It can't be...!\Something just came out!\It's a new model!\People of Wulgaru, listen to me.\My name is...\My name is Pleguzesia Teoria.\I am a descendant of the great Dakihaan\as well as one who shares the response:	genes of the rightful ruler of the galaxy, Eguzes Galkie.
context: Something just came out!\It's a new model!\People of Wulgaru, listen to me.\My name is...\My name is Pleguzesia Teoria.\I am a descendant of the great Dakihaan\as well as one who shares the\genes of the rightful ruler of the galaxy, Eguzes Galkie. response:	Those who hear my voice,
context: It's a new model!\People of Wulgaru, listen to me.\My name is...\My name is Pleguzesia Teoria.\I am a descendant of the great Dakihaan\as well as one who shares the\genes of the rightful ruler of the galaxy, Eguzes Galkie.\Those who hear my voice, response:	Retreat immediately.
context: People of Wulgaru, listen to me.\My name is...\My name is Pleguzesia Teoria.\I am a descendant of the great Dakihaan\as well as one who shares the\genes of the rightful ruler of the galaxy, Eguzes Galkie.\Those who hear my voice,\Retreat immediately. response:	Teoria?!
context: My name is...\My name is Pleguzesia Teoria.\I am a descendant of the great Dakihaan\as well as one who shares the\genes of the rightful ruler of the galaxy, Eguzes Galkie.\Those who hear my voice,\Retreat immediately.\Teoria?! response:	She's pretty...
context: My name is Pleguzesia Teoria.\I am a descendant of the great Dakihaan\as well as one who shares the\genes of the rightful ruler of the galaxy, Eguzes Galkie.\Those who hear my voice,\Retreat immediately.\Teoria?!\She's pretty... response:	She's like a goddess.
context: I am a descendant of the great Dakihaan\as well as one who shares the\genes of the rightful ruler of the galaxy, Eguzes Galkie.\Those who hear my voice,\Retreat immediately.\Teoria?!\She's pretty...\She's like a goddess. response:	Don't try to flirt with her.
