context: It hurts! response:	Mommy!
context: They called me a demon!\They called me a monster and they mocked me!\It's your fault for being so violent!\This is dangerous...\How can you raise a child like that? He really looks like a demon!\Please stand back. This is dangerous.\Da-Daddy...\As if! Just kidding! You got scared? response:	Listen, Rin. If you keep on like this, you'll be all alone.
context: They called me a monster and they mocked me!\It's your fault for being so violent!\This is dangerous...\How can you raise a child like that? He really looks like a demon!\Please stand back. This is dangerous.\Da-Daddy...\As if! Just kidding! You got scared?\Listen, Rin. If you keep on like this, you'll be all alone. response:	Use your strength for someone else... For some gentler purpose.
context: It's your fault for being so violent!\This is dangerous...\How can you raise a child like that? He really looks like a demon!\Please stand back. This is dangerous.\Da-Daddy...\As if! Just kidding! You got scared?\Listen, Rin. If you keep on like this, you'll be all alone.\Use your strength for someone else... For some gentler purpose. response:	I want you to become a cool guy
context: This is dangerous...\How can you raise a child like that? He really looks like a demon!\Please stand back. This is dangerous.\Da-Daddy...\As if! Just kidding! You got scared?\Listen, Rin. If you keep on like this, you'll be all alone.\Use your strength for someone else... For some gentler purpose.\I want you to become a cool guy response:	with lots of friends and who's loved by the girls!
context: How can you raise a child like that? He really looks like a demon!\Please stand back. This is dangerous.\Da-Daddy...\As if! Just kidding! You got scared?\Listen, Rin. If you keep on like this, you'll be all alone.\Use your strength for someone else... For some gentler purpose.\I want you to become a cool guy\with lots of friends and who's loved by the girls! response:	What do you mean... How can I be like that?
context: Please stand back. This is dangerous.\Da-Daddy...\As if! Just kidding! You got scared?\Listen, Rin. If you keep on like this, you'll be all alone.\Use your strength for someone else... For some gentler purpose.\I want you to become a cool guy\with lots of friends and who's loved by the girls!\What do you mean... How can I be like that? response:	Struggle! If you try hard to be nice to people,
context: Da-Daddy...\As if! Just kidding! You got scared?\Listen, Rin. If you keep on like this, you'll be all alone.\Use your strength for someone else... For some gentler purpose.\I want you to become a cool guy\with lots of friends and who's loved by the girls!\What do you mean... How can I be like that?\Struggle! If you try hard to be nice to people, response:	one day you'll become like that.
context: As if! Just kidding! You got scared?\Listen, Rin. If you keep on like this, you'll be all alone.\Use your strength for someone else... For some gentler purpose.\I want you to become a cool guy\with lots of friends and who's loved by the girls!\What do you mean... How can I be like that?\Struggle! If you try hard to be nice to people,\one day you'll become like that. response:	I can't take it...
context: Listen, Rin. If you keep on like this, you'll be all alone.\Use your strength for someone else... For some gentler purpose.\I want you to become a cool guy\with lots of friends and who's loved by the girls!\What do you mean... How can I be like that?\Struggle! If you try hard to be nice to people,\one day you'll become like that.\I can't take it... response:	Call an ambulance!
context: Use your strength for someone else... For some gentler purpose.\I want you to become a cool guy\with lots of friends and who's loved by the girls!\What do you mean... How can I be like that?\Struggle! If you try hard to be nice to people,\one day you'll become like that.\I can't take it...\Call an ambulance! response:	Daddy!
context: I want you to become a cool guy\with lots of friends and who's loved by the girls!\What do you mean... How can I be like that?\Struggle! If you try hard to be nice to people,\one day you'll become like that.\I can't take it...\Call an ambulance!\Daddy! response:	Can you hear me, Mr. Fujimoto?
context: with lots of friends and who's loved by the girls!\What do you mean... How can I be like that?\Struggle! If you try hard to be nice to people,\one day you'll become like that.\I can't take it...\Call an ambulance!\Daddy!\Can you hear me, Mr. Fujimoto? response:	You have broken ribs.
context: What do you mean... How can I be like that?\Struggle! If you try hard to be nice to people,\one day you'll become like that.\I can't take it...\Call an ambulance!\Daddy!\Can you hear me, Mr. Fujimoto?\You have broken ribs. response:	You're kidding me?
context: Struggle! If you try hard to be nice to people,\one day you'll become like that.\I can't take it...\Call an ambulance!\Daddy!\Can you hear me, Mr. Fujimoto?\You have broken ribs.\You're kidding me? response:	Daddy!
context: one day you'll become like that.\I can't take it...\Call an ambulance!\Daddy!\Can you hear me, Mr. Fujimoto?\You have broken ribs.\You're kidding me?\Daddy! response:	Don't you look at me like that! Don't worry!
context: I can't take it...\Call an ambulance!\Daddy!\Can you hear me, Mr. Fujimoto?\You have broken ribs.\You're kidding me?\Daddy!\Don't you look at me like that! Don't worry! response:	A tiny fist like yours can't knock me down!
context: Call an ambulance!\Daddy!\Can you hear me, Mr. Fujimoto?\You have broken ribs.\You're kidding me?\Daddy!\Don't you look at me like that! Don't worry!\A tiny fist like yours can't knock me down! response:	But your ribs are broken...
context: Daddy!\Can you hear me, Mr. Fujimoto?\You have broken ribs.\You're kidding me?\Daddy!\Don't you look at me like that! Don't worry!\A tiny fist like yours can't knock me down!\But your ribs are broken... response:	I broke them on purpose. To match the spirit.
context: Can you hear me, Mr. Fujimoto?\You have broken ribs.\You're kidding me?\Daddy!\Don't you look at me like that! Don't worry!\A tiny fist like yours can't knock me down!\But your ribs are broken...\I broke them on purpose. To match the spirit. response:	I'll just have them checked out by some boobie-wonder nurses!
context: You have broken ribs.\You're kidding me?\Daddy!\Don't you look at me like that! Don't worry!\A tiny fist like yours can't knock me down!\But your ribs are broken...\I broke them on purpose. To match the spirit.\I'll just have them checked out by some boobie-wonder nurses! response:	Be careful! Careful!
context: You're kidding me?\Daddy!\Don't you look at me like that! Don't worry!\A tiny fist like yours can't knock me down!\But your ribs are broken...\I broke them on purpose. To match the spirit.\I'll just have them checked out by some boobie-wonder nurses!\Be careful! Careful! response:	I wanted to be a cool adult like Dad.
context: Daddy!\Don't you look at me like that! Don't worry!\A tiny fist like yours can't knock me down!\But your ribs are broken...\I broke them on purpose. To match the spirit.\I'll just have them checked out by some boobie-wonder nurses!\Be careful! Careful!\I wanted to be a cool adult like Dad. response:	I don't get it... Why are Father and Brother so obsessed with him?
context: Don't you look at me like that! Don't worry!\A tiny fist like yours can't knock me down!\But your ribs are broken...\I broke them on purpose. To match the spirit.\I'll just have them checked out by some boobie-wonder nurses!\Be careful! Careful!\I wanted to be a cool adult like Dad.\I don't get it... Why are Father and Brother so obsessed with him? response:	And you gotta prove that Shiro was right.
context: A tiny fist like yours can't knock me down!\But your ribs are broken...\I broke them on purpose. To match the spirit.\I'll just have them checked out by some boobie-wonder nurses!\Be careful! Careful!\I wanted to be a cool adult like Dad.\I don't get it... Why are Father and Brother so obsessed with him?\And you gotta prove that Shiro was right. response:	I'm not smart enough to figure out the answers no matter how much time I spend thinking.
context: But your ribs are broken...\I broke them on purpose. To match the spirit.\I'll just have them checked out by some boobie-wonder nurses!\Be careful! Careful!\I wanted to be a cool adult like Dad.\I don't get it... Why are Father and Brother so obsessed with him?\And you gotta prove that Shiro was right.\I'm not smart enough to figure out the answers no matter how much time I spend thinking. response:	Come, Blackie! Let's play!
context: I broke them on purpose. To match the spirit.\I'll just have them checked out by some boobie-wonder nurses!\Be careful! Careful!\I wanted to be a cool adult like Dad.\I don't get it... Why are Father and Brother so obsessed with him?\And you gotta prove that Shiro was right.\I'm not smart enough to figure out the answers no matter how much time I spend thinking.\Come, Blackie! Let's play! response:	Let's play! Let's play!
context: I'll just have them checked out by some boobie-wonder nurses!\Be careful! Careful!\I wanted to be a cool adult like Dad.\I don't get it... Why are Father and Brother so obsessed with him?\And you gotta prove that Shiro was right.\I'm not smart enough to figure out the answers no matter how much time I spend thinking.\Come, Blackie! Let's play!\Let's play! Let's play! response:	Let's do it, Rin!
context: Be careful! Careful!\I wanted to be a cool adult like Dad.\I don't get it... Why are Father and Brother so obsessed with him?\And you gotta prove that Shiro was right.\I'm not smart enough to figure out the answers no matter how much time I spend thinking.\Come, Blackie! Let's play!\Let's play! Let's play!\Let's do it, Rin! response:	Come!
context: I wanted to be a cool adult like Dad.\I don't get it... Why are Father and Brother so obsessed with him?\And you gotta prove that Shiro was right.\I'm not smart enough to figure out the answers no matter how much time I spend thinking.\Come, Blackie! Let's play!\Let's play! Let's play!\Let's do it, Rin!\Come! response:	All I can do now is to empty my head and dash forward.
context: I don't get it... Why are Father and Brother so obsessed with him?\And you gotta prove that Shiro was right.\I'm not smart enough to figure out the answers no matter how much time I spend thinking.\Come, Blackie! Let's play!\Let's play! Let's play!\Let's do it, Rin!\Come!\All I can do now is to empty my head and dash forward. response:	Nice to meet you!
context: And you gotta prove that Shiro was right.\I'm not smart enough to figure out the answers no matter how much time I spend thinking.\Come, Blackie! Let's play!\Let's play! Let's play!\Let's do it, Rin!\Come!\All I can do now is to empty my head and dash forward.\Nice to meet you! response:	I was dispatched by the Vatican headquarters.
context: I'm not smart enough to figure out the answers no matter how much time I spend thinking.\Come, Blackie! Let's play!\Let's play! Let's play!\Let's do it, Rin!\Come!\All I can do now is to empty my head and dash forward.\Nice to meet you!\I was dispatched by the Vatican headquarters. response:	I'm Shura Kirigakure, 18 years old.
context: Come, Blackie! Let's play!\Let's play! Let's play!\Let's do it, Rin!\Come!\All I can do now is to empty my head and dash forward.\Nice to meet you!\I was dispatched by the Vatican headquarters.\I'm Shura Kirigakure, 18 years old. response:	Whatever.
context: Let's play! Let's play!\Let's do it, Rin!\Come!\All I can do now is to empty my head and dash forward.\Nice to meet you!\I was dispatched by the Vatican headquarters.\I'm Shura Kirigakure, 18 years old.\Whatever. response:	I was taking classes with you guys for the past three months.
context: Let's do it, Rin!\Come!\All I can do now is to empty my head and dash forward.\Nice to meet you!\I was dispatched by the Vatican headquarters.\I'm Shura Kirigakure, 18 years old.\Whatever.\I was taking classes with you guys for the past three months. response:	Let's get along!
context: Come!\All I can do now is to empty my head and dash forward.\Nice to meet you!\I was dispatched by the Vatican headquarters.\I'm Shura Kirigakure, 18 years old.\Whatever.\I was taking classes with you guys for the past three months.\Let's get along! response:	I'm in charge of teaching you magic circles, seals and... Oh damn, even swords?
context: All I can do now is to empty my head and dash forward.\Nice to meet you!\I was dispatched by the Vatican headquarters.\I'm Shura Kirigakure, 18 years old.\Whatever.\I was taking classes with you guys for the past three months.\Let's get along!\I'm in charge of teaching you magic circles, seals and... Oh damn, even swords? response:	Umm, Professor.
context: Nice to meet you!\I was dispatched by the Vatican headquarters.\I'm Shura Kirigakure, 18 years old.\Whatever.\I was taking classes with you guys for the past three months.\Let's get along!\I'm in charge of teaching you magic circles, seals and... Oh damn, even swords?\Umm, Professor. response:	What is it, Suguro?
context: I was dispatched by the Vatican headquarters.\I'm Shura Kirigakure, 18 years old.\Whatever.\I was taking classes with you guys for the past three months.\Let's get along!\I'm in charge of teaching you magic circles, seals and... Oh damn, even swords?\Umm, Professor.\What is it, Suguro? response:	Why did you disguise yourself as a student?
context: I'm Shura Kirigakure, 18 years old.\Whatever.\I was taking classes with you guys for the past three months.\Let's get along!\I'm in charge of teaching you magic circles, seals and... Oh damn, even swords?\Umm, Professor.\What is it, Suguro?\Why did you disguise yourself as a student? response:	Adult matters. None of you kids' business.
context: Whatever.\I was taking classes with you guys for the past three months.\Let's get along!\I'm in charge of teaching you magic circles, seals and... Oh damn, even swords?\Umm, Professor.\What is it, Suguro?\Why did you disguise yourself as a student?\Adult matters. None of you kids' business. response:	Kids?!
context: I was taking classes with you guys for the past three months.\Let's get along!\I'm in charge of teaching you magic circles, seals and... Oh damn, even swords?\Umm, Professor.\What is it, Suguro?\Why did you disguise yourself as a student?\Adult matters. None of you kids' business.\Kids?! response:	Miss! Professor Neuhaus was our teacher for that class.
context: Let's get along!\I'm in charge of teaching you magic circles, seals and... Oh damn, even swords?\Umm, Professor.\What is it, Suguro?\Why did you disguise yourself as a student?\Adult matters. None of you kids' business.\Kids?!\Miss! Professor Neuhaus was our teacher for that class. response:	Why would he be transferred in the middle of the term?
context: I'm in charge of teaching you magic circles, seals and... Oh damn, even swords?\Umm, Professor.\What is it, Suguro?\Why did you disguise yourself as a student?\Adult matters. None of you kids' business.\Kids?!\Miss! Professor Neuhaus was our teacher for that class.\Why would he be transferred in the middle of the term? response:	He's on maternity leave! Maternity!
context: Umm, Professor.\What is it, Suguro?\Why did you disguise yourself as a student?\Adult matters. None of you kids' business.\Kids?!\Miss! Professor Neuhaus was our teacher for that class.\Why would he be transferred in the middle of the term?\He's on maternity leave! Maternity! response:	Professor Neuhaus is a man.
context: What is it, Suguro?\Why did you disguise yourself as a student?\Adult matters. None of you kids' business.\Kids?!\Miss! Professor Neuhaus was our teacher for that class.\Why would he be transferred in the middle of the term?\He's on maternity leave! Maternity!\Professor Neuhaus is a man. response:	You know, he can still take a break to take care of the kid.
context: Why did you disguise yourself as a student?\Adult matters. None of you kids' business.\Kids?!\Miss! Professor Neuhaus was our teacher for that class.\Why would he be transferred in the middle of the term?\He's on maternity leave! Maternity!\Professor Neuhaus is a man.\You know, he can still take a break to take care of the kid. response:	Oh whatever. Just ask the Principal if you care about it so much.
context: Adult matters. None of you kids' business.\Kids?!\Miss! Professor Neuhaus was our teacher for that class.\Why would he be transferred in the middle of the term?\He's on maternity leave! Maternity!\Professor Neuhaus is a man.\You know, he can still take a break to take care of the kid.\Oh whatever. Just ask the Principal if you care about it so much. response:	Rin is late.
context: Kids?!\Miss! Professor Neuhaus was our teacher for that class.\Why would he be transferred in the middle of the term?\He's on maternity leave! Maternity!\Professor Neuhaus is a man.\You know, he can still take a break to take care of the kid.\Oh whatever. Just ask the Principal if you care about it so much.\Rin is late. response:	Sorry!
context: Miss! Professor Neuhaus was our teacher for that class.\Why would he be transferred in the middle of the term?\He's on maternity leave! Maternity!\Professor Neuhaus is a man.\You know, he can still take a break to take care of the kid.\Oh whatever. Just ask the Principal if you care about it so much.\Rin is late.\Sorry! response:	Rin!
context: Why would he be transferred in the middle of the term?\He's on maternity leave! Maternity!\Professor Neuhaus is a man.\You know, he can still take a break to take care of the kid.\Oh whatever. Just ask the Principal if you care about it so much.\Rin is late.\Sorry!\Rin! response:	and no one woke me up even when the homeroom ended...
context: He's on maternity leave! Maternity!\Professor Neuhaus is a man.\You know, he can still take a break to take care of the kid.\Oh whatever. Just ask the Principal if you care about it so much.\Rin is late.\Sorry!\Rin!\and no one woke me up even when the homeroom ended... response:	Don't just stand there with your excuses, come on in.
context: Professor Neuhaus is a man.\You know, he can still take a break to take care of the kid.\Oh whatever. Just ask the Principal if you care about it so much.\Rin is late.\Sorry!\Rin!\and no one woke me up even when the homeroom ended...\Don't just stand there with your excuses, come on in. response:	I won't get mad.
context: You know, he can still take a break to take care of the kid.\Oh whatever. Just ask the Principal if you care about it so much.\Rin is late.\Sorry!\Rin!\and no one woke me up even when the homeroom ended...\Don't just stand there with your excuses, come on in.\I won't get mad. response:	Huh? Why are you...?!
context: Oh whatever. Just ask the Principal if you care about it so much.\Rin is late.\Sorry!\Rin!\and no one woke me up even when the homeroom ended...\Don't just stand there with your excuses, come on in.\I won't get mad.\Huh? Why are you...?! response:	Just get to your seat already.
context: Rin is late.\Sorry!\Rin!\and no one woke me up even when the homeroom ended...\Don't just stand there with your excuses, come on in.\I won't get mad.\Huh? Why are you...?!\Just get to your seat already. response:	Rin, are your wounds okay?
context: Sorry!\Rin!\and no one woke me up even when the homeroom ended...\Don't just stand there with your excuses, come on in.\I won't get mad.\Huh? Why are you...?!\Just get to your seat already.\Rin, are your wounds okay? response:	Huh? Yeah, I'm fine, why?
context: Rin!\and no one woke me up even when the homeroom ended...\Don't just stand there with your excuses, come on in.\I won't get mad.\Huh? Why are you...?!\Just get to your seat already.\Rin, are your wounds okay?\Huh? Yeah, I'm fine, why? response:	Sure, then it's okay.
context: and no one woke me up even when the homeroom ended...\Don't just stand there with your excuses, come on in.\I won't get mad.\Huh? Why are you...?!\Just get to your seat already.\Rin, are your wounds okay?\Huh? Yeah, I'm fine, why?\Sure, then it's okay. response:	Somehow he seems different.
context: Don't just stand there with your excuses, come on in.\I won't get mad.\Huh? Why are you...?!\Just get to your seat already.\Rin, are your wounds okay?\Huh? Yeah, I'm fine, why?\Sure, then it's okay.\Somehow he seems different. response:	Maybe something happened?
context: I won't get mad.\Huh? Why are you...?!\Just get to your seat already.\Rin, are your wounds okay?\Huh? Yeah, I'm fine, why?\Sure, then it's okay.\Somehow he seems different.\Maybe something happened? response:	Do you think so?
context: Huh? Why are you...?!\Just get to your seat already.\Rin, are your wounds okay?\Huh? Yeah, I'm fine, why?\Sure, then it's okay.\Somehow he seems different.\Maybe something happened?\Do you think so? response:	Now that you're all here, let's start the class.
context: Just get to your seat already.\Rin, are your wounds okay?\Huh? Yeah, I'm fine, why?\Sure, then it's okay.\Somehow he seems different.\Maybe something happened?\Do you think so?\Now that you're all here, let's start the class. response:	Introduction to Sigils, from the part about mammomancy.
context: Rin, are your wounds okay?\Huh? Yeah, I'm fine, why?\Sure, then it's okay.\Somehow he seems different.\Maybe something happened?\Do you think so?\Now that you're all here, let's start the class.\Introduction to Sigils, from the part about mammomancy. response:	Okumura, because you were late.
context: Huh? Yeah, I'm fine, why?\Sure, then it's okay.\Somehow he seems different.\Maybe something happened?\Do you think so?\Now that you're all here, let's start the class.\Introduction to Sigils, from the part about mammomancy.\Okumura, because you were late. response:	Yes.
context: Sure, then it's okay.\Somehow he seems different.\Maybe something happened?\Do you think so?\Now that you're all here, let's start the class.\Introduction to Sigils, from the part about mammomancy.\Okumura, because you were late.\Yes. response:	I'll do it to become Paladin.
context: Somehow he seems different.\Maybe something happened?\Do you think so?\Now that you're all here, let's start the class.\Introduction to Sigils, from the part about mammomancy.\Okumura, because you were late.\Yes.\I'll do it to become Paladin. response:	I'll do anything!
context: Maybe something happened?\Do you think so?\Now that you're all here, let's start the class.\Introduction to Sigils, from the part about mammomancy.\Okumura, because you were late.\Yes.\I'll do it to become Paladin.\I'll do anything! response:	Umm... In relation to sauces about ancient geomancy...
context: Do you think so?\Now that you're all here, let's start the class.\Introduction to Sigils, from the part about mammomancy.\Okumura, because you were late.\Yes.\I'll do it to become Paladin.\I'll do anything!\Umm... In relation to sauces about ancient geomancy... response:	Sources.
context: Now that you're all here, let's start the class.\Introduction to Sigils, from the part about mammomancy.\Okumura, because you were late.\Yes.\I'll do it to become Paladin.\I'll do anything!\Umm... In relation to sauces about ancient geomancy...\Sources. response:	It's the same as always.
context: Introduction to Sigils, from the part about mammomancy.\Okumura, because you were late.\Yes.\I'll do it to become Paladin.\I'll do anything!\Umm... In relation to sauces about ancient geomancy...\Sources.\It's the same as always. response:	Yeah, guess I was wrong.
context: Okumura, because you were late.\Yes.\I'll do it to become Paladin.\I'll do anything!\Umm... In relation to sauces about ancient geomancy...\Sources.\It's the same as always.\Yeah, guess I was wrong. response:	That wasn't my fault.
context: Yes.\I'll do it to become Paladin.\I'll do anything!\Umm... In relation to sauces about ancient geomancy...\Sources.\It's the same as always.\Yeah, guess I was wrong.\That wasn't my fault. response:	The fun summer vacation has started.
context: I'll do it to become Paladin.\I'll do anything!\Umm... In relation to sauces about ancient geomancy...\Sources.\It's the same as always.\Yeah, guess I was wrong.\That wasn't my fault.\The fun summer vacation has started. response:	This feels like some fun picnic, I'm so excited!
context: I'll do anything!\Umm... In relation to sauces about ancient geomancy...\Sources.\It's the same as always.\Yeah, guess I was wrong.\That wasn't my fault.\The fun summer vacation has started.\This feels like some fun picnic, I'm so excited! response:	Do you understand?
context: Umm... In relation to sauces about ancient geomancy...\Sources.\It's the same as always.\Yeah, guess I was wrong.\That wasn't my fault.\The fun summer vacation has started.\This feels like some fun picnic, I'm so excited!\Do you understand? response:	I'm telling you to keep your flames down.
context: Sources.\It's the same as always.\Yeah, guess I was wrong.\That wasn't my fault.\The fun summer vacation has started.\This feels like some fun picnic, I'm so excited!\Do you understand?\I'm telling you to keep your flames down. response:	What the hell was that just now?
context: It's the same as always.\Yeah, guess I was wrong.\That wasn't my fault.\The fun summer vacation has started.\This feels like some fun picnic, I'm so excited!\Do you understand?\I'm telling you to keep your flames down.\What the hell was that just now? response:	Rin Okumura
context: Yeah, guess I was wrong.\That wasn't my fault.\The fun summer vacation has started.\This feels like some fun picnic, I'm so excited!\Do you understand?\I'm telling you to keep your flames down.\What the hell was that just now?\Rin Okumura response:	Episode 13 sziasztok Proof
context: That wasn't my fault.\The fun summer vacation has started.\This feels like some fun picnic, I'm so excited!\Do you understand?\I'm telling you to keep your flames down.\What the hell was that just now?\Rin Okumura\Episode 13 sziasztok Proof response:	Infirmary
context: The fun summer vacation has started.\This feels like some fun picnic, I'm so excited!\Do you understand?\I'm telling you to keep your flames down.\What the hell was that just now?\Rin Okumura\Episode 13 sziasztok Proof\Infirmary response:	True Cross Academy Earthquake Damages Report File
context: This feels like some fun picnic, I'm so excited!\Do you understand?\I'm telling you to keep your flames down.\What the hell was that just now?\Rin Okumura\Episode 13 sziasztok Proof\Infirmary\True Cross Academy Earthquake Damages Report File response:	Next Episode Preview
context: Do you understand?\I'm telling you to keep your flames down.\What the hell was that just now?\Rin Okumura\Episode 13 sziasztok Proof\Infirmary\True Cross Academy Earthquake Damages Report File\Next Episode Preview response:	I've got an idea
context: I'm telling you to keep your flames down.\What the hell was that just now?\Rin Okumura\Episode 13 sziasztok Proof\Infirmary\True Cross Academy Earthquake Damages Report File\Next Episode Preview\I've got an idea response:	A Fun Camp
context: What the hell was that just now?\Rin Okumura\Episode 13 sziasztok Proof\Infirmary\True Cross Academy Earthquake Damages Report File\Next Episode Preview\I've got an idea\A Fun Camp response:	The Blue Exorcist
context: Rin Okumura\Episode 13 sziasztok Proof\Infirmary\True Cross Academy Earthquake Damages Report File\Next Episode Preview\I've got an idea\A Fun Camp\The Blue Exorcist response:	The Blue Exorcist
context: Episode 13 sziasztok Proof\Infirmary\True Cross Academy Earthquake Damages Report File\Next Episode Preview\I've got an idea\A Fun Camp\The Blue Exorcist\The Blue Exorcist response:	The Blue Exorcist
context: Infirmary\True Cross Academy Earthquake Damages Report File\Next Episode Preview\I've got an idea\A Fun Camp\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist response:	The Blue Exorcist
context: True Cross Academy Earthquake Damages Report File\Next Episode Preview\I've got an idea\A Fun Camp\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist response:	The Blue Exorcist
context: Next Episode Preview\I've got an idea\A Fun Camp\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist response:	The Blue Exorcist
context: I've got an idea\A Fun Camp\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist response:	nuguisarenai kako no kanashimi
context: A Fun Camp\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\nuguisarenai kako no kanashimi response:	It's alright kokoro ni mo nai
context: The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai response:	Blastar hanachi te wo nobashita
context: The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita response:	sakete toorenai michi wa itsu kara ka konna datta
context: The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta response:	soshite daremo inakunatta...
context: The Blue Exorcist\The Blue Exorcist\The Blue Exorcist\nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta... response:	unmei nante kuso kurae
context: The Blue Exorcist\The Blue Exorcist\nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta...\unmei nante kuso kurae response:	yarikirenakute cry for pride
context: The Blue Exorcist\nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta...\unmei nante kuso kurae\yarikirenakute cry for pride response:	hibiku ai no uta
context: nuguisarenai kako no kanashimi\It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta...\unmei nante kuso kurae\yarikirenakute cry for pride\hibiku ai no uta response:	yuganda sekai magatta negai
context: It's alright kokoro ni mo nai\Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta...\unmei nante kuso kurae\yarikirenakute cry for pride\hibiku ai no uta\yuganda sekai magatta negai response:	kuzuresatte iku risou to ashita
context: Blastar hanachi te wo nobashita\sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta...\unmei nante kuso kurae\yarikirenakute cry for pride\hibiku ai no uta\yuganda sekai magatta negai\kuzuresatte iku risou to ashita response:	haite suteru hodo ni taikutsu datta
context: sakete toorenai michi wa itsu kara ka konna datta\soshite daremo inakunatta...\unmei nante kuso kurae\yarikirenakute cry for pride\hibiku ai no uta\yuganda sekai magatta negai\kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta response:	unmei nante nurikaete
context: soshite daremo inakunatta...\unmei nante kuso kurae\yarikirenakute cry for pride\hibiku ai no uta\yuganda sekai magatta negai\kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta\unmei nante nurikaete response:	kizu darake ni natte try for pride
context: unmei nante kuso kurae\yarikirenakute cry for pride\hibiku ai no uta\yuganda sekai magatta negai\kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta\unmei nante nurikaete\kizu darake ni natte try for pride response:	soredemo ai wo utau
context: yarikirenakute cry for pride\hibiku ai no uta\yuganda sekai magatta negai\kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta\unmei nante nurikaete\kizu darake ni natte try for pride\soredemo ai wo utau response:	hizunda sekai todokazu negai
context: hibiku ai no uta\yuganda sekai magatta negai\kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta\unmei nante nurikaete\kizu darake ni natte try for pride\soredemo ai wo utau\hizunda sekai todokazu negai response:	kizuki ageteku kizuna to ashita
context: yuganda sekai magatta negai\kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta\unmei nante nurikaete\kizu darake ni natte try for pride\soredemo ai wo utau\hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita response:	haite sutete mo kekkyoku taisetsu nanda
context: kuzuresatte iku risou to ashita\haite suteru hodo ni taikutsu datta\unmei nante nurikaete\kizu darake ni natte try for pride\soredemo ai wo utau\hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita\haite sutete mo kekkyoku taisetsu nanda response:	it's my precious life
context: haite suteru hodo ni taikutsu datta\unmei nante nurikaete\kizu darake ni natte try for pride\soredemo ai wo utau\hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita\haite sutete mo kekkyoku taisetsu nanda\it's my precious life response:	harewatari michi ni hikari wa sashita
context: unmei nante nurikaete\kizu darake ni natte try for pride\soredemo ai wo utau\hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita\haite sutete mo kekkyoku taisetsu nanda\it's my precious life\harewatari michi ni hikari wa sashita response:	Let's fight osore wa nai
context: kizu darake ni natte try for pride\soredemo ai wo utau\hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita\haite sutete mo kekkyoku taisetsu nanda\it's my precious life\harewatari michi ni hikari wa sashita\Let's fight osore wa nai response:	moroha no tsurugi furikazashita
context: soredemo ai wo utau\hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita\haite sutete mo kekkyoku taisetsu nanda\it's my precious life\harewatari michi ni hikari wa sashita\Let's fight osore wa nai\moroha no tsurugi furikazashita response:	Dark side in my heart is
context: hizunda sekai todokazu negai\kizuki ageteku kizuna to ashita\haite sutete mo kekkyoku taisetsu nanda\it's my precious life\harewatari michi ni hikari wa sashita\Let's fight osore wa nai\moroha no tsurugi furikazashita\Dark side in my heart is response:	the unerasable sadness of the past.
