context: Damn! I can't move! response:	Fool! You can jump or run... but you can't escape my wind!
context: These bodies...\Naraku nourishes his body with these demons...\I see!\Like Inuyasha, Naraku is a half-demon!\Kagura...\While I slept, you left the castle, didn't you?\Kagura... You are a part of me.\Would you like to return to my flesh again? response:	W-Wait!
context: Naraku nourishes his body with these demons...\I see!\Like Inuyasha, Naraku is a half-demon!\Kagura...\While I slept, you left the castle, didn't you?\Kagura... You are a part of me.\Would you like to return to my flesh again?\W-Wait! response:	I promise I won't do it again!
context: I see!\Like Inuyasha, Naraku is a half-demon!\Kagura...\While I slept, you left the castle, didn't you?\Kagura... You are a part of me.\Would you like to return to my flesh again?\W-Wait!\I promise I won't do it again! response:	There is no second time.
context: Like Inuyasha, Naraku is a half-demon!\Kagura...\While I slept, you left the castle, didn't you?\Kagura... You are a part of me.\Would you like to return to my flesh again?\W-Wait!\I promise I won't do it again!\There is no second time. response:	I cannot escape from Naraku alone.
context: Kagura...\While I slept, you left the castle, didn't you?\Kagura... You are a part of me.\Would you like to return to my flesh again?\W-Wait!\I promise I won't do it again!\There is no second time.\I cannot escape from Naraku alone. response:	Inuyasha... I'll let you live for a bit longer.
context: While I slept, you left the castle, didn't you?\Kagura... You are a part of me.\Would you like to return to my flesh again?\W-Wait!\I promise I won't do it again!\There is no second time.\I cannot escape from Naraku alone.\Inuyasha... I'll let you live for a bit longer. response:	You're my precious trump card.
context: Kagura... You are a part of me.\Would you like to return to my flesh again?\W-Wait!\I promise I won't do it again!\There is no second time.\I cannot escape from Naraku alone.\Inuyasha... I'll let you live for a bit longer.\You're my precious trump card. response:	It'll get harder now.
context: Would you like to return to my flesh again?\W-Wait!\I promise I won't do it again!\There is no second time.\I cannot escape from Naraku alone.\Inuyasha... I'll let you live for a bit longer.\You're my precious trump card.\It'll get harder now. response:	Since Kagura knows the secret,
context: W-Wait!\I promise I won't do it again!\There is no second time.\I cannot escape from Naraku alone.\Inuyasha... I'll let you live for a bit longer.\You're my precious trump card.\It'll get harder now.\Since Kagura knows the secret, response:	Sango and I must get even stronger,
context: I promise I won't do it again!\There is no second time.\I cannot escape from Naraku alone.\Inuyasha... I'll let you live for a bit longer.\You're my precious trump card.\It'll get harder now.\Since Kagura knows the secret,\Sango and I must get even stronger, response:	Besides, I'm the one who comes through in a clutch.
context: There is no second time.\I cannot escape from Naraku alone.\Inuyasha... I'll let you live for a bit longer.\You're my precious trump card.\It'll get harder now.\Since Kagura knows the secret,\Sango and I must get even stronger,\Besides, I'm the one who comes through in a clutch. response:	You know?
context: I cannot escape from Naraku alone.\Inuyasha... I'll let you live for a bit longer.\You're my precious trump card.\It'll get harder now.\Since Kagura knows the secret,\Sango and I must get even stronger,\Besides, I'm the one who comes through in a clutch.\You know? response:	He's just saying that.
context: Inuyasha... I'll let you live for a bit longer.\You're my precious trump card.\It'll get harder now.\Since Kagura knows the secret,\Sango and I must get even stronger,\Besides, I'm the one who comes through in a clutch.\You know?\He's just saying that. response:	I mean, before Inuyasha met you all,
context: You're my precious trump card.\It'll get harder now.\Since Kagura knows the secret,\Sango and I must get even stronger,\Besides, I'm the one who comes through in a clutch.\You know?\He's just saying that.\I mean, before Inuyasha met you all, response:	he'd never let anyone see his human form.
context: It'll get harder now.\Since Kagura knows the secret,\Sango and I must get even stronger,\Besides, I'm the one who comes through in a clutch.\You know?\He's just saying that.\I mean, before Inuyasha met you all,\he'd never let anyone see his human form. response:	He really depends on you.
context: Since Kagura knows the secret,\Sango and I must get even stronger,\Besides, I'm the one who comes through in a clutch.\You know?\He's just saying that.\I mean, before Inuyasha met you all,\he'd never let anyone see his human form.\He really depends on you. response:	Who said anything about depending on anyone?!
context: Sango and I must get even stronger,\Besides, I'm the one who comes through in a clutch.\You know?\He's just saying that.\I mean, before Inuyasha met you all,\he'd never let anyone see his human form.\He really depends on you.\Who said anything about depending on anyone?! response:	Inuyasha, don't be embarrassed.
context: Besides, I'm the one who comes through in a clutch.\You know?\He's just saying that.\I mean, before Inuyasha met you all,\he'd never let anyone see his human form.\He really depends on you.\Who said anything about depending on anyone?!\Inuyasha, don't be embarrassed. response:	Who's embarrassed?!
context: You know?\He's just saying that.\I mean, before Inuyasha met you all,\he'd never let anyone see his human form.\He really depends on you.\Who said anything about depending on anyone?!\Inuyasha, don't be embarrassed.\Who's embarrassed?! response:	- I think you are! - I think so, too!
context: He's just saying that.\I mean, before Inuyasha met you all,\he'd never let anyone see his human form.\He really depends on you.\Who said anything about depending on anyone?!\Inuyasha, don't be embarrassed.\Who's embarrassed?!\- I think you are! - I think so, too! response:	Cut it out, will ya?!
context: I mean, before Inuyasha met you all,\he'd never let anyone see his human form.\He really depends on you.\Who said anything about depending on anyone?!\Inuyasha, don't be embarrassed.\Who's embarrassed?!\- I think you are! - I think so, too!\Cut it out, will ya?! response:	You can depend on us anytime, Inuyasha!
context: he'd never let anyone see his human form.\He really depends on you.\Who said anything about depending on anyone?!\Inuyasha, don't be embarrassed.\Who's embarrassed?!\- I think you are! - I think so, too!\Cut it out, will ya?!\You can depend on us anytime, Inuyasha! response:	Hey!
context: He really depends on you.\Who said anything about depending on anyone?!\Inuyasha, don't be embarrassed.\Who's embarrassed?!\- I think you are! - I think so, too!\Cut it out, will ya?!\You can depend on us anytime, Inuyasha!\Hey! response:	He's always fighting.
context: Who said anything about depending on anyone?!\Inuyasha, don't be embarrassed.\Who's embarrassed?!\- I think you are! - I think so, too!\Cut it out, will ya?!\You can depend on us anytime, Inuyasha!\Hey!\He's always fighting. response:	But he trusts us all.
context: Inuyasha, don't be embarrassed.\Who's embarrassed?!\- I think you are! - I think so, too!\Cut it out, will ya?!\You can depend on us anytime, Inuyasha!\Hey!\He's always fighting.\But he trusts us all. response:	That's why he wasn't discouraged on the night of the new moon.
context: Who's embarrassed?!\- I think you are! - I think so, too!\Cut it out, will ya?!\You can depend on us anytime, Inuyasha!\Hey!\He's always fighting.\But he trusts us all.\That's why he wasn't discouraged on the night of the new moon. response:	And that could be the secret to his strength.
context: - I think you are! - I think so, too!\Cut it out, will ya?!\You can depend on us anytime, Inuyasha!\Hey!\He's always fighting.\But he trusts us all.\That's why he wasn't discouraged on the night of the new moon.\And that could be the secret to his strength. response:	I am Shippo, the child fox-demon of justice!
context: Cut it out, will ya?!\You can depend on us anytime, Inuyasha!\Hey!\He's always fighting.\But he trusts us all.\That's why he wasn't discouraged on the night of the new moon.\And that could be the secret to his strength.\I am Shippo, the child fox-demon of justice! response:	And I received a letter of challenge!
context: You can depend on us anytime, Inuyasha!\Hey!\He's always fighting.\But he trusts us all.\That's why he wasn't discouraged on the night of the new moon.\And that could be the secret to his strength.\I am Shippo, the child fox-demon of justice!\And I received a letter of challenge! response:	And my opponents are...
context: Hey!\He's always fighting.\But he trusts us all.\That's why he wasn't discouraged on the night of the new moon.\And that could be the secret to his strength.\I am Shippo, the child fox-demon of justice!\And I received a letter of challenge!\And my opponents are... response:	Survivors of the Raijuu Tribe?!
context: He's always fighting.\But he trusts us all.\That's why he wasn't discouraged on the night of the new moon.\And that could be the secret to his strength.\I am Shippo, the child fox-demon of justice!\And I received a letter of challenge!\And my opponents are...\Survivors of the Raijuu Tribe?! response:	T-They're pretty gutsy...
context: But he trusts us all.\That's why he wasn't discouraged on the night of the new moon.\And that could be the secret to his strength.\I am Shippo, the child fox-demon of justice!\And I received a letter of challenge!\And my opponents are...\Survivors of the Raijuu Tribe?!\T-They're pretty gutsy... response:	Next on Inuyasha: Shippo Gets An Angry Challenge!
context: That's why he wasn't discouraged on the night of the new moon.\And that could be the secret to his strength.\I am Shippo, the child fox-demon of justice!\And I received a letter of challenge!\And my opponents are...\Survivors of the Raijuu Tribe?!\T-They're pretty gutsy...\Next on Inuyasha: Shippo Gets An Angry Challenge! response:	l-I'd better shape up.
