context: Let's see... My dear Dark Kingdom, response:	as of today, I, Sailor Moon
context: Freelance Reporter Nana Asahina\Freelance Reporter Nana Asahina Let's see... Is it around here?\Let's see... Is it around here?\Oh, here it is!\Wow!\This is a pretty nice condo!\It must be nice to live in a place like this!\This is no time to be getting carried away, Usagi! response:	She could be a monster!
context: Freelance Reporter Nana Asahina Let's see... Is it around here?\Let's see... Is it around here?\Oh, here it is!\Wow!\This is a pretty nice condo!\It must be nice to live in a place like this!\This is no time to be getting carried away, Usagi!\She could be a monster! response:	Oh, I almost forgot.
context: Let's see... Is it around here?\Oh, here it is!\Wow!\This is a pretty nice condo!\It must be nice to live in a place like this!\This is no time to be getting carried away, Usagi!\She could be a monster!\Oh, I almost forgot. response:	Well, Sailor Moon asked me to deliver this to you.
context: Oh, here it is!\Wow!\This is a pretty nice condo!\It must be nice to live in a place like this!\This is no time to be getting carried away, Usagi!\She could be a monster!\Oh, I almost forgot.\Well, Sailor Moon asked me to deliver this to you. response:	It's from Sailor Moon?
context: Wow!\This is a pretty nice condo!\It must be nice to live in a place like this!\This is no time to be getting carried away, Usagi!\She could be a monster!\Oh, I almost forgot.\Well, Sailor Moon asked me to deliver this to you.\It's from Sailor Moon? response:	I want to quit being a sailor warrior of love and justice.
context: This is a pretty nice condo!\It must be nice to live in a place like this!\This is no time to be getting carried away, Usagi!\She could be a monster!\Oh, I almost forgot.\Well, Sailor Moon asked me to deliver this to you.\It's from Sailor Moon?\I want to quit being a sailor warrior of love and justice. response:	I don't want to fight with those other warriors anymore.
context: It must be nice to live in a place like this!\This is no time to be getting carried away, Usagi!\She could be a monster!\Oh, I almost forgot.\Well, Sailor Moon asked me to deliver this to you.\It's from Sailor Moon?\I want to quit being a sailor warrior of love and justice.\I don't want to fight with those other warriors anymore. response:	I want to make a shocking confession,
context: This is no time to be getting carried away, Usagi!\She could be a monster!\Oh, I almost forgot.\Well, Sailor Moon asked me to deliver this to you.\It's from Sailor Moon?\I want to quit being a sailor warrior of love and justice.\I don't want to fight with those other warriors anymore.\I want to make a shocking confession, response:	so I will be waiting at the Juban Cemetery at 11 pm tonight.
context: She could be a monster!\Oh, I almost forgot.\Well, Sailor Moon asked me to deliver this to you.\It's from Sailor Moon?\I want to quit being a sailor warrior of love and justice.\I don't want to fight with those other warriors anymore.\I want to make a shocking confession,\so I will be waiting at the Juban Cemetery at 11 pm tonight. response:	But why did this come to you?
context: Oh, I almost forgot.\Well, Sailor Moon asked me to deliver this to you.\It's from Sailor Moon?\I want to quit being a sailor warrior of love and justice.\I don't want to fight with those other warriors anymore.\I want to make a shocking confession,\so I will be waiting at the Juban Cemetery at 11 pm tonight.\But why did this come to you? response:	I have no idea.
context: Well, Sailor Moon asked me to deliver this to you.\It's from Sailor Moon?\I want to quit being a sailor warrior of love and justice.\I don't want to fight with those other warriors anymore.\I want to make a shocking confession,\so I will be waiting at the Juban Cemetery at 11 pm tonight.\But why did this come to you?\I have no idea. response:	People often say that I look dependable, so...
context: It's from Sailor Moon?\I want to quit being a sailor warrior of love and justice.\I don't want to fight with those other warriors anymore.\I want to make a shocking confession,\so I will be waiting at the Juban Cemetery at 11 pm tonight.\But why did this come to you?\I have no idea.\People often say that I look dependable, so... response:	You big fat liar.
context: I want to quit being a sailor warrior of love and justice.\I don't want to fight with those other warriors anymore.\I want to make a shocking confession,\so I will be waiting at the Juban Cemetery at 11 pm tonight.\But why did this come to you?\I have no idea.\People often say that I look dependable, so...\You big fat liar. response:	Thank you! I can write another huge scoop with this!
context: I don't want to fight with those other warriors anymore.\I want to make a shocking confession,\so I will be waiting at the Juban Cemetery at 11 pm tonight.\But why did this come to you?\I have no idea.\People often say that I look dependable, so...\You big fat liar.\Thank you! I can write another huge scoop with this! response:	I'm so glad!
context: I want to make a shocking confession,\so I will be waiting at the Juban Cemetery at 11 pm tonight.\But why did this come to you?\I have no idea.\People often say that I look dependable, so...\You big fat liar.\Thank you! I can write another huge scoop with this!\I'm so glad! response:	Monster Oniwa Bandana, are you there?
context: so I will be waiting at the Juban Cemetery at 11 pm tonight.\But why did this come to you?\I have no idea.\People often say that I look dependable, so...\You big fat liar.\Thank you! I can write another huge scoop with this!\I'm so glad!\Monster Oniwa Bandana, are you there? response:	Banban.
context: But why did this come to you?\I have no idea.\People often say that I look dependable, so...\You big fat liar.\Thank you! I can write another huge scoop with this!\I'm so glad!\Monster Oniwa Bandana, are you there?\Banban. response:	How are things coming along?
context: I have no idea.\People often say that I look dependable, so...\You big fat liar.\Thank you! I can write another huge scoop with this!\I'm so glad!\Monster Oniwa Bandana, are you there?\Banban.\How are things coming along? response:	I see.
context: People often say that I look dependable, so...\You big fat liar.\Thank you! I can write another huge scoop with this!\I'm so glad!\Monster Oniwa Bandana, are you there?\Banban.\How are things coming along?\I see. response:	It seems there is no doubt that Sailor Moon
context: You big fat liar.\Thank you! I can write another huge scoop with this!\I'm so glad!\Monster Oniwa Bandana, are you there?\Banban.\How are things coming along?\I see.\It seems there is no doubt that Sailor Moon response:	is being isolated by the other warriors.
context: Thank you! I can write another huge scoop with this!\I'm so glad!\Monster Oniwa Bandana, are you there?\Banban.\How are things coming along?\I see.\It seems there is no doubt that Sailor Moon\is being isolated by the other warriors. response:	Banban.
context: I'm so glad!\Monster Oniwa Bandana, are you there?\Banban.\How are things coming along?\I see.\It seems there is no doubt that Sailor Moon\is being isolated by the other warriors.\Banban. response:	Looks like it is time for me to go out there.
context: Monster Oniwa Bandana, are you there?\Banban.\How are things coming along?\I see.\It seems there is no doubt that Sailor Moon\is being isolated by the other warriors.\Banban.\Looks like it is time for me to go out there. response:	It's time.
context: Banban.\How are things coming along?\I see.\It seems there is no doubt that Sailor Moon\is being isolated by the other warriors.\Banban.\Looks like it is time for me to go out there.\It's time. response:	Thank you for the letter.
context: How are things coming along?\I see.\It seems there is no doubt that Sailor Moon\is being isolated by the other warriors.\Banban.\Looks like it is time for me to go out there.\It's time.\Thank you for the letter. response:	When did you...
context: I see.\It seems there is no doubt that Sailor Moon\is being isolated by the other warriors.\Banban.\Looks like it is time for me to go out there.\It's time.\Thank you for the letter.\When did you... response:	Is it true that you're going to split
context: It seems there is no doubt that Sailor Moon\is being isolated by the other warriors.\Banban.\Looks like it is time for me to go out there.\It's time.\Thank you for the letter.\When did you...\Is it true that you're going to split response:	from the rest of the sailor warriors?
context: is being isolated by the other warriors.\Banban.\Looks like it is time for me to go out there.\It's time.\Thank you for the letter.\When did you...\Is it true that you're going to split\from the rest of the sailor warriors? response:	Of course! I don't even want to see their faces anymore!
context: Banban.\Looks like it is time for me to go out there.\It's time.\Thank you for the letter.\When did you...\Is it true that you're going to split\from the rest of the sailor warriors?\Of course! I don't even want to see their faces anymore! response:	Really?
context: Looks like it is time for me to go out there.\It's time.\Thank you for the letter.\When did you...\Is it true that you're going to split\from the rest of the sailor warriors?\Of course! I don't even want to see their faces anymore!\Really? response:	That's right!
context: It's time.\Thank you for the letter.\When did you...\Is it true that you're going to split\from the rest of the sailor warriors?\Of course! I don't even want to see their faces anymore!\Really?\That's right! response:	Really, really?
context: Thank you for the letter.\When did you...\Is it true that you're going to split\from the rest of the sailor warriors?\Of course! I don't even want to see their faces anymore!\Really?\That's right!\Really, really? response:	Really, really! I've already made up my mind!
context: When did you...\Is it true that you're going to split\from the rest of the sailor warriors?\Of course! I don't even want to see their faces anymore!\Really?\That's right!\Really, really?\Really, really! I've already made up my mind! response:	I see...
context: Is it true that you're going to split\from the rest of the sailor warriors?\Of course! I don't even want to see their faces anymore!\Really?\That's right!\Really, really?\Really, really! I've already made up my mind!\I see... response:	In that case...
context: from the rest of the sailor warriors?\Of course! I don't even want to see their faces anymore!\Really?\That's right!\Really, really?\Really, really! I've already made up my mind!\I see...\In that case... response:	Ban, ban, ban, ban, ban, bababa, ban!
context: Of course! I don't even want to see their faces anymore!\Really?\That's right!\Really, really?\Really, really! I've already made up my mind!\I see...\In that case...\Ban, ban, ban, ban, ban, bababa, ban! response:	You're a monster!
context: Really?\That's right!\Really, really?\Really, really! I've already made up my mind!\I see...\In that case...\Ban, ban, ban, ban, ban, bababa, ban!\You're a monster! response:	Master Kunzite!
context: That's right!\Really, really?\Really, really! I've already made up my mind!\I see...\In that case...\Ban, ban, ban, ban, ban, bababa, ban!\You're a monster!\Master Kunzite! response:	What?! Master Kunzite!
context: Really, really?\Really, really! I've already made up my mind!\I see...\In that case...\Ban, ban, ban, ban, ban, bababa, ban!\You're a monster!\Master Kunzite!\What?! Master Kunzite! response:	What?!
context: Really, really! I've already made up my mind!\I see...\In that case...\Ban, ban, ban, ban, ban, bababa, ban!\You're a monster!\Master Kunzite!\What?! Master Kunzite!\What?! response:	Kunzite?! I never made an appointment to see you!
context: I see...\In that case...\Ban, ban, ban, ban, ban, bababa, ban!\You're a monster!\Master Kunzite!\What?! Master Kunzite!\What?!\Kunzite?! I never made an appointment to see you! response:	I'm supposed to be interviewed now!
context: In that case...\Ban, ban, ban, ban, ban, bababa, ban!\You're a monster!\Master Kunzite!\What?! Master Kunzite!\What?!\Kunzite?! I never made an appointment to see you!\I'm supposed to be interviewed now! response:	Baban! There will be no more interview!
context: Ban, ban, ban, ban, ban, bababa, ban!\You're a monster!\Master Kunzite!\What?! Master Kunzite!\What?!\Kunzite?! I never made an appointment to see you!\I'm supposed to be interviewed now!\Baban! There will be no more interview! response:	What?! Really?!
context: You're a monster!\Master Kunzite!\What?! Master Kunzite!\What?!\Kunzite?! I never made an appointment to see you!\I'm supposed to be interviewed now!\Baban! There will be no more interview!\What?! Really?! response:	It seems you have been isolated from the other warriors...
context: Master Kunzite!\What?! Master Kunzite!\What?!\Kunzite?! I never made an appointment to see you!\I'm supposed to be interviewed now!\Baban! There will be no more interview!\What?! Really?!\It seems you have been isolated from the other warriors... response:	How about it? If you join our side,
context: What?! Master Kunzite!\What?!\Kunzite?! I never made an appointment to see you!\I'm supposed to be interviewed now!\Baban! There will be no more interview!\What?! Really?!\It seems you have been isolated from the other warriors...\How about it? If you join our side, response:	you will be able to see Endymion anytime you want.
context: What?!\Kunzite?! I never made an appointment to see you!\I'm supposed to be interviewed now!\Baban! There will be no more interview!\What?! Really?!\It seems you have been isolated from the other warriors...\How about it? If you join our side,\you will be able to see Endymion anytime you want. response:	Don't be ridiculous!
context: Kunzite?! I never made an appointment to see you!\I'm supposed to be interviewed now!\Baban! There will be no more interview!\What?! Really?!\It seems you have been isolated from the other warriors...\How about it? If you join our side,\you will be able to see Endymion anytime you want.\Don't be ridiculous! response:	I'm a sailor warrior for love and justice, okay?!
context: I'm supposed to be interviewed now!\Baban! There will be no more interview!\What?! Really?!\It seems you have been isolated from the other warriors...\How about it? If you join our side,\you will be able to see Endymion anytime you want.\Don't be ridiculous!\I'm a sailor warrior for love and justice, okay?! response:	Endymion cannot move right now, due to certain circumstances.
context: Baban! There will be no more interview!\What?! Really?!\It seems you have been isolated from the other warriors...\How about it? If you join our side,\you will be able to see Endymion anytime you want.\Don't be ridiculous!\I'm a sailor warrior for love and justice, okay?!\Endymion cannot move right now, due to certain circumstances. response:	What?! Is he sick?!
context: What?! Really?!\It seems you have been isolated from the other warriors...\How about it? If you join our side,\you will be able to see Endymion anytime you want.\Don't be ridiculous!\I'm a sailor warrior for love and justice, okay?!\Endymion cannot move right now, due to certain circumstances.\What?! Is he sick?! response:	Well, I wouldn't know.
context: It seems you have been isolated from the other warriors...\How about it? If you join our side,\you will be able to see Endymion anytime you want.\Don't be ridiculous!\I'm a sailor warrior for love and justice, okay?!\Endymion cannot move right now, due to certain circumstances.\What?! Is he sick?!\Well, I wouldn't know. response:	But I am sure he will be happy if you come see him.
context: How about it? If you join our side,\you will be able to see Endymion anytime you want.\Don't be ridiculous!\I'm a sailor warrior for love and justice, okay?!\Endymion cannot move right now, due to certain circumstances.\What?! Is he sick?!\Well, I wouldn't know.\But I am sure he will be happy if you come see him. response:	Perhaps asking you to join us is too much to ask.
context: you will be able to see Endymion anytime you want.\Don't be ridiculous!\I'm a sailor warrior for love and justice, okay?!\Endymion cannot move right now, due to certain circumstances.\What?! Is he sick?!\Well, I wouldn't know.\But I am sure he will be happy if you come see him.\Perhaps asking you to join us is too much to ask. response:	Then, how about just coming to see Endymion?
context: Don't be ridiculous!\I'm a sailor warrior for love and justice, okay?!\Endymion cannot move right now, due to certain circumstances.\What?! Is he sick?!\Well, I wouldn't know.\But I am sure he will be happy if you come see him.\Perhaps asking you to join us is too much to ask.\Then, how about just coming to see Endymion? response:	You'll take me to see him?
context: I'm a sailor warrior for love and justice, okay?!\Endymion cannot move right now, due to certain circumstances.\What?! Is he sick?!\Well, I wouldn't know.\But I am sure he will be happy if you come see him.\Perhaps asking you to join us is too much to ask.\Then, how about just coming to see Endymion?\You'll take me to see him? response:	Of course, but on one condition.
context: Endymion cannot move right now, due to certain circumstances.\What?! Is he sick?!\Well, I wouldn't know.\But I am sure he will be happy if you come see him.\Perhaps asking you to join us is too much to ask.\Then, how about just coming to see Endymion?\You'll take me to see him?\Of course, but on one condition. response:	A condition?
context: What?! Is he sick?!\Well, I wouldn't know.\But I am sure he will be happy if you come see him.\Perhaps asking you to join us is too much to ask.\Then, how about just coming to see Endymion?\You'll take me to see him?\Of course, but on one condition.\A condition? response:	Hand over the Silver Crystal.
context: Well, I wouldn't know.\But I am sure he will be happy if you come see him.\Perhaps asking you to join us is too much to ask.\Then, how about just coming to see Endymion?\You'll take me to see him?\Of course, but on one condition.\A condition?\Hand over the Silver Crystal. response:	What?
context: But I am sure he will be happy if you come see him.\Perhaps asking you to join us is too much to ask.\Then, how about just coming to see Endymion?\You'll take me to see him?\Of course, but on one condition.\A condition?\Hand over the Silver Crystal.\What? response:	If you miss this chance, you will never see Endymion again.
context: Perhaps asking you to join us is too much to ask.\Then, how about just coming to see Endymion?\You'll take me to see him?\Of course, but on one condition.\A condition?\Hand over the Silver Crystal.\What?\If you miss this chance, you will never see Endymion again. response:	Tuxedo Mask must be sick. What should I do?
context: Then, how about just coming to see Endymion?\You'll take me to see him?\Of course, but on one condition.\A condition?\Hand over the Silver Crystal.\What?\If you miss this chance, you will never see Endymion again.\Tuxedo Mask must be sick. What should I do? response:	What is your answer?! Banban.
context: You'll take me to see him?\Of course, but on one condition.\A condition?\Hand over the Silver Crystal.\What?\If you miss this chance, you will never see Endymion again.\Tuxedo Mask must be sick. What should I do?\What is your answer?! Banban. response:	Well...
context: Of course, but on one condition.\A condition?\Hand over the Silver Crystal.\What?\If you miss this chance, you will never see Endymion again.\Tuxedo Mask must be sick. What should I do?\What is your answer?! Banban.\Well... response:	Will you hand it over?
context: A condition?\Hand over the Silver Crystal.\What?\If you miss this chance, you will never see Endymion again.\Tuxedo Mask must be sick. What should I do?\What is your answer?! Banban.\Well...\Will you hand it over? response:	Okay! But only after I see Tuxedo Mask!
context: Hand over the Silver Crystal.\What?\If you miss this chance, you will never see Endymion again.\Tuxedo Mask must be sick. What should I do?\What is your answer?! Banban.\Well...\Will you hand it over?\Okay! But only after I see Tuxedo Mask! response:	It looks like they fell for it.
context: What?\If you miss this chance, you will never see Endymion again.\Tuxedo Mask must be sick. What should I do?\What is your answer?! Banban.\Well...\Will you hand it over?\Okay! But only after I see Tuxedo Mask!\It looks like they fell for it. response:	Master Kunzite.
context: If you miss this chance, you will never see Endymion again.\Tuxedo Mask must be sick. What should I do?\What is your answer?! Banban.\Well...\Will you hand it over?\Okay! But only after I see Tuxedo Mask!\It looks like they fell for it.\Master Kunzite. response:	Damn. So, it was a trap, after all.
context: Tuxedo Mask must be sick. What should I do?\What is your answer?! Banban.\Well...\Will you hand it over?\Okay! But only after I see Tuxedo Mask!\It looks like they fell for it.\Master Kunzite.\Damn. So, it was a trap, after all. response:	Come on, now that it's been decided, let's go!
context: What is your answer?! Banban.\Well...\Will you hand it over?\Okay! But only after I see Tuxedo Mask!\It looks like they fell for it.\Master Kunzite.\Damn. So, it was a trap, after all.\Come on, now that it's been decided, let's go! response:	I don't care about Sailor Mars and the rest anymore!
context: Well...\Will you hand it over?\Okay! But only after I see Tuxedo Mask!\It looks like they fell for it.\Master Kunzite.\Damn. So, it was a trap, after all.\Come on, now that it's been decided, let's go!\I don't care about Sailor Mars and the rest anymore! response:	That is a good attitude to have.
context: Will you hand it over?\Okay! But only after I see Tuxedo Mask!\It looks like they fell for it.\Master Kunzite.\Damn. So, it was a trap, after all.\Come on, now that it's been decided, let's go!\I don't care about Sailor Mars and the rest anymore!\That is a good attitude to have. response:	What is this?!
context: Okay! But only after I see Tuxedo Mask!\It looks like they fell for it.\Master Kunzite.\Damn. So, it was a trap, after all.\Come on, now that it's been decided, let's go!\I don't care about Sailor Mars and the rest anymore!\That is a good attitude to have.\What is this?! response:	An entrance leading to the Dark Kingdom. What is this?!
context: It looks like they fell for it.\Master Kunzite.\Damn. So, it was a trap, after all.\Come on, now that it's been decided, let's go!\I don't care about Sailor Mars and the rest anymore!\That is a good attitude to have.\What is this?!\An entrance leading to the Dark Kingdom. What is this?! response:	An entrance leading to the Dark Kingdom.
context: Master Kunzite.\Damn. So, it was a trap, after all.\Come on, now that it's been decided, let's go!\I don't care about Sailor Mars and the rest anymore!\That is a good attitude to have.\What is this?!\An entrance leading to the Dark Kingdom. What is this?!\An entrance leading to the Dark Kingdom. response:	What?!
context: Damn. So, it was a trap, after all.\Come on, now that it's been decided, let's go!\I don't care about Sailor Mars and the rest anymore!\That is a good attitude to have.\What is this?!\An entrance leading to the Dark Kingdom. What is this?!\An entrance leading to the Dark Kingdom.\What?! response:	It's kind of creepy.
context: Come on, now that it's been decided, let's go!\I don't care about Sailor Mars and the rest anymore!\That is a good attitude to have.\What is this?!\An entrance leading to the Dark Kingdom. What is this?!\An entrance leading to the Dark Kingdom.\What?!\It's kind of creepy. response:	Will you change your mind, then?
context: I don't care about Sailor Mars and the rest anymore!\That is a good attitude to have.\What is this?!\An entrance leading to the Dark Kingdom. What is this?!\An entrance leading to the Dark Kingdom.\What?!\It's kind of creepy.\Will you change your mind, then? response:	No, I'll go! Will you change your mind, then?
context: That is a good attitude to have.\What is this?!\An entrance leading to the Dark Kingdom. What is this?!\An entrance leading to the Dark Kingdom.\What?!\It's kind of creepy.\Will you change your mind, then?\No, I'll go! Will you change your mind, then? response:	No, I'll go!
context: What is this?!\An entrance leading to the Dark Kingdom. What is this?!\An entrance leading to the Dark Kingdom.\What?!\It's kind of creepy.\Will you change your mind, then?\No, I'll go! Will you change your mind, then?\No, I'll go! response:	I can't believe this! He's as mean as Sailor Mars!
context: An entrance leading to the Dark Kingdom. What is this?!\An entrance leading to the Dark Kingdom.\What?!\It's kind of creepy.\Will you change your mind, then?\No, I'll go! Will you change your mind, then?\No, I'll go!\I can't believe this! He's as mean as Sailor Mars! response:	Why does she always keep bringing up my name?!
context: An entrance leading to the Dark Kingdom.\What?!\It's kind of creepy.\Will you change your mind, then?\No, I'll go! Will you change your mind, then?\No, I'll go!\I can't believe this! He's as mean as Sailor Mars!\Why does she always keep bringing up my name?! response:	Now, now. Why does she always keep bringing up my name?!
context: What?!\It's kind of creepy.\Will you change your mind, then?\No, I'll go! Will you change your mind, then?\No, I'll go!\I can't believe this! He's as mean as Sailor Mars!\Why does she always keep bringing up my name?!\Now, now. Why does she always keep bringing up my name?! response:	Now, now.
context: It's kind of creepy.\Will you change your mind, then?\No, I'll go! Will you change your mind, then?\No, I'll go!\I can't believe this! He's as mean as Sailor Mars!\Why does she always keep bringing up my name?!\Now, now. Why does she always keep bringing up my name?!\Now, now. response:	Tuxedo Mask, I'm coming!
context: Will you change your mind, then?\No, I'll go! Will you change your mind, then?\No, I'll go!\I can't believe this! He's as mean as Sailor Mars!\Why does she always keep bringing up my name?!\Now, now. Why does she always keep bringing up my name?!\Now, now.\Tuxedo Mask, I'm coming! response:	Baban!
context: No, I'll go! Will you change your mind, then?\No, I'll go!\I can't believe this! He's as mean as Sailor Mars!\Why does she always keep bringing up my name?!\Now, now. Why does she always keep bringing up my name?!\Now, now.\Tuxedo Mask, I'm coming!\Baban! response:	Now, hand over the Silver Crystal. Banban.
context: No, I'll go!\I can't believe this! He's as mean as Sailor Mars!\Why does she always keep bringing up my name?!\Now, now. Why does she always keep bringing up my name?!\Now, now.\Tuxedo Mask, I'm coming!\Baban!\Now, hand over the Silver Crystal. Banban. response:	Not until after I see Tuxedo Mask!
context: I can't believe this! He's as mean as Sailor Mars!\Why does she always keep bringing up my name?!\Now, now. Why does she always keep bringing up my name?!\Now, now.\Tuxedo Mask, I'm coming!\Baban!\Now, hand over the Silver Crystal. Banban.\Not until after I see Tuxedo Mask! response:	Still saying that even now! Then you will die right here!
context: Why does she always keep bringing up my name?!\Now, now. Why does she always keep bringing up my name?!\Now, now.\Tuxedo Mask, I'm coming!\Baban!\Now, hand over the Silver Crystal. Banban.\Not until after I see Tuxedo Mask!\Still saying that even now! Then you will die right here! response:	We will look for the Silver Crystal afterwards. Banban.
context: Now, now. Why does she always keep bringing up my name?!\Now, now.\Tuxedo Mask, I'm coming!\Baban!\Now, hand over the Silver Crystal. Banban.\Not until after I see Tuxedo Mask!\Still saying that even now! Then you will die right here!\We will look for the Silver Crystal afterwards. Banban. response:	I don't have the Silver Crystal with me!
context: Now, now.\Tuxedo Mask, I'm coming!\Baban!\Now, hand over the Silver Crystal. Banban.\Not until after I see Tuxedo Mask!\Still saying that even now! Then you will die right here!\We will look for the Silver Crystal afterwards. Banban.\I don't have the Silver Crystal with me! response:	What?!
context: Tuxedo Mask, I'm coming!\Baban!\Now, hand over the Silver Crystal. Banban.\Not until after I see Tuxedo Mask!\Still saying that even now! Then you will die right here!\We will look for the Silver Crystal afterwards. Banban.\I don't have the Silver Crystal with me!\What?! response:	Sailor Moon is...
context: Baban!\Now, hand over the Silver Crystal. Banban.\Not until after I see Tuxedo Mask!\Still saying that even now! Then you will die right here!\We will look for the Silver Crystal afterwards. Banban.\I don't have the Silver Crystal with me!\What?!\Sailor Moon is... response:	Let's go!
context: Now, hand over the Silver Crystal. Banban.\Not until after I see Tuxedo Mask!\Still saying that even now! Then you will die right here!\We will look for the Silver Crystal afterwards. Banban.\I don't have the Silver Crystal with me!\What?!\Sailor Moon is...\Let's go! response:	Wait! Let's go!
context: Not until after I see Tuxedo Mask!\Still saying that even now! Then you will die right here!\We will look for the Silver Crystal afterwards. Banban.\I don't have the Silver Crystal with me!\What?!\Sailor Moon is...\Let's go!\Wait! Let's go! response:	Wait!
context: Still saying that even now! Then you will die right here!\We will look for the Silver Crystal afterwards. Banban.\I don't have the Silver Crystal with me!\What?!\Sailor Moon is...\Let's go!\Wait! Let's go!\Wait! response:	If we go now, everything will be ruined!
context: We will look for the Silver Crystal afterwards. Banban.\I don't have the Silver Crystal with me!\What?!\Sailor Moon is...\Let's go!\Wait! Let's go!\Wait!\If we go now, everything will be ruined! response:	Fool! Once I kill you,
context: I don't have the Silver Crystal with me!\What?!\Sailor Moon is...\Let's go!\Wait! Let's go!\Wait!\If we go now, everything will be ruined!\Fool! Once I kill you, response:	there will be nobody left who can use the Silver Crystal.
context: What?!\Sailor Moon is...\Let's go!\Wait! Let's go!\Wait!\If we go now, everything will be ruined!\Fool! Once I kill you,\there will be nobody left who can use the Silver Crystal. response:	You dug your own grave, Sailor Moon!
context: Sailor Moon is...\Let's go!\Wait! Let's go!\Wait!\If we go now, everything will be ruined!\Fool! Once I kill you,\there will be nobody left who can use the Silver Crystal.\You dug your own grave, Sailor Moon! response:	Damn!
context: Let's go!\Wait! Let's go!\Wait!\If we go now, everything will be ruined!\Fool! Once I kill you,\there will be nobody left who can use the Silver Crystal.\You dug your own grave, Sailor Moon!\Damn! response:	Everyone, just be patient!
context: Wait! Let's go!\Wait!\If we go now, everything will be ruined!\Fool! Once I kill you,\there will be nobody left who can use the Silver Crystal.\You dug your own grave, Sailor Moon!\Damn!\Everyone, just be patient! response:	I get it. They're testing to see
context: Wait!\If we go now, everything will be ruined!\Fool! Once I kill you,\there will be nobody left who can use the Silver Crystal.\You dug your own grave, Sailor Moon!\Damn!\Everyone, just be patient!\I get it. They're testing to see response:	if Sailor Mars and the rest will come to rescue me.
context: If we go now, everything will be ruined!\Fool! Once I kill you,\there will be nobody left who can use the Silver Crystal.\You dug your own grave, Sailor Moon!\Damn!\Everyone, just be patient!\I get it. They're testing to see\if Sailor Mars and the rest will come to rescue me. response:	Everyone, please don't come.
context: Fool! Once I kill you,\there will be nobody left who can use the Silver Crystal.\You dug your own grave, Sailor Moon!\Damn!\Everyone, just be patient!\I get it. They're testing to see\if Sailor Mars and the rest will come to rescue me.\Everyone, please don't come. response:	No matter what happens, you can't come!
context: there will be nobody left who can use the Silver Crystal.\You dug your own grave, Sailor Moon!\Damn!\Everyone, just be patient!\I get it. They're testing to see\if Sailor Mars and the rest will come to rescue me.\Everyone, please don't come.\No matter what happens, you can't come! response:	We go now!
context: You dug your own grave, Sailor Moon!\Damn!\Everyone, just be patient!\I get it. They're testing to see\if Sailor Mars and the rest will come to rescue me.\Everyone, please don't come.\No matter what happens, you can't come!\We go now! response:	Okay. We go now!
context: Damn!\Everyone, just be patient!\I get it. They're testing to see\if Sailor Mars and the rest will come to rescue me.\Everyone, please don't come.\No matter what happens, you can't come!\We go now!\Okay. We go now! response:	Okay.
context: Everyone, just be patient!\I get it. They're testing to see\if Sailor Mars and the rest will come to rescue me.\Everyone, please don't come.\No matter what happens, you can't come!\We go now!\Okay. We go now!\Okay. response:	We can't!
context: I get it. They're testing to see\if Sailor Mars and the rest will come to rescue me.\Everyone, please don't come.\No matter what happens, you can't come!\We go now!\Okay. We go now!\Okay.\We can't! response:	Are you still saying that?! We can't!
context: if Sailor Mars and the rest will come to rescue me.\Everyone, please don't come.\No matter what happens, you can't come!\We go now!\Okay. We go now!\Okay.\We can't!\Are you still saying that?! We can't! response:	Are you still saying that?!
context: Everyone, please don't come.\No matter what happens, you can't come!\We go now!\Okay. We go now!\Okay.\We can't!\Are you still saying that?! We can't!\Are you still saying that?! response:	Out of my way!
context: No matter what happens, you can't come!\We go now!\Okay. We go now!\Okay.\We can't!\Are you still saying that?! We can't!\Are you still saying that?!\Out of my way! response:	Mars, you actually really hate Sailor Moon, don't you?!
context: We go now!\Okay. We go now!\Okay.\We can't!\Are you still saying that?! We can't!\Are you still saying that?!\Out of my way!\Mars, you actually really hate Sailor Moon, don't you?! response:	Jupiter...
context: Okay. We go now!\Okay.\We can't!\Are you still saying that?! We can't!\Are you still saying that?!\Out of my way!\Mars, you actually really hate Sailor Moon, don't you?!\Jupiter... response:	That's...
context: Okay.\We can't!\Are you still saying that?! We can't!\Are you still saying that?!\Out of my way!\Mars, you actually really hate Sailor Moon, don't you?!\Jupiter...\That's... response:	If I hated her,
context: We can't!\Are you still saying that?! We can't!\Are you still saying that?!\Out of my way!\Mars, you actually really hate Sailor Moon, don't you?!\Jupiter...\That's...\If I hated her, response:	I wouldn't be watching something this important for her!
context: Are you still saying that?! We can't!\Are you still saying that?!\Out of my way!\Mars, you actually really hate Sailor Moon, don't you?!\Jupiter...\That's...\If I hated her,\I wouldn't be watching something this important for her! response:	Sailor Mars feels the same as we all do.
context: Are you still saying that?!\Out of my way!\Mars, you actually really hate Sailor Moon, don't you?!\Jupiter...\That's...\If I hated her,\I wouldn't be watching something this important for her!\Sailor Mars feels the same as we all do. response:	Mars, I'm sorry.
context: Out of my way!\Mars, you actually really hate Sailor Moon, don't you?!\Jupiter...\That's...\If I hated her,\I wouldn't be watching something this important for her!\Sailor Mars feels the same as we all do.\Mars, I'm sorry. response:	Die!
context: Mars, you actually really hate Sailor Moon, don't you?!\Jupiter...\That's...\If I hated her,\I wouldn't be watching something this important for her!\Sailor Mars feels the same as we all do.\Mars, I'm sorry.\Die! response:	Sailor Moon!
