context: At 18:00 Space Standard Time, response:	a GDF Special Forces unit set up transmission satellites
context: I just know you'll appreci-\No!\Ladies, you've got such nice bodies!\If I compared you to guns,\I'd say you're as wonderful as the\Beretta Cx4 Storm designed by Master Giugiaro.\It has an elegant bodyline with curves reminiscent of a violin!\At any rate, practicality has nothing to do with the pursuit of a beautiful body! response:	At any rate, practicality has nothing to do with the pursuit of a beautiful body!
context: No!\Ladies, you've got such nice bodies!\If I compared you to guns,\I'd say you're as wonderful as the\Beretta Cx4 Storm designed by Master Giugiaro.\It has an elegant bodyline with curves reminiscent of a violin!\At any rate, practicality has nothing to do with the pursuit of a beautiful body!\At any rate, practicality has nothing to do with the pursuit of a beautiful body! response:	Why'd we all come to the pool?
context: Ladies, you've got such nice bodies!\If I compared you to guns,\I'd say you're as wonderful as the\Beretta Cx4 Storm designed by Master Giugiaro.\It has an elegant bodyline with curves reminiscent of a violin!\At any rate, practicality has nothing to do with the pursuit of a beautiful body!\At any rate, practicality has nothing to do with the pursuit of a beautiful body!\Why'd we all come to the pool? response:	Of course, guns overflowing with beautiful functionality rock!
context: If I compared you to guns,\I'd say you're as wonderful as the\Beretta Cx4 Storm designed by Master Giugiaro.\It has an elegant bodyline with curves reminiscent of a violin!\At any rate, practicality has nothing to do with the pursuit of a beautiful body!\At any rate, practicality has nothing to do with the pursuit of a beautiful body!\Why'd we all come to the pool?\Of course, guns overflowing with beautiful functionality rock! response:	Because this is a resort?
context: I'd say you're as wonderful as the\Beretta Cx4 Storm designed by Master Giugiaro.\It has an elegant bodyline with curves reminiscent of a violin!\At any rate, practicality has nothing to do with the pursuit of a beautiful body!\At any rate, practicality has nothing to do with the pursuit of a beautiful body!\Why'd we all come to the pool?\Of course, guns overflowing with beautiful functionality rock!\Because this is a resort? response:	But your dazzlingly beautiful bodylines make you like
context: Beretta Cx4 Storm designed by Master Giugiaro.\It has an elegant bodyline with curves reminiscent of a violin!\At any rate, practicality has nothing to do with the pursuit of a beautiful body!\At any rate, practicality has nothing to do with the pursuit of a beautiful body!\Why'd we all come to the pool?\Of course, guns overflowing with beautiful functionality rock!\Because this is a resort?\But your dazzlingly beautiful bodylines make you like response:	Say...
context: It has an elegant bodyline with curves reminiscent of a violin!\At any rate, practicality has nothing to do with the pursuit of a beautiful body!\At any rate, practicality has nothing to do with the pursuit of a beautiful body!\Why'd we all come to the pool?\Of course, guns overflowing with beautiful functionality rock!\Because this is a resort?\But your dazzlingly beautiful bodylines make you like\Say... response:	Hell no.
context: At any rate, practicality has nothing to do with the pursuit of a beautiful body!\At any rate, practicality has nothing to do with the pursuit of a beautiful body!\Why'd we all come to the pool?\Of course, guns overflowing with beautiful functionality rock!\Because this is a resort?\But your dazzlingly beautiful bodylines make you like\Say...\Hell no. response:	thoroughbreds amongst pack horses, diamonds amongst glass beads
context: At any rate, practicality has nothing to do with the pursuit of a beautiful body!\Why'd we all come to the pool?\Of course, guns overflowing with beautiful functionality rock!\Because this is a resort?\But your dazzlingly beautiful bodylines make you like\Say...\Hell no.\thoroughbreds amongst pack horses, diamonds amongst glass beads response:	and silver chips amongst lead balls!
context: Why'd we all come to the pool?\Of course, guns overflowing with beautiful functionality rock!\Because this is a resort?\But your dazzlingly beautiful bodylines make you like\Say...\Hell no.\thoroughbreds amongst pack horses, diamonds amongst glass beads\and silver chips amongst lead balls! response:	At last! Resort! Vacation! Romance!
context: Of course, guns overflowing with beautiful functionality rock!\Because this is a resort?\But your dazzlingly beautiful bodylines make you like\Say...\Hell no.\thoroughbreds amongst pack horses, diamonds amongst glass beads\and silver chips amongst lead balls!\At last! Resort! Vacation! Romance! response:	He has a girlfriend...
context: Because this is a resort?\But your dazzlingly beautiful bodylines make you like\Say...\Hell no.\thoroughbreds amongst pack horses, diamonds amongst glass beads\and silver chips amongst lead balls!\At last! Resort! Vacation! Romance!\He has a girlfriend... response:	She must be his sister!
context: But your dazzlingly beautiful bodylines make you like\Say...\Hell no.\thoroughbreds amongst pack horses, diamonds amongst glass beads\and silver chips amongst lead balls!\At last! Resort! Vacation! Romance!\He has a girlfriend...\She must be his sister! response:	Who are you?!
context: Say...\Hell no.\thoroughbreds amongst pack horses, diamonds amongst glass beads\and silver chips amongst lead balls!\At last! Resort! Vacation! Romance!\He has a girlfriend...\She must be his sister!\Who are you?! response:	Hey!
context: Hell no.\thoroughbreds amongst pack horses, diamonds amongst glass beads\and silver chips amongst lead balls!\At last! Resort! Vacation! Romance!\He has a girlfriend...\She must be his sister!\Who are you?!\Hey! response:	Let us be off.
context: thoroughbreds amongst pack horses, diamonds amongst glass beads\and silver chips amongst lead balls!\At last! Resort! Vacation! Romance!\He has a girlfriend...\She must be his sister!\Who are you?!\Hey!\Let us be off. response:	But I still haven't told him how I feel!
context: and silver chips amongst lead balls!\At last! Resort! Vacation! Romance!\He has a girlfriend...\She must be his sister!\Who are you?!\Hey!\Let us be off.\But I still haven't told him how I feel! response:	Hey, can he swim?
context: At last! Resort! Vacation! Romance!\He has a girlfriend...\She must be his sister!\Who are you?!\Hey!\Let us be off.\But I still haven't told him how I feel!\Hey, can he swim? response:	Don't invite us to the friggin' pool if you can't swim.
context: He has a girlfriend...\She must be his sister!\Who are you?!\Hey!\Let us be off.\But I still haven't told him how I feel!\Hey, can he swim?\Don't invite us to the friggin' pool if you can't swim. response:	I-I'm sorry.
context: She must be his sister!\Who are you?!\Hey!\Let us be off.\But I still haven't told him how I feel!\Hey, can he swim?\Don't invite us to the friggin' pool if you can't swim.\I-I'm sorry. response:	Hey, so, do you know that girl? Who was she?
context: Who are you?!\Hey!\Let us be off.\But I still haven't told him how I feel!\Hey, can he swim?\Don't invite us to the friggin' pool if you can't swim.\I-I'm sorry.\Hey, so, do you know that girl? Who was she? response:	No, I don't...
context: Hey!\Let us be off.\But I still haven't told him how I feel!\Hey, can he swim?\Don't invite us to the friggin' pool if you can't swim.\I-I'm sorry.\Hey, so, do you know that girl? Who was she?\No, I don't... response:	And you tried to ask her out? I could never do that!
context: Let us be off.\But I still haven't told him how I feel!\Hey, can he swim?\Don't invite us to the friggin' pool if you can't swim.\I-I'm sorry.\Hey, so, do you know that girl? Who was she?\No, I don't...\And you tried to ask her out? I could never do that! response:	You did not say that.
context: But I still haven't told him how I feel!\Hey, can he swim?\Don't invite us to the friggin' pool if you can't swim.\I-I'm sorry.\Hey, so, do you know that girl? Who was she?\No, I don't...\And you tried to ask her out? I could never do that!\You did not say that. response:	But... I've seen her somewhere...
context: Hey, can he swim?\Don't invite us to the friggin' pool if you can't swim.\I-I'm sorry.\Hey, so, do you know that girl? Who was she?\No, I don't...\And you tried to ask her out? I could never do that!\You did not say that.\But... I've seen her somewhere... response:	How was your vacation?
context: Don't invite us to the friggin' pool if you can't swim.\I-I'm sorry.\Hey, so, do you know that girl? Who was she?\No, I don't...\And you tried to ask her out? I could never do that!\You did not say that.\But... I've seen her somewhere...\How was your vacation? response:	Go get changed and meet back here in one hour.
context: I-I'm sorry.\Hey, so, do you know that girl? Who was she?\No, I don't...\And you tried to ask her out? I could never do that!\You did not say that.\But... I've seen her somewhere...\How was your vacation?\Go get changed and meet back here in one hour. response:	A man from GDF Headquarters will be supervising this mission;
context: Hey, so, do you know that girl? Who was she?\No, I don't...\And you tried to ask her out? I could never do that!\You did not say that.\But... I've seen her somewhere...\How was your vacation?\Go get changed and meet back here in one hour.\A man from GDF Headquarters will be supervising this mission; response:	you will meet him then.
context: No, I don't...\And you tried to ask her out? I could never do that!\You did not say that.\But... I've seen her somewhere...\How was your vacation?\Go get changed and meet back here in one hour.\A man from GDF Headquarters will be supervising this mission;\you will meet him then. response:	This is GDF's Vice Chief of Staff, Captain Komine.
context: And you tried to ask her out? I could never do that!\You did not say that.\But... I've seen her somewhere...\How was your vacation?\Go get changed and meet back here in one hour.\A man from GDF Headquarters will be supervising this mission;\you will meet him then.\This is GDF's Vice Chief of Staff, Captain Komine. response:	Attention!
context: You did not say that.\But... I've seen her somewhere...\How was your vacation?\Go get changed and meet back here in one hour.\A man from GDF Headquarters will be supervising this mission;\you will meet him then.\This is GDF's Vice Chief of Staff, Captain Komine.\Attention! response:	At ease.
context: But... I've seen her somewhere...\How was your vacation?\Go get changed and meet back here in one hour.\A man from GDF Headquarters will be supervising this mission;\you will meet him then.\This is GDF's Vice Chief of Staff, Captain Komine.\Attention!\At ease. response:	The Vice Chief of Staff will personally command this upcoming mission.
context: How was your vacation?\Go get changed and meet back here in one hour.\A man from GDF Headquarters will be supervising this mission;\you will meet him then.\This is GDF's Vice Chief of Staff, Captain Komine.\Attention!\At ease.\The Vice Chief of Staff will personally command this upcoming mission. response:	That is an indication of just how important this operation is.
context: Go get changed and meet back here in one hour.\A man from GDF Headquarters will be supervising this mission;\you will meet him then.\This is GDF's Vice Chief of Staff, Captain Komine.\Attention!\At ease.\The Vice Chief of Staff will personally command this upcoming mission.\That is an indication of just how important this operation is. response:	Thus far, the GDF has only fought in defense.
context: A man from GDF Headquarters will be supervising this mission;\you will meet him then.\This is GDF's Vice Chief of Staff, Captain Komine.\Attention!\At ease.\The Vice Chief of Staff will personally command this upcoming mission.\That is an indication of just how important this operation is.\Thus far, the GDF has only fought in defense. response:	But with the completion of these new AHSMB
context: you will meet him then.\This is GDF's Vice Chief of Staff, Captain Komine.\Attention!\At ease.\The Vice Chief of Staff will personally command this upcoming mission.\That is an indication of just how important this operation is.\Thus far, the GDF has only fought in defense.\But with the completion of these new AHSMB response:	units and you as their highly-trained pilots,
context: This is GDF's Vice Chief of Staff, Captain Komine.\Attention!\At ease.\The Vice Chief of Staff will personally command this upcoming mission.\That is an indication of just how important this operation is.\Thus far, the GDF has only fought in defense.\But with the completion of these new AHSMB\units and you as their highly-trained pilots, response:	we are finally able to take an aggressive stance and initiate an attack.
context: Attention!\At ease.\The Vice Chief of Staff will personally command this upcoming mission.\That is an indication of just how important this operation is.\Thus far, the GDF has only fought in defense.\But with the completion of these new AHSMB\units and you as their highly-trained pilots,\we are finally able to take an aggressive stance and initiate an attack. response:	This mission is crucial for stopping the Wulgaru invasion. Therefore-
context: At ease.\The Vice Chief of Staff will personally command this upcoming mission.\That is an indication of just how important this operation is.\Thus far, the GDF has only fought in defense.\But with the completion of these new AHSMB\units and you as their highly-trained pilots,\we are finally able to take an aggressive stance and initiate an attack.\This mission is crucial for stopping the Wulgaru invasion. Therefore- response:	Sir, I apologize for interrupting your speech,
context: The Vice Chief of Staff will personally command this upcoming mission.\That is an indication of just how important this operation is.\Thus far, the GDF has only fought in defense.\But with the completion of these new AHSMB\units and you as their highly-trained pilots,\we are finally able to take an aggressive stance and initiate an attack.\This mission is crucial for stopping the Wulgaru invasion. Therefore-\Sir, I apologize for interrupting your speech, response:	but could you please introduce me?
context: That is an indication of just how important this operation is.\Thus far, the GDF has only fought in defense.\But with the completion of these new AHSMB\units and you as their highly-trained pilots,\we are finally able to take an aggressive stance and initiate an attack.\This mission is crucial for stopping the Wulgaru invasion. Therefore-\Sir, I apologize for interrupting your speech,\but could you please introduce me? response:	This is my adjutant, Lt. Amane.
context: Thus far, the GDF has only fought in defense.\But with the completion of these new AHSMB\units and you as their highly-trained pilots,\we are finally able to take an aggressive stance and initiate an attack.\This mission is crucial for stopping the Wulgaru invasion. Therefore-\Sir, I apologize for interrupting your speech,\but could you please introduce me?\This is my adjutant, Lt. Amane. response:	Explain the upcoming mission.
context: But with the completion of these new AHSMB\units and you as their highly-trained pilots,\we are finally able to take an aggressive stance and initiate an attack.\This mission is crucial for stopping the Wulgaru invasion. Therefore-\Sir, I apologize for interrupting your speech,\but could you please introduce me?\This is my adjutant, Lt. Amane.\Explain the upcoming mission. response:	We discovered a set Wulgaru route from beta 25 to 27
context: units and you as their highly-trained pilots,\we are finally able to take an aggressive stance and initiate an attack.\This mission is crucial for stopping the Wulgaru invasion. Therefore-\Sir, I apologize for interrupting your speech,\but could you please introduce me?\This is my adjutant, Lt. Amane.\Explain the upcoming mission.\We discovered a set Wulgaru route from beta 25 to 27 response:	on Jupiter's third quadrant orbital grid.
context: we are finally able to take an aggressive stance and initiate an attack.\This mission is crucial for stopping the Wulgaru invasion. Therefore-\Sir, I apologize for interrupting your speech,\but could you please introduce me?\This is my adjutant, Lt. Amane.\Explain the upcoming mission.\We discovered a set Wulgaru route from beta 25 to 27\on Jupiter's third quadrant orbital grid. response:	We believe there is a high probability that it is a supply route.
context: This mission is crucial for stopping the Wulgaru invasion. Therefore-\Sir, I apologize for interrupting your speech,\but could you please introduce me?\This is my adjutant, Lt. Amane.\Explain the upcoming mission.\We discovered a set Wulgaru route from beta 25 to 27\on Jupiter's third quadrant orbital grid.\We believe there is a high probability that it is a supply route. response:	This is where we will strike!
context: Sir, I apologize for interrupting your speech,\but could you please introduce me?\This is my adjutant, Lt. Amane.\Explain the upcoming mission.\We discovered a set Wulgaru route from beta 25 to 27\on Jupiter's third quadrant orbital grid.\We believe there is a high probability that it is a supply route.\This is where we will strike! response:	It is currently amidst a particularly strong solar storm.
context: but could you please introduce me?\This is my adjutant, Lt. Amane.\Explain the upcoming mission.\We discovered a set Wulgaru route from beta 25 to 27\on Jupiter's third quadrant orbital grid.\We believe there is a high probability that it is a supply route.\This is where we will strike!\It is currently amidst a particularly strong solar storm. response:	Soon the area will be bathed in extremely powerful CME
context: This is my adjutant, Lt. Amane.\Explain the upcoming mission.\We discovered a set Wulgaru route from beta 25 to 27\on Jupiter's third quadrant orbital grid.\We believe there is a high probability that it is a supply route.\This is where we will strike!\It is currently amidst a particularly strong solar storm.\Soon the area will be bathed in extremely powerful CME response:	Note: CME is the acronym for Coronal Mass Ejection
context: Explain the upcoming mission.\We discovered a set Wulgaru route from beta 25 to 27\on Jupiter's third quadrant orbital grid.\We believe there is a high probability that it is a supply route.\This is where we will strike!\It is currently amidst a particularly strong solar storm.\Soon the area will be bathed in extremely powerful CME\Note: CME is the acronym for Coronal Mass Ejection response:	and high-energy charged particles.
context: We discovered a set Wulgaru route from beta 25 to 27\on Jupiter's third quadrant orbital grid.\We believe there is a high probability that it is a supply route.\This is where we will strike!\It is currently amidst a particularly strong solar storm.\Soon the area will be bathed in extremely powerful CME\Note: CME is the acronym for Coronal Mass Ejection\and high-energy charged particles. response:	As a result, many electronics,
context: on Jupiter's third quadrant orbital grid.\We believe there is a high probability that it is a supply route.\This is where we will strike!\It is currently amidst a particularly strong solar storm.\Soon the area will be bathed in extremely powerful CME\Note: CME is the acronym for Coronal Mass Ejection\and high-energy charged particles.\As a result, many electronics, response:	including radar, should be rendered temporarily inoperable.
context: We believe there is a high probability that it is a supply route.\This is where we will strike!\It is currently amidst a particularly strong solar storm.\Soon the area will be bathed in extremely powerful CME\Note: CME is the acronym for Coronal Mass Ejection\and high-energy charged particles.\As a result, many electronics,\including radar, should be rendered temporarily inoperable. response:	Wait for the enemy to go blind
context: This is where we will strike!\It is currently amidst a particularly strong solar storm.\Soon the area will be bathed in extremely powerful CME\Note: CME is the acronym for Coronal Mass Ejection\and high-energy charged particles.\As a result, many electronics,\including radar, should be rendered temporarily inoperable.\Wait for the enemy to go blind response:	and then crush them when they fall into disarray!
context: It is currently amidst a particularly strong solar storm.\Soon the area will be bathed in extremely powerful CME\Note: CME is the acronym for Coronal Mass Ejection\and high-energy charged particles.\As a result, many electronics,\including radar, should be rendered temporarily inoperable.\Wait for the enemy to go blind\and then crush them when they fall into disarray! response:	You will wait for the solar flare to pass behind a planetoid
context: Soon the area will be bathed in extremely powerful CME\Note: CME is the acronym for Coronal Mass Ejection\and high-energy charged particles.\As a result, many electronics,\including radar, should be rendered temporarily inoperable.\Wait for the enemy to go blind\and then crush them when they fall into disarray!\You will wait for the solar flare to pass behind a planetoid response:	that has a powerful shield in place.
context: Note: CME is the acronym for Coronal Mass Ejection\and high-energy charged particles.\As a result, many electronics,\including radar, should be rendered temporarily inoperable.\Wait for the enemy to go blind\and then crush them when they fall into disarray!\You will wait for the solar flare to pass behind a planetoid\that has a powerful shield in place. response:	It will take 24 seconds at full speed
context: and high-energy charged particles.\As a result, many electronics,\including radar, should be rendered temporarily inoperable.\Wait for the enemy to go blind\and then crush them when they fall into disarray!\You will wait for the solar flare to pass behind a planetoid\that has a powerful shield in place.\It will take 24 seconds at full speed response:	to reach the enemy's anticipated location from behind the shielded planetoid.
context: As a result, many electronics,\including radar, should be rendered temporarily inoperable.\Wait for the enemy to go blind\and then crush them when they fall into disarray!\You will wait for the solar flare to pass behind a planetoid\that has a powerful shield in place.\It will take 24 seconds at full speed\to reach the enemy's anticipated location from behind the shielded planetoid. response:	We expect the enemy's systems to recover in 40 seconds.
context: including radar, should be rendered temporarily inoperable.\Wait for the enemy to go blind\and then crush them when they fall into disarray!\You will wait for the solar flare to pass behind a planetoid\that has a powerful shield in place.\It will take 24 seconds at full speed\to reach the enemy's anticipated location from behind the shielded planetoid.\We expect the enemy's systems to recover in 40 seconds. response:	You have 16 seconds to destroy everything and pull back.
context: Wait for the enemy to go blind\and then crush them when they fall into disarray!\You will wait for the solar flare to pass behind a planetoid\that has a powerful shield in place.\It will take 24 seconds at full speed\to reach the enemy's anticipated location from behind the shielded planetoid.\We expect the enemy's systems to recover in 40 seconds.\You have 16 seconds to destroy everything and pull back. response:	This operation requires clockwork precision.
context: and then crush them when they fall into disarray!\You will wait for the solar flare to pass behind a planetoid\that has a powerful shield in place.\It will take 24 seconds at full speed\to reach the enemy's anticipated location from behind the shielded planetoid.\We expect the enemy's systems to recover in 40 seconds.\You have 16 seconds to destroy everything and pull back.\This operation requires clockwork precision. response:	As such, I shall be issuing the orders from start to finish.
context: You will wait for the solar flare to pass behind a planetoid\that has a powerful shield in place.\It will take 24 seconds at full speed\to reach the enemy's anticipated location from behind the shielded planetoid.\We expect the enemy's systems to recover in 40 seconds.\You have 16 seconds to destroy everything and pull back.\This operation requires clockwork precision.\As such, I shall be issuing the orders from start to finish. response:	You are still inexperienced soldiers fresh from the academy.
context: that has a powerful shield in place.\It will take 24 seconds at full speed\to reach the enemy's anticipated location from behind the shielded planetoid.\We expect the enemy's systems to recover in 40 seconds.\You have 16 seconds to destroy everything and pull back.\This operation requires clockwork precision.\As such, I shall be issuing the orders from start to finish.\You are still inexperienced soldiers fresh from the academy. response:	You may possess latent abilities, but you are painfully lacking in experience.
context: It will take 24 seconds at full speed\to reach the enemy's anticipated location from behind the shielded planetoid.\We expect the enemy's systems to recover in 40 seconds.\You have 16 seconds to destroy everything and pull back.\This operation requires clockwork precision.\As such, I shall be issuing the orders from start to finish.\You are still inexperienced soldiers fresh from the academy.\You may possess latent abilities, but you are painfully lacking in experience. response:	You must not perform pathetically like in your prior operation.
context: to reach the enemy's anticipated location from behind the shielded planetoid.\We expect the enemy's systems to recover in 40 seconds.\You have 16 seconds to destroy everything and pull back.\This operation requires clockwork precision.\As such, I shall be issuing the orders from start to finish.\You are still inexperienced soldiers fresh from the academy.\You may possess latent abilities, but you are painfully lacking in experience.\You must not perform pathetically like in your prior operation. response:	Have I made myself clear?
context: We expect the enemy's systems to recover in 40 seconds.\You have 16 seconds to destroy everything and pull back.\This operation requires clockwork precision.\As such, I shall be issuing the orders from start to finish.\You are still inexperienced soldiers fresh from the academy.\You may possess latent abilities, but you are painfully lacking in experience.\You must not perform pathetically like in your prior operation.\Have I made myself clear? response:	We have dedicated a large portion
context: You have 16 seconds to destroy everything and pull back.\This operation requires clockwork precision.\As such, I shall be issuing the orders from start to finish.\You are still inexperienced soldiers fresh from the academy.\You may possess latent abilities, but you are painfully lacking in experience.\You must not perform pathetically like in your prior operation.\Have I made myself clear?\We have dedicated a large portion response:	of our budget to you, not just the AHSMB units!
context: This operation requires clockwork precision.\As such, I shall be issuing the orders from start to finish.\You are still inexperienced soldiers fresh from the academy.\You may possess latent abilities, but you are painfully lacking in experience.\You must not perform pathetically like in your prior operation.\Have I made myself clear?\We have dedicated a large portion\of our budget to you, not just the AHSMB units! response:	If you fail to perform accordingly, it defeats the point in ever creating you!
context: As such, I shall be issuing the orders from start to finish.\You are still inexperienced soldiers fresh from the academy.\You may possess latent abilities, but you are painfully lacking in experience.\You must not perform pathetically like in your prior operation.\Have I made myself clear?\We have dedicated a large portion\of our budget to you, not just the AHSMB units!\If you fail to perform accordingly, it defeats the point in ever creating you! response:	Sir, it is about time they prepared for takeoff.
context: You are still inexperienced soldiers fresh from the academy.\You may possess latent abilities, but you are painfully lacking in experience.\You must not perform pathetically like in your prior operation.\Have I made myself clear?\We have dedicated a large portion\of our budget to you, not just the AHSMB units!\If you fail to perform accordingly, it defeats the point in ever creating you!\Sir, it is about time they prepared for takeoff. response:	The AHSMBs' maintenance is complete. You may see them if you like.
context: You may possess latent abilities, but you are painfully lacking in experience.\You must not perform pathetically like in your prior operation.\Have I made myself clear?\We have dedicated a large portion\of our budget to you, not just the AHSMB units!\If you fail to perform accordingly, it defeats the point in ever creating you!\Sir, it is about time they prepared for takeoff.\The AHSMBs' maintenance is complete. You may see them if you like. response:	I could show you the way.
context: You must not perform pathetically like in your prior operation.\Have I made myself clear?\We have dedicated a large portion\of our budget to you, not just the AHSMB units!\If you fail to perform accordingly, it defeats the point in ever creating you!\Sir, it is about time they prepared for takeoff.\The AHSMBs' maintenance is complete. You may see them if you like.\I could show you the way. response:	You are to go to your cockpits.
context: Have I made myself clear?\We have dedicated a large portion\of our budget to you, not just the AHSMB units!\If you fail to perform accordingly, it defeats the point in ever creating you!\Sir, it is about time they prepared for takeoff.\The AHSMBs' maintenance is complete. You may see them if you like.\I could show you the way.\You are to go to your cockpits. response:	How dare he say, It defeats the point in creating you?!
context: We have dedicated a large portion\of our budget to you, not just the AHSMB units!\If you fail to perform accordingly, it defeats the point in ever creating you!\Sir, it is about time they prepared for takeoff.\The AHSMBs' maintenance is complete. You may see them if you like.\I could show you the way.\You are to go to your cockpits.\How dare he say, It defeats the point in creating you?! response:	It's not like he's our creator or anything!
context: of our budget to you, not just the AHSMB units!\If you fail to perform accordingly, it defeats the point in ever creating you!\Sir, it is about time they prepared for takeoff.\The AHSMBs' maintenance is complete. You may see them if you like.\I could show you the way.\You are to go to your cockpits.\How dare he say, It defeats the point in creating you?!\It's not like he's our creator or anything! response:	Grr! He totally pissed me off!
context: If you fail to perform accordingly, it defeats the point in ever creating you!\Sir, it is about time they prepared for takeoff.\The AHSMBs' maintenance is complete. You may see them if you like.\I could show you the way.\You are to go to your cockpits.\How dare he say, It defeats the point in creating you?!\It's not like he's our creator or anything!\Grr! He totally pissed me off! response:	Perform pathetically like last time, huh?
context: Sir, it is about time they prepared for takeoff.\The AHSMBs' maintenance is complete. You may see them if you like.\I could show you the way.\You are to go to your cockpits.\How dare he say, It defeats the point in creating you?!\It's not like he's our creator or anything!\Grr! He totally pissed me off!\Perform pathetically like last time, huh? response:	That's what got you upset?
context: The AHSMBs' maintenance is complete. You may see them if you like.\I could show you the way.\You are to go to your cockpits.\How dare he say, It defeats the point in creating you?!\It's not like he's our creator or anything!\Grr! He totally pissed me off!\Perform pathetically like last time, huh?\That's what got you upset? response:	Well, this time we're going after supply ships.
context: I could show you the way.\You are to go to your cockpits.\How dare he say, It defeats the point in creating you?!\It's not like he's our creator or anything!\Grr! He totally pissed me off!\Perform pathetically like last time, huh?\That's what got you upset?\Well, this time we're going after supply ships. response:	And we should have the upper hand since it's a surprise attack.
context: You are to go to your cockpits.\How dare he say, It defeats the point in creating you?!\It's not like he's our creator or anything!\Grr! He totally pissed me off!\Perform pathetically like last time, huh?\That's what got you upset?\Well, this time we're going after supply ships.\And we should have the upper hand since it's a surprise attack. response:	I don't want you to trying to make me feel better!
context: How dare he say, It defeats the point in creating you?!\It's not like he's our creator or anything!\Grr! He totally pissed me off!\Perform pathetically like last time, huh?\That's what got you upset?\Well, this time we're going after supply ships.\And we should have the upper hand since it's a surprise attack.\I don't want you to trying to make me feel better! response:	In any event, we have to fight under some
context: It's not like he's our creator or anything!\Grr! He totally pissed me off!\Perform pathetically like last time, huh?\That's what got you upset?\Well, this time we're going after supply ships.\And we should have the upper hand since it's a surprise attack.\I don't want you to trying to make me feel better!\In any event, we have to fight under some response:	old fart who resembles a squashed cream puff.
context: Grr! He totally pissed me off!\Perform pathetically like last time, huh?\That's what got you upset?\Well, this time we're going after supply ships.\And we should have the upper hand since it's a surprise attack.\I don't want you to trying to make me feel better!\In any event, we have to fight under some\old fart who resembles a squashed cream puff. response:	Yep! Let's do our best!
context: Perform pathetically like last time, huh?\That's what got you upset?\Well, this time we're going after supply ships.\And we should have the upper hand since it's a surprise attack.\I don't want you to trying to make me feel better!\In any event, we have to fight under some\old fart who resembles a squashed cream puff.\Yep! Let's do our best! response:	That's not how most people would typically respond.
context: That's what got you upset?\Well, this time we're going after supply ships.\And we should have the upper hand since it's a surprise attack.\I don't want you to trying to make me feel better!\In any event, we have to fight under some\old fart who resembles a squashed cream puff.\Yep! Let's do our best!\That's not how most people would typically respond. response:	Pay attention to the conversation.
context: Well, this time we're going after supply ships.\And we should have the upper hand since it's a surprise attack.\I don't want you to trying to make me feel better!\In any event, we have to fight under some\old fart who resembles a squashed cream puff.\Yep! Let's do our best!\That's not how most people would typically respond.\Pay attention to the conversation. response:	Stupy-dupy poopy.
context: And we should have the upper hand since it's a surprise attack.\I don't want you to trying to make me feel better!\In any event, we have to fight under some\old fart who resembles a squashed cream puff.\Yep! Let's do our best!\That's not how most people would typically respond.\Pay attention to the conversation.\Stupy-dupy poopy. response:	Quit randomly trying to console people.
context: I don't want you to trying to make me feel better!\In any event, we have to fight under some\old fart who resembles a squashed cream puff.\Yep! Let's do our best!\That's not how most people would typically respond.\Pay attention to the conversation.\Stupy-dupy poopy.\Quit randomly trying to console people. response:	Gordinion is ready for takeoff.
context: In any event, we have to fight under some\old fart who resembles a squashed cream puff.\Yep! Let's do our best!\That's not how most people would typically respond.\Pay attention to the conversation.\Stupy-dupy poopy.\Quit randomly trying to console people.\Gordinion is ready for takeoff. response:	Roger.
context: old fart who resembles a squashed cream puff.\Yep! Let's do our best!\That's not how most people would typically respond.\Pay attention to the conversation.\Stupy-dupy poopy.\Quit randomly trying to console people.\Gordinion is ready for takeoff.\Roger. response:	Commander Simon, what will you be doing?
context: Yep! Let's do our best!\That's not how most people would typically respond.\Pay attention to the conversation.\Stupy-dupy poopy.\Quit randomly trying to console people.\Gordinion is ready for takeoff.\Roger.\Commander Simon, what will you be doing? response:	I will remain on standby here.
context: That's not how most people would typically respond.\Pay attention to the conversation.\Stupy-dupy poopy.\Quit randomly trying to console people.\Gordinion is ready for takeoff.\Roger.\Commander Simon, what will you be doing?\I will remain on standby here. response:	Understood. That would make things less strenuous on me as well.
context: Pay attention to the conversation.\Stupy-dupy poopy.\Quit randomly trying to console people.\Gordinion is ready for takeoff.\Roger.\Commander Simon, what will you be doing?\I will remain on standby here.\Understood. That would make things less strenuous on me as well. response:	I will be careful with how I inform the Vice Chief of Staff.
context: Stupy-dupy poopy.\Quit randomly trying to console people.\Gordinion is ready for takeoff.\Roger.\Commander Simon, what will you be doing?\I will remain on standby here.\Understood. That would make things less strenuous on me as well.\I will be careful with how I inform the Vice Chief of Staff. response:	Where is Simon?
context: Quit randomly trying to console people.\Gordinion is ready for takeoff.\Roger.\Commander Simon, what will you be doing?\I will remain on standby here.\Understood. That would make things less strenuous on me as well.\I will be careful with how I inform the Vice Chief of Staff.\Where is Simon? response:	He is on standby at Headquarters.
context: Gordinion is ready for takeoff.\Roger.\Commander Simon, what will you be doing?\I will remain on standby here.\Understood. That would make things less strenuous on me as well.\I will be careful with how I inform the Vice Chief of Staff.\Where is Simon?\He is on standby at Headquarters. response:	Well, it was merely his job to nurse the MJP.
