context: Today I promised to play with Saikawa in the park. response:	I see. Have fun.
context: I won't approve.\Not with something like a human who doesn't even have the lifespan to live alongside her.\Tohru. My foolish daughter.\Sorry for being selfish.\What should I give you?\Everything. I'll give you everything!\I don't need that much.\Good morning, Tohru. response:	Good morning, Miss Kobayashi.
context: Not with something like a human who doesn't even have the lifespan to live alongside her.\Tohru. My foolish daughter.\Sorry for being selfish.\What should I give you?\Everything. I'll give you everything!\I don't need that much.\Good morning, Tohru.\Good morning, Miss Kobayashi. response:	Good morning, Lady Tohru.
context: Tohru. My foolish daughter.\Sorry for being selfish.\What should I give you?\Everything. I'll give you everything!\I don't need that much.\Good morning, Tohru.\Good morning, Miss Kobayashi.\Good morning, Lady Tohru. response:	Morning, Kanna.
context: Sorry for being selfish.\What should I give you?\Everything. I'll give you everything!\I don't need that much.\Good morning, Tohru.\Good morning, Miss Kobayashi.\Good morning, Lady Tohru.\Morning, Kanna. response:	Okay, I'm heading out.
context: What should I give you?\Everything. I'll give you everything!\I don't need that much.\Good morning, Tohru.\Good morning, Miss Kobayashi.\Good morning, Lady Tohru.\Morning, Kanna.\Okay, I'm heading out. response:	We're out of conditioner.
context: Everything. I'll give you everything!\I don't need that much.\Good morning, Tohru.\Good morning, Miss Kobayashi.\Good morning, Lady Tohru.\Morning, Kanna.\Okay, I'm heading out.\We're out of conditioner. response:	Okay, I'll buy some.
context: I don't need that much.\Good morning, Tohru.\Good morning, Miss Kobayashi.\Good morning, Lady Tohru.\Morning, Kanna.\Okay, I'm heading out.\We're out of conditioner.\Okay, I'll buy some. response:	Also...
context: Good morning, Tohru.\Good morning, Miss Kobayashi.\Good morning, Lady Tohru.\Morning, Kanna.\Okay, I'm heading out.\We're out of conditioner.\Okay, I'll buy some.\Also... response:	8 o'clock, right?
context: Good morning, Miss Kobayashi.\Good morning, Lady Tohru.\Morning, Kanna.\Okay, I'm heading out.\We're out of conditioner.\Okay, I'll buy some.\Also...\8 o'clock, right? response:	I know.
context: Good morning, Lady Tohru.\Morning, Kanna.\Okay, I'm heading out.\We're out of conditioner.\Okay, I'll buy some.\Also...\8 o'clock, right?\I know. response:	Kanna-san said she was coming over to play again today.
context: Morning, Kanna.\Okay, I'm heading out.\We're out of conditioner.\Okay, I'll buy some.\Also...\8 o'clock, right?\I know.\Kanna-san said she was coming over to play again today. response:	In that case, I'll prepare chocolates.
context: Okay, I'm heading out.\We're out of conditioner.\Okay, I'll buy some.\Also...\8 o'clock, right?\I know.\Kanna-san said she was coming over to play again today.\In that case, I'll prepare chocolates. response:	Chocolates?
context: We're out of conditioner.\Okay, I'll buy some.\Also...\8 o'clock, right?\I know.\Kanna-san said she was coming over to play again today.\In that case, I'll prepare chocolates.\Chocolates? response:	Take care, Shouta.
context: Okay, I'll buy some.\Also...\8 o'clock, right?\I know.\Kanna-san said she was coming over to play again today.\In that case, I'll prepare chocolates.\Chocolates?\Take care, Shouta. response:	Stop it!
context: Also...\8 o'clock, right?\I know.\Kanna-san said she was coming over to play again today.\In that case, I'll prepare chocolates.\Chocolates?\Take care, Shouta.\Stop it! response:	Try our new waffles!
context: 8 o'clock, right?\I know.\Kanna-san said she was coming over to play again today.\In that case, I'll prepare chocolates.\Chocolates?\Take care, Shouta.\Stop it!\Try our new waffles! response:	Thank you very much.
context: I know.\Kanna-san said she was coming over to play again today.\In that case, I'll prepare chocolates.\Chocolates?\Take care, Shouta.\Stop it!\Try our new waffles!\Thank you very much. response:	Tohru.
context: Kanna-san said she was coming over to play again today.\In that case, I'll prepare chocolates.\Chocolates?\Take care, Shouta.\Stop it!\Try our new waffles!\Thank you very much.\Tohru. response:	Yes?
context: In that case, I'll prepare chocolates.\Chocolates?\Take care, Shouta.\Stop it!\Try our new waffles!\Thank you very much.\Tohru.\Yes? response:	I'm thinking of going home for the first time in a while.
context: Chocolates?\Take care, Shouta.\Stop it!\Try our new waffles!\Thank you very much.\Tohru.\Yes?\I'm thinking of going home for the first time in a while. response:	Oh, sounds nice.
context: Take care, Shouta.\Stop it!\Try our new waffles!\Thank you very much.\Tohru.\Yes?\I'm thinking of going home for the first time in a while.\Oh, sounds nice. response:	Please, you should go.
context: Stop it!\Try our new waffles!\Thank you very much.\Tohru.\Yes?\I'm thinking of going home for the first time in a while.\Oh, sounds nice.\Please, you should go. response:	Will you come with me?
context: Try our new waffles!\Thank you very much.\Tohru.\Yes?\I'm thinking of going home for the first time in a while.\Oh, sounds nice.\Please, you should go.\Will you come with me? response:	I'll never be able to grow old with Miss Kobayashi.
context: Thank you very much.\Tohru.\Yes?\I'm thinking of going home for the first time in a while.\Oh, sounds nice.\Please, you should go.\Will you come with me?\I'll never be able to grow old with Miss Kobayashi. response:	One day, the time will come when we have to part.
context: Tohru.\Yes?\I'm thinking of going home for the first time in a while.\Oh, sounds nice.\Please, you should go.\Will you come with me?\I'll never be able to grow old with Miss Kobayashi.\One day, the time will come when we have to part. response:	Even so, I would never think I was better off not meeting her.
context: Yes?\I'm thinking of going home for the first time in a while.\Oh, sounds nice.\Please, you should go.\Will you come with me?\I'll never be able to grow old with Miss Kobayashi.\One day, the time will come when we have to part.\Even so, I would never think I was better off not meeting her. response:	I just want to treasure this time we have.
context: I'm thinking of going home for the first time in a while.\Oh, sounds nice.\Please, you should go.\Will you come with me?\I'll never be able to grow old with Miss Kobayashi.\One day, the time will come when we have to part.\Even so, I would never think I was better off not meeting her.\I just want to treasure this time we have. response:	I'm home.
