context: As a present for our classmate Futa's birthday, response:	I went to Waka's house to bake a ball-shaped cake.
context: I've figured out how to prove my hypothesis.\A model! A model!\Huh?\If I file down a magnet into a model of the Earth,\it will unlock the secret of the dip circle's needle!\This is incredible!\Master?\A letter from Rome. response:	From Rome?
context: A model! A model!\Huh?\If I file down a magnet into a model of the Earth,\it will unlock the secret of the dip circle's needle!\This is incredible!\Master?\A letter from Rome.\From Rome? response:	Master?
context: Huh?\If I file down a magnet into a model of the Earth,\it will unlock the secret of the dip circle's needle!\This is incredible!\Master?\A letter from Rome.\From Rome?\Master? response:	It can't be. Why?!
context: If I file down a magnet into a model of the Earth,\it will unlock the secret of the dip circle's needle!\This is incredible!\Master?\A letter from Rome.\From Rome?\Master?\It can't be. Why?! response:	Wh-What's wrong?
context: it will unlock the secret of the dip circle's needle!\This is incredible!\Master?\A letter from Rome.\From Rome?\Master?\It can't be. Why?!\Wh-What's wrong? response:	Giordano Bruno... has been put to death.
context: This is incredible!\Master?\A letter from Rome.\From Rome?\Master?\It can't be. Why?!\Wh-What's wrong?\Giordano Bruno... has been put to death. response:	It apparently happened this month, on the seventeenth of February.
context: Master?\A letter from Rome.\From Rome?\Master?\It can't be. Why?!\Wh-What's wrong?\Giordano Bruno... has been put to death.\It apparently happened this month, on the seventeenth of February. response:	And yet, it moves.
context: A letter from Rome.\From Rome?\Master?\It can't be. Why?!\Wh-What's wrong?\Giordano Bruno... has been put to death.\It apparently happened this month, on the seventeenth of February.\And yet, it moves. response:	There's only one truth.
context: From Rome?\Master?\It can't be. Why?!\Wh-What's wrong?\Giordano Bruno... has been put to death.\It apparently happened this month, on the seventeenth of February.\And yet, it moves.\There's only one truth. response:	Mr. Gilbert...
context: Master?\It can't be. Why?!\Wh-What's wrong?\Giordano Bruno... has been put to death.\It apparently happened this month, on the seventeenth of February.\And yet, it moves.\There's only one truth.\Mr. Gilbert... response:	Is this still happening in your age?
context: It can't be. Why?!\Wh-What's wrong?\Giordano Bruno... has been put to death.\It apparently happened this month, on the seventeenth of February.\And yet, it moves.\There's only one truth.\Mr. Gilbert...\Is this still happening in your age? response:	Those who cry the truth, persecuted and murdered by those in power?
context: Wh-What's wrong?\Giordano Bruno... has been put to death.\It apparently happened this month, on the seventeenth of February.\And yet, it moves.\There's only one truth.\Mr. Gilbert...\Is this still happening in your age?\Those who cry the truth, persecuted and murdered by those in power? response:	What an inauspicious time we live in.
context: Giordano Bruno... has been put to death.\It apparently happened this month, on the seventeenth of February.\And yet, it moves.\There's only one truth.\Mr. Gilbert...\Is this still happening in your age?\Those who cry the truth, persecuted and murdered by those in power?\What an inauspicious time we live in. response:	I never even thought about that.
context: It apparently happened this month, on the seventeenth of February.\And yet, it moves.\There's only one truth.\Mr. Gilbert...\Is this still happening in your age?\Those who cry the truth, persecuted and murdered by those in power?\What an inauspicious time we live in.\I never even thought about that. response:	Wh-What?
context: And yet, it moves.\There's only one truth.\Mr. Gilbert...\Is this still happening in your age?\Those who cry the truth, persecuted and murdered by those in power?\What an inauspicious time we live in.\I never even thought about that.\Wh-What? response:	She disappeared...
context: There's only one truth.\Mr. Gilbert...\Is this still happening in your age?\Those who cry the truth, persecuted and murdered by those in power?\What an inauspicious time we live in.\I never even thought about that.\Wh-What?\She disappeared... response:	She went home?
context: Mr. Gilbert...\Is this still happening in your age?\Those who cry the truth, persecuted and murdered by those in power?\What an inauspicious time we live in.\I never even thought about that.\Wh-What?\She disappeared...\She went home? response:	This is... the science of the future?
context: Is this still happening in your age?\Those who cry the truth, persecuted and murdered by those in power?\What an inauspicious time we live in.\I never even thought about that.\Wh-What?\She disappeared...\She went home?\This is... the science of the future? response:	Brother, look!
context: Those who cry the truth, persecuted and murdered by those in power?\What an inauspicious time we live in.\I never even thought about that.\Wh-What?\She disappeared...\She went home?\This is... the science of the future?\Brother, look! response:	It hurts...
context: What an inauspicious time we live in.\I never even thought about that.\Wh-What?\She disappeared...\She went home?\This is... the science of the future?\Brother, look!\It hurts... response:	Mari?
context: I never even thought about that.\Wh-What?\She disappeared...\She went home?\This is... the science of the future?\Brother, look!\It hurts...\Mari? response:	Waka?
context: Wh-What?\She disappeared...\She went home?\This is... the science of the future?\Brother, look!\It hurts...\Mari?\Waka? response:	Yeah! I'm back!
context: She disappeared...\She went home?\This is... the science of the future?\Brother, look!\It hurts...\Mari?\Waka?\Yeah! I'm back! response:	Oh, where have you been?
context: She went home?\This is... the science of the future?\Brother, look!\It hurts...\Mari?\Waka?\Yeah! I'm back!\Oh, where have you been? response:	I've been so worried!
context: This is... the science of the future?\Brother, look!\It hurts...\Mari?\Waka?\Yeah! I'm back!\Oh, where have you been?\I've been so worried! response:	Stupid Mari...
context: Brother, look!\It hurts...\Mari?\Waka?\Yeah! I'm back!\Oh, where have you been?\I've been so worried!\Stupid Mari... response:	Waka... I'm sorry I worried you.
context: It hurts...\Mari?\Waka?\Yeah! I'm back!\Oh, where have you been?\I've been so worried!\Stupid Mari...\Waka... I'm sorry I worried you. response:	You really did. But I'm so glad you're back.
context: Mari?\Waka?\Yeah! I'm back!\Oh, where have you been?\I've been so worried!\Stupid Mari...\Waka... I'm sorry I worried you.\You really did. But I'm so glad you're back. response:	Yeah.
context: Waka?\Yeah! I'm back!\Oh, where have you been?\I've been so worried!\Stupid Mari...\Waka... I'm sorry I worried you.\You really did. But I'm so glad you're back.\Yeah. response:	That reminds me! How long have I been gone?
context: Yeah! I'm back!\Oh, where have you been?\I've been so worried!\Stupid Mari...\Waka... I'm sorry I worried you.\You really did. But I'm so glad you're back.\Yeah.\That reminds me! How long have I been gone? response:	Brother? What time is it?
context: Oh, where have you been?\I've been so worried!\Stupid Mari...\Waka... I'm sorry I worried you.\You really did. But I'm so glad you're back.\Yeah.\That reminds me! How long have I been gone?\Brother? What time is it? response:	About half past eight.
context: I've been so worried!\Stupid Mari...\Waka... I'm sorry I worried you.\You really did. But I'm so glad you're back.\Yeah.\That reminds me! How long have I been gone?\Brother? What time is it?\About half past eight. response:	So about three and a half hours?
context: Stupid Mari...\Waka... I'm sorry I worried you.\You really did. But I'm so glad you're back.\Yeah.\That reminds me! How long have I been gone?\Brother? What time is it?\About half past eight.\So about three and a half hours? response:	That's all?
context: Waka... I'm sorry I worried you.\You really did. But I'm so glad you're back.\Yeah.\That reminds me! How long have I been gone?\Brother? What time is it?\About half past eight.\So about three and a half hours?\That's all? response:	It was over two days over there.
context: You really did. But I'm so glad you're back.\Yeah.\That reminds me! How long have I been gone?\Brother? What time is it?\About half past eight.\So about three and a half hours?\That's all?\It was over two days over there. response:	I told you, I'm staying at Waka's house tonight.
context: Yeah.\That reminds me! How long have I been gone?\Brother? What time is it?\About half past eight.\So about three and a half hours?\That's all?\It was over two days over there.\I told you, I'm staying at Waka's house tonight. response:	Waka's mom already agreed to it.
context: That reminds me! How long have I been gone?\Brother? What time is it?\About half past eight.\So about three and a half hours?\That's all?\It was over two days over there.\I told you, I'm staying at Waka's house tonight.\Waka's mom already agreed to it. response:	Huh? Hang on.
context: Brother? What time is it?\About half past eight.\So about three and a half hours?\That's all?\It was over two days over there.\I told you, I'm staying at Waka's house tonight.\Waka's mom already agreed to it.\Huh? Hang on. response:	Um, Mama wants to talk to you.
context: About half past eight.\So about three and a half hours?\That's all?\It was over two days over there.\I told you, I'm staying at Waka's house tonight.\Waka's mom already agreed to it.\Huh? Hang on.\Um, Mama wants to talk to you. response:	Yes?
context: So about three and a half hours?\That's all?\It was over two days over there.\I told you, I'm staying at Waka's house tonight.\Waka's mom already agreed to it.\Huh? Hang on.\Um, Mama wants to talk to you.\Yes? response:	Oh, we're just fine.
context: That's all?\It was over two days over there.\I told you, I'm staying at Waka's house tonight.\Waka's mom already agreed to it.\Huh? Hang on.\Um, Mama wants to talk to you.\Yes?\Oh, we're just fine. response:	What? I see. The PTA meeting next week...
context: It was over two days over there.\I told you, I'm staying at Waka's house tonight.\Waka's mom already agreed to it.\Huh? Hang on.\Um, Mama wants to talk to you.\Yes?\Oh, we're just fine.\What? I see. The PTA meeting next week... response:	Brother, how did it go?
context: I told you, I'm staying at Waka's house tonight.\Waka's mom already agreed to it.\Huh? Hang on.\Um, Mama wants to talk to you.\Yes?\Oh, we're just fine.\What? I see. The PTA meeting next week...\Brother, how did it go? response:	Yeah, everything in the book has disappeared.
context: Waka's mom already agreed to it.\Huh? Hang on.\Um, Mama wants to talk to you.\Yes?\Oh, we're just fine.\What? I see. The PTA meeting next week...\Brother, how did it go?\Yeah, everything in the book has disappeared. response:	But it seems to be true that Mari traveled back to London in 1600.
context: Huh? Hang on.\Um, Mama wants to talk to you.\Yes?\Oh, we're just fine.\What? I see. The PTA meeting next week...\Brother, how did it go?\Yeah, everything in the book has disappeared.\But it seems to be true that Mari traveled back to London in 1600. response:	Look.
context: Um, Mama wants to talk to you.\Yes?\Oh, we're just fine.\What? I see. The PTA meeting next week...\Brother, how did it go?\Yeah, everything in the book has disappeared.\But it seems to be true that Mari traveled back to London in 1600.\Look. response:	William Gilbert.
context: Yes?\Oh, we're just fine.\What? I see. The PTA meeting next week...\Brother, how did it go?\Yeah, everything in the book has disappeared.\But it seems to be true that Mari traveled back to London in 1600.\Look.\William Gilbert. response:	1544-1603.
context: Oh, we're just fine.\What? I see. The PTA meeting next week...\Brother, how did it go?\Yeah, everything in the book has disappeared.\But it seems to be true that Mari traveled back to London in 1600.\Look.\William Gilbert.\1544-1603. response:	Inventor of the dip circle.
context: What? I see. The PTA meeting next week...\Brother, how did it go?\Yeah, everything in the book has disappeared.\But it seems to be true that Mari traveled back to London in 1600.\Look.\William Gilbert.\1544-1603.\Inventor of the dip circle. response:	With an experiment using an Earth-shaped magnet,
context: Brother, how did it go?\Yeah, everything in the book has disappeared.\But it seems to be true that Mari traveled back to London in 1600.\Look.\William Gilbert.\1544-1603.\Inventor of the dip circle.\With an experiment using an Earth-shaped magnet, response:	he proved that the Earth was a giant magnetic body.
context: Yeah, everything in the book has disappeared.\But it seems to be true that Mari traveled back to London in 1600.\Look.\William Gilbert.\1544-1603.\Inventor of the dip circle.\With an experiment using an Earth-shaped magnet,\he proved that the Earth was a giant magnetic body. response:	Afterwards, Gilbert became the first person in the world
context: But it seems to be true that Mari traveled back to London in 1600.\Look.\William Gilbert.\1544-1603.\Inventor of the dip circle.\With an experiment using an Earth-shaped magnet,\he proved that the Earth was a giant magnetic body.\Afterwards, Gilbert became the first person in the world response:	to clearly differentiate a magnet's ability to attract iron
context: Look.\William Gilbert.\1544-1603.\Inventor of the dip circle.\With an experiment using an Earth-shaped magnet,\he proved that the Earth was a giant magnetic body.\Afterwards, Gilbert became the first person in the world\to clearly differentiate a magnet's ability to attract iron response:	from the light attraction created by static electricity in amber.
context: William Gilbert.\1544-1603.\Inventor of the dip circle.\With an experiment using an Earth-shaped magnet,\he proved that the Earth was a giant magnetic body.\Afterwards, Gilbert became the first person in the world\to clearly differentiate a magnet's ability to attract iron\from the light attraction created by static electricity in amber. response:	This discovery was one of the first stepping stones to humanity harnessing electricity.
context: 1544-1603.\Inventor of the dip circle.\With an experiment using an Earth-shaped magnet,\he proved that the Earth was a giant magnetic body.\Afterwards, Gilbert became the first person in the world\to clearly differentiate a magnet's ability to attract iron\from the light attraction created by static electricity in amber.\This discovery was one of the first stepping stones to humanity harnessing electricity. response:	I'm so glad!
context: Inventor of the dip circle.\With an experiment using an Earth-shaped magnet,\he proved that the Earth was a giant magnetic body.\Afterwards, Gilbert became the first person in the world\to clearly differentiate a magnet's ability to attract iron\from the light attraction created by static electricity in amber.\This discovery was one of the first stepping stones to humanity harnessing electricity.\I'm so glad! response:	He really did get to prove it!
context: With an experiment using an Earth-shaped magnet,\he proved that the Earth was a giant magnetic body.\Afterwards, Gilbert became the first person in the world\to clearly differentiate a magnet's ability to attract iron\from the light attraction created by static electricity in amber.\This discovery was one of the first stepping stones to humanity harnessing electricity.\I'm so glad!\He really did get to prove it! response:	It's possible that Dr. Hayase's disappearance has something to do with this book, too.
context: he proved that the Earth was a giant magnetic body.\Afterwards, Gilbert became the first person in the world\to clearly differentiate a magnet's ability to attract iron\from the light attraction created by static electricity in amber.\This discovery was one of the first stepping stones to humanity harnessing electricity.\I'm so glad!\He really did get to prove it!\It's possible that Dr. Hayase's disappearance has something to do with this book, too. response:	Yeah, I bet you're right!
context: Afterwards, Gilbert became the first person in the world\to clearly differentiate a magnet's ability to attract iron\from the light attraction created by static electricity in amber.\This discovery was one of the first stepping stones to humanity harnessing electricity.\I'm so glad!\He really did get to prove it!\It's possible that Dr. Hayase's disappearance has something to do with this book, too.\Yeah, I bet you're right! response:	What?
context: to clearly differentiate a magnet's ability to attract iron\from the light attraction created by static electricity in amber.\This discovery was one of the first stepping stones to humanity harnessing electricity.\I'm so glad!\He really did get to prove it!\It's possible that Dr. Hayase's disappearance has something to do with this book, too.\Yeah, I bet you're right!\What? response:	This is a homework assignment from Papa!
context: from the light attraction created by static electricity in amber.\This discovery was one of the first stepping stones to humanity harnessing electricity.\I'm so glad!\He really did get to prove it!\It's possible that Dr. Hayase's disappearance has something to do with this book, too.\Yeah, I bet you're right!\What?\This is a homework assignment from Papa! response:	I'm going to keep searching for the truth, like Mr. Gilbert,
context: This discovery was one of the first stepping stones to humanity harnessing electricity.\I'm so glad!\He really did get to prove it!\It's possible that Dr. Hayase's disappearance has something to do with this book, too.\Yeah, I bet you're right!\What?\This is a homework assignment from Papa!\I'm going to keep searching for the truth, like Mr. Gilbert, response:	and find Papa!
context: I'm so glad!\He really did get to prove it!\It's possible that Dr. Hayase's disappearance has something to do with this book, too.\Yeah, I bet you're right!\What?\This is a homework assignment from Papa!\I'm going to keep searching for the truth, like Mr. Gilbert,\and find Papa! response:	That sounds so fun!
context: He really did get to prove it!\It's possible that Dr. Hayase's disappearance has something to do with this book, too.\Yeah, I bet you're right!\What?\This is a homework assignment from Papa!\I'm going to keep searching for the truth, like Mr. Gilbert,\and find Papa!\That sounds so fun! response:	Like a tour of famous times in history!
context: It's possible that Dr. Hayase's disappearance has something to do with this book, too.\Yeah, I bet you're right!\What?\This is a homework assignment from Papa!\I'm going to keep searching for the truth, like Mr. Gilbert,\and find Papa!\That sounds so fun!\Like a tour of famous times in history! response:	Take me with you, okay?
context: Yeah, I bet you're right!\What?\This is a homework assignment from Papa!\I'm going to keep searching for the truth, like Mr. Gilbert,\and find Papa!\That sounds so fun!\Like a tour of famous times in history!\Take me with you, okay? response:	But only after we make Futa's cake!
context: What?\This is a homework assignment from Papa!\I'm going to keep searching for the truth, like Mr. Gilbert,\and find Papa!\That sounds so fun!\Like a tour of famous times in history!\Take me with you, okay?\But only after we make Futa's cake! response:	Oh!
context: This is a homework assignment from Papa!\I'm going to keep searching for the truth, like Mr. Gilbert,\and find Papa!\That sounds so fun!\Like a tour of famous times in history!\Take me with you, okay?\But only after we make Futa's cake!\Oh! response:	I forgot about that!
context: I'm going to keep searching for the truth, like Mr. Gilbert,\and find Papa!\That sounds so fun!\Like a tour of famous times in history!\Take me with you, okay?\But only after we make Futa's cake!\Oh!\I forgot about that! response:	I hope they're not getting in over their heads.
context: and find Papa!\That sounds so fun!\Like a tour of famous times in history!\Take me with you, okay?\But only after we make Futa's cake!\Oh!\I forgot about that!\I hope they're not getting in over their heads. response:	So bored...
context: That sounds so fun!\Like a tour of famous times in history!\Take me with you, okay?\But only after we make Futa's cake!\Oh!\I forgot about that!\I hope they're not getting in over their heads.\So bored... response:	Futa!
context: Like a tour of famous times in history!\Take me with you, okay?\But only after we make Futa's cake!\Oh!\I forgot about that!\I hope they're not getting in over their heads.\So bored...\Futa! response:	Are you sure you should be up?
context: Take me with you, okay?\But only after we make Futa's cake!\Oh!\I forgot about that!\I hope they're not getting in over their heads.\So bored...\Futa!\Are you sure you should be up? response:	Hey, you two!
context: But only after we make Futa's cake!\Oh!\I forgot about that!\I hope they're not getting in over their heads.\So bored...\Futa!\Are you sure you should be up?\Hey, you two! response:	As you can see, I'm just fine!
context: Oh!\I forgot about that!\I hope they're not getting in over their heads.\So bored...\Futa!\Are you sure you should be up?\Hey, you two!\As you can see, I'm just fine! response:	I was just in for tests. They should let me out today if nothing comes up.
context: I forgot about that!\I hope they're not getting in over their heads.\So bored...\Futa!\Are you sure you should be up?\Hey, you two!\As you can see, I'm just fine!\I was just in for tests. They should let me out today if nothing comes up. response:	But your brother seriously saved my life.
context: I hope they're not getting in over their heads.\So bored...\Futa!\Are you sure you should be up?\Hey, you two!\As you can see, I'm just fine!\I was just in for tests. They should let me out today if nothing comes up.\But your brother seriously saved my life. response:	I'll come by to thank him myself later, but give my regards in the meantime, okay?
context: So bored...\Futa!\Are you sure you should be up?\Hey, you two!\As you can see, I'm just fine!\I was just in for tests. They should let me out today if nothing comes up.\But your brother seriously saved my life.\I'll come by to thank him myself later, but give my regards in the meantime, okay? response:	Vending Machine Contains AED
context: Futa!\Are you sure you should be up?\Hey, you two!\As you can see, I'm just fine!\I was just in for tests. They should let me out today if nothing comes up.\But your brother seriously saved my life.\I'll come by to thank him myself later, but give my regards in the meantime, okay?\Vending Machine Contains AED response:	Okay! Vending Machine Contains AED
context: Are you sure you should be up?\Hey, you two!\As you can see, I'm just fine!\I was just in for tests. They should let me out today if nothing comes up.\But your brother seriously saved my life.\I'll come by to thank him myself later, but give my regards in the meantime, okay?\Vending Machine Contains AED\Okay! Vending Machine Contains AED response:	But we have a reward for you, too. Vending Machine Contains AED
context: Hey, you two!\As you can see, I'm just fine!\I was just in for tests. They should let me out today if nothing comes up.\But your brother seriously saved my life.\I'll come by to thank him myself later, but give my regards in the meantime, okay?\Vending Machine Contains AED\Okay! Vending Machine Contains AED\But we have a reward for you, too. Vending Machine Contains AED response:	Happy birthday to you! Happy birthday to you! Vending Machine Contains AED
context: As you can see, I'm just fine!\I was just in for tests. They should let me out today if nothing comes up.\But your brother seriously saved my life.\I'll come by to thank him myself later, but give my regards in the meantime, okay?\Vending Machine Contains AED\Okay! Vending Machine Contains AED\But we have a reward for you, too. Vending Machine Contains AED\Happy birthday to you! Happy birthday to you! Vending Machine Contains AED response:	Happy birthday to you! Happy birthday to you!
context: I was just in for tests. They should let me out today if nothing comes up.\But your brother seriously saved my life.\I'll come by to thank him myself later, but give my regards in the meantime, okay?\Vending Machine Contains AED\Okay! Vending Machine Contains AED\But we have a reward for you, too. Vending Machine Contains AED\Happy birthday to you! Happy birthday to you! Vending Machine Contains AED\Happy birthday to you! Happy birthday to you! response:	Happy birthday, dear Futa!
context: But your brother seriously saved my life.\I'll come by to thank him myself later, but give my regards in the meantime, okay?\Vending Machine Contains AED\Okay! Vending Machine Contains AED\But we have a reward for you, too. Vending Machine Contains AED\Happy birthday to you! Happy birthday to you! Vending Machine Contains AED\Happy birthday to you! Happy birthday to you!\Happy birthday, dear Futa! response:	Happy birthday to you!
context: I'll come by to thank him myself later, but give my regards in the meantime, okay?\Vending Machine Contains AED\Okay! Vending Machine Contains AED\But we have a reward for you, too. Vending Machine Contains AED\Happy birthday to you! Happy birthday to you! Vending Machine Contains AED\Happy birthday to you! Happy birthday to you!\Happy birthday, dear Futa!\Happy birthday to you! response:	Wow, are you kidding me?
context: Vending Machine Contains AED\Okay! Vending Machine Contains AED\But we have a reward for you, too. Vending Machine Contains AED\Happy birthday to you! Happy birthday to you! Vending Machine Contains AED\Happy birthday to you! Happy birthday to you!\Happy birthday, dear Futa!\Happy birthday to you!\Wow, are you kidding me? response:	It's so cool! Is this my birthday cake?
context: Okay! Vending Machine Contains AED\But we have a reward for you, too. Vending Machine Contains AED\Happy birthday to you! Happy birthday to you! Vending Machine Contains AED\Happy birthday to you! Happy birthday to you!\Happy birthday, dear Futa!\Happy birthday to you!\Wow, are you kidding me?\It's so cool! Is this my birthday cake? response:	After everything that happened, I thought everyone forgot!
context: But we have a reward for you, too. Vending Machine Contains AED\Happy birthday to you! Happy birthday to you! Vending Machine Contains AED\Happy birthday to you! Happy birthday to you!\Happy birthday, dear Futa!\Happy birthday to you!\Wow, are you kidding me?\It's so cool! Is this my birthday cake?\After everything that happened, I thought everyone forgot! response:	Waka would never forget!
context: Happy birthday to you! Happy birthday to you! Vending Machine Contains AED\Happy birthday to you! Happy birthday to you!\Happy birthday, dear Futa!\Happy birthday to you!\Wow, are you kidding me?\It's so cool! Is this my birthday cake?\After everything that happened, I thought everyone forgot!\Waka would never forget! response:	But how did you even make this?
context: Happy birthday to you! Happy birthday to you!\Happy birthday, dear Futa!\Happy birthday to you!\Wow, are you kidding me?\It's so cool! Is this my birthday cake?\After everything that happened, I thought everyone forgot!\Waka would never forget!\But how did you even make this? response:	I got a lot of thinking done at this old scientist's place.
context: Happy birthday, dear Futa!\Happy birthday to you!\Wow, are you kidding me?\It's so cool! Is this my birthday cake?\After everything that happened, I thought everyone forgot!\Waka would never forget!\But how did you even make this?\I got a lot of thinking done at this old scientist's place. response:	Old scientist?
context: Happy birthday to you!\Wow, are you kidding me?\It's so cool! Is this my birthday cake?\After everything that happened, I thought everyone forgot!\Waka would never forget!\But how did you even make this?\I got a lot of thinking done at this old scientist's place.\Old scientist? response:	Yeah!
context: Wow, are you kidding me?\It's so cool! Is this my birthday cake?\After everything that happened, I thought everyone forgot!\Waka would never forget!\But how did you even make this?\I got a lot of thinking done at this old scientist's place.\Old scientist?\Yeah! response:	But I guess you're pretty glad humans learned to harness electricity, huh, Futa?
context: It's so cool! Is this my birthday cake?\After everything that happened, I thought everyone forgot!\Waka would never forget!\But how did you even make this?\I got a lot of thinking done at this old scientist's place.\Old scientist?\Yeah!\But I guess you're pretty glad humans learned to harness electricity, huh, Futa? response:	Huh? What are you talking about?
context: After everything that happened, I thought everyone forgot!\Waka would never forget!\But how did you even make this?\I got a lot of thinking done at this old scientist's place.\Old scientist?\Yeah!\But I guess you're pretty glad humans learned to harness electricity, huh, Futa?\Huh? What are you talking about? response:	Well, it's because scientists work so hard to invent all kinds of things
context: Waka would never forget!\But how did you even make this?\I got a lot of thinking done at this old scientist's place.\Old scientist?\Yeah!\But I guess you're pretty glad humans learned to harness electricity, huh, Futa?\Huh? What are you talking about?\Well, it's because scientists work so hard to invent all kinds of things response:	that we can live the way we do now!
context: But how did you even make this?\I got a lot of thinking done at this old scientist's place.\Old scientist?\Yeah!\But I guess you're pretty glad humans learned to harness electricity, huh, Futa?\Huh? What are you talking about?\Well, it's because scientists work so hard to invent all kinds of things\that we can live the way we do now! response:	Science is interesting, isn't it?
context: I got a lot of thinking done at this old scientist's place.\Old scientist?\Yeah!\But I guess you're pretty glad humans learned to harness electricity, huh, Futa?\Huh? What are you talking about?\Well, it's because scientists work so hard to invent all kinds of things\that we can live the way we do now!\Science is interesting, isn't it? response:	Happy Birthday, Futa
context: Old scientist?\Yeah!\But I guess you're pretty glad humans learned to harness electricity, huh, Futa?\Huh? What are you talking about?\Well, it's because scientists work so hard to invent all kinds of things\that we can live the way we do now!\Science is interesting, isn't it?\Happy Birthday, Futa response:	What's with her? Happy Birthday, Futa
context: Yeah!\But I guess you're pretty glad humans learned to harness electricity, huh, Futa?\Huh? What are you talking about?\Well, it's because scientists work so hard to invent all kinds of things\that we can live the way we do now!\Science is interesting, isn't it?\Happy Birthday, Futa\What's with her? Happy Birthday, Futa response:	She's been through a lot. Happy Birthday, Futa
context: But I guess you're pretty glad humans learned to harness electricity, huh, Futa?\Huh? What are you talking about?\Well, it's because scientists work so hard to invent all kinds of things\that we can live the way we do now!\Science is interesting, isn't it?\Happy Birthday, Futa\What's with her? Happy Birthday, Futa\She's been through a lot. Happy Birthday, Futa response:	Yeah! Happy Birthday, Futa
context: Huh? What are you talking about?\Well, it's because scientists work so hard to invent all kinds of things\that we can live the way we do now!\Science is interesting, isn't it?\Happy Birthday, Futa\What's with her? Happy Birthday, Futa\She's been through a lot. Happy Birthday, Futa\Yeah! Happy Birthday, Futa response:	Happy Birthday, Futa
context: Well, it's because scientists work so hard to invent all kinds of things\that we can live the way we do now!\Science is interesting, isn't it?\Happy Birthday, Futa\What's with her? Happy Birthday, Futa\She's been through a lot. Happy Birthday, Futa\Yeah! Happy Birthday, Futa\Happy Birthday, Futa response:	Look at this! It matches up perfectly with the numbers James brought me!
context: that we can live the way we do now!\Science is interesting, isn't it?\Happy Birthday, Futa\What's with her? Happy Birthday, Futa\She's been through a lot. Happy Birthday, Futa\Yeah! Happy Birthday, Futa\Happy Birthday, Futa\Look at this! It matches up perfectly with the numbers James brought me! response:	You're right!
context: Science is interesting, isn't it?\Happy Birthday, Futa\What's with her? Happy Birthday, Futa\She's been through a lot. Happy Birthday, Futa\Yeah! Happy Birthday, Futa\Happy Birthday, Futa\Look at this! It matches up perfectly with the numbers James brought me!\You're right! response:	The Earth really is a giant magnet!
context: Happy Birthday, Futa\What's with her? Happy Birthday, Futa\She's been through a lot. Happy Birthday, Futa\Yeah! Happy Birthday, Futa\Happy Birthday, Futa\Look at this! It matches up perfectly with the numbers James brought me!\You're right!\The Earth really is a giant magnet! response:	The Earth really is a giant magnet! Next Episode: Franklin's Spirit of Defiance
context: What's with her? Happy Birthday, Futa\She's been through a lot. Happy Birthday, Futa\Yeah! Happy Birthday, Futa\Happy Birthday, Futa\Look at this! It matches up perfectly with the numbers James brought me!\You're right!\The Earth really is a giant magnet!\The Earth really is a giant magnet! Next Episode: Franklin's Spirit of Defiance response:	This is an incredible discovery! Next Episode: Franklin's Spirit of Defiance
context: She's been through a lot. Happy Birthday, Futa\Yeah! Happy Birthday, Futa\Happy Birthday, Futa\Look at this! It matches up perfectly with the numbers James brought me!\You're right!\The Earth really is a giant magnet!\The Earth really is a giant magnet! Next Episode: Franklin's Spirit of Defiance\This is an incredible discovery! Next Episode: Franklin's Spirit of Defiance response:	Next Episode: Franklin's Spirit of Defiance
context: Yeah! Happy Birthday, Futa\Happy Birthday, Futa\Look at this! It matches up perfectly with the numbers James brought me!\You're right!\The Earth really is a giant magnet!\The Earth really is a giant magnet! Next Episode: Franklin's Spirit of Defiance\This is an incredible discovery! Next Episode: Franklin's Spirit of Defiance\Next Episode: Franklin's Spirit of Defiance response:	Mari and Waka's Quick Science
context: Happy Birthday, Futa\Look at this! It matches up perfectly with the numbers James brought me!\You're right!\The Earth really is a giant magnet!\The Earth really is a giant magnet! Next Episode: Franklin's Spirit of Defiance\This is an incredible discovery! Next Episode: Franklin's Spirit of Defiance\Next Episode: Franklin's Spirit of Defiance\Mari and Waka's Quick Science response:	Mari and Waka's Quick Science! Mari and Waka's Quick Science
context: Look at this! It matches up perfectly with the numbers James brought me!\You're right!\The Earth really is a giant magnet!\The Earth really is a giant magnet! Next Episode: Franklin's Spirit of Defiance\This is an incredible discovery! Next Episode: Franklin's Spirit of Defiance\Next Episode: Franklin's Spirit of Defiance\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science response:	Mr. Gilbert said Earth was a giant magnet.
context: You're right!\The Earth really is a giant magnet!\The Earth really is a giant magnet! Next Episode: Franklin's Spirit of Defiance\This is an incredible discovery! Next Episode: Franklin's Spirit of Defiance\Next Episode: Franklin's Spirit of Defiance\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mr. Gilbert said Earth was a giant magnet. response:	But I have no idea what he's talking about.
context: The Earth really is a giant magnet!\The Earth really is a giant magnet! Next Episode: Franklin's Spirit of Defiance\This is an incredible discovery! Next Episode: Franklin's Spirit of Defiance\Next Episode: Franklin's Spirit of Defiance\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mr. Gilbert said Earth was a giant magnet.\But I have no idea what he's talking about. response:	Me neither!
